One thing's for certain: you sure can carry on a conversation!
100.00%: 
0.19%:  O
0.00%:  One thing's for certain: in
0.01%:  One thing's for certain: in court
0.00%:  One thing's for certain: you can continue
0.00%:  One thing's for sure: you are an
0.00%:  One thing's for sure: you are correct
0.00%:  One thing's for sure: you are correct in
0.00%:  One thing's for certain: you are not an
0.00%:  One thing's for certain: you can convince your
0.00%:  One thing's for certain: you never ran
0.00%:  One thing's for certain: your case isn
0.00%:  One thing's for certain: you are on
0.00%:  One thing's for certain: your case is not
0.00%:  One thing's for certain: our courts
0.00%:  One thing's for sure: your actions are
0.00%:  One thing's for certain: your actions are no
0.00%:  One thing's for certain: your actions are very
0.00%:  One thing's certain: your
0.00%:  One thing's for certain: you can convince us
0.00%:  One thing's certain: your conversation
0.00%:  One thing's for sure: our
0.01%:  One thing's for sure: our conversation
0.00%:  One thing's for certain: you can run
0.00%:  One thing's for certain: your case continues
0.00%:  One thing's certain: you never
0.00%:  One thing's for certain: you are serious
0.00%:  One thing's for certain: you are not in
0.00%:  One thing's for certain: you are a serious
0.00%:  One thing's certain: you can
0.00%:  One thing's for certain: your sent
0.00%:  One thing's for sure: you are not a
0.00%:  One thing's for sure: you are not a very
0.00%:  One thing's for certain: your version
0.00%:  One thing's for sure: your voice
0.00%:  One thing's for sure: conviction
0.00%:  One thing's for certain: at
0.00%:  One thing's for certain: you sure ain
0.00%:  One thing's for certain: you can never say our
0.00%:  One thing's for certain: you cannot run
0.00%:  One thing's for certain: no conversation
0.00%:  One thing's for certain: it sure
0.00%:  One thing's for certain: your innocent
0.00%:  One thing's for certain: every
0.00%:  One thing's for sure: you ain
0.00%:  One thing's for certain: you sure can say
0.00%:  One thing's for sure: you can say
0.00%:  One thing's for sure: court is in
0.00%:  One thing's for certain: your conversation can
0.00%:  One thing's for certain: you are not one
0.00%:  One thing's for certain: you can never un
0.00%:  One thing's for certain: you can use
0.00%:  One thing's certain: you are
0.00%:  One thing's for certain: your ancestors
0.00%:  One thing's for certain: you can use conversation
0.00%:  One thing's for sure: court is never not
0.00%:  One thing's for certain: our ver
0.00%:  One thing's for certain: you sure are on
0.00%:  One thing's for certain: in court you
0.00%:  One thing's for certain: even in
0.01%:  One thing's for certain: even in court
0.01%:  One thing's for certain: even in court you
0.01%:  One thing's for certain: even in court you can
0.00%:  One thing's for sure: your actions are not
0.00%:  One thing's for certain: not
0.00%:  One thing's certain: you sure
0.00%:  One thing's for certain: your conversation sure
0.00%:  One thing's for certain: no court
0.00%:  One thing's for certain: you are in over
0.00%:  One thing's for certain: you are sure
0.00%:  One thing's for certain: your actions can
0.00%:  One thing's for certain: your actions can never
0.00%:  One thing's for sure: you never say
0.00%:  One thing's for certain: your insurance
0.00%:  One thing's for sure: no conviction
0.00%:  One thing's for certain: you are one un
0.00%:  One thing's for certain: you can never say it
0.00%:  One thing's for sure: even
0.00%:  One thing's for sure: your actions cannot
0.00%:  One thing's for sure: you can never say it
0.00%:  One thing's for certain: you can never out
0.00%:  One thing's for certain: you are a conversation
0.00%:  One thing's for certain: in court you never
0.00%:  One thing's for certain: not even
0.00%:  One thing's for certain: not even your
0.00%:  One thing's for certain: in your
0.00%:  One thing's for certain: in your case
0.00%:  One thing's for sure: court is not
0.00%:  One thing's for sure: your ver
0.00%:  One thing's for certain: no one is
0.00%:  One thing's for sure: your story
0.00%:  One thing's for certain: your career
0.00%:  One thing's for certain: your concerns
0.00%:  One thing's for certain: your concerns are
0.00%:  One thing's for sure: conversation
0.00%:  One thing's for certain: you are not our
0.00%:  One thing's for certain: you are an un
0.00%:  One thing's certain: you can never
0.00%:  One thing's for certain: you are our
0.00%:  One thing's for certain: serious
0.00%:  One thing's for certain: you sure are a conv
0.00%:  One thing's for sure: you are in
0.00%:  One thing's for certain: you are not your
0.00%:  One thing's for sure: your reactions
0.00%:  One thing's for certain: our conversation can
0.00%:  One thing's for certain: your career as an
0.00%:  One thing's for certain: your career as an actor
0.00%:  One thing's for certain: anyone
0.00%:  One thing's for certain: you sure can convince a
0.00%:  One thing's for sure: no one can say your reaction
0.00%:  One thing's for certain: no one can say your ver
0.00%:  One thing's for certain: once
0.00%:  One thing's for certain: you sure are in
0.00%:  One thing's for certain: you are an unre
0.00%:  One thing's for certain: you are one scary
0.00%:  One thing's for certain: you can count on every
0.00%:  One thing's for certain: no one can accuse your story
0.00%:  One thing's for certain: your case continues!
0.00%:  One thing's for certain: you never turn
0.00%:  One thing's for sure: never
0.00%:  One thing's for sure: at
0.00%:  One thing's for sure: your constant
0.00%:  One thing's for certain: our courts aren
0.00%:  One thing's for sure: you never can
0.00%:  One thing's for certain: you never st
0.00%:  One thing's for certain: no one can say your case
0.00%:  One thing's for certain: you can count on a very
0.00%:  One thing's for certain: you sure can carry
0.64%:  One thing's for certain: you sure can carry a conversation
0.00%:  One thing's for certain: you sure can carry a conversation on
0.00%:  One thing's for certain: in court you can
0.00%:  One thing's for certain: in court you can never
0.00%:  One thing's for certain: in court you can never say
0.00%:  One thing's for certain: you sure are not a
0.00%:  One thing's certain!
0.00%:  One thing's for sure: you can rest
0.00%:  One thing's for certain: your court is
0.00%:  One thing's for certain: you can stare
0.00%:  One thing's for certain: you cannot use
0.00%:  One thing's for sure: your conscience
0.00%:  One thing's for sure: you never ran
0.00%:  One thing's for certain: your accent
0.00%:  One thing's for sure: your convers
0.00%:  One thing's for sure: in
0.00%:  One thing's for sure: in court
0.00%:  One thing's for certain: you can rest easy
0.00%:  One thing's for certain: you are un
0.00%:  One thing's for certain: no one can say your voice
0.00%:  One thing's for certain: no one can accuse our
0.00%:  One thing's for sure: your innocent
0.00%:  One thing's for certain: your innocent ver
0.00%:  One thing's for sure: you are one conviction
0.00%:  One thing's for sure: you are not insane
0.00%:  One thing's certain: you sure are
0.00%:  One thing's for sure: none
0.00%:  One thing's for certain: you never can say
0.00%:  One thing's for certain: you can never turn
0.00%:  One thing's for sure: you cannot convince a
0.00%:  One thing's for certain: you sure cannot
0.00%:  One thing's for certain: your innoc
0.00%:  One thing's for certain: your innocence or
0.00%:  One thing's for certain: not even you
0.00%:  One thing's for certain: our courts are very
0.00%:  One thing's for certain: your acc
0.00%:  One thing's for certain: you sure can carry conversation
0.00%:  One thing's for certain: court ain
0.00%:  One thing's for certain: your cross
0.00%:  One thing's for certain: no one in
0.00%:  One thing's for sure: you are no
0.00%:  One thing's for sure: your reaction to
0.00%:  One thing's for certain: your actions are un
0.00%:  One thing's for certain: your case is a
0.00%:  One thing's for certain: you are correct in your conv
0.00%:  you can't convince anyone
0.00%:  One thing's for certain: you can not
0.00%:  One thing you can say for certain: no one'
0.00%:  One thing's for certain: even in your
0.00%:  One thing's for certain: your ant
0.00%:  One thing's for certain: you are your
0.00%:  that's a great one
0.00%:  One thing's for certain: you are not insane
0.00%:  of course not! you're not even a
0.00%:  One thing's for certain: your concerns over
0.00%:  that's gonna cost you!
0.00%:  One thing you can say for certain: at
0.00%:  One thing's for certain: our country
0.00%:  One of the tiny
0.00%:  of course not! this is a court
0.00%:  this
0.00%:  this conversation
0.00%:  this court
0.00%:  One thing's for certain: you are in no
0.00%:  One tiny
0.00%:  One thing's certain: your court
0.00%:  you're in court for that
0.00%:  of course not! you're not even in a
0.00%:  One thing's for certain: our conversation sure
0.00%:  One thing you can never accuse a
0.00%:  One thing's for sure: even in
0.00%:  One thing's for sure: even in court
0.00%:  you're not even facing a
0.00%:  One thing's for certain: you are a very un
0.00%:  that's not even in
0.00%:  One of your sentences
0.00%:  One of your sentences contains
0.00%:  One thing you can say for certain: none
0.00%:  One thing's for certain: your actions aren
0.00%:  everyone's gonna say
0.00%:  One of these
0.00%:  One thing's for certain: your ancestors are
0.00%:  One thing's for sure: you are a conversation
0.00%:  you're not gonna convince us
0.00%:  One thing's for sure: no conversation
0.00%:  you're not even in court are
0.00%:  nothing
0.00%:  nothing funny
0.00%:  of course not! this conversation
0.00%:  One thing's for certain: you are a conv
0.00%:  it's a funny
0.00%:  it's a funny story
0.00%:  you can't even say it
0.00%:  One thing you can say for sure: no one can
0.00%:  One thing you can say for sure: no one can acc
0.00%:  you're not in court for
0.00%:  no!
0.00%:  One thing's for sure: you are one conv
0.00%:  One thing's for certain: you are one nut
0.00%:  no no no
0.00%:  One thing's for certain: your tiny
0.00%:  One thing's for certain: your entire
0.00%:  One thing's for certain: you sure can say it conv
0.00%:  One thing's for certain: you are insane
0.00%:  One count
0.00%:  it's a reference to your conviction
0.00%:  One thing you'
0.00%:  One thing you can say for sure: none
0.00%:  One thing you can say for certain: not
0.00%:  your conversation
0.00%:  :
0.00%:  One thing you can say for certain: court is never a
0.00%:  One thing's for certain: you sure earn
0.00%:  One thing's for certain: you can no
0.00%:  you're in the
0.00%:  you're not even in court for
0.00%:  One thing's for certain: you are so
0.00%:  One thing's for certain: your voc
0.00%:  One thing's for certain: court isn
0.00%:  it turns
0.00%:  One thing's for certain: your trans
0.00%:  you're right on
0.00%:  it's a reference to your running
0.00%:  One thing's for sure: you are very
0.00%:  that's not our
0.00%:  that's not our concern
0.00%:  your court
0.00%:  One unfortunate
0.00%:  One thing you can say for sure: it's no
0.00%:  One thing you can say for sure in
0.00%:  One thing you can say for sure in conversation
0.00%:  great
0.00%:  yeah!
0.00%:  you're not even in a
0.01%:  you're not even in a court of
0.00%:  One thing you can say for sure: it's one
0.00%:  as
0.00%:  One thing's for certain: your out
0.00%:  you're so
0.01%:  you're so funny
0.00%:  One in
0.00%:  it's a reference to our running
0.00%:  One thing you can say for our
0.00%:  One thing's for sure: you are not in
0.00%:  One thing's for sure: you are not in conversation
0.00%:  One thing's certain: you are not
0.00%:  One charge
0.00%:  of course it isn
0.00%:  you're not even in a court!
0.00%:  One thing's for certain: you sure are no
0.00%:  you can't even get
0.00%:  you can't even get your
0.00%:  One thing's for certain: you are not as
0.00%:  One thing's for certain: you are sure not
0.00%:  One thing's for certain: you can stay
0.00%:  that's convenient
0.00%:  One thing's for certain: your case is very
0.00%:  One thing's certain: you are one
0.00%:  you're such
0.00%:  One thing you can say is
0.00%:  One thing's for certain: our nation
0.00%:  you're not serious!
0.00%:  One thing's for certain: serious!
0.00%:  One thing's for certain: no court in
0.00%:  you're not hearing voices
0.00%:  you're not even facing court
0.00%:  One cannot
0.00%:  One thing's for certain: you can turn
0.00%:  One funny
0.00%:  One thing's for certain: you can conversation
0.00%:  One thing's for certain: you are not sorry
0.00%:  One thing's for sure: it sure
0.00%:  One thing's for certain: in your current
0.00%:  continue
0.00%:  yes
0.00%:  you're not innocent!
0.00%:  One thing's for certain: your encounter
0.00%:  One thing's for sure: you cannot say
0.00%:  One thing's for certain: you are one sav
0.00%:  One thing's for certain: you cannot serve
0.00%:  One thing's for certain: no one can say you are
0.00%:  that's one
0.00%:  you have
0.00%:  One thing's for certain: your career in
0.00%:  that's not a serious concern for
0.00%:  One thing you can say for sure: it never
0.00%:  One thing's for certain: court never
0.00%:  One thing's for certain: your actions can no
0.00%:  One thing you can say for certain: court ain
0.00%:  One thing you can say for certain: it's one
0.00%:  you're not even in character
0.00%:  of course not! court
0.00%:  of course not! court is never
0.00%:  not even
0.00%:  One thing's for certain: you are one court
0.00%:  One thing's for sure: your version
0.00%:  that's not even funny! you
0.00%:  that's not funny sir
0.00%:  there
0.00%:  there's no court
0.00%:  there's no court!
0.00%:  One thing you can count on in a
0.00%:  everyone!
0.00%:  u
0.00%:  One thing you can say for certain in
0.00%:  One thing you can say for certain in court
0.00%:  One thing you can say for certain in court:
0.00%:  One thing's for certain: you are conv
0.00%:  it's a reference!
0.00%:  One thing's for certain: you are one sar
0.00%:  that's not a serious concern!
0.00%:  you're in court for having
0.00%:  very nice
0.00%:  One thing's certain: you can count
0.00%:  One thing's for certain: our society
0.00%:  One thing's for sure: not
0.00%:  that's insane
0.00%:  One thing's for certain: you are correct on
0.00%:  there's your
0.00%:  there's your conversation
0.00%:  One thing's for certain: you are not a nice
0.00%:  One thing's for certain: in court you never say
0.00%:  everyone's gonna hate
0.00%:  everyone's gonna hate you!
0.00%:  One thing's for sure: you are not an
0.00%:  you're insane
0.00%:  One thing's for certain: your concern
0.00%:  One thing you can say for sure: conversation can
0.00%:  One thing's for certain: your concerns are not
0.00%:  you're not gonna convince us that
0.00%:  court'
0.00%:  court's over
0.00%:  court's in
0.00%:  court's in rec
0.00%:  court's not
0.00%:  court's not even
0.00%:  One thing's for certain: one
0.00%:  One thing's for certain: your one
0.00%:  One thing's for sure: you are not very
0.00%:  everyone's in court for
0.00%:  of course it is
0.00%:  that's not even funny in
0.00%:  that's not even funny in your
0.00%:  One thing's for certain: in court you are
0.00%:  you're not in court at
0.00%:  One thing's for certain: you can sure convince
0.00%:  One thing's for certain: you sure can act
0.00%:  One thing's for certain: a
0.00%:  One thing's for certain: a conversation
0.00%:  One thing's for certain: a conversation you
0.00%:  One thing's for certain: you are certain
0.00%:  One thing's for certain: your innocent!
0.00%:  of course not! your
0.00%:  One thing's for certain: your story never
0.00%:  One thing's for certain: your use
0.00%:  o
0.00%:  fr
0.00%:  One thing's for certain: your accus
0.01%:  One thing's for certain: your accusations aren
0.01%:  One thing's for certain: your accusations are very
0.00%:  One thing's for certain: your accusations can
0.00%:  One thing's for certain: your accusations can never
0.00%:  One thing you can count on is everyone
0.00%:  of course not! you can
0.00%:  of course not! you can't even
0.00%:  of course not! you can't even hear
0.00%:  of course not! you can't hear
0.00%:  of course not! everyone
0.00%:  One of your characters says
0.00%:  One thing's for certain: it can
0.00%:  One thing's for certain: your account
0.00%:  One for the ages
0.00%:  One thing's for sure: you are not on
0.00%:  your honour
0.00%:  One thing's for certain: even in court your
0.00%:  everyone's in character
0.00%:  One thing's for sure: your conversation can
0.00%:  One thing's for certain: you are an incor
0.00%:  One thing's for sure: your accent
0.00%:  your face
0.00%:  One for the ann
0.00%:  One thing's for certain: no one cares
0.00%:  One thing's for certain: on
0.01%:  One thing's for certain: on account
0.00%:  One thing's for certain: your case cannot
0.00%:  One thing's for certain: your reactions are un
0.00%:  there's no reason
0.00%:  One thing's for sure: every
0.00%:  One thing's for certain: it never
0.00%:  One thing's for certain: court sure
0.00%:  you can't even hear your
0.00%:  you can't use that on
0.00%:  One thing's for certain: every court
0.00%:  that's funny! everyone
0.00%:  One thing's for sure: our ver
0.00%:  you're trying
0.00%:  you're trying to convince
0.00%:  One thing's for sure: you are not a racist
0.00%:  that's not even your
0.00%:  everyone's in on this
0.00%:  it's not even a court
0.00%:  you can't say that!
0.00%:  One thing you can say for certain is no
0.00%:  One thing's for certain: you sure can invent
0.00%:  that's not an
0.00%:  One thing's for certain: as
0.00%:  you can't even argue
0.00%:  One thing's for certain: our case
0.00%:  your conviction
0.00%:  One at
0.00%:  One thing's for certain: your in
0.00%:  One thing's for certain: you are a court
0.00%:  One of your court
0.00%:  One thing's certain: you sure can
0.00%:  One thing's for sure: it turns
0.00%:  you sure
0.00%:  One thing you can say for sure is it
0.00%:  for sure
0.00%:  fun
0.00%:  One thing's for certain: you can say one
0.00%:  that's funny! you
