that's awesome; I'm glad we live in this wicked sweet world!!
100.00%: 
14.04%:  I
1.38%:  that's kinda weird
0.96%:  this makes
0.96%:  what
0.95%:  he died last
1.62%:  he died last week
0.95%:  I think his
0.95%:  there's like eight
0.94%:  I don
0.94%:  he's still alive and worked
0.93%:  the word
0.92%:  he's still alive so
0.91%:  I'm making this shit
0.91%:  come
0.91%:  he's still alive!!
0.90%:  that makes
1.69%:  that makes him
0.89%:  I think he came
0.88%:  I wrote that while
0.86%:  I've got
0.86%:  that's weird
0.85%:  I think he'd
0.84%:  there's like twelve
0.84%:  we call them
0.83%:  he never
0.82%:  this is a
0.82%:  it was called the
0.82%:  I think he's more well
0.81%:  I think the
0.80%:  it's his
0.80%:  we call it
0.80%:  that's where
0.79%:  he was more
0.79%:  it has
0.82%:  it has made
0.79%:  I'm making these
0.78%:  these
0.78%:  he's a
0.78%:  that's kind
0.77%:  there's still
0.76%:  that's the worst
0.76%:  it makes
1.75%:  it makes him the
0.75%:  there's like two
0.75%:  no
0.74%:  it's more like he's the dad
0.74%:  it's made him that
0.74%:  I kinda
0.74%:  he's still living
0.74%:  I think it
2.97%:  I think it's called
1.76%:  I think it's more
1.04%:  I think it was
0.74%:  I think it's called the
0.73%:  I think it's the
0.73%:  I've made him one
0.73%:  it's kinda hard
0.73%:  I might
2.71%:  I might have made
0.72%:  I think it was called
0.72%:  that's the weird
0.71%:  that's his
0.80%:  that's his middle
0.71%:  I think we've
0.71%:  that's the wrong
0.69%:  this is where
0.69%:  it's the same
0.68%:  I think we're still
0.68%:  this is all wrong
0.68%:  I'd
1.21%:  I'd never
0.67%:  that's a weird
0.75%:  that's a weird thing
0.66%:  there is
0.66%:  he likes
0.66%:  we still
0.65%:  he called
0.65%:  it was the
0.65%:  there's like a whole
0.65%:  we'
1.57%:  we're still
0.65%:  he's still alive;
0.64%:  I don't have
0.64%:  I think he made
0.64%:  this is making me sad
0.63%:  it's this
0.62%:  that's kinda racist
0.62%:  it's more like he was the
0.62%:  he's more like a
0.62%:  he's more the
0.61%:  I made this whole
0.61%:  it's the whole
0.61%:  it's his sem
0.59%:  it was more
0.59%:  it's making him the
0.59%:  I think we're all
0.58%:  he never said
0.58%:  it made
1.96%:  it made him the
0.58%:  it's kinda weird
0.60%:  it's kinda weird how
0.58%:  never
0.58%:  I think he's a
0.57%:  I'm having
0.56%:  that's all
0.56%:  it was his
0.56%:  all
0.55%:  it was his sem
0.55%:  I'm making all that
0.55%:  I'd like
0.54%:  I made all this
0.54%:  I think there
0.54%:  it's more like he's made
0.54%:  it's his work
0.54%:  that was the
0.53%:  I've made it
0.53%:  I like
0.53%:  he's more like the god
0.53%:  I think there's some
0.53%:  I'm making all these
0.64%:  I'm making all these words
0.52%:  he came
0.52%:  he did
0.52%:  it's worth
0.52%:  I added
0.73%:  I added the
0.51%:  this is the world
5.36%:  this is the world we live
0.81%:  this is the world we'
0.51%:  I'm making that last
0.51%:  when
0.50%:  the sem
0.50%:  he's like
0.50%:  the last
0.50%:  we still have
0.50%:  I think this
0.50%:  I'm making the
0.49%:  there's some
0.49%:  he's alive
0.49%:  I think he called
0.49%:  I made that last
0.49%:  his real
0.49%:  he's not
0.48%:  we're all
0.48%:  I've made him this
0.48%:  it's not
0.48%:  I made that whole
0.47%:  I don't like
0.47%:  his work is
0.47%:  he wrote his
0.47%:  I think he did
0.47%:  it's a little
0.46%:  we've
0.46%:  we still don't have
0.46%:  he was more like
0.46%:  that makes me
0.46%:  that last
0.45%:  I might have screw
0.45%:  we have
0.45%:  I think it's a
0.45%:  I'm kinda
0.44%:  what I'
0.44%:  what I'm doing
0.77%:  what I'm doing here
0.44%:  we call the
0.44%:  he's more well
0.44%:  this might make
0.44%:  I think he said
0.43%:  he's never
0.43%:  that's called
0.43%:  that's what
0.43%:  there's two
0.42%:  I might have mess
0.42%:  I think we've all
0.42%:  I think he wrote
0.42%:  we're not
0.42%:  it made him a
0.42%:  I think his middle
0.41%:  it's named the
0.41%:  it's more a
0.40%:  I'll
0.40%:  it's the world
3.46%:  it's the world we live
0.40%:  I'm making these words
0.40%:  it's a little weird
0.51%:  it's a little weird how
0.40%:  the word is
0.40%:  I'm making that whole
0.40%:  that's making
0.39%:  this is all made
0.39%:  I've made this
0.39%:  his middle
0.38%:  this has
0.38%:  it's made him the second
0.38%:  it makes him a
0.38%:  it didn
0.37%:  that is
0.37%:  this whole time
0.60%:  this whole time I'
0.37%:  he made
0.37%:  it's never
0.37%:  it was like
0.37%:  he said
0.37%:  it's a great
0.37%:  that was me
0.36%:  I think he's alive
0.36%:  I think he was called
0.36%:  I've made him the
0.40%:  I've made him the second
0.36%:  it's like the other
0.36%:  it's hard to decide
0.43%:  it's hard to decide what
0.36%:  I think we might
0.36%:  wait this
0.36%:  he died this
0.37%:  he died this week
0.36%:  he worked
0.36%:  I think there was
0.35%:  what I'm doing is rec
0.35%:  that's making him
0.35%:  I had
0.35%:  that's me
0.35%:  I think the word
0.35%:  it's making me sad
0.35%:  wait I
0.35%:  his work has
0.38%:  his work has made
0.35%:  this makes him
0.35%:  I wrote the
0.35%:  he's still alive I
0.35%:  he's called the
0.34%:  he's still alive so I
0.35%:  he's still alive so I'
0.34%:  we call that
0.34%:  that's more
0.72%:  that's more like
0.34%:  this makes me sad
0.34%:  I'm still kinda
0.34%:  it's more like he's given
0.34%:  it's like a
0.34%:  it's the world we lived in last
0.34%:  it's the world we lived in last week;
0.34%:  it's more the
0.33%:  I still
0.36%:  I still like
0.33%:  I kinda made
0.33%:  we call it the
0.33%:  there's also
0.33%:  he wrote the
0.33%:  what I'm doing here is called
0.33%:  it's weird
0.33%:  that's all I know
0.33%:  it's the worst
0.33%:  he's alive and well
0.33%:  I wrote this down
0.39%:  I wrote this down while
0.33%:  he might
0.32%:  I have no idea where
0.32%:  I never
0.32%:  I think that
0.44%:  I think that's called
0.32%:  the latter
0.32%:  he's still alive and he
0.32%:  this was the
0.32%:  it's more like he made
0.32%:  I can
0.31%:  we call him that
0.31%:  this whole idea
0.31%:  it's weird that
0.31%:  he's still alive and he worked
0.31%:  he's still alive and he's worked
0.31%:  that's like the weird
0.31%:  he's more like the dad
0.31%:  it's the same thing
0.31%:  it's like the second
0.31%:  that's how
0.30%:  that didn
0.30%:  the world
0.30%:  that's still
0.30%:  he's never said
0.30%:  I've said
0.30%:  it was his work
0.30%:  it's weird how
0.30%:  what he
1.36%:  what he did was write
1.76%:  what he did was write down
0.95%:  what he did was write down some
0.86%:  what he did was come
0.48%:  what he did was write some
0.30%:  this is wrong
0.30%:  he's still alive and he wrote
0.30%:  I kinda wish
0.30%:  he wrote it
0.30%:  he's kinda
0.30%:  I was making it
0.30%:  this is what
0.29%:  this is the weird
0.29%:  it might
0.29%:  I made it all
0.29%:  that whole
0.29%:  I read
0.29%:  I was making this
0.29%:  I might have added
0.29%:  I wrote this whole
0.29%:  I think he's still alive!!
0.29%:  it's a sem
0.29%:  it's a little weird when
0.29%:  that made
0.29%:  he's not dead
0.29%:  that's all wrong
0.29%:  he was called
0.29%:  his middle name'
0.28%:  wait never
0.28%:  it's like the worst thing
0.28%:  there's a video
0.94%:  there's a video game called
0.37%:  there's a video game with
0.28%:  I think that's a
0.28%:  he died like
0.28%:  it's making him a
0.28%:  that came
0.28%:  it's this other
0.28%:  it's still a
0.27%:  I've made him the latter
0.27%:  there was this
0.27%:  I made him that
0.27%:  it's more like he's a god
0.27%:  these are two
0.27%:  it's his work on the
0.27%:  he called it the
0.27%:  now
0.27%:  it's a real
0.27%:  he's still alive and worked with
0.27%:  I wrote it
0.27%:  he's like the
0.27%:  I did
0.27%:  this has made
0.27%:  I know
0.27%:  it might have
0.27%:  it's more like he gave
0.27%:  I'm making all this shit
0.27%:  those
0.26%:  I think his sem
0.26%:  it's right
0.26%:  we've all
0.29%:  we've all agreed
0.26%:  I think we'll
0.26%:  I think he died last
0.26%:  it's the sem
0.26%:  I think we've all agreed
0.26%:  it's kinda gross
0.26%:  I think he's made
0.26%:  the world we
0.29%:  the world we live in was
0.26%:  the world we live in is the
0.28%:  the world we live in is the same
0.26%:  what he did was give
0.25%:  I came
0.25%:  he was more like the
0.25%:  what I said
0.59%:  what I said there
0.25%:  he did it
0.25%:  we all
0.25%:  I think we have
0.25%:  it made him that
0.25%:  his nick
0.25%:  I kinda screw
0.25%:  he'd
0.40%:  he'd never
0.25%:  he's still alive; I
0.25%:  the title
0.28%:  the title was
0.25%:  I have no idea who
0.24%:  I think his real
0.24%:  that's wrong;
0.24%:  there's like seven
0.24%:  I have no idea how
0.24%:  he liked
0.24%:  we don
0.98%:  we don't have
0.93%:  we don't call
0.46%:  we don't have time
0.39%:  we don't call it
0.28%:  we don't call him the
0.24%:  that's it
0.24%:  it's the world we lived in last week; I was
0.24%:  he's still alive and he works
0.24%:  it's still the
0.27%:  it's still the same
0.24%:  I might have mis
0.24%:  he was the
0.24%:  I'm having some
0.24%:  that was the wrong
0.24%:  I think the word is
0.24%:  that was like
0.24%:  I'll admit
0.24%:  I kind
0.23%:  there's not
0.23%:  that's all I've got here
0.23%:  he still
0.23%:  his name was
0.23%:  I'm making those
0.23%:  there's still like
0.23%:  his middle name was
0.23%:  it's called a
0.23%:  he's still alive and we
0.29%:  he's still alive and we'
0.23%:  I might have to
0.23%:  while
0.23%:  it's hard to tell who
0.23%:  there's a movie
0.33%:  there's a movie called
0.26%:  there's a movie coming
0.23%:  I'd like to see
0.23%:  it's more like this
0.23%:  it's more like he solved
0.23%:  it's more like 
0.23%:  what he did was more
0.44%:  what he did was more like
0.23%:  it is
0.22%:  I'd like to hear
0.22%:  he's got
0.22%:  that was the worst
0.22%:  what I said there is
0.22%:  he's still alive; he wrote
0.22%:  he's still alive so we
0.22%:  that's him
0.22%:  I think that was
0.22%:  we've all agreed that
0.22%:  it's the world'
0.22%:  it's all the
0.22%:  I've added
0.27%:  I've added the
0.22%:  it's the world we lived in last week; I'
0.22%:  the latter is
0.22%:  all I
0.21%:  I think we were
0.21%:  he's still alive and I
0.31%:  he's still alive and I'
0.21%:  this is the worst idea
1.31%:  this is the worst idea I've come
0.21%:  this is more
0.21%:  I don't have the
0.21%:  we call those
0.21%:  it hasn
0.21%:  that might make
0.21%:  he wasn
0.21%:  it's more like what
0.21%:  this is making me cr
0.21%:  these words
0.21%:  it's the word
0.21%:  it made him the second
0.21%:  I've read
0.21%:  this is like
0.21%:  it's hard to tell what
0.21%:  this made
0.44%:  this made him
0.21%:  that might'
0.21%:  it was called '
0.21%:  it's more like I
0.21%:  we call these
0.21%:  I'm kinda glad
0.21%:  he's still alive and he'd
0.21%:  there's a whole list
0.20%:  we were
0.20%:  it's like the third
0.20%:  it was more like 
0.20%:  it's worth like
0.20%:  I made those
0.20%:  he worked with
0.20%:  he's still alive right
0.20%:  what he did was make
0.20%:  it's kinda weird that
0.20%:  he never talked
0.20%:  it's his other
0.20%:  he still likes
0.20%:  we call them the
0.20%:  I lied there
0.20%:  this song
0.20%:  it's like this
0.20%:  I'm k
0.20%:  I think it's his
0.20%:  he's one
0.20%:  it's like the world
0.20%:  I think it might
0.20%:  it was 
0.20%:  he's never talked
0.20%:  I'm wrong
0.20%:  I think it's hard
0.20%:  this isn
0.20%:  it's more that
0.27%:  it's more that he was
0.20%:  this last
0.20%:  it's more like he's had
0.20%:  it's more like he did
0.20%:  that's all I've got!!
0.19%:  that might've worked
0.19%:  it's made him the world
0.19%:  it's not clear
0.19%:  it's hard to know
0.19%:  I'm making that all
0.19%:  all I did
0.22%:  all I did was write
0.21%:  all I did was change
0.39%:  all I did was change the words
0.23%:  all I did was change the word
0.19%:  he never did
0.19%:  wait I'
0.19%:  I never said
0.19%:  it makes him the god
0.19%:  I like this
0.19%:  I think that's more
0.19%:  there's a slight
0.19%:  it's more his
0.19%:  I've said this
0.19%:  this rh
0.19%:  I've made him that;
0.19%:  I think he's more a
0.19%:  we don't call them
0.19%:  I think he gave
0.19%:  it's like the most
0.19%:  that was more
0.23%:  that was more like
0.19%:  he never asked
0.19%:  he's still active
0.19%:  that's the world
9.23%:  that's the world we lived
0.19%:  that's not
0.19%:  I'm making those words
0.18%:  we're living
0.18%:  that's made
0.18%:  I am
0.18%:  I think what
0.18%:  this is making me wish
0.18%:  there's lots
0.18%:  I think it was his
0.18%:  I made his
0.18%:  it's called that
0.18%:  it's more like he showed
0.18%:  the other
0.18%:  it's made him like
0.18%:  I think he's still dead
0.18%:  it's more like when
0.18%:  it was named
0.18%:  I'd like to see him
0.18%:  it's real
0.18%:  he never liked
0.18%:  I added the last line
0.18%:  he likes it
0.18%:  he called the
0.18%:  the world we live in makes
0.18%:  we're still not
0.18%:  there's a good
0.18%:  I think we missed
0.18%:  this is the most
0.18%:  it's more like an
0.18%:  I think it was more
0.18%:  this is kind
0.18%:  I might'
0.21%:  I might've mess
0.21%:  I might've made all
0.18%:  he doesn
3.27%:  he doesn't like
0.38%:  he doesn't like it
0.30%:  he doesn't have
0.28%:  he doesn't have a middle
0.20%:  he doesn't get
0.46%:  he doesn't get credit
0.18%:  that's his nick
0.18%:  it's what
0.18%:  that's a lie;
0.18%:  we call this
0.18%:  I don't like this
0.32%:  I don't like this world
0.22%:  I don't like this world we
0.18%:  it's like the hard
0.18%:  that made me
0.18%:  he's kind
0.18%:  those were
0.18%:  he got
0.17%:  he's worked
0.17%:  I might need
0.17%:  it makes him that
0.17%:  I mess
0.17%:  I think he gets
0.24%:  I think he gets credit
0.17%:  I think he gets called
0.17%:  I still have
0.17%:  in
0.17%:  I read this
0.17%:  it's math
0.17%:  what I've
0.52%:  what I've said here
0.46%:  what I've said there
0.22%:  what I've said there makes
0.17%:  this all
0.17%:  it made him win
0.26%:  it made him win the
0.17%:  the words
0.17%:  it's more like he's an
0.17%:  there's a little
0.17%:  he died in '
0.17%:  it might have made
0.17%:  now that I'
0.20%:  now that I've read
0.17%:  he's right
0.17%:  it's less
0.17%:  he's got like
0.17%:  he's still a
0.17%:  wait I think
0.17%:  I wrote all
0.17%:  he wrote it with
0.17%:  it's this whole
0.17%:  it's more like how
0.17%:  that's called the
0.17%:  he doesn't write
0.17%:  it's a weird
0.17%:  that second
0.17%:  I think it's worth
0.17%:  all the
0.17%:  it was a
0.17%:  it's worse
0.17%:  there's like no
0.17%:  most
0.17%:  there's also like
0.17%:  he wrote a
0.17%:  it's making me wish
0.17%:  it makes him the second
0.17%:  that might've made
0.17%:  this is the world we've all
0.17%:  what I've said is wrong
0.17%:  he had
0.17%:  we all know
0.17%:  who
0.25%:  who cares
0.17%:  there was like
0.17%:  I might have made it
0.17%:  I was wrong
0.17%:  I made some
0.16%:  he's still alive so he
0.16%:  he was like
0.16%:  that gives
0.16%:  he's more like a god
0.16%:  while I'm here
0.16%:  it's more like he got
0.16%:  what he said
0.16%:  I think he's still alive;
0.16%:  he doesn't care
0.16%:  this is where I'
0.16%:  we think
0.16%:  I think we've all made
0.16%:  I'm doing
0.22%:  I'm doing this
0.16%:  I'm making this last
0.16%:  he gets
0.18%:  he gets credit
0.16%:  it's the world's most
0.16%:  he never called
0.16%:  I made most
0.16%:  I got
0.16%:  he wrote it while
0.16%:  it's a thing
0.16%:  it's made him win
0.19%:  it's made him win the
0.16%:  I wrote this when
0.16%:  he's made
0.16%:  I've said this wrong
0.16%:  there's a whole song
0.16%:  it's that
0.16%:  this was all
0.16%:  I might have missed
0.16%:  I'm making the last
0.16%:  their
0.16%:  it's the third
0.16%:  it's made him the world's second
0.16%:  he's still dead
0.16%:  that's kinda gross
0.16%:  I've lost
0.31%:  I've lost track
0.16%:  there's still some
0.16%:  that's wrong; he
0.16%:  I think he missed
0.16%:  this was a
0.16%:  I think we've all agreed this
0.16%:  I've made all
0.23%:  I've made all this
0.15%:  I'm making that shit
0.15%:  it's got
0.15%:  when I said
0.15%:  now that I'm
0.15%:  I'll never
0.15%:  I've got this
0.15%:  we don't have a word
0.15%:  wait hold
0.15%:  it's more like he's the second
0.15%:  it's more like he's a dad
0.15%:  I might've added
0.17%:  I might've added the
0.15%:  it's hard to tell what's making
0.15%:  when he
0.16%:  when he wrote
0.15%:  I don't have time
0.15%:  it's an
0.15%:  that's making me
0.15%:  he has
0.15%:  it's a little weird how he
0.15%:  it's so
0.15%:  this is where I get
0.15%:  this entire
0.15%:  it's hard to know what
0.17%:  it's hard to know what'
0.15%:  this whole time I was making
0.15%:  that's more like his
0.15%:  I think the word was
0.15%:  this is all I
0.25%:  this is all I've come
0.18%:  this is all I'm
0.15%:  this is kinda
0.15%:  it's still hard
0.15%:  I threw
0.15%:  that might've come
0.15%:  it's a whole
0.15%:  it's the world we lived in last week!!
0.15%:  it's more like he had
0.15%:  there's so
0.15%:  what I've said makes
0.15%:  that's what I'
0.23%:  that's what I've
0.15%:  that's what I'm doing
0.15%:  what I've said here makes
0.15%:  I might've made this
0.15%:  I think he's still alive so
0.15%:  he's more like the middle
0.15%:  he hated
0.14%:  I'd love
0.15%:  I'd love to hear
0.14%:  I've made some
0.21%:  I've made some slight
0.15%:  I've made some slight alter
0.14%:  the name
0.14%:  I've read the
0.14%:  I made his middle
0.14%:  it never
0.14%:  I think he was more well
0.14%:  we're having
0.15%:  we're having this
0.14%:  there's still a lot we
0.14%:  that was weird
0.14%:  it's the most
0.14%:  that's a lie I
0.14%:  it's kinda the
0.14%:  what he did is
0.14%:  I've added the last line
0.14%:  I liked
0.14%:  I like this world
0.14%:  he's still alive; I'
0.14%:  it's the world we'
0.14%:  I think we've said
0.14%:  he made it
0.14%:  what he did was solve
0.14%:  he gets called
0.14%:  he's more the god
0.14%:  I tried
0.14%:  I kinda mess
0.14%:  I don't recall
0.14%:  that's all I've got;
0.14%:  it's more like a sem
0.14%:  he was a
0.14%:  that doesn
1.08%:  that doesn't work
0.73%:  that doesn't make
0.65%:  that doesn't work well
1.18%:  that doesn't work well with
0.31%:  that doesn't work with
0.21%:  that doesn't rh
0.20%:  that doesn't make him
0.15%:  that doesn't work well as
0.14%:  I made those words
0.14%:  he was never
0.14%:  I think we'd
0.14%:  he died like two
0.14%:  I've heard
0.14%:  the second is
0.14%:  it's in
0.14%:  I'm kinda glad this
0.14%:  it's hard to tell how
0.14%:  what he wrote
0.14%:  it's more that he's like
0.14%:  it's more like the second
0.14%:  I think we'd all agree
0.14%:  this makes me want
0.14%:  it makes him the world
0.16%:  it makes him the world's second
0.14%:  this is what I'
0.19%:  this is what I've
0.14%:  that was me who
0.14%:  that gives me ideas
0.14%:  it's hard to make
0.14%:  I've made it all
0.14%:  the world we live in is that
0.14%:  I think we've made
0.14%:  I might've made the
0.14%:  I made the word
0.14%:  that's where it
0.14%:  I'd still
0.40%:  I'd still like to hear
0.32%:  I'd still like to hear what
0.14%:  he solved
0.14%:  it's more like his dad
0.14%:  no wait
0.14%:  that's more like the
0.14%:  it doesn
0.74%:  it doesn't rh
0.70%:  it doesn't have
0.60%:  it doesn't make
0.73%:  it doesn't make him either
0.39%:  it doesn't work
0.38%:  it doesn't make him a
0.37%:  it doesn't work with
0.18%:  it doesn't work well
0.37%:  it doesn't work well with
0.16%:  it doesn't make him the
0.14%:  the world we live in has
0.14%:  I don't like this world we'
0.14%:  it's sort
0.14%:  I can't write
0.14%:  that's the world we'
0.14%:  it's a little weird when I
0.14%:  I read the
0.14%:  I've got a
0.14%:  I did this
0.14%:  this is all I'm doing
0.14%:  that worked
0.14%:  all the credit
0.14%:  it's the world we lived in a
0.13%:  it's more that his
0.13%:  it's the world we lived in like
0.13%:  I think it's weird
0.13%:  he's a mat
0.13%:  this seems
0.13%:  I like the
0.13%:  I might have to write
0.13%:  I don't care
0.13%:  I think that's weird
0.13%:  it was me
0.44%:  it was me who wrote
0.16%:  it was me who came
0.15%:  it was me who wrote this
0.14%:  it was me who wrote the
0.13%:  he kinda
0.13%:  I think there's a com
0.13%:  this is me
0.13%:  it's like three
0.13%:  the last word
0.13%:  he gave
0.13%:  that's like the world
0.13%:  that's all I've come
0.13%: !!
0.13%:  wait that
0.38%:  wait that's wrong
0.13%:  he calls
0.13%:  the real
0.13%:  I said
0.13%:  we're still living
0.13%:  it's called '
0.13%:  it's more like he was given
0.13%:  we're doing
0.23%:  we're doing this
0.13%:  I've kinda
0.13%:  we still need
0.13%:  he is
0.13%:  it's made him the latter
0.13%:  it's more like he was a
0.13%:  it's a term
0.13%:  I think it's more the
0.13%:  it's like the whole
0.13%:  I screw
0.13%:  this was more
0.13%:  that's less
0.13%:  it's more like he's the second dad
0.13%:  we have to
0.13%:  wait that's weird
0.13%:  it's now
0.26%:  it's now called
0.13%:  I've got this whole
0.13%:  I might have messed it
0.13%:  when I read
0.13%:  it's making him that
0.13%:  it's weird how that
0.13%:  he's still alive so he'd
0.13%:  let
0.13%:  that's a great
0.13%:  that's not right
0.13%:  it's the same word
0.13%:  it's short
0.13%:  it's more like he gets
0.13%:  this is where we
0.13%:  that's like the worst lim
0.13%:  we can
0.13%:  I might've added the last line
0.13%:  that's the world we lived in like
0.13%:  what I did
0.38%:  what I did there was make
0.36%:  what I did there is
0.29%:  what I did there was take
0.21%:  what I did there is called
0.14%:  what I did was
0.13%:  what I did there was called
0.13%:  it's not clear how
0.13%:  I don't see
0.13%:  it's the second sem
0.13%:  it's me
0.17%:  it's me who
0.18%:  it's me who's made
0.17%:  it's me who's the
0.17%:  it's me who wrote
0.13%:  that was kind
0.13%:  this is how
0.13%:  this verse
0.13%:  I think he solved
0.13%:  I think it'd
0.13%:  we don't call him a
0.13%:  it makes me
0.13%:  it's more like that
0.12%:  these were
0.12%:  it's great
0.12%:  I wish
0.12%:  even
0.12%:  I've got the
0.12%:  he's a little
0.12%:  I might've made it
0.12%:  I think he'll
0.12%:  it's like that
0.12%:  this is what I'm doing
0.12%:  it's like the least
0.12%:  these two
0.12%:  it's a little hard
0.12%:  that was like the
0.12%:  I write
0.12%:  that's worse
0.12%:  it's what he
0.15%:  it's what he did
0.12%:  that's all I've got with
0.12%:  that's where I get
0.12%:  I made the second
0.12%:  it's him
0.12%:  man
0.12%:  I might've screw
0.12%:  that seems
0.29%:  that seems like
0.15%:  that seems weird
0.12%:  I made this all
0.12%:  it's made him the god
0.12%:  that seems like a weird
0.12%:  it's more like he has
0.12%:  it's like 
0.12%:  it's still worth
0.12%:  it's a little more
0.12%:  I heard
0.12%:  it's more like he's god
0.12%:  that's like the world we
0.24%:  that's like the world we lived
0.12%:  I've no
0.41%:  I've no idea what
0.15%:  I've no idea who
0.14%:  I've no idea what the
0.13%:  I've no idea where
0.12%:  I've no idea how
0.12%:  we call him the god
0.12%:  I messed that
0.12%:  either
0.12%:  I think there's still
0.12%:  I don't like this world we've
0.12%:  I think we'd all agree that'
0.12%:  it's like the worst song
0.12%:  the title'
0.12%:  it's this weird
0.12%:  it's more like he gave the
0.12%:  this is called
0.12%:  I'm kind
0.12%:  he's still alive so we'
0.12%:  it's more like he did some
0.12%:  that's all I've got there
0.12%:  it's a weird thing
0.12%:  we're all living
0.12%:  I'm the
0.12%:  he did the
0.15%:  he did the work
0.12%:  it's the world we live in!!
0.12%:  it's like the third most
0.12%:  this is weird
0.12%:  that's right
0.12%:  he called his
0.12%:  it's still the world
0.12%:  I've got like
0.12%:  I think it's time
0.12%:  I might have missed a word
0.12%:  wait this makes
0.12%:  I don't get
0.12%:  he's more a
0.12%:  I wrote it while
0.12%:  what he did was work
0.12%:  this didn
0.12%:  it wasn
0.12%:  I think we call
0.14%:  I think we call him
0.12%:  he's still alive and worked with me at
0.12%:  I think it might'
0.12%:  it was me who made
0.12%:  a
0.12%:  his work was called
0.12%:  there's a video game called this
0.12%:  it's kinda racist
0.12%:  it's more like he came
0.12%:  that's like his
0.12%:  that's where we
0.14%:  that's where we got
0.12%:  I've got it
0.12%:  I make
0.12%:  that's him over
0.12%:  there is a
0.12%:  I've read his
0.12%:  the answer
0.11%:  we've got
0.11%:  the world is
0.11%:  it doesn't make him this
0.11%:  I think we've made him
0.11%:  he's never said what
0.11%:  what'
0.13%:  what's the
0.12%:  what's the deal
0.11%:  he doesn't write his
0.11%:  it's a lie
0.11%:  it's like this whole
0.11%:  these are the
0.11%:  I looked
0.11%:  I think we all
0.11%:  this is worse
0.11%:  the latter'
0.11%:  I wrote this with
0.11%:  his work was in
0.11%:  it's a thing where
0.11%:  he still works
0.11%:  he died a
0.11%:  here
0.12%:  here's the
0.11%:  it's wrong
0.11%:  it's kinda weird how he
0.11%:  he did it with
0.11%:  that's like a
0.11%:  I think he's died
0.11%:  the world we live in is a
0.11%:  he's still alive and wrote
0.11%:  it's hard to decide who
0.11%:  it's now called the
0.11%:  I think we'll have
0.11%:  I think we're the
0.11%:  it's also
0.11%:  this makes me wonder
0.11%:  he goes
0.11%:  he did that
0.11%:  he wrote this
0.11%:  we're making
0.23%:  we're making this
0.11%:  I've made the
0.24%:  I've made the whole
0.11%:  there's like a whole song
0.11%:  we'll
0.11%:  this makes me wish
0.20%:  this makes me wish I'd never
0.11%:  I think he's got
0.11%:  I made him the
0.11%:  that's like the world's most
0.11%:  this makes me wish I'd gone
0.11%:  we don't have the
0.11%:  I'll leave
0.11%:  this made me think
0.11%:  his work didn
