T-Rex (punchline): Why are you doing this to me
      0 100.00%: 
      1 0.71%:  that
    191 0.03%:  T-Rex has
    192 0.06%:  T-Rex has nothing
    193 0.14%:  T-Rex has nothing more
    194 0.03%:  oh my gosh i need to lie
    195 0.03%:  there goes
    196 0.03%:  oh my god that is
    197 0.03%:  T-Rex needs to lay
    198 0.03%:  g
    199 0.03%:  Why aren
    200 0.03%:  Why are you insult
    201 0.03%:  T-Rex is pretty good
    202 0.03%:  Why are you doing this to me (
    203 0.03%:  Why are you holding the
    204 0.03%:  Why is
    205 0.03%:  al
    206 0.10%:  alright so
    207 0.03%:  Why are you coming up so
    208 0.03%:  Why are you doing those
    209 0.03%:  damn
    210 0.02%:  Why am
    211 0.02%:  T-Rex is coming
    212 0.02%:  T-Rex said
    213 0.02%:  any
    214 0.02%:  oh my god this
    215 0.02%:  T-Rex straight
    216 0.02%:  dam
    217 0.02%:  there is
    218 0.02%:  ooh
    219 0.02%:  Why are you doing this u
    220 0.02%:  Why are you cutting
    221 0.02%:  that does
    222 0.02%:  Why are you doing it so
    223 0.02%:  T-Rex is trying
    224 0.02%: listen
    225 0.02%:  it
    226 0.02%:  Why are you shouting the
    227 0.02%: h
    228 0.02%:  you can
    229 0.02%:  Why are you doing this to me i
    230 0.02%:  oh god
    231 0.02%:  holy crap i need to get
    232 0.07%:  holy crap i need to get some
    233 0.02%:  h
    234 0.02%:  Why are you so intent
    235 0.02%:  Why are you doing this to me un
    236 0.02%:  that could
    237 0.02%:  can you
    238 0.02%:  T-Rex needs to eat
    239 0.02%:  Why are you shouting me
    240 0.02%:  Why are you coming into this
    241 0.02%:  anymore
    242 0.02%:  T-Rex has nothing to do
    243 0.02%:  Why are you coming so
    244 0.02%:  T-Rex here is
    245 0.02%:  Why do you hate these
    246 0.02%:  T-Rex is done
    247 0.02%:  congr
    248 0.08%:  congrats on the
    249 0.02%:  sigh
    250 0.02%:  the la
    251 0.02%:  Why are you doing this to me nice
    252 0.02%:  please
    253 0.04%:  please continue
    254 0.03%:  please don
    255 0.02%:  he
    256 0.02%:  T-Rex needs air
    257 0.02%:  Why are you using
    258 0.03%:  Why are you using the
    259 0.02%:  T-Rex please continue your
    260 0.02%:  Why are you so excited
    261 0.02%:  don
    262 0.02%:  enough
    263 0.02%:  Why are you opening
    264 0.02%:  Why are you opening the
    265 0.02%: s
    266 0.02%:  anything
    267 0.03%:  anything else
    268 0.02%:  T-Rex is pretty much
    269 0.04%:  T-Rex is pretty much done
    270 0.02%:  T-Rex please don
    271 0.02%:  your
    272 0.02%:  my opinion
    273 0.02%:  T-Rex needs a minute
    274 0.02%:  you need
    275 0.02%:  you need to learn
    276 0.02%:  my throat
    277 0.02%:  Why do you hate this
    278 0.02%:  not
    279 0.02%:  let me
    280 0.02%:  oh my gosh there
    281 0.02%:  holy crap i need to sit
    282 0.02%:  you need to learn to
    283 0.02%:  T-Rex is not
    284 0.02%:  Why are you doing this oh
    285 0.02%:  damn it
    286 0.02%:  (that
    287 0.02%:  T-Rex is coming around
    288 0.02%:  Why are you putting on
    289 0.02%:  so that
    290 0.02%:  Why are you sitting on
    291 0.02%:  T-Rex does
    292 0.04%:  T-Rex does not cough
    293 0.02%:  later
    294 0.02%:  nothing is
    295 0.02%: dam
    296 0.02%:  my cough
    297 0.02%:  Why are you hitting us
    298 0.02%: that
    299 0.02%:  ut
    300 0.02%:  oh man oh
    301 0.02%:  T-Rex is dying
    302 0.02%:  nothing can
    303 0.02%:  oh my gosh are
    304 0.02%:  oh my god it
    305 0.02%:  T-Rex and
    306 0.03%:  T-Rex and his
    307 0.02%:  T-Rex cannot
    308 0.02%:  so yeah
    309 0.02%:  is
    310 0.04%:  is there
    311 0.04%:  is that you
    312 0.02%:  that cough
    313 0.02%:  T-Rex does not care
    314 0.02%:  that is one good
    315 0.02%:  T-Rex here and
    316 0.02%:  Why are you so much into
    317 0.02%:  oh yeah
    318 0.02%:  Why are you doing this to T
    319 0.02%:  Why are you doing this online
    320 0.02%:  nothing else
    321 0.02%: man
    322 0.02%:  you need to learn the
    323 0.02%:  Why does
    324 0.02%:  you guys are the
    325 0.02%:  nothing comp
    326 0.01%:  Why are you not
    327 0.02%:  Why are you not helping
    328 0.02%:  Why are you not doing
    329 0.03%:  Why are you not doing this in
    330 0.01%:  that is one long
    331 0.01%:  Why are you cutting me open
    332 0.01%:  Why are you doing this next
    333 0.01%:  hold
    334 0.01%:  heh
    335 0.01%:  ha
    336 0.01%:  Why are you doing me
    337 0.02%:  Why are you doing me this
    338 0.01%:  there it
    339 0.01%:  Why are you doing this to me l
    340 0.01%: th
    341 0.01%:  Why are you coming in so
    342 0.01%:  Why are you not holding
    343 0.01%:  Why are you spending time on the
    344 0.01%:  this one
    345 0.01%:  T-Rex needs to cough real
    346 0.01%:  Why are you doing this to me he
    347 0.01%:  oh my god he
    348 0.01%:  T-Rex needs another
    349 0.01%:  oh my god please continue
    350 0.01%:  honestly i
    351 0.01%:  T-Rex is the
    352 0.02%:  T-Rex is the champion
    353 0.01%: t
    354 0.01%:  that is my
    355 0.01%:  T-Rex dies
    356 0.01%:  your opinion
    357 0.01%:  T-Rex needs to get la
    358 0.01%:  Why do you hate us
    359 0.01%:  Why are you pushing the limit
    360 0.01%:  Why are you shooting the
    361 0.01%:  Why are you in
    362 0.01%:  Why are you pointing to
    363 0.01%:  oh my gosh it
    364 0.01%: l
    365 0.01%: a
    366 0.01%:  can someone
    367 0.01%:  Why are you doing this th
    368 0.01%:  T-Rex is not a
    369 0.01%:  children
    370 0.01%:  Why are you so nice
    371 0.01%:  i
    372 0.01%:  is the
    373 0.01%:  oh my gosh you ruined
    374 0.01%:  Why are you holding me up
    375 0.01%:  Why are you doing it in
    376 0.02%:  Why are you doing it in such
    377 0.01%:  Why are you doing it in the
    378 0.01%:  come
    379 0.01%:  come here
    380 0.01%:  T-Rex can
    381 0.01%:  man this
    382 0.01%:  Why are you hitting on
    383 0.01%:  Why are you sitting in
    384 0.01%:  Why are you doing such
    385 0.01%:  Why are you putting me in so
    386 0.01%:  another
    387 0.01%:  oh my gosh can
    388 0.01%:  T-Rex straight up couldn
    389 0.01%:  Why are you sitting on me
    390 0.01%:  good
    391 0.01%:  good times
    392 0.01%:  Why do you hate our
    393 0.01%:  holy sm
    394 0.01%:  Why are you not shouting
    395 0.01%:  alright so the
    396 0.01%:  T-Rex is a
    397 0.01%:  Why are you doing this to me e
    398 0.01%:  oh my god you
    399 0.01%:  Why are you doing this to me ple
    400 0.01%:  good story
    401 0.01%:  Why is it
    402 0.01%:  you guys are not
    403 0.01%:  nothing could
    404 0.01%:  T-Rex is coming to
    405 0.01%:  Why are you coming out
    406 0.01%:  ahhh
    407 0.01%:  you are
    408 0.01%:  T-Rex (
    409 2.64%:  T-Rex (punchline): that
    410 0.45%:  T-Rex (punchline): this
    411 0.43%:  T-Rex (punchline): that one
    412 0.41%:  T-Rex (punchline): that is
    413 0.38%:  T-Rex (punchline): you
    414 0.31%:  T-Rex (punchline): you are
    415 0.31%:  T-Rex (punchline): there
    416 0.26%:  T-Rex (punchline): my
    417 0.23%:  T-Rex (punchline): the
    418 0.29%:  T-Rex (punchline): the author
    419 0.23%:  T-Rex (punchline): it
    420 0.23%:  T-Rex (punchline): the sound
    421 0.22%:  T-Rex (punchline): the story
    422 0.19%:  T-Rex (punchline): oh
    423 0.27%:  T-Rex (punchline): oh my god
    424 0.29%:  T-Rex (punchline): oh my god that
    425 0.22%:  T-Rex (punchline): oh my god that one
    426 0.18%:  T-Rex (punchline): that reminds
    427 0.15%:  T-Rex (punchline): there is
    428 0.15%:  T-Rex (punchline): Why
    429 11.41%:  T-Rex (punchline): Why are you doing
