even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
    711 0.69%:  so I've done nothing
    712 0.68%:  this doesn't have
    713 0.68%: . I need to think
    714 0.68%:  so I've got this one
    715 0.68%:  I need to go take this
    716 0.68%:  so that's on
    717 0.68%:  that one's not so good. I
    718 4.96%:  that one's not so good. I think
    719 0.68%:  no this one's not that
    720 0.68%: . I have to get this to
    721 0.67%:  so I've got that one
    722 1.23%:  so I've got that one done
    723 1.66%:  so I've got that one done.
    724 0.67%:  so it's not 
    725 0.66%:  so I've had
    726 0.66%:  that's the one.
    727 0.66%:  that doesn't go into
    728 0.66%:  so that's one thing
    729 1.06%:  so that's one thing I need
    730 0.66%:  good I
    731 0.65%:  so I've got this one done
    732 0.65%:  I have nothing
    733 1.06%:  I have nothing to
    734 0.65%:  so I need to think
    735 0.65%:  so I gotta
    736 0.65%:  that one's got
    737 0.75%:  that one's got to
    738 0.65%:  that one's too intense
    739 0.64%:  so I need this
    740 1.05%:  so I need this to
    741 0.64%:  I think that one gets
    742 0.64%:  so I need to give that
    743 0.64%:  that one is done so
    744 0.64%:  it's not that good so
    745 0.64%:  so I don't have one
    746 0.64%:  so that's the ending. It
    747 0.64%: . I've said
    748 0.64%:  it's not the end
    749 0.64%:  so that one's not too
    750 0.64%:  no I don't think that goes on
    751 0.63%:  I think that's one done
    752 0.63%:  that one is too
    753 0.63%:  so that's one done
    754 0.63%: . I need to go eat
    755 0.63%:  so I don't have the 
    756 0.62%:  I have to go into
    757 0.62%:  this one got
    758 0.62%:  that one does not get
    759 0.62%:  so that one isn't even
    760 0.62%:  no that one is
    761 0.62%:  I take
    762 0.62%:  so that's the one ending
    763 0.90%:  so that's the one ending.
    764 0.62%:  so that one goes into
    765 0.62%:  so that one goes on
    766 0.62%: . It
    767 2.03%: . It's done
    768 0.86%: . It's gonna
    769 0.62%: . It's good
    770 0.62%:  no this one needs
    771 0.62%:  so I need to get that
    772 0.61%:  so it's one
    773 0.61%:  so that's it then
    774 0.61%:  so that's the good
    775 0.61%:  so that's not even on
    776 0.61%:  so I've got that one done so
    777 0.61%:  so it doesn't have to go
    778 1.72%:  so it doesn't have to go on
    779 0.73%:  so it doesn't have to go to
    780 0.61%:  that one doesn't get in
    781 0.61%:  so that one isn't good
    782 0.61%:  so it's not gonna need
    783 0.61%:  it took
    784 0.60%:  that one's not even in
    785 0.60%:  so that's done
    786 1.18%:  so that's done.
    787 0.60%:  so I think that goes
    788 1.51%:  so I think that goes to
    789 0.92%:  so I think that goes on
    790 0.60%:  that one's not good so
    791 0.60%:  no that one's not even
    792 0.59%:  no need
    793 0.59%:  so that doesn't tie
    794 0.59%:  it's not gonna
    795 0.58%:  that one isn't so good. It
    796 0.58%:  so that isn't the end.
    797 0.58%:  that one's the
    798 0.57%:  no that's not so
    799 1.34%:  no that's not so good
    800 0.57%:  good thanks
    801 0.57%:  so I've got it
    802 0.57%:  sooooo
    803 0.57%:  I think that's too
    804 0.57%:  so don't ask
    805 0.57%:  so I think that's done
    806 0.56%:  I need to get that
    807 0.56%:  I need to get to a
    808 0.56%:  that's not the one on
    809 0.56%:  I've got this
    810 1.00%:  I've got this one
    811 0.57%:  I've got this one done
    812 0.56%:  good I think
    813 0.56%:  so that one's the
    814 0.56%:  so I have to go to the dent
    815 0.55%:  so I don't think that one goes
    816 1.38%:  so I don't think that one goes on
    817 0.55%:  so then
    818 0.55%:  that is one good
    819 0.55%:  no I need
    820 4.61%:  no I need to go to
    821 1.02%:  no I need to take
    822 1.71%:  no I need to take this
    823 0.55%:  I need to eat tonight
    824 0.55%: . I think that's one
    825 0.55%:  good I think that one
    826 0.55%:  no that one's not even good
    827 0.54%:  I think that one's good to
    828 0.54%:  so it's not a one
    829 0.54%:  no thanks this
    830 0.54%:  this one needs to
    831 0.54%:  so I need a
    832 0.53%: . I think that one'
    833 0.92%: . I think that one's done
    834 0.53%:  so I think that's not
    835 0.53%: . I think that one goes
    836 0.53%:  that one is done. I
    837 0.53%:  I have to go soon
    838 0.53%:  that is not even
    839 0.52%:  that one I think goes
    840 0.52%:  so I had this one
    841 0.52%:  so this one I don
    842 1.86%:  so this one I don't have to
    843 0.87%:  so this one I don't have on
    844 0.52%:  I think that goes on
    845 0.52%:  no this one's not the
    846 0.52%:  I think that one's done.
    847 0.52%:  no this one doesn't get
    848 0.52%:  I need to get on
    849 0.65%:  I need to get on this
    850 0.52%:  that one's not so hot.
    851 0.51%:  so I have to get
    852 0.90%:  so I have to get to
    853 0.78%:  so I have to get to the
    854 0.59%:  so I have to get this
    855 0.91%:  so I have to get this to
    856 0.90%:  so I have to get this done
    857 0.51%:  I have to get the
    858 0.51%:  thanks I've
    859 0.51%:  that one is the
    860 0.51%:  this one's not a
    861 0.51%:  so I've got this one done.
    862 0.51%:  that's the one ending.
    863 0.51%:  I have to go do
    864 0.50%:  that one I don
    865 15.23%:  that one I don't think
    866 1.85%:  that one I don't even
    867 2.09%:  that one I don't even think
    868 1.14%:  that one I don't think goes
    869 0.50%:  this has got
    870 0.50%:  so I haven't got the end
    871 0.49%:  I need to go eat
    872 0.49%:  that one's the end
    873 0.49%:  good.
    874 0.49%:  so I think that one needs to
    875 0.49%:  this doesn't have to go
    876 0.49%:  so I think the
    877 0.49%:  I need to have this on
    878 0.49%:  no that's the end. I
    879 0.48%:  so it took
    880 0.71%:  so it took a
    881 0.48%:  so it's not done that
    882 0.48%:  so not that
    883 0.48%:  so I got that
    884 1.20%:  so I got that one done
    885 0.48%:  so I had the
    886 0.48%:  that one doesn't go on this
    887 0.48%:  so I need an
    888 0.48%:  this one had
    889 0.48%:  it's the end.
    890 0.48%:  that is too
    891 0.48%:  that's one done.
    892 0.48%:  so I don't think that goes on
    893 0.47%:  so that one isn't one
    894 0.47%:  so this got
    895 0.47%:  so that is the end.
    896 0.47%:  no I don't think that one goes.
    897 0.47%:  that one is not so
    898 0.47%:  I think that's one too
    899 0.47%:  no that's not even good
    900 0.46%:  that one does nothing
    901 0.46%:  that one's in the oven
    902 0.46%:  thanks to the
    903 0.46%:  so the end
    904 4.04%:  so the end is that
    905 1.08%:  so the end is the
    906 0.70%:  so the end is not
    907 0.46%:  so the end is not that
