checked Wikipedia and it's really hard to overdose on Vitamin C!
100.00%: 
73.13%:  have
32.06%: 've already decided that cookies are 
31.97%:  already have cookies lined
31.79%:  have cookies in my pocket that are all
31.79%: 've already eaten a cookie
31.68%:  already invented it
31.32%: 've already decided that Vitamin C cookies in
31.24%: 've already decided that Vitamin C are cookies!
31.23%:  already have cookies in this
31.22%: 've decided that cookies are named
31.16%: 've decided that cookies are one
31.07%:  have eaten Vit
1070.59%:  have eaten Vitamin C cookies
757.11%:  have eaten Vitamin C cookies today
513.43%:  have eaten Vitamin C today
509.66%:  have eaten Vitamin C cookies recently
398.76%:  have eaten Vitamin C cookies already
309.29%:  have eaten Vitamin C cookies this
247.98%:  have eaten Vitamin C cookies!
206.95%:  have eaten Vitamin C cookies already!
184.27%:  have eaten Vitamin C cookies recently!
167.82%:  have eaten Vitamin C cookies lately
128.77%:  have eaten Vitamin C recently
114.02%:  have eaten Vitamin C cookies and
105.18%:  have eaten Vitamin C cookies lately!
94.07%:  have eaten Vitamin C this
62.51%:  have eaten Vitamin C cookies all
58.90%:  have eaten Vitamin C already
48.71%:  have eaten Vitamin C cookies already this
45.41%:  have eaten Vitamin C cookies and they rock
44.22%:  have eaten Vitamin C!
42.55%:  have eaten Vitamin C lately
40.37%:  have eaten Vitamin C cookies lately and
39.66%:  have eaten Vitamin C cookies and they'
30.90%: 've already decided that cookies are Vitamin C is
30.83%:  already had
125.12%:  already had cookies
96.03%:  already had cookies planned
56.44%:  already had cookies earlier
53.49%:  already had cookies in
68.11%:  already had cookies in the
32.34%:  already had cookies!
30.80%: 've already decided that cookies are V
30.65%:  already had cookies in mind
30.62%:  have cookies here
30.62%:  have already decided that Vitamin C cookies in
30.56%:  have decided that Vitamin C doesn
30.46%:  have already eaten cookies!
30.38%: 've decided that cookies are kinda
30.37%:  have cookies in my hand
30.27%: 've already decided that Vitamin C cookies look and
30.26%:  have decided that Vitamin C cookies really don
30.10%:  have already decided that Vitamin C is cool
30.03%: 've decided cookies are really rad
29.96%:  have decided that Vitamin C cookies are really kind
29.76%: 've decided that cookies and
29.72%: 've already decided that Vitamin C also
29.71%: 've already decided that Vitamin C cookies pair
29.70%:  have already decided that cookies are in
29.62%: 've already decided that cookies are in
29.56%:  already invented the cookies!
29.54%: 've already decided to
29.54%: 've already made
119.73%: 've already made cookies
40.03%: 've already made cookies that
29.44%: 've decided that Vit
2288.22%: 've decided that Vitamin C cookies
3775.84%: 've decided that Vitamin C cookies are really
715.09%: 've decided that Vitamin C cookies are also
666.62%: 've decided that Vitamin C cookies are really rad
659.05%: 've decided that Vitamin C cookies are like
433.36%: 've decided that Vitamin C cookies are already
407.99%: 've decided that Vitamin C cookies are rad
370.07%: 've decided that Vitamin C cookies are only
347.39%: 've decided that Vitamin C cookies shall
321.76%: 've decided that Vitamin C is also
265.65%: 've decided that Vitamin C cookies are a
242.49%: 've decided that Vitamin C cookies are okay
239.94%: 've decided that Vitamin C cookies aren
224.05%: 've decided that Vitamin C cookies don
220.17%: 've decided that Vitamin C cookies are all
195.43%: 've decided that Vitamin C cookies already
174.49%: 've decided that Vitamin C cookies are a really
172.55%: 've decided that Vitamin C cookies and
163.15%: 've decided that Vitamin C cookies are really hard
143.89%: 've decided that Vitamin C cookies really
136.11%: 've decided that Vitamin C cookies are sp
128.87%: 've decided that Vitamin C cookies are so
114.27%: 've decided that Vitamin C cookies are kinda
106.35%: 've decided that Vitamin C cookies really are rad
93.78%: 've decided that Vitamin C cookies are shaped
91.44%: 've decided that Vitamin C cookies are poison
87.75%: 've decided that Vitamin C cookies are okay!
85.65%: 've decided that Vitamin C cookies are in
80.33%: 've decided that Vitamin C cookies are sl
79.42%: 've decided that Vitamin C cookies are an
72.47%: 've decided that Vitamin C is really
69.20%: 've decided that Vitamin C doesn
67.65%: 've decided that Vitamin C cookies are also rad
62.35%: 've decided that Vitamin C cookies only
61.06%: 've decided that Vitamin C cookies really aren
60.25%: 've decided that Vitamin C cookies are really kinda
57.94%: 've decided that Vitamin C cookies are really sp
56.86%: 've decided that Vitamin C also
48.58%: 've decided that Vitamin C is a
48.12%: 've decided that Vitamin C can
46.77%: 've decided that Vitamin C cookies are W
46.09%: 've decided that Vitamin C cookies are no
45.63%: 've decided that Vitamin C cookies are kind
45.63%: 've decided that Vitamin C is also a
60.16%: 've decided that Vitamin C is also a nick
44.79%: 've decided that Vitamin C cookies really do
44.11%: 've decided that Vitamin C cookies are hands
43.82%: 've decided that Vitamin C and
105.37%: 've decided that Vitamin C and cookies
101.40%: 've decided that Vitamin C and cookies are really
42.58%: 've decided that Vitamin C cookies are rad and
42.56%: 've decided that Vitamin C cookies are one
39.64%: 've decided that Vitamin C cookies are only like
39.37%: 've decided that Vitamin C cookies are y
38.76%: 've decided that Vitamin C cookies are kinda rad
37.87%: 've decided that Vitamin C cookies are only sold
37.61%: 've decided that Vitamin C cookies are real
37.48%: 've decided that Vitamin C is already
37.03%: 've decided that Vitamin C cookies are as
36.86%: 've decided that Vitamin C cookies are 
35.13%: 've decided that Vitamin C are
116.28%: 've decided that Vitamin C are cookies
34.46%: 've decided that Vitamin C cookies are non
34.12%: 've decided that Vitamin C cookies is
33.94%: 've decided that Vitamin C cookies do
33.80%: 've decided that Vitamin C cookies are inher
32.94%: 've decided that Vitamin C cookies shall indeed
32.59%: 've decided that Vitamin C can also
32.46%: 've decided that Vitamin C has
32.45%: 've decided that Vitamin C cookies also
32.31%: 've decided that Vitamin C cookies are plain
32.10%: 've decided that Vitamin C cookies are really kind
31.82%: 've decided that Vitamin C cookies are likely
31.12%: 've decided that Vitamin C cookies really don
29.37%: 've decided that cookies are the only sl
29.36%:  have decided that Vitamin C'
133.23%:  have decided that Vitamin C's cookies
278.09%:  have decided that Vitamin C's cookies are really
33.43%:  have decided that Vitamin C's are
94.52%:  have decided that Vitamin C's are cookies
29.21%: 'm totally
29.04%: 've decided that Vitamin C cookies are all kinds
28.89%:  have already decided to
28.82%: 've already eaten Vitamin C in cookies this
28.62%:  have eaten cookies recently and
28.62%: 've already come
28.61%: 've already decided that Vitamin C isn
28.57%: 've already eaten Vitamin C cookies and it
28.50%:  have decided that Vitamin C's cookies are all
28.49%:  already have some
89.89%:  already have some cookies
40.65%:  already have some Vit
35.68%:  already have some cookies in
38.31%:  already have some cookies in the
28.44%:  have eaten Vitamin C cookies in
28.38%:  have decided that Vitamin C is clearly
28.33%:  already have cookies here
28.27%: 've decided cookies are like
28.03%:  have decided that cookies are in
27.81%:  have decided that cookies are simply
27.78%: 've decided that cookies are okay
27.78%: 've decided that cookies are the only animal
27.46%:  have decided that cookies aren
27.45%:  have eaten Vitamin C cookies all day!
27.39%: 've decided that cookies are the only animals
27.31%:  already invented the phrase
27.22%:  have decided that cookies are really rad!
27.20%:  have decided cookies are not really
29.79%:  have decided cookies are not really that
27.15%:  have decided cookies are the only kind
27.12%: 've already decided that Vitamin C cookies are ins
27.10%: 've decided that Vitamin C cookies are del
27.08%: 've decided cookies are totally not
27.05%: 've decided cookies are still rad
27.02%: 've decided to eat
71.19%: 've decided to eat cookies
58.40%: 've decided to eat cookies all
54.74%: 've decided to eat cookies all the
43.25%: 've decided to eat cookies all day!
41.96%: 've decided to eat cookies instead
27.01%: 've already decided that Vitamin C is cooler
27.01%: 've decided to call them
26.99%: 've decided to make
112.96%: 've decided to make cookies
37.13%: 've decided to make cookies the
32.82%: 've decided to make cookies the only
26.97%: 've decided that cookies really
26.86%: 've already eaten a cookie this
26.85%:  have eaten Vitamin C cookies today and
26.85%:  have already decided that cookies are Vit
26.74%:  already invented cookies so
26.53%:  think
26.52%:  have decided cookies are still
26.40%: 've already eaten Vitamin C cookies and liked
26.38%:  already have cookies at
26.11%:  have cookies in the
26.09%: 've already decided that Vitamin C is cookies are
26.02%: 've decided that Vitamin C cookies are on
47.89%: 've decided that Vitamin C cookies are on sale
25.88%: 've already decided that Vitamin C is an
25.81%: 've already eaten a Vit
45.24%: 've already eaten a Vitamin C cookie
42.44%: 've already eaten a Vitamin C!
33.20%: 've already eaten a Vitamin C this
26.80%: 've already eaten a Vitamin C cookie this
25.81%: 've decided that cookies are already sl
25.79%: 've already decided that Vitamin C cookies are pron
25.73%:  have decided that cookies already
25.70%: 've already decided that Vitamin C cookies is a
25.69%:  have eaten Vitamin C all
25.66%: 've already decided that Vitamin C likes
646.84%: 've already decided that Vitamin C likes cookies!
124.93%: 've already decided that Vitamin C likes cookies and
78.96%: 've already decided that Vitamin C likes cookies a
25.61%:  have decided cookies are pretty rad and
25.28%: 've already decided that Vitamin C is like cookies!
25.19%: 've already decided that cookies and Vit
26.89%: 've already decided that cookies and Vitamin C is
25.15%: 've already decided cookies are not
25.04%:  have decided that Vitamin C cookies are plain
25.01%: 've decided that Vitamin C cookies are hilar
24.97%: 've already made cookies that contain
24.94%: 've decided that Vitamin C cookies are like ordinary
24.79%: 've decided that Vitamin C cookies really are kinda
24.76%:  have decided to eat
46.32%:  have decided to eat cookies
30.83%:  have decided to eat cookies all
24.72%:  have decided that Vitamin C cookies are on
24.72%:  have decided that Vitamin C can
24.69%: 've already decided that Vitamin C cookie
41.63%: 've already decided that Vitamin C cookie sand
24.63%: 've decided that Vitamin C are cookies are
24.47%:  already invented a
54.61%:  already invented a cookie
51.81%:  already invented a cookie recipe
69.00%:  already invented a cookie recipe that has
65.36%:  already invented a cookie recipe that'
37.50%:  already invented a cookie that
35.60%:  already invented a cookie that's shaped
45.34%:  already invented a cookie that's shaped like C
30.36%:  already invented a cookie sl
24.53%:  already invented a cookie that's like
24.30%:  have recently decided
24.29%: 've decided that Vitamin C is a really
24.28%: 've decided cookies are rad
24.27%:  have already decided that Vitamin C looks
24.26%: 've already eaten like
24.25%: 've decided cookies are healthy
24.25%:  already invented the cookie sl
24.22%: 've decided cookies already
24.19%:  have decided that cookies are like Vit
62.04%:  have decided that cookies are like Vitamin C!
37.36%:  have decided that cookies are like Vitamin C in
24.18%: 've decided that Vitamin C cookies are poison!
24.17%: 've already decided that Vitamin C cookies are ir
24.16%: 've already eaten cookies!
24.14%:  have recently decided to
24.13%: 've already eaten the
74.23%: 've already eaten the cookies
24.12%: 've decided that cookies are all
24.10%:  have cookies that
31.28%:  have cookies that are Vit
170.42%:  have cookies that are Vitamin C!
37.75%:  have cookies that are Vitamin C'
31.37%:  have cookies that are Vitamin C cookies
24.06%:  totally
24.06%:  invented this
23.97%:  have decided that cookies are not nearly
23.82%: 've decided that cookies are no
23.81%:  have cookies in my pocket! Vit
23.78%:  have already started
23.76%: 've decided that Vitamin C is cookies
23.74%: 've decided that Vitamin C cookies are only rad
23.59%:  have decided cookies are my
23.53%:  have decided that Vitamin C cookies are as
23.52%:  have decided cookies are the only Vit
39.88%:  have decided cookies are the only Vitamin C!
26.35%:  have decided cookies are the only Vitamin C in
23.51%:  already invented a cookie recipe that is
23.51%:  think cookies
87.36%:  think cookies are already
55.09%:  think cookies are pretty
66.98%:  think cookies are pretty rad
43.26%:  think cookies are the
31.64%:  think cookies are already sl
25.03%:  think cookies are the most
23.50%:  have already decided that Vitamin C is cooler
23.50%: 've decided to name
51.42%: 've decided to name cookies
23.49%: 've already decided that Vitamin C cook
23.44%: 've already decided that Vitamin C is cookies!
23.42%:  have decided to call
23.38%:  have decided that cookies are like Vitamin C and
23.38%: 've already decided that Vitamin C cookies are old
23.36%: 've already decided cookies taste
23.26%: 've decided cookies don
23.26%:  already invented cookies earlier
49.73%:  already invented cookies earlier this
23.25%: 've already decided that cookies are so
23.22%: 've already decided that Vitamin C is a person
23.12%:  have decided that Vitamin C cookies are real
23.01%:  have decided cookies are already
22.98%: 've decided that cookies are like Vit
81.13%: 've decided that cookies are like Vitamin C!
70.39%: 've decided that cookies are like Vitamin C in
56.12%: 've decided that cookies are like Vitamin C and
28.64%: 've decided that cookies are like Vitamin C only
22.92%:  have decided that Vitamin C cookies also
22.89%: 've decided that cookies are only
22.84%: 've already made cookies!
22.81%:  have eaten cookies this
22.80%: 've already decided that Vitamin C and cookies is
22.75%: 've decided that Vitamin C cookies are already so
22.70%:  have already eaten some
52.85%:  have already eaten some cookies
23.35%:  have already eaten some cookies!
22.63%: 've already decided that cookies are kind
22.51%:  have decided that Vitamin C cookies are non
22.47%: 've decided that Vitamin C cookies are only as
22.46%:  already invented Vitamin C cookies like
22.46%: 've already eaten Vitamin C in cookies!
22.41%: 've already decided that Vitamin C cookies are l
22.37%:  have eaten Vitamin C cookies and they rocked!
22.37%:  already invented some
41.85%:  already invented some cookies
22.35%:  have decided that cookies are like Vitamin C only
22.32%: 've already decided that cookies are almost
22.31%:  think cookies are already the
23.51%:  think cookies are already the most
22.28%: 've decided cookies are not really
42.43%: 've decided cookies are not really that
22.21%: 've decided that Vitamin C shall
22.08%:  have decided that cookies are all
22.03%: 've decided that cookies are kinda rad
21.95%: 've eaten
27.49%: 've eaten cookies
47.25%: 've eaten cookies today
21.93%:  have already come
21.87%: 've already decided that Vitamin C is so
21.79%:  already have a cookie recipe
46.04%:  already have a cookie recipe that
21.75%:  have already decided that Vitamin C cookies do in
21.72%:  already have some cookies!
21.70%:  already have cookies on me
21.70%: 've already eaten almost
21.68%:  already have cookies that
21.66%: 've decided that cookies shall
21.60%:  have decided that Vitamin C does
21.51%:  have eaten Vitamin C lately!
21.50%:  have decided that Vitamin C cookies are only like
21.47%: 've already eaten Vitamin C cookies in this
21.47%: 've decided that Vitamin C is a special
65.89%: 've decided that Vitamin C is a special kind
21.45%: 've already decided on
21.45%:  have cookies in my pocket and there
26.95%:  have cookies in my pocket and there are
21.41%: 've already decided that cookies are r
21.39%: 've decided that instead
21.37%:  have eaten cookies today and
21.36%: 've already replaced
22.87%: 've already replaced cookies
21.32%:  have cookies in my pants
21.30%:  have decided that cookies and
21.27%:  have cookies in my pocket that are also
21.23%:  already invented that one earlier
21.23%:  have decided that cookies are an
21.19%:  have already decided that Vitamin C is cookies!
21.19%: 've decided to keep
22.55%: 've decided to keep cookies
21.15%:  already invented cookies and
21.12%: 've decided that Vitamin C cookies are really rad so
21.11%:  have cookies that are Vitamin C's!
20.97%: 've decided that cookies are inher
20.94%: 've already decided that Vitamin C cookies are ok
20.90%:  already invented Vitamin C cookies a
20.77%: 've already decided that Vitamin C cookies like
20.76%: 've decided cookies are the only sl
20.58%:  think cookies are the only
20.56%:  think cookies are really
20.47%:  already have cookies and
20.37%: 've decided to stop
20.28%:  have decided that Vitamin C cookies are only sold
20.28%: 've decided that Vitamin C cookies are so rad
20.20%:  have decided that Vitamin C and
81.88%:  have decided that Vitamin C and cookies
20.16%:  have already decided that Vitamin C rocks like
20.04%:  have decided that Vitamin C cookies are r
20.01%:  have decided that Vitamin C is a cookie
19.99%: 've decided that cookies are more than
19.90%:  have already decided that cookies are sl
19.81%:  have eaten Vitamin C cookies this day
19.74%:  have already decided that cookies are sp
19.68%:  have cookies that are called
19.68%:  have already eaten Vitamin C cookies in
19.55%:  think cookies are totally
19.55%: 've eaten cookies already
19.52%: 've already decided cookies aren
19.51%:  already have cookies to
19.51%: 've decided that cookies are all the
19.39%: 've already made cookies and
19.38%: 've decided that Vitamin C cookies are already sp
19.35%:  have already made
80.54%:  have already made cookies
19.83%:  have already made cookies that
19.31%: 've decided cookies are named
19.28%:  have decided that cookies are no
19.25%:  have already decided that Vitamin cookies
19.23%:  have decided that Vitamin C cookies are really d
19.22%:  have already decided that Vitamin C cookies W
19.21%: 've already decided that Vitamin cookies
19.16%:  have decided to name
41.61%:  have decided to name cookies
19.14%: 've already eaten a Vitamin C cookie!
19.14%: 've decided that Vitamin C is like
43.70%: 've decided that Vitamin C is like cookies
19.12%:  have already decided cookies are not
19.07%:  have eaten Vitamin C in
19.07%:  have already replaced
21.23%:  have already replaced cookies
18.99%: 've decided cookies are also
18.97%:  have cookies that contain
18.94%: 've decided cookies are still pretty rad and
18.92%:  have decided that Vitamin C's cookies are rad
18.89%:  already invented Vitamin C so
18.89%: 've decided that Vitamin C cookies are really spook
18.86%:  already have cookies in mind
18.85%:  have already created
18.77%: 've decided that Vitamin C cookies are easily
18.76%: 've decided cookies are the only animal
18.76%: 've decided that cookies are an
18.71%: 've already decided that Vitamin C cookies d
18.67%:  have decided that Vitamin C cookies are poison!
18.60%: 've decided that Vitamin C and cookies are like
18.59%:  have cookies that are Vitamin C sl
18.57%: 've already replaced the
18.56%: 've decided that Vitamin C cookies are a kind
18.53%: 've already decided that Vitamin C cookies W
18.52%:  have eaten Vitamin C and
18.49%:  have already decided that Vitamin C is sp
18.47%:  have decided that Vitamin C is already
18.41%:  have decided that cookies don
74.16%:  have decided that cookies don't really
