hung over is like winning the lottery, except they pay you in regret!
100.00%: 
8.78%:  super
2.20%:  hung over is like trying to get up while
1.85%:  hung over really
1.84%:  hung over is pretty great, except when you like
1.83%:  this
4.11%:  this hung over
1.82%:  hung over is pretty okay, except when your entire
1.72%:  hung over is like trying to get out
1.67%:  hung over is like eating
1.66%:  hung over is pretty rough,
1.66%:  hung over is like trying to play the
1.65%:  hung over is pretty nice though
1.61%:  hung over is like trying to type with only
2.24%:  hung over is like trying to type with only three
1.56%:  hung over is pretty great, though
1.49%:  super hung
1.48%:  hung over is pretty ok though
1.43%:  hung over is like trying to piece
1.41%:  hung over is pretty great, except when it hur
1.41%:  hung over is like trying to type with a
1.37%:  hung over is pretty cr
1.35%:  hung over is like trying to get up when
1.35%:  hung over is not
1.32%:  hung over is pretty neat,
1.30%:  hung over is like trying to type when
2.48%:  hung over is like trying to type when you
1.61%:  hung over is like trying to type when your entire
1.54%:  hung over is like trying to type when your typing
1.29%:  hung over is like trying to type while there
1.24%:  hung over is pretty great, you know!
1.23%:  hung over is like trying to type with the
1.22%:  hung over is pretty legit,
1.19%:  hung over is like trying to write in
1.19%:  hung over is pretty great, like
1.19%:  hung over is like trying to go
1.17%:  hung over is pretty gro
1.14%:  hung over is pretty okay with
1.13%:  hung over is pretty legit, you
1.12%:  hung over is really
4.58%:  hung over is really pretty
1.48%:  hung over is really pretty nice
1.09%:  hung over is pretty okay except
1.38%:  hung over is pretty okay except when
1.65%:  hung over is pretty okay except when it
1.25%:  hung over is pretty okay except when you try
1.07%:  hung over is like trying to type while your teeth
1.05%:  hung over is pretty legit though
1.04%:  hung over is pretty great, except when you lie in
1.02%:  hung over is pretty l
1.00%:  hung over pretty
1.00%:  hung over is pretty pretty
0.99%:  hung over is pretty nice though,
0.99%:  hung over is pretty legit, you know
0.97%:  hung over is pretty okay, except when your teeth
0.97%:  hung over is pretty okay, except when you lie
0.96%:  hung over is like trying to eat
0.96%:  super into
0.92%:  hung over is like trying to type while eating
0.90%:  really
0.89%:  hung over is not like
0.89%:  hung over is like trying to type while the
0.89%:  hung over is like trying to turn
0.89%:  hung over is pretty okay, except when there
0.88%:  hung over is like trying to type with your right
0.87%:  hung over is pretty okay, except when it hur
0.87%:  hung over is like going
0.87%:  pretty
0.87%:  super hung over
0.85%:  hung over is pretty great, except when you go
0.85%:  hung over is like trying to type in
0.83%:  hung over is really pretty nice,
0.91%:  hung over is really pretty nice, you
0.82%:  hung over is like trying to eat while
1.07%:  hung over is like trying to eat while your
1.01%:  hung over is like trying to eat while your teeth
0.82%:  hung over is like trying to play with
0.81%:  hung over is pretty okay, except when trying
0.81%:  hung over is pretty al
0.80%:  hung over is pretty okay except when you get
0.80%:  hung over is pretty okay, except when you get the
0.79%:  hung over is pretty ok,
0.79%:  hung over is truly
0.77%:  hung over is like when
1.22%:  hung over is like when you get
0.77%:  hung over is pretty great, except you
0.75%:  hung over is like trying to type in your
0.75%:  hung over is pretty neat, you
0.74%:  hung over is like trying to type with three
0.74%:  hung over is like trying to type while punch
0.73%:  hung over is pretty okay though, except
0.73%:  hung over is like trying to get the
0.72%:  hung over is like trying to type on
0.71%:  hung over is pretty okay except when your
0.70%:  hung over is really pretty nice, you know
0.70%:  hung over is like lying
0.68%:  hung over is like trying to che
0.68%:  hung over is like trying to touch
0.82%:  hung over is like trying to touch the
0.68%:  hung over is pretty great, e
0.68%:  hung over is like trying to chew your
0.68%:  hung over is like trying to run the
0.69%:  hung over is like trying to run the entire
2.10%:  hung over is like trying to run the entire length
0.67%:  hung over is pretty tough
0.66%:  hung over is like when your
0.66%:  hung over really is
8.99%:  hung over really is pretty
1.78%:  hung over really is pretty nice
0.73%:  hung over really is pretty nice,
0.70%:  hung over really is pretty nice, you
0.65%:  hung over is pretty great, except when you get one
0.65%:  hung over is like trying to cure
0.82%:  hung over is like trying to cure the
0.64%:  hung over really is the
0.64%:  hung over is like trying to type with your th
0.63%:  hung over is like trying to win
0.63%:  hung over is pretty okay, h
0.62%:  hung over is like trying to run the length
0.62%:  hung over is like trying to get up when there
0.61%:  hung over is like trying to get up while the
0.91%:  hung over is like trying to get up while the entire
0.61%:  hung over is pretty okay, except it
0.61%:  hung over is pretty great, like when
1.06%:  hung over is pretty great, like when you get
0.60%:  hung over is pretty great when
32.03%:  hung over is pretty great when you think
1.06%:  hung over is pretty great when you like
1.55%:  hung over is pretty great when you like lying
1.05%:  hung over is pretty great when you think it
0.63%:  hung over is pretty great when you get
0.59%:  hung over is like trying to punch
0.59%:  hung over is like trying to get up in
0.58%:  hung over is like trying to put the
0.58%:  hung over is the only
0.73%:  hung over is the only thing
0.58%:  hung over is pretty great, except when you get like
0.57%:  hung over is like trying to write in the
0.57%:  hung over is pretty great except
0.78%:  hung over is pretty great except when
4.75%:  hung over is pretty great except when you think
1.24%:  hung over is pretty great except when your
0.97%:  hung over is pretty great except when you try
0.79%:  hung over is pretty great except when it
0.57%:  tips
0.57%:  hung over is pretty okay, except there
0.56%:  hung over is like w
0.56%:  hung over is like trying to open
0.56%:  hung over is like when people
0.56%:  hung over is pretty okay except when your entire
0.56%:  hung over is pretty great, except when you tell
0.56%:  hung over is legit
0.56%:  hung over is like trying to tie
0.55%:  sick in
3.30%:  sick in the toilet
0.58%:  sick in the toilet while
0.98%:  sick in the toilet while trying
0.55%:  hung over is like trying to get up while there
0.55%:  hung over is like trying to clean
0.63%:  hung over is like trying to clean your
3.33%:  hung over is like trying to clean your teeth
1.08%:  hung over is like trying to clean your teeth when
0.68%:  hung over is like trying to clean your teeth with gr
0.55%:  hung over is pretty nice, right
0.55%:  hung over is like going to
0.98%:  hung over is like going to the
0.55%:  hung over is the only way to truly
0.54%:  hung over is pretty ok though,
0.54%:  hung over is pretty great, in
0.54%:  hung over is like trying to piece your
0.54%:  hung over is like trying to eat your
0.59%:  hung over is like trying to eat your weight
0.54%:  hung over truly
0.54%:  hung over is like trying to type with your eye
0.54%:  hung over is like trying to re
0.53%:  hung over is like trying to type in the
0.53%:  hung over is pretty great except when you get
0.53%:  hung over is like trying to run in
0.53%:  hung over is like trying not
0.53%:  hung over is like trying to pe
1.59%:  hung over is like trying to pee with
3.30%:  hung over is like trying to pee with your
1.04%:  hung over is like trying to pee while
0.73%:  hung over is like trying to pee while your
0.53%:  even
0.54%:  even a little hung
0.52%:  hung over is pretty nice, though
0.52%:  hung over is like eating the
0.53%:  hung over is like eating the entire
0.51%:  hung over is pretty great in
1.38%:  hung over is pretty great in theory
0.51%:  hung over is like when you trip
0.51%:  hung over is like trying to clean up
0.51%:  this hung over really
0.51%:  hung over is like trying to type with your ey
0.51%:  hung over is like trying to type while the entire
0.51%:  hung over is pretty okay, it
0.50%:  hung over is pretty killer
0.50%:  hung over is like trying to run in the
0.50%:  hung over is pretty great when you like the
0.49%:  hung over is like eating your
0.66%:  hung over is like eating your weight
0.49%:  hung over is like the entire
0.48%:  hung over is pretty great, except when you ignore
0.61%:  hung over is pretty great, except when you ignore the
0.48%:  hung over is pretty okay, except when the
0.47%:  hung over is like trying to play che
0.47%:  hung over is pretty legit though,
0.47%:  hung over is like trying to watch
0.47%:  hung over is like trying to win the
0.47%:  hung over is like trying to run with the
0.47%:  hung over is like trying to po
0.47%:  sick in the toilet never
0.47%:  hung over is like trying to type while typing
0.46%:  hung over is like trying to eat while your entire
0.46%:  hung over is like lying next
1.23%:  hung over is like lying next to the
0.77%:  hung over is like lying next to your
0.46%:  hung over is pretty great, except when there
0.46%:  hung over is pretty great, in theory
0.45%:  hung over is like trying to get up the
0.45%:  hung over is like trying to pee while you
0.45%:  hung over is like trying to write poetry,
1.85%:  hung over is like trying to write poetry, except
0.45%:  hung over is pretty g
0.44%:  hung over is like trying to type with one eye
0.44%:  hung over is pretty great, like when your
0.44%:  hung over is pretty great when you like it
0.44%:  hung over is pretty okay, except the
0.43%:  hung over is like trying to throw
0.43%:  hung over is like hop
0.43%:  hung over is pretty okay when
0.58%:  hung over is pretty okay when it
0.43%:  hung over is pretty okay, except when you tell
0.43%:  hung over is pretty great too
0.42%:  hung over is like trying to run while there
0.42%:  hung over is like trying to write the entire
0.42%:  hung over is pretty he
0.42%:  hung over is like, the only
0.51%:  hung over is like, the only thing
0.42%:  hung over is like trying to play the entire
0.42%:  hung over is pretty okay, except when you regret
0.42%:  hung over is pretty okay, except when you get th
0.41%:  hung over is not pretty
0.41%:  hung over is like trying to write a
0.96%:  hung over is like trying to write a letter
0.41%:  even a little tips
0.40%:  hung over is like trying to run while the
0.45%:  hung over is like trying to run while the entire
0.40%:  hung over is like, the only way to get
0.40%:  hung over is like trying to rec
0.40%:  hung over is like trying to put the entire
0.40%:  hung over is like the only
0.44%:  hung over is like the only thing
0.40%:  hung over rules
0.40%:  into
0.39%:  hung over is pretty chill
0.39%:  hung over is pretty nice, h
0.39%:  hung over is pretty w
0.39%:  hung over is like trying to clean your entire
0.39%:  hung over is pretty nice, you know!
0.38%:  hung over is pretty great, it
0.38%:  hung over is like trying to pet
0.38%:  truly
0.38%:  hung over is pretty great, except when the
0.38%:  hung over is like trying to write poetry except
0.38%:  hung over is like trying to type while you can
0.38%:  hung over is pretty great, except when you ignore it
0.37%:  hung over is really not
0.37%:  hung over is like not
0.37%:  hung over is like trying to write the next
0.37%:  hung over is pretty okay, except when you get it
0.36%:  sick in the toilet while trying not
0.36%:  hung over is pretty great when it
0.36%:  hung over is pretty right
0.36%:  hung over is pretty cool, right
0.36%:  hung over is like trying to type on the
0.36%:  hung over is like trying to type your
0.36%:  hung over is pretty okay, except when you get it in
0.36%:  hung over is like trying to turn the
0.36%:  hung over is like trying to type while trying
0.36%:  hung over is pretty ugly
0.35%:  hung over rules pretty
0.35%:  hung over is like when your teeth
0.35%:  sick in the toilet while your
0.35%:  hung over really is pretty hop
0.34%:  hung over is like trying to write on
0.40%:  hung over is like trying to write on the
0.34%:  hung over is pretty great, unlike
0.34%:  hung over is like trying to write in your
0.34%:  hung over is pretty okay, e
0.34%:  hung over is pretty okay, except when you get light
0.34%:  hung over is like trying to clean your teeth with engine
0.34%:  hung over is like trying to pee with your teeth
0.34%:  hung over is pretty tough,
0.34%:  hung over is like when you try
0.47%:  hung over is like when you try to get
0.33%:  hung over is like trying to play with your
0.33%:  hung over is pretty okay when you get
0.33%:  hung over is pretty ok, though
0.33%:  hung over is like trying to type when there
0.33%:  hung over is pretty great, y
0.33%:  hung over is like when your teeth get
0.33%:  hung over is pretty well
0.32%:  hung over is pretty okay when you expect
1.13%:  hung over is pretty okay when you expect it,
0.42%:  hung over is pretty okay when you expect it, right
0.32%:  hung over is like trying to light
0.32%:  hung over is like when you expect
0.32%:  hung over is pretty okay, except when you get hit
0.32%:  super into hop
0.31%:  hung over is like trying to type with your hang
0.31%:  hung over is like when your entire
0.31%:  hung over is pretty cute
0.31%:  hung over is like trying to enter
0.31%:  sick in your
0.31%:  hung over is pretty great, except like
0.57%:  hung over is pretty great, except like when
0.44%:  hung over is pretty great, except like when you try
0.41%:  hung over is pretty great, except like when you get
0.40%:  hung over is pretty great, except like when your
0.31%:  hung over is pretty neat though
0.31%:  hung over is pretty great, holy
0.31%:  hung over is like trying to get into
0.31%:  hung over is pretty like
0.31%:  very
0.31%:  hung over is pretty great, except where
0.41%:  hung over is pretty great, except where you
0.31%:  hung over is like trying to get people
0.31%:  hung over is pretty great, except when the only
0.31%:  hung over is like trying to eat while you
0.31%:  hung over is pretty rough, e
0.30%:  hung over is like trying to hit
0.30%:  hung over is like the exact
0.30%:  hung over is way
0.30%:  sick really
0.30%:  hung over is pretty nice too
0.30%:  sick while
0.33%:  sick while trying
0.35%:  sick while trying to get
0.30%:  hung over is great
0.30%:  hung over is like trying to put on
0.40%:  hung over is like trying to put on weight
0.30%:  hung over is like trying to chew your entire
0.30%:  hung over is like trying to type while your heart
0.30%:  hung over is like trying to light your
0.30%:  hung over is pretty great, except when trying
0.30%:  hung over is like when you get hit
0.29%:  hung over is like trying to type with giant
0.29%:  hung over is like trying to get up when the
0.46%:  hung over is like trying to get up when the entire
0.29%:  hung over is pretty not
0.29%:  hung over is like trying to run when
0.29%:  hung over is the p
0.29%:  hung over is pretty great though, like
0.29%:  hung over is like trying to pee with the
0.29%:  this hung over pretty
0.29%:  hung over is like trying to clean up the
0.29%:  pretty sure
0.39%:  pretty sure you
0.29%:  hung over is like trying to run the entire city
0.29%:  hung over is pretty great when you expect
0.85%:  hung over is pretty great when you expect it,
0.29%:  hung over is like trying to win the lot
3.37%:  hung over is like trying to win the lottery,
0.48%:  hung over is like trying to win the lottery in
0.47%:  hung over is like trying to win the lottery!
0.29%:  hung over is like trying to play pin
0.29%:  hung over is like trying to pee when
0.55%:  hung over is like trying to pee when your
0.29%:  hung over truly is like
0.29%:  hung over is like trying out
0.29%:  hung over is pretty great, except when you get one!
0.29%:  hung over is not nearly
0.28%:  hung over is like trying to type when your entire typing
0.28%:  hung over is pretty great, except like when it
0.28%:  hung over is like eating twenty
0.28%:  hung over is pretty great, like when you get to lie
0.28%:  hung over is like trying to hop while
0.28%:  hung over is pretty okay, except you
0.28%:  sick in the toilet while trying to pe
0.28%:  sick in the toilet while trying to pu
0.28%:  hung over is like twenty
0.51%:  hung over is like twenty people
0.64%:  hung over is like twenty people trying
0.28%:  hung over is the only way to get
0.28%:  hung over is like trying to enter the
0.28%:  hung over is pretty okay except when trying
0.28%:  hung over is pretty okay in
0.58%:  hung over is pretty okay in theory
0.28%:  hung over is pretty okay except when it hur
0.28%:  hung over is like when you try to type
0.27%:  hung over is like trying to carry
0.27%:  hung over really is pretty rough
0.27%:  hung over is like trying to get a
0.27%:  hung over is like trying to teach
0.40%:  hung over is like trying to teach your
0.27%:  hung over is like, pretty nice
0.27%:  hung over is like trying to type while one
0.27%:  hung over is like trying to ignore
0.41%:  hung over is like trying to ignore the
0.27%:  hung over is like trying to type with only the
0.27%:  hung over is pretty ok, you
0.27%:  hung over is pretty creep
0.33%:  hung over is pretty creepy,
0.27%:  hung over is like trying to type with your leg
0.27%:  hung over is like trying to clean up the entire
0.27%:  hung over is like lying in the
0.27%:  hung over is like trying to type while your th
0.27%:  hung over is like your
0.39%:  hung over is like your entire
0.27%:  hung over is pretty po
0.27%:  hung over is pretty great, except in
0.27%:  hung over is like trying to write on paper
0.26%:  hung over is like trying to punch the
0.26%:  hung over is pretty great except when you like
0.26%:  hung over is like paying
0.26%:  so
0.26%:  hung over is pretty great in theory, except
0.66%:  hung over is pretty great in theory, except when
0.26%:  hung over really isn
0.26%:  like
0.37%:  like this
0.40%:  like this every
0.26%:  hung over is like trying to type while your right
0.25%:  in
0.25%:  hung over is not pretty!
0.25%:  hung over is pretty great, except there
0.25%:  hung over truly is pretty
0.25%:  hung over is pretty great, except it
0.25%:  hung over is pretty great, when
1.18%:  hung over is pretty great, when you get
0.25%:  hung over is pretty great when you like lying on
0.25%:  hung over is like trying to open the
0.25%:  hung over is pretty great, except the
0.26%:  hung over is pretty great, except the whole
0.25%:  hung over really is pretty nice, you know!
0.25%:  hung over is like, pretty great though
0.25%:  hung over is like trying to get your teeth
0.25%:  hung over is pretty nice, e
0.24%:  hung over is like you
0.24%:  hung over is pretty okay, except when you lie in
0.24%:  hung over is like when you try to play
0.24%:  hung over is like trying to write the phone
0.24%:  hung over sure
0.24%:  sick while trying to get out
0.24%:  hung over is like trying to cl
0.24%:  hung over is pretty great, except when you get one like
0.24%:  hung over is like trying to eat while crying
0.24%:  hung over is pretty great, except when you get n
0.24%:  hung over is pretty keen
0.24%:  hung over is like trying to chew your teeth
0.24%:  hung over is like trying to punch the entire
0.24%:  hung over is like trying to craw
0.24%:  hung over is like trying to throw up in
0.24%:  hung over is pretty okay, except when the only
0.23%:  legit
0.23%:  hung over is like trying to pee with your heart
0.23%:  hung over is like trying to type with no
0.23%:  hung over rocks
0.23%:  hung over is pretty okay in the
0.23%:  hung over is pretty trick
0.23%:  hung over is like trying to type the
0.23%:  hung over is pretty neat, you know
0.23%:  hung over is like trying to type with tiny
0.23%:  hung over is like trying to get your entire
0.23%:  hung over is pretty great in theory!
0.23%:  hung over is like trying to hug
0.23%:  hung over is pretty creepy, you
0.23%:  hung over is pretty great, except when you get in
0.22%:  hung over is pretty crap
0.22%:  hung over is like trying to power
0.22%:  hung over is like trying to type with your gen
0.22%:  hung over isn
0.22%:  hung over is like pretty
0.22%:  hung over is like when the
0.22%:  hung over is like when you get the
0.22%:  hung over is pretty great, except you know
0.22%:  hung over is pretty rock
0.22%:  hung over rocks pretty
0.22%:  hung over is pretty okay in theory, except
0.50%:  hung over is pretty okay in theory, except when
0.22%:  hung over is pretty okay, except where
0.25%:  hung over is pretty okay, except where it
0.22%:  hung over is pretty great too,
0.22%:  hung over is like trying to clean your teeth with pe
0.22%:  hung over is pretty great, except now
0.22%:  hung over is like trying to get up in the winter
0.22%:  hung over is pretty okay in ret
0.22%:  sick while trying to hop
0.21%:  hung over is pretty nice when
4.58%:  hung over is pretty nice when you think
0.70%:  hung over is pretty nice when you get
0.22%:  hung over is pretty nice when it
0.22%:  hung over is pretty nice when you like
0.21%:  hung over is like trying to pee with your leg
0.21%:  hung over is like trying to play pin the
0.21%:  hung over is pretty great, except when you think in
0.21%:  hung over is pretty epic
0.21%:  hung over is pretty pretty okay
0.21%:  hung over is like trying to throw up in the
0.21%:  hung over is pretty killer,
0.21%:  hung over is pretty great right
0.21%:  hung over is pretty great right now,
0.21%:  hung over is like trying to learn
0.21%:  hung over is pretty tight
0.21%:  hung over is not the
0.21%:  hung over is like trying to type the entire
0.21%:  hung over is pretty okay though, e
0.21%:  hung over is like, the exact
0.20%:  hung over is pretty neat though,
0.20%:  hung over is pretty great, like the
0.20%:  hung over is pretty okay once
0.20%:  hung over is pretty chill,
0.20%:  hung over is pretty great except when you lie
0.20%:  hung over truly is pretty great
0.20%:  hung over is pretty okay except when your teeth
0.20%:  hung over is pretty okay, except it hur
0.20%:  hung over is like trying to get your teeth clean
0.33%:  hung over is like trying to get your teeth clean when
0.20%:  hung over is pretty legit, h
0.20%:  hung over is pretty okay, except when the entire
0.20%:  hung over is like trying to type in the wrong
0.20%:  pretty hung
0.26%:  pretty hung over
2.41%:  pretty hung over is pretty
0.78%:  pretty hung over is pretty nice
0.75%:  pretty hung over is pretty okay
0.43%:  pretty hung over is pretty great
0.38%:  pretty hung over is pretty okay,
0.35%:  pretty hung over is like
0.31%:  pretty hung over is pretty nice,
0.26%:  pretty hung over is pretty okay though
0.25%:  pretty hung over is pretty cool
0.24%:  pretty hung over is pretty nice, you
0.27%:  pretty hung over is pretty nice, you know
0.24%:  pretty hung over is pretty great,
0.20%:  hung over is pretty great when you like lying in the
0.20%:  hung over is like trying to type while not
0.49%:  hung over is like trying to type while not typing
0.20%:  hung over is pretty nice, really
0.20%:  hung over is like trying to clean the
0.20%:  hung over is pretty pretty nice
0.20%:  the
0.42%:  the only
0.43%:  the only person
1.65%:  the only person in the entire
5.38%:  the only person in the entire city
0.96%:  the only person in the entire city who never
0.92%:  the only person in the entire city with
0.30%:  the only person in the entire city to
0.37%:  the only person in the entire city to never
0.28%:  the only person in the group
0.28%:  the only person in the entire city to ever
0.28%:  the only person in the entire city to ever wake
1.38%:  the only person in the entire city to ever wake up hung
0.40%:  the only person in the entire city to ever wake up hungry
0.27%:  the only person in the city
0.26%:  the only person in the entire city who ever
0.24%:  the only guy
1.35%:  the only guy in the entire
1.74%:  the only guy in the entire city
1.12%:  the only guy in the entire city who never
1.83%:  the only guy in the entire city who never gets
1.09%:  the only guy in the group
0.81%:  the only guy in the entire city who never got
0.92%:  the only guy in the entire city who never got super
0.66%:  the only guy in the group who never
1.95%:  the only guy in the group who never gets
0.35%:  the only guy in the entire group
0.29%:  the only guy in the entire city with
0.27%:  the only guy in the entire city to
0.40%:  the only guy in the entire city to never
0.23%:  the only person in the entire city to wake
0.99%:  the only person in the entire city to wake up hung
0.30%:  the only person in the entire city to wake up hungry
0.21%:  the only guy in the group who never gets tr
0.20%:  the only person in the entire city to wake up every
0.20%:  the only guy in the group not
0.20%:  the only person ever
0.20%:  the only guy in the group to
0.28%:  the only guy in the group to never
0.20%:  super tr
0.20%:  hung over is like trying to type while trying to punch
0.20%:  hung over is not like the
0.20%:  hung over is pretty neat, except
0.21%:  hung over is pretty neat, except when
0.94%:  hung over is pretty neat, except when you think
0.29%:  hung over is pretty neat, except when your
0.28%:  hung over is pretty neat, except when you try
0.27%:  hung over is pretty neat, except when it
0.22%:  hung over is pretty neat, except when you get
0.19%:  hung over is pretty great, once
0.53%:  hung over is pretty great, once you get the
0.19%:  hung over is like typing
0.19%:  sick to
0.19%:  hung over is like trying to get in
0.19%:  hung over is like trying to pay
0.19%:  the only guy in the group with
0.19%:  hung over is pretty great, except when you lie there
0.19%:  hung over is pretty great once
0.50%:  hung over is pretty great once you get the
0.19%:  the only guy in the entire town
0.19%:  hung over is pretty great when you like to
0.24%:  hung over is pretty great when you like to lie
0.19%:  hung over is pretty great, unlike the
0.19%:  hung over is like thirty
0.27%:  hung over is like thirty people
0.33%:  hung over is like thirty people trying
0.19%:  the only person in the entire city to ever wake up in
0.19%:  hung over is pretty great, except when you lie to
0.19%:  hung over is like people
0.19%:  hung over is pretty cool, h
0.19%:  hung over is like trying to pee when your pe
0.19%:  hung over is like trying to hit the
0.19%:  hung over is pretty great, except when you like to
0.19%:  hung over is pretty tricky,
0.19%:  hung over is like crying
0.19%:  hung over is like trying to w
0.33%:  hung over is like trying to wipe the
0.19%:  hung over is like trying to ice
0.19%:  hung over is one
0.33%:  hung over is one thing
0.19%:  hung over is like trying to write the al
0.19%:  very hung
0.19%:  hung over is pretty great, except when you get lonely
0.19%:  hung over is like winning
0.42%:  hung over is like winning the
119.98%:  hung over is like winning the lottery except
195.28%:  hung over is like winning the lottery except you
139.03%:  hung over is like winning the lottery except you get
104.52%:  hung over is like winning the lottery except the
42.12%:  hung over is like winning the lottery except there
33.48%:  hung over is like winning the lottery except your
26.14%:  hung over is like winning the lottery except it
22.65%:  hung over is like winning the lottery except you regret
20.92%:  hung over is like winning the lottery,
464.28%:  hung over is like winning the lottery, except
535.10%:  hung over is like winning the lottery, except you
483.60%:  hung over is like winning the lottery, except the
346.06%:  hung over is like winning the lottery, except you get
151.20%:  hung over is like winning the lottery, except there
101.10%:  hung over is like winning the lottery, except it
96.91%:  hung over is like winning the lottery, except your
57.99%:  hung over is like winning the lottery, except you regret
32.51%:  hung over is like winning the lottery, except in
31.99%:  hung over is like winning the lottery, except in the
26.01%:  hung over is like winning the lottery, except you get a
25.18%:  hung over is like winning the lottery, except the pri
24.47%:  hung over is like winning the lottery, except the pay
23.27%:  hung over is like winning the lottery, except there are
19.28%:  hung over is like winning the lottery, except rather
17.92%:  hung over is like winning the lottery, except you pay
17.29%:  hung over is like winning the lottery, except they
15.53%:  hung over is like winning the lottery, except then
15.43%:  hung over is like winning the lottery!
13.71%:  hung over is like winning the lottery, except you pay the
10.09%:  hung over is like winning the lottery, except you enter
9.54%:  hung over is like winning the lottery, except then your
9.47%:  hung over is like winning the lottery, except you hate
7.58%:  hung over is like winning the lottery except you get a
7.43%:  hung over is like winning the lottery except they
7.09%:  hung over is like winning the lottery except the pri
6.98%:  hung over is like winning the lottery, except your pri
6.43%:  hung over is like winning the lottery except the pay
5.22%:  hung over is like winning the lottery except you pay
4.91%:  hung over is like winning the lottery, except your entire
4.73%:  hung over is like winning the lottery, except you either
4.13%:  hung over is like winning the lottery except in
3.89%:  hung over is like winning the lottery, except it hur
3.78%:  hung over is like winning the lottery, except the guy
3.72%:  hung over is like winning the lottery, except you get pri
3.62%:  hung over is like winning the lottery, except in your
3.51%:  hung over is like winning the lottery, right
3.50%:  hung over is like winning the lottery except there are
3.43%:  hung over is like winning the lottery, except you pay entry
3.14%:  hung over is like winning the lottery, except then you pay
3.07%:  hung over is like winning the lottery, except your entry
3.04%:  hung over is like winning the lottery except then
2.97%:  hung over is like winning the lottery, except there you
2.96%:  hung over is like winning the lottery except you pay the
2.91%:  hung over is like winning the lottery, except your pay
2.75%:  hung over is like winning the lottery, except you are
5.13%:  hung over is like winning the lottery, except you are the
2.71%:  hung over is like winning the lottery in
2.52%:  hung over is like winning the lottery except in the
2.47%:  hung over is like winning the lottery except your pri
2.32%:  hung over is like winning the lottery, except you get h
2.24%:  hung over is like winning the lottery, except you get an
2.17%:  hung over is like winning the lottery, except no
2.17%:  hung over is like winning the lottery, except there aren
2.11%:  hung over is like winning the lottery except then your
1.91%:  hung over is like winning the lottery in the
1.86%:  hung over is like winning the lottery, right except
2.40%:  hung over is like winning the lottery, right except you
1.73%:  hung over is like winning the lottery except you hate
1.73%:  hung over is like winning the lottery, except you get pain
1.69%:  hung over is like winning the lottery, except you try
1.59%:  hung over is like winning the lottery, except you get in
1.52%:  hung over is like winning the lottery except you enter
1.42%:  hung over is like winning the lottery except you get pri
1.41%:  hung over is like winning the lottery, except you pay in
1.33%:  hung over is like winning the lottery except,
2.20%:  hung over is like winning the lottery except, you
1.30%:  hung over is like winning the lottery except rather
1.23%:  hung over is like winning the lottery, except you hit
1.22%:  hung over is like winning the lottery, except you then
1.22%:  hung over is like winning the lottery, except right
