dang!! Dude, I just remembered how life is sad
100.00%: 
24.98%: ,
3.35%:  d
0.16%:  D
0.16%: , D
0.16%:  dang, I just remembered how life is!!
0.16%:  dang, just remembered D
0.16%:  dang, I just remembered how de
0.15%:  dang I just remembered how 
0.15%:  dang I just remembered how sad life is,
0.14%:  dang, I just remembered d
0.13%:  dang, I just remembered how life is sad!!
0.13%:  dang I just remembered 
0.13%:  dang I just remembered, is
0.13%:  dang, just remembered i
0.12%:  dang, just remembered his
0.12%:  dang I just remembered d
0.12%:  dang dudes, I just remember
0.12%:  dang I just remembered how i
0.12%:  dang, I just remembered as
0.12%:  dang, just remembered he
0.11%:  dang, I just remembered how lif
0.11%:  dang I just remembered she said
0.11%:  dang, I just remembered how diss
0.11%:  dang I just remembered how else
0.11%: !!
0.11%:  dang, I just remembered how ideas
0.11%:  dang dude, I just remember
0.10%:  dang I just remembered h
0.10%:  dang, just remembered how i
0.10%:  dang, I just remembered how dies
0.10%:  dang, just remembered how l
0.10%:  dang dudes, I just remember how
0.10%:  dang I just remembered how dis
0.10%:  dang, I just remembered how us
0.10%:  dang, I just remembered h
0.10%:  dang, I just remembered i
0.10%:  dang, I just remembered how idi
0.10%:  dang, I just remembered how ad
0.09%:  dang, just remembered I showed
0.09%:  I
0.09%:  dang I just remembered he said
0.09%:  dang, just remembered!! I
0.09%:  dang I just remembered how sal
0.09%:  dang, I just remembered how life is a
0.09%:  dang dude, I just remember how
0.09%:  dang, I just remember how dead
0.09%:  dang dudes I
0.09%:  dang, just remembered how a
0.08%:  dang dude!!
0.08%: , dang dude
0.08%:  dang, just remembered he said
0.08%:  dang, I just remembered us
0.08%:  dang I just remembered is
0.08%: es
0.08%:  dang I just remembered i
0.08%:  dang, just remembered how sad life
0.08%:  dang I just remembered how life is,
0.08%:  dang, I just remembered is
0.07%:  dang just
6.83%:  dang just remembered
2.86%:  dang just remembered how
1.79%:  dang just remembered I
0.66%:  dang just remembered how I
0.27%:  dang just remembered,
0.27%:  dang just remembered a
0.15%:  dang just remembered I had
0.13%:  dang just remembered i
0.10%:  dang just remembered I said
0.10%:  dang just remembered!!
0.10%:  dang just remembered, I
0.09%:  dang just remembered how I said
0.08%:  dang just remembered how I die
0.07%:  dang just remembered how sad
0.07%:  dang just remembered I die
0.07%:  dang I just remembered how less
0.07%:  dang I just remembered how de
0.07%:  dang, I just remembered how le
0.07%:  dang, just remembered how D
0.07%:  dang I just remembered, h
0.07%:  dang, I just remembered how ladies
0.07%:  dang I just used
0.07%:  dang, just remembered how life is sad
0.06%:  dang, just remembered how self
0.06%:  dang, I just remembered how as
0.06%:  dang, just remembered how sad life is!!
0.06%:  dang, I just remembered how s
0.06%:  dang, I just remembered she dies
0.06%:  dang I just remembered, D
0.06%:  dang, just remembered she said
0.06%:  dang, I just remembered how sus
0.06%: , see
0.06%:  dang, I just remembered how life used
0.05%:  dang, I just remembered how!!
0.05%:  dang, I just remembered how die
0.05%:  dang, I just remember how sad
0.05%:  dang, I just remembered how said
0.05%:  dang, just remember how
0.05%: , I see
0.05%:  dang, just remembered how d
0.05%:  dang dudes I just
0.05%:  dang I just remembered how life is sad!!
0.05%:  dang dude I
0.09%:  dang dude I just
0.06%:  dang dude I just remember
0.05%:  dang dude I just remember how
0.05%:  dang, I just remembered how lies
0.05%:  dang dudes I just remember
0.05%:  dang dudes I just remember how
0.05%:  dang I just remembered how lif
0.05%: , and
0.05%:  dang, I just remembered how used
0.05%:  dang, I just remembered how sed
0.05%:  dang, I just remembered a show
0.05%:  dang, just remembered 
0.04%:  dang I just remembered how disease
0.04%:  dang, I used
0.04%:  dang, just remembered how sal
0.04%:  dang just remember
0.04%:  dang just remembered how i
0.04%:  dang I just remembered how us
0.04%: , dad
0.04%:  dang, dude just
0.04%:  dang just remembered how I D
0.04%:  dang I just remembered how dies
0.04%:  dang I just remembered how life is!!
0.04%:  dang!! I
0.07%:  dang!! I just
12.78%:  dang!! I just remembered
7.10%:  dang!! I just remembered how
0.71%:  dang!! I just remembered a
0.53%:  dang!! I just remembered,
0.32%:  dang!! I just remembered how sad
0.21%:  dang!! I just remembered how life
0.12%:  dang!! I just remembered how life is
0.06%:  dang!! I just remembered how sad life
0.05%:  dang!! I just remember
0.04%:  dang, I just remembered how al
0.04%:  dang, I just remembered show
0.04%:  dang, just remembered as
0.04%:  dang, see
0.04%:  dang I just remembered as
0.04%:  dang just remembered how life
0.04%:  dang I just remembered how diss
0.04%:  dang, D
0.04%:  da
0.04%:  dang!! I just remembered how life is sad
0.04%:  dang, I just remembered how sel
0.04%:  dang, I just remember a
0.04%:  dang, I just remembered dies
0.04%:  dang I just remembered how ad
0.04%:  dang, I just remembered how des
0.04%:  dang, I just remembered how di
0.04%:  dang I just remembered, u
0.03%:  dang, I just remembered she does
0.03%:  dang, just remembered how I use
0.03%:  dang, just remembered how 
0.03%:  dang, I just remembered how dial
0.03%:  dang I just remembered how le
0.03%:  dang, I just remembered how i said
0.03%:  dang I just remembered us
0.03%:  dang I just remembered she dies
0.03%:  dang, I just remembered sh
0.03%:  dang I just remember how dead
0.03%:  dang I just remembered how life is sad,
0.03%:  dang, just read
0.03%: , dang I
0.05%: , dang I just
6.15%: , dang I just remembered
4.15%: , dang I just remembered how
0.29%: , dang I just remembered a
0.20%: , dang I just remembered how sad
0.14%: , dang I just remembered!!
0.07%: , dang I just remembered how life
0.03%: , dang I just remembered how life is
0.03%: , I need
0.03%:  dang I just remembered u
0.03%:  dang, just remembered how disease
0.03%:  dang I just remembered, how is
0.03%:  dang just remembered how I used
0.03%:  dang I just remembered how life is a
0.03%:  dang, I just remembered how ideal
0.03%:  dang, just remembered how I lied
0.03%:  dang dude, just
0.03%:  dang I just remembered how s
0.03%:  dang just remembered she
0.03%:  dang!! I just remember how
0.03%:  dang, just remembered how dis
0.03%:  dang I just remembered ah
0.03%:  dang, I just remembered how du
0.03%:  dang, I just remembered how li
0.03%:  dang, I just remembered how su
0.03%: , dang I just remember
0.03%:  dang I just remembered how ladies
0.03%: , dang d
0.05%: , dang dudes!!
0.03%:  dang, just remembered I die!!
0.03%:  dang, I just remembered how dess
0.03%:  dang, I just remembered how u
0.03%:  dang, I just remembered u
0.03%:  dang, I just remembered how life dies
0.03%:  dang, just remembered how else
0.03%:  dang I just remembered show
0.03%:  dang just remembered I used
0.02%:  dang, I just remembered how is
0.02%:  dang, just remembered she dies
0.02%:  dang I just remembered how ideas
0.02%:  dang, just remembered how i said
0.02%: , dang dude!!
0.02%:  dang, I just remembered is how
0.02%:  dang I just remembered how as
0.02%:  dang, dead
0.02%:  dang, just remembered d
0.02%:  dang I just remembered how idi
0.02%:  dang, just remember I
0.02%:  dang, I just re
0.02%:  dang, I just remembered a D
0.02%:  dang, I just remembered a 
0.02%:  dang just remembered I D
0.02%:  dang!! I just remembered how l
0.02%:  dang, I just remembered how ed
0.02%:  dang I just remembered how!!
0.02%:  dang, I just remembered how da
0.02%:  dang I just remembered, he
0.02%:  dang, I just remembered !!
0.02%:  dang I just remembered how sed
0.02%:  dang I just remembered sh
0.02%:  dang, I just remembered die
0.02%:  dang dude, just remember
0.02%:  dang, I see
0.02%:  dang I just remembered, she
0.02%:  dang I just remembered, d
0.02%:  dang, just remembered how I dies
0.02%:  dang I just remembered how is
0.02%:  dang I just remembered, a
0.02%: , s
0.02%: , dang I just remembered how life is sad
0.02%:  dang, I just remembered he dies
0.02%:  dang, I just remember how life
0.02%:  sn
0.02%:  dang I just remembered how die
0.02%:  dad
0.02%: , dang I just remembered D
0.02%:  dang, just remembered how less
0.02%:  dang just remembered how I die,
0.02%:  dang, I just remembered how due
0.02%:  dang, I just remembered house
0.02%:  dang I just remembered how sus
0.02%:  dang I just remembered how di
0.02%:  dang, just remembered how de
0.02%:  dang, I just remembered dess
0.02%:  dang, I just remembered a use
0.02%: , dang I just remembered how l
0.02%:  dang, I just remembered how dise
0.02%:  dang, just remembered I use
0.02%:  dang, I just remembered disease
0.02%:  dang, I just remembered how las
0.02%:  dang dudes, just
0.02%: , dang I just remember how
0.02%:  dang, I just remembered how i used
0.02%:  dang!! I just remembered how,
0.02%:  dang, I just remembered how sl
0.02%:  dang, I just remembered how adul
0.02%:  dang I just remember how sad
0.02%:  dang, I just remembered how dil
0.02%:  dang!! I just remembered how sad life is,
0.02%:  dang, I just remembered how e
0.02%:  dang I just remembered how used
0.02%:  dang I just remembered how said
0.02%:  dang, I just remembered a d
0.02%:  dang dudes, are
0.02%:  dang!! I just remembered how self
0.02%:  dang, I just remembered de
0.02%:  dang, I just remembered how i die
0.02%:  dang, just remembered how lif
0.02%:  dang I just remembered how life used
0.02%:  dang I just remembered how lies
0.02%: , n
0.02%:  dang, just remembered I sh
0.02%:  dang, I just remembered i had
0.02%:  dang, just remembered us
0.02%:  dang, just remembered how life is!!
0.02%: , dang I just remembered how sad life
0.02%:  dang just remembered how I die!!
0.02%:  dang, I sure
0.01%:  dang dudes, just remember
0.01%:  dang I just remembered a show
0.01%:  dang I just remembered how al
0.01%:  dang!! I just remembered D
0.01%: , dead
0.01%:  dang just remembered he
0.01%:  dang, I just remembered di
0.01%: , dang I just remembered she
0.01%:  dang, just remembered i had
0.01%:  dang I just remembered, e
0.01%:  dang dude just
0.01%:  dang I just remembered dies
0.01%:  dang, I just remembered a h
0.01%:  dang I just remembered how des
0.01%:  dang, I just remember how life is
0.01%:  dang!! I just remembered she
0.01%:  dang!! I just remembered she said
0.01%:  dang just remembered D
0.01%:  dang, I just remembered a house
0.01%:  dang, I just remembered he does
0.01%: , as
0.01%:  dang just remembered i had
0.01%:  n
0.01%:  dang D
0.01%:  dang just remembered how life is
0.01%:  dang, I just remembered how el
0.01%:  dang I just remembered how i said
0.01%:  dang!! I just remembered how i
0.01%: , dang I just remembered how D
0.01%:  dang, just remember how I
0.01%:  dang I just remembered how u
0.01%:  dang just remember how
0.01%:  dang dudes are
0.01%:  dang, us
0.01%:  dang, I just remembered sad
0.01%:  dang dude just remember
0.01%:  dang I just remembered how sel
0.01%:  dang I just remembered how du
0.01%:  dang, just remembered is
0.01%:  dang, I just remembered!! D
0.01%:  s
0.01%:  dang, just remembered how life is a
0.01%: , dang!! I
0.02%: , dang!! I just
2.89%: , dang!! I just remembered
1.42%: , dang!! I just remembered how
0.15%: , dang!! I just remembered a
0.06%: , dang!! I just remembered how sad
0.04%: , dang!! I just remembered how life
0.02%: , dang!! I just remembered how life is
0.01%: , dang!! I just remember
0.01%:  dang I just remembered !!
0.01%:  dang, I just remembered disease!!
0.01%:  dang I just remembered she does
0.01%:  dang!! I just remembered how a
0.01%:  dang I used
0.01%:  dang, just remembered I dies
0.01%:  dang, I just remembered a sh
0.01%:  dang, just remembered I hid
0.01%:  dang!! I just remembered how disease
0.01%:  dang, I just remembered she is
0.01%:  dang, I just remembered a s
0.01%:  dang, I just remembered how se
0.01%:  dang, I just remembered how del
0.01%:  dang!! I just remembered how d
0.01%:  dang, just remembered how ladies
0.01%: , da
0.01%:  dang, just remembered she does
0.01%:  dang, just remembered how diss
0.01%:  dang, I just remembered how sad D
0.01%:  dang, just remembered I used a
0.01%:  dang, I just used a
0.01%:  dang, I just read
0.01%:  dang just remembered how sad I
0.01%:  dang I just remembered how ed
0.01%:  dang I just remembered how dess
0.01%:  dang, I just remembered how deals
0.01%:  dang, I just remembered how sad self
0.01%:  dang, I just remembered how slides
0.01%:  dang, just remembered how!!
0.01%:  dang!! I just remembered how D
0.01%:  dang, just remembered how idi
0.01%:  dang, e
0.01%:  dang I just remember,
0.01%:  dang, just remembered how dies
0.01%:  dang I just remembered die
0.01%:  dang, dude!! I
0.02%:  dang, dude!! I just
0.01%:  dang, just remembered h
0.01%:  dang, I just remembered houses
0.01%:  dang I just remembered how su
0.01%:  dang!! I just remembered his
0.01%:  dang!! I just remembered how life is,
0.01%:  dang, I just remembered how sa
0.01%:  dang!! I just used
0.01%:  dang, I just remembered said
0.01%:  dang just remembered his
0.01%: , dang I just remembered how a
0.01%:  dang, I just dead
0.01%: , dads
0.01%:  dang, just remembered how ad
0.01%:  dang I just remembered i had
0.01%: , sad
0.01%:  dang, just remembered how ideas
0.01%:  dang I just remembered how li
0.01%:  dang, dude!! I just remember
0.01%: ad
0.01%:  dang I just remembered de
0.01%:  dang, I just remembered ah
0.01%:  dang, I j
0.01%:  dang, I just remembered dis
0.01%:  dang!! I just remembered 
0.01%:  dang I just remember a
0.01%:  dang I just remembered, 
0.01%:  dang I just remembered how dial
0.01%:  dang!! I just remembered, how
0.01%:  dang I just remembered is how
0.01%:  dang, d
0.06%:  dang, dudes!!
0.01%:  and
0.01%:  dang, just remembered a show
0.01%:  dang dudes!! I
0.01%:  dang!! I just remembered i
0.01%:  dang, just remembered how life is sad!!
0.01%:  dang, just remembered he dies
0.01%:  dang, I just D
0.01%:  dang, I just remembered shows
0.01%:  dang, I just remember!!
0.01%:  dang I just remembered a D
0.01%:  dang just remembered I showed
0.01%:  dang, just remembered I had 
0.01%:  dang, just remembered I die a
0.01%: , dang I just remembered how d
0.01%:  dang, I just remembered had
0.01%:  dang, just remembered how us
0.01%: d
0.01%: , dang I just remembered his
0.01%:  dang!! I just remembered, is
0.01%:  dang, just remembered how I dis
0.01%:  dang just remembered how i said
0.01%: , and I
0.02%: , and I guess
0.01%:  dang I just remembered, has
0.01%:  dang I just remembered a 
0.01%:  dang I just remembered how, as
0.01%:  dang, just remembered u
0.01%:  dang, I just remembered how sad 
0.01%:  dang, I just remembered how la
0.01%:  dang just remembered how l
0.01%:  dang, just remembered I di
0.01%:  dang, just remembered how le
0.01%:  dang just remembered how a
0.01%:  dang!! I just remembered he
0.01%:  dang!! I just remembered he said
0.01%:  dang!! I just remembered how 
0.01%:  dang I just remembered he dies
0.01%:  dang I just remembered how da
0.01%: , a
0.01%:  dang, I just remembered e
0.01%:  dang, I just remember how life used
0.01%:  dang I just remembered house
0.01%:  dang, I just remembered ideas
0.01%: , dang I just remembered how sad life is!!
0.01%: , dang!! I just remember how
0.01%:  dang I just remembered how e
0.01%:  dang, I just remembered how seeds
0.01%:  dang!! I just remembered as
0.01%:  dang I just remembered she is
0.01%:  dang I just remembered, had
0.01%:  dang I just re
0.01%:  dang, I just remembered ad
0.01%:  dang I just remembered how ideal
0.01%:  dang I just remembered di
0.01%:  dang, I just remembered how issue
0.01%:  dang!! I just remembered how dis
0.01%: , dad!!
0.01%:  dang, just remembered how as
0.01%: , dang!! I just remembered how life is sad
0.01%:  dang!! I just remembered how else
0.01%:  dang I just remembered how dil
0.01%:  dang just remembered, I had
0.01%:  dang, I just remembered a di
0.01%:  dang, I just remembered s
0.01%:  dang I just remembered, as
0.01%:  dang, just remembered how I d
0.01%:  dang just remembered he said
0.01%:  dang I just remembered how due
0.01%:  dang I just remembered a d
0.01%:  dad,
0.01%:  dang, I just remembered used
0.01%:  see
0.01%:  dang I just remembered how sl
0.01%:  dang I just remembered how las
0.01%:  dang, I just remembered how sad is
0.01%:  dang I just remembered how dise
0.01%:  dang, I just remembered!! Dude
0.01%:  dang, just remembered how said
0.01%:  dang just remembered how D
0.01%:  dang, just remembered how sus
0.01%:  dang, just re
0.01%:  dang, I just remembered shadows
0.01%: , dang I just remembered how self
0.01%:  dang, just remembered a D
0.01%:  dang I just remembered, sh
0.01%:  dang, just remembered how s
0.01%:  dang, I just remembered how id
0.01%:  dang, I just remembered how lie
0.01%:  dang, just remembered a show I used
0.01%:  dang, I just remembered how laid
0.01%:  dang I just remembered, hi
0.01%: , I needed
0.01%:  dang, I just remembered a side
0.01%:  dang I just remembered a h
0.01%:  dang I just remembered how el
0.01%:  dang I just remember how life
0.01%:  dang I just remembered hi
0.01%:  dang, just remembered how die
0.01%:  dang, I just remembered a dess
0.01%:  dangs
0.01%:  dang, just remembered a 
0.01%:  dang, I just remembered diss
0.01%: , dang I just remembered he
0.01%:  dang I just remembered had
0.01%: , I added
0.01%:  dang, I just remembered how deal
0.01%:  dang, I D
0.01%:  dang I just remembered how i used
0.01%:  dang, just remembered i said
0.01%:  dang, just remembered how al
0.01%:  dang, I just remembered he is
0.01%:  dang, I just remembered he used
0.01%:  dang, just remembered how i die
0.01%:  dang, I just remembered how use
0.01%:  dang I just remembered, see
0.01%:  dang, I just remembered how aud
0.01%:  dang just remembered how,
0.01%:  dang, I just remembered she used
0.01%:  dang I just remembered, ah
0.01%:  dang, just as
0.05%:  dang, just as I remembered
0.02%:  dang, just as I remembered!!
0.01%:  dang, just as I remembered how
0.01%:  dang, just as I remember
0.01%: , dang!! I just remembered how sad life
0.01%:  dang just remembered how d
0.01%:  dang I just remembered how adul
0.01%:  dang, just remember how I died
0.01%:  dang I just remembered disease
0.01%:  dang!! I just remembered how sal
0.01%:  dang just remembered, how
0.01%:  dang just remembered how self
0.01%:  dang I just remembered dess
0.01%:  dang, dude!! I just remember how
0.01%:  dang I just remembered e
0.01%: , sn
0.01%:  dang, dude I
0.02%:  dang, dude I just
0.01%:  dang, dude I just remember
0.01%:  dang, dude I just remember how
0.01%:  dang I just remembered how se
0.01%:  dang I just remembered s
0.01%:  dang I just remembered sad
0.01%:  dang I just remember!!
0.01%:  dang just remembered!! I
0.01%:  dang, just remembered how I used a
0.01%:  dang, just remembered!! I had
0.01%:  dang dude, are
0.01%:  dang I just remembered he does
0.01%:  dang, I just remembered a dis
0.01%:  dang, just remembered how i used
0.01%:  dead
0.01%:  dang!! I just remembered how life is a
0.01%:  dang I just remembered shows
0.01%: , 
0.01%:  dang I just remembered a sh
0.01%:  dang I just remembered how sad D
0.01%:  dang, I just remembered how sue
0.01%:  dang, I just remembered has
0.01%:  dang just remembered d
0.01%:  dang, just remembered how I di
0.01%: , dang I just remembered how sal
0.01%:  dang, just remembered I diss
0.01%:  dang, as
0.01%:  dang, dude just remember
0.01%:  dads
0.01%: , dang!! I just remembered how l
0.01%:  dang, I just remembered how side
0.01%:  dang just remembered 
0.01%:  dang, just remembered how di
0.01%:  dang, I just remembered how sales
0.01%:  dang, just remembered I has
0.01%:  dang, just remembered how I self
0.01%:  dang dudes!! I just
0.01%:  dang, I just remembered head
0.01%:  dang, just remembered how used
0.01%:  dang, a
0.01%:  dang I just remembered how, u
0.01%:  dang just remembered, I die
0.01%:  dang I just remembered how life dies
0.01%:  dang, I just remembered dishes
0.01%:  dang, I just remembered how ads
0.00%:  danged
0.00%:  dang, just remembered a s
0.00%: , danged
0.00%:  dang, just remembered dies
0.00%:  dang, just remembered how lies
0.00%:  dang, I just used bad
0.00%: !! I
0.00%:  dang, I just remembered a dish
0.00%:  dang I sure
0.00%:  dang, I just remembered hi
0.00%:  dang dudes just
0.01%:  dang dudes just remember
0.01%:  dang dudes just remember how
0.00%:  dang!! I just remembered how ideas
0.00%:  dang!! I just remembered d
0.00%:  dang, I just remembered i said
0.00%:  dang I just remembered how i die
0.00%:  dang, just remembered a use
0.00%:  dang, just remembered a house
0.00%:  dang I just remembered, show
0.00%:  dang, I just remembered a de
0.00%:  dang, just remembered he does
0.00%:  dang, sure
0.00%:  dang, just remembered how life used
0.00%:  dang I just remembered how slides
0.00%:  dang I just remembered how del
0.00%:  dang, just remembered sh
0.00%:  dang, I just remembered how life is 
0.00%:  dang I just remembered how sa
0.00%:  dang, just remembered I dis
0.00%:  dang just remembered she said
0.00%:  dang I just remembered, i
0.00%:  dang, just remembered how u
0.00%:  dang, just remembered a h
0.00%: , dang just
0.45%: , dang just remembered
0.19%: , dang just remembered how
0.12%: , dang just remembered I
0.05%: , dang just remembered how I
0.03%: , dang just remembered a
0.01%: , dang just remembered I had
0.01%: , dang just remembered I said
0.01%: , dang just remembered!!
0.01%: , dang just remembered how I said
0.01%: , dang just remembered how I die
0.01%: , dang just remembered how sad
0.01%: , dang just remembered I die
0.00%:  dang, I just remembered how slide
0.00%:  dang I just remembered a use
0.00%:  dang, I just remembered how sea
0.00%:  dang, I just remembered a he
0.00%:  dang, I just remembered she dies!!
0.00%:  dang I just remembered dis
0.00%:  dang, I just remembered du
0.00%:  dang, just remembered she said I
0.00%: , dang I just used
0.00%:  dang dude just remember how
0.00%:  dang I just remembered, heads
0.00%:  dang!! I just remembered how de
0.00%:  dang, just remembered how sed
0.00%:  dang, just remembered how I die a
0.00%:  dang, I just remembered how sail
0.00%:  dang, just remembered show
0.00%:  dang, just remembered how dial
0.00%: , dang I just remembered how 
0.00%:  dang, I just remembered how a life
0.00%: , I D
0.00%:  dang I just remembered said
0.00%:  dang, just remembered a sh
0.00%: , dang!! I just remembered she
0.00%:  dang dudes, just remember how
0.00%: , dang I just remembered how else
0.00%:  dang I just remembered how, due
0.00%:  dang I just remembered, dies
0.00%:  dang just remembered how sad life
0.00%:  dang, I just remembered a how
0.00%:  dang, I just remembered side
0.00%: , dang I just remembered he said
0.00%:  dang, just remembered I had so
0.00%: aa
0.00%:  dang, I just remembered how i die!!
0.00%:  dang, just remembered a d
0.00%: , dang I just remembered she said
0.00%:  dang dudes!! I just remember
0.00%:  dang I just remembered has
0.00%:  dang, I just remembered how ass
0.00%: , dang I just remembered 
0.00%:  dang, I just remembered due
0.00%:  dang just remembered i said
0.00%:  dang I j
0.00%:  dang I just remembered how sad self
0.00%:  dang, just remembered how su
0.00%:  dang just remembered how 
0.00%:  dang, dudes!! I
0.00%:  dang, I just r
0.00%:  dang, just remembered is how
0.00%:  dang just remember I
0.00%:  dang, just remembered I die 
0.00%:  dang, just remembered a di
0.00%:  dang, I sure miss
0.00%:  dang, just remembered he said I
0.00%:  dang dude, just remember how
0.00%:  dang I see
0.00%:  dang, I just remembered how idea
0.00%:  dang a
0.00%:  
0.00%:  dang, just remembered how ideal
0.00%:  dang I just remembered he is
0.00%:  dang, I just remembered how life is D
0.00%:  dang dude!! I
0.00%:  dang dude!! I just
0.00%:  dang I just remembered, ha
0.00%:  dang, I just remembered hoe
0.00%:  dang I just remembered ad
0.00%:  dang, I just remembered issue
0.00%:  dang, just remembered how li
0.00%:  dang I just remembered!! D
0.00%: , dang just remembered i
0.00%:  dang, just remembered how des
0.00%: , dang just remembered how I D
0.00%: , dang I just remembered how i
0.00%:  dang!! I just remembered how dies
0.00%:  dang dud
0.00%:  dang, just remembered how sel
0.00%:  dang, just remembered how is
0.00%: , dang!! I just remembered D
0.00%:  dang dude!! I just remember
0.00%:  dang, I just dream
0.00%:  dang, I just remembered how saus
0.00%:  dangs,
0.00%:  dang!! I just remembered how less
0.00%: , dang I just remembered d
0.00%:  dang, just remembered !!
0.00%:  dang I just remembered how id
0.00%:  dang, just dead
0.00%: , dang I just remembered how dis
0.00%:  dang, I just remembered how les
0.00%:  dang I just remembered how deals
0.00%:  dang!! I just remembered how lif
0.00%:  dang I just remembered a s
0.00%:  dang I just remembered how sad 
0.00%:  dang !!
0.00%:  dang, I just remember dude
0.00%:  dang, dudes are
0.00%:  dang dudes!! I just remember how
0.00%:  dang, I just remembered how life su
0.00%: , send
0.00%:  dang, I just remembered how aside
0.00%:  dang, just remembered I d
0.00%:  dang I just remembered disease!!
0.00%:  dang, just as I remember!!
0.00%:  dang!! I just remembered how idi
0.00%:  dang, just remembered I u
0.00%:  dang, I just remember a dude
0.00%:  dang, just remembered how I die as
0.00%:  dang I just remembered du
0.00%:  dang, I just remembered how a self
0.00%:  dang I just remembered how sad,
0.00%:  dang, I just remembered how Dude
0.00%:  dang, I just remembered how life sad
0.00%:  dang I just remembered how la
0.00%:  dang 
0.00%:  dang just remembered how sal
0.00%:  dang I just remember dude
0.00%: ess
0.00%:  dang just remembered, I D
0.00%:  dang, I just remembered how led
0.00%:  dang, dead!!
0.00%:  dang I just remembered houses
0.00%:  dang just remembered, i
0.00%:  dang I just remembered shadows
0.00%:  dang, just remembered I said he
0.00%:  dang I just read
0.00%:  dang I just dead
0.00%:  dang I just remembered head
0.00%:  dang!! I just remembered how diss
0.00%:  dad!!
0.00%:  dang I just remembered, he said
0.00%: , dang!! I just remembered how D
0.00%:  dang, I dead
0.00%:  dang I just remembered how life is, d
0.00%:  dang!! I just remembered, u
0.00%: , e
0.00%:  dang I just remembered id
0.00%:  dang I just remembered a house
0.00%:  dang, just remembered how du
0.00%:  dang, dudes!! I just
0.00%:  dang, I just remembered how life is as
0.00%:  dang, I just remember how life is sad
0.00%:  dang, I just remembered!! 
0.00%: , dang!! I just used
0.00%: , dang dudes I
0.00%:  dang, I just remembered su
0.00%:  dang, just remembered how I deal
0.00%:  dang just read
0.00%:  dang, I just remembered ed
0.00%:  dang I just remember how life is
0.00%:  dang, s
0.00%:  dang!! I just remembered, D
0.00%:  dang, just remembered I showed a
0.00%:  dang, I just remembered ash
0.00%:  dang, just remembered how I dial
0.00%:  dang, just remembered die
0.00%:  dang, just remembered how I use a
0.00%: , dang dude I
0.01%: , dang dude I just
