don't think you should use the word "retarded" like that, Michael Chabon.
100.00%: 
83.59%:  think
183.59%:  think you should write a letter to Michael Chabon, "
181.46%:  think you should read the whole book instead, dude
180.53%:  think you should write a letter to the bank
179.20%:  think you should listen
657.05%:  think you should listen to what
265.75%:  think you should listen to Michael
243.74%:  think you should listen to what the
386.52%:  think you should listen to what the author
235.91%:  think you should listen to the
223.99%:  think you should listen to what the reader
174.00%:  think you should write another book that's a
173.21%:  think you should take
170.82%:  think you should listen to what Michael
169.98%:  think you should write another book that's the
168.92%:  think you should write a better one, Michael C.
168.83%:  think you should write a letter to the board
168.60%:  think you should read this and
162.55%:  think you should listen to the author
162.20%:  think you should write a book and
160.97%:  think you should read the book
170.95%:  think you should read the book instead
160.35%:  think you should write one about Michael
160.17%:  think you should be awarded
184.71%:  think you should be awarded the title
160.13%:  think you should write a letter to Michael Chabon's heart
157.79%:  think you should read the whole book.
155.82%:  think you should write a better author
155.42%:  think you should write the book and
155.16%:  think you should write a better one, Michael.
153.11%:  think you should write another book, Michael "Cha
151.47%:  think you should be awarded another
149.91%:  think you should read the whole book instead.
149.16%:  think you should take another
148.11%:  think you should write Michael
5778.69%:  think you should write Michael Chabon letters
1371.43%:  think you should write Michael Chabon letters that
1147.43%:  think you should write Michael Chabon'
970.70%:  think you should write Michael Chabon a
4465.88%:  think you should write Michael Chabon a letter that
2994.78%:  think you should write Michael Chabon a letter,
1289.59%:  think you should write Michael Chabon a letter.
1187.77%:  think you should write Michael Chabon a letter to
790.65%:  think you should write Michael Chabon letters,
714.22%:  think you should write Michael Chabon,
565.99%:  think you should write Michael Chabon's aut
476.03%:  think you should write Michael Chabon, author
423.99%:  think you should write Michael Chabon letters.
371.56%:  think you should write Michael Chabon letters that are
356.91%:  think you should write Michael Chabon letters to
267.33%:  think you should write Michael Chabon a letter, dude
265.88%:  think you should write Michael Chabon, the
1465.86%:  think you should write Michael Chabon, the author
234.16%:  think you should write Michael Chabon a letter to ask
231.22%:  think you should write Michael Chabon.
230.01%:  think you should write Michael Chabon the
499.24%:  think you should write Michael Chabon the letter
222.47%:  think you should write Michael Chabon letters that read
220.80%:  think you should write Michael Chabon the author
197.97%:  think you should write Michael Chabon a letter so
197.30%:  think you should write Michael Chabon a letter or
186.37%:  think you should write Michael Chabon letters, dude
150.96%:  think you should write Michael Chabon as
162.27%:  think you should write Michael Chabon as the
505.57%:  think you should write Michael Chabon as the author
148.47%:  think you should write Michael Chabon a letter to the
147.24%:  think you should write another book that lets
146.62%:  think you should write the last
146.53%:  think you should write a letter to Michael Chabon or
146.25%:  think you should thank
145.84%:  think you should write a book that ends
145.21%:  think you should write a book that'
143.33%:  think you should write Michael Chabon's letter
142.74%:  think you should read it out
142.15%:  think you should write Michael Chabon to
141.09%:  think you should write a letter to Michael Chabon as
140.37%:  think you should write the other
139.26%:  think you should write a book that has
139.14%:  think you should read it,
32377.41%:  think you should read it, Michael Chabon.
2837.58%:  think you should read it, Michael Chabon author
629.24%:  think you should read it, Michael Chabon the
3652.27%:  think you should read it, Michael Chabon the author
641.74%:  think you should read it, Michael Chabon the author.
506.82%:  think you should read it, Michael Chabon who
262.32%:  think you should read it, Michael.
153.66%:  think you should read it, Michael Chabon. "
145.81%:  think you should read it, Michael Chabon dude
138.68%:  think you should write Michael Chabon a letter so that
138.58%:  think you should write a letter to Michael Chabon's dad.
137.52%:  think you should write Michael Chabon that
337.91%:  think you should write Michael Chabon that letter
137.49%:  think you should write Michael Chabon's author
136.06%:  think you should write Michael Chabon a letter so he'
134.11%:  think you should write another book, Michael "the
133.09%:  think you should write a letter thank
131.44%:  think you should write another book set
129.02%:  think you should win
272.06%:  think you should win the
126.87%:  think you should read this book,
187.15%:  think you should read this book, Michael.
133.00%:  think you should read this book, Michael C
126.75%:  think you should be thank
125.37%:  think you should write Michael Chabon the letters
125.23%:  think you should write Michael Chabon's "
124.92%:  think you should write another better
123.66%:  think you should read the book and
123.57%:  think you should read the whole book, Ch
122.16%:  think you should write a letter to Michael Chabon, a
121.75%:  think you should take this
120.65%:  think you should write Michael Chabon a letter, author
120.56%:  think you should write Michael Chabon's real
118.36%:  think you should read it, Michael C
117.09%:  think you should write Michael Chabon a letter that'
116.83%:  think you should write a letter to Michael Chabon, or
116.66%:  think you should write Michael Chabon, the author.
116.22%:  think you should be awarded the Michael
115.60%:  think you should write better end
114.37%:  think you should write Michael Chabon a letter so that he'
110.43%:  think you should write a book star
107.91%:  think you should write Michael Chabon a letter, that
107.65%:  think you should write a better one, dude
106.49%:  think you should write a better Michael
104.94%:  think you should start
104.88%:  think you should read the entire
244.72%:  think you should read the entire book,
445.02%:  think you should read the entire book, Michael.
326.88%:  think you should read the entire book, Michael C
187.36%:  think you should read the entire book, Michael "
145.98%:  think you should read the entire book, Michael C.
104.56%:  think you should write Michael Chabon related
104.41%:  think you should write one about the
104.23%:  think you should read the last
104.22%:  think you should read it and see
253.02%:  think you should read it and see what
102.83%:  think you should read it, Michael Chabon'
102.59%:  think you should write a letter to Michael Chabon's other
102.52%:  think you should read it to
101.13%:  think you should write another book that's Michael
100.64%:  think you should write one that
710.39%:  think you should write one that's better
238.65%:  think you should write one that's better,
305.08%:  think you should write one that's better, Michael.
273.79%:  think you should write one that's better, Michael C
234.98%:  think you should write one that's better, Michael "
97.45%:  think you should write another short
96.95%:  think you should write a letter to Michael Chabon at
96.75%:  think you should write Michael Chabon out
96.17%:  think you should write Michael Chabon as the author,
95.82%:  think you should read the whole book, instead
95.39%:  think you should write one that's better, dude
95.25%:  think you should write one about a
94.11%:  think you should write Michael Chabon letters that read,
94.02%:  think you should let
93.30%:  think you should write Michael Chabon letters too
91.92%:  think you should write one that's about
91.25%:  think you should write Michael Chabon so
122.33%:  think you should write Michael Chabon so that
90.86%:  think you should write Michael Chabon's letter to
89.30%:  think you should write a letter to Michael Chabon, so
89.06%:  think you should write a letter and
88.10%:  think you should take it
92.62%:  think you should take it down
87.96%:  think you should write Michael Chabon to ask
87.93%:  think you should write another book, Michael "the Ch
87.09%:  think you should listen to the reader
316.55%:  think you should listen to the reader, Michael.
100.12%:  think you should listen to the reader, Michael C
86.70%:  think you should write the best
86.65%:  think you should know
252.41%:  think you should know that
105.47%:  think you should know that Michael
100.87%:  think you should know that there
147.53%:  think you should know that there are
93.47%:  think you should know that this
84.46%:  think you should be awarded the title "
83.63%:  think you should write Michael Chabon rather
83.15%:  think you should read it, Michael Chabon who asked
82.34%:  think you should write the rest and
82.18%:  think you should write a letter to Michael Chabon, star
81.33%:  think you should read it and see how
80.56%:  think you should write a letter to Michael Chabon so he'd
80.45%:  think you should listen to what he
79.72%:  think you should write a letter to Michael Chabon. "
79.57%:  think you should write Michael Chabon a letter, ask
78.79%:  think you should know that there are other
78.47%:  think you should write Michael Chabon that he
77.76%:  think you should write a real
160.97%:  think you should write a real book
83.23%:  think you should write a real book and
77.00%:  think you should write a Michael
113.00%:  think you should write a Michael Chabon ret
143.65%:  think you should write a Michael Chabon retort
104.54%:  think you should write a Michael Chabon letter
81.05%:  think you should write a Michael Chabon short
76.65%:  think you should write a Michael Chabon letter to the
76.43%:  think you should write Michael Chabon the letter "
75.97%:  think you should be awarded a
75.55%:  think you should read it, Michael Chabon whose
75.05%:  think you should read it, Michael Chabon author.
74.48%:  think you should write a letter to Michael Chabon, as
74.40%:  think you should write about a horse
74.15%:  think you should write a letter to Michael and
73.93%:  think you should write another book, dude.
73.66%:  think you should read the whole book, Michael C. "
72.61%:  think you should write another best
72.58%:  think you should read it, Michael Chabon that
72.50%:  think you should read it, Michael Chabon "
84.02%:  think you should read it, Michael Chabon "author
72.40%:  think you should know that there is
72.08%:  think you should write a letter to Michael Chabon, dear.
71.01%:  think you should listen to the author,
273.83%:  think you should listen to the author, Michael.
142.84%:  think you should listen to the author, Michael C
71.00%:  think you should take that
70.92%:  think you should take the
70.88%:  think you should read this one,
247.72%:  think you should read this one, Michael.
126.98%:  think you should read this one, Michael C
70.87%:  think you should write Michael Chabon the letter,
70.60%:  think you should read it, Michael Chabon or
70.43%:  think you should write Michael Chabon letters to the
70.34%:  think you should write a letter to Michael Chabon, so he'
70.31%:  think you should write a thank
70.27%:  think you should write better ones
70.11%:  think you should write another letter
69.89%:  think you should listen to the author Michael
69.72%:  think you should write the end
69.51%:  think you should read it, Michael Chabon the dude
68.51%:  think you should write one that has
68.51%:  think you should read it to the
90.27%:  think you should read it to the end,
299.65%:  think you should read it to the end, Michael.
98.81%:  think you should read it to the end, Michael C
67.87%:  think you should think
1700.97%:  think you should think about what
1036.63%:  think you should think about whether
943.18%:  think you should think about whether or
388.95%:  think you should think about how
288.95%:  think you should think about that
210.16%:  think you should think about the
189.20%:  think you should think about where
275.64%:  think you should think about where the
144.30%:  think you should think about what the
122.51%:  think you should think about what Michael
98.46%:  think you should think about that,
176.98%:  think you should think about that, Michael.
129.66%:  think you should think about that, Michael C
96.54%:  think you should think about whether Michael
77.15%:  think you should think about that, Michael "
67.67%:  think you should read the whole book, dude.
67.51%:  think you should write a letter to Michael Chabon, hah
67.45%:  think you should write one that's better.
67.04%:  think you should write another book, Michael. "
67.00%:  know
125.72%:  know, Michael
677.31%:  know, Michael Chabon.
81.64%:  know, Michael Chabon author
66.82%:  think you should listen to the author, Michael "
66.73%:  know, but this
157.08%:  know, but this story
66.29%:  think you should read the other
66.11%:  think you should write a letter to Michael Chabon's dad, the
66.05%:  think you should read it Michael
430.91%:  think you should read it Michael Chabon,
375.55%:  think you should read it Michael Chabon.
280.14%:  think you should read it Michael Chabon, author
203.17%:  think you should read it Michael Chabon author
94.33%:  think you should read it Michael Chabon, the
287.72%:  think you should read it Michael Chabon, the author
65.89%:  think you should think about what the reader
65.63%:  think you should read it, Michael Chabon who has
64.76%:  think you should write a letter to Michael Chabon, he
80.53%:  think you should write a letter to Michael Chabon, he's the
64.35%:  think you should be awarded the "
64.05%:  think you should start with
66.87%:  think you should start with the
63.96%:  think you should read the whole book at
63.76%:  think you should write about that one
63.73%:  think you should write that book,
231.92%:  think you should write that book, Michael.
101.98%:  think you should write that book, Michael C
63.54%:  think you should write Michael Chabon letters at
62.92%:  think you should write a letter to Michael Chabon, dar
62.86%:  think you should read the whole book, Michael C. instead
62.75%:  think you should write a book that doesn
62.63%:  think you should read the whole book, Michael "Cha
62.46%:  think you should write Michael Chabon a letter, the
62.18%:  think you should think about that word
2323.22%:  think you should think about that word, "retarded" Michael
1250.98%:  think you should think about that word, Michael
323.15%:  think you should think about that word, "retarded" Michael.
258.24%:  think you should think about that word, Michael.
76.61%:  think you should think about that word, "retarded" Michael C
62.15%:  think you should write a letter to Michael Chabon author
62.07%:  think you should write Michael Chabon a letter, dude.
61.99%:  think you should steal
61.98%:  think you should hire
61.96%:  think you should think about what'
61.67%:  think you should write better ones, Michael C
61.42%:  think you should write another letter to Michael
61.25%:  think you should think about how that
61.24%:  think you should read about
60.25%:  think you should read the whole book, then rate
60.17%:  think you should read the entire book, dude
59.99%:  think you should read it, dude
59.42%:  think you should read it to see
74.53%:  think you should read it to see how
59.39%:  think you should write a letter to Michael Chabon's dad to
59.24%:  think you should read the entire book to
58.95%:  think you should write a better letter
58.87%:  think you should write another,
1287.92%:  think you should write another, Michael
201.18%:  think you should write another, better
120.14%:  think you should write another, Michael.
58.69%:  think you should write a letter to Michael Chabon re
58.45%:  think you should write a letter to Michael Chabon, head
58.36%:  think it
88.92%:  think it's really
77.25%:  think it's better
1082.00%:  think it's better than yours,
24218.35%:  think it's better than yours, Michael
1344.65%:  think it's better than yours, Michael.
770.05%:  think it's better than yours, Michael C
714.07%:  think it's better than your
603.79%:  think it's better than yours, dude
594.44%:  think it's better than yours, Michael "
213.71%:  think it's better than yours, Ch
212.52%:  think it's better than yours.
127.84%:  think it's better than yours Michael
94.77%:  think it's better than your Michael
92.06%:  think it's better than the
83.46%:  think it's better than yours, dude.
77.10%:  think it's better than the real
275.67%:  think it's better than the real Michael
75.35%:  think it's better than yours, Michael "Cha
65.81%:  think it's better than yours, Michael C. "
58.24%:  think you should write a letter to Michael Chabon, "th
58.19%:  think you should know that the
58.14%:  think you should read the whole book instead Michael
58.09%:  think you should read the other one
57.76%:  think you should think about how Michael
57.64%:  think you should read this book to
57.41%:  think you should write a letter to Michael Chabon's heart,
57.37%:  think you should write a book that lets
57.10%:  think you should write Michael Chabon that letter,
57.00%:  know, but it
63.45%:  know, but it's really
56.93%:  think it would
56.88%:  think you should write a letter to Michael Chabon, as he
56.85%:  think you should write another book. Michael
56.83%:  think you should write an
56.61%:  think you should read about the
56.54%:  think you should read the whole book then, dude
56.54%:  think you should write Michael Chabon letters, author
56.52%:  think you should write a better one.
56.40%:  think you should know better
56.05%:  think you should write Michael Chabon so that he'
55.79%:  think you should think about how ret
1064.61%:  think you should think about how retarded Michael
488.83%:  think you should think about how retarded that
306.82%:  think you should think about how retarded the
86.25%:  think you should think about how retarded these
55.77%:  think you should read it.
55.56%:  think you should write books
72.28%:  think you should write books that
55.42%:  think you should answer
55.38%:  think you should write Michael Chabon a letter, dear
54.91%:  think you should write a real book,
90.69%:  think you should write a real book, Michael C
60.73%:  think you should write a real book, Michael.
58.72%:  think you should write a real book, Michael "
54.88%:  think you should read the rest and
54.60%:  think you should think about what that
54.57%:  think you should write a Michael Chabon aut
54.48%:  think you should write another, Michael C
54.42%:  think you should write a letter to Michael Chabon, to
54.36%:  think you should write another book Michael,
54.09%:  think you should read it to the end, Michael "
53.68%:  think you should read another
126.55%:  think you should read another book
53.91%:  think you should read another book,
93.31%:  think you should read another book, Michael C
53.52%:  think you should write the rest,
20669.27%:  think you should write the rest, Michael Chabon.
2311.17%:  think you should write the rest, Michael Chabon author
436.75%:  think you should write the rest, Michael Chabon the
191.95%:  think you should write the rest, Michael Chabon. "
148.59%:  think you should write the rest, Michael.
126.73%:  think you should write the rest, Michael Chabon'
105.64%:  think you should write the rest, Michael Chabon or
81.27%:  think you should write the rest, Michael C
70.38%:  think you should write the rest, Michael Chabon "
103.22%:  think you should write the rest, Michael Chabon "author
63.24%:  think you should write the rest, Michael Chabon dude
62.49%:  think you should write the rest, Michael Chabon author.
54.73%:  think you should write the rest, Michael Chabon that
53.20%:  think you should read the whole book and see that
52.83%:  think you should listen to the reader, Michael "
52.65%:  think you should write Michael Chabon, that
52.61%:  think you should read it then
52.26%:  think you should write the book that
52.12%:  think you should write that book and
51.80%:  think you should write the book then
51.57%:  think it's better than yours, author
1374.68%:  think it's better than yours, author Michael
51.56%:  think you should write Michael Chabon a letter, or
51.43%:  think it should
51.38%:  think it's better than your last
51.30%:  think you should write another book that deals
51.01%:  think you should think about what he
50.81%:  think you should read it, Michael Chabon wrote
50.71%:  think you should write a Michael Chabon "
50.65%:  think you should read the whole book, that
50.64%:  think you should write Michael Chabon's head
50.58%:  think you should read it now
50.56%:  think you should read it, then
50.54%:  think you should write Michael Chabon a letter. "
50.45%:  think you should read the words
50.39%:  think you should read the whole book instead, Michael C. "
50.37%:  think you should write a better thank
50.28%:  think you should write another book that has Michael
50.16%:  think you should write Michael Chabon at
160.62%:  think you should write Michael Chabon at least
168.06%:  think you should write Michael Chabon at least three
81.91%:  think you should write Michael Chabon at the
50.08%:  think you should write Michael Chabon there
49.93%:  think you should write about that,
82.05%:  think you should write about that, Michael.
49.89%:  think you should write a letter to Michael Chabon, here
49.75%:  think you should write a letter to Michael Chabon's head.
49.72%:  think you should read it and see how ret
49.72%:  think you should write another book, Michael the
49.71%:  think you should use
49.70%:  think you should take this down
49.40%:  think you should think about how the
48.99%:  think you should listen to the author, Michael "Ch
48.77%:  think you should read another book, Michael.
48.74%:  think you should read it, and
48.52%:  think you should read the whole book Michael and
48.52%:  think you should read another book, Michael "
48.48%:  think you should award
48.46%:  think you should write a book that has the
48.34%:  think you should be the
214.42%:  think you should be the one to write
129.74%:  think you should be the one to write the
121.96%:  think you should be the one who
132.44%:  think you should be the one who should
109.88%:  think you should be the one who's ret
2928.89%:  think you should be the one who's retarded, Michael C
2517.36%:  think you should be the one who's retarded, Michael.
2207.75%:  think you should be the one who's retarded, Michael "
1502.29%:  think you should be the one who's retarded Michael
718.35%:  think you should be the one who's retarded, author
810.48%:  think you should be the one who's retarded, author Michael C
412.99%:  think you should be the one who's retarded, Ch
391.91%:  think you should be the one who's retarded, author Michael "
362.32%:  think you should be the one who's retarded, Michael "Cha
301.05%:  think you should be the one who's retarded, Michael C. "
294.97%:  think you should be the one who's retarded.
218.31%:  think you should be the one who's retarded, Michael. Ch
125.53%:  think you should be the one who's retarded. Michael
109.81%:  think you should be the one to read
117.15%:  think you should be the one to read this
86.69%:  think you should be the one who's retarded, author Michael.
75.94%:  think you should be the author
138.24%:  think you should be the author Michael
81.85%:  think you should be the author instead
62.19%:  think you should be the one who's retarded, Michael "author
59.28%:  think you should be the one who reads
58.14%:  think you should be the one to write that
56.71%:  think you should be the one to ask
54.17%:  think you should be the one who's retarded, Michael "C
53.53%:  think you should be the one who reads it
48.32%:  think you should be honest
142.90%:  think you should be honest with Michael
59.42%:  think you should be honest with the
140.41%:  think you should be honest with the reader
1149.21%:  think you should be honest with the reader, Michael.
123.73%:  think you should be honest with the reader, Michael C
68.15%:  think you should be honest with the reader, Michael "
48.24%:  think you should write Michael Chabon, the real
53.16%:  think you should write Michael Chabon, the real author
48.21%:  think you should read the last three
47.98%:  think you should ask
47.85%:  think you should read the whole book, Michael "the
47.77%:  think you should listen to the reader, Michael "Ch
47.68%:  think you should think about these
47.52%:  know, but it sounded
120.79%:  know, but it sounded like a
47.48%:  think you should write about these
47.43%:  think you should write another book dude
47.39%:  think you should read that
47.29%:  think you should think about how retarded the last
46.97%:  think you should write a Michael Chabon author
46.96%:  know, but this one
46.88%:  think you should write the real
176.69%:  think you should write the real Michael
1217.65%:  think you should write the real Michael Chabon that
990.21%:  think you should write the real Michael Chabon'
790.60%:  think you should write the real Michael Chabon to
727.61%:  think you should write the real Michael Chabon to ask
586.21%:  think you should write the real Michael Chabon,
422.06%:  think you should write the real Michael Chabon's aut
404.49%:  think you should write the real Michael Chabon.
300.28%:  think you should write the real Michael Chabon so
402.61%:  think you should write the real Michael Chabon so that
244.38%:  think you should write the real Michael Chabon out
178.15%:  think you should write the real Michael Chabon the
175.33%:  think you should write the real Michael Chabon to see
160.29%:  think you should write the real Michael Chabon, dude
117.34%:  think you should write the real Michael Chabon, the
71.65%:  think you should write the real Michael Chabon so he'
48.47%:  think you should write the real book
47.88%:  think you should write the real Michael Chabon, author
46.82%:  think you should write Michael Chabon's ret
46.46%:  think you should write a better one, Ch
46.42%:  think you should write one that's better, Michael "Cha
46.40%:  think you should think about the last
46.32%:  think you should steal that
69.76%:  think you should steal that bank
46.14%:  think you should write a real Michael
46.11%:  think you should read the whole book and rate
46.11%:  think you should write a letter to Michael Chabon a
46.07%:  think you should write the real Michael Chabon's author
45.98%:  think you should write Michael Chabon, rather
45.90%:  think you should write another, better Michael
45.87%:  think you should write the real Michael Chabon at
45.83%:  think you should write Michael Chabon a letter that does
45.66%:  think you should be the one who's retarded, Michael "Ch"
45.66%:  think you should learn
72.59%:  think you should learn to take
45.59%:  think you should read it Michael Chabon, that
45.49%:  think you should be the one to write a
45.42%:  think you should be the one who's retarded Michael C
45.34%:  think you should write a letter to Michael Chabon's "
45.23%:  think you should read it, Michael Chabon's author
44.99%:  think you should read it and let
44.95%:  think you should write the author
44.89%:  think you should write an author
44.88%:  think you should read the entire book Michael
44.78%:  think you should write the real book and
44.76%:  think you should write a better last
44.69%:  think you should read this book, Michael "
44.67%:  know, but it sounded like he
44.58%:  think you should write Michael Chabon's letter to the
44.51%:  think you should write the book,
92.23%:  think you should write the book, Michael.
86.09%:  think you should write the book, Michael C
44.48%:  think you should write better ones, Michael "
44.45%:  think you should write Michael Chabon 
44.34%:  think you should write Michael Chabon, the letters
44.32%:  think you should read the whole book that
44.32%:  know, but this one is really
44.25%:  think you should read the book and see
44.15%:  think you should be ash
44.13%:  think you should write Michael Chabon author
50.24%:  think you should write Michael Chabon author letters
44.10%:  think you should read the whole book rather
43.92%:  think you should write Michael Chabon a heart
43.66%:  think you should write the rest then
43.54%:  think you should read this one too
43.45%:  think you should read this book Michael
43.37%:  think you should listen to the author'
43.30%:  think you should write another book real
43.26%:  think you should write about that, Michael C
43.17%:  think you should read this book, dude
43.05%:  think you should write "
58.85%:  think you should write "ret
316.83%:  think you should write "retarded" on
429.44%:  think you should write "retarded" on the
213.86%:  think you should write "retarded" as
176.92%:  think you should write "retarded" and
109.17%:  think you should write "retarded" books
84.83%:  think you should write "retarded" out
70.96%:  think you should write "retarded" books Michael
64.61%:  think you should write "retarded" as one
64.58%:  think you should write "retarded" on the book
59.74%:  think you should write "retarded" on the last
52.65%:  think you should write "retarded" on a
51.46%:  think you should write "retarded" books,
273.98%:  think you should write "retarded" books, Michael.
97.42%:  think you should write "retarded" books, Michael C
49.59%:  think you should write "retarded" so
101.88%:  think you should write "retarded" so that
47.98%:  think you should write "retarded" that
42.88%:  think you should write a better one, Michael "Cha
42.73%:  think you should read about how
42.66%:  think you should learn how
53.64%:  think you should learn how to take
43.16%:  think you should learn how to be
42.61%:  think you should read it, Michael Chabon who'
42.56%:  think you should learn to write
227.17%:  think you should learn to write better
96.35%:  think you should learn to write better,
138.10%:  think you should learn to write better, Michael C
92.09%:  think you should learn to write better, Michael "
61.28%:  think you should learn to write better, Michael C.
50.40%:  think you should learn to write better, Michael.
42.45%:  know, but this is the
42.31%:  think you should read the whole book then rate
42.26%:  think you should look
58.56%:  think you should look at the
56.60%:  think you should look at this
42.10%:  think it's better than your ret
42.01%:  think you should write Michael Chabon letters, dude.
41.96%:  think you should write a letter to Michael Chabon, read
41.85%:  think you should write the real Michael Chabon, dude.
41.74%:  think you should read this one out
41.63%:  think you should learn how to read
192.07%:  think you should learn how to read better
228.39%:  think you should learn how to read better, Michael C
168.60%:  think you should learn how to read better, Michael "
114.28%:  think you should learn how to read better Michael
106.95%:  think you should learn how to read better, Michael C.
58.06%:  think you should learn how to read better, Michael.
41.61%:  think you should read this book then
41.40%:  think you should read it, Michael Chabon the real
41.22%:  think you should write Michael Chabon tales
41.09%:  think you should be the one to read it,
723.89%:  think you should be the one to read it, Michael
45.23%:  think you should be the one to read it, Michael.
41.07%:  think you should read the whole book, Michael C. and
41.00%:  think you should write Michael Chabon a letter, h
40.97%:  think you should read this new
41.62%:  think you should read this new book
40.84%:  know, but it's so
40.82%:  think you should read it Michael Chabon, the words
40.81%:  think you should think about how retarded the real
901.03%:  think you should think about how retarded the real Michael
40.73%:  think you should write Michael Chabon that he's a
40.57%:  asked
694.74%:  asked you to write
379.59%:  asked you to read
262.27%:  asked you to read it
230.63%:  asked you to write the
154.84%:  asked you to write the best
154.63%:  asked you to write about
147.50%:  asked you to write it
141.40%:  asked you to write this
133.37%:  asked you to read it and
263.78%:  asked you to read it and tell
197.92%:  asked you to read it and then
441.03%:  asked you to read it and then tell
117.01%:  asked you to read it,
335.45%:  asked you to read it, Michael
3092.92%:  asked you to read it, Michael Chabon.
215.93%:  asked you to read it, Michael Chabon the
116.20%:  asked you to read the
109.34%:  asked you to write one
108.50%:  asked you to write a Michael
311.49%:  asked you to write a Michael Chabon short
104.86%:  asked you to read it with
97.38%:  asked you to be
117.71%:  asked you to be Michael
89.94%:  asked you to read this
88.36%:  asked you to read a
86.29%:  asked you to write the book
118.88%:  asked you to write the book, Michael
86.02%:  asked you to read it, Michael Chabon who
80.09%:  asked you to write a Michael Chabon ret
79.49%:  asked you to read it with the
79.45%:  asked you to tell
73.49%:  asked you to write a book
72.03%:  asked you to read it, not to insult
71.98%:  asked you to write about Michael
71.80%:  asked you to read the whole
162.67%:  asked you to read the whole book, Michael
71.74%:  asked you to read it, but
67.79%:  asked you to listen
67.42%:  asked you to read what
63.94%:  asked you to read the whole book and
209.62%:  asked you to read the whole book and then
63.04%:  asked you to write a better
62.28%:  asked you to read it out
220.50%:  asked you to read it out loud,
463.43%:  asked you to read it out loud, Michael
3563.83%:  asked you to read it out loud, Michael Chabon.
183.03%:  asked you to read it out loud, Michael Chabon the
137.46%:  asked you to read it out loud while
126.94%:  asked you to read it out loud and
156.56%:  asked you to read it out loud and then
