a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
    586 0.92%:  the last ch
    587 0.91%:  said that the message that
    588 0.91%:  a planet that teaches
    589 1.58%:  a planet that teaches its
    590 0.91%:  a message that pleas
    591 0.91%:  a last ditch gas
    592 0.91%:  a gift
    593 0.90%:  an aesthetic
    594 0.90%:  sealed in the
    595 0.90%:  a sign that says that
    596 0.90%:  the endgame
    597 0.90%:  the same as this
    598 0.90%:  that.
    599 0.90%:  sad that this
    600 1.45%:  sad that this planet
    601 0.89%:  the message that has
    602 0.89%:  a final message.
    603 0.89%:  the same thing.
    604 0.89%:  a planet that sees that if
    605 0.89%:  a message that has the
    606 0.89%:  the last din
    607 0.88%:  a magnetic
    608 4.86%:  a magnetic tape that
    609 3.04%:  a magnetic tape that says
    610 1.42%:  a magnetic tape that last
    611 0.88%:  exactly the same as a
    612 0.88%:  a place saying
    613 0.88%:  the extent
    614 0.88%:  this exact
    615 0.88%:  seemingly
    616 0.87%:  a distant
    617 1.47%:  a distant galaxy
    618 0.87%:  the last thing he
    619 0.87%:  the thing that feels
    620 0.87%:  the fate
    621 0.87%:  the sadness that
    622 0.87%:  distant
    623 0.87%:  final
    624 0.86%:  the same thing a
    625 0.86%:  the speech
    626 0.86%:  saying please
    627 0.86%:  the last it can say
    628 0.86%:  a failed attempt that
    629 0.85%:  a planet that mess
    630 1.43%:  a planet that messes
    631 0.85%:  a fatal
    632 6.15%:  a fatal disease
    633 11.84%:  a fatal disease that
    634 1.50%:  a fatal message
    635 0.96%:  a fatal message that
    636 0.85%:  the same signal as
    637 0.84%:  a last ditch pass
    638 0.84%:  a last attempt at saying
    639 0.83%:  the last sign that
    640 0.83%:  a planet that has had time
    641 0.83%:  at
    642 1.64%:  at the
    643 1.34%:  at this
    644 1.34%:  at least
    645 0.87%:  at the same
    646 0.83%:  said that at the exact
    647 0.83%:  as if the planets say
    648 0.82%:  the last things a
    649 0.82%:  the death c
    650 0.82%:  in the same place
    651 0.82%:  exactly the same as this
    652 0.82%:  the last dying attempt
    653 0.82%:  this that
    654 0.81%:  an idea
    655 1.92%:  an idea that
    656 0.81%:  nice that the al
    657 0.81%:  a planet that missed the
    658 0.81%:  exactly this
    659 0.80%:  in case they
    660 0.80%:  these
    661 0.91%:  these last
    662 0.80%:  the signal that made
    663 0.80%:  the exact same thing a
    664 0.79%:  an empty
    665 0.79%:  a last message in
    666 0.79%:  the last thing that passed
    667 0.79%:  the species that last
    668 0.79%:  at least as
    669 0.78%:  a planet that fights
    670 0.78%:  a failed message that can
    671 0.78%:  deeply
    672 0.78%:  the same thing that leads
    673 0.77%:  a planet that has met
    674 0.77%:  in the same galaxy
    675 0.89%:  in the same galaxy that
    676 0.77%:  a message that ends a
    677 0.76%:  the last idea that can
    678 0.76%:  sad that the last
    679 1.79%:  sad that the last thing
    680 0.76%:  exactly the same thing that sp
    681 0.76%:  a pale
    682 0.76%:  the exact thing that says
    683 0.76%:  that thing that plays
    684 0.75%:  a planet that has this
    685 0.75%:  the same planet that said
    686 0.75%:  said that the last man
    687 0.75%:  the last thing that f
    688 0.75%:  a failed attempt at an
    689 0.75%:  as simple and
    690 1.72%:  as simple and as
    691 0.74%:  the simple
    692 0.74%:  the last gasp in a
    693 0.74%:  that last dance that
    694 0.74%:  the last thing that fades
    695 0.74%:  a last ditch gam
    696 0.74%:  the planets that say this
    697 0.74%:  the last that the
    698 0.73%:  the last thing passed
    699 0.73%:  helped that
    700 0.73%:  a final test
    701 1.70%:  a final test message
    702 0.80%:  a final test message that
    703 0.73%:  a fatal disease that can
    704 0.72%:  that last message in
    705 0.72%:  a final gasp that
    706 0.72%:  said that the next
    707 0.72%:  a statement that decl
    708 0.72%:  nice that at
    709 5.80%:  nice that at least the
    710 2.10%:  nice that at the
    711 0.77%:  nice that at least they
    712 0.72%:  a child
    713 0.72%:  a last gasp at existence
    714 0.99%:  a last gasp at existence.
    715 0.71%:  a last dying
    716 1.87%:  a last dying attempt
    717 0.71%:  the last time they can
    718 0.71%:  a planet that has mess
    719 0.70%:  a message that sayeth
    720 0.70%:  the last time a space
    721 0.70%:  the last thing the sp
    722 0.70%:  a statement that says if
    723 0.70%:  the last that is
    724 0.70%:  a statement that life had
    725 0.70%:  the ap
    726 0.69%:  an attempt at the
    727 0.69%:  dying that
    728 0.69%:  the final message that sp
    729 0.69%:  a planet that sees it
    730 0.68%:  a planet that has made that
    731 0.68%:  the last act the
    732 0.68%:  a statement that if
    733 0.68%:  a life that
    734 0.68%:  a tiny message
    735 0.68%:  failed message
    736 0.68%:  the last dance the
    737 0.68%:  the last thing that faces
    738 0.67%:  as if the planet came
    739 0.67%:  the last idea the
    740 0.67%:  pitch
    741 0.67%:  that statement
    742 0.67%:  the essential
    743 0.67%:  a ship
    744 0.67%:  a planet that has had its
    745 0.67%:  the last d
    746 5.05%:  the last ditch message
    747 1.96%:  the last ditch message that
    748 0.67%:  the day the last
    749 0.66%:  a planet that gets it
    750 0.66%:  the last image that
    751 0.66%:  said that al
    752 0.66%:  at least that
    753 0.66%:  simple and
    754 0.66%:  the last thing a d
    755 0.66%:  the type
    756 0.69%:  the type that
    757 0.66%:  a last gasp at the end
    758 0.65%:  this message that the
    759 0.65%:  the last em
    760 0.65%:  a planet that made this
    761 0.65%:  a c
    762 1.18%:  a cass
    763 57.45%:  a cassette tape that
    764 7.62%:  a cassette that
    765 2.56%:  a cassette tape.
    766 1.91%:  a cassette that plays
    767 1.69%:  a cassette that gets
    768 1.69%:  a cassette single
    769 1.64%:  a cassette tape in
    770 1.49%:  a cassette tape that hasn
    771 1.39%:  a cassette that plays the
    772 1.10%:  a cassette single that
    773 0.78%:  a cassette tape and
    774 0.75%:  a cassette tape that has
    775 0.95%:  a cassette tape that has a
    776 0.72%:  a cassette that last
    777 0.71%:  a cassette tape that is
    778 0.70%:  a cassette tape and it has
    779 0.69%:  a cassette that ends
    780 0.69%:  a cassette made
    781 0.65%:  the last that stands.
    782 0.65%:  a planet that at
    783 0.65%:  the last thing the space
    784 0.64%:  the last act that defines a
    785 0.64%:  the last image a
    786 0.64%:  the same as last
    787 1.47%:  the same as last night
    788 0.64%:  the ple
    789 0.64%:  a shame
    790 0.83%:  a shame that
    791 1.08%:  a shame that the
    792 0.64%:  the same in
    793 0.64%:  the last thing a mass
    794 0.64%:  placed
    795 0.64%:  a message that in
    796 1.13%:  a message that in the
    797 0.64%:  the last hit
    798 0.64%:  a message that leads
    799 0.63%:  silent
    800 0.63%:  as sad
    801 0.67%:  as sad as that
    802 0.63%:  the last night
    803 0.63%:  a message that can easily
    804 0.63%:  the sp
    805 0.63%:  a fatal message sent
    806 0.63%:  the same ple
    807 1.65%:  the same plea as
    808 0.63%:  the species that sang
    809 0.63%:  a plea against
    810 1.60%:  a plea against death
    811 1.13%:  a plea against death that
    812 0.63%:  a gift that
    813 0.81%:  a gift that says
    814 0.63%:  a planet that has missed
    815 1.46%:  a planet that has missed the
    816 0.63%:  a planet that had a
    817 0.63%:  a message that can say
    818 0.62%:  a pitch
    819 0.62%:  said that the galaxy that
    820 0.62%:  this statement
    821 0.62%:  a planet that st
    822 0.62%:  in the same galaxy that the
    823 0.62%:  the last things these
    824 0.61%:  the same last
    825 0.61%:  expected
    826 0.61%:  a plea that seems
    827 0.61%:  that thing that came
    828 0.61%:  that night
    829 0.61%:  expecting
    830 0.61%:  the last dances
    831 0.61%:  in the shape
    832 0.61%:  this sense
    833 0.60%:  a last stand.
    834 0.60%:  in that
    835 0.60%:  the species that had
    836 0.60%:  the last page in a
    837 0.60%:  the day that
    838 0.81%:  the day that the
    839 0.60%:  the sad thing
    840 0.60%:  single
    841 0.60%:  the last thing a space
    842 0.60%:  the day the planet is
    843 0.60%:  a signal that says the
    844 0.60%:  estimated the
    845 0.60%:  the last gam
    846 0.59%:  the time
    847 0.86%:  the time caps
    848 0.59%:  the exact same thing as a
    849 0.59%:  nice that the date
    850 0.59%:  my final
    851 0.59%:  a fatalism
    852 1.69%:  a fatalism that
    853 0.59%:  a planet that came this
    854 0.59%:  a planet that had this
    855 0.59%:  the type that ends
    856 0.59%:  the last thing.
    857 0.59%:  the ep
    858 0.59%:  this message that al
    859 0.59%:  that and the fact the
    860 0.59%:  a tiny message that
    861 0.59%:  the thing the
    862 0.58%:  said that a planet
    863 0.58%:  times
    864 0.58%:  as simple as the
    865 0.58%:  at that
    866 0.58%:  a message in a space
    867 0.58%:  a message et
    868 0.58%:  the exact same last
    869 0.71%:  the exact same last thing
    870 0.58%:  the last thing at
    871 0.76%:  the last thing at the
    872 0.58%:  the exact same as that
    873 0.58%:  a tiny space
    874 0.58%:  a planet that had the same
    875 0.58%:  the silent
    876 0.58%:  a planet that c
    877 0.58%:  a necessity
    878 0.57%:  a shame the
    879 0.57%:  the last dance that a
    880 0.57%:  in the style
    881 0.57%:  the last that can fit
    882 0.57%:  a cassette left
    883 0.57%:  a last dance that says
    884 0.57%:  a planet that missed that
    885 0.56%:  a plea that this
    886 0.56%:  in the same galaxy as the
    887 0.56%:  a selfish
    888 1.34%:  a selfish attempt
    889 2.41%:  a selfish attempt at
    890 0.56%:  light
    891 0.55%:  the last things that came
    892 0.55%:  the last attempt and
    893 0.55%:  a last attempt at a
    894 0.55%:  the last things the
    895 0.55%:  placement
    896 0.55%:  said the al
    897 0.55%:  a panic
    898 0.55%:  a last date that
    899 0.55%:  a fatal disease that gets
    900 0.55%:  made
    901 0.55%:  the statement
    902 0.54%:  a sign left
    903 0.54%:  that and that
    904 0.54%:  an idea that has
    905 0.54%:  the last gasp that
    906 0.54%:  the death sp
    907 0.54%:  entitled
    908 0.54%:  the message that plays
    909 0.57%:  the message that plays in
    910 0.54%:  the final message.
    911 0.53%:  a spaces
    912 0.53%:  the same idea
    913 0.53%:  the island
    914 0.53%:  a nice
    915 0.53%:  a planet that he
    916 0.53%:  the thesis
    917 0.52%:  the last gasp that defines
    918 0.52%:  the last and the
    919 0.52%:  the clim
    920 0.52%:  a piece
    921 0.52%:  a plan that
    922 0.52%:  the last attempt each
    923 0.52%:  placed in a
    924 0.52%:  the last ship
    925 0.70%:  the last ship that
    926 0.52%:  a message that helps
    927 0.52%:  an idea that last
    928 0.52%:  a message that space
    929 0.51%:  the thing that least
    930 0.51%:  a pandemic
    931 0.51%:  a final message et
    932 0.51%:  the system
    933 0.51%:  final message
    934 0.51%:  a place that needs
    935 0.51%:  failed attempts
    936 0.51%:  the dating
    937 0.51%:  this planet that has
    938 0.51%:  a dispatch
    939 0.51%:  a planet that has had a
    940 0.51%:  the last attempt in
    941 0.50%:  the last thing made that
    942 0.50%:  a pain
    943 0.50%:  the last thing he says
    944 0.50%:  the exact same signal as a
    945 0.50%:  that the planet is
    946 0.50%:  a pity
    947 0.76%:  a pity that
    948 0.50%:  the al
    949 5.92%:  the aliens that
    950 0.50%:  a final message sc
    951 0.50%:  late
    952 0.59%:  late night
    953 0.50%:  the last thing that my
    954 0.50%:  saying the
