now I'm certain of it. I am speaking of the ninja teen.
      0 100.00%: 
      1 87.82%:  that
     80 11.49%:  it'
     81 11.87%:  it's not
     82 10.53%:  I think I'm gonna start
     83 10.10%:  I think I'm gonna paint more often
     84 9.90%:  there's a
     85 9.86%:  there it is again.
     86 9.74%:  that's a fact
     87 9.74%:  I think it's time to face
     88 9.73%:  there's no point in taking
     89 9.57%:  there's no take
     90 9.57%:  I think it's time for a new paint
     91 9.56%:  I think it's time for me to go face
     92 9.52%:  scene
     93 9.42%:  I know this
     94 9.04%:  it's not that
     95 8.97%:  I'm not certain that was a
     96 8.91%:  I'm not gonna
     97 10.40%:  I'm not gonna stop
     98 9.85%:  I'm not gonna stop there
     99 8.78%:  I think it's time for an
    100 8.76%:  that's coming
    101 8.61%:  the reason
    102 8.57%:  that wasn
    103 8.50%:  there's no point in me
    104 8.37%:  there we
    105 8.36%:  I think someone
    106 8.22%:  now I'm not
    107 8.21%:  it was on the
    108 8.06%:  that's one
    109 9.66%:  that's one more
    110 13.64%:  that's one more conf
    111 8.01%:  there was
    112 7.91%:  I forgot that
    113 7.73%:  that's it for paint
    114 7.70%:  I think it's time I came
    115 7.69%:  it was on a nap
    116 7.69%:  now that I mention
    117 7.60%:  there it is.
    118 7.58%:  I know it
    119 7.49%:  that one
    120 7.37%:  I think I was
    121 7.36%:  I think I'm coming
    122 7.25%:  that's it for me.
    123 7.24%:  I think we
    124 10.96%:  I think we're gonna
    125 8.08%:  I think we can
    126 7.19%:  that's it for pain
    127 7.18%:  I'm not certain if
    128 20.07%:  I'm not certain if that
    129 25.09%:  I'm not certain if that makes
    130 9.22%:  I'm not certain if that was
    131 7.18%:  I forgot to wash
    132 7.15%:  that's gonna
    133 7.13%:  I think it's time for me to go nap.
    134 7.13%:  I forgot to finish
    135 7.07%:  that was after
    136 7.04%:  it was on the front
    137 7.62%:  it was on the front page
    138 7.00%:  I know it's not
    139 8.26%:  I know it's not the
    140 7.07%:  I know it's not that
    141 6.95%:  I'm not certain that wasn
    142 6.94%:  this
    143 6.93%:  I think it's gonna
    144 6.86%:  I'm gonna
    145 6.76%:  that makes it
    146 6.76%:  I think I forgot
    147 6.72%:  I'm not certain that I
    148 6.67%:  I think it's time we
    149 6.65%:  I'm not gonna mention
    150 14.23%:  I'm not gonna mention that
    151 12.96%:  I'm not gonna mention the
    152 15.13%:  I'm not gonna mention the fact
    153 6.89%:  I'm not gonna mention that I
    154 6.63%:  that one time
    155 6.52%:  that's not an
    156 6.51%:  it was on a piece
    157 6.39%:  I'm gonna stop
    158 47.76%:  I'm gonna stop there
    159 9.42%:  I'm gonna stop now
    160 6.23%:  it was in
    161 6.19%:  I think I'm coming to
    162 6.19%:  now I'm gonna
    163 6.19%:  I know that'
    164 7.95%:  I know that's not a
    165 6.18%:  there's no coming
    166 6.08%:  that is not
    167 6.06%:  I know that's not canon
    168 6.04%:  there's no point in making a
    169 5.98%:  I think it's time for a new name
    170 5.97%:  I was the
    171 5.91%:  that's not a great
    172 6.66%:  that's not a great conf
    173 5.90%:  it's the
    174 5.74%:  that was me
    175 5.72%:  that's a wrap
    176 5.71%:  I'm certain
    177 16.67%:  I'm certain that
    178 9.83%:  I'm certain that I
    179 8.54%:  I'm certain that makes
    180 7.20%:  I'm certain that was
    181 5.58%:  it was on the front of a package
    182 5.53%:  it was a
    183 5.49%:  I'm not gonna mention the part
    184 5.38%:  I think it's time for me to nap
    185 10.24%:  I think it's time for me to nap now
    186 5.35%:  I forgot to finish it
    187 5.33%:  I think it's time for a nice
    188 5.31%:  that's me
    189 5.30%:  now I'm making
    190 5.28%:  I think I meant
    191 12.54%:  I think I meant to write
    192 7.64%:  I think I meant to mention
    193 5.25%:  it was the
    194 5.25%:  I think it's time for me to face a
    195 10.74%:  I think it's time for me to face a new
    196 5.21%:  I'm gonna stop there.
    197 5.20%:  it was on the front page of a
    198 5.15%:  now I'm making this
    199 5.57%:  now I'm making this entire
    200 5.06%:  now that I mention it I can
    201 5.05%:  there goes
    202 4.96%:  I wasn
    203 4.96%:  I think it's time for conf
    204 4.94%:  I think it's time for me to go nap in
    205 4.94%:  we
    206 4.93%:  I'm not certain how
    207 4.93%:  I think I forgot to paint
    208 4.92%:  I think it's time for paint
    209 4.80%:  I forgot to paint
    210 12.20%:  I forgot to paint his
    211 7.29%:  I forgot to paint his face
    212 4.77%:  now I think
    213 6.40%:  now I think I'm gonna
    214 4.76%:  that was not
    215 4.76%:  I think it's too
    216 4.74%:  I'm not certain if that means
    217 4.69%:  I know that's not a conf
    218 4.69%:  I forgot what
    219 4.58%:  I'm not certain I
    220 4.58%:  the reason I'm not
    221 4.58%:  the reason I mention
    222 4.58%:  I'm not gonna stop there.
    223 4.56%:  I think I'm gonna write
    224 4.54%:  I might
    225 4.53%:  I think it's time for me to own
    226 4.51%:  I know that's not gonna
    227 4.50%:  there's no point in me mention
    228 4.48%:  I'm not certain what point
    229 4.45%:  I think we can agree
    230 4.44%:  now I'm not so
    231 4.41%:  it might
    232 4.39%:  that was it
    233 4.36%:  that makes one
    234 4.36%:  there's no point in waiting
    235 4.35%:  there's no point in coming
    236 4.34%:  that was more
    237 4.34%:  I think it's time I conf
    238 4.32%:  that's not gonna
    239 4.31%:  I'm not certain this
    240 4.29%:  I think it's time for a nice nap now
    241 4.29%:  there's no point mention
    242 4.26%:  I think it's time for a conf
    243 4.24%:  it's not coming
    244 4.24%:  there was no
    245 4.21%:  it's the one
    246 4.17%:  that is a
    247 7.12%:  that is a conf
    248 4.16%:  now I'm making it
    249 4.13%:  I think I'm gonna paint more now
    250 4.11%:  I'm not gonna mention his
    251 4.10%:  I was the one
    252 4.09%:  that means I can
    253 12.07%:  that means I can't paint
    254 4.07%:  I think I meant to paint
    255 4.06%:  that's coming from one
    256 4.02%:  somehow
    257 4.00%:  it was the one
    258 3.99%:  it wasn
    259 3.99%:  I think it's time for me to open a
    260 3.98%:  I think I want
    261 10.11%:  I think I want to paint
    262 70.09%:  I think I want to paint again soon
    263 21.19%:  I think I want to paint again some
    264 17.97%:  I think I want to paint again.
    265 10.91%:  I think I want to paint more
    266 9.05%:  I think I want to paint again som
    267 7.57%:  I think I want to paint again soon.
    268 5.31%:  I think I want to go
    269 4.53%:  I think I want to paint some
    270 15.78%:  I think I want to paint some more.
    271 4.36%:  I think I want to paint more again
    272 3.95%:  it was for
    273 3.94%:  I promise
    274 6.87%:  I promise I'm not gonna
    275 3.93%:  I'm not that
    276 9.11%:  I'm not that great
    277 4.33%:  I'm not that great of
    278 3.88%:  here
    279 6.79%:  here comes
    280 3.84%:  I think I'm gonna paint a
    281 3.83%:  I think it's time I got
    282 3.83%:  there is
    283 3.81%:  that was a joke
    284 3.81%:  I'm not gonna mention where
    285 3.74%:  he
    286 5.78%:  he was facing
    287 3.72%:  that was not meant
    288 3.72%:  that's it.
    289 3.68%:  that's coming from an
    290 3.68%:  I meant
    291 5.61%:  I meant to write
    292 5.39%:  I meant to write this
    293 3.67%:  I think we're gonna stop
    294 3.64%:  I'm 
    295 3.63%:  that's proof
    296 3.61%:  I think we're past
    297 3.61%:  that one was
    298 3.60%:  that was in
    299 3.60%:  I think it's great
    300 3.59%:  there's no point in making me
    301 3.59%:  I think I want to go paint
    302 3.56%:  that one time I wrote
    303 3.56%:  there's no point in taking it
    304 3.56%:  I think I want to paint again one
    305 3.55%:  that was an
    306 3.55%:  there's no point in me knowing
    307 3.53%:  I'm gonna paint
    308 4.76%:  I'm gonna paint that
    309 3.52%:  that means it
    310 3.52%:  I'm gonna stop here
    311 3.51%:  I meant to mention
    312 3.51%:  I'm not gonna mention what
    313 3.49%:  speaking
    314 11.48%:  speaking of the
    315 4.65%:  speaking of that
    316 3.46%:  that was it for paint
    317 3.45%:  the answer
    318 3.44%:  I think it's time for nap
    319 28.10%:  I think it's time for nap time now
    320 3.86%:  I think it's time for nap time.
    321 3.43%:  it's the one wearing
    322 3.41%:  I think it's time we got
    323 3.41%:  there's not
    324 3.40%:  I'm gonna paint another
    325 3.38%:  I promise not
    326 8.23%:  I promise not to make
    327 22.09%:  I promise not to make that
    328 3.36%:  he'
    329 12.79%:  he's wearing
    330 3.36%:  I was making
    331 6.16%:  I was making that
    332 11.97%:  I was making that conf
    333 3.36%:  I think it's time I face
    334 3.35%:  I think I'm not
    335 3.34%:  there I
    336 3.32%:  I'm not gonna stop either
    337 3.32%:  I forgot the
    338 3.31%:  I think I'm gonna paint a new
    339 7.80%:  I think I'm gonna paint a new master
    340 3.30%:  that's gonna take
    341 3.29%:  I think it was a
    342 3.28%:  I meant to mention this
    343 3.26%:  I think I want to paint more.
    344 3.22%:  I'm not certain it
    345 5.00%:  I'm not certain it was the
    346 3.35%:  I'm not certain it wasn
    347 3.22%:  I think it's time for one
    348 3.21%:  I know I
    349 10.75%:  I know I'm not
    350 3.20%:  I'm not certain it was a
    351 3.20%:  I think I want to paint again so
    352 3.20%:  I'm not gonna paint
    353 12.35%:  I'm not gonna paint another
    354 3.18%:  I'm making
    355 5.96%:  I'm making this
    356 3.15%:  he's not
    357 3.81%:  he's not wearing
    358 3.15%:  I promise that
    359 3.14%:  it was from
    360 3.13%:  that I
    361 3.11%:  that makes me a
    362 3.11%:  I think it's a
    363 3.10%:  I'm making this entire
    364 3.09%:  I was 
    365 3.08%:  I think it's time for me to go in a
    366 3.07%:  I was right
    367 3.05%:  I'm making this entire conf
    368 3.05%:  I think it was more
    369 3.03%:  I think I want to paint again sooner
    370 3.03%:  I'm not too
    371 3.02%:  there I was
    372 3.01%:  now I'm making this conf
    373 3.00%:  that's not me
    374 3.00%:  after
    375 6.07%:  after that conf
    376 2.98%:  I think it was from
    377 2.97%:  that was 
    378 2.97%:  I'm not certain how I
    379 2.95%:  I am
    380 2.92%:  I'm not certain if I meant
    381 2.92%:  the reason I know
    382 2.92%:  then
    383 2.91%:  that's not a met
    384 2.91%:  I think it's time to re
    385 2.90%:  I'm not that certain
    386 2.90%:  now it
    387 10.21%:  now it's time
    388 67.40%:  now it's time for me to paint
    389 102.99%:  now it's time for me to paint again
    390 28.13%:  now it's time for me to paint again.
    391 21.50%:  now it's time for me to get
    392 20.00%:  now it's time for me to think
    393 16.24%:  now it's time for me to take
    394 14.61%:  now it's time for me to change
    395 12.82%:  now it's time for me to eat
    396 12.65%:  now it's time for the
    397 11.43%:  now it's time for me to paint a
    398 11.17%:  now it's time to
    399 11.04%:  now it's time for me to face
    400 7.90%:  now it's time for me to hang
    401 7.08%:  now it's time for me to take a nap.
    402 6.71%:  now it's time for a
    403 5.91%:  now it's time to go
    404 4.10%:  now it's coming
    405 3.75%:  now it's time for me to thank
    406 3.32%:  now it's time to change
    407 3.19%:  now it's time for a nap
    408 3.12%:  now it's time to face
    409 2.89%:  I know it's not a
    410 2.89%:  I think I'm gonna paint more in
    411 2.88%:  there's no point in me taking
    412 2.87%:  there's one
    413 2.87%:  I'm certain that someone
    414 2.87%:  since
    415 3.01%:  since when
    416 2.85%:  I promise to
    417 2.83%:  after that I was
    418 2.82%:  I think it's time for me to once
    419 2.82%:  I think I want to stop
    420 2.82%:  I'm not certain I meant
    421 2.79%:  neither
    422 2.79%:  I think it's time for me to face one
    423 2.78%:  now I think I'm gonna paint
    424 2.77%:  I think it's time I go
    425 2.76%:  I'm not gonna mention the rest
    426 2.74%:  with
    427 2.74%:  I might not
    428 2.74%:  I think it's time for a few
    429 2.73%:  I think we're coming
    430 2.73%:  it's time
    431 49.79%:  it's time for me to go paint
    432 22.00%:  it's time for me to paint
    433 20.21%:  it's time for me to paint again.
    434 19.95%:  it's time for me to take
    435 19.37%:  it's time for me to go paint a
    436 18.74%:  it's time for me to change
    437 15.43%:  it's time for me to face
    438 10.01%:  it's time for me to go take
    439 9.70%:  it's time for me to go paint a new
    440 8.41%:  it's time for me to paint a
    441 9.72%:  it's time for me to paint a new one
    442 7.83%:  it's time for me to get
    443 7.74%:  it's time for me to hang
    444 7.12%:  it's time for me to take a nap now
    445 5.42%:  it's time for me to paint again now
    446 3.83%:  it's time for me to hang it
    447 3.47%:  it's time for me to think
    448 3.37%:  it's time for me to paint now
    449 3.18%:  it's time to
    450 3.03%:  it's time for me to go think
    451 2.94%:  it's time for me to paint again I
    452 2.91%:  it's time for me to paint again. I
    453 2.71%:  it's gonna
    454 7.49%:  it's gonna take
    455 8.21%:  it's gonna take more
    456 77.36%:  it's gonna take more than a few
    457 43.16%:  it's gonna take more than one
    458 35.27%:  it's gonna take more than one paint
    459 12.61%:  it's gonna take more than an
    460 8.63%:  it's gonna take more than paint
    461 6.75%:  it's gonna take more than fifteen
    462 6.25%:  it's gonna take me
    463 5.80%:  it's gonna take more than one time
    464 4.87%:  it's gonna take more than 
    465 4.55%:  it's gonna take more than two
    466 3.00%:  it's gonna take more than a conf
    467 2.95%:  it's gonna take more than one man
    468 2.71%:  there was no point
    469 2.71%:  now it's time to paint
    470 17.87%:  now it's time to paint again
    471 2.71%:  the rest
    472 2.70%:  there's no point in making it
    473 2.70%:  I want
    474 2.76%:  I want to paint
    475 4.55%:  I want to paint another
    476 3.82%:  I want to paint again soon
    477 3.50%:  I want to paint again so
    478 3.06%:  I want to paint again.
    479 3.01%:  I want to paint another one.
    480 2.69%:  we're coming
    481 2.68%:  that's it for me on
    482 2.68%:  it was on the front of an
    483 2.67%:  there's no time
    484 2.67%:  I want to go
    485 3.38%:  I want to go home
    486 2.66%:  I think I want to paint more som
    487 2.66%:  that means I can't paint now
    488 2.66%:  that's not a crime
    489 2.66%:  I know it's not fair
    490 3.61%:  I know it's not fair to paint
    491 2.65%:  I know that's not a great
    492 2.89%:  I know that's not a great conf
    493 2.65%:  I'm gonna paint it
    494 2.65%:  there's no conf
    495 2.65%:  I think it was on
    496 2.64%:  the reason I'm mention
    497 2.63%:  that one time I was
    498 2.63%:  that was fifteen
    499 2.62%:  now it's time for me to face the pain
    500 2.62%:  we're not
    501 2.92%:  we're not gonna
    502 7.04%:  we're not gonna mention
    503 11.02%:  we're not gonna mention this
    504 9.65%:  we're not gonna mention that I
    505 7.78%:  we're not gonna mention the
    506 9.22%:  we're not gonna mention the fact
    507 6.48%:  we're not gonna mention that.
    508 4.44%:  we're not gonna mention the time
    509 2.61%:  I meant to write this in
    510 2.61%:  I think I'm not gonna
    511 4.89%:  I think I'm not gonna paint
    512 4.09%:  I think I'm not gonna mention
    513 2.90%:  I think I'm not gonna paint for
    514 2.60%:  that's not making
    515 2.58%:  he was orange
    516 2.58%:  I'm not the
    517 2.57%:  I think it matters
    518 2.57%:  I think it's time for me to join an
    519 2.56%:  I'm not that great of an
    520 2.56%:  now that I'm
    521 2.55%:  I'm not certain what I
    522 8.97%:  I'm not certain what I meant
    523 2.55%:  I think it was after
    524 2.55%:  I know there
    525 9.65%:  I know there's no point
    526 3.47%:  I know there's a
    527 2.61%:  I know there's no point in me
    528 2.54%:  I know that's not fair
    529 2.54%:  now it's time for me to hit
    530 2.53%:  it's gonna take me a few
    531 2.53%:  we're not gonna mention that in
    532 2.53%:  that was a perfect
    533 2.51%:  there's no point making
    534 2.50%:  now I'm not so certain
    535 4.41%:  now I'm not so certain that
    536 4.01%:  now I'm not so certain that I
    537 2.50%:  I'm not certain that I was
    538 2.48%:  now I'm certain of
    539 2.48%:  I'm not certain I know
    540 2.48%:  we're not gonna mention it
    541 2.46%:  I think I'm fine
    542 2.46%:  I'm not certain if this
    543 2.45%:  I'm not gonna mention that I was
    544 2.45%:  I think I spent
    545 2.68%:  I think I spent more
    546 5.29%:  I think I spent more time on it
    547 3.83%:  I think I spent more time eating
    548 2.65%:  I think I spent too
    549 2.44%:  for
    550 3.57%:  for some
    551 2.44%:  that's not an ap
    552 2.42%:  I think I got
    553 2.42%:  I know that's a
    554 2.42%:  I'm making that
    555 6.57%:  I'm making that conf
    556 2.41%:  there's no point taking
    557 2.41%:  then I forgot
    558 2.40%:  now I'm certain of that
    559 2.40%:  now I think I'm gonna paint some
    560 2.39%:  I think it's not
    561 2.39%:  that is a fact
    562 2.38%:  I think I want to go paint some
    563 2.38%:  it's gonna take more than a new
    564 2.38%:  I'm not gonna mention this
    565 2.37%:  I think I'm in
    566 2.37%:  I'm gonna keep
    567 49.40%:  I'm gonna keep that secret
    568 16.77%:  I'm gonna keep that secret to
    569 13.88%:  I'm gonna keep that conf
    570 12.15%:  I'm gonna keep that secret now
    571 5.38%:  I'm gonna keep that one
    572 17.51%:  I'm gonna keep that one secret
    573 5.05%:  I'm gonna keep that secret.
    574 4.77%:  I'm gonna keep that one to
    575 3.13%:  I'm gonna keep that secret a
    576 2.62%:  I'm gonna keep that fact
    577 2.36%:  that means I'm a
    578 2.36%:  I'm not certain if that is
    579 2.35%:  this entire
    580 2.34%:  I think it's time I come
    581 2.34%:  that's it for me in
    582 2.33%:  now I'm gonna stop
    583 2.32%:  it's time for me to go eat
    584 2.32%:  I know there's not
    585 2.31%:  the fact
    586 2.31%:  for that
    587 2.30%:  I think I'm gonna paint one
    588 2.30%:  it's gonna take more than nine
    589 2.29%:  that's canon
    590 2.29%:  I think it's gonna come
    591 2.29%:  there's no point in making a conf
    592 2.28%:  I think it's time for n
    593 2.28%:  that means I'm gonna
    594 2.28%:  I think it's time for me to open a new can
    595 2.28%:  I think I spent more time waiting
    596 2.28%:  I meant that
    597 2.27%:  it's time for me to eat
    598 2.27%:  here's a
    599 2.27%:  that makes perfect
    600 2.27%:  it's time to paint
    601 2.26%:  I know I'm not the
    602 17.18%:  I know I'm not the first one
    603 3.43%:  I know I'm not the first to imagine
    604 3.07%:  I know I'm not the first time
    605 2.25%:  I think it's time for me to nap again
    606 2.25%:  now it's time for me to take a nice
    607 2.23%:  I think I spent more time eating ice
    608 2.23%:  that was after eating
    609 2.23%:  I hope
    610 2.22%:  I'm not certain when
    611 2.22%:  it's not the
    612 3.87%:  it's not the one
    613 2.65%:  it's not the one from
    614 2.22%:  I think it's time for me to pain
    615 2.21%:  that means I'm certain
    616 2.21%:  here I
    617 2.50%:  here I am again
    618 2.19%:  that's me coming
    619 2.19%:  it's a
    620 2.33%:  it's a conf
    621 2.19%:  I'm certain the
    622 2.18%:  I'm not gonna mention that in
    623 2.18%:  I think I want to paint a
    624 2.18%:  I think I'm gonna paint more often in
    625 2.17%:  I think I'm gonna paint a new one after
    626 2.17%:  I forgot to take
    627 2.17%:  I know it's not gonna
    628 2.16%:  I think I'm secret
    629 2.16%:  it's time for me to take a nap.
    630 2.16%:  then I went
    631 2.15%:  it's the one from
    632 2.15%:  I know it's not fair to the
    633 2.15%:  I'm gonna paint another one in
    634 3.80%:  I'm gonna paint another one in a few
    635 2.15%:  it's time for me to go paint.
    636 2.15%:  I can
    637 9.31%:  I can't promise
    638 23.67%:  I can't promise that
    639 15.39%:  I can't promise that I won
    640 5.69%:  I can't imagine
    641 9.45%:  I can't imagine what
    642 3.07%:  I can't paint
    643 3.01%:  I can't promise that it
    644 2.75%:  I can't stop
    645 2.71%:  I can't imagine that
    646 2.46%:  I can't imagine where
    647 2.16%:  I can't stop now
    648 2.15%:  another
    649 2.14%:  I think it was on a nap
    650 2.14%:  I was making the
    651 2.44%:  I was making the entire
    652 2.13%:  that means we
    653 2.13%:  it's gonna take more than a few nice
    654 2.12%:  I'm certain that knowing
    655 2.12%:  speaking of nin
    656 2.11%:  I meant to paint
    657 2.11%:  if
    658 2.21%:  if that
    659 6.99%:  if that's not proof
    660 3.06%:  if that's not proof I
    661 2.62%:  if that makes
    662 2.17%:  if that weren
    663 2.10%:  after this
    664 2.09%:  that one is
    665 2.09%:  I think it was in
    666 2.09%:  I was a
    667 2.08%:  I think it's time I came to
    668 2.08%:  I think it's time for me go
    669 2.07%:  I'm not certain if I was
    670 2.07%:  I promise I won
    671 59.98%:  I promise I won't mention
    672 260.67%:  I promise I won't mention it again.
    673 170.61%:  I promise I won't mention that
    674 527.00%:  I promise I won't mention that again
    675 247.41%:  I promise I won't mention that again.
    676 103.94%:  I promise I won't mention that again in
    677 62.78%:  I promise I won't mention that in
    678 49.62%:  I promise I won't mention that again if
    679 13.92%:  I promise I won't mention that again in a
    680 13.28%:  I promise I won't mention it in
    681 10.89%:  I promise I won't mention the
    682 9.15%:  I promise I won't mention it again the
    683 6.87%:  I promise I won't mention it in the
    684 5.40%:  I promise I won't mention it again at
    685 5.07%:  I promise I won't mention the fact
    686 5.01%:  I promise I won't mention that if
    687 4.50%:  I promise I won't mention it if
    688 4.47%:  I promise I won't make
    689 48.49%:  I promise I won't make that conf
    690 3.32%:  I promise I won't mention it at
    691 2.62%:  I promise I won't mention that in a
    692 2.06%:  I'm not making
    693 5.08%:  I'm not making this
    694 5.67%:  I'm not making this conf
    695 3.89%:  I'm not making that
    696 3.49%:  I'm not making that conf
    697 2.06%:  that means we're not
    698 2.06%:  it's time for me to take a nap now.
    699 2.06%:  that comes
    700 2.86%:  that comes from
    701 2.06%:  I might not know
    702 2.06%:  I'm not certain who
    703 2.05%:  I think it's time for me to con
    704 2.05%:  he was green
    705 2.05%:  I think it's time for me to now
    706 2.05%:  I can't promise it
    707 2.05%:  there was no point in
    708 2.05%:  I think I'm gonna paint it some
    709 2.05%:  that was in front
    710 2.04%:  if that's not a
    711 3.78%:  if that's not a perfect
    712 2.63%:  if that's not a conf
    713 2.04%:  I think we're coming to
    714 2.03%:  after that I got
    715 2.03%:  if that wasn
    716 2.03%:  now it's time for me to paint in
    717 2.02%:  I know it's not canon
    718 4.89%:  I know it's not canon that
    719 2.02%:  I think it's time for nap time now.
    720 2.02%:  there's no point in acting
    721 2.01%:  it was me
    722 2.01%:  now that I mention it I can see
    723 2.01%:  I think I spent more time wanting
    724 2.00%:  I forgot to thank
    725 2.00%:  now I'm gonna paint
    726 3.97%:  now I'm gonna paint another
    727 2.00%:  I forgot to paint the face
    728 2.00%:  I think I'm not gonna mention it
    729 2.00%:  I think it was after I
    730 1.99%:  I want to paint again some
    731 1.99%:  it's time for me to go take a nap.
    732 1.99%:  I'm gonna keep that secret too
    733 1.99%:  that's one conf
    734 1.98%:  if that's not a met
    735 1.98%:  that means I can't paint.
    736 1.98%:  I'm not certain that I know
    737 1.97%:  it's gonna take me a few more
    738 1.97%:  I meant to write this conf
    739 1.97%:  I'm not certain if it
    740 5.20%:  I'm not certain if it was the
    741 1.97%:  I think it was of
    742 1.96%:  it's time to go
    743 3.22%:  it's time to go home
    744 1.96%:  I'm not that great an
    745 1.96%:  I'm not the most
    746 1.96%:  I forgot to paint his feet
    747 1.95%:  I'm not certain I was
    748 1.95%:  the reason I paint
    749 1.95%:  that's a wrap on
    750 1.95%:  there's no time to
    751 1.94%:  I was gonna
    752 1.94%:  I can't imagine what I
    753 2.63%:  I can't imagine what I meant
    754 1.93%:  that was me making
    755 1.93%:  that's not coming from an
    756 1.93%:  I'm certain this
    757 1.92%:  now I'm making the
    758 1.92%:  I think I want to paint some more again
    759 1.91%:  I'm not certain I know the
    760 1.91%:  it's gonna take more time
    761 5.83%:  it's gonna take more time than I can
    762 1.91%:  I think I can
    763 3.44%:  I think I can see
    764 1.90%:  I promise I won't mention again
    765 1.90%:  I'm not certain he
    766 1.90%:  I can't paint either
    767 1.89%:  I think it went
    768 1.89%:  that's more
    769 1.89%:  I can't imagine where I
    770 1.89%:  I can't imagine how
    771 1.89%:  that's fine
    772 1.88%:  I know it's not a great
    773 2.84%:  I know it's not a great conf
    774 1.87%:  I can't imagine what it
    775 1.87%:  I think I'm gonna paint one now
    776 1.86%:  when
    777 1.86%:  that's coming after
    778 1.86%:  it's time for me to go paint in
    779 1.86%:  I think it's time I go paint
    780 1.86%:  I think I'm gonna write some
    781 2.71%:  I think I'm gonna write some fiction
    782 1.86%:  now it's time for me to paint an
    783 1.86%:  we're gonna
    784 1.85%:  it was in the
    785 1.85%:  that is one
    786 1.85%:  it's time for the
    787 1.85%:  I think I'm awesome
    788 1.84%:  that one time I forgot
    789 1.84%:  I know he
    790 1.83%:  I spent
    791 3.53%:  I spent the
    792 6.91%:  I spent the entire
    793 12.74%:  I spent the entire time imag
    794 10.97%:  I spent the entire time making
    795 2.92%:  I spent the entire time I
    796 1.83%:  after that it
    797 1.83%:  that means I win
    798 1.82%:  there's not a
    799 1.82%:  that one'
    800 2.05%:  that one's not
    801 1.82%:  I promise I won't make the
    802 1.82%:  I forgot to make
    803 1.82%:  it's gonna take more than ten
    804 1.82%:  I'm not gonna mention it
    805 1.82%:  it was after
    806 1.81%:  I'm certain that if
    807 3.53%:  I'm certain that if someone
    808 1.81%:  the conf
    809 1.81%:  I think it's time for me to pe
    810 1.81%:  it's time for me to go watch
    811 1.81%:  that's not fair
    812 1.80%:  I'm fine
    813 4.02%:  I'm fine with it
    814 1.80%:  I think it's time for a nice nap.
    815 1.80%:  I was hoping
    816 1.79%:  that's coming from a 
    817 1.79%:  that was one
    818 1.79%:  it was the one from
    819 1.79%:  I think I'm gonna frame
    820 1.79%:  I think we can stop
    821 1.79%:  that's after
    822 1.78%:  it was from the
    823 1.78%:  I'm not certain I want
    824 2.26%:  I'm not certain I want to imagine
    825 1.78%:  nothing
    826 1.78%:  then I was
    827 1.78%:  now it's time for me to paint again I
    828 1.77%:  that means I'm not a
    829 9.39%:  that means I'm not a painter.
