definitely possible to get a PhD in that, yes?
100.00%: 
38.08%:  definitely
0.36%:  gonna be the
0.36%:  that old feeling, the
0.36%:  definitely gotta be that one,
0.36%:  totally safe
0.36%:  finally
0.36%:  a ghost
0.36%:  been ha
0.36%:  the one thing
0.36%:  behind
0.36%:  behind the sofa
0.35%:  a feeling, not
0.35%:  definitely not the taste
0.35%:  good that
0.35%:  the best thing in
0.35%:  totally fine that this
0.35%:  definitely not,
0.35%:  not in
0.35%:  this feeling that doesn
0.35%:  gotta be in this
0.35%:  so silly
0.35%:  that old feeling, yeah
0.34%:  in the bottle
0.34%:  a little boy,
0.34%:  no big deal, he
0.34%:  doing that
0.34%:  not that it
0.34%:  that feeling, isn
0.34%:  been floating
0.34%:  possible these
0.34%:  fine, he
0.34%:  been doing it lately
0.33%:  only a slight
0.33%:  not an
0.33%:  definitely in the title,
0.33%:  definitely nostalgia, yes
0.33%:  the title that
0.33%:  the best thing to
0.32%:  sitting behind
0.32%:  been a long shift today
0.32%:  this big
0.32%:  on
0.92%:  on the sign
0.42%:  on the tip of his
0.40%:  on the table
0.32%:  not listed
0.32%:  definitely in the top
0.32%:  been on
0.32%:  gotta be in the title
0.32%:  so intense, it
0.53%:  so intense, it feels
0.32%:  definitely not the last
0.32%:  a little too
0.32%:  gotta be a
0.32%:  totally fine that they
0.32%:  totally the best one
0.32%:  that one feeling,
0.31%:  the title of the play
0.31%:  this ghost
0.31%:  a dog
0.31%:  definitely not that big
0.31%:  definitely not that this
0.31%:  playing
0.33%:  playing hide
0.31%:  honestly been a
0.31%:  gotta be that
0.31%:  definitely not that he
0.31%:  gotten
0.31%:  not possible that the
0.43%:  not possible that the feeling
0.31%:  not that long
0.31%:  in the shape
0.68%:  in the shape of a little
0.31%:  definitely on
0.73%:  definitely on the list
0.31%:  a silly
0.30%:  not a big
0.30%:  not definitely
0.30%:  been the
0.52%:  been the longest
1.49%:  been the longest day
0.30%:  a lady
0.30%:  possible that this one
0.30%:  possible that the feeling is not
0.30%:  not so
0.30%:  so totally
0.30%:  one of the big
0.30%:  this tiny ghost
0.29%:  this feeling inside,
0.29%:  being
0.34%:  being polite
0.29%:  this tiny thing
0.29%:  been doing that lately to
0.29%:  this tiny little thing,
0.29%:  the title of a
0.29%:  essential that
0.29%:  definitely gone
0.29%:  totally fine to say
0.29%:  totally fine, they
0.29%:  late
0.29%:  possible things
0.28%:  gonna be so
0.28%:  this lady
0.28%:  so sad
0.28%:  the best one
0.57%:  the best one yet
0.28%:  only polite?
0.28%:  an honest
0.28%:  fine that
0.30%:  fine that she
0.28%:  these
0.82%:  these pills that
0.39%:  these feelings
0.38%:  these pills, isn
0.31%:  these pills that do
0.47%:  these pills that do it, isn
0.28%:  also possible the
0.28%:  these pills that do it to
0.27%:  behind this
0.27%:  not that big a pill
0.27%:  only been 
0.27%:  definitely not a ghost, please
0.27%:  totally his
0.27%:  definitely a pal
0.27%:  not that late
0.27%:  doing it
0.27%:  totally the best thing in
0.27%:  a little shy
0.27%:  easy to get lost in the details
0.27%:  essential to the plot
0.27%:  behind that
0.27%:  only one
0.27%:  been at
1.28%:  been at least eight
1.25%:  been at least 
0.29%:  been at least ten
0.26%:  a deep
0.31%:  a deep feeling
0.37%:  a deep feeling that
0.26%:  this little thing of
0.26%:  polite
0.27%:  polite to say
0.26%:  honestly a bit
0.26%:  a blessing
0.26%:  definitely tonight
0.26%:  a lonely
0.26%:  good that she
0.26%:  no big deal if it
0.26%:  totally fine and
0.26%:  helping
0.26%:  definitely gotta be this one
0.31%:  definitely gotta be this one,
0.26%:  also possible that they
0.26%:  standing
0.26%:  doing this to
0.26%:  a big hit
0.25%:  definitely sitting
0.25%:  been doing that lately, h
0.25%:  a definitely
0.25%:  possible she got the
0.25%:  definitely a thing she
0.25%:  often
0.25%:  easy to get lost in the past, h
0.25%:  possible his
0.25%:  been that
0.48%:  been that long
0.33%:  been that long?
0.25%:  the best feeling and it
0.25%:  been so long that she
0.25%:  easy to get lost in these
0.25%:  possible that the title of
0.25%:  totally an
0.25%:  been a long day, is
0.25%:  an essential
0.25%:  in the title of this essay
0.24%:  that old feeling isn
0.24%:  a life
0.24%:  totally in
0.24%:  fine to
0.24%:  the feeling,
0.24%:  easy to tell they
0.24%:  totally fine, he
0.24%:  that old feeling, that
0.24%:  possible that he is
0.24%:  settled
0.24%:  based
0.24%:  only polite that she
0.24%:  totally fine that she doesn
0.24%:  a tiny
0.35%:  a tiny little
0.24%:  the best title
0.24%:  the last thing
0.24%:  best
0.26%:  best not
0.24%:  the feeling that stays
0.24%:  been so long it
0.99%:  been so long it feels
0.24%:  this little thing,
0.23%:  P
0.23%:  fine, this
0.31%:  fine, this is totally
0.23%:  definitely not a ghost, by
0.23%:  been a long day of
0.23%:  totally fine, it doesn
0.23%:  possible he got
0.23%:  in the title of the post
0.23%:  no big deal if they
0.23%:  not this
0.23%:  the latest sensation
0.23%:  also definitely
0.23%:  been a long,
0.23%:  possible that they don
0.23%:  one of the least
0.23%:  possible that it doesn
0.23%:  nothing, it
0.23%:  feeling
0.23%:  definitely too late in
0.23%:  these little
0.23%:  honestly the best of
0.22%:  the best of all
0.22%:  only been eight days
0.22%:  gotta be said
0.22%:  one thing
0.22%:  a title
0.22%:  so intense it
0.22%:  still in
0.22%:  been long
0.22%:  this little dog that
0.22%:  been so long, that
0.22%:  easy to tell he
0.22%:  definitely not that,
0.22%:  not as
0.22%:  no big deal if not
0.22%:  on the table,
0.22%:  big
0.22%:  not his
0.22%:  possible that the feeling isn
0.22%:  sitting in
0.22%:  a dog,
0.22%:  insane
0.21%:  the thing
0.21%:  that last one,
0.21%:  in the shape of a bottle
0.21%:  possible that it is
0.21%:  been done
0.21%:  the little things, y
0.21%:  a pal
0.21%:  fine, that
0.21%:  an identity
0.21%:  not that this
0.83%:  not that this feeling
0.25%:  not that this feeling is bad
0.21%:  the title of the song
0.21%:  slightly
0.21%:  a sign
0.21%:  definitely legit
0.21%:  totally the best of
0.25%:  totally the best of the
0.20%:  one of these
0.20%:  the only thing left
0.20%:  one of the pill
0.20%:  this little f
0.20%:  definitely not a e
0.20%:  gotta be one
0.20%:  also the
0.20%:  a little shy,
0.20%:  definitely gotta be in
0.20%:  honestly a bit dis
0.20%:  definitely not a ghost, it
0.20%:  been so long that this
0.20%:  too bad
0.37%:  too bad she
0.25%:  too bad she left
0.20%:  a little dis
0.20%:  nothing to be al
0.20%:  been so long, this
0.20%:  no big deal that
0.20%:  all so
0.20%:  definitely not that this is
0.20%:  been installed
0.20%:  this dog
0.20%:  saying
0.20%:  no big deal if she
0.20%:  a little thing he does?
0.20%:  definitely not the past
0.20%:  definitely not the post
0.20%:  one of the last
0.19%:  in the hospital
0.19%:  in the title of his
0.19%:  that feelings
0.19%:  a little thing of his
0.19%:  the lady
0.19%:  honestly the best gift
0.19%:  one of the last things
0.19%:  essential to the field
0.19%:  bad
0.19%:  the oldest
0.19%:  no big deal honestly
0.19%:  totally this one
0.19%:  nobody
0.19%:  a lot to
0.19%:  definitely not a ghost that
0.19%:  only the best thing
0.19%:  no big deal if not,
0.19%:  not listed on the
0.19%:  not listed in
0.19%:  gotta be inside this
0.19%:  this old feeling, this
0.19%:  a bit of a long title
0.19%:  been doing this lately to
0.19%:  definitely nostalgia this
0.19%:  definitely hot
0.19%:  sitting on the shelf
0.19%:  definitely not this big
0.19%:  in a
0.67%:  in a bottle
0.19%:  only the best feeling,
0.19%:  this tiny ghost inside
0.19%:  a big deal
0.19%:  a polite thing
0.19%:  one hell
0.19%:  so hot
0.19%:  not that big of a pill
0.19%:  the least she
0.19%:  only polite, seeing
0.18%:  totally not a
0.18%:  been 
0.18%:  the old
0.32%:  the old feeling
0.18%:  a bit long
0.18%:  total
0.18%:  easy to identify,
0.18%:  definitely not a ghost, that
0.18%:  definitely too late,
0.18%:  definitely only
0.18%:  the latest in the
0.18%:  definitely gotten
0.18%:  gonna be a
0.22%:  gonna be a little
0.18%:  definitely not that it
0.18%:  only the best feelings
0.18%:  possible that the title doesn
0.18%:  possible he is
0.18%:  the best episode yet
0.18%:  possible nothing
0.18%:  all good
0.18%:  nothing that
0.18%:  definitely gotta be one
0.18%:  hot
0.18%:  not been
0.23%:  not been that
0.18%:  this feeling that says
0.18%:  definitely not a big
0.18%:  so intense that it
0.18%:  this old feeling in
0.29%:  this old feeling in the
0.18%:  a highly
0.18%:  fine, nobody
0.17%:  been a long day, it
0.17%:  a type
0.17%:  been inside
0.17%:  definitely on the tips
0.17%:  a bit of a length
1.86%:  a bit of a lengthy title
0.46%:  a bit of a lengthy title, yes
0.23%:  a bit of a lengthy title, isn
0.17%:  al
0.17%:  possible that it is the
0.17%:  a yes
0.17%:  got to be inside
0.17%:  possible she got hit
0.17%:  nothing if
0.17%:  telling
0.17%:  not helping,
0.17%:  been doing that a
0.17%:  not possible that the feelings
0.17%:  in his
0.17%:  only polite that she be
0.17%:  in the little
0.17%:  been so long that this feels
0.17%:  a bold
0.17%:  definitely being
0.17%:  in the title of the play
0.17%:  not that easy
0.17%:  been a long day?
0.17%:  easy to identify the
0.17%:  this tiny,
0.17%:  not often that
0.17%:  been a thing
0.85%:  been a thing lately,
0.21%:  been a thing today
0.17%:  only been days
0.17%:  so late
0.17%:  only being
0.54%:  only being polite,
0.17%:  not easy to tell
0.17%:  also possible it
0.17%:  a little thing he does, is
0.17%:  the best thing,
0.17%:  not that she doesn
0.17%:  no big deal if he
0.17%:  the best of the
0.17%:  on the list
0.88%:  on the list of things
0.16%:  a thing that definitely
0.16%:  easy,
0.16%:  definitely gotta be an
0.16%:  totally fine, he doesn
0.16%:  been so long that they
0.16%:  that old feeling?
0.16%:  only been half
0.16%:  definitely helping
0.16%:  that last one, isn
0.16%:  a feeling that only
0.16%:  totally fine, this
0.16%:  easy to get nost
0.16%:  possible he got that
0.16%:  also the title
0.48%:  also the title of his
0.26%:  also the title of his best
0.22%:  also the title of the
0.16%:  the best day
0.16%:  not the title
0.16%:  sitting on the table,
0.16%:  definitely best
0.16%:  honest
0.16%:  possible she left a
0.20%:  possible she left a note
0.16%:  the polite
0.16%:  opening
0.16%:  totally fine to be sad
0.16%:  inside the
0.16%:  possible that she got
0.16%:  a bit late
0.16%:  definitely the best one,
0.16%:  easy to tell that he
0.16%:  been this
0.16%:  easy to tell it
0.16%:  not that the
0.53%:  not that the feeling
0.43%:  not that the feelings
0.16%:  possibly a
0.16%:  a bit intense
0.16%:  essential to the plot,
0.15%:  been a long day, yes
0.15%:  a bit of a silly
0.15%:  definitely not that easy, h
0.15%:  totally fine that it
0.15%:  these pills, they
0.15%:  the ghost
0.15%:  in this
0.16%:  in this little
0.15%:  honestly possible
0.15%:  definitely ghost
0.15%:  a hell
0.15%:  definitely not that the
0.15%:  totally fine, she doesn
0.15%:  the good
0.15%:  none
0.15%:  only been days,
0.15%:  been in
0.24%:  been in the
0.15%:  only polite, yes
0.15%:  legit
0.15%:  often said
0.16%:  often said that the
0.15%:  not easy to get
0.15%:  that feeling, the
0.15%:  in this bottle
0.15%:  definitely setting
0.15%:  the best episode of this
0.15%:  the best feeling that
0.15%:  not that often
0.15%:  gotta be in that
0.15%:  totally insane
0.15%:  easy to tell the
0.15%:  the best feeling, h
0.15%:  not that she left
0.15%:  fine to be
0.17%:  fine to be nost
0.15%:  one of these little
0.15%:  one of these little things
0.15%:  the feeling that is
0.15%:  definitely the best thing to say
0.15%:  easy to get lost in life
0.15%:  a little past
0.15%:  hitting
0.15%:  definitely on the table
0.15%:  the old feeling that
0.15%:  only polite if
0.15%:  only that
0.15%:  not a bad
0.15%:  got to be that
0.15%:  fine to say
0.14%:  not the pills, it
0.14%:  not healthy
0.14%:  not the best title
0.14%:  definitely a thing?
0.14%:  all gone
0.14%:  possible that they got
0.14%:  best not to tell
0.14%:  this feeling, it
0.14%:  a lot of sy
0.14%:  a feeling that is
0.14%:  a plat
0.14%:  definitely nostalgia, by
0.14%:  safe
0.14%:  totally fine, the
0.14%:  been the longest day of
0.14%:  definitely not a ghost is
0.14%:  late and
0.14%:  totally inside
0.14%:  none of the
0.14%:  the title of the best
0.14%:  been the only
0.14%:  possible that, in
0.14%:  not a thing yet
0.14%:  not easy being the last
0.14%:  not that bad, it
0.14%:  been one
0.14%:  gone
0.14%:  too late, she
0.14%:  in the title, isn
0.14%:  not inside
0.14%:  been a long day, this
0.14%:  been doing this a
0.14%:  a self
0.14%:  the title of this
0.38%:  the title of this episode
0.14%:  a big one
0.14%:  this feeling that,
0.37%:  this feeling that, despite
0.14%:  a big deal,
0.14%:  not that big a step
0.14%:  one thing if
0.14%:  definitely saying
0.14%:  still the
0.13%:  in the title, so
0.13%:  nothing, she
0.13%:  fine, don
0.13%:  this tiny little dog,
0.13%:  definitely not a ghost by
0.13%:  only,
0.13%:  possible those
0.13%:  totally a ghost
0.13%:  that big
0.13%:  both
0.13%:  honestly one
0.13%:  a highly este
0.13%:  also possible that it
0.13%:  the best thing today
0.13%:  playing the
0.13%:  definitely not that they
0.13%:  possible that if she
0.13%:  that last thing
0.13%:  honestly the best song
0.13%:  easy to get lost inside the
0.13%:  easy to spot
0.13%:  possible he is the
0.13%:  no big deal, the
0.13%:  possible she left the
0.13%:  a little boy, isn
0.13%:  that one,
0.13%:  been sitting at the top
0.13%:  the only sign
0.13%:  so b
0.13%:  the title of his dis
0.13%:  definitely not a ghost, yes
0.13%:  not all
0.13%:  this little dog,
0.13%:  a lifestyle
0.13%:  not safe
0.13%:  this tiny, little
0.13%:  honestly so
0.13%:  been hiding
0.13%:  the nost
0.13%:  fine to be honest
0.13%:  this tiny old
0.13%:  definitely gotta be in this
0.13%:  totally fine to be sad,
0.13%:  the best feeling?
0.13%:  not bad
0.13%:  in the title, so please
0.13%:  a little on
0.20%:  a little on the nose, yes
0.15%:  a little on the nose, if
0.13%:  gonna be totally
0.13%:  the nostalgia itself
0.13%:  in the title of the song
0.13%:  totally in the
0.13%:  not safe to be
0.13%:  totally intense
0.12%:  definitely not as big
0.12%:  been a he
0.12%:  an eight
0.12%:  sending
0.12%:  the only one
0.12%:  silly, isn
0.12%:  possible she got eaten
0.12%:  a delight to be
0.12%:  the latest in feelings
0.12%:  possible she got that
0.25%:  possible she got that title
0.12%:  possible that that is
0.12%:  easy to get lost in the lab
0.12%:  a golden
0.12%:  got to be said
0.12%:  possible that, instead
0.12%:  been a lot
0.12%:  open
0.12%:  a delight,
0.12%:  in the shape of a little boy
0.12%:  no big deal, this
0.12%:  got this
0.12%:  nothing bad
0.12%:  the best feeling to
0.12%:  totally fine, by
0.12%:  a deeply
0.12%:  gotta be in the phone
0.12%:  this intense,
0.12%:  honestly hitting
0.12%:  been an
0.12%:  an easy
0.12%:  gonna be this
0.12%:  so big
0.12%:  got to be a
0.12%:  the feeling that doesn
0.12%:  good,
0.12%:  behind these
0.12%:  lonely
0.17%:  lonely being
0.12%:  insane,
0.12%:  also possible he
0.12%:  not saying
0.12%:  only polite, is
0.12%:  totally fine that he doesn
0.12%:  possible that this feeling,
0.12%:  that last bit
0.12%:  gotta be this little
0.12%:  being played
0.12%:  only in
0.34%:  only in the
0.28%:  only in the last
0.12%:  neat
0.12%:  not a title
0.12%:  not a thing, it
0.12%:  a single
0.12%:  filling
0.12%:  fine that they
0.12%:  been the longest day,
0.12%:  in the title of this blog
0.13%:  in the title of this blog,
0.12%:  definitely a pal,
0.12%:  been filling
0.12%:  this little,
0.12%:  been a thing all
0.12%:  definitely gotta be in the top
0.12%:  this tiny dog
0.11%:  easy to get lost in the depth
0.11%:  not the least
0.11%:  too bad they
0.11%:  an old feeling
0.11%:  easy to tell,
0.11%:  that one thing
0.11%:  possible that the last
0.11%:  a big hit in
0.11%:  the best episode title
0.11%:  not healthy,
0.11%:  possible that the title needs
0.11%:  inside of
0.11%:  possible he only
0.11%:  on the sign,
0.11%:  honestly gotten
0.11%:  a gentle
0.11%:  fine, it doesn
0.11%:  fine to be honest,
0.11%:  the title of the best song
0.11%:  easy to tell that they
0.11%:  honestly the best song title
0.11%:  this tall
0.11%:  a long title
0.11%:  a boy
0.11%:  that feeling that only
0.11%:  definitely got a lot
0.11%:  an entity
0.11%:  in the titles
0.11%:  in the shape of a tiny
0.11%:  that old feeling, is
0.11%:  fine, please
0.11%:  D
0.11%:  a delight to be in the
0.11%:  that old feeling in
0.11%:  this tiny little ghost,
0.13%:  this tiny little ghost, and
0.11%:  definitely eating
0.11%:  sitting on the steps
0.11%:  been a thing lately?
0.11%:  only polite, isn
0.11%:  definitely healthy
0.11%:  a bit of a long title, yes
0.11%:  possible she got the idea
0.11%:  got the
0.13%:  got the best
0.11%:  totally gone
0.11%:  possible he got that title
0.11%:  the title of the essay
0.11%:  definitely at
0.11%:  old feelings,
0.11%:  in the title, please
0.11%:  sp
0.19%:  spelt
0.11%:  definitely gotta be that,
0.11%:  this floating
0.11%:  not totally
0.11%:  definitely not the past,
0.11%:  that good
0.11%:  only polite, seeing as they
0.11%:  definitely not as big as the
0.11%:  in the title of this post
0.12%:  in the title of this post,
0.11%:  definitely nostalgia, the
0.11%:  silly that
0.11%:  possible?
0.11%:  the best feeling, and
0.11%:  one thing to be
0.11%:  these things
0.11%:  in the title of the blog
0.11%:  only been the
0.30%:  only been the past
0.11%:  not a bad feeling
0.11%:  neat that
0.11%:  been feeling
0.11%:  the best and
0.12%:  the best and only
0.11%:  a thing?
0.11%:  in that
0.11%:  gotta be the pill
0.11%:  less
0.11%:  been so long that if
0.11%:  highly
0.11%:  highly possible
0.11%:  at
1.82%:  at the end of this
1.11%:  at the end of the line
0.63%:  at the end of this long
0.60%:  at the end of this alley
0.57%:  at the end of the list
0.50%:  at the end of the alley
0.22%:  at the end of this long,
0.20%:  at least
0.20%:  at the end of this list
0.20%:  at the end of the alley, by
0.15%:  at the end of this list,
0.15%:  at the end of the al
0.14%:  at the end of this line
0.17%:  at the end of this line,
0.13%:  at the end of the list,
0.13%:  at the end of the long
0.11%:  on the inside
0.11%:  this little ghost in
0.11%:  definitely so
0.10%:  totally the best thing,
0.10%:  definitely too late, isn
0.10%:  not a big deal, honestly
0.10%:  in the bottle shaped
0.10%:  been doing this a little
0.10%:  that feeling, yeah
0.10%:  this feeling, this
0.10%:  definitely staying
0.10%:  the one in
0.10%:  not,
0.10%:  gotta be this one
0.10%:  the single
0.10%:  this silly
0.10%:  letting
0.10%:  a little sad
0.10%:  nothing to be self
0.10%:  easy to get lost in that
