so that guy totally ate a sandwich the size of his head!!
100.00%: 
39.71%:  that
4.58%:  no wait that last
3.17%:  no that was totally
3.16%:  so what
3.07%:  cool
3.00%:  then
2.90%:  wait that totally
7.47%:  wait that totally sounds
2.82%:  so that wasn
2.80%:  that is
3.75%:  that is totally
2.80%:  wait that totally doesn
2.80%:  so that was totally a
2.79%:  that one was a
13.22%:  that one was a little
5.03%:  that one was a lie though
2.75%:  that was an
2.73%:  so this
2.70%:  so that last one is
2.69%:  that last one was total
2.68%:  this is totally
2.65%:  that was totally disgust
2.63%:  that was the last of the din
2.62%:  that was a little high
2.62%:  that was all
2.61%:  so that was totally the
2.59%:  so that doesn
2.57%:  that was silly
2.55%:  wait that sounds totally gay
2.55%:  that was a lot of things that
2.55%:  that was a lie and you
2.51%:  what
13.16%:  what the hell is
17.06%:  what the hell is that
16.35%:  what the hell is this
6.29%:  what the hell is that thing
4.61%:  what the he
4.48%:  what the hell is that guy
4.25%:  what the hell does
5.15%:  what the hell does this
3.62%:  what the hell is that noise
3.09%:  what the hell is that sound
2.95%:  what the hell is the
2.77%:  what the hell is this guy
2.70%:  what the hell is this thing
2.45%:  wait that sounds less
2.38%:  so that was the last hand
2.36%:  so that last one was the
2.33%:  that was a lie that
2.32%:  so listen
2.29%:  that was the least
2.28%:  that was a little cheez
2.25%:  that got
2.23%:  so that sounds way
2.19%:  that last one was less
2.15%:  well
5.81%:  well that
4.17%:  well that sounds
2.14%:  you
2.12%:  you can
2.10%:  no wait that totally
2.10%:  that last one was che
2.06%:  that was the last of that
2.02%:  wait that sounds cool
2.01%:  that was totally cheez
2.01%:  that was the last one that
2.00%:  cool that
1.99%:  wait this
1.98%:  what the hell does that say
1.95%:  that last one is a
5.54%:  that last one is a lie though
1.95%:  that last one was a lie though so
1.94%:  what the hell is that face
4.84%:  what the hell is that face doing
1.93%:  that was a good
1.92%:  wait that last line
1.91%:  so that last thing
1.90%:  wait hold on this
1.90%:  that sounds less
1.89%:  no that last
1.88%:  you can totally
1.87%:  no wait this
1.83%:  that was the last of it
1.82%:  so that last one was a lie!!
1.82%:  that was the last din
1.82%:  that was the last of the hands you get
1.79%:  that totally wasn
1.79%:  what the hell is that noise outside
1.78%:  that was cheez
1.74%:  fine
1.74%:  that last thing was a lie!!
1.74%:  that is enough
1.73%:  cool that was
1.73%:  wait that last thing
1.70%:  that sounds silly
1.68%:  that last one was the least
1.66%:  that was cool
1.63%:  wait this is totally
1.61%:  that last one should
1.60%:  that last line is
1.60%:  this is the
2.41%:  this is the last thing
1.60%:  that was enough of
1.76%:  that was enough of this
1.58%:  that totally doesn
1.58%:  that was too long
1.58%:  that was not the
1.57%:  that was less
1.57%:  this was
1.57%:  that should
1.56%:  that was the only
1.56%:  what the hell is this face
1.57%:  what the hell is this face doing
1.55%:  so this is totally
1.55%:  this last
3.32%:  this last one was a
2.54%:  this last one is
2.17%:  this last one was a lie though
1.53%:  wait that sounds totally che
1.51%:  that was the last of this
1.50%:  wait that sounds less cool
1.49%:  wait that sounds silly
1.48%:  yeah
3.62%:  yeah that
7.23%:  yeah that sounds
4.93%:  yeah that was
5.70%:  yeah that was totally
2.22%:  yeah that sounds totally
1.97%:  yeah that was a
7.21%:  yeah that was a little
1.83%:  yeah that sounds way
1.75%:  yeah that was a little che
1.64%:  yeah that sounds cool
1.60%:  yeah that was a lie
1.48%:  wait that sounds a
1.47%:  well that doesn
1.47%:  yeah that was a little too
1.47%:  it
1.45%:  that was a lie though and
1.45%:  that was the last line
1.44%:  that one was a little che
1.44%:  yeah that last
3.29%:  yeah that last one was a
1.43%:  no wait hold
1.43%:  so that totally
1.43%:  that last thing is
1.41%:  that last one was self
1.41%:  what the hell is that doing
1.41%:  so this last
6.74%:  so this last one was
2.54%:  so this last one was a
1.40%:  so that was a totally
1.39%:  so that was a little cheez
1.38%:  so that sounds totally
1.38%:  that sounds a
2.20%:  that sounds a little gay
1.58%:  that sounds a lot
1.37%:  that was the last one so
1.37%:  wait that sounds a lot
1.36%:  that was totally fiction
1.36%:  that was totally fiction though
1.36%:  that was totally a thing
1.35%:  that was total
1.35%:  that was still
1.34%:  that sounds totally gay
1.34%:  no wait that is
1.33%:  that was totally an
1.33%:  good
1.32%:  that sounds gay
1.31%:  that was the last thing you said!!
1.31%:  yeah that was totally the
1.30%:  that last one got
1.30%:  that was totally cheezed
1.30%:  that was a lie that sounds
1.29%:  then!!
1.29%:  that last one was lies
3.16%:  that last one was lies though
1.28%:  this sounds
1.28%:  so that one
1.28%:  that was a little gay
1.27%:  listen this
1.27%:  so it
1.27%:  what the hell that
1.27%:  that last one was false
1.27%:  that was totally second
1.26%:  no wait that is totally
1.25%:  so this is the
1.84%:  so this is the last
1.24%:  that was disgust
1.24%:  no that was a
1.23%:  wait hold on a
1.34%:  wait hold on a sec that
1.35%:  wait hold on a sec that last
1.23%:  that was the last of the things
1.22%:  that was totally not the
1.21%:  that last one was so
1.21%:  what the hell is that face saying
1.21%:  that was a lot of hand
1.21%:  what the hell does this guy
1.20%:  what the hell is a
1.20%:  that is totally what
1.20%:  so anyway
1.20%:  that was a thing
1.86%:  that was a thing that
1.19%:  anyway
1.18%:  what the hell is that saying
1.18%:  that is the
3.93%:  that is the last thing
2.63%:  that is the last thing you
1.91%:  that is the last one
1.18%:  that was a lie!!
1.18%:  that last one was too
1.16%:  now that you
1.15%:  wait this sounds
1.15%:  enough
2.34%:  enough with
2.70%:  enough with this
2.69%:  enough with that
1.74%:  enough with the facts
1.13%:  so that was second
1.13%:  this is the last one though
1.13%:  wait that got
1.13%:  that was a total lie!!
1.12%:  that was the last of the hands so let
1.12%:  so that was all
1.11%:  yeah that was totally a
1.10%:  that is the last of
2.05%:  that is the last of these
1.33%:  that is the last of the hands you
1.31%:  that is the last of the hands so
1.10%:  so that one was totally
1.10%:  that was the last hand so
1.09%:  that was the last of these and
1.09%:  that was last
1.91%:  that was last night
1.53%:  that was last hand
1.09%:  that was a long
1.08%:  cool that sounds
1.08%:  that is totally the
1.08%:  so this one
1.07%:  that was one
1.07%:  that was l
1.06%:  what the hell does that guy
1.06%:  so that was the least
1.06%:  so the
14.38%:  so the sandwich
3.70%:  so the sandwich guy
3.39%:  so the sandwich is
3.01%:  so the sandwich guy ate
2.17%:  so the sandwich guy ate his
2.06%:  so the sandwich is totally
1.61%:  so the sandwich is still
1.57%:  so the sandwich is the
10.11%:  so the sandwich is the size of the
8.97%:  so the sandwich is the size of a
3.08%:  so the sandwich is the size of that
1.56%:  so the sandwich guy totally
2.88%:  so the sandwich guy totally ate his
1.71%:  so the sandwich guy totally ate the
1.54%:  so the sandwich guy ate the
1.05%:  that last one got away
1.05%:  wait hold on a sec this
1.05%:  this is the last hand
1.04%:  this one
1.04%:  that one was a little high
1.04%:  that was a lot of lines
1.04%:  that sounds way less cool if
1.03%:  that was a lie and this
1.03%:  this one was
1.12%:  this one was totally
1.02%:  that totally sounds way
1.02%:  so that was a total
1.02%:  that was a lot of hands
1.02%:  that was not the last
1.01%:  this is the last thing you
1.01%:  so yeah
1.21%:  so yeah that
1.58%:  so yeah that was
2.05%:  so yeah that was totally
1.11%:  so yeah that sounds
1.00%:  that was the end
4.05%:  that was the end of that
1.55%:  that was the end of this
1.00%:  that last one was too high
0.99%:  yeah that sounds way cool
0.99%:  no that was a little
0.99%:  so what should
0.99%:  that is totally a
0.98%:  that was it
0.98%:  that was the last of it though
0.98%:  that was a lot to
1.96%:  that was a lot to handle
0.98%:  that was the last one you
0.98%:  that was a lot of things at
0.98%:  yeah that sounds totally sweet
0.98%:  so that totally sounds
0.98%:  so that was the last thing you said to
0.98%:  no wait this is totally
0.97%:  so you
0.97%:  that was the last of the ones
0.97%:  yeah that doesn
0.97%:  that was a lie you
0.96%:  no wait this last
0.96%:  that was the last thing i
1.11%:  that was the last thing i said
0.96%:  that was a second
0.96%:  that is a
0.96%:  what the hell do
0.95%:  that was still second
0.95%:  that was the last of the hands so you
0.95%:  so that was a lie though
0.95%:  wait this doesn
0.94%:  yeah that last one is
0.94%:  that was the last hand though
0.94%:  that one is
0.94%:  that was the last and
0.94%:  wait hold on let
0.94%:  that was a shitty
1.24%:  that was a shitty thing
1.63%:  that was a shitty thing to do
0.93%:  so that was the longest
0.93%:  that sounds sweet
0.93%:  that was a lie and that
0.92%:  that was totally a second
0.92%:  that was so
0.92%:  that is the last of the hands!!
0.92%:  wait that sounds gay
0.92%:  that last one was l
0.92%:  that was last second
0.91%:  not
0.91%:  that would
0.90%:  that was enough of that shit
0.90%:  so the sandwich guy totally ate it
0.90%:  enough of
6.77%:  enough of that
0.89%:  so that was a little high
0.89%:  that was a little out
5.69%:  that was a little out of hand
0.89%:  that was the last line of
0.89%:  that sounds less cool
0.89%:  that was a lot of things that should
0.89%:  that was totally cheezed out
0.89%:  that was the last thing you had
0.89%:  that sounds a little che
0.88%:  who
0.88%:  and
0.88%:  now that that
0.87%:  this is totally the
0.87%:  so that was an
0.87%:  so that last one was che
0.87%:  so that was the only
0.87%:  what the hell is the face
0.87%:  so that was the last of
7.09%:  so that was the last of the hands
0.86%:  this last one was the
0.86%:  that was the last thing said
0.86%:  that was not that
0.86%:  yeah that last one was a lie though
0.86%:  that was the last one guys
0.85%:  that was the last issue
2.02%:  that was the last issue of the
0.85%:  that is enough of
1.16%:  that is enough of this
0.85%:  that was so totally
0.85%:  that was not that good
0.85%:  that was a lot to say
0.85%:  that got way
0.85%:  what the hell is that face doing out
0.85%:  so yeah that last
1.18%:  so yeah that last one was a
0.84%:  that last was
1.83%:  that last was a lie though
0.84%:  that was a lie though!!
0.84%:  wait this last
0.84%:  wait hold on this last
0.84%:  that was a little disgust
0.84%:  what the hell is this and
0.84%:  so the sandwich is this
0.84%:  what the hell does this say
0.83%:  that last line was the
0.83%:  that was the last one though!!
0.83%:  that was a little high and
0.83%:  so this one was
0.82%:  that was the closest
0.82%:  that one is totally
0.81%:  guys this
0.81%:  so what do
0.81%:  fine that
1.12%:  fine that was
0.99%:  fine that was totally
0.81%:  fine that last
0.81%:  enough of this let
0.81%:  wait that one
0.81%:  enough with the self
0.81%:  that last one was tough
0.81%:  that was the last guy
0.80%:  that was a lie and this is the
0.80%:  so that was totally che
0.80%:  that was a lot of second
0.80%:  that was a lie and it
0.80%:  that last one was less of
0.80%:  so now
1.03%:  so now that
0.80%:  and that
0.80%:  that is the last of the hands you get
0.80%:  this was totally
0.79%:  so the sandwich guy is
3.15%:  so the sandwich guy is totally
0.79%:  yeah that totally
2.52%:  yeah that totally sounds
0.79%:  that sounds a little high
0.79%:  that is the last of the hand
0.79%:  that is totally not
1.83%:  that is totally not what
0.78%:  so that was the last line
0.78%:  that is not
0.79%:  that is not what
0.78%:  that was the last of these things
0.78%:  it was
0.77%:  that last one was a lie so
0.77%:  that was only
0.77%:  that was totally gay
0.77%:  guys!!
0.77%:  so the last
0.96%:  so the last sandwich
0.77%:  that last thing was total
0.76%:  no that would
0.76%:  this is the last one!!
0.76%:  that was not a
0.81%:  that was not a good
0.76%:  that was the cool
3.34%:  that was the coolest thing you
3.22%:  that was the coolest thing you said
1.81%:  that was the coolest thing you said this
1.12%:  that was the coolest thing to
0.76%:  that last one was a slight
0.76%:  so that was a thing
0.76%:  so that last one is a
0.75%:  this is a
0.75%:  what the hell is that song
0.75%:  that was an actual
0.75%:  that was second
0.75%:  so the thing
2.13%:  so the thing is that
0.75%:  wait that sounds all
0.75%:  that was the second
0.75%:  no that was the
1.42%:  no that was the last
0.74%:  so this is the last one
0.74%:  that was the last idea
0.74%:  that was a lie this
0.74%:  so that last line
0.88%:  so that last line was a
0.74%:  that was the last one this
0.74%:  no that totally
0.74%:  wait that totally changed
0.74%:  it sounds
0.74%:  that was a lie you can
0.74%:  so that was the last of the hand
0.73%:  no wait that should
0.73%:  that was the last of those things
0.73%:  that was the coolest thing i
0.73%:  that was the last of those and
0.73%:  wait that sounds too
0.73%:  wait that sounds a little gay
0.73%:  what the hell that sounds
0.73%:  that last thing was the
0.72%:  that was the last actual
0.89%:  that was the last actual thing
0.72%:  that last thing was a lie so
0.72%:  so that totally wasn
0.72%:  that last one was false though
0.72%:  guys this is totally
0.71%:  that was the second last
0.71%:  so that was a thing that could
0.71%:  so that last one was a slight
0.71%:  no that was totally the
0.71%:  that sounds a little too
0.71%:  that was a little too che
0.71%:  so this is what
0.70%:  that was a lie it
0.70%:  listen that
1.08%:  listen that was
0.97%:  listen that last
0.70%:  yeah that was the
1.60%:  yeah that was the last thing
0.70%:  wait that last one is
0.70%:  wait that sounds hell
0.70%:  so that was a lie and you
0.69%:  that was the actual
1.27%:  that was the actual last
1.45%:  that was the actual last thing
0.69%:  that was that
1.32%:  that was that last
1.14%:  that was that last thing
0.74%:  that was that last thing you
0.69%:  that was the last thing you say
0.68%:  so the sandwich is totally the
4.73%:  so the sandwich is totally the size of the
3.87%:  so the sandwich is totally the size of a
1.45%:  so the sandwich is totally the size of that
0.68%:  that was the last of the notes
0.68%:  what the hell is he
1.52%:  what the hell is he saying
0.81%:  what the hell is he doing
0.68%:  that is totally not how
0.68%:  that was silly and
0.68%:  so that was a lie and this
0.68%:  what the hell does this thing
0.74%:  what the hell does this thing say
0.68%:  guys that
0.81%:  guys that was
0.67%:  that is totally not how this
0.67%:  so the sandwich is still the
0.67%:  that was a lie and the
0.67%:  that last one was a thought
0.66%:  that was the last thought
0.66%:  that was totally the c
0.66%:  enough of that shit
0.66%:  so this is a
0.66%:  that was shitty
0.66%:  that one was all
0.65%:  this last one is a
0.65%:  yeah that last one was the
0.65%:  that last one was a total
0.65%:  and also
0.64%:  wait that sounds che
0.64%:  what the hell is it
0.64%:  that was enough of that!!
0.64%:  so that was a lot
0.64%:  so that one was a
2.32%:  so that one was a little
0.64%:  that sounds way too high
0.64%:  so it was
0.64%:  so the last thing
0.64%:  that was the last of the heads
0.63%:  yeah that was the last thing you
1.33%:  yeah that was the last thing you said
0.63%:  so this was
0.63%:  so yeah that was a
1.80%:  so yeah that was a little
0.64%:  so yeah that was a lie
0.63%:  that was a little cheezed
0.63%:  what the hell is that thing you
0.63%:  that last one could
0.63%:  so the sandwich guy totally ate that
0.63%:  so the thing is that this
0.63%:  so the last sandwich guy
0.65%:  so the last sandwich guy ate
0.62%:  what the hell this
0.62%:  anyway that
0.62%:  you gotta
0.62%:  so that was the last guy
0.62%:  enough of this shit
0.61%:  so that was totally second
0.61%:  wait that sounds a little che
0.61%:  that got a
0.82%:  that got a little out
2.62%:  that got a little out of hand!!
0.61%:  that is the last thing you said
0.61%:  so that was totally a thing
0.61%:  so that last thing is
0.61%:  that was totally un
0.61%:  that was a lie the
0.60%:  that went
0.60%:  that was the last hand you
0.60%:  what the hell is this doing
0.60%:  that last one was the least good
0.60%:  so yeah that last one is
0.60%:  enough with the fact
0.60%:  that was the last of the ideas
0.60%:  that was totally in
0.60%:  wait that is
1.01%:  wait that is totally
0.60%:  that totally was
0.59%:  that is a lie though
0.59%:  what the hell is this song
0.59%:  that was a lie and also
0.59%:  that was totally the second
0.59%:  so the sandwich is totally the size of a guy
0.59%:  that last one was also
0.59%:  so you can
0.58%:  that was a little out of hand!!
0.58%:  that was the last thing out
0.58%:  it was totally
0.58%:  so the sandwich guy ate it
0.58%:  that last line is a
0.58%:  that last one was a lie that
0.58%:  wait no
0.58%:  so the sandwich guy is totally this
0.58%:  that was totally the highest
0.58%:  that last one is way
0.57%:  that is a little
0.57%:  what the hell does that thing
0.86%:  what the hell does that thing say
0.57%:  if
1.08%:  if you want
1.79%:  if you want to call
1.70%:  if you want to call that
1.17%:  if you want to call this
0.77%:  if you want to call it
0.57%:  enough of that let
0.57%:  that was the last one let
0.57%:  so the sandwich totally
0.57%:  so that was last
1.41%:  so that was last hand
0.67%:  so that was last night
0.56%:  that was a test
0.56%:  that was that last thing you said
0.56%:  guys that was totally
0.56%:  that one was the
0.56%:  so that was a little too
0.56%:  that was a silly
1.89%:  that was a silly thing
1.46%:  that was a silly thing to say!!
1.37%:  that was a silly thing to do
0.85%:  that was a silly thing to say to
0.81%:  that was a silly thing to say so
0.56%:  that was good
0.56%:  so this is the last thing
0.55%:  yeah that sounds way too
0.55%:  so that last one was the least
0.55%:  wait this is totally the
0.55%:  yeah that was the last hand
0.55%:  that was cool though
0.55%:  so the sandwich is a
0.55%:  so the sandwich guy is totally the
0.54%:  that last one got a
0.54%:  so this is a little
0.54%:  that was the last hand!!
0.54%:  that was a little too honest
0.54%:  this is the last of
5.23%:  this is the last of the hands
2.05%:  this is the last of these
0.54%:  that got way too
0.54%:  so this last one is a
0.54%:  that felt
0.70%:  that felt good
0.54%:  so that was a lot of things
0.54%:  so that was the actual
0.54%:  that was useless
0.54%:  so the sandwich is the size of a guy
0.54%:  that got away
0.54%:  so this last one was the
0.54%:  this last one is a lie though
0.54%:  that was totally not the face
0.54%:  ladies
0.54%:  so that was a total lie and
0.54%:  no that was too
0.54%:  the
2.36%:  the sandwich
0.72%:  the sandwich is
0.57%:  the last
0.97%:  the last one was a
0.92%:  the last one was a lie though
0.55%:  the sandwich guy
0.55%:  the sandwich guy ate
0.53%:  that feels
0.53%:  that was a lie the last
0.53%:  that last thing was a total
0.53%:  that last one was a lie though h
0.53%:  what the hell that doesn
0.53%:  so that was a little cheezed
0.53%:  what the hell is so
0.53%:  that last one was a che
0.89%:  that last one was a cheat though
0.53%:  that was not the face
0.53%:  that was the last of the hands guys
0.53%:  that was a total lie and you
0.53%:  so that was the actual last
0.60%:  so that was the actual last thing
0.53%:  that last one was a lie though that
0.53%:  this is totally a
0.53%:  that was a lie and the last
0.52%:  so now that that
0.52%:  that is a lie and
0.52%:  well that got
0.52%:  that was a lie though so
0.52%:  so the last guy
0.52%:  that was a little too high and
0.52%:  so this is totally what
0.52%:  that is the last of this
0.52%:  that is the last hand
0.52%:  gotta
0.52%:  that was the last hand you get
0.52%:  that last one was lie
0.52%:  that last thing should
0.52%:  that sounds hot
0.52%:  that lasted
0.52%:  so that was totally fiction
0.51%:  guys this is the
2.06%:  guys this is the last
0.88%:  guys this is the last one
0.51%:  so that was a little thing
0.51%:  what the hell is that taste
0.51%:  that sounds all
0.51%:  wait hold on a sec let
0.51%:  that was a lie that last
0.51%:  so that was the second
0.72%:  so that was the second last
0.51%:  so you can totally
0.51%:  that was enough facts
0.51%:  so this is totally the
0.51%:  that was all the
0.53%:  that was all the hands
0.51%:  that was totally not a
0.51%:  that last one was the actual
0.51%:  that last one was disgust
0.51%:  that was the last of the hands i
0.51%:  what the hell is a z
0.51%:  that was the last one of
1.71%:  that was the last one of those
0.51%:  so this one was totally
0.51%:  so the sandwich guy is still
0.51%:  that guy
0.50%:  so that was a lie that
0.50%:  not that
0.50%:  let
0.50%:  this last one was total
0.50%:  this doesn
0.50%:  that was a lie i
0.50%:  so the sandwich the
7.88%:  so the sandwich the size of his
6.55%:  so the sandwich the size of the
4.26%:  so the sandwich the size of the guy
3.44%:  so the sandwich the size of a
3.13%:  so the sandwich the size of this
2.10%:  so the sandwich the size of this guy
0.74%:  so the sandwich the size of that
0.70%:  so the sandwich the guy
0.83%:  so the sandwich the guy ate the
0.66%:  so the sandwich the size of a guy
0.50%:  that was totally the highest hand
0.50%:  that last one was a lie h
0.50%:  that was the last day
0.50%:  that was the coolest idea
0.50%:  so the sandwich is a little
0.50%:  that last one was a lie guys
0.49%:  so anyway that
0.49%:  that was total fiction
0.49%:  that last one failed
0.49%:  that was long
0.49%:  so this is the actual
0.49%:  that last one was a lie this
0.49%:  so that is
0.66%:  so that is totally
0.49%:  so it sounds
0.49%:  so this isn
0.49%:  cool that was the
2.31%:  cool that was the last thing
1.90%:  cool that was the last one
0.87%:  cool that was the last thing you
1.73%:  cool that was the last thing you said
0.49%:  that was a lie that guy
0.49%:  that was a lie though that
0.49%:  that was the end of the scale
0.49%:  so the sandwich is the size of all
0.49%:  that was too high
0.49%:  what the hell is it that
0.49%:  that one was totally che
0.48%:  that was the last you
0.48%:  that was not good
0.48%:  yeah that wasn
0.48%:  what the hell is it that you
0.48%:  that is the end
5.34%:  that is the end of this
2.52%:  that is the end of that
0.48%:  that was a total lie though!!
0.48%:  this was the
0.69%:  this was the last
0.70%:  this was the last one
0.48%:  enough with all
2.14%:  enough with all this
1.14%:  enough with all that
0.48%:  that is way
0.48%:  that was not totally
0.48%:  cool that was a
0.48%:  so the last guy was
0.48%:  wait that sounds a lot less
0.48%:  this is the last of these and
0.48%:  yeah that was a totally
0.48%:  that sounds a lot less
0.48%:  so that was the last thing said
0.48%:  so that was total
0.48%:  that was totally one
0.48%:  no this
0.48%:  that is totally enough
0.48%:  that last line was che
0.47%:  that was a thing that should
0.47%:  that does
0.47%:  so that was only
0.47%:  so that was totally chees
0.47%:  now let
0.47%:  what the hell is this a
0.47%:  this is a little
0.47%:  that was the last of the slides
0.47%:  wait that totally sounds che
0.47%:  so that was the last of these
0.47%:  so that was a second
0.47%:  that was a little out of the
0.47%:  that was a lie that guy said
0.47%:  so that was not
0.47%:  wait that should
0.47%:  so the sandwich is totally this
0.47%:  that one was totally a
0.47%:  that sounds way less hot
0.47%:  this last one should
0.47%:  that was a lie don
0.46%:  this one is
0.55%:  this one is totally
0.46%:  that was the last good
0.46%:  that was a little thing
0.46%:  that is not allowed
0.46%:  that was less than
0.46%:  wait no that last
0.46%:  so what the
2.08%:  so what the hell
1.49%:  so what the hell is
1.77%:  so what the hell is that
1.10%:  so what the hell is this
0.91%:  so what the hell is the
0.88%:  so what the hell does
0.74%:  so what the hell does that say
0.68%:  so what the hell is that thing
0.63%:  so what the hell does that guy
0.62%:  so what the hell does this
0.58%:  so what the hell is that guy
0.46%:  so that was a lie and that
0.46%:  so the sandwich ate
0.46%:  that is a totally
0.65%:  that is a totally sweet
1.69%:  that is a totally sweet thing
0.46%:  what the actual
0.46%:  so that was a little cheat
0.46%:  so the thing with
0.55%:  so the thing with that
0.56%:  so the thing with that last
0.46%:  that last one was a lie though it
0.46%:  wait hold on this is the
0.46%:  that lasted long
0.46%:  guys this is totally the
0.46%:  wait that sounds less cool the
0.46%:  that was the last thing you told
0.46%:  that sounds way hot
0.45%:  that was all a
0.45%:  that is totally disgust
0.45%:  that is the end of the show
0.45%:  so what the hell does that guy eat
0.45%:  that was cheezed
0.45%:  that last one was cool
0.45%:  that was a thing that could
0.45%:  that was the last thing the
0.45%:  yeah this
0.45%:  wait hold on this is a
0.45%:  that was a lie that doesn
0.45%:  so yeah that last one was the
0.45%:  wait this isn
0.45%:  that was a little ho
0.45%:  that last one was less good
0.45%:  this was the last thing
0.44%:  what the hell is this shit
0.44%:  wait that last thing is
0.44%:  that last one was shit
0.49%:  that last one was shit though
0.44%:  if you want to call this a
0.44%:  yeah this is totally
0.44%:  that one was still
0.44%:  what the hell is that and
0.44%:  so that would
0.44%:  that was a little tough
0.47%:  that was a little tough to say
0.44%:  what the hell is the sound
0.44%:  no that is
0.44%:  yeah that was totally not
0.44%:  that isn
0.44%:  this isn
0.44%:  so yeah that was a little che
0.44%:  that was a lot less
0.44%:  that was the last section
0.44%:  that was the last of these so
0.44%:  that was the last one that should
0.43%:  so this is totally a
0.43%:  that guy ate
5926.90%:  that guy ate a sandwich the size of this
1119.08%:  that guy ate a sandwich the size of a
758.74%:  that guy ate a sandwich the size of that
743.51%:  that guy ate a sandwich the size of the
310.90%:  that guy ate a sandwich the size of his hat
159.97%:  that guy ate a sandwich the size of his he
136.81%:  that guy ate a sandwich the size of 
125.99%:  that guy ate a sandwich the size of his last
113.62%:  that guy ate a sandwich the size of his totally
105.57%:  that guy ate a sandwich the size of all
157.51%:  that guy ate a sandwich the size of all the
80.66%:  that guy ate a sandwich the size of its
76.01%:  that guy ate a sandwich the size of the last
62.74%:  that guy ate a sandwich the size of all his
57.85%:  that guy ate a sandwich the size of those
57.37%:  that guy ate a sandwich the size of his hat!!
43.22%:  that guy ate a sandwich the size of his shoe
40.33%:  that guy ate a sandwich the size his
32.93%:  that guy ate a sandwich the size of a little
27.85%:  that guy ate a sandwich the size of his total
24.65%:  that guy ate a sandwich the size of his ha
21.91%:  that guy ate a sandwich the size of lots
21.83%:  that guy ate a sandwich the size of the his
21.72%:  that guy ate a sandwich the size of his h
19.83%:  that guy ate a sandwich the size of a lot
18.94%:  that guy ate a sandwich the size of at
287.06%:  that guy ate a sandwich the size of at least his
19.80%:  that guy ate a sandwich the size of at least 
18.22%:  that guy ate a sandwich that
17.40%:  that guy ate a sandwich the size of this last
16.77%:  that guy ate a sandwich that size
16.65%:  that guy ate a sandwich the size of th
16.54%:  that guy ate a sandwich the size of his tooth
16.22%:  that guy ate a sandwich the size of is
14.37%:  that guy ate a sandwich the size of a hat
13.30%:  that guy ate a sandwich the size of his toe
13.12%:  that guy ate a sandwich the size of a totally
13.02%:  that guy ate a sandwich the size of all those
12.66%:  that guy ate a sandwich the size of h
11.99%:  that guy ate a sandwich the size of his t
11.49%:  that guy ate a sandwich the size of his th
11.13%:  that guy ate a sandwich the size of totally
11.13%:  that guy ate a sandwich the size of those last
10.71%:  that guy ate a sandwich the size of his that
10.23%:  that guy ate a sandwich the size of his host
10.05%:  that guy ate a sandwich the size of hell
