um... I guess I'll talk to you later huh
      0 100.00%: 
      1 19.93%:  yeah
    363 9.15%:  as your
    364 9.15%:  ah...
    365 9.12%:  there.
    366 9.11%:  I'm guess
    367 9.10%:  let's all team
    368 9.09%:  there you go
    369 9.09%:  let me ask you a
    370 9.08%:  that's really...
    371 9.08%:  that's all the
    372 9.05%:  huh...
    373 9.05%:  I guess I take
    374 9.04%:  let's all look
    375 9.04%:  tell me a story.
    376 9.04%:  I guess all that
    377 9.03%:  here I
    378 9.02%:  go home
    379 9.02%:  the guy
    380 9.02%:  tell the story.
    381 9.01%:  the story'
    382 9.00%:  the met
    383 9.00%:  I really thought last
    384 8.98%:  that story makes
    385 8.98%:  you thought I'
    386 8.98%:  are you all set
    387 8.96%:  the same story
    388 8.95%:  let's all hear
    389 8.95%:  let's all make out
    390 8.93%:  let's all shut
    391 8.92%:  you go
    392 8.92%:  I gotta ask
    393 8.92%:  I guess I really am
    394 8.92%:  hey...
    395 8.90%:  the story...
    396 8.90%:  all I gotta
    397 8.90%:  you gotta take
    398 8.90%:  here at
    399 8.89%:  I'm totally agree
    400 8.89%:  my last
    401 8.89%:  let's go steal
    402 8.89%:  tell the story...
    403 8.88%:  I'm totally ghost
    404 8.88%:  that makes us... the
    405 8.87%:  that makes us the
    406 8.86%:  y'all are
    407 8.85%:  yeah that's our
    408 8.84%:  I guess you tell
    409 8.83%:  yeah that's...
    410 8.82%:  let's all look at the
    411 8.82%:  yeah I guess I'm
    412 8.82%:  all you gotta
    413 8.81%:  um... that's okay
    414 8.81%:  the story got
    415 8.81%:  you gotta make
    416 8.81%:  yeah. I
    417 11.19%:  yeah. I guess
    418 10.48%:  yeah. I guess that
    419 9.26%:  yeah. I guess I'll
    420 8.80%:  tell my
    421 8.79%:  go team
    422 8.78%:  um... that's all
    423 8.78%:  um... let
    424 9.19%:  um... let's all
    425 8.77%:  um... the
    426 8.76%:  you gotta make sure
    427 8.76%:  I gotta say...
    428 8.75%:  um.
    429 8.75%:  um... that's true
    430 8.75%:  I guess the truth
    431 8.74%:  um... are
    432 8.73%:  tell the story all
    433 8.73%:  um... that's sort
    434 8.73%:  are the
    435 8.72%:  my real
    436 8.72%:  more to
    437 8.72%:  tell me your last
    438 8.72%:  yes...
    439 8.72%:  that's all there
    440 8.71%:  my take
    441 8.70%:  you'll
    442 8.70%:  um... yes
    443 8.69%:  go easy
    444 8.68%:  you use the
    445 8.68%:  that's you there
    446 8.67%:  y'all talk
    447 8.67%:  I guess I'll talk to the
    448 8.67%:  I guess our mutual
    449 8.67%:  y'all take
    450 8.66%:  um... tell that
    451 8.66%:  y'all hear
    452 8.66%:  y'all look
    453 8.66%:  you're the ghost
    454 8.66%:  that's a story
    455 8.65%:  y'all sure
    456 8.65%:  y'all must
    457 8.65%:  y'all tell
    458 8.65%:  y'all meet
    459 8.65%:  y'all here
    460 8.65%:  y'all make
    461 8.64%:  um... that's really the
    462 8.63%:  tell me you'
    463 8.63%:  uh yeah
    464 8.63%:  um... the story
    465 8.63%:  are all
    466 8.62%:  let me say
    467 8.62%:  tell me.
    468 8.62%:  to make
    469 8.62%:  let me out
    470 8.62%:  um... say
    471 8.60%:  I guess I'll try
    472 8.60%:  um... get
    473 8.60%:  let the
    474 8.59%:  you get that
    475 8.59%:  I guess I'll talk to you...
    476 8.58%:  let me try
    477 8.58%:  there's a guy
    478 8.57%:  you hear that...
    479 8.57%:  I hear that
    480 8.56%:  go to
    481 8.56%:  to your
    482 8.56%:  I guess I'll let
    483 8.55%:  you got that
    484 8.55%:  I thought...
    485 8.55%:  you're so
    486 8.55%:  let's get to
    487 8.55%:  to that
    488 8.55%:  that makes us your
    489 8.55%:  there ya go
    490 8.54%:  let's... shake
    491 8.54%:  that's 
    492 8.53%:  I guess to
    493 8.53%:  you're at
    494 8.82%:  you're at least
    495 8.53%:  go tell
    496 8.53%:  I hear you gotta
    497 8.53%:  there I
    498 8.52%:  I guess I'll make that
    499 8.52%:  let's get your
    500 8.51%:  tell us that
    501 8.50%:  I guess I'll...
    502 8.50%:  here to
    503 8.50%:  tell me I
    504 8.50%:  am I...
    505 8.49%:  um... that story
    506 8.49%:  let's all say
    507 8.48%:  okay that's the
    508 8.48%:  here's to you
    509 8.48%:  let's let our
    510 8.48%:  tell me '
    511 8.47%:  that makes you...
    512 8.47%:  tell us your latest
    513 8.47%:  I thought our
    514 8.46%:  tell us some
    515 8.46%:  that's our theme
    516 8.45%:  I guess I'm the
    517 8.45%:  um... let's all gather
    518 8.43%:  I guess I'm your
    519 8.43%:  yes that's true.
    520 8.43%:  as they
    521 8.42%:  let's talk more
    522 8.42%:  there's 
    523 8.42%:  I guess I'll tell your
    524 8.41%:  let's re
    525 8.41%:  let's all go home
    526 8.40%:  um... let's all stay
    527 8.39%:  tell me a story to
    528 8.39%:  um..
    529 8.39%:  so that's really
    530 8.39%:  yes let
    531 8.39%:  tell me a story so
    532 8.38%:  go tell that
    533 8.38%:  that's your met
    534 8.38%:  you make that
    535 8.37%:  all our
    536 8.37%:  um... there's all
    537 8.36%:  um yeah that
    538 8.36%:  um... let's shake
    539 8.36%:  okay so
    540 8.36%:  that's your...
    541 8.35%:  y'all got
    542 8.34%:  let's go home
    543 8.34%:  I really hate
    544 8.34%:  that's... great
    545 8.33%:  am I out
    546 8.33%:  that's... three
    547 8.33%:  that's... your
    548 8.33%:  um... let's start
    549 8.33%:  he says that
    550 8.33%:  he gets
    551 8.32%:  let's all try
    552 8.31%:  here's a hot
    553 8.31%:  I guess all I really
    554 8.31%:  tell us the
    555 8.31%:  yeah I guess...
    556 8.30%:  so...
    557 8.29%:  um... let's share
    558 8.29%:  that's... the
    559 8.29%:  let us
    560 8.29%:  a great
    561 8.28%:  here's a guy
    562 8.28%:  there's a...
    563 8.27%:  the most you
    564 8.27%:  a house
    565 8.26%:  I guess I take that
    566 8.25%:  I guess I'll talk to my other
    567 8.24%:  go make
    568 8.24%:  I guess our team
    569 8.24%:  a small
    570 8.24%:  a total
    571 8.23%:  you're a
    572 8.23%:  that's really me
    573 8.23%:  let's get out
    574 8.23%:  all my
    575 8.23%:  all that'
    576 8.22%:  I really thought...
    577 8.22%:  I got
    578 8.52%:  I got that
    579 8.22%:  I get
    580 8.22%:  that's really us
    581 8.21%:  go take
    582 8.21%:  that's three...
    583 8.21%:  I took the
    584 8.21%:  that's three you
    585 8.20%:  ah yeah
    586 8.20%:  he goes
    587 8.20%:  go talk
    588 8.19%:  yeah... tell
    589 8.19%:  my thoughts are...
    590 8.19%:  he took
    591 8.19%:  let's go steal your
    592 8.19%:  yeah that's me
    593 8.18%:  let's all hug
    594 8.18%:  here's my last
    595 8.18%:  that makes you... the
    596 8.17%:  am I ste
    597 8.17%:  go that
    598 8.17%:  let's take out
    599 8.17%:  so great.
    600 8.16%:  let's share a
    601 8.16%:  I guess that...
    602 8.16%:  am I you
    603 8.16%:  more sh
    604 8.16%:  you make the
    605 8.16%:  um... say that
    606 8.15%:  more sl
    607 8.15%:  you lost that
    608 8.14%:  he uses
    609 8.14%:  I'll
    610 8.13%:  go tell your
    611 8.13%:  um... let's talk
    612 8.17%:  um... let's talk later
    613 8.13%:  yeah...that
    614 8.13%:  he'
    615 9.87%:  he's totally
    616 9.02%:  he's really
    617 8.61%:  he's mostly
    618 8.13%:  let's talk some
    619 8.12%:  I guess I'm that
    620 8.12%:  let's make that our
    621 8.12%:  there's all that
    622 8.12%:  I guess I'm okay
    623 8.11%:  that's all your
    624 8.10%:  let's all go share
    625 8.10%:  let me ask your
    626 8.10%:  let's get you
    627 8.10%:  as you see
    628 8.09%:  I say
    629 8.09%:  I guess I'll talk to you at
    630 8.09%:  huh.
    631 8.08%:  I see
    632 8.74%:  I see you thought
    633 8.08%:  I guess I'm totally out
    634 8.08%:  I guess I'll tell you that
    635 8.07%:  um... let's stay
    636 8.07%:  here's to us
    637 8.07%:  I must say
    638 8.07%:  you take that home
    639 8.06%:  hey.
    640 8.06%:  that story goes
    641 8.06%:  you gotta let
    642 8.05%:  I guess I...
    643 8.17%:  I guess I... totally
    644 8.05%:  I guess... that
    645 8.05%:  I gotta stay
    646 8.04%:  so hot
    647 8.04%:  you lost the game
    648 8.04%:  um... so
    649 8.04%:  I gotta tell
    650 8.04%:  I get that
    651 8.04%:  I'm totally here
    652 8.03%:  
    653 8.09%:  erm
    654 8.06%:  erm...
    655 8.03%:  I guess I'll talk later
    656 8.03%:  I'm totally sure
    657 8.03%:  let's all eat
    658 8.03%:  you're the last
    659 8.02%:  um... there's a lot
    660 8.02%:  I'm your
    661 8.02%:  um... let's all shake
    662 8.01%:  hah
    663 8.00%:  let's all use
    664 8.00%:  I guess I'm totally the
    665 8.00%:  as the
    666 8.00%:  let's go team
    667 8.00%:  yeah... I
    668 10.06%:  yeah... I guess
    669 9.36%:  yeah... I guess that
    670 8.00%:  I guess my other
    671 8.00%:  I guess they'll
    672 7.99%:  I guess you're...
    673 7.99%:  yeah I guess our
    674 7.99%:  let's take a
    675 7.99%:  I guess you're all
    676 7.98%:  you got three
    677 7.98%:  um... that's our
    678 7.98%:  I guess you are
    679 7.98%:  so you
    680 7.97%:  yeah that's true.
    681 7.97%:  I...
    682 7.96%:  I ate
    683 7.96%:  am I here to stay
    684 7.96%:  I guess I'll take your
    685 7.96%:  you hear the
    686 7.95%:  let's go make
    687 7.94%:  um... let's get
    688 7.93%:  um... stay alert
    689 7.93%:  let's go take
    690 7.93%:  tell the story as
    691 7.93%:  I thought my
    692 7.92%:  there's lots to
    693 7.92%:  there's... a
    694 7.91%:  let's go talk
    695 7.91%:  yeah that's us
    696 7.91%:  um... that's you
    697 7.90%:  tell the story so
    698 7.90%:  let's go tell
    699 7.90%:  you gotta ask
    700 7.90%:  that's our last
    701 7.90%:  um... that's all I got
    702 7.89%:  you agree to that
    703 7.89%:  let's go stom
    704 7.89%:  all the rest
    705 7.89%:  let's go out
    706 7.88%:  I'm totally the
    707 7.88%:  so yes
    708 7.87%:  um... yeah that
    709 7.87%:  he's gotta
    710 7.86%:  so are
    711 7.86%:  you're the host
    712 7.86%:  I guess the talk
    713 7.86%:  let's all go out
    714 7.85%:  yeah... that's sort
    715 7.85%:  um... I
    716 9.74%:  um... I guess
    717 8.62%:  um... I thought
    718 8.56%:  um... I guess that
    719 8.45%:  um... I guess I really
    720 8.25%:  um... I thought you
    721 8.06%:  um... I guess that really
    722 8.01%:  um... I guess I'll take
    723 7.99%:  um... I guess I'll tell
    724 7.96%:  um... I guess I'll talk
    725 8.75%:  um... I guess I'll talk to you later h
