know just enough about science for that to be really credible!!
41.65%:  think
22.94%:  think you just changed science for real!!
22.88%:  just figured out the whole science
22.86%:  think you just brought science down to
22.74%:  just thought of a new science article
22.10%:  think you just changed science bro
21.92%:  just got
21.64%:  think you just found a better
21.16%:  just figured out how to be the
20.83%:  just figured out how the
20.66%:  think you just changed our science
20.49%:  just figured out science
20.49%:  think you just changed all our science
20.49%:  just figured out the real
20.04%:  just thought of a new science called
19.84%:  just thought of it!!
19.66%:  think you just turned
48.96%:  think you just turned science
19.13%:  don
19.01%:  think you just changed all science for
18.96%:  just figured out what all science
18.84%:  just thought about
28.77%:  just thought about dark
18.72%:  thought you were just a
62.12%:  thought you were just a friend
30.39%:  thought you were just a friend!!
18.45%:  think you just blew the
30.19%:  think you just blew the roof
18.41%:  just thought of science
17.96%:  think you just won the science lecture
17.95%:  think you just won the science battle
17.83%:  think you just won the science for
17.82%:  think you just out
17.44%:  just thought of a counter to
17.15%:  would
38.84%:  would totally
19.92%:  would like
17.05%:  just figured out all
17.07%:  just figured out all science
16.97%:  just figured out that the
16.93%:  just thought of a new science article to
16.77%:  think that
16.72%:  just figured out what the real
16.69%:  think you just changed all of science to be
16.39%:  thought you weren
16.15%:  just figured out that there
16.05%:  think you just won the science!!
15.93%:  just thought of a way science
40.37%:  just thought of a way science could be real
21.69%:  just thought of a way science could be better
15.62%:  think you just won the science debate for our
15.50%:  just figured out where all that
15.44%:  thought you were a science bro
15.35%:  just thought of a new science book title called
15.17%:  just thought of a way to kill
15.08%:  forgot
101.49%:  forgot about that
90.86%:  forgot about that theory
123.11%:  forgot about that theory!!
85.52%:  forgot about that!!
32.31%:  forgot about that one
30.71%:  forgot about the
61.50%:  forgot about the dark
17.68%:  forgot about the whole
23.63%:  forgot about the whole dark
15.04%:  think you just created a whole
14.93%:  just thought of a better idea
14.88%:  think you just blew all
39.41%:  think you just blew all our science
14.61%:  thought you were one
14.61%:  just thought of a better idea!!
14.53%:  think you just got the
14.49%:  just got science
14.18%:  just thought of a way science can
13.86%:  should
34.97%:  should write
254.90%:  should write a book about that
438.83%:  should write a book about that!!
139.96%:  should write a book about science
92.73%:  should write a science
159.51%:  should write a science book
81.66%:  should write science
77.68%:  should write a science book about
62.94%:  should write a science book!!
56.99%:  should write a science book about that
108.26%:  should write a science book about that!!
49.81%:  should write a book about the
144.15%:  should write a book about the science
40.41%:  should write a science book for
37.16%:  should write that
55.14%:  should write that book
35.83%:  should write a book about science!!
30.92%:  should write a book!!
29.71%:  should write a book about all
50.48%:  should write a book about all the science
25.70%:  should write that book!!
22.19%:  should write a science book that
16.91%:  should totally
399.40%:  should totally write a science
600.86%:  should totally write a science book
352.31%:  should totally write a science book!!
248.78%:  should totally write science
146.24%:  should totally write a science book about
139.37%:  should totally write a science book for
129.84%:  should totally write a book about science
102.68%:  should totally write a book!!
65.34%:  should totally write a book about science!!
32.48%:  should totally write that
102.24%:  should totally write that book
84.15%:  should totally write that book!!
28.42%:  should totally write a science book that
25.37%:  should totally write about
22.97%:  should totally write that science
37.55%:  should totally write that science book
27.21%:  should totally write that science book!!
22.90%:  should totally write a book about the
109.96%:  should totally write a book about the science
22.00%:  should totally write a science book for teen
19.18%:  should totally write a book for
18.61%:  should totally write a book on
15.09%:  should totally write a book for science
23.52%:  should totally write a book for science ner
14.78%:  should write a book about science that
14.74%:  should write a book that
13.82%:  think you just brought down all
335.44%:  think you just brought down all of science!!
76.65%:  think you just brought down all science
20.21%:  think you just brought down all science!!
17.30%:  think you just brought down all of science to
13.78%:  think we
83.83%:  think we just found
78.97%:  think we just found out
65.61%:  think we just found science
62.38%:  think we just found our
43.81%:  think we just found out the
21.14%:  think we just found our theory
19.90%:  think we just found our science
18.26%:  think we just found out the real
15.10%:  think we just found a
14.62%:  think we just found the real
13.77%:  just figured out how to create
13.66%:  just thought of a totally
22.56%:  just thought of a totally new science
21.31%:  just thought of a totally new science career
13.59%:  think you just blew science out of the god
13.55%:  just figured out where all the cool
23.50%:  just figured out where all the cool science
13.52%:  just figured out how science totally
13.52%:  just thought of a totally new career
13.47%:  just figured out how to be a
17.53%:  just figured out how to be a science
13.44%:  should totally write a science book for the
13.06%:  think you just brought down science for
13.09%:  think you just brought down science for all
13.05%:  think you just won the science debate for real
13.04%:  just thought of one
13.00%:  just figured out how to tell
12.88%:  can
12.82%:  should totally write a book that
12.65%:  think you should be
12.53%:  think you just found the lo
12.44%:  just thought of a new science career!!
12.41%:  just figured out all the
36.85%:  just figured out all the science
17.30%:  just figured out all the science!!
12.37%:  just thought of a really cool new
19.89%:  just thought of a really cool new science
12.25%:  just had
12.24%:  think you just created a new science for
12.20%:  just figured out why science
12.08%:  think you should be careful
12.07%:  should totally write a science book before
12.06%:  just figured out why the
11.98%:  just thought of a way science could be real!!
11.80%:  think you just brought science to a
14.71%:  think you just brought science to a new
11.79%:  think you just heard
11.75%:  just figured out how to be both
11.72%:  think you just changed science to
11.69%:  forgot to
26.99%:  forgot to include
19.34%:  forgot to include that theory
17.42%:  forgot to include the
13.34%:  forgot to include that theory!!
11.66%:  forgot about that theory because
11.65%:  think we just found the true
11.65%:  should totally write a book of
59.84%:  should totally write a book of science
11.38%:  think you just won the science battle for
11.36%:  just figured out the science to
11.30%:  thought you were real
11.12%:  just thought of a totally new science career!!
11.09%:  just thought of an idea
11.09%:  forgot about the science
11.07%:  think you just found a better science
10.97%:  would like to be
10.89%:  really
30.23%:  really thought
17.71%:  really thought about
14.15%:  really should
10.83%:  think you should get
14.11%:  think you should get a science
10.80%:  just figured out what the science
10.79%:  think you just got the science
19.33%:  think you just got the science award
16.59%:  think you just got the science award for
10.93%:  think you just got the science award!!
10.79%:  should write a book about science but
10.79%:  think you just brought science to bear
10.77%:  just thought of a new book to
10.76%:  think you just brought science fact
10.72%:  just thought of a new book idea
10.67%:  just figured out how to talk
19.98%:  just figured out how to talk science
10.62%:  thought about dark
10.43%:  just figured out another
10.41%:  just thought of it too
10.39%:  think we just found the cool
10.38%:  just figured out all science!!
10.28%:  just thought of it and
10.07%:  just thought of a new science book idea
10.01%:  just thought of a new book called
9.85%:  should write a book on
9.83%:  just blew
15.70%:  just blew your freak
9.78%:  just figured out that all
12.30%:  just figured out that all science
9.78%:  think you just had
9.76%:  should totally write that book before
9.67%:  totally
34.90%:  totally forgot
44.21%:  totally forgot about the
90.27%:  totally forgot about the dark
31.07%:  totally forgot about the whole
67.93%:  totally forgot about the whole dark
21.50%:  totally thought
20.30%:  totally just
82.91%:  totally just figured
243.81%:  totally just figured out how
213.52%:  totally just figured out the
112.06%:  totally just figured out where
79.06%:  totally just figured out the science
73.95%:  totally just figured out what science
69.89%:  totally just figured out how science
65.17%:  totally just figured out the whole
47.84%:  totally just figured out science
47.07%:  totally just figured out how the
44.82%:  totally just figured out what black
42.70%:  totally just thought
98.31%:  totally just thought of dark
41.30%:  totally just figured out how to be
41.43%:  totally just figured out how to be a science
39.40%:  totally just figured out the whole science
33.23%:  totally just thought of a
54.30%:  totally just thought of a new
84.25%:  totally just thought of a new science
40.50%:  totally just thought of a science
39.01%:  totally just thought of a new science career
37.97%:  totally just thought of a new science book
24.54%:  totally just figured out where the
23.47%:  totally just figured out how black
22.40%:  totally just thought of science
21.83%:  totally just thought of a new science career!!
16.79%:  totally forgot about the science
16.46%:  totally forgot dark
16.19%:  totally thought about
15.63%:  totally just figured out the real
14.76%:  totally just thought of a new science book idea
14.44%:  totally just figured out how to be an
13.47%:  totally just figured out how to be a science bro
22.65%:  totally just figured out how to be a science bro!!
12.92%:  totally just thought of a new career
11.92%:  totally forgot about science
10.99%:  totally just thought of a science idea
14.13%:  totally just thought of a science idea!!
10.54%:  totally forgot about science!!
10.37%:  totally just figured out how to science
10.15%:  totally just blew
10.12%:  totally forgot about black
9.72%:  totally forgot that
9.67%:  just figured out how to totally
9.64%:  think you just blew science out of the ball
9.63%:  just figured out the science to back
9.52%:  thought you were j
9.52%:  just figured out how to be really
9.50%:  should write that science
16.80%:  should write that science book
12.99%:  should write that science book after
41.21%:  should write that science book after all!!
9.50%:  just thought of a way science can be
9.49%:  think you just found the real science
9.42%:  just thought of a better science book
9.39%:  know
9.29%:  think we just found the science
9.25%:  think you just caught
9.22%:  think you just won science for all
9.19%:  thought you were cool
9.17%:  just thought of a new science book to read
24.28%:  just thought of a new science book to read!!
9.10%:  think you just won the science battle of
9.06%:  just got dark
9.05%:  just figured out what that
9.04%:  just thought of a better nick
9.03%:  just figured out how science really
9.03%:  think you just won the science lecture of
8.99%:  think you just argued
8.96%:  think we just found out that
10.68%:  think we just found out that science
8.96%:  should write a science book about the
8.93%:  just thought of a science article
8.89%:  think we just found out science
8.87%:  just figured out what they
8.84%:  think you just got real
8.84%:  think you just got real science
8.84%:  just thought of a way to tell
8.78%:  think you just created the science
8.78%:  thought dark
8.72%:  think you just found the cool
8.72%:  just figured out what all the science ner
8.68%:  think you just brought down all of science bro
8.64%:  think you just won the science club
8.61%:  think you just science
8.61%:  forgot about that because
8.54%:  just figured out how to be a science teacher
14.21%:  just figured out how to be a science teacher!!
8.53%:  think you just won the debate for
8.52%:  just blew your entire
12.28%:  just blew your entire science
8.50%:  just figured out how to science
9.97%:  just figured out how to science the
8.41%:  should totally write a science book after
8.33%:  just thought of a way science could be better!!
8.32%:  think you just threw
8.25%:  just thought of a really cool science idea
30.42%:  just thought of a really cool science idea!!
8.24%:  just figured out how to be a science bro
9.35%:  just figured out how to be a science bro!!
8.19%:  just thought of a way to turn
9.81%:  just thought of a way to turn science
8.19%:  totally just figured out how to be science
8.17%:  think we found
12.66%:  think we found our
8.67%:  think we found our theory
8.15%:  totally just figured out how to be a real
8.07%:  think you just won the science debate club
8.06%:  forgot about this
13.75%:  forgot about this theory
21.17%:  forgot about this theory!!
8.06%:  thought you were a science bro but
8.02%:  totally just figured out how to be a science hero
7.98%:  forgot that
10.40%:  forgot that dark
7.95%:  should totally write a science book about the
7.93%:  think you just changed science for re
7.91%:  think we just created
13.56%:  think we just created science
7.89%:  could
12.71%:  could totally
15.28%:  could totally write
77.12%:  could totally write a science
56.49%:  could totally write a science book
20.64%:  could totally write science
11.29%:  could totally write a science book!!
10.64%:  could totally write a book about these
9.63%:  could totally get
7.88%:  should write a book on that
7.83%:  just figured out what to
7.80%:  will
7.76%:  just thought of a new science article!!
7.75%:  just thought of a new science to
7.75%:  just figured out that we
7.69%:  totally forgot that dark
7.67%:  thought you were science
7.66%:  think you just brought science too
7.76%:  think you just brought science too far
7.66%:  think you just created science for
7.64%:  think you just bought
7.58%:  should totally write a book on science
7.54%:  thought you were one of us
10.22%:  thought you were one of us!!
7.53%:  could totally be
26.05%:  could totally be right!!
22.76%:  could totally be right about the
13.18%:  could totally be wrong
121.79%:  could totally be wrong about this
125.60%:  could totally be wrong about this!!
24.78%:  could totally be wrong about the
27.52%:  could totally be wrong about the science
53.00%:  could totally be wrong about the science here
64.17%:  could totally be wrong about the science here!!
17.64%:  could totally be wrong about these
14.06%:  could totally be wrong about that
11.20%:  could totally be wrong about the science!!
10.70%:  could totally be right about these
10.45%:  could totally be right about these fake
8.65%:  could totally be wrong about science
7.84%:  could totally be wrong about the science of
7.52%:  totally just thought of a new book
7.51%:  should totally write a science book then
7.49%:  just thought of it and you
7.49%:  just thought of a new book title called
7.48%:  think you just created an
7.44%:  just figured out how to be an
7.44%:  thought you were too
7.42%:  just figured out what to tell
7.40%:  really should write
10.44%:  really should write science
7.37%:  think you just found a science
7.36%:  should write a science book for the
19.85%:  should write a science book for the general
7.34%:  thought you were a science bro!!
7.30%:  think you just wrote the science
7.29%:  could totally be wrong about the science here but
7.28%:  should write a book on that!!
7.26%:  would like to go
21.38%:  would like to go on the
7.26%:  think we should
8.02%:  think we should totally
7.25%:  just figured out what all that
7.25%:  just figured out how to be the only
7.23%:  think you just created a new science!!
7.23%:  think you just blew all of
48.65%:  think you just blew all of science
39.03%:  think you just blew all of science out
10.19%:  think you just blew all of science out the
10.26%:  think you just blew all of science out the door
7.41%:  think you just blew all of our science
7.23%:  could totally be right about one
7.22%:  cannot
7.21%:  know right
7.19%:  think you just touched
7.19%:  just figured out how they
7.17%:  just thought of a science idea
9.70%:  just thought of a science idea!!
7.17%:  just thought of a brand
35.35%:  just thought of a brand new science
9.70%:  just thought of a brand new science career
9.47%:  just thought of a brand new science book
13.56%:  just thought of a brand new science book title
12.89%:  just thought of a brand new science book title!!
7.17%:  would like to see
7.16%:  forgot to include that one
13.77%:  forgot to include that one!!
7.15%:  think you just threw science
7.15%:  think you just earned
7.13%:  think you just found a lo
7.11%:  forgot about that whole
12.22%:  forgot about that whole dark
7.11%:  totally just figured out the real science
7.08%:  should write a book for
7.08%:  really thought we
7.08%:  think we just created science!!
7.06%:  totally just thought of a new science idea
21.45%:  totally just thought of a new science idea!!
7.05%:  could totally be wrong about that!!
7.03%:  just figured out what really
7.02%:  think you just won the science race!!
7.01%:  think you just brought down all of science at
7.01%:  would like to say
6.98%:  thought you were a real
6.95%:  just thought of a way out
6.94%:  could totally write a science book that
6.92%:  thought you were real science
6.91%:  just thought of a new nick
6.82%:  would like that
52.33%:  would like that to be true so
19.63%:  would like that to be the
15.38%:  would like that to be the case!!
9.90%:  would like that to be true!!
6.79%:  thought you were an
6.78%:  should totally write a science book but
6.77%:  could totally be wrong about this for
6.74%:  thought you were fake
6.74%:  totally just figured out how the science
6.74%:  just figured out a
7.86%:  just figured out a way to be
6.67%:  should write a science book that only
6.67%:  think you just changed our science for
6.66%:  think you just won the science club debate
6.64%:  think we just found a better
24.07%:  think we just found a better theory
6.61%:  thought you were a real friend
10.54%:  thought you were a real friend!!
6.59%:  could totally write a science book for
6.59%:  forgot to include that!!
6.52%:  thought you were real dark
6.52%:  think you just had a great
6.51%:  should write a book about science fact
6.48%:  think you just won the debate for science
6.47%:  just thought of a new career!!
6.46%:  just figured out how black
6.46%:  totally just thought of an
6.45%:  think you just changed science for a
6.45%:  think you just blew all the
24.92%:  think you just blew all the science
38.89%:  think you just blew all the science out
6.45%:  thought you liked
17.26%:  thought you liked science
7.76%:  thought you liked science facts
6.44%:  think you just won the science battle for our
6.42%:  just thought of a better word
6.42%:  just figured out how all
22.65%:  just figured out how all the science
15.62%:  just figured out how all science
6.41%:  just got the
6.41%:  should totally write science fact
6.40%:  really thought we could
6.39%:  should write a science book but
6.39%:  think you just won the science of
6.38%:  totally just figured out what real
14.03%:  totally just figured out what real science
6.37%:  just figured out that the only
6.35%:  just thought of a way dark
6.35%:  should totally write fan
6.32%:  would like to see that
6.31%:  thought you were still
6.31%:  could totally be right about one of these!!
6.29%:  just figured out how to be totally
6.28%:  gotta
6.28%:  just thought of a way science could be broken
6.27%:  should write about
6.27%:  just thought of it and now
6.25%:  think you should get a science job
6.25%:  thought about it
6.25%:  totally forgot about the whole science
6.23%:  think you just told
6.23%:  think you just changed all of our science
6.21%:  thought you were about
6.21%:  think we found our science
6.19%:  just figured out how to be the cool
6.19%:  just figured out that all the
11.43%:  just figured out that all the science
6.18%:  like
6.16%:  think we found the
6.13%:  just figured out the science to all
6.11%:  forgot dark
6.11%:  think you just changed all of science to be true
6.10%:  just figured that
25.08%:  just figured that out!!
6.10%:  think you just won the science debate for real!!
6.09%:  think you just won the science race for
6.09%:  just figured out what they call
6.07%:  just figured out what to call
6.06%:  forgot about science
6.03%:  totally just figured out a
6.03%:  totally just figured out the science!!
6.02%:  should totally write science fan
6.01%:  just figured out that there are
6.01%:  totally just figured out how to be a real science
6.01%:  would like to hear
6.01%:  totally just got
5.99%:  would totally be
5.96%:  should write a book of
19.80%:  should write a book of science
5.95%:  think you just wrote science fan
5.93%:  like that
7.63%:  like that theory
5.92%:  think you just found a better science career
5.92%:  could totally be wrong!!
5.91%:  could totally be wrong about this science
5.88%:  totally just figured out whether
5.85%:  think you just had a science
5.82%:  think you just won the science gold
5.80%:  totally just thought of a science book
5.78%:  totally thought of dark
5.78%:  totally just figured out where black
5.76%:  totally forgot about this
5.74%:  just thought of a new kind
5.73%:  just figured out the only
5.71%:  just thought of an entire
5.71%:  like your
5.69%:  think you just won the science battle for all
5.67%:  totally just figured out another
5.66%:  just thought of a science book
7.77%:  just thought of a science book title
7.02%:  just thought of a science book title!!
5.63%:  think you just brought science to bear on a
5.62%:  can totally
7.12%:  can totally get
9.34%:  can totally get behind that!!
5.62%:  think you just threw out
5.61%:  think we just found a theory
5.60%:  like you
5.72%:  like you better
5.58%:  think we found science
5.57%:  just figured out what real
8.61%:  just figured out what real science
5.57%:  feel
10.86%:  feel like that
8.85%:  feel like that would
8.55%:  feel like that could
8.10%:  feel like you
26.10%:  feel like you just changed
24.50%:  feel like you just blew
21.44%:  feel like you just changed science
13.17%:  feel like you just thought
11.26%:  feel like you just got
10.77%:  feel like you just brought
22.31%:  feel like you just brought science
19.09%:  feel like you just brought science to
21.30%:  feel like you just brought science to the
10.84%:  feel like you just brought science to the world
8.09%:  feel like you just turned
11.43%:  feel like you just turned science
7.88%:  feel like you just brought science to bear
7.25%:  feel like that should
7.13%:  feel like you just watched
6.60%:  feel like you just threw
5.90%:  feel like you just told
5.55%:  totally forgot to
8.39%:  totally forgot to include
5.54%:  think we just got
6.91%:  think we just got science
5.54%:  think you just changed science to be
6.17%:  think you just changed science to be about
5.53%:  totally just thought of a new dark
5.52%:  thought you were friends
5.52%:  just thought of a new article
5.51%:  think that could
13.02%:  think that could be true
5.51%:  think you just changed all science!!
5.51%:  think you found
7.20%:  think you found the secret
5.49%:  think you just changed science bro!!
5.49%:  think you just created a science for
5.47%:  think you just won the debate for science!!
5.45%:  would like that to be the case for
5.44%:  just thought of a way to science
5.43%:  think you just called science
5.42%:  would like that to be the case for science
5.40%:  thought about it for
28.96%:  thought about it for a second but
5.40%:  think you just found a science career
5.39%:  think you just brought down all science for
5.36%:  feel like you just brought science to another
5.32%:  think you just beat
5.32%:  just thought of a new idea
5.30%:  should totally write a science book on
5.30%:  think you just blew all of science!!
5.30%:  could totally write a book about science
5.26%:  think you just blew the roof clean
5.26%:  just thought of a way to build
5.23%:  feel like you just brought science down
17.75%:  feel like you just brought science down a notch!!
7.22%:  feel like you just brought science down a notch or
5.73%:  feel like you just brought science down to
5.22%:  hate
30.08%:  hate to be the one to burst
147.39%:  hate to be the one to burst your dark
137.32%:  hate to be the one to burst your ball
22.64%:  hate to break
26.97%:  hate to break it to you but
21.99%:  hate to be the bear
21.69%:  hate to be the one to burst your science
45.56%:  hate to be the one to burst your science ball
8.60%:  hate to break this
27.23%:  hate to break this to you but
8.23%:  hate to be the one to burst your black
7.94%:  hate to be the guy
10.80%:  hate to be the guy to break
6.88%:  hate to be the one to burst your world
6.43%:  hate to say
9.43%:  hate to say it but
5.55%:  hate to burst
10.00%:  hate to burst your dark
7.72%:  hate to burst your bub
6.16%:  hate to burst your ball
13.43%:  hate to burst your balloon but
5.26%:  hate to burst your science
5.20%:  hate to break this to science
5.19%:  think you just got a
5.17%:  think we just found our science theory
5.17%:  should write that book before
5.17%:  think you should get a job
5.16%:  feel like you just brought science to a
9.98%:  feel like you just brought science to a whole
5.15%:  totally forgot about the science!!
5.14%:  think you just wrote science fact
5.13%:  could totally be wrong about this one
5.12%:  should write a book of science that
5.11%:  just figured out what all that science
5.10%:  just had a
5.07%:  think you just blew all of science out the door!!
5.07%:  could totally write a book on
7.69%:  could totally write a book on that!!
5.07%:  just figured out why there are
9.73%:  just figured out why there are black
5.04%:  thought you were just an
5.03%:  think you just heard science
5.02%:  just figured out how to tell science
5.02%:  just figured out the central
5.00%:  think you just re
5.00%:  should write a book for science
4.99%:  thought you wanted
10.33%:  thought you wanted to talk science
8.44%:  thought you wanted to be
4.99%:  think we just found our science teacher
4.98%:  just got hit
7.57%:  just got hit by a science
25.44%:  just got hit by a science bullet
14.61%:  just got hit by a science bullet!!
14.50%:  just got hit by a science truck
5.47%:  just got hit by science
4.98%:  totally forgot about the science behind
4.97%:  forgot to say
4.97%:  hate to burst your balloon there
4.96%:  think you just won science for real
4.95%:  need
9.35%:  need to talk
19.70%:  need to talk to you
8.87%:  need to go
11.82%:  need to go back
70.92%:  need to go back to the library
20.01%:  need to go back to the library!!
17.84%:  need to go back to the future
8.38%:  need to write
8.26%:  need to talk to you later
8.06%:  need to talk to this
10.96%:  need to talk to this guy
9.44%:  need to talk to this guy!!
7.89%:  need to write that
10.03%:  need to write that book
7.41%:  need to write a science
22.41%:  need to write a science book
10.17%:  need to write a science book!!
7.37%:  need to call
6.91%:  need to go back to the library for
6.75%:  need to talk to the
11.15%:  need to talk to the science
12.08%:  need to talk to the science guys
6.67%:  need to write that book!!
6.62%:  need to talk to you later!!
6.12%:  need to go back to the library for science
5.90%:  need to write a book!!
5.87%:  need to go back to the library to
5.77%:  need to go back to the library now
5.76%:  need to write a science book for
5.71%:  need to talk to the science guys!!
5.42%:  need to talk about
7.84%:  need to talk about this further
5.24%:  need to get
8.11%:  need to get back
9.90%:  need to get back to science
5.08%:  need to think
71.86%:  need to think about that
21.15%:  need to think about that!!
6.71%:  need to think about what
6.15%:  need to think about what you
4.95%:  just thought of it all
4.94%:  totally just figured out how there
5.98%:  totally just figured out how there can
4.93%:  need to think about that for a sec
4.93%:  just figured out how to balance
5.85%:  just figured out how to balance the
4.92%:  think you just had a science org
4.92%:  think you just created science for the
4.92%:  just thought of a way to be certain
4.92%:  need to think about what just
4.92%:  would like that to be true enough
4.90%:  need to write science
4.89%:  need to talk about this theory
4.88%:  totally just thought of a new science book!!
4.88%:  should write a book about science but only
4.88%:  think you just wrote a science fact
4.87%:  thought you were fake too
6.96%:  thought you were fake too!!
4.86%:  think you just created another
5.85%:  think you just created another science
4.85%:  totally just thought of a science career
4.83%:  hate to burst your balloon here
7.90%:  hate to burst your balloon here but
4.82%:  could totally be wrong about science!!
4.81%:  just thought of all
4.80%:  was
6.93%:  was totally
8.58%:  was totally right
30.24%:  was totally right about
8.77%:  was totally right about the
5.89%:  was totally right!!
5.73%:  was totally right before
4.80%:  feel like you just brought down
10.23%:  feel like you just brought down the science
7.14%:  feel like you just brought down science
4.79%:  gotta write
4.77%:  think you just wrote a better
11.99%:  think you just wrote a better science
4.77%:  totally just figured out where the science
4.76%:  should totally get
4.90%:  should totally get a science
4.75%:  just thought of it and now you
4.74%:  should write about that!!
4.74%:  think you just found a great
9.20%:  think you just found a great science
4.73%:  should totally write a science fact
56.96%:  should totally write a science fact book!!
4.72%:  totally just thought of an idea
4.72%:  should write that science book!!
4.71%:  hate to break it to you science
4.69%:  could write
42.30%:  could write a book about these
16.16%:  could write a book about that theory
32.62%:  could write a book about that theory!!
15.55%:  could write a science
21.46%:  could write a science book
12.20%:  could write a science book about these
10.17%:  could write a book about the
26.09%:  could write a book about the science
8.40%:  could write a science book that
7.79%:  could write a science book about that theory
16.94%:  could write a science book about that theory!!
6.66%:  could write a book about science
4.69%:  thought you were a science friend
7.44%:  thought you were a science friend!!
4.68%:  hate to burst your balloon but dark
4.68%:  should totally be
14.56%:  should totally be a science
52.74%:  should totally be a science teacher
108.97%:  should totally be a science teacher!!
35.46%:  should totally be a science writer
45.77%:  should totally be a science writer!!
13.76%:  should totally be a science writer for
6.11%:  should totally be a science writer for the
4.67%:  feel like that should count
4.66%:  think you should go
4.66%:  think you just won the science lecture for
4.66%:  need to go back to the future!!
4.65%:  should totally write a science book or
4.64%:  think we just found the real science
4.63%:  just got science bon
4.63%:  just figured out how to be science
4.63%:  thought we
4.63%:  just figured out what all the cool
4.80%:  just figured out what all the cool science
4.63%:  forgot about science!!
4.63%:  just thought of a way to rule
4.61%:  just figured out how to tell the
4.60%:  just figured out how the science
4.60%:  just figured out that whole
4.60%:  would totally agree
4.57%:  just thought of a better career
4.56%:  could totally be wrong here
4.56%:  need to go back in
4.55%:  should write a book about science theory
4.55%:  totally just thought of a new book idea
4.54%:  think you just argued that
4.54%:  feel like you just brought science and
4.54%:  should write that book before anyone
4.54%:  really should get
5.52%:  really should get out
4.54%:  think you just blew all our science for
8.56%:  think you just blew all our science for the
4.53%:  just thought of an article
4.52%:  think you just taught
4.52%:  forgot to include that when
4.51%:  need to go back to the first
4.50%:  just thought about it
4.49%:  hate to break it to you all
4.49%:  feel like you should
4.48%:  just thought of a way to deb
8.18%:  just thought of a way to debunk all
18.88%:  just thought of a way to debunk all science
7.31%:  just thought of a way to debunk all science!!
4.47%:  think you just had a better
8.05%:  think you just had a better science
4.47%:  should write a book about science for
4.45%:  thought you were cute
