spend another decade making it so it can say other stuff too, okay?
100.00%: 
38.20%:  make
11.88%:  do this again in another decade, you
11.33%:  do it again,
10.49%:  do this again in another decade or so?
9.78%:  do this again in another decade?
8.52%:  do this more
54.01%:  do this more often,
12.13%:  do this more often, guys
11.39%:  do this more often, you
9.85%:  do this more often?
8.74%:  do this more often, dude
8.45%:  do it again soon
8.37%:  do this again in another ten years?
7.03%:  do this again soon
7.13%:  do this again soon, okay
6.68%:  do this again in another decade, suck
6.62%:  do this again in another ten years, suck
5.94%:  do this again in another decade or so, you
5.92%:  do this again in another decade, my
5.87%:  do this more often, you and
5.10%:  do that
9.36%:  do that again,
4.68%:  do this more often and
4.67%:  do this again in another decade okay
4.66%:  make another friend, okay
4.61%:  go home and put
4.60%:  spend another decade or so making that into
4.59%:  take turns saying that
4.59%:  go for another spin in the time
4.58%:  keep saying
12.11%:  keep saying that to
10.06%:  keep saying that for
17.89%:  keep saying that for another
45.36%:  keep saying that for another decade
20.99%:  keep saying that for another decade and
19.43%:  keep saying that for another decade,
4.56%:  spend another decade making it say other stuff, so
9.25%:  spend another decade making it say other stuff, so it can
4.53%:  do that more
23.15%:  do that more often,
6.87%:  do that more often?
4.53%:  spend another decade on that, you
4.52%:  name it
4.50%:  take him to dinner
4.49%:  make another one to
4.66%:  make another one to fight
4.48%:  spend another decade making that into
4.48%:  take him on a space
4.47%:  press him
7.56%:  press him again
4.47%:  finish
4.46%:  forget
4.43%:  do that more often, you
4.43%:  make another friend too
4.43%:  keep doing that for a decade
4.43%:  get that
4.38%:  go home and take turns
4.38%:  take him to a party and
5.16%:  take him to a party and see
4.37%:  spend another decade on it,
4.35%:  get him a second
4.35%:  make sure he says it again
4.35%:  go on
5.85%:  go on a space
4.51%:  go on a date
4.35%:  get another friend so he can say
4.29%:  spend another decade making sure that is
4.29%:  spend another decade craft
4.26%:  go home and press
4.25%:  make sure to
4.25%:  make out,
4.25%:  spend another decade making it say,
4.24%:  do that again, okay
4.21%:  make another friend so this one
4.20%:  spend another decade on making this suck
5.22%:  spend another decade on making this sucker say
4.19%:  spend another decade on that, yes
4.18%:  go home and spend another
4.18%:  put that on a card and send it to some
4.16%:  spend another decade making this our
4.15%:  spend another decade or so on that suck
4.15%:  hope
4.15%:  take him for a spin today,
4.14%:  take him out on
4.90%:  take him out on a date and
4.13%:  go home and dance
4.12%:  go out
8.62%:  go out and
4.95%:  go out for ice
4.63%:  go out and party
4.08%:  take him out for tea and
4.08%:  keep saying that,
4.07%:  name it after
4.07%:  take it
13.91%:  take it for a test
5.98%:  take it apart
23.44%:  take it apart and see if
8.32%:  take it apart and make
21.63%:  take it apart and make another
9.71%:  take it apart and make another one,
4.45%:  take it for a spin,
4.14%:  take it apart and make another one, this
4.07%:  keep on
7.88%:  keep on making
4.07%:  spend another decade making sure that stays on
4.06%:  kiss his
7.63%:  kiss his face
4.02%:  do this again for
4.73%:  do this again for another
30.78%:  do this again for another decade
14.30%:  do this again for another decade,
4.01%:  put him into
4.00%:  spend another decade making that true
3.99%:  spend another decade or so on this,
3.97%:  put him on stage
3.95%:  get him a friend
3.93%:  spend another decade or so on making that
3.92%:  do this again in another decade for
3.92%:  do this again some
3.89%:  do this again in another decade to
3.88%:  do it again soon,
3.88%:  do this again in another decade, k
3.87%:  take him out for another spin
3.87%:  make another friend so it
8.43%:  make another friend so it doesn
5.61%:  make another friend so it can say
3.89%:  make another friend so it can say that
13.05%:  make another friend so it can say that too
4.79%:  make another friend so it can say that to
3.86%:  do this again in another ten years, k
3.86%:  go home and take off our pants,
3.86%:  do this again in another ten years to
3.84%:  take him out for a spin?
3.84%:  make out on
5.33%:  make out on his
11.40%:  make out on his face
3.82%:  go home and take off our pants, okay
3.80%:  go home and stare into its
3.80%:  spend another decade or so on this suck
3.80%:  punch it
3.79%:  teach it to speak another
3.78%:  make a
7.31%:  make a second
3.78%:  keep saying that for another decade at
3.77%:  take a
5.64%:  take a photo
4.03%:  take a photo of
3.77%:  make another one of these for
3.77%:  keep making stuff
3.76%:  make out right
3.76%:  make another one that can
3.76%:  take him on a trip to another
3.76%:  do this again in another decade so
3.76%:  make another one and put it in the
3.76%:  keep that secret
3.75%:  go to the park and ask
3.74%:  spend another decade on that one
13.17%:  spend another decade on that one, okay
3.74%:  kiss on
3.73%:  not forget to update
3.73%:  put him on a rock
4.31%:  put him on a rocket to
3.71%:  make out for
3.71%:  make another one that does
3.71%:  take him apart and study
3.70%:  put him on stage and
3.69%:  keep saying that for another decade and a
3.69%:  get some drinks and toast
3.69%:  make another one, this one
3.68%:  spend another decade making sure it says that too
3.68%:  make sure that
3.67%:  teach it some
3.61%:  spend another decade making a
3.60%:  do this again another
6.44%:  do this again another decade
14.61%:  do this again another decade from
4.76%:  do this again another time soon
3.60%:  make another friend so he can say it
3.59%:  do this for
16.23%:  do this for another
56.22%:  do this for another decade
21.96%:  do this for another decade,
58.12%:  do this for another decade, okay
7.93%:  do this for another decade at
4.39%:  do this for another ten
4.32%:  do this for another decade, my
3.59%:  start dating
3.59%:  take him out for a spin today?
3.58%:  spend another decade on the
3.58%:  take it for a test spin
3.58%:  get him into
8.35%:  get him into space and
5.68%:  get him into space,
13.81%:  get him into space, okay
3.63%:  get him into space today
3.58%:  make out in
38.08%:  make out in front of it
6.47%:  make out in front of it,
6.02%:  make out in front of this
5.90%:  make out in front of it and
4.91%:  make out in front of his
3.57%:  make out in his
5.93%:  make out in his face
3.57%:  keep doing this stuff
3.56%:  put him on a rocket and send it
3.56%:  make another friend, this
3.56%:  shake
3.55%:  make sure he gets
3.54%:  do it again and
3.53%:  spend another decade or so making his
3.53%:  do this more often, yes
3.52%:  start dating each
3.52%:  make another one so
3.51%:  make out in front of the
3.51%:  spend another decade making it say other stuff too ok
3.51%:  spend another decade making it shout
3.50%:  forget the
3.49%:  make another friend, so that
3.49%:  keep that one to
3.48%:  do this for another decade, you
3.48%:  party
3.47%:  spend another fifty
3.47%:  do it again some
3.47%:  spend the rest of today taking
3.47%:  spend another decade making it say other stuff, ok
3.46%:  take him out for ste
10.68%:  take him out for steaks
10.27%:  take him out for steaks and
6.92%:  take him out for steak and
3.46%:  press him into
4.49%:  press him into action
3.46%:  do this more often okay
3.45%:  take it apart and find
3.45%:  not forget to teach
3.44%:  go home and fuck
3.44%:  make out for a second
3.44%:  kiss on him
3.42%:  make out again,
3.42%:  make sure to keep
3.41%:  agree
7.45%:  agree that
3.40%:  not forget to feed him,
3.39%:  spend another decade making it shoot
3.39%:  keep him around and
3.38%:  go home and take off its pants
3.37%:  spend another decade making it say other stuff, k
3.35%:  take it out
17.66%:  take it out for a spin today
15.65%:  take it out for a test
11.57%:  take it out for a spin,
7.70%:  take it out for a spin and
6.55%:  take it out for a spin, okay
5.63%:  take it out for a spin today,
4.00%:  take it out for a test spin
3.70%:  take it out for a spin and then
3.53%:  take it out for another
9.62%:  take it out for another spin today
3.79%:  take it out for another spin today,
3.35%:  go home and turn off
3.32%:  get another friend so he doesn
3.32%:  spend another decade making it say that
3.31%:  get this suck
6.55%:  get this sucker some
3.31%:  go to the park and test
3.31%:  spend another decade on making it
17.28%:  spend another decade on making it say other
110.99%:  spend another decade on making it say other stuff
76.21%:  spend another decade on making it say other stuff too,
21.88%:  spend another decade on making it say other stuff,
15.55%:  spend another decade on making it say other stuff, too
8.34%:  spend another decade on making it say other stuff too?
3.29%:  go on a trip
3.29%:  make it say that again
3.27%:  make another friend and then
3.26%:  put him in a rocket and go
3.26%:  spend another decade or so on this guy,
3.24%:  feed
3.29%:  feed him to
3.24%:  take him out for a st
3.24%:  press the action
3.23%:  keep saying that for another decade, and
3.23%:  take him into
47.89%:  take him into space and
11.36%:  take him into space,
11.23%:  take him into space today
5.68%:  take him into space to
4.50%:  take him into space and see
4.16%:  take him into space, guys
4.14%:  take him into space and get
4.14%:  take him into space so
3.93%:  take him into space for
3.50%:  take him into space and stuff
3.31%:  take him into space and feed
3.23%:  take him on a pic
3.22%:  spend another decade making it say the
3.21%:  go on another
5.11%:  go on another road
3.21%:  make another one for good
3.21%:  do it again today
3.20%:  ignore that and
7.57%:  ignore that and focus
3.20%:  go to the park,
3.20%:  press some
3.20%:  make another friend so it has
3.19%:  go home and take care
3.18%:  start making
3.18%:  go to the park and make out inside
3.17%:  take him out for a spin soon
3.17%:  take him to a doctor
3.17%:  start another
3.17%:  make another one of these guys for
3.17%:  make sure that stays
3.16%:  put him on a rocket and send it to another
3.16%:  make another friend and see if that
3.15%:  go to the park and make it
3.15%:  spend another decade making it so
3.14%:  make another friend and put
3.14%:  take it to
8.20%:  take it to the park
9.75%:  take it to the park and
6.72%:  take it to the moon
6.32%:  take it to the dance
3.12%:  teach it to say more stuff too
3.12%:  put it
3.12%:  take him out for a spin, and
3.11%:  turn him off and get
3.11%:  put it on
3.11%:  make another one of those today
3.09%:  go on an
3.09%:  take it out for a spin?
3.09%:  get him to say another
3.08%:  turn him off and kiss
3.08%:  make another friend and do
5.77%:  make another friend and do this
3.21%:  make another friend and do the
3.08%:  put him inside
3.07%:  do this again in ten
3.61%:  do this again in ten years,
3.05%:  get this dude
3.79%:  get this dude some
3.05%:  spend another decade or so making the
3.05%:  do this again in another ten years, dude
3.04%:  get him to space
3.04%:  keep on doing
7.56%:  keep on doing that
6.10%:  keep on doing this
4.16%:  keep on doing that for
32.11%:  keep on doing that for another
46.24%:  keep on doing that for another decade
25.04%:  keep on doing that for another decade,
6.07%:  keep on doing that for another decade at
3.43%:  keep on doing this for
47.75%:  keep on doing this for another
58.62%:  keep on doing this for another decade
30.82%:  keep on doing this for another decade,
12.15%:  keep on doing this for another decade at
4.01%:  keep on doing this for another ten
3.26%:  keep on doing this for another decade, my
3.14%:  keep on doing this for another decade, you
3.04%:  teach it to sing
3.04%:  go for a spin
3.03%:  take it out for another spin,
3.02%:  make another friend soon
3.02%:  assume
4.87%:  assume that
3.02%:  go make out in
5.66%:  go make out in front
10.86%:  go make out in front of it
3.77%:  go make out in the forest
3.45%:  go make out in his
4.79%:  go make out in his face
3.05%:  go make out in the park
3.02%:  make another one and put it on the roof of a
3.75%:  make another one and put it on the roof of a sky
3.01%:  take him into space, and
3.01%:  make another and
3.00%:  do this again in another decade or so, k
3.00%:  spend another decade on making his
2.99%:  make another one of these guys and
2.98%:  spend another ten
112.24%:  spend another ten years making
26.52%:  spend another ten years making that
18.15%:  spend another ten years making it
17.41%:  spend another ten years making this
11.26%:  spend another ten years making this suck
7.08%:  spend another ten years on
6.46%:  spend another ten years on that
5.97%:  spend another ten years on this
5.52%:  spend another ten years making this dude
5.40%:  spend another ten years doing
8.97%:  spend another ten years doing that
3.53%:  spend another ten years on that,
3.29%:  spend another ten years making his
3.21%:  spend another ten years of
3.08%:  spend another ten years on it
2.98%:  spend another decade or so on that guy
2.97%:  go home and take our
3.68%:  go home and take our pants
8.59%:  go home and take our pants off and
5.92%:  go home and take our pants off,
4.76%:  go home and take our pants off, okay
2.97%:  spend another decade on him okay
2.97%:  put him in another
2.97%:  take it to the park today
2.96%:  take him out for a spin today and
3.15%:  take him out for a spin today and see
2.95%:  do this again in another ten years, ok
2.95%:  take it for a spin today
2.94%:  take him out for a date
2.94%:  spend the rest of today making a
3.41%:  spend the rest of today making a second
2.92%:  go to space
2.92%:  keep doing this and see
2.91%:  make another one that doesn
2.91%:  make another friend so he can stop
4.94%:  make another friend so he can stop saying it
5.06%:  make another friend so he can stop saying it so
2.89%:  spend the rest of today making another one,
2.89%:  make another one?
2.89%:  check on
2.89%:  spend another decade making that say
2.88%:  make a second one,
2.88%:  see you
14.21%:  see you top that, friend
3.44%:  see you top this
2.88%:  not forget to update his code
2.88%:  spend another decade making it so that
2.88%:  hear
2.87%:  add
5.09%:  add some
2.90%:  add a second
2.87%:  spend another decade trying to take
2.87%:  keep making these
2.86%:  make another friend, and this
2.85%:  go to the park and see if it
2.85%:  keep saying that and
2.84%:  do this again,
2.84%:  say
8.90%:  say that
19.00%:  say that again for
8.50%:  say that out
7.93%:  say it again for
4.70%:  say it again,
4.68%:  say that again, out
4.66%:  say that again?
3.72%:  say it again for the sake
3.57%:  say it again for him
3.50%:  say it again for the kids
3.11%:  say that again out
2.84%:  spend another ten years doing this
2.84%:  spend another decade trying to make that into a co
2.84%:  spend another decade or so on that, guys
2.83%:  name it after you,
2.83%:  spend another ten years adding
2.83%:  take some
8.37%:  take some photos
3.75%:  take some photos of
2.84%:  take some photos and
4.67%:  take some photos and send
2.83%:  take him for another
2.82%:  kiss him good
2.82%:  keep making that sound
2.81%:  start again
2.81%:  go home and take apart
2.80%:  press his face to
2.80%:  keep it
2.80%:  spend the rest of today making out in
2.79%:  go see
2.79%:  go kiss
4.11%:  go kiss him on
2.79%:  get him into space and see
2.78%:  go to the park and take some action
2.78%:  spend another decade or so on him,
2.77%:  spend another decade making sure that it
3.94%:  spend another decade making sure that it stays
2.77%:  get him a second friend
2.77%:  get it
2.77%:  make out in front of it again
2.77%:  spend another decade making that a
2.76%:  spend another decade making it say other stuff ok
2.76%:  keep doing this for another decade, so
2.75%:  take him for a spin?
2.75%:  get him another friend so
2.75%:  make another one of those guys,
2.75%:  keep doing that and
2.74%:  go to the park today
3.04%:  go to the park today and make
3.10%:  go to the park today and make out in
2.74%:  spend another ten years on him,
2.74%:  take him out for a pic
2.74%:  do that more often, yes
2.74%:  keep on doing that for another decade okay
2.73%:  turn him off and get another
2.73%:  make another one of those and
2.73%:  get another friend and make a
9.25%:  get another friend and make a second
2.73%:  take that
2.73%:  make sure to keep that
2.73%:  get another friend to
2.72%:  get drunk
5.30%:  get drunk and make
3.10%:  get drunk and make another
2.71%:  hug and
4.68%:  hug and kiss
2.71%:  make another friend and get
2.71%:  spend another decade making that face
2.71%:  take him into space, you
2.71%:  make another one that can speak
2.71%:  go home and take turns kiss
2.70%:  take another
2.69%:  keep on doing that,
2.69%:  do this again another decade or
2.69%:  go to the park and sit
2.69%:  spend another decade making it say stuff too
2.68%:  make the
2.67%:  go ahead
3.98%:  go ahead and press
2.95%:  go ahead and put
2.94%:  go ahead and turn
2.67%:  go for another spin on
6.95%:  go for another spin on the dance
2.67%:  not take
21.26%:  not take him apart and
31.09%:  not take him apart and see
14.19%:  not take him apart to
18.70%:  not take him apart to find
15.60%:  not take him apart to find out if
10.51%:  not take him apart,
9.07%:  not take him apart today
5.36%:  not take him apart and find
5.16%:  not take him apart today,
4.54%:  not take him apart and find out if
3.98%:  not take him apart yet
3.78%:  not take him apart, guys
3.73%:  not take him apart again
3.44%:  not take that
2.84%:  not take him apart and study
2.67%:  re
2.66%:  take him into space today,
2.66%:  do that again and
2.66%:  take him for another spin today
2.66%:  make another friend that
2.65%:  take him to a dance
7.01%:  take him to a dance party
2.65%:  keep doing it
2.65%:  keep doing this for another decade too
2.65%:  go to the park and stom
2.65%:  make it say other stuff too?
2.64%:  do this again in another ten years so
2.64%:  press that
2.62%:  go make out on
2.62%:  get another one of
10.69%:  get another one of those made
7.49%:  get another one of these
4.24%:  get another one of those,
8.33%:  get another one of those, okay
3.59%:  get another one of those made,
7.71%:  get another one of those made, okay
3.64%:  get another one of those made, stat
3.20%:  get another one of those made up
2.61%:  take him to a friend
2.61%:  make another one and put it in the sky
2.60%:  put it on the market
2.60%:  make another one for us
5.39%:  make another one for us to fight
3.95%:  make another one for us to kiss
2.59%:  keep doing this, friend
2.59%:  make another friend, so he
2.59%:  spend another decade on that guy,
2.58%:  add another
2.58%:  go make out on his
6.75%:  go make out on his face
2.58%:  get him out and
2.58%:  see that
5.10%:  see that again,
2.58%:  spend the rest of today kiss
2.57%:  go to the park and feed it
2.94%:  go to the park and feed it some
2.57%:  kiss him to
2.56%:  keep him in
2.56%:  do that more often, guys
2.56%:  not forget to check
2.56%:  do this again after
14.85%:  do this again after another
120.84%:  do this again after another decade
41.13%:  do this again after another decade passes
39.94%:  do this again after another decade,
32.83%:  do this again after another decade passes,
8.93%:  do this again after another decade of
7.42%:  do this again after another ten
6.25%:  do this again after another decade, you
6.00%:  do this again after another decade passes, you
5.44%:  do this again after another decade?
3.31%:  do this again after another decade passes?
2.56%:  take him on dates
2.55%:  spend another decade or so on it
2.55%:  get another friend so he can make
2.54%:  make out, okay
2.54%:  put it on the roof
2.54%:  go teach
2.53%:  make another friend so they can get
2.53%:  spend the rest of today making it dance
2.52%:  go to the park and see if anyone asks
2.63%:  go to the park and see if anyone asks to
2.52%:  go to the moon
2.51%:  keep making that face
2.51%:  spend another decade making this sucker say,
2.51%:  keep him for
17.48%:  keep him for another
43.78%:  keep him for another decade
15.72%:  keep him for another decade and
14.50%:  keep him for another decade,
9.44%:  keep him for another decade at
3.36%:  keep him for another decade, guys
2.99%:  keep him for another decade and a
2.51%:  get this party
2.50%:  take turns kiss
2.50%:  keep making our
2.50%:  put him in a giant
2.49%:  make out again?
2.49%:  make another one and put it on a
2.49%:  spend another decade on him, you
2.49%:  do this again in another ten years, d
2.49%:  get him to repeat
2.47%:  go home and paint
2.47%:  get some action
2.47%:  take him into space today and
2.46%:  make sure he says it to
2.46%:  take him to a doctor and
3.27%:  take him to a doctor and get
