because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
     73 11677.34%:  because sometimes I like to imagine one
     74 11570.41%:  because sometimes I like to imagine solving
     75 11410.30%:  because sometimes I like to imagine when
     76 11190.00%:  because sometimes I imagine
     77 170950.20%:  because sometimes I imagine things
     78 113505.59%:  because sometimes I imagine myself
     79 110150.42%:  because sometimes I imagine something
     80 107312.87%:  because sometimes I imagine everything
     81 65413.80%:  because sometimes I imagine these
     82 52017.99%:  because sometimes I imagine things will
     83 44511.67%:  because sometimes I imagine myself writing
     84 42822.34%:  because sometimes I imagine myself into
     85 37625.24%:  because sometimes I imagine things like
     86 35934.42%:  because sometimes I imagine things for
     87 34433.25%:  because sometimes I imagine everything will
     88 31227.67%:  because sometimes I imagine myself throwing
     89 30730.85%:  because sometimes I imagine myself looking
     90 30403.76%:  because sometimes I imagine things more
     91 25495.70%:  because sometimes I imagine there
     92 21053.72%:  because sometimes I imagine myself telling
     93 19923.62%:  because sometimes I imagine everything will work
     94 19272.49%:  because sometimes I imagine myself in
     95 35852.73%:  because sometimes I imagine myself in other
     96 34848.72%:  because sometimes I imagine myself in the
     97 18240.19%:  because sometimes I imagine something like
     98 15956.95%:  because sometimes I imagine it
     99 14245.52%:  because sometimes I imagine something will
    100 13839.79%:  because sometimes I imagine myself with
    101 11442.65%:  because sometimes I imagine everything is
    102 10989.17%:  because sometimes I think everyone
    103 10562.28%:  because sometimes I like thinking
    104 10232.59%:  because sometimes I imagine myself working
    105 10134.94%:  because sometimes I like to imagine myself only
    106 9863.85%:  because sometimes I imagine it's more
    107 9633.95%:  because sometimes I like to imagine my life working
    108 9541.02%:  because sometimes I imagine myself rolling
    109 9530.52%:  because sometimes I like to imagine how well
    110 9469.99%:  because sometimes I imagine myself looking like
    111 9385.43%:  because sometimes I imagine my
    112 11703.01%:  because sometimes I imagine my life
    113 9214.76%:  because sometimes I feel like it's only
    114 9095.08%:  because sometimes I like to imagine my fellow
    115 8837.61%:  because sometimes I like to imagine new
    116 8604.82%:  because sometimes I like to imagine solving life
    117 8236.43%:  because sometimes I like to imagine some
    118 8090.28%:  because sometimes I feel like having
    119 7929.79%:  because sometimes I worry the
    120 7828.40%:  because sometimes I imagine myself rolling over
    121 7817.32%:  because sometimes I worry everyone
    122 13793.75%:  because sometimes I worry everyone's making
    123 7813.62%:  because sometimes I imagine the
    124 7796.91%:  because sometimes I imagine myself the
    125 7290.89%:  because sometimes I like to imagine how silly
    126 7220.61%:  because sometimes I have
    127 7132.87%:  because sometimes I like to imagine we
    128 7078.46%:  because sometimes I feel like it's going
    129 7034.20%:  because sometimes I like to imagine my lovers
    130 6994.65%:  because sometimes I imagine it's more of
    131 6937.74%:  because sometimes I wish
    132 6799.81%:  because sometimes I feel like my own
    133 6797.09%:  because sometimes I like to imagine him
    134 6769.96%:  because sometimes I imagine my own
    135 8016.68%:  because sometimes I imagine my own life
    136 6742.29%:  because sometimes I like to imagine how life is
    137 6368.33%:  because sometimes I imagine losing
    138 6341.92%:  because sometimes I feel like talking
    139 7568.87%:  because sometimes I feel like talking is
    140 6300.14%:  because sometimes I feel like making
    141 142439.22%:  because sometimes I feel like making things
    142 6225.58%:  because sometimes I imagine myself like
    143 6200.13%:  because sometimes I imagine other
    144 6185.88%:  because sometimes I imagine it's like
    145 6088.15%:  because sometimes I like to feel
    146 6074.21%:  because sometimes I like to imagine life isn
    147 5983.08%:  because sometimes I worry everyone has
    148 5964.48%:  because sometimes I like to imagine showing
    149 5917.09%:  because sometimes I like to imagine for
    150 5908.22%:  because sometimes I feel like making my
    151 5888.78%:  because sometimes I imagine myself in their
    152 5851.42%:  because sometimes I like to imagine women
    153 5842.47%:  because sometimes I like to imagine myself in low
    154 5811.47%:  because sometimes I imagine things for my
    155 5693.32%:  because sometimes I like to imagine men
    156 5609.94%:  because sometimes I imagine myself too
    157 5557.88%:  because sometimes I imagine everything'
    158 5483.61%:  because sometimes I like to imagine killing
    159 5440.29%:  because sometimes I like to imagine love
    160 5331.44%:  because sometimes I feel like it's a
    161 5316.49%:  because sometimes I imagine things were
    162 5302.32%:  because sometimes I worry there
    163 89122.63%:  because sometimes I worry there's more
    164 18414.50%:  because sometimes I worry there's like
    165 11771.11%:  because sometimes I worry there's a
    166 6297.82%:  because sometimes I worry there's no
    167 10763.17%:  because sometimes I worry there's no way
    168 5714.80%:  because sometimes I worry there's a more
    169 5080.39%:  because sometimes I feel like making it
    170 5022.41%:  because sometimes I worry there's only
    171 5021.30%:  because sometimes I imagine myself the only
    172 4937.66%:  because sometimes I feel like thinking
    173 4918.14%:  because sometimes I imagine there's no
    174 4885.49%:  because sometimes I like to imagine myself worrying
    175 4882.91%:  because sometimes I like to imagine who
    176 4792.91%:  because sometimes I imagine things work
    177 4758.17%:  because sometimes I feel like what
    178 4697.72%:  because sometimes I imagine myself only
    179 4545.20%:  because sometimes I like to imagine my lover
    180 4424.27%:  because sometimes I like to imagine myself in lov
    181 4413.96%:  because sometimes I like to imagine myself h
    182 4398.55%:  because sometimes I worry there's a million
    183 4373.70%:  because sometimes I feel like throwing my own
    184 4367.39%:  because sometimes I imagine things will work
    185 4345.69%:  because sometimes I feel like throwing in
    186 4281.79%:  because sometimes I feel like throwing in my
    187 4269.81%:  because sometimes I like to imagine myself grown
    188 4234.61%:  because sometimes I like to imagine life'
    189 4228.56%:  because sometimes I have feelings
    190 4137.36%:  because sometimes I like to imagine worse
    191 4108.77%:  because sometimes I like to imagine myself w
    192 4107.93%:  because sometimes I imagine my life working
    193 4083.62%:  because sometimes I imagine myself killing
    194 4064.95%:  because sometimes I like to imagine him losing
    195 3993.25%:  because sometimes I feel like giving
    196 3963.71%:  because sometimes I like to have
    197 3927.90%:  because sometimes I imagine myself living
    198 5119.75%:  because sometimes I imagine myself living the
    199 3892.54%:  because sometimes I like to imagine over
    200 3866.97%:  because sometimes I imagine losing the
    201 3853.01%:  because sometimes I like to imagine working
    202 3835.64%:  because sometimes I feel like things won
    203 3826.34%:  because sometimes I imagine something very
    204 3760.31%:  because sometimes I like to imagine how we
    205 3730.96%:  because sometimes I imagine it working
    206 3707.77%:  because sometimes I worry everyone's talking
    207 3669.63%:  because sometimes I like to imagine only
    208 3666.84%:  because sometimes I imagine my life working like
    209 3660.10%:  because sometimes I imagine myself to
    210 3657.62%:  because sometimes I like to imagine how we'll
    211 3634.96%:  because sometimes I like to have my
    212 3629.39%:  because sometimes I worry when
    213 4115.57%:  because sometimes I worry when talking
    214 3554.86%:  because sometimes I imagine it's more like
    215 3536.27%:  because sometimes I worry something
    216 3645.97%:  because sometimes I worry something really
    217 3424.54%:  because sometimes I imagine it working like
    218 3404.09%:  because sometimes I imagine my life like
    219 5306.81%:  because sometimes I imagine my life like this
    220 3403.37%:  because sometimes I imagine myself not
    221 3391.83%:  because sometimes I imagine myself working with
    222 3315.60%:  because sometimes I worry nothing
    223 3308.98%:  because sometimes I imagine myself in er
    224 3294.86%:  because sometimes I worry nothing ever
    225 3354.00%:  because sometimes I worry nothing ever really
    226 3223.05%:  because sometimes I like to imagine rolling
    227 3211.28%:  because sometimes I worry nothing will
    228 19367.45%:  because sometimes I worry nothing will ever make
    229 3169.80%:  because sometimes I like to imagine why
    230 3150.44%:  because sometimes I worry there's like a
    231 22552.58%:  because sometimes I worry there's like a million
    232 3141.13%:  because sometimes I feel like shooting
    233 3083.79%:  because sometimes I worry everything
    234 12080.41%:  because sometimes I worry everything is
    235 16703.10%:  because sometimes I worry everything is falling
    236 10218.74%:  because sometimes I worry everything'
    237 6160.59%:  because sometimes I worry everything's falling
    238 3073.31%:  because sometimes I like to imagine how very
    239 3054.58%:  because sometimes I imagine myself writing er
    240 3017.29%:  because sometimes I imagine things work like
    241 2995.48%:  because sometimes I imagine otherwise
    242 2979.09%:  because sometimes I like to imagine my version
    243 2951.21%:  because sometimes I like to imagine if
    244 4478.93%:  because sometimes I like to imagine if we
    245 2943.87%:  because sometimes I imagine everything works
    246 2937.30%:  because sometimes I imagine my own life story
    247 2893.11%:  because sometimes I like to imagine life solving
    248 2835.25%:  because sometimes I like to imagine myself or
    249 2834.28%:  because sometimes I worry things
    250 6697.30%:  because sometimes I worry things are more
    251 4844.95%:  because sometimes I worry things are moving
    252 4276.81%:  because sometimes I worry things will
    253 50270.04%:  because sometimes I worry things will never
    254 10449.78%:  because sometimes I worry things will go
    255 10301.47%:  because sometimes I worry things will never go
    256 5537.62%:  because sometimes I worry things will never make
    257 3631.59%:  because sometimes I worry things are never
    258 3132.48%:  because sometimes I worry things aren
    259 2817.15%:  because sometimes I like to imagine living
    260 2779.52%:  because sometimes I worry the only
    261 2761.28%:  because sometimes I like to imagine my er
    262 2761.14%:  because sometimes I worry everything is more
    263 2760.59%:  because sometimes I like to imagine losing my life
    264 2759.30%:  because sometimes I imagine my life looking
    265 11664.44%:  because sometimes I imagine my life looking like
    266 2736.24%:  because sometimes I like to make
    267 6715.61%:  because sometimes I like to make myself
    268 2724.73%:  because sometimes I imagine myself living other
    269 2721.31%:  because sometimes I worry my
    270 2777.44%:  because sometimes I worry my fant
    271 2708.04%:  because sometimes I worry there's going
    272 2708.01%:  because sometimes I like to imagine my f
    273 2665.91%:  because sometimes I imagine things for like
    274 2659.06%:  because sometimes I feel like things only
    275 2657.99%:  because sometimes I worry there's no real
    276 2657.40%:  because sometimes I worry my generation
    277 2644.15%:  because sometimes I feel like things only go
    278 2640.50%:  because sometimes I feel like things go
    279 2595.01%:  because sometimes I feel like having my
    280 2585.26%:  because sometimes I imagine it's like in
    281 2583.09%:  because sometimes I worry things are only
    282 2577.78%:  because sometimes I like to imagine solving my
    283 2573.61%:  because sometimes I worry there are
    284 2540.19%:  because sometimes I imagine those
    285 2536.76%:  because sometimes I like to imagine myself in gro
    286 2509.48%:  because sometimes I imagine women
    287 2493.84%:  because sometimes I like to imagine who wins
    288 2471.16%:  because sometimes I imagine everything will look
    289 2470.14%:  because sometimes I worry everything will
    290 2430.85%:  because sometimes I like to imagine like
    291 2426.35%:  because sometimes it
    292 10770.94%:  because sometimes it's really
    293 5977.62%:  because sometimes it's really overwhelming
    294 5664.63%:  because sometimes it's really overwhelming for
    295 2406.19%:  because sometimes I feel like giving it
    296 2392.43%:  because sometimes I worry everything in
    297 16271.88%:  because sometimes I worry everything in life is a
    298 15331.83%:  because sometimes I worry everything in life will
    299 2382.72%:  because sometimes I imagine myself with one
    300 2364.26%:  because sometimes I like to imagine his
    301 2357.36%:  because sometimes I feel like going
    302 2320.82%:  because sometimes I want
    303 2312.87%:  because sometimes I feel like things work
    304 3171.41%:  because sometimes I feel like things work in
    305 2312.18%:  because sometimes I like to imagine myself hiring
    306 2298.58%:  because sometimes I like to imagine we'll
    307 2273.86%:  because sometimes I imagine everything for
    308 2264.38%:  because sometimes I like to imagine smoking
    309 2242.27%:  because sometimes I imagine how
    310 3155.36%:  because sometimes I imagine how it
    311 2235.82%:  because sometimes I forget
    312 5563.48%:  because sometimes I forget how
    313 2230.77%:  because sometimes I like to imagine my life's work
    314 2226.42%:  because sometimes I worry this
    315 2200.97%:  because sometimes I like to imagine selling
    316 2198.39%:  because sometimes I like to make my
    317 2170.37%:  because I'm totally going home
    318 2163.86%:  because sometimes things
    319 4593.92%:  because sometimes things are more
    320 2137.88%:  because sometimes I feel like giving my
    321 2128.57%:  because sometimes I feel like it's only going
    322 2124.65%:  because sometimes I feel like a
    323 3737.30%:  because sometimes I feel like a los
    324 2113.83%:  because sometimes I like to imagine new forms
    325 2103.42%:  because sometimes I imagine it'll
    326 2103.38%:  because sometimes I really
    327 4608.12%:  because sometimes I really wish
    328 4097.50%:  because sometimes I really wish my
    329 6053.60%:  because sometimes I really wish my life
    330 2390.68%:  because sometimes I really wish it
    331 6533.90%:  because sometimes I really wish it were
    332 2078.30%:  because sometimes I imagine we
    333 3766.63%:  because sometimes I imagine we'll
    334 2067.28%:  because I was thinking of some
    335 2061.18%:  because sometimes I worry things are more likely
    336 2052.08%:  because sometimes I imagine my life story
    337 2050.57%:  because sometimes I worry everyone's making it
    338 2040.88%:  because sometimes I imagine other folks
    339 2036.58%:  because sometimes I imagine myself working very
    340 2031.04%:  because sometimes I think life
    341 6881.46%:  because sometimes I think life is really
    342 2025.54%:  because sometimes I imagine meeting
    343 2012.20%:  because sometimes I like to imagine how life'
    344 2010.51%:  because sometimes I worry something will
    345 2010.41%:  because sometimes it feels
    346 13464.05%:  because sometimes it feels like my
    347 11648.56%:  because sometimes it feels like making
    348 5875.58%:  because sometimes it feels like having
    349 4826.77%:  because sometimes it feels like I
    350 89748.29%:  because sometimes it feels like I'm working
    351 44116.10%:  because sometimes it feels like I'm looking
    352 7932.97%:  because sometimes it feels like I'm walking
    353 7839.42%:  because sometimes it feels like I'm making
    354 7710.46%:  because sometimes it feels like I'm living
    355 21959.25%:  because sometimes it feels like I'm living a
    356 11301.82%:  because sometimes it feels like I'm living my
    357 6933.86%:  because sometimes it feels like I'm going
    358 6332.10%:  because sometimes it feels like I'm living my own
    359 5197.54%:  because sometimes it feels like I'm imag
    360 16823.03%:  because sometimes it feels like I'm imagining how
    361 4852.55%:  because sometimes it feels like I'm living on
    362 4417.70%:  because sometimes it feels like I'm having
    363 3197.84%:  because sometimes it feels like I'm working way
    364 3127.06%:  because sometimes it feels like I'm living in a horror
    365 3012.25%:  because sometimes it feels like I'm only
    366 2753.41%:  because sometimes it feels like I'm only working
    367 2736.56%:  because sometimes it feels like I'm having my
    368 2693.03%:  because sometimes it feels like I'm hanging
    369 2387.03%:  because sometimes it feels like I'm having my own
    370 2217.54%:  because sometimes it feels like I'm gonna
    371 2051.64%:  because sometimes it feels like I'm going in
    372 2005.68%:  because sometimes I feel like losing
    373 6278.11%:  because sometimes I feel like losing at
    374 2003.67%:  because sometimes I imagine this
    375 2000.16%:  because sometimes I like to imagine my life's working
    376 1983.41%:  because sometimes I like to imagine millions
    377 1982.80%:  because sometimes I think someone
    378 1973.74%:  because sometimes I worry everything is fake
    379 1950.98%:  because sometimes I worry everyone will
    380 4316.46%:  because sometimes I worry everyone will think
    381 1949.00%:  because sometimes I like imag
    382 34412.37%:  because sometimes I like imagining myself
    383 24852.10%:  because sometimes I like imagining the
    384 18213.94%:  because sometimes I like imagining how
    385 9165.35%:  because sometimes I like imagining myself to
    386 6527.60%:  because sometimes I like imagining other
    387 6006.10%:  because sometimes I like imagining myself with
    388 3894.11%:  because sometimes I like imagining these
    389 3446.62%:  because sometimes I like imagining other folks
    390 3355.74%:  because sometimes I like imagining this
    391 3018.32%:  because sometimes I like imagining the more
    392 2486.82%:  because sometimes I like imagining myself other
    393 2404.63%:  because sometimes I like imagining my
    394 2374.24%:  because sometimes I like imagining how life
    395 2013.23%:  because sometimes I like imagining myself the
    396 1956.89%:  because sometimes I like imagining history
    397 1943.88%:  because sometimes I really worry
    398 7413.77%:  because sometimes I really worry something
    399 3147.19%:  because sometimes I really worry things
    400 3006.80%:  because sometimes I really worry there
    401 3927.51%:  because sometimes I really worry there's no
    402 2419.05%:  because sometimes I really worry things won
    403 1932.47%:  because sometimes I imagine how it goes
    404 1922.81%:  because sometimes I worry there's only like
    405 1921.97%:  because sometimes I imagine someone
    406 1910.50%:  because sometimes I like imagining how sweet
    407 1897.50%:  because sometimes I imagine my life will
    408 1896.61%:  because sometimes I like to imagine living my
    409 1893.18%:  because sometimes I feel like it's okay
    410 1879.78%:  because sometimes I imagine something'
    411 1873.11%:  because sometimes I like to imagine my fries
    412 1871.69%:  because sometimes I like to imagine filling
    413 1870.74%:  because sometimes it feels really
    414 1867.67%:  because sometimes I feel like it is
    415 1866.91%:  because I'm not
    416 5728.51%:  because I'm not entirely
    417 1866.14%:  because sometimes I imagine my own life like
    418 3090.69%:  because sometimes I imagine my own life like this
    419 1859.32%:  because sometimes I imagine everything from
    420 1853.34%:  because sometimes I like to imagine his life
    421 1852.61%:  because sometimes I like to imagine long
    422 1851.45%:  because sometimes I feel like it's my
    423 1999.58%:  because sometimes I feel like it's my only
    424 1840.89%:  because sometimes I really feel
    425 1829.05%:  because sometimes I like to imagine silly
    426 1811.63%:  because sometimes I worry everything's more
    427 1808.01%:  because I was thinking of more
    428 1801.90%:  because sometimes I really wish we
    429 1800.24%:  because sometimes I really like
    430 8286.82%:  because sometimes I really like to know
    431 4825.63%:  because sometimes I really like thinking
    432 5755.00%:  because sometimes I really like thinking of
    433 3728.29%:  because sometimes I really like to know when
    434 1797.27%:  because sometimes I worry there's gonna
    435 1783.57%:  because sometimes I like to imagine himself
    436 1780.56%:  because sometimes I forget how easy
    437 1759.94%:  because sometimes I like to imagine myself'
    438 1753.28%:  because sometimes I like to imagine my love
    439 1747.22%:  because sometimes I worry there's an
    440 1740.61%:  because sometimes I like to imagine my own fr
    441 1737.39%:  because sometimes I like to imagine very
    442 1735.28%:  because sometimes I imagine things for more
    443 1731.01%:  because sometimes I like to feel in
    444 1727.10%:  because I'm looking
    445 4670.42%:  because I'm looking for strategies
    446 5548.29%:  because I'm looking for strategies here
    447 1709.94%:  because sometimes I really like the
    448 1703.81%:  because sometimes I like to imagine myself in work
    449 1699.31%:  because sometimes I like to imagine how evil
    450 1694.31%:  because sometimes I imagine myself one
    451 1692.38%:  because sometimes I feel like anything'
    452 1683.72%:  because sometimes I like to imagine my own self
    453 1679.95%:  because sometimes I honestly
    454 2756.80%:  because sometimes I honestly feel
    455 1936.73%:  because sometimes I honestly worry
    456 1678.99%:  because sometimes I feel like writing
    457 4311.67%:  because sometimes I feel like writing a
    458 3372.45%:  because sometimes I feel like writing is
    459 1678.42%:  because sometimes I like to imagine myself own
    460 1678.25%:  because sometimes it feels like I'm working my
    461 7269.59%:  because sometimes it feels like I'm working my way
    462 1677.77%:  because sometimes I like throwing
    463 1673.67%:  because sometimes I worry talking
    464 1666.04%:  because sometimes I like to imagine myself '
    465 1661.33%:  because everything I know
    466 1654.98%:  because sometimes I like to imagine if my
    467 1646.98%:  because sometimes I wish life
    468 1625.59%:  because sometimes I like to imagine my life isn
    469 1617.97%:  because sometimes it feels like I'm imagining or
    470 1611.80%:  because sometimes I feel like saying
    471 1607.88%:  because sometimes I like imagining myself like
    472 1595.40%:  because sometimes I worry everything works
    473 1590.98%:  because sometimes I feel like losing to
    474 1589.66%:  because sometimes I think life is a
    475 1586.25%:  because sometimes I like to imagine removing
    476 1584.84%:  because sometimes I like to hear
    477 8984.34%:  because sometimes I like to hear myself
    478 1584.41%:  because sometimes I fant
    479 1555.83%:  because sometimes I feel like nothing is a
    480 1551.00%:  because sometimes I really worry things like
    481 1543.90%:  because sometimes it feels like I'm living an
    482 1538.68%:  because sometimes I worry for
    483 1529.85%:  because sometimes I like to imagine my fr
    484 1529.42%:  because sometimes I still
    485 3750.10%:  because sometimes I still imagine
    486 2462.59%:  because sometimes I still feel
    487 1954.72%:  because sometimes I still worry
    488 1529.12%:  because sometimes things are like
    489 1528.63%:  because sometimes I like to imagine moving
    490 1525.83%:  because sometimes I like to imagine myself in org
    491 1519.61%:  because sometimes I imagine we're throwing
    492 1516.11%:  because sometimes I like to imagine my love is
    493 1515.42%:  because sometimes I like to imagine myself in horr
    494 1487.38%:  because sometimes I still have
    495 1485.01%:  because sometimes I imagine myself rolling with
    496 1483.35%:  because sometimes I like to hear my
    497 1479.60%:  because sometimes I worry things like
    498 1476.35%:  because I was looking for the
    499 1474.94%:  because sometimes I feel like going to a
    500 1472.63%:  because sometimes I feel like it's way
    501 1472.20%:  because sometimes I really forget
    502 1471.42%:  because sometimes I feel like anything is
    503 1459.24%:  because sometimes I imagine things from
    504 1451.81%:  because I'm not really
    505 3917.43%:  because I'm not really seeing
    506 3778.66%:  because I'm not really into
    507 3570.27%:  because I'm not really seeing where
    508 1950.52%:  because I'm not really seeing how it
    509 2223.99%:  because I'm not really seeing how it works
    510 1702.42%:  because I'm not really seeing this
    511 1476.79%:  because I'm not really seeing how we
    512 1854.11%:  because I'm not really seeing how we get
    513 4151.71%:  because I'm not really seeing how we get from
    514 1451.39%:  because sometimes I feel like my writing
    515 1775.54%:  because sometimes I feel like my writing isn
    516 1449.03%:  because sometimes I like to imagine she
    517 1443.97%:  because sometimes I like to imagine myself in vir
    518 1432.52%:  because sometimes I like imagining life
    519 1431.18%:  because sometimes I feel like throwing my own arms
    520 1427.27%:  because sometimes I like to imagine my lives
    521 1424.44%:  because sometimes I feel like throwing my arm
    522 1414.71%:  because I literally
    523 1414.14%:  because sometimes I like to imagine how my er
    524 1412.82%:  because sometimes when
    525 24841.97%:  because sometimes when I imagine
    526 496058.81%:  because sometimes when I imagine myself
    527 37362.09%:  because sometimes when I imagine it
    528 16575.37%:  because sometimes when I imagine my
    529 28856.49%:  because sometimes when I imagine my life
    530 12632.06%:  because sometimes when I'm trying
    531 11819.48%:  because sometimes when I'm lonely
    532 11691.52%:  because sometimes when I'm really
    533 24852.30%:  because sometimes when I'm really into
    534 8711.39%:  because sometimes when I'm feeling
    535 8538.10%:  because sometimes when I'm talking
    536 7681.42%:  because sometimes when I imagine my life story
    537 7647.93%:  because sometimes when I'm looking
    538 6777.32%:  because sometimes when I'm writing
    539 5617.46%:  because sometimes when I fant
    540 5184.39%:  because sometimes when I'm feeling low
    541 4455.48%:  because sometimes when I lose
    542 4127.77%:  because sometimes when I'm losing
    543 3977.54%:  because sometimes when I'm alone
    544 3845.55%:  because sometimes when I'm making
    545 5513.02%:  because sometimes when I'm making love
    546 3640.21%:  because sometimes when I'm eating
    547 2985.78%:  because sometimes when I'm really trying
    548 4010.83%:  because sometimes when I'm really trying for
    549 2837.51%:  because sometimes when I tell
    550 2700.08%:  because sometimes when I'm working
    551 2452.75%:  because sometimes when I'm walking
    552 2140.24%:  because sometimes when I imagine myself tri
    553 2135.65%:  because sometimes when I'm alone my
    554 2073.21%:  because sometimes when I imagine it for
    555 2000.45%:  because sometimes when I'm alone it
    556 4454.90%:  because sometimes when I'm alone it worries
    557 1941.54%:  because sometimes when I imagine it myself
    558 1819.23%:  because sometimes when I imagine myself too
    559 1727.80%:  because sometimes when I'm in
    560 1533.75%:  because sometimes when I write
    561 1503.22%:  because sometimes when I'm really into some
    562 1489.37%:  because sometimes when I make
    563 1473.31%:  because sometimes when I'm telling
    564 1409.93%:  because sometimes I worry everything is working
    565 1404.39%:  because sometimes I like to imagine my silly
    566 1401.76%:  because I was looking for like
    567 1389.65%:  because sometimes I feel like my own writing
    568 1387.10%:  because sometimes I worry things will only
    569 4725.14%:  because sometimes I worry things will only ever
    570 1386.77%:  because sometimes I imagine myself trying
    571 1385.84%:  because sometimes I still worry my
    572 1382.87%:  because sometimes I like imagining there
    573 1377.75%:  because I was looking for this
    574 1364.16%:  because sometimes I imagine myself rolling over with
    575 1363.54%:  because sometimes I worry everything's working
    576 1358.92%:  because sometimes I feel like writing my
    577 1353.74%:  because sometimes when I'm in love
    578 1353.59%:  because sometimes when I'm writing for
    579 1347.65%:  because sometimes I feel like it's wrong
    580 1346.49%:  because sometimes I like to imagine swe
    581 1345.55%:  because I really
    582 1344.90%:  because sometimes it feels like I'm working a
    583 1342.03%:  because sometimes I like to imagine myself in '
    584 1341.23%:  because sometimes I imagine we're living
    585 1332.19%:  because sometimes I feel like it's gonna work
    586 1331.16%:  because sometimes I imagine something will work
    587 1330.94%:  because sometimes I like to imagine how er
    588 1330.93%:  because sometimes I imagine my life is
    589 2041.52%:  because sometimes I imagine my life is like
    590 1328.54%:  because sometimes I worry my tales
    591 1317.81%:  because sometimes I like to feel as
    592 1315.13%:  because sometimes I like to imagine solving my life
    593 1313.33%:  because sometimes I imagine myself worrying
    594 2698.35%:  because sometimes I imagine myself worrying over
    595 1310.83%:  because sometimes I really like my
    596 1308.60%:  because sometimes when I'm waiting
    597 1508.19%:  because sometimes when I'm waiting for my
    598 1303.95%:  because sometimes I worry my generation will
    599 1300.15%:  because sometimes I worry everyone's taking
    600 1296.93%:  because sometimes I like to see
    601 2273.29%:  because sometimes I like to see how
    602 1290.04%:  because it
    603 1289.72%:  because sometimes I really regret
    604 1287.98%:  because sometimes I like to imagine working very
    605 1286.20%:  because I never
    606 1284.26%:  because sometimes I imagine writing
    607 5817.85%:  because sometimes I imagine writing myself
    608 2100.13%:  because sometimes I imagine writing my
    609 1282.43%:  because sometimes I feel like having to
    610 1280.67%:  because I was thinking it's like
    611 1278.72%:  because sometimes I imagine my own life story like
    612 1278.59%:  because sometimes I worry the real
    613 1278.02%:  because sometimes it feels like I'm worrying
    614 1276.53%:  because sometimes I feel like asking
    615 1274.87%:  because sometimes I imagine my version
    616 2504.01%:  because sometimes I imagine my version of the
