should've bet that, in ten years, he'd win the bet.
100.00%: 
17.02%:  should
10.80%:  should've bet that in ten years the h
10.73%:  should've bet that in ten years the be
10.69%:  should've bet that in ten years, the bed
10.66%:  should've bet that in ten years the b
10.53%:  should've bet he'd win the bet, that
10.51%:  should've bet that in ten years we'd be e
10.41%:  should've bet that it
10.35%:  should've bet that in ten years, ten
10.29%:  should've bet that in ten years, 'd
10.21%:  should've bet that, in ten years, we'd be hit
10.21%: 've lost
10.05%:  should've bet that in ten years, the n
9.87%:  should've bet that in ten years di
9.84%:  should've bet that in ten years it'd be,
9.62%:  should've bet that in ten years he'd be ten
9.61%:  should've bet that in ten years we'd be net
9.52%:  should've bet that in ten years, he'd be 
9.47%:  should've bet that in ten years he'd be white
9.32%:  should've bet that in ten years we'd be te
9.28%:  should've bet that in ten years, th
9.25%:  should've bet that in ten years he'd be th
9.25%:  should've bet that we'd be in the
9.21%:  should've bet that in ten years e
9.16%:  should've bet that in ten years we'd be ne
9.06%:  should've bet that in ten years we'd he
9.00%:  should've bet that in ten years, the we
8.92%:  should've bet that, in ten years, d
8.73%:  should've bet that in ten years, 'the
8.54%:  should've bet that in ten years, we end
8.33%:  should've bet that, in ten years, we'd bet
8.30%:  should've bet that in ten years w
8.18%:  should've bet that in ten years he'd win,
8.17%:  should've bet that in ten years when he
8.12%:  should've bet that in ten years he'd win bet
8.10%:  should have bet we
23.77%:  should have bet we'd be
8.04%:  should've bet that in ten years, the web'
8.03%:  should've bet that in ten years the we
7.96%:  should've bet that in ten years, n
7.93%:  should've bet that in ten years, eh
7.77%:  should've bet that, in ten years, he'd be in the
7.76%:  should've bet that in ten years he'd be wh
7.76%:  should've bet that he'd win the bet in
317.55%:  should've bet that he'd win the bet in ten years,
54.15%:  should've bet that he'd win the bet in ten years.
7.72%:  should've bet that in ten years, bit
7.69%:  should've bet that in ten years, he'd be he
7.57%:  should've bet that in ten years, we'd h
7.56%:  should've bet that, in ten years, '
7.54%:  should've bet that in ten years the wh
7.49%:  should've bet that in ten years diet
7.37%:  should've bet that in ten years with
7.31%:  should've bet that in ten years, he'd bet we
7.22%:  should've bet that in ten years when he'
7.21%:  should've bet that, in ten years, the end
7.20%:  should've bet it
7.15%:  should've bet that in ten years wh
7.00%:  should've bet that in ten years he'd b
6.83%:  should've bet that in ten years, ne
6.79%:  should've bet that in ten years, he'd be ten
6.77%:  should've bet that in ten years the web'
6.76%:  should've bet that in ten years, bed
6.72%:  should've bet that in ten years he'd be twe
6.71%:  should've bet that, in ten years, 
6.67%:  should've bet that he'd win the bet.
6.58%:  should've bet that in ten years we, the din
6.55%:  should've bet that in ten years we end
6.53%:  should've bet that, in ten years, he'd win
16.35%:  should've bet that, in ten years, he'd win the
6.48%:  should've bet that, in ten years, the d
6.47%:  don
84.27%:  don't even
6.75%:  don't even want
6.42%:  should've bet that in ten years the deb
6.26%:  should've bet that, in ten years, when he
6.24%:  should've bet that, in 
6.23%:  should've bet that, in ten years, new
6.20%:  should've bet that in ten years, we'd be e
6.16%:  don't see
6.16%:  don't want
6.13%:  should've bet that in ten years, we'd be te
6.10%:  should've bet that in ten years we'd the
6.05%:  should've bet that in ten years we'd be in,
6.04%:  should've bet that, in ten years, the wind
6.03%:  should've bet that in ten years, we'd be ne
6.02%:  should've bet that in ten years, wind
5.99%:  should've bet that in ten years, the de
5.98%:  should've bet that in ten years, he'd hit
5.96%:  should've bet that in ten years we'd been hit
5.94%:  should've bet that the new
5.90%:  should've bet that in ten years, te
5.85%:  should've bet that in ten years he,
5.83%:  should've bet that in ten years with be
5.82%:  should've bet that in ten years, we'd be net
5.76%:  should've bet that, in ten years, wed
5.72%:  should've bet that in ten years teen
5.70%:  should've bet that in ten years, the new,
5.63%:  should've bet that he'd win,
5.46%:  should've bet that in ten years, then, we
12.77%:  should've bet that in ten years, then, we'd be
5.45%:  should've bet with the
5.43%:  should've bet ten
34.57%:  should've bet ten years that
18.71%:  should've bet ten years that the
10.92%:  should've bet ten years that we
23.48%:  should've bet ten years that we'd be
10.59%:  should've bet ten years in
5.41%:  should've bet that in ten years, he'd be h
5.39%:  should've bet ten years that he
8.54%:  should've bet ten years that he'd be
5.33%:  should've bet that we'd be the
5.32%:  should've bet that in ten years, the ne
5.32%:  should've bet that, in ten years, the 
5.24%:  should've bet that in ten years, when he'd
5.22%:  should've bet ten years,
5.22%:  should've bet that in ten years 'the
5.18%:  should've bet that, in ten years, h
5.13%:  should've bet that in ten years the bed
5.09%:  should've bet that, in ten years, the '
5.08%:  should've bet that in ten years, we'd he
5.08%:  should've bet that in ten years, he'd be th
5.06%:  should've bet that in ten years he'd tie
5.02%:  should've bet that in ten years, white d
4.96%:  should've bet that, in the
4.95%:  should've bet that, in ten years, we'd be 
4.90%:  should've bet that in ten years, the hed
4.89%:  bet that
43.09%:  bet that in ten years, the
42.88%:  bet that in ten years, we
106.42%:  bet that in ten years, we'd
54.17%:  bet that in ten years, we'd be
22.90%:  bet that in ten years we
79.27%:  bet that in ten years we'd
44.58%:  bet that in ten years we'd be
19.01%:  bet that in ten years, we'd both
12.51%:  bet that in ten years the
9.63%:  bet that in ten years, when
8.56%:  bet that in ten years, the whole
7.74%:  bet that in ten years we'd both
4.85%:  should've bet he'd win that
6.72%:  should've bet he'd win that bet,
4.84%:  should've bet that it'd be the
4.84%:  should've bet that in ten years, the need
4.84%:  should've bet that in ten years, he'd win bet
4.81%:  should've bet that din
4.79%:  should've bet that in ten years he'd be win
4.75%:  should've bet that, in ten years, when it
4.73%:  should've bet that in ten years, when he'd be
4.73%:  should've bet that in ten years 'd
4.72%:  should've bet that, in ten years, he'd be t
4.61%:  should've bet he'd win the bet.
4.56%:  should've bet that, ten
22.82%:  should've bet that, ten years in
4.54%:  should've bet that, in ten years, with
4.47%:  should have bet he
10.02%:  should have bet he'd be
4.45%:  should've bet that it'd be ten
6.21%:  should've bet that it'd be ten years when
4.37%:  should've bet that in ten years we'd in
4.36%:  should've bet that in ten years, we'd been hit
4.35%:  should've bet he'd want
4.29%:  should've bet that in ten years he'd twe
4.25%:  should've bet that, in ten years, we'd hit
4.21%:  should've bet that, in ten years, b
4.20%:  should've bet that in ten years, teh
4.13%:  should've bet that in ten years, he'd be white
4.11%: 've lost the
4.33%: 've lost the bet and
4.09%:  have
4.08%:  should've bet that he'd be the
4.06%:  should have bet with
4.01%:  should've bet that, in ten years, the i
4.01%:  should've bet that in ten years i'd be t
4.00%:  should've bet that in ten years, we die
4.00%:  should've bet that in ten years, tw
3.99%:  should've bet ten years that in
3.91%:  should've bet that, in ten years, the h
3.90%:  should have been
3.89%:  should've bet that in ten years, we'd the
3.88%:  should've bet that in ten years, twe
3.88%:  should've bet that in ten years, it'd be,
3.86%:  should've bet he'd be the
3.84%:  should've bet that in ten years, the he
3.83%:  should've bet that in ten years, we need
3.81%:  should've bet that, in ten years, we'd be en
3.79%:  should've bet that in ten years we the
3.77%:  should've bet that, in ten years, teen
3.77%:  should've bet that in ten years it'd be 
3.77%:  should've bet that in ten years when it
3.76%:  should've bet that in ten years, he'd bite
3.76%:  should've bet that in ten years, he'd,
3.75%:  don't have
3.74%:  should've bet that in ten years, bi
3.72%:  should've bet that in ten years, we'd in
3.70%:  should've bet that in ten years, when he bet
3.65%:  should've bet that in ten years the new,
3.62%:  should've bet that in ten years he'd w
3.59%:  bet the
3.58%:  should've bet that in ten years we'd be in h
3.56%:  should've bet ten years the
3.56%:  should've bet that in ten years bed
3.56%:  should've bet that in ten years, the new '
3.51%:  should've bet that in ten years we'd bite
3.50%:  should've bet that in ten years, it'd be 
3.41%:  should've bet that in ten years, deb
3.41%:  should've bet that in ten years, hee
3.39%:  should have bet ten
3.79%:  should have bet ten years,
3.41%:  should have bet ten years in
3.39%:  should've bet that in ten years, the den
3.35%:  should've bet that in ten years he'd be wet
3.32%:  should've bet that in ten years the n
3.31%:  should've bet that in ten years, the di
3.30%:  should've bet that, in ten years, wh
3.28%:  should've bet that in ten years, the wine
3.27%:  should've bet that in ten years, eth
3.27%:  should've bet that, in ten years, he'd be with
3.24%:  should've bet that in ten years we'd be in 
3.22%:  should've bet that in ten years, the we'
3.21%:  should've bet that in ten years ,
3.17%:  wish
3.14%:  should've bet that in ten years, 'b
3.12%:  should've bet in
3.66%:  should've bet in years
3.11%:  lost
3.72%:  lost the
3.84%:  lost the bet,
3.11%:  should've bet that, in ten years, we'd be ten
3.10%:  should've bet that in ten years, he'd be twe
3.09%:  should've bet that in ten years, he'd be wh
3.07%:  should've bet that, in ten years, we'd be he
3.07%:  should've bet that, in ten years, be
3.06%:  should've bet that in ten years we'd tie
3.05%: 've lost the bet,
3.05%:  should've bet that in ten years we'd be eth
3.05%:  should've bet that in ten years we die
3.03%:  should've bet that in ten years, ew
2.96%:  should've bet that in ten years he'd be tw
2.94%:  should've bet that in ten years hee
2.93%:  should've bet that, in ten years, the w
2.91%:  don't see what
4.24%:  don't see what the
2.91%:  should've bet that in ten years, when d
2.90%:  should've bet that in ten years we'd be hi
2.90%:  should've bet that when it
2.83%:  should have bet it
2.82%:  should've bet that in ten years, the in
2.82%:  should've bet that in ten years, 'we
2.81%:  should've bet that in ten years he'd be white,
2.79%:  should've bet that in ten years he'd wet
2.78%: 've lost the bet, and
2.76%:  love
2.76%:  bet that in ten years, we should
2.76%:  should've bet that in ten years t
2.75%:  should've bet that in ten years the de
2.74%:  should've bet that in ten years then
2.93%:  should've bet that in ten years then,
2.74%:  should've bet that in ten years the we'd be
2.74%:  should've bet that in ten years, the hide
