know what? It's really weird when you say that.
85.34%:  know
7.13%:  know what's really iron
7.11%:  know you're the
7.11%:  said you
7.11%:  know what you said?
7.09%:  know what's worse?
7.08%:  know what? I was
6.99%:  don't know where that
6.93%:  know what I'd really hate to hear
6.92%:  know what I'd say
6.91%:  know what's not
6.91%:  know what? It's really weird how
6.81%:  know what? It was
6.81%:  know what I want?
6.77%:  know that's what you
6.71%:  know what's weird? I was
6.61%:  know what you said when
6.55%:  don't really think these
6.44%:  think you're so
6.44%:  know what? I really don't see
14.83%:  know what? I really don't see why
6.78%:  know what? I really don't see why this
6.44%:  don't think I was
6.42%:  know what I heard
6.31%:  know what you really
6.26%:  don't know what it
6.20%: 're not the
6.02%:  don't write
5.99%:  know who
5.94%:  really don
41.26%:  really don't want
43.75%:  really don't want to hear
23.13%:  really don't think
12.08%:  really don't know
35.33%:  really don't know what
13.74%:  really don't know what I
10.88%:  really don't think they
10.16%:  really don't know what they
9.05%:  really don't know why
7.63%:  really don't know where
13.02%:  really don't know where that
7.57%:  really don't think I
7.55%:  really don't know what these
6.89%:  really don't know why they
5.92%:  know that's what you were
5.91%:  know what? It doesn
55.94%:  know what? It doesn't really
5.89%:  think that's a
5.84%:  don't really think I wrote
5.81%:  really don't know what I was
5.81%:  know what you really want
5.79%:  know what it
5.76%: 're really not
5.74%:  know what really
5.69%:  know what I really want to see
5.61%:  know what's the hard
5.56%:  think that was really
5.55%:  know what? I don't really hear
5.54%:  know what this really
12.19%:  know what this really needs
5.49%:  knew
5.48%:  know what's really weird? It was the
5.46%:  know what? It was really
5.44%:  know what's weird? It was
8.73%:  know what's weird? It was really
5.42%:  don't really think there
5.34%:  know what I'd hate
5.31%:  read
5.29%:  know what I really wish?
5.26%:  know what? It's true
5.25%:  know what those
5.24%:  know what's the worst? I really
5.19%:  know what? I really hate
5.19%:  know what I'd really want
9.47%:  know what I'd really want to hear
5.19%:  know they
16.89%:  know they're really
5.19%:  know what I really hate is
6.78%:  know what I really hate is when you
5.18%:  know what you need
5.13%:  don't know this
5.11%:  don't know why the
5.05%:  want
5.02%:  know what? It's really hard to say
5.01%:  know what? I'd
4.99%:  really don't know what this
4.96%:  know that's what I was
4.91%:  don't know what I was
4.89%:  know what? I really wish you'd start
4.89%:  know what'd
4.89%:  know what? It's hard
4.64%:  know what? It was a really
4.64%:  know what's really sad
4.57%:  know what they are.
4.55%:  know what I really hate when
4.55%:  know what? I need
4.52%:  know they're not
15.71%:  know they're not really
4.51%:  know it
4.46%:  know what your
4.45%:  hear
4.37%:  said you were
4.36%:  think you're the
4.35%:  don't really think those
4.35%:  know those
4.31%:  know?
4.30%:  know what? I hate
4.29%:  know what? I want
4.29%: 're not a
4.24%:  know how they
6.37%:  know how they say that
4.23%:  know what they really
4.66%:  know what they really are
4.22%:  know what's weird? I was really
4.17%:  know what I'd say to
4.07%:  really don't know what a
4.05%:  knew what
4.04%:  know what? I really wish you'd stay
4.00%:  know where
4.27%:  know where this
3.96%:  wrote this?
3.95%:  think they're not
3.94%:  know what? I don't hear
3.93%:  really don't know why these
3.93%:  know what? It was worth
3.91%:  know what? I don't see
13.18%:  know what? I don't see what
8.86%:  know what? I don't see why
3.89%:  know what I really need is
3.85%:  know what I really hate is when you say
3.84%:  really don't know why I
3.83%:  don't think they are
3.81%:  don't know where this
3.81%:  think those
3.79%:  heard what
3.75%:  know what I'd hate?
3.74%:  know what I really want is
3.74%:  know what they sound
3.70%:  know what I say
3.69%:  know what they say? It
6.95%:  know what they say? It's hard
3.66%:  know it's really
3.66%:  don't know why?
3.61%:  really think those
3.60%:  know what's really not
3.59%:  know there
3.59%:  know what? It's not hard
3.54%:  really want
3.54%:  know what I really wish was
3.54%:  know what you say
7.53%:  know what you say when
3.53%:  know what? I don't really hear what
3.51%:  know that's what I said
3.51%:  really don't want your
3.47%:  know what's weird? I really want to say
3.46%:  really don't know?
3.43%:  know what that is
3.40%:  know what? It's your
3.36%:  don't really know
4.36%:  don't really know what they
4.11%:  don't really know what I
3.36%:  think stand
3.33%: 're a
3.29%:  don't really think we
3.27%:  know what I really hate is when you'
3.25%:  really don't know where this
3.25%:  know the ones
3.20%:  know what I'd hate to hear
3.19%:  really don't know what the
3.19%:  know what? It really
5.49%:  know what? It really doesn
4.65%:  know what? It really is hard
3.19%:  know what? I'd really
3.19%:  know what I really wish you
3.16%:  know what? I really hate this
3.14%:  don't really think the
3.14%:  know what? It's a
3.13%:  think that's a really
3.13%:  know what I really wish there
3.11%:  know what's so
3.05%:  know what they said when
3.05%:  don't know what they are? I
3.04%:  think there
3.03%:  know that's a
3.55%:  know that's a really
3.01%:  really don't think these
3.00%:  know it's true.
2.96%:  know it's really hard when
2.96%:  really think your
2.94%:  know how hard
3.07%:  know how hard they
2.94%:  know what's really sad? I
2.94%:  know what I said.
2.94%:  don't really write
2.94%:  don't say
2.93%:  don't know what?
2.93%:  said you'
2.90%:  don't think there was
2.89%:  really don't want to hear why
2.89%:  really wrote
3.04%:  really wrote that down
2.89%:  know what? I really hate when
2.88%:  really need
3.06%:  really need to work
2.87%:  wrote the
2.86%:  know what I wish
2.86%:  think that's really hard
2.84%:  don't really know what these
2.84%:  know I hate
2.81%:  don't think I was really
3.50%:  don't think I was really there
2.81%:  know what I really hated
2.80%:  know what? It's really hard when
2.79%:  know what's hard to
2.77%:  are
2.77%:  know what the weird
2.76%:  know why
2.79%:  know why they
2.76%:  know what? I really hate when you say
2.75%:  don't think I wrote
2.75%:  know what? I really hate you
2.75%:  know that's not really
2.74%:  know what? I don't really see why it
2.70%:  know what's weird? It really
2.70%:  know what's weird? It was the
2.68%:  know what's worse? I
2.68%:  know you want
2.68%:  know what? I don't see why this
2.66%:  wrote those
2.65%:  know what they say is
2.65%:  know what I do
2.63%:  know what's worse than a really
2.63%:  know that's what you said
4.26%:  know that's what you said when
2.61%:  know what I say when
2.61%:  think your
2.60%:  know what I want to hear
2.59%:  know that's really
2.59%:  know what they say? I
2.58%:  really don't want this
2.58%:  really don't know why?
2.57%:  know what? It's really weird you
2.56%:  know it's hard
2.56%:  know what? It really is hard.
2.55%:  said they
2.55%:  know what's a
3.79%:  know what's a really
2.55%:  really want to hear
2.52%:  know what? It's really hard.
2.51%:  know what? I hate this
2.49%:  knew this
2.49%:  don't know what they say
2.49%:  know what? I really hate it
26.10%:  know what? I really hate it when you say
2.49%:  don't know why this
2.48%:  really don't want to hear?
2.45%:  know what the really
5.78%:  know what the really weird
2.44%:  know I hate that
2.44%:  really think you're the
2.43%:  know what I wrote
2.43%:  don't know what they really
2.42%:  know what I really want to say here
2.38%:  know what's really weird? I went
2.37%:  think there's a way
2.37%:  know what I do when
2.36%:  knew I
2.35%: 're in
2.34%:  heard that
2.32%:  know what these din
2.31%:  don't know why they are
2.31%:  think the
2.31%:  say
2.30%:  really think that was a
2.29%:  drew
2.29%:  know what? It's really weird when
5.13%:  know what? It's really weird when you say
11.75%:  know what? It's really weird when you say that
