being really cool IS one of the perks of being a computer scientist!
100.00%: 
72.61%:  you
6.22%:  like all computer things
6.21%:  since computer
8.08%:  since computer storage
6.20%:  of
6.10%:  unlike most things people
11.80%:  unlike most things people say are
6.08%:  like all great computer scientist
6.06%:  unlike most other aspects of reality
6.00%:  like all great truth
5.99%:  before you go claiming
7.37%:  before you go claiming that
5.98%:  because of this conflict
5.97%:  before you start feeling
5.96%:  I think
5.93%:  like all computer science stories it
5.85%:  before you start telling
21.38%:  before you start telling people
5.84%:  like most things I learn
12.89%:  like most things I learn about
5.80%:  before you thank
16.25%:  before you thank me for
56.53%:  before you thank me for pointing
33.95%:  before you thank me for pointing it
18.53%:  before you thank me for bringing
13.49%:  before you thank me for telling
13.12%:  before you thank me for bringing it
7.90%:  before you thank me for being
10.86%:  before you thank me for being so cool
5.75%:  before you start breaking
6.73%:  before you start breaking into
34.80%:  before you start breaking into people
5.71%:  like all things computer science offers
5.67%:  like all computer science stories for
5.61%:  like all great computer science theories it
5.56%:  like all science
6.45%:  like all science fiction
5.52%:  you can still
6.64%:  you can still get
5.51%:  like all computer science has been to
5.41%:  before you tell
5.41%:  hey
5.37%:  since computer storage is finite
5.36%:  before you start feeling too
5.34%:  like all great computer science stories I
5.33%:  I guess
5.32%:  before you start making copies of those
7.87%:  before you start making copies of those porn
5.18%:  like all computer science has been before
5.17%:  before you go on
13.46%:  before you go on thinking
7.51%:  before you go on telling
26.43%:  before you go on telling people
12.47%:  before you go on telling people that
11.22%:  before you go on telling people this
6.20%:  before you go on telling others
5.12%:  before you thank me for pointing all
5.11%:  like all computer science opinions
5.10%:  before you go printing
5.07%:  before you start singing
5.03%:  before you start printing
5.02%:  then
4.96%:  there
4.95%:  like all great concepts
4.91%:  like most people
4.89%:  like most theories
4.84%:  like many
7.24%:  like many things about
4.78%:  please!
4.77%:  like most really
4.77%:  like all computer scientist theories
4.76%:  like all computer theories
4.76%:  like most aspects
7.30%:  like most aspects of life
4.71%:  before you go calling
4.68%:  as
63.15%:  as a computer science
44.19%:  as a computer scientist I
51.11%:  as a computer scientist I feel
156.96%:  as a computer scientist I feel oblig
17.20%:  as a computer scientist I prefer
15.42%:  as a computer scientist I feel like
12.00%:  as a computer scientist I prefer to look
10.30%:  as a computer scientist looking
10.27%:  as a computer scientist looking for
8.38%:  as a computer scientist I prefer to be
8.14%:  as a computer scientist I prefer to look on
6.87%:  as a computer scientist I prefer to be cool
5.60%:  as a computer scientist I prefer not
5.43%:  as a computer scientist looking for the
5.36%:  as a computer scientist of
4.68%:  unlike other
9.41%:  unlike other aspects
19.73%:  unlike other aspects of my
14.34%:  unlike other aspects of life
12.79%:  unlike other aspects of science
9.32%:  unlike other aspects of my personal
7.49%:  unlike other aspects of my persona
6.85%:  unlike other aspects of society
5.16%:  unlike other aspects of reality
4.67%:  you see
4.67%:  like all great science
11.18%:  like all great science fiction
4.66%:  like most cool concepts
4.61%:  it turns
4.61%:  in
5.20%:  in practice
4.59%:  unlike most theories
4.58%:  like all computer science bits
4.58%:  before you go on telling people this fact
4.57%:  like all computer theory
4.56%:  like all computer science has been so
4.50%:  unlike most other sciences
4.50%:  like all computer science in
4.49%:  because of this property
4.48%:  like many aspects
6.84%:  like many aspects of life
6.41%:  like many aspects of science
5.19%:  like many aspects of the
4.47%:  like I say
4.46%:  unlike other logical
18.10%:  unlike other logical systems
4.45%:  before you go telling people this fact
4.40%:  like all great computer science fe
4.35%:  before you go telling people I
4.33%:  before you go thinking all
4.32%:  before you start planning
4.76%:  before you start planning to become
4.32%:  to
17.51%:  to be fair
5.58%:  to be serious
4.30%:  man
4.29%:  unlike most other aspects of being
4.28%:  before you go on talking
4.28%:  like most things about science
4.26%:  before you start calling
4.34%:  before you start calling me
4.24%:  like all computer science n
4.23%:  like all computer science stories for non
4.23%:  because of the problems
4.22%:  the
6.04%:  the problem
4.63%:  the computer
85.01%:  the computer scientist
23.68%:  the computer science
12.78%:  the computer scientist life
9.06%:  the computer scientist is
8.24%:  the computer science part
5.27%:  the computer scientist life is lonely
4.93%:  the computer science is
5.31%:  the computer science is really
4.92%:  the computer science is really boring
4.66%:  the computer science angle
7.25%:  the computer science angle is really
5.21%:  the computer science angle is probably
4.87%:  the computer science angle is probably lost
4.63%:  the computer science part is really
4.56%:  the computer scientist speaking
4.21%:  unlike most other logical
4.20%:  like all computer science stories of
4.18%:  before you thank me for letting
4.16%:  if
14.65%:  if you think
4.16%:  before you start talking
7.24%:  before you start talking to people
4.16%:  like all computer science theories of interest
4.15%:  before you go telling people that I
4.14%:  because of this logical
25.16%:  because of this logical problem
4.09%:  like most cool facts
4.02%:  like all computer science stories for the
3.98%:  computer
100.85%:  computer science is really
88.64%:  computer science is really boring
85.64%:  computer science is really boring too
26.92%:  computer science is pretty
26.47%:  computer science being
25.26%:  computer scientist
24.89%:  computer science is also
47.98%:  computer science is also really
111.58%:  computer science is also really boring
67.25%:  computer science is also really boring too
33.09%:  computer science is also really boring!
23.63%:  computer science is also pretty
41.16%:  computer science is also pretty boring
23.51%:  computer science being the
18.37%:  computer science is not
18.04%:  computer science isn
17.60%:  computer science is totally
26.00%:  computer science is totally boring
17.53%:  computer science is really boring!
16.98%:  computer science is really great
16.04%:  computer science is not really
14.44%:  computer science is pretty boring
14.32%:  computer science is like
32.71%:  computer science is like that!
13.46%:  computer science is also pretty boring too
11.50%:  computer science is boring
10.29%:  computer science is still
9.87%:  computer science is pretty boring too
9.65%:  computer science has
9.37%:  computer science is also pretty boring!
9.37%:  computer science is pretty great
9.25%:  computer science is totally boring too
8.87%:  computer science is a
11.87%:  computer science is a pretty
11.72%:  computer science is a pretty boring
8.92%:  computer science is a really
8.85%:  computer science is not all
8.41%:  computer science is a really boring
8.28%:  computer science being a
7.83%:  computer science is not entirely
7.67%:  computer science is probably
7.66%:  computer science is really boring if
7.65%:  computer science is really neat
7.46%:  computer science ner
7.39%:  computer science is really not
7.39%:  computer science is also pretty great
7.26%:  computer science is not the
7.15%:  computer science is pretty neat
7.14%:  computer science is boring too
7.00%:  computer science is also boring
6.52%:  computer science is a lot
16.41%:  computer science is a lot of other
11.68%:  computer science is a lot of other really
6.51%:  computer science is only
6.26%:  computer science is a lot of things
6.06%:  computer science is a lot of talking
6.05%:  computer science is really like
6.03%:  computer science being a largely
6.00%:  computer science is not the only area
8.06%:  computer science is not the only area of life
5.89%:  computer science is the
15.49%:  computer science is the only
5.79%:  computer science is a lot of really
9.11%:  computer science is a lot of really boring
10.14%:  computer science is a lot of really boring things
5.79%:  computer science is totally boring!
5.78%:  computer science is really the
5.66%:  computer scientist or
5.58%:  computer science is only one of the
5.57%:  computer science also
5.53%:  computer science is not for
5.36%:  computer science is like this
5.35%:  computer science is probably the greatest
5.28%:  computer science has been
5.17%:  computer science is totally boring in
5.11%:  computer science is really great!
5.06%:  computer science is really like that!
4.98%:  computer science is probably not
4.88%:  computer science is probably not for
4.84%:  computer science being the rational
4.71%:  computer science is also the
5.56%:  computer science is also the only
4.70%:  computer science is only one part
9.09%:  computer science is only one part of the
8.47%:  computer science is only one part of being
4.62%:  computer science is probably not going
4.61%:  computer science being the boring
3.97%:  computer science is nothing
6.60%:  computer science is nothing like
4.87%:  computer science is nothing like porn
3.97%:  as a computer scientist I keep
3.92%:  computer science is really a
13.03%:  computer science is really a lot of other
4.53%:  computer science is really a lot of boring
3.92%:  like most great
9.75%:  like most great things
4.49%:  like most great things in
4.53%:  like most great things in science
3.90%:  unlike other sciences
3.90%:  like many cool
7.66%:  like many cool things about
7.93%:  like many cool things about science
7.35%:  like many cool things in
6.66%:  like many cool things in life
4.95%:  like many cool things in science
3.88%:  computer science is a lot like
3.88%:  computer science is pretty boring too!
3.86%:  like most cool things about being
3.83%:  the computer science part of
3.79%:  before you go on thinking it
3.78%:  like all computer science fans
3.78%:  like all great stories
3.78%:  perhaps
3.77%:  before you go thinking it means
3.76%:  like all computer science theories are
3.75%:  like all computer science theories I present
3.74%:  computer science is really boring in
3.74%:  computer science has been like
3.74%:  like most things I say
3.74%:  like most theories about
3.71%:  before anyone
9.02%:  before anyone gets too upset
6.60%:  before anyone gets upset
4.27%:  before anyone gets their
3.71%:  computer science is really boring so
3.69%:  like all great computer science presents
3.67%:  before anyone gets their computer
3.67%:  like all computer science post
3.66%:  computer science is also pretty neat
3.66%:  computer science is only the
3.78%:  computer science is only the tip
3.65%:  perhaps more
3.60%:  computer science is the greatest
3.59%:  computer science being so
3.59%:  before you start thinking of becoming
3.58%:  like all things in
303.90%:  like all things in computer
6.12%:  like all things in computer science I
4.11%:  like all things in computer sciences
4.04%:  like all things in computer science or
3.58%:  unlike most things in science
3.58%:  before you start making copies of the porn
3.58%:  like all computer science stories before
3.57%:  computer science is a little
10.02%:  computer science is a little boring
3.57%:  like all computer science reports
3.56%:  it also
3.56%:  because of this property of
3.54%:  like all truth
3.53%:  before you go telling someone
4.05%:  before you go telling someone else
3.52%:  unlike the
3.51%:  like all computer science front
3.50%:  like many aspects of our
3.50%:  computer science is so
3.49%:  computer science is a little boring too
3.47%:  since computer storage is cheap
3.46%:  before you go making
14.35%:  before you go making copies
10.02%:  before you go making copies of that
8.41%:  before you go making copies of all
9.76%:  before you go making copies of all the
16.36%:  before you go making copies of all the porn
7.31%:  before you go making copies of all the internet
27.08%:  before you go making copies of all the internet porn
4.96%:  before you go making copies of that porn
3.51%:  before you go making copies of the
10.25%:  before you go making copies of the latest
3.45%:  computer scientist or no
3.43%:  before you start claiming
3.43%:  before you go telling the
5.97%:  before you go telling the internet
3.42%:  computer science is boring!
3.42%:  before you start pir
3.42%:  as computer
18.65%:  as computer scientist
13.68%:  as computer science goes
9.82%:  as computer science is largely
5.92%:  as computer science is often
4.89%:  as computer science is only
4.60%:  as computer science is the
4.46%:  as computer science is not
4.42%:  as computer science is really
4.41%:  as computer science is the only
4.01%:  as computer science itself
3.39%:  like many other
7.82%:  like many other aspects
20.17%:  like many other aspects of life
13.94%:  like many other aspects of our
6.95%:  like many other aspects of science
3.39%:  like all great computer science theories on
3.38%:  like all great things in
117.03%:  like all great things in computer
3.38%:  computer science is often
5.37%:  computer science is often boring
3.38%:  unlike myself
3.37%:  like many great
7.72%:  like many great things
3.35%:  before you go thinking I can
3.33%:  computer science IS
16.83%:  computer science IS really
9.87%:  computer science IS pretty
3.31%:  like many other aspects of our life
3.30%:  computer science is the only area
3.29%:  like all computer science t
3.29%:  like all computer science poetry
3.29%:  the computer science part is boring
3.27%:  like many things in life
3.27%:  computer science is not really like
3.26%:  before you mention this
3.23%:  unlike other forms
6.11%:  unlike other forms of logic
5.79%:  unlike other forms of science
4.61%:  unlike other forms of logical
3.23%:  like all computer secrets
3.22%:  as you
3.24%:  as you can tell
3.22%:  before you start thinking of me
3.20%:  computer science is not only
3.20%:  unlike most of
3.28%:  unlike most of the
3.20%:  computer science is really neat!
3.19%:  unlike most of the people
3.18%:  like most things in logic
3.17%:  computer science is still pretty
7.09%:  computer science is still pretty boring
3.17%:  computer science is totally like
3.17%:  unlike other aspects of my career
3.17%:  that
3.15%:  computer science is largely
3.14%:  like all computer science that
3.14%:  before you start making copies of things online
3.13%:  like all computer science theories on
3.13%:  before you thank me for all
3.12%:  like most cool things in real
3.12%:  like all computer sciences theories
3.11%:  it also makes
3.10%:  because I
3.10%:  more
3.10%:  as a computer engineer
3.08%:  as computer science is a
3.08%:  before you get all romantic
3.07%:  for
14.99%:  for instance
5.18%:  for some
3.08%:  for some reason people
10.77%:  for some reason people still
6.78%:  for some reason people still get
4.58%:  for some reason people still get angry
4.10%:  for some reason people still think
3.49%:  for some reason people still buy
3.29%:  for some reason people still continue
3.10%:  for some reason people still continue to fight
3.07%:  like most theories of
3.07%:  like most things I learn about science
3.07%:  unlike other forms of in
3.07%:  I guess it
3.07%:  computer science also tells
3.03%:  before you start getting
3.61%:  before you start getting all
3.03%:  before you start making copies for
3.02%:  before you go telling other
3.02%:  computer science is also pretty great!
3.01%:  come
3.09%:  come on!
3.00%:  like most cool facts about
3.00%:  computer science is also totally
13.98%:  computer science is also totally boring
4.93%:  computer science is also totally boring!
3.00%:  like most science
9.87%:  like most science fiction
2.99%:  computer science is often boring too
2.98%:  like all things computer science brings
3.64%:  like all things computer science brings to
2.98%:  as a computer scientist I prefer looking
2.98%:  like most aspects of the
2.97%:  before anyone gets their computer stolen
2.97%:  like all computer science notes
2.96%:  unlike most things people say to
2.94%:  like all computer science is often
2.94%:  because of the problems it
7.42%:  because of the problems it creates
3.60%:  because of the problems it creates for
2.94%:  computer science is all
2.93%:  before you think it
2.92%:  computer science is often like
5.84%:  computer science is often like this
2.92%:  unlike other cool
2.91%:  it also means I
2.91%:  like all aspects
32.84%:  like all aspects of computer theory
5.84%:  like all aspects of science
2.90%:  like all computer science is these
2.89%:  like all computer science say
2.89%:  because it
2.88%:  unlike other aspects of legal
2.88%:  computer science being as
2.87%:  yeah
2.87%:  computer science is really nothing
6.27%:  computer science is really nothing like
3.10%:  computer science is really nothing like porn
2.86%:  please keep
340.26%:  please keep it to yourself!
90.43%:  please keep it to yourself! I
59.33%:  please keep it to yourself for
31.80%:  please keep it to yourself for the
512.88%:  please keep it to yourself for the time being!
133.73%:  please keep it to yourself for the time being! I
12.04%:  please keep it to yourself for a bit
53.10%:  please keep it to yourself for a bit longer
18.70%:  please keep it to yourself for a bit longer!
11.44%:  please keep it to yourself so
24.94%:  please keep it to yourself so I can get
18.58%:  please keep it to yourself so I can become
35.07%:  please keep it to yourself so I can become rich!
15.17%:  please keep it to yourself so I can get rich
13.29%:  please keep it to yourself so I can get the
10.03%:  please keep it to yourself if
9.65%:  please keep it to yourself or
13.21%:  please keep it to yourself or else
19.37%:  please keep it to yourself or else I might
10.01%:  please keep it to yourself or I might
15.77%:  please keep it to yourself or I might lose
9.27%:  please keep it to yourself so I can get rich from
8.14%:  please keep it to yourself as
7.56%:  please keep it to yourself for the time being! I can
7.33%:  please keep it to yourself! I can
6.73%:  please keep it to yourself since
6.69%:  please keep it to yourself or else I might be
6.67%:  please keep it to yourself or else I might not
6.65%:  please keep it to yourself or I might get
6.62%:  please keep it to yourself so I can be
6.57%:  please keep it to yourself so I can get rich!
6.54%:  please keep it to yourself so I can become rich on
6.39%:  please keep it to yourself so that
6.20%:  please keep it to yourself or else I might get
5.68%:  please keep it to yourself for a bit longer! I
5.06%:  please keep it to yourself so I can be the cool
4.59%:  please keep it to yourself! I mean
4.57%:  please keep it to yourself so I can become the
4.46%:  please keep it to yourself in
18.58%:  please keep it to yourself in case I become
14.02%:  please keep it to yourself in case I get
5.95%:  please keep it to yourself in case the
5.52%:  please keep it to yourself in case I forget
4.39%:  please keep it to yourself in case I become rich
4.38%:  please keep it to yourself as it
4.35%:  please keep it to yourself for the rest
4.23%:  please keep it to yourself so I can get rich from being
4.22%:  please keep it to yourself! I hate
4.89%:  please keep it to yourself! I hate being
4.20%:  please keep it secret
4.20%:  please keep it to yourself that
4.17%:  please keep it to yourself! I might
4.17%:  please keep it to yourself or I might be
4.03%:  please keep it to yourself so I can get more
3.67%:  please keep it to yourself for the time being as
3.59%:  please keep it to yourself for right
3.29%:  please keep it to yourself for the time being so
3.28%:  please keep it to yourself or else the
3.25%:  please keep it to yourself for another
3.24%:  please keep it to yourself in case I get into
3.24%:  please keep it to your
3.19%:  please keep it to yourself so I can be right
3.19%:  please keep this
3.13%:  please keep it to yourself so I can become richer
3.03%:  please keep it to yourself so I can become rich being
3.03%:  please keep it to yourself or the
2.96%:  please keep it to yourself so I can become rich in
2.91%:  please keep it to yourself! I am
2.89%:  please keep it to yourself so I can become rich on it
2.86%:  I mean
2.86%:  speaking
4.61%:  speaking of computer
4.51%:  speaking of numbers
4.18%:  speaking of cool
7.09%:  speaking of cool things
2.85%:  please keep it to yourself for a bit!
2.85%:  in the
3.39%:  in the interest
60.74%:  in the interest of full
15.09%:  in the interest of keeping
9.55%:  in the interest of keeping computer
11.30%:  in the interest of keeping computer science a
7.31%:  in the interest of keeping our
6.68%:  in the interest of keeping computer science as
6.60%:  in the interest of complete
5.98%:  in the interest of public
5.30%:  in the interest of not
7.42%:  in the interest of not breaking
6.09%:  in the interest of not becoming
4.82%:  in the interest of keeping your
5.65%:  in the interest of keeping your respect
4.64%:  in the interest of keeping you
4.48%:  in the interest of keeping my
4.36%:  in the interest of keeping you from
4.33%:  in the interest of not being
4.00%:  in the interest of making
3.79%:  in the interest of keeping my personal
3.56%:  in the interest of not boring
11.83%:  in the interest of not boring people
3.51%:  in the interest of time
3.32%:  in the interest of not making
8.84%:  in the interest of not making people
3.38%:  in the interest of not making people feel
3.00%:  in the interest of computer
2.95%:  in the interest of keeping computer science S
2.84%:  like all computer science is pretty
11.63%:  like all computer science is pretty boring
2.83%:  like most things people
2.83%:  like many great truth
2.83%:  unlike most other legal
5.66%:  unlike most other legal concepts
2.83%:  before you start calling people
2.83%:  before you start making porn
2.82%:  before you become
2.82%:  like all computer science points of
2.82%:  like all computer facts
2.81%:  before you start looking into
2.81%:  like most things in our
4.06%:  like most things in our society
2.81%:  I think it
2.80%:  I suppose
2.80%:  for the
11.65%:  for the purposes
6.03%:  for the purposes of my
4.82%:  for the sake
14.70%:  for the sake of argument only
6.45%:  for the sake of argument let
4.56%:  for the purposes of making
4.44%:  for the sake of society
3.95%:  for the purposes of legal
3.61%:  for the purposes of creating
3.26%:  for the purposes of science
2.88%:  for the purposes of legal action
2.88%:  for the sake of computer
5.13%:  for the sake of computer science alone
4.00%:  for the sake of computer science only
3.95%:  for the sake of computer science being
6.10%:  for the sake of computer science being able
2.79%:  computer science is only the first
2.79%:  like all things computer science is pretty
2.78%:  like all computer science in the
2.77%:  for the sake of your
2.77%:  the computer scientist life isn
2.77%:  as a computer scientist I prefer to be cool in
2.76%:  computer science being the only
2.76%:  please keep it to yourself so I can become rich for
8.21%:  please keep it to yourself so I can become rich for being
2.76%:  unlike most other aspects of legal
2.75%:  like all computer science is pretty boring too
2.75%:  in the interest of keeping you from being
2.74%:  it also means you
2.74%:  computer science is really great too! I
2.73%:  before you go breaking
4.58%:  before you go breaking into
3.24%:  before you go breaking into people
3.07%:  before you go breaking the
2.72%:  like most great theories
2.72%:  computer science is a pretty boring thing
2.71%:  like all aspects of the
14.85%:  like all aspects of the computer
2.71%:  in the interest of being
2.70%:  as a computer scientist I think
2.70%:  like all great things in science
2.70%:  like many things I
2.68%:  computer science is really neat too! I
2.67%:  before you go telling other folks
2.66%:  please keep it to yourself so I can get rich on
2.66%:  unlike other forms of legal
2.65%:  but
2.65%:  the computer science is probably
2.65%:  like all theories
2.65%:  as a computer scientist I feel it
2.64%:  like all great computer science poetry
2.64%:  like all computer science pione
21.85%:  like all computer science pioneers before
2.64%:  like all computer science stories there
2.63%:  computer science is a lot of boring
3.37%:  computer science is a lot of boring things
2.61%:  computer science is not a
2.61%:  unlike most cool theories
2.61%:  computer science is probably the least
2.60%:  as a computer scientist I regret
2.59%:  computer science is like this too
2.58%:  please keep it to yourself for the time being so I can br
2.58%:  like most aspects of reality
2.58%:  before you go making copies of the entire
21.21%:  before you go making copies of the entire contents
2.57%:  unlike other aspects of logic
2.57%:  unlike most cool facts
2.57%:  to be clear
2.57%:  before you go making copies of this
2.57%:  computer science is often really
14.05%:  computer science is often really boring
21.35%:  computer science is often really boring too
3.66%:  computer science is often really boring!
2.57%:  please keep it to yourself so I can be the one
2.56%:  unlike other aspects of my personal being
2.56%:  computer science is also boring!
2.56%:  before you go breaking into the
2.55%:  computer science being an
2.55%:  for the purposes of getting
2.55%:  unlike many
7.76%:  unlike many other
18.55%:  unlike many other aspects
65.74%:  unlike many other aspects of life
12.77%:  unlike many other aspects of science
6.63%:  unlike many other people
6.22%:  unlike many other cool
5.10%:  unlike many things
4.98%:  unlike many other aspects of being
3.90%:  unlike many people
3.76%:  unlike many other aspects of logic
3.37%:  unlike many other logical
2.55%:  please keep it to yourself so I can get rich being
2.54%:  like most things in real
2.54%:  in the interest of being complete
2.53%:  please keep this secret
2.53%:  please keep it to yourself in case there
2.52%:  before you start making copies of other
2.52%:  like all computer science theories not
2.52%:  like all great computer science stories of
2.52%:  before you steal
2.51%:  I still
2.51%:  like many great theories
2.51%:  as computer science gets
4.25%:  as computer science gets better
2.51%:  computer science is probably not going to take
2.50%:  like all things computer science!
2.50%:  the computer science part of it
2.50%:  for the sake of our
7.18%:  for the sake of our economy
5.40%:  for the sake of our society
2.50%:  unlike other people
2.50%:  before you start making pir
2.50%:  in the interest of not looking
2.49%:  for the sake of our economic
2.49%:  like all computer science stories that
3.50%:  like all computer science stories that begin
2.49%:  as you can tell from
2.49%:  like all computer science bits of
2.49%:  please keep it to yourself in case I get in
2.48%:  before you start thinking of becoming a pir
2.47%:  before you start creating
2.47%:  computer science is also like
2.47%:  for some strange
2.45%:  in the interest of keeping myself
2.88%:  in the interest of keeping myself out
2.45%:  like all computer science this
2.45%:  as a computer scientist I prefer the
2.45%:  unlike most of the rest
3.92%:  unlike most of the rest of science
2.44%:  computer science is really a lot of boring things
2.43%:  computer science IS really boring
2.43%:  please keep it to yourself or I might not
2.43%:  since you
2.43%:  the computer scientist can
2.42%:  like all computer science parties
2.42%:  like most cool stories
2.42%:  like all great computer science opinions
2.42%:  unlike other forms of art
2.42%:  u
2.41%:  speaking of computer science!
2.40%:  please keep it secret because
2.40%:  there are
3.91%:  there are problems
2.69%:  there are some
3.83%:  there are some people
2.39%:  like all computer science g
4.64%:  like all computer science gossip
2.39%:  for some reason people still argue
2.38%:  unlike many other legal
6.46%:  unlike many other legal concepts
2.38%:  because of the economic
6.10%:  because of the economic benefits
2.38%:  as computer science is pretty
2.38%:  like all computer science things it
2.37%:  computer science is really boring to
2.37%:  like all computer science stories they
2.37%:  like all computer science theories of art
2.37%:  it only
19.48%:  it only applies
45.41%:  it only applies to numbers
52.76%:  it only applies to numbers greater
47.12%:  it only applies to numbers longer
21.11%:  it only applies to numbers bigger
22.77%:  it only applies to numbers bigger than one
10.77%:  it only applies to numbers larger
8.95%:  it only applies to numbers of
17.28%:  it only applies to numbers of length
25.78%:  it only applies to numbers of length greater
8.35%:  it only applies to numbers bigger than one!
6.37%:  it only applies to the
5.79%:  it only applies to music
4.51%:  it only applies to things
4.89%:  it only applies to things like
23.64%:  it only applies to things like numbers
4.39%:  it only applies to number
3.88%:  it only applies to one
3.79%:  it only applies if
3.55%:  it only applies to numbers like
3.34%:  it only applies to numbers that
2.94%:  it only applies to machines
2.93%:  it only applies to the number
3.11%:  it only applies to the number of
2.65%:  it only applies if someone
2.58%:  it only applies to numbers of length one
2.55%:  it only applies to numbers!
2.52%:  it only applies to regular
2.48%:  it only applies to stuff
2.47%:  it only applies to one song
2.36%:  in the interest of keeping you from losing
3.24%:  in the interest of keeping you from losing respect
2.36%:  you can still get in
2.36%:  unlike most aspects
4.05%:  unlike most aspects of life
2.34%:  before you call
2.34%:  like all computer science par
2.34%:  like all great computer science pione
2.33%:  before you start looking at
2.33%:  before you mention it to
2.33%:  let
2.32%:  please keep it to yourself! I feel
2.32%:  before you start looking for the
2.32%:  unlike most other aspects of logic
2.32%:  for some reason people still fight
3.59%:  for some reason people still fight about it!
2.31%:  before you can
2.31%:  because of that
2.31%:  like all computer science pro
2.31%:  like all aspects of my
2.30%:  in the interest of keeping you from calling
2.30%:  in the interest of public mor
2.30%:  I guess that
2.30%:  for the sake of my
3.68%:  for the sake of my career
2.30%:  for some reason people continue
3.03%:  for some reason people continue to fight
2.29%:  it makes
2.29%:  before you start looking for lo
2.28%:  like all things computer science is not
2.27%:  like all computer science it
2.27%:  like most cool stuff in
4.93%:  like most cool stuff in science
2.27%:  also
2.27%:  like all computer science posts
2.27%:  before you go thinking science
4.55%:  before you go thinking science is perfect
2.27%:  unlike many other cool concepts
2.26%:  computer science is really boring too! I
2.26%:  you can imagine
2.25%:  unlike most science
2.25%:  as computer science is pretty boring
2.25%:  as computer science is often the
2.25%:  before you go telling other people I
2.24%:  like all great secrets
2.24%:  computer science has bigger
2.24%:  computer science is great
2.39%:  computer science is great too
2.24%:  as a computer scientist looking to
2.24%:  computer science is really a lot of things
2.24%:  computer science is probably not going to take off
2.24%:  computer science is like that too
2.23%:  like all computer science phrases
2.23%:  frank
2.23%:  please keep it to yourself! I might be
6.04%:  please keep it to yourself! I might be able
3.17%:  please keep it to yourself! I might be able to corner
2.21%:  as computer science is one
