means that not all dreams can come true!)
      0 100.00%: 
      1 185.90%:  rules
    170 0.92%:  tells me that dreams cannot
    171 0.59%:  succeed
    172 0.58%:  lets me
    173 0.58%:  has so
    174 0.58%:  tells me that)
    175 0.57%:  tells us that no
    176 0.57%:  has a
    177 0.57%:  and math
    178 0.57%:  returns
    179 0.56%:  tells me that dreams are not
    180 0.56%:  and common sense)
    181 0.56%:  means more to us
    182 0.85%:  means more to us than mere
    183 0.55%:  also means
    184 0.60%:  also means that
    185 0.55%:  scholars
    186 0.55%:  has no more
    187 0.54%:  rules the land
    188 0.54%:  can sure
    189 0.54%:  made
    190 0.53%:  and romance are the
    191 1.09%:  and romance are the same
    192 0.52%:  teaches us all!)
    193 0.52%:  rules are
    194 0.50%:  means that
    195 0.49%:  reasons are
    196 0.49%:  and romance are the same!)
    197 0.49%:  tells us the
    198 0.49%:  shouldn
    199 0.48%:  needs to come
    200 0.48%:  tells us that)
    201 0.47%:  has rules
    202 0.47%:  means more to me than actual
    203 0.47%:  not
    204 0.46%:  does rule
    205 0.46%:  tells us that one
    206 1.45%:  tells us that one cannot
    207 0.46%:  rules hard!)
    208 0.46%:  teaches us not to let
    209 0.46%:  has not
    210 1.12%:  has not let
    211 0.46%:  tells us that once
    212 0.46%:  means more to me then
    213 0.45%:  has done me real
    214 0.45%:  creates
    215 0.45%:  and reason are the same
    216 0.45%:  could
    217 0.45%:  has caused
    218 0.96%:  has caused me more
    219 0.44%:  one
    220 0.44%:  must not
    221 0.44%:  has ro
    222 0.44%:  means more to me than a state
    223 0.44%:  has made me so
    224 0.44%:  has controlled
    225 0.44%:  alone cannot
    226 0.43%:  destro
    227 0.42%:  rules at
    228 0.42%:  teaches us to dream no
    229 0.42%:  sure has made
    230 0.42%:  starts
    231 0.42%:  teacher
    232 0.42%:  has let us
    233 0.41%:  has made me more
    234 0.41%:  class
    235 0.41%:  related
    236 0.41%:  means a lot to me)!
    237 0.40%:  also rules!)
    238 0.40%:  rule!)
    239 0.39%:  teaches us to deal
    240 0.39%:  can tell
    241 0.42%:  can tell us so
    242 0.39%:  lets us learn
    243 0.39%:  teaches us a
    244 1.28%:  teaches us a lot!)
    245 0.40%:  teaches us a lot more
    246 0.39%:  means more to me than all
    247 0.39%:  teaches me!)
    248 0.39%:  touches
    249 0.38%:  rules as
    250 0.38%:  can do that!)
    251 0.38%:  scholars!)
    252 0.37%:  means a lot to us)
    253 0.37%:  means so much to me and all
    254 0.37%:  teaches us not to create
    255 0.36%:  has rules!)
    256 0.36%:  reduces
    257 0.36%:  students!
    258 0.36%:  teaches us to treat
    259 0.36%:  means so much more!)
    260 0.36%:  sol
    261 0.35%:  teachers don
    262 0.35%:  teaches me to dream
    263 2.36%:  teaches me to dream small
    264 0.37%:  teaches me to dream small)
    265 0.35%:  tells us that a
    266 0.35%:  has made me lose
    267 0.35%:  stands
    268 0.49%:  stands alone
    269 0.35%:  
    270 0.34%:  has made me a lot
    271 0.34%:  marches on and
    272 0.48%:  marches on and on!)
    273 0.34%:  also doesn
    274 0.34%:  has cancelled
    275 0.34%:  that could
    276 0.34%:  has returned
    277 0.34%:  and common sense are all that matter)
    278 0.34%:  let
    279 0.34%:  students!)
    280 0.34%:  name
    281 0.33%:  does rule the
    282 0.33%:  teaches us not to dream)
    283 0.33%:  teaches us to dream!)
    284 0.33%:  teaches us to do
    285 0.33%:  does not let
    286 0.33%:  does not care that
    287 0.33%:  can rule
    288 0.33%:  tends
    289 0.33%:  means more to me than un
    290 0.33%:  research
    291 0.33%:  sure does
    292 0.32%:  tells us that one can
    293 0.32%:  sure comes
    294 0.32%:  teachers!
    295 0.32%:  sure does come
    296 0.32%:  has done a
    297 0.32%:  does that all
    298 0.32%:  and reason are the last
    299 0.32%:  and reason are not
    300 0.31%:  and romance are not
    301 0.63%:  and romance are not mut
    302 0.48%:  and romance are not the
    303 2.01%:  and romance are not the same!)
    304 0.31%:  tells me there
    305 0.31%:  has once
    306 0.31%:  readers
    307 0.31%: ) rules
    308 0.31%:  tr
    309 0.31%:  almost
    310 0.31%:  and reason are all
    311 0.41%:  and reason are all that
    312 0.31%:  shall
    313 0.31%:  has done more
    314 0.31%:  names
    315 0.31%:  means more to me than an actual
    316 0.31%:  controls
    317 0.31%:  has sure
    318 0.31%:  has some real
    319 0.31%:  means a lot around
    320 0.87%:  means a lot around here)
    321 0.31%:  and romance are the same to
    322 0.30%:  means a lot to me!
    323 0.30%:  has come to
    324 0.36%:  has come to mean
    325 0.30%:  lesson learned
    326 0.30%:  has made me some
    327 0.30%:  teaches us not to)
    328 0.30%:  means more to me than real
    329 0.30%:  teaches us to learn
    330 0.29%:  teaches us to create
    331 0.29%:  calls
    332 0.29%:  has made me a los
    333 0.61%:  has made me a loser!)
    334 0.29%:  alone has
    335 0.29%:  sounds
    336 0.29%:  here
    337 0.38%:  here means
    338 0.29%:  started
    339 0.29%:  and other
    340 0.29%:  rules more
    341 0.67%:  rules more than most
    342 0.41%:  rules more than most!)
    343 0.38%:  rules more than once
    344 0.29%:  tells us that!)
    345 0.29%:  and romance are not the same)
    346 0.29%:  holds no
    347 0.28%:  means the
    348 0.30%:  means the same
    349 0.28%:  cannot tell
    350 0.27%:  has done so
    351 0.27%:  users
    352 0.27%:  does not mean
    353 0.27%:  cannot tell me
    354 0.27%:  teaches us to care
    355 0.27%:  means a lot to me and the
    356 0.27%:  can do that to a man)
    357 0.27%:  teaches me not
    358 1.94%:  teaches me not to dream
    359 0.27%:  means a lot around these
    360 0.26%:  has lots
    361 0.26%:  to
    362 23.31%:  to the rescue once
    363 2.13%:  to the rescue)
    364 1.60%:  to the rescue!
    365 0.52%:  to the rescue as
    366 0.39%:  to the rescue)!
    367 0.31%:  to the second
    368 0.26%:  cannot and
    369 0.26%:  as
    370 0.26%:  teaches me so
    371 0.26%:  does the
    372 0.58%:  does the same
    373 0.26%:  rules are the
    374 0.26%:  tells us that an
    375 0.26%:  has made me a man
    376 0.26%:  does not let me
    377 0.26%:  needs some
    378 0.26%:  rules on
    379 0.26%:  tells me that some
    380 0.26%:  has earned
    381 0.25%:  and romance!)
    382 0.25%:  has made me an
    383 0.25%:  tells me!)
    384 0.25%:  sure has let
    385 0.25%:  and common sense are at
    386 0.25%:  means a lot more
    387 0.37%:  means a lot more than
    388 0.25%:  and me
    389 0.25%:  cannot tell us
    390 0.25%:  rules! )
    391 0.25%:  has a lot more
    392 0.25%:  has stolen one
    393 0.25%:  cannot toler
    394 1.45%:  cannot tolerate such
    395 0.76%:  cannot tolerate the
    396 0.74%:  cannot tolerate these
    397 0.25%:  means more to me than accurate
    398 0.25%:  marched
    399 0.25%:  has created
    400 0.25%:  schools
    401 0.25%:  returns to
    402 0.24%:  can tell me
    403 0.24%:  los
    404 0.34%:  loses another
    405 0.24%:  has sure made
    406 0.24%:  teaches us all)
    407 0.24%:  lets us learn more
    408 0.24%:  turns me
    409 0.24%:  and common sense are a
    410 0.23%:  has closed
    411 0.23%:  cannot let
    412 0.23%:  leads
    413 0.28%:  leads to truth
    414 0.23%:  loses!)
    415 0.23%:  has started
    416 0.24%:  has started to let
    417 0.23%:  dates
    418 0.23%:  had
    419 0.23%:  has earned me some
    420 0.23%:  means more to me than a set
    421 0.22%:  has done me a
    422 0.22%:  and common sense are a match
    423 0.22%:  has made me a lot more
    424 0.22%:  and math are not
    425 0.22%:  sle
    426 0.22%:  rule three
    427 0.22%:  tells me that dreams come
    428 0.22%:  rules at least
    429 0.22%:  students are
    430 0.21%:  has come a
    431 0.21%:  means so much to a
    432 0.21%:  means a lot to me and there
    433 0.21%:  has almost
    434 0.21%:  tells us that mort
    435 0.21%:  h
    436 1.92%:  hates me!)
    437 0.50%:  hates us
    438 0.72%:  hates us all)
    439 0.21%:  tells us that to
    440 0.21%:  rules the most
    441 0.21%:  means truth
    442 0.21%:  cannot demonstrate
    443 0.21%:  rule the
    444 0.21%:  matters more
    445 0.21%:  lets us learn more than
    446 0.21%:  can do some
    447 0.21%:  does not tell
    448 0.20%:  that sounds
    449 0.20%:  and reason!)
    450 0.20%:  has sure let
    451 0.20%:  meets
    452 0.20%:  sm
    453 0.48%:  smells
    454 0.38%:  smarter
    455 1.38%:  smarter than me
    456 0.89%:  smarter than me!)
    457 0.87%:  smarter than us
    458 0.48%:  smarter than us!)
    459 0.20%:  smashed
    460 0.20%:  out
    461 0.20%:  rules the roost at
    462 0.20%:  reasons)
    463 0.20%:  teaches me not to dream)
    464 0.20%:  teaches us to treat all
    465 0.20%:  has done me more
    466 0.20%:  rule one!)
    467 0.20%:  does that to a
    468 0.20%:  teaches us to dream real
    469 0.20%:  needs to learn
    470 0.28%:  needs to learn more
    471 0.20%:  teachers!)
    472 0.20%:  teachers call
    473 0.20%:  has done some
    474 0.20%:  does the same to me)
    475 0.20%:  nerds are
    476 0.41%:  nerds are the
    477 0.20%:  teaches us to dream no matter
    478 0.20%:  has made me a loser at
    479 0.20%:  has made a
    480 0.20%:  tells us to
    481 0.20%:  tells me so much
    482 0.20%:  teachers can
    483 0.20%:  has to
    484 0.20%:  should learn
    485 0.19%:  has not let us
    486 0.19%:  has lost
    487 0.19%:  cannot tolerate such trans
    488 0.19%:  does not tell us that
    489 0.19%:  demonstr
    490 4.04%:  demonstrates that
    491 1.79%:  demonstrates that)
    492 1.42%:  demonstrates the
    493 0.45%:  demonstrates that all
    494 0.41%:  demonstrates that our
    495 0.25%:  demonstrates the true
    496 0.23%:  demonstrates that one
    497 0.19%:  tells me that!)
    498 0.19%:  teaches tolerance
    499 0.19%:  and truth
    500 0.26%:  and truth are not
    501 0.22%:  and truth are one
    502 0.19%:  rules eternal
    503 0.19%:  tells us that not
    504 0.19%:  has ruled me
    505 0.19%:  consult
    506 0.54%:  consultants are
    507 0.20%:  consultants are the
    508 0.19%:  smarter than me)
    509 0.19%:  means more to me than a casual
    510 0.19%:  sure has done
    511 0.19%:  means a lot to us here!)
    512 0.19%:  does that to a man)
    513 0.19%:  tells me that dreams can
    514 0.56%:  tells me that dreams can come
    515 0.19%:  smells!)
    516 0.19%:  teaches me to dream no
    517 0.19%:  can rule!)
    518 0.19%:  names are
    519 0.18%:  means a lot to us at
    520 0.18%:  teaches us all not
    521 0.18%:  created
    522 0.18%:  has come to me
    523 0.18%:  teacher!)
    524 0.18%:  and romance are the same)
    525 0.18%:  has also made me late
    526 0.18%:  has come close
    527 0.18%:  has cost
    528 0.20%:  has cost me more
    529 0.18%:  cannot tolerate such a
    530 0.18%:  has made me cool
    531 0.18%:  and research
    532 0.18%:  uses
    533 0.21%:  uses the
    534 0.18%:  alone can
    535 0.18%:  teaches us all a
    536 0.18%:  has made me a monster
    537 0.18%:  and common sense tell
    538 0.18%:  does a
    539 0.18%:  seems to come
    540 0.18%:  rules that one
    541 0.18%:  and all
    542 0.32%:  and all that)
    543 0.28%:  and all that!)
    544 0.18%:  marched to
    545 0.18%:  rules at least three
    546 0.18%:  does not rule
    547 0.18%:  and common sense are each
    548 0.18%:  that comes
    549 0.18%:  rules me
    550 0.18%:  reason
    551 0.18%:  starts to
    552 0.17%:  turned
    553 0.17%:  che
    554 0.17%:  rules at least one
    555 0.17%:  results
    556 0.17%:  alone!)
    557 0.17%:  could learn
    558 0.17%:  rules so hard!
    559 0.17%:  used
    560 0.17%:  that cannot
    561 0.17%:  made another
    562 0.17%:  rules on that
    563 0.17%:  tells us there can
    564 0.17%:  rules too
    565 0.17%:  teaches me to reason
    566 0.17%:  has made me almost
    567 0.17%:  means more to me than natural
    568 0.17%:  needs me
    569 0.17%:  cannot tolerate the un
    570 0.19%:  cannot tolerate the unreal
    571 0.17%:  tells me that someone
    572 0.17%:  has restored
    573 0.17%:  and common sense are much
    574 0.17%:  called
    575 0.17%:  reasons that
    576 0.16%:  and reason are the same!)
    577 0.16%:  has rules and
    578 0.16%:  tells the
    579 0.16%:  rules at the
    580 0.16%:  tells me so much!)
    581 0.16%:  nerds are the most
    582 0.16%:  came
    583 0.16%:  that can
    584 0.16%:  on
    585 0.16%:  needs to learn some
    586 0.16%:  and common sense tell me that)
    587 0.16%:  means a lot to me here
    588 0.16%:  rule)
    589 0.16%:  does some
    590 0.16%:  rules at least once
    591 0.16%:  causes
    592 0.16%:  alone has made
    593 0.16%:  does not care!)
    594 0.16%:  has made me a more
    595 0.16%:  can tell me that
    596 0.16%:  teaches us not all
    597 0.16%:  means more to me!)
    598 0.16%:  means a lot!)
    599 0.16%:  rules at least one more
    600 0.16%:  does come
    601 0.15%:  has told
    602 0.18%:  has told me so
    603 0.15%:  has created a
    604 0.15%:  rules at the moment
    605 0.15%:  shall not
    606 0.15%:  does that to us all)
    607 0.15%:  means more to me than a natural
    608 0.15%:  nerds!
    609 0.15%:  leads us
    610 0.15%:  related to
    611 0.15%:  rules one
    612 0.15%:  means so much to all
    613 0.15%:  must come
    614 0.15%:  does that a
    615 0.39%:  does that a lot)
    616 0.32%:  does that a lot!)
    617 0.15%:  has called
    618 0.15%:  comm
    619 0.89%:  commences
    620 0.28%:  commeth
    621 0.15%:  commeth!)
    622 0.15%:  reduces the
    623 0.15%:  smells)
    624 0.15%:  rules the land)
    625 0.15%:  hasn
    626 0.15%:  has sure come
    627 0.15%:  demonstrates that a
    628 0.15%:  rules as hard
    629 0.15%:  does rule the ro
    630 0.15%:  dates me
    631 0.15%:  cannot tolerate the unsc
    632 0.15%:  rules al
    633 0.15%:  has rules)
    634 0.15%:  rules more!)
    635 0.15%:  so
    636 0.31%:  so rules
    637 0.15%:  once
    638 0.15%:  here stands
    639 0.15%:  under
    640 0.15%:  means a lot to me and has
    641 0.15%:  tends to rule
    642 0.15%:  can also rule
    643 0.14%:  has a lot to learn
    644 0.14%:  tells no
    645 0.14%:  does let
    646 0.14%:  and common sense are all that matter!
    647 0.14%:  also has
    648 0.14%:  does let us
    649 0.14%:  has led
    650 0.64%:  has led me ast
    651 0.54%:  has led me to some
    652 0.14%:  and the real
    653 0.14%:  tells me no
    654 0.14%:  has caused me no
    655 0.14%:  sh
    656 0.48%:  shattered
    657 0.48%:  shattered once
    658 1.35%:  shattered once more
    659 0.18%:  shattered once more)
    660 0.14%:  shattered!)
    661 0.14%:  too
    662 0.14%:  controls the
    663 0.14%:  creates the
    664 0.14%:  ru
    665 0.14%:  teachers need
    666 0.14%:  means research
    667 0.14%:  teaches us mod
    668 0.14%:  and reason are the same to
    669 0.14%:  student
    670 0.14%:  does that!)
    671 0.14%:  has done me some
    672 0.14%:  came close
    673 0.14%:  means more to me than caus
    674 0.14%:  teaches us not to dance
    675 0.14%:  teaches us to not
    676 0.14%:  starts here
    677 0.14%:  means so much to a man)
    678 0.14%:  schools are
    679 0.14%:  should start
    680 0.13%:  constructed
    681 0.13%:  tells me the
    682 0.13%:  has cost me a
    683 0.13%:  tells us!)
    684 0.13%:  users!)
    685 0.13%:  and all her
    686 0.13%:  means a lot to me and the rest
    687 0.13%:  also leads
    688 0.13%:  theme
    689 0.13%:  and reason are not the
    690 0.15%:  and reason are not the same!)
    691 0.13%:  alone has made me a
    692 0.13%:  can do no
    693 0.13%:  tells us that cannot
    694 0.13%:  tells us that dream
    695 0.13%:  ensures that)
    696 0.13%:  has also made me more
    697 0.13%:  marches rel
    698 0.13%:  sure has made me a
    699 0.30%:  sure has made me a lot
    700 0.33%:  sure has made me a lot more
    701 0.13%:  tells us that no one
    702 0.13%:  rules hearts
    703 0.13%:  let us
    704 0.13%:  couldn
    705 0.13%:  and romance are the last
    706 0.13%:  teaches us all one
    707 0.13%:  cannot stand
    708 0.13%:  smarter than us all
    709 0.13%:  has made me seem
    710 0.13%:  returns the
    711 0.13%:  tells me to
    712 0.13%:  has made me some real
    713 0.13%:  names are hard
    714 0.13%:  teaches me not to eat
    715 0.13%:  has made me a real
    716 0.13%:  has made me a more accurate
    717 0.13%:  cheers
    718 0.13%:  as a
    719 0.12%:  sch
    720 0.12%:  marched on
    721 0.12%:  tells me)
    722 0.12%:  to the rescue and
    723 0.12%:  and reason are so
    724 0.12%:  at
    725 0.23%:  at least
    726 0.22%:  at the
    727 0.20%:  at least lets
    728 0.12%:  has stolen me
    729 0.12%:  has resulted
    730 0.12%:  has made me a loser)
    731 0.12%:  has made us
    732 0.12%:  cannot tell me that
    733 0.12%:  sure has a
    734 0.41%:  sure has a lot to
    735 0.12%:  has no real
    736 0.12%:  rules are so
    737 0.12%:  teaches us all not to dream
    738 0.12%:  has ruled me once
    739 0.12%:  has ruled me once more
    740 0.12%:  has stolen a
    741 0.12%:  rules hard)
    742 0.12%:  causes me
    743 0.12%:  rules are the most
    744 0.12%:  and common sense are real
    745 0.12%:  as the
    746 0.12%:  has so let
    747 0.12%:  that contrad
    748 0.12%:  and real
    749 0.12%:  rules etern
    750 0.12%:  means so much to meee
    751 0.12%:  means a lot to a
    752 0.24%:  means a lot to a man
    753 0.18%:  means a lot to a man!)
    754 0.12%:  and romance are not that
    755 0.12%:  controls us
    756 0.12%:  nerds are the cool
    757 0.19%:  nerds are the coolest)
    758 0.12%:  needs me!)
    759 0.12%:  tells us not
    760 0.15%:  tells us not to eat
    761 0.12%:  humor
    762 0.12%:  leads us to the
    763 0.21%:  leads us to the correct
    764 0.12%:  rules these
    765 0.12%:  and accurate
    766 0.12%:  means more to us than a
    767 0.12%:  rules once more)
    768 0.12%:  does such
    769 0.12%:  has made me cooler
    770 0.12%:  tells me not
    771 0.12%:  ensures the
    772 0.12%:  tells us the correct
    773 0.12%:  as a method
    774 0.12%:  marches!)
    775 0.12%:  that needs
    776 0.12%:  teaches us not to med
    777 0.12%:  has stolen one dream
    778 0.12%:  tells us not to dream
    779 0.12%:  rules the most)
    780 0.11%: )!
    781 0.11%:  to the rescue and all
    782 0.11%:  means a lot to me as
    783 0.11%:  cannot tolerate a
    784 0.11%:  to the rescue once and
    785 0.11%:  has done a real
    786 0.11%:  means more to me each
    787 0.11%:  at the core
    788 0.11%:  smarter than us all)
    789 0.11%:  has made me come
    790 0.11%:  should come
    791 0.11%:  does not mean that
    792 0.11%:  tells me that one
    793 0.11%:  cheer
    794 0.11%:  and romance are the closest
    795 0.11%:  and the arts
    796 0.15%:  and the arts are
    797 0.11%:  creates some
    798 0.11%:  has caused me a
    799 0.11%:  reduces all
    800 0.11%:  rules the roost and
    801 0.11%:  and reason!
    802 0.11%:  can do so
    803 0.28%:  can do so much!)
    804 0.11%:  nerds un
    805 0.11%:  creates more
    806 0.11%:  does that to me real
    807 0.11%:  and common sense rule!
    808 0.11%:  tells me that dreams aren
    809 0.11%:  has earned me more
    810 0.11%:  teaches us all to dream more
    811 0.11%:  that leads
    812 0.11%:  holds a
    813 0.16%:  holds a lot
    814 0.11%:  on the road
    815 0.11%:  denotes
    816 0.11%:  and all the
    817 0.11%:  has dealt
    818 0.30%:  has dealt me some
    819 0.13%:  has dealt me some real
    820 0.11%:  has dealt me a lot
    821 0.11%:  touches all
    822 0.11%:  made the
    823 0.11%:  does the same!)
    824 0.11%:  and romance are not the same!
    825 0.11%:  rules the roost!
    826 0.11%:  to the)
    827 0.11%:  tells me no!)
    828 0.11%:  smarter!)
    829 0.11%:  matters to
    830 0.23%:  matters to me!)
    831 0.11%:  attract
    832 0.11%:  marched out
    833 0.11%:  hands
    834 0.11%:  teaches us not to care
    835 0.11%:  and common sense are 
    836 0.11%:  teachers must
    837 0.11%:  can teach
    838 0.53%:  can teach us a lot!)
    839 0.27%:  can teach us so
    840 0.20%:  can teach us all
    841 0.11%:  can teach us a lot)
    842 0.11%:  related comments
    843 0.11%:  cannot create
    844 0.10%:  has done me so
    845 0.10%:  also destro
    846 0.10%:  men
    847 0.10%:  scholars!
    848 0.10%:  means more to me than star
    849 0.10%:  has no role
    850 0.10%:  tells me that means
    851 0.10%:  cannot handle
    852 0.10%:  teaches us to learn and
    853 0.10%:  created me
    854 0.10%:  end
    855 0.36%:  endorses the
    856 0.16%:  endorses me
    857 0.12%:  endorses me!)
    858 0.10%:  marches on un
    859 0.10%:  statement
    860 0.10%:  and romance are the same!
    861 0.10%:  attracts me!)
    862 0.10%:  has set
    863 0.10%:  school
    864 0.17%:  school rules
    865 0.10%:  consultants are not
    866 0.10%:  means more to me than can
    867 0.10%:  tells us that none
    868 0.10%:  rules almost
    869 0.10%:  lets us do
    870 0.10%:  tells us that a dream
    871 0.38%:  tells us that a dream cannot
    872 0.43%:  tells us that a dream cannot come
    873 0.10%:  hates us!)
    874 0.10%:  has led me to a
    875 0.10%:  encour
    876 0.10%:  or
    877 0.10%:  meets romance
    878 0.10%:  teaches us not to learn
    879 0.10%:  leads me
    880 0.10%:  cannot tell us the
    881 0.10%:  announced
    882 0.10%:  has told me so!)
    883 0.10%:  does that to us!)
    884 0.10%:  can learn
    885 0.10%:  demonstrators
    886 0.10%:  has moments
    887 0.10%:  endorses all
    888 0.10%:  means a lot to me here!)
    889 0.10%:  and romance are one
    890 0.10%:  states
    891 0.10%:  to the second!)
    892 0.10%:  means so much to me! )
    893 0.10%:  tells me that no
    894 0.10%:  commands
    895 1.07%:  commands us all to
    896 0.11%:  commands us all)
    897 0.10%:  has done me some real
    898 0.10%:  demonstrates that one can
    899 0.10%:  starts out
    900 0.10%:  has made us all
    901 0.10%:  shuts
    902 0.10%:  sends
    903 0.10%:  short
    904 0.10%:  rules that one!)
    905 0.10%:  teaches us not to read
    906 0.10%:  does that to us)
    907 0.10%:  means more to us than a mere
    908 0.10%:  has stood
    909 0.10%:  rules at least)
    910 0.10%:  teaches us to con
    911 0.10%:  does all
    912 0.10%:  does that to all
    913 0.10%:  rules man
    914 0.09%:  has made some real
    915 0.09%:  needs to learn to share
    916 0.09%:  and also
    917 0.09%:  has turned me on
    918 0.09%:  cancelled
    919 0.09%:  the
    920 0.09%:  does that)
    921 0.09%:  matters here
    922 0.09%:  has entered
    923 0.09%:  at the root
    924 0.09%:  has dealt me some cruel
    925 0.09%:  cheater
    926 0.09%:  and common sense are the rul
    927 0.09%:  comments
    928 0.21%:  comments are
    929 0.09%:  too!)
    930 0.09%:  teaches us to dream)
    931 0.09%:  alone rules
    932 0.09%:  sc
    933 1.17%:  scares me)
    934 1.11%:  scares me!)
    935 0.13%:  scares the
    936 0.13%:  scares me too
    937 0.13%:  scares me and
    938 0.09%:  succeeds!)
    939 0.09%:  hur
    940 0.09%:  and common sense are mut
    941 0.09%:  and romance are not all
    942 0.09%:  matters most
    943 0.09%:  counts
    944 0.09%:  teachers and
    945 0.09%:  comes to
    946 0.25%:  comes to the rescue)
    947 0.12%:  comes to the rescue and
    948 0.11%:  comes to the rescue!
    949 0.09%:  names are hard!)
    950 0.09%:  and art
    951 0.13%:  and art are
    952 0.09%:  has treated me ter
    953 0.09%:  can detect
    954 0.09%:  dreams
    955 0.22%:  dreams are
    956 0.09%:  and common sense are a team
    957 0.13%:  and common sense are a team that
    958 0.09%:  content
    959 0.09%:  marches on and on)
    960 0.09%:  has started to come
    961 0.09%:  has more
    962 0.09%:  matters to me more
    963 0.09%:  teaches me to reason!)
    964 0.09%:  means so much)
    965 0.09%:  names are hard)
