think your voice is a wonderful gift!
      0 100.00%: 
      1 22.44%:  know
    246 19.74%:  dunno how to use it real
    247 19.65%:  dunno if you saw the
    248 19.33%:  dunno if you got the
    249 19.33%:  dunno if you get it
    250 19.24%:  dunno if you care or
    251 19.11%:  dunno where you got
    252 18.93%:  dunno if we have
    253 18.84%:  dunno if you hear it
    254 18.77%:  dunno if you get the
    255 18.60%:  have to go in now
    256 18.59%:  could
    257 18.58%:  won
    258 18.58%:  wonder
    259 20.07%:  wonder if he
    260 19.76%:  wonder if you can
    261 19.73%:  wonder if you have
    262 18.71%:  wonder if you like
    263 18.58%:  love you in
    264 18.57%:  found
    265 19.79%:  found your
    266 18.56%:  lost
    267 18.56%:  used
    268 23.85%:  used to like
    269 23.53%:  used to have
    270 22.55%:  used to love
    271 21.64%:  used to like your
    272 21.55%:  used to watch
    273 20.90%:  used to think
    274 20.70%:  used to like you!
    275 20.52%:  used to like you on
    276 20.47%:  used to like you in
    277 20.22%:  used to know
    278 20.18%:  used to hate
    279 20.15%:  used to love your
    280 19.79%:  used to like you a
    281 19.77%:  used to get
    282 19.77%:  used to own
    283 19.75%:  used to want
    284 19.75%:  used to talk
    285 19.72%:  used to live
    286 19.73%:  used to live in your
    287 19.64%:  used to go
    288 19.63%:  used to work
    289 19.54%:  used to love you!
    290 19.48%:  used to eat
    291 19.47%:  used to write
    292 19.47%:  used to work in
    293 19.45%:  used to look
    294 19.41%:  used to not
    295 20.22%:  used to not like you!
    296 19.38%:  used to hear
    297 19.32%:  used to take
    298 19.32%:  used to hang
    299 19.31%:  used to wear
    300 19.31%:  used to run
    301 19.29%:  used to fight
    302 19.29%:  used to che
    303 22.39%:  used to cheat on you
    304 19.28%:  used to cry
    305 19.27%:  used to chew
    306 19.24%:  used to cheat on you!
    307 19.23%:  used to cheat in
    308 19.08%:  used to know you
    309 18.88%:  used to hear you
    310 18.86%:  used to hang out in
    311 18.79%:  used to like it
    312 18.77%:  used to watch you
    313 18.66%:  used to love you in
    314 18.65%:  used to like you for
    315 18.64%:  used to like you at
    316 18.63%:  used to cheat on you in
    317 18.56%:  say
    318 18.56%:  only
    319 18.54%:  heard you on
    320 18.54%:  used to like to
    321 18.54%:  love you a
    322 18.53%:  dunno why it
    323 18.53%:  want to fuck you in
    324 18.52%:  love you for
    325 18.51%:  love you now
    326 18.51%:  dunno how to tie a
    327 18.50%:  like it when you sing
    328 18.48%:  see!
    329 18.43%:  need you
    330 23.99%:  need you to know
    331 20.63%:  need you to know this
    332 19.57%:  need you to sign
    333 18.84%:  need you to sign a
    334 18.83%:  need you to go
    335 18.81%:  need you to act
    336 18.59%:  need you to think
    337 18.58%:  need you to star
    338 18.56%:  need you to talk
    339 18.54%:  need you to hang
    340 18.48%:  need you to cut
    341 18.48%:  need you to aut
    342 18.47%:  need you to know it
    343 18.46%:  need you to loan
    344 18.46%:  need you to watch
    345 18.43%:  used to work in the
    346 18.43%:  need you to not
    347 18.42%:  dunno how to say it!
    348 18.42%:  need you to ask
    349 18.41%:  knew you
    350 18.40%:  dunno why!
    351 18.39%:  dunno if you have to
    352 18.38%:  need you to know a
    353 18.38%:  love your work in the
    354 18.37%:  saw you do
    355 18.36%:  like it when you act
    356 18.35%:  saw you get
    357 18.35%:  need to go!
    358 18.34%:  saw you there
    359 18.34%:  used to live in a town
    360 18.34%:  dunno what it is!
    361 18.33%:  wonder if you are
    362 18.33%:  get the
    363 18.33%:  like it when you go
    364 18.31%:  wonder if that
    365 18.31%:  uh like to
    366 18.30%:  won the
    367 18.29%:  need to talk!
    368 18.26%:  like it when you sit
    369 18.25%:  like it when you can
    370 18.25%:  saw you doing
    371 18.25%:  need to talk you
    372 18.24%:  dunno if you like to
    373 18.23%:  need to talk on
    374 18.22%:  wonder if you think
    375 18.22%:  like it when you turn
    376 18.22%:  like it when you t
    377 18.22%:  like it when you stand
    378 18.22%:  like it when you sc
    379 18.22%:  need to talk in
    380 18.21%:  like it when you cut
    381 18.21%:  like it when you and
    382 18.21%:  used to cry a
    383 21.17%:  used to cry a lot when
    384 18.21%:  dunno why i
    385 18.20%:  heard you got
    386 18.20%:  saw you like
    387 18.20%:  need to know your
    388 18.20%:  saw you!
    389 18.19%:  saw you out
    390 18.19%:  dunno how i
    391 18.85%:  dunno how i got
    392 18.18%:  saw you go
    393 18.17%:  saw you the
    394 18.17%:  dunno how else
    395 18.17%:  saw you one
    396 18.17%:  saw you driving
    397 18.17%:  need to talk for
    398 18.14%:  had no
    399 18.14%:  dunno how your
    400 18.13%:  used to love to
    401 18.13%:  saw you once on the
    402 18.12%:  dunno if you have it
    403 18.11%:  dunno what you got
    404 18.11%:  need you to think of
    405 18.11%:  dunno how you get
    406 18.10%:  lost it
    407 18.09%:  dunno how!
    408 18.08%:  want to use your voice
    409 18.07%:  dunno how ya
    410 18.07%:  want to suck on
    411 18.07%:  wonder if you get
    412 18.07%:  uh got your
    413 18.05%:  found out how
    414 18.05%:  used to watch you in
    415 18.05%:  dunno if it works
    416 18.03%:  need to finish a
    417 18.02%:  dunno why a
    418 18.01%:  used to live with
    419 18.40%:  used to live with a guy
    420 18.00%:  love your work and
    421 18.00%:  saw you once in
    422 17.99%:  saw you go into
    423 17.97%:  wonder if you got
    424 17.97%:  used to watch your
    425 17.95%:  forgot to dial
    426 17.95%:  want to revengo
    427 17.94%:  dunno what you like
    428 17.93%:  dunno what you get
    429 17.93%:  wonder if you love
    430 17.91%:  can see
    431 17.91%:  do not think
    432 17.90%:  used to cry a lot!
    433 17.90%:  wonder if you hear
    434 17.89%:  dunno if we are
    435 17.88%:  like it when you act in
    436 17.86%:  want to feel your
    437 17.85%:  used to like your acting
    438 17.84%:  have to go in now!
    439 17.84%:  uh love your
    440 18.61%:  uh love your work!
    441 18.25%:  uh love your work in
    442 17.83%:  hear you!
    443 17.83%:  dunno if you saw it or
    444 17.81%:  used to go out
    445 17.81%:  want to hug your
    446 17.81%:  want you to die!
    447 17.80%:  used to know your
    448 17.79%:  want you to die in
    449 17.79%:  found a
    450 17.79%:  used to talk on
    451 17.79%:  used to love you a
    452 17.78%:  dunno what for!
    453 17.76%:  want to use you
    454 17.75%:  dunno how you felt
    455 17.74%:  saw your
    456 17.74%:  found out what
    457 17.74%:  dunno how to use a
    458 17.73%:  like it when you cut in
    459 17.73%:  like it when you sit in
    460 17.73%:  dunno what it is like
    461 17.71%:  like your voice
    462 17.70%:  dunno if we got
    463 17.70%:  do not want
    464 17.70%:  dunno if you care!
    465 17.69%:  wonder if you like to
    466 17.68%:  dunno how ya got
    467 17.66%:  like it when you go to
    468 17.65%:  dunno if we talk
    469 17.64%:  love your work as
    470 17.63%:  found it
    471 17.65%:  found it in
    472 18.15%:  found it in a
    473 17.63%:  wonder if it
    474 17.61%:  dunno how it got
    475 17.60%:  used to like how
    476 17.59%:  used to own a lot
    477 17.59%:  dunno if we get
    478 17.59%:  know it
    479 17.58%:  dunno if we gotta
    480 17.58%:  dunno if we go
    481 17.58%:  dunno if we like
    482 17.57%:  dunno if we ought
    483 19.69%:  dunno if we ought to
    484 17.57%:  dunno if you got this
    485 17.56%:  do not know if
    486 17.55%:  want to hug you so
    487 17.55%:  saw you on the tv!
    488 17.53%:  dunno if you hear it or
    489 17.52%:  used to hate you!
    490 17.49%:  wonder if this
    491 17.49%:  used to have your
    492 17.48%:  used to love you with
    493 17.48%:  want to hold your
    494 17.47%:  dunno if you like that!
    495 17.46%:  got the
    496 17.45%:  dunno if you ever saw
    497 17.44%:  used to like watching
    498 17.78%:  used to like watching you in
    499 17.42%:  used to know a
    500 18.11%:  used to know a guy
    501 17.42%:  heard it
    502 17.40%:  used to write for
    503 17.39%:  uh got it
    504 17.37%:  used to like a
    505 17.36%:  saw you go into the
    506 17.34%:  like the
    507 17.93%:  like the sound
    508 19.40%:  like the sound of it
    509 18.17%:  like the sound of it!
    510 17.76%:  like the sound of our
    511 17.74%:  like the sound of you
    512 17.64%:  like the sound of a
    513 17.34%:  like it when you go on
    514 17.34%:  saw you there!
    515 17.33%:  dunno how you like
    516 17.33%:  dunno how you are
    517 17.31%:  hate you so
    518 17.31%:  used to cheat on your
    519 17.30%:  wish you could
    520 17.30%:  saw you in front
    521 21.40%:  saw you in front of the
    522 17.29%:  saw you in one
    523 20.17%:  saw you in one of the
    524 17.28%:  like it when you cut off
    525 17.27%:  hate it
    526 17.26%:  used to love it
    527 17.26%:  need to go on
    528 17.26%:  like it when you do it
    529 17.25%:  used to like having
    530 17.25%:  used to have it
    531 17.25%:  saw you on the corner!
    532 17.24%:  need to go for
    533 17.24%:  need to go talk
    534 17.24%:  dunno how you like it!
    535 17.24%:  used to like what
    536 17.23%:  used to like on
    537 17.23%:  used to like our
    538 17.21%:  dunno how you react
    539 17.21%:  love your work as the
    540 17.21%:  get it!
    541 17.20%:  want to revengo you
    542 17.20%:  dunno how you ever
    543 17.19%:  used to hear it
    544 17.19%:  need to win a fight
    545 17.19%:  used to get a
    546 17.18%:  saw you in it
    547 17.18%:  saw you do it
    548 17.18%:  need to go in
    549 17.18%:  know this
    550 17.18%:  wonder if he can
    551 17.17%:  saw you in 
    552 17.17%:  dunno if you got it!
    553 17.16%:  dunno how you take
    554 17.16%:  need to go wash
    555 17.15%:  found out who
    556 17.15%:  do not know this
    557 17.14%:  saw you in like
    558 17.14%:  need to go sit
    559 17.13%:  like you
    560 17.12%:  need a
    561 17.12%:  need to go a
    562 17.12%:  need to go so
    563 17.12%:  dunno how you live
    564 17.11%:  need to go out
    565 17.11%:  used to cry a lot in
    566 17.11%:  dunno if you have it set
    567 17.10%:  need to go throw
    568 17.10%:  found out where
    569 17.10%:  found you
    570 17.10%:  used to have you
    571 17.10%:  lost the
    572 17.10%:  need to go work
    573 17.10%:  need to cut off
    574 17.10%:  dunno how you feel!
    575 17.09%:  need to go this
    576 17.09%:  like that you
    577 17.09%:  saw you in court
    578 17.08%:  saw you once in the
    579 17.08%:  dunno what you get for
    580 17.08%:  heard you went
    581 17.08%:  dunno if we like it
    582 17.08%:  saw you in tv
    583 17.08%:  saw you in on
    584 17.12%:  saw you in on the
    585 17.07%:  saw you like it
    586 17.07%:  used to have no
    587 17.06%:  used to run with
    588 17.06%:  only have
    589 17.06%:  dunno if we go out
    590 17.05%:  hate you now
    591 17.04%:  used to have to
    592 17.04%:  used to have two
    593 17.04%:  heard you won
    594 17.04%:  saw you like to
    595 17.02%:  used to have long
    596 17.01%:  do not wish
    597 17.01%:  forgot to say hi
    598 17.00%:  get it now
    599 17.00%:  dunno how you take it!
    600 16.98%:  used to like your hair
    601 16.98%:  need you to cut off
    602 16.97%:  used to have cr
    603 16.96%:  used to work for
    604 16.96%:  dunno if we are or
    605 16.96%:  know you
    606 16.95%:  used to not know
    607 16.95%:  like it when you do a
    608 16.95%:  heard you once
    609 16.93%:  used to live in an
    610 16.91%:  need you to know this!
    611 16.90%:  heard you in
    612 16.90%:  used to love you with a
    613 16.88%:  dunno how i got it
    614 16.87%:  only wanted
    615 16.91%:  only wanted to give
    616 16.87%:  only wanted to use
    617 16.87%:  saw you on the tv once
    618 16.86%:  need to win this
    619 16.85%:  forgot to ask
    620 16.84%:  like to say
    621 16.83%:  only wanted to offer
    622 16.83%:  need to ask you for
    623 16.82%:  got it
    624 16.81%:  used to like your cart
    625 16.81%:  do not think we
    626 16.80%:  found out it
    627 16.88%:  found out it was
    628 16.78%:  used to write fan
    629 16.77%:  wonder if your
    630 16.76%:  dunno if we go to
    631 16.76%:  want to revengo you!
    632 16.76%:  like it when you sing!
    633 16.75%:  heard you lost
    634 16.75%:  heard you!
    635 16.75%:  saw you do it on the
    636 16.75%:  want to give you one
    637 16.74%:  used to go to a
    638 16.74%:  get a
    639 18.24%:  get a lot of your
    640 18.10%:  get a lot of weird
    641 18.08%:  get a lot of cr
    642 18.06%:  get a lot of work
    643 17.96%:  get a lot of f
    644 17.95%:  get a lot of voice
    645 17.95%:  get a lot of use
    646 17.94%:  get a lot of c
    647 17.67%:  get a lot of fries
    648 16.73%:  want to like your
    649 16.73%:  want to die!
    650 16.73%:  heard you left
    651 16.72%:  heard you wrote
    652 16.71%:  do that
    653 16.71%:  forgot to save
    654 16.71%:  heard you get
    655 16.70%:  saw you in the 
    656 16.69%:  forgot to say we
    657 16.69%:  dunno if it was
    658 16.69%:  heard you live
    659 16.68%:  heard you took
    660 16.68%:  saw you on the tv once!
    661 16.68%:  heard you go
    662 16.67%:  heard you suck
    663 16.67%:  forgot to say!
    664 16.66%:  dunno if you like this
    665 16.66%:  used to like your tv
    666 16.66%:  used to think your
    667 16.65%:  heard you f
    668 16.65%:  heard you first
    669 16.65%:  need to go in a
    670 16.65%:  used to have you in
    671 16.63%:  love you in a
    672 16.63%:  got a friend
    673 16.63%:  heard you sn
    674 17.89%:  heard you snore!
    675 16.63%:  used to like your act
    676 16.63%:  uh like to say
    677 16.63%:  need to win a lot
    678 16.62%:  heard you forgot
    679 16.62%:  dunno how to get a
    680 16.61%:  want to sue you for 
    681 16.61%:  used to like your writing
    682 16.61%:  heard you go to
    683 16.61%:  used to like your hit
    684 16.60%:  forgot to say he
    685 16.60%:  heard you snoring
    686 16.60%:  forgot to say in
    687 16.59%:  dunno if you get what
    688 16.59%:  want you to sing for
    689 16.58%:  do not own
    690 16.58%:  love your work in the sit
    691 16.58%:  dunno if you feel this
    692 16.55%:  forgot to send
    693 16.54%:  saw you on tv the
    694 16.54%:  forgot to warn
    695 16.53%:  dunno how to feel!
    696 16.53%:  dunno how to feel at
    697 16.53%:  want to fuck you!
    698 16.53%:  forgot how
    699 16.52%:  used to think we
    700 16.51%:  found it in the fr
    701 16.51%:  dunno where to stick
    702 16.51%:  used to work in an
    703 16.50%:  hate you for
    704 16.49%:  dunno if you are or if
    705 16.48%:  forgot to wear
    706 16.48%:  uh like you a
    707 16.48%:  want to see if
    708 16.48%:  said it
    709 16.47%:  hear your
    710 18.82%:  hear your voice is
    711 16.72%:  hear your voice!
    712 16.47%:  like the way it
    713 16.46%:  need your
    714 16.46%:  heard you like it
    715 16.46%:  do not wish to argue
    716 16.45%:  dunno if we oughtta
    717 16.45%:  used to love watching
    718 17.48%:  used to love watching you in
    719 16.45%:  think you need
    720 17.54%:  think you need to go
    721 16.44%:  do not know the
    722 16.44%:  know your
    723 16.43%:  hear you don
    724 16.43%:  know that!
    725 16.43%:  saw you out on
    726 16.43%:  dunno what else you
    727 16.42%:  saw you in the video
    728 16.42%:  dunno if you like the
    729 16.42%:  dunno how to act!
    730 16.42%:  need to warn you!
    731 16.41%:  saw you in the corner
    732 16.40%:  saw you in the old
    733 16.40%:  saw you do it once
    734 16.40%:  saw you in the front
    735 16.39%:  forgot to un
    736 16.39%:  dunno if you got a
    737 16.39%:  dunno if that works for
    738 16.38%:  heard you snore in
    739 16.38%:  dunno if that ever works
    740 16.37%:  forgot to sh
    741 16.69%:  forgot to shred
    742 16.37%:  saw you in the n
    743 16.36%:  forgot to leave
    744 16.36%:  saw you in the f
    745 16.36%:  wonder if you think it
    746 16.36%:  saw you in the c
    747 16.36%:  saw you in the court
    748 16.36%:  hate you too
    749 16.36%:  dunno where to go!
    750 16.36%:  forgot to use
    751 16.35%:  forgot to read
    752 16.35%:  need you to know this if
    753 16.35%:  dunno where to go fr
    754 16.35%:  saw you doin
    755 16.34%:  forgot to have
    756 16.34%:  like it when you act!
    757 16.34%:  forgot to answer
    758 16.34%:  forgot to re
    759 16.34%:  uh love to
    760 16.33%:  found it in your
    761 16.33%:  uh like it
    762 16.33%:  forgot to clean
    763 16.33%:  forgot to y
    764 16.32%:  forgot to feed
    765 16.32%:  used to go on
    766 16.32%:  used to like you in a
    767 16.31%:  forgot to shake
    768 16.31%:  used to cry when
    769 16.31%:  used to live in a fr
    770 16.31%:  do not like
    771 16.30%:  want to see you!
    772 16.30%:  have your
    773 16.30%:  do not wish to ruin
    774 16.30%:  wonder if the
    775 16.30%:  used to chew on a
    776 16.40%:  used to chew on a lot
    777 16.30%:  do not wish to rev
    778 16.29%:  do not wish to ever
    779 16.29%:  do not wish to carry
    780 16.28%:  knew that one
    781 16.27%:  got a friend who likes
    782 16.27%:  used to work for a
    783 16.27%:  know the
    784 16.26%:  like it when you sit on a
    785 16.26%:  saw you go to
    786 16.26%:  need to warn you of
    787 16.26%:  dunno if you like it!
    788 16.26%:  get a lot of fries in
    789 16.25%:  dunno how to act like
    790 16.24%:  dunno who it
    791 17.10%:  dunno who it is!
    792 16.24%:  hate you like
    793 16.24%:  hate you in
    794 16.24%:  knew that you
    795 16.23%:  dunno if you care to
    796 16.23%:  forgot the
    797 16.22%:  only want
    798 16.21%:  get it now!
    799 16.21%:  know a
    800 19.46%:  know a lot of things
    801 17.31%:  know a lot of the
    802 16.89%:  know a lot of guys
    803 16.58%:  know a lot of us
    804 16.52%:  know a lot of this
    805 16.51%:  know a lot of things!
    806 16.48%:  know a lot of these
    807 16.43%:  know a lot of his
    808 16.40%:  know a lot of d
    809 16.35%:  know a lot of it
    810 16.35%:  know a lot of 
    811 16.32%:  know a lot of n
    812 16.32%:  know a lot of friends
    813 16.30%:  know a lot of c
    814 16.30%:  know a lot of shit
    815 16.30%:  know a lot of f
    816 16.20%:  used to not like your
    817 16.20%:  need to work on it
    818 16.21%:  need to work on it a
    819 16.18%:  want to sue you for def
    820 16.18%:  hear you like
    821 16.18%:  got a friend who is
    822 16.18%:  used to love how
    823 16.18%:  used to live on
    824 16.17%:  wanted you
    825 16.16%:  like how
    826 17.95%:  like how you said
    827 16.16%:  wonder if you got a
    828 16.16%:  need to ask you if
    829 16.16%:  need to go to a
    830 16.16%:  dunno if your voice
    831 16.15%:  found out the
    832 16.15%:  uh love you so
    833 16.14%:  think you were
    834 16.14%:  want to hug your neck
    835 16.14%:  dunno if we ought to say
    836 16.13%:  used to live with you
    837 16.13%:  dunno how to talk!
    838 16.13%:  saw you in like 
    839 16.12%:  hear your voice in
    840 16.11%:  like that!
    841 16.11%:  need to work on this!
    842 16.11%:  dunno if we like this
    843 16.10%:  feel that
    844 16.09%:  know your voice
    845 16.08%:  saw you in front of the 
    846 16.07%:  found that
    847 16.07%:  have no friends
    848 16.06%:  used to love your acting
    849 16.06%:  used to have it in
    850 16.06%:  dunno what it looks
    851 16.06%:  forgot to shave!
    852 16.06%:  need to cash out
    853 16.06%:  love it
    854 16.57%:  love it when you do it
    855 16.42%:  love it when you do a
    856 16.17%:  love it when you sing
    857 16.13%:  love it when you don
    858 16.05%:  heard you go on
    859 16.05%:  saw you in the olden
    860 16.05%:  dunno how you get it
    861 16.04%:  used to own the
    862 16.04%:  have to get
    863 16.03%:  love your show
    864 16.02%:  found out!
    865 16.02%:  used to work in an office!
    866 16.02%:  saw you in the fift
    867 16.02%:  hear you loud
    868 16.02%:  dunno if we like you
    869 16.01%:  dunno what it feels
    870 16.01%:  used to love our
    871 16.01%:  wonder if they
    872 16.01%:  wonder if you get this
    873 16.01%:  used to love a
    874 16.00%:  lost it!
    875 16.00%:  wonder if you hear it
    876 16.00%:  dunno if it is
    877 16.00%:  saw you do it in
    878 16.00%:  used to look at
    879 16.00%:  used to like you on a
    880 16.00%:  love it when you go
    881 16.00%:  wonder if our
    882 16.00%:  do not see
    883 15.99%:  love you for the
    884 15.99%:  heard you snore on
    885 15.99%:  found this
    886 15.99%:  used to like you on tv
    887 15.99%:  love it when you act
    888 15.98%:  do not like this
    889 15.98%:  got a lot
    890 16.48%:  got a lot of friends
    891 15.98%:  need you to talk on
    892 15.97%:  do not know a
    893 15.97%:  used to run with a
    894 15.97%:  do not know his
    895 15.96%:  like your show
    896 15.96%:  saw it
    897 16.16%:  saw it on the cover
    898 16.06%:  saw it on your
    899 15.98%:  saw it on tv
    900 15.96%:  saw you in court!
    901 15.96%:  forgot to send in
    902 15.96%:  need to know if this
    903 15.95%:  saw you once!
    904 15.95%:  saw you in it once
    905 15.95%:  dunno if you feel that
    906 15.95%:  love that
    907 16.07%:  love that you
    908 15.94%:  knew this
    909 15.94%:  saw you out in
    910 15.94%:  love it when you can
    911 15.93%:  uh love your work and
    912 15.93%:  need to work on a
    913 15.93%:  hear you got
    914 15.92%:  dunno if it was the
    915 15.91%:  hear you on
    916 15.91%:  hear it
    917 15.91%:  dunno who to
    918 15.90%:  forgot to dial in!
    919 15.90%:  hear you in
    920 15.90%:  used to have two of
    921 15.90%:  found it in the se
    922 15.89%:  love it when you do it!
    923 15.89%:  need to know if your
    924 15.88%:  want to use you for
    925 15.88%:  could have
    926 15.87%:  used to know you!
    927 15.87%:  love it when you and
    928 15.87%:  do not feel
    929 15.87%:  think you got
    930 15.87%:  love you now!
    931 15.87%:  dunno how you get a
    932 15.86%:  dunno if your wife
    933 15.86%:  love it when you ask
    934 15.85%:  used to live in a g
    935 15.85%:  found out a
    936 15.85%:  used to run in
