Nobody but the guy who did it could make such puns!
      0 100.00%: 
      1 9.01%:  Nobody
    464 1.38%:  Now it sounds like the
    465 1.10%:  Now it sounds like a
    466 0.53%:  Now it sounds like a dog
    467 0.43%:  Now it sounds like the guy
    468 0.43%:  Now it sounds like a guy
    469 0.41%:  Nobody told him about pitch
    470 0.40%:  Nobody would say this
    471 0.40%:  Nobody is talking to you
    472 0.40%:  Nobody said it
    473 0.46%:  Nobody said it would
    474 0.40%:  Nobody wanted to come
    475 0.39%:  Nobody listened to us at
    476 0.39%:  Nobody told us this guy knew about
    477 0.39%:  Nobody but me
    478 0.39%:  Nobody put
    479 0.39%:  Nobody wants to help him out
    480 0.38%:  Nobody asked us to help with
    481 0.38%:  Nobody told us how
    482 0.38%:  Nobody knows these old
    483 0.38%:  Nobody told him about pun
    484 0.38%:  Nobody but the guy with
    485 0.38%:  Nobody wants to be cut!
    486 0.38%:  Nobody listens to the guy who
    487 0.38%:  Nobody asked us to do the pun
    488 0.38%:  Nobody told us about the hidden
    489 0.38%:  Nobody told him about the new guy!
    490 0.38%:  Nobody knows this guy
    491 0.38%:  Nobody listened to you at
    492 0.38%:  Nobody listened to this guy!
    493 0.38%:  Nobody told us about these punch
    494 0.38%:  Nobody told him about the guy
    495 0.37%:  Nobody asked him to cut us in
    496 0.37%:  Nobody told us to get
    497 0.37%:  Nobody told us to watch
    498 0.37%:  Nobody asked him to do this but we
    499 0.37%:  Nobody would say these pun
    500 0.37%:  Nobody wants him to use
    501 0.37%:  Nobody wants you to cut us like
    502 0.37%:  Nobody wants you to use the
    503 0.36%:  Nobody told him to cut
    504 0.36%:  Nobody asked him to do his
    505 0.36%:  Nobody told him that song
    506 0.36%:  Nobody said we should be cutting up
    507 0.36%:  Nobody wants this dumb
    508 0.36%:  Nobody listens to what you
    509 0.36%:  Nobody said this would
    510 0.36%:  Nobody wants to use
    511 0.36%:  Nobody told us about this dude
    512 0.36%:  Nobody listens to audio
    513 0.36%:  Nobody told us what these
    514 0.36%:  Nobody told us about the music!
    515 0.36%:  Not
    516 6.41%:  Not only did he cut
    517 8.87%:  Not only did he cut the music
    518 7.36%:  Not only did he cut the w
    519 3.06%:  Not only did he say
    520 1.32%:  Not only did we
    521 1.97%:  Not only did we get
    522 1.01%:  Not only did he make
    523 0.99%:  Not only did he cut us
    524 1.63%:  Not only did he cut us with
    525 0.93%:  Not only is
    526 1.41%:  Not only is this
    527 1.13%:  Not only is this guy
    528 0.90%:  Not only did you
    529 0.89%:  Not only did we get stab
    530 0.88%:  Not only did he speak
    531 0.88%:  Not only is this dude
    532 0.87%:  Not only did he cut the guy
    533 0.86%:  Not only did he cut the audio
    534 0.83%:  Not only did he use
    535 0.78%:  Not only does
    536 0.85%:  Not only does this
    537 0.75%:  Not only did he stab
    538 1.67%:  Not only did he stab us with
    539 1.44%:  Not only did he stab the
    540 0.74%:  Not only does this dude
    541 0.72%:  Not only did we cut
    542 2.24%:  Not only did we cut the music
    543 0.71%:  Not only did we get cut
    544 0.70%:  Not only did his
    545 0.89%:  Not only did his speech
    546 0.69%:  Not only did the
    547 1.59%:  Not only did the music
    548 1.29%:  Not only did the tech
    549 0.63%:  Not only did he cut the music w
    550 0.61%:  Not only do
    551 0.56%:  Not only did he stab the music
    552 0.54%:  Not only did the music cut
    553 0.54%:  Not only did we get cut by
    554 0.67%:  Not only did we get cut by his
    555 0.54%:  Not only did he cut both
    556 0.48%:  Not only did this
    557 0.79%:  Not only did this guy cut
    558 0.46%:  Not only did he cut the c
    559 0.45%:  Not only did they
    560 1.28%:  Not only did they cut
    561 0.44%:  Not only did he say he
    562 0.44%:  Not only did he hit
    563 0.47%:  Not only did he hit the
    564 0.43%:  Not only did he say the
    565 0.42%:  Not only did he say those
    566 0.42%:  Not only did that
    567 0.51%:  Not only did that guy
    568 0.40%:  Not only did this guy make
    569 0.40%:  Not only is he good
    570 1.67%:  Not only is he good with
    571 0.40%:  Not only did he get
    572 0.40%:  Not only is he good at this
    573 0.39%:  Not only did you cut
    574 0.63%:  Not only did you cut the music
    575 0.42%:  Not only did you cut the w
    576 0.38%:  Not only did he stab us but
    577 0.37%:  Not only did this dude
    578 0.51%:  Not only did this dude cut
    579 0.36%:  Not only does that
    580 0.36%:  Not only does this guy cut
    581 0.36%:  Nobody told us the
    582 0.36%:  Nobody listens to dumb
    583 0.36%:  Nobody told him about the new i
    584 0.36%:  Nobody told us that he
    585 0.35%:  Nobody told us to be
    586 0.52%:  Nobody told us to be nice
    587 0.35%:  Nobody wants him to do
    588 0.59%:  Nobody wants him to do this
    589 0.35%:  Now this is
    590 0.35%:  No
    591 0.63%:  No one
    592 0.35%:  Nobody told us to meet
    593 0.35%:  Nobody asked you to include
    594 0.35%:  Nobody liked that pun but we
    595 0.35%:  Not only did he get us
    596 0.73%:  Not only did he get us with
    597 0.35%:  Nobody talks
    598 0.35%:  Nobody listened to him but
    599 0.35%:  Nobody told him about punch
    600 0.35%:  Not only did he make us
    601 0.34%:  Nobody asked him to be so pun
    602 0.34%:  Nobody asked us to be in
    603 0.34%:  Nobody told us about this guy when
    604 0.34%:  Nobody said they would be cutting up
    605 0.34%:  Nobody wants to help him get his
    606 0.34%:  Nobody said they could cut
    607 0.34%:  Not only did he speak with
    608 0.34%:  Nobody told us about this kind
    609 0.34%:  Nobody told him we changed
    610 0.34%:  Not only do we hate
    611 0.71%:  Not only do we hate this
    612 0.76%:  Not only do we hate this music
    613 0.34%:  Nobody likes it when you cut us!
    614 0.34%:  Nobody knows this tech
    615 0.34%:  Nobody likes this!
    616 0.34%:  Not only did the music get
    617 0.33%:  Not only did we stop
    618 0.42%:  Not only did we stop the music by
    619 0.33%:  Nobody is using the
    620 0.33%:  Nobody wants this guy to be
    621 0.33%:  Nobody told us about kn
    622 0.33%:  Nobody listened to his act
    623 0.33%:  Nobody acknowledge
    624 0.33%:  Nobody asked us to come in with
    625 0.33%:  Nobody uses that met
    626 0.33%:  Nobody wants to help me
    627 0.33%:  Nobody said they thought we
    628 0.32%:  Nobody likes it when you put a
    629 0.32%:  Nobody likes us now
    630 0.32%:  Nobody knows these bad
    631 0.32%:  Nobody told him to wait
    632 0.32%:  Not only did he say the most
    633 0.32%:  Nobody likes it when you cut a
    634 0.32%:  Nobody wants us to die
    635 0.32%:  Nobody said we liked
    636 0.32%:  Nobody likes it when you cut us to
    637 0.32%:  Not only did he mess
    638 0.54%:  Not only did he mess with
    639 0.32%:  Nobody thought he would make
    640 0.47%:  Nobody thought he would make pun
    641 0.31%:  Nobody wants to meet us!
    642 0.31%:  Nobody laughs when
    643 0.35%:  Nobody laughs when you do
    644 0.40%:  Nobody laughs when you do this
    645 0.34%:  Nobody laughs when you use
    646 0.31%:  Nobody told him about using
    647 0.31%:  Nobody asked him to do this yet
    648 0.31%:  Nobody outside
    649 0.31%:  Nobody wants to use the
    650 0.31%:  Nobody saw him
    651 0.31%:  Nobody told him we had
    652 0.31%:  Nobody but him likes
    653 0.31%:  Nobody said this tech
    654 0.71%:  Nobody said this techno would
    655 0.31%:  Nobody told us about this kn
    656 0.31%:  Nobody asked us to help him cut
    657 0.31%:  Nobody put us
    658 4.62%:  Nobody put us on the guest
    659 0.31%:  Nobody put us on this
    660 0.49%:  Nobody put us on this boat
    661 0.31%:  Nobody told him about keeping
    662 0.31%:  Nobody asked to be cut
    663 0.32%:  Nobody asked to be cut with
    664 0.31%:  Nobody uses that kind
    665 0.31%:  Nobody uses that pun!
    666 0.30%:  Not only does this make
    667 0.30%:  Now this music
    668 0.30%:  Nobody wants the music to go
    669 0.30%:  Nobody asked you to put
    670 0.30%:  Nobody but the police
    671 0.32%:  Nobody but the police can
    672 0.30%:  Nobody acknowledged
    673 0.30%:  Nobody wants us to come up
    674 0.30%:  Nobody told him about us
    675 0.30%:  Nobody told him it
    676 0.30%:  Nobody wants to be picked
    677 0.30%:  Nobody wants to be hit
    678 0.30%:  Nobody listen to him they
    679 0.30%:  Nobody listen to his comedy
    680 0.30%:  Nobody but him likes that
    681 0.29%:  Nobody use
    682 0.43%:  Nobody use that
    683 0.29%:  Nobody said we could come
    684 0.29%:  Nobody but him speaks
    685 0.29%:  Nobody but him wants us
    686 0.29%:  Nobody but us is watching
    687 0.29%:  Not only is that
    688 0.29%:  Nobody asked him to cut us up
    689 0.83%:  Nobody asked him to cut us up with
    690 0.29%:  Not only is this tech
    691 0.29%:  Nobody wants it this
    692 0.29%:  Nobody wants to be shouted
    693 0.29%:  Nobody told him they
    694 0.43%:  Nobody told him they wanted
    695 0.29%:  Nobody listen to what he did
    696 0.29%:  Nobody told him that we didn
    697 0.29%:  Nobody told him this song
    698 0.29%:  Nobody told us what this
    699 0.46%:  Nobody told us what this guy
    700 0.29%:  Nobody but you
    701 0.39%:  Nobody but you knows
    702 0.60%:  Nobody but you knows these
    703 0.42%:  Nobody but you knows that
    704 0.30%:  Nobody but you could
    705 0.29%:  Nobody wants to cut music
    706 0.29%:  Not only did you mess
    707 0.52%:  Not only did you mess with
    708 0.45%:  Not only did you mess up the w
    709 0.30%:  Not only did you mess with the
    710 0.29%:  Nobody told us how this
    711 0.29%:  Nobody told us that we
    712 0.29%:  Nobody wanted us to stop!
    713 0.29%:  Nobody said he sounded
    714 0.28%:  Not only did he cut them
    715 0.28%:  Nobody asked him to cut this
    716 0.28%:  Nobody likes it when you go
    717 0.28%:  Nobody asked us to put
    718 0.30%:  Nobody asked us to put the
    719 0.28%:  Nobody asked him to do it
    720 0.28%:  Nobody listen to what he is
    721 0.28%:  Nobody wants him to touch
    722 0.28%:  Nobody told him about the new guys
    723 0.28%:  Nobody told him about his speech
    724 0.28%:  Nobody asked you to sing
    725 0.28%:  Nobody wants him to stop
    726 0.28%:  Nobody has used the
    727 0.28%:  Nobody wants you to keep this
    728 0.28%:  Nobody said he would
    729 0.28%:  Nobody told him this was the
    730 0.28%:  Nobody gets
    731 0.63%:  Nobody gets that
    732 1.25%:  Nobody gets that pun
    733 0.46%:  Nobody gets this
    734 0.37%:  Nobody gets this pun
    735 0.35%:  Nobody gets this but
    736 0.34%:  Nobody gets that!
    737 0.29%:  Nobody gets this!
    738 0.27%:  Nobody likes that!
    739 0.27%:  Not only is this the
    740 0.27%:  Nobody is using that met
    741 0.27%:  Not only did he say both
    742 0.59%:  Not only did he say both those
    743 0.27%:  Nobody asked him to do the thing
    744 0.27%:  Not only did he cut us up
    745 0.73%:  Not only did he cut us up with
    746 0.27%:  Nobody thinks we should be
