FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
34.88%:  RE
0.82%:  MORE REASONS THAN ARE
0.78%:  MORE REASONS THAN I CAN RE
0.78%:  MORE REASONS THAN I CAN DIS
0.57%:  MORE REASONS THAN I CAN L
0.55%:  FOR SOME REASON WHY I CAN
0.54%:  FOR REASONS I CANNOT DES
0.54%:  R
0.54%:  FOR SOME REASON I CANNOT RE
0.54%:  HORSE B
0.54%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "TA
0.54%:  MORE REASONS TO
0.54%:  MORE CHESS IN
0.54%:  SESSION
0.54%:  REAL REASONS NO
0.53%:  REASONS IN
0.53%:  SOME REASON I FE
0.55%:  SOME REASON I FEEL THE
0.53%:  ER
0.53%:  FOR A REASON I CANNOT DES
0.52%:  CHESS AND
0.52%:  FOR ONE
1.02%:  FOR ONE REASON OR THE
0.52%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "HE
0.52%:  FOR HORSE CON
0.52%:  OTHER REASONS I CAN
0.52%:  FOR SOME REASON I NO L
0.52%:  AN EM
0.52%:  FOR SOME REASON IT IS
0.51%:  I
0.51%:  SOME HORSE REASON OR
0.51%:  LE
1.14%:  LESSONS IN
0.67%:  LESSONS ON
0.51%:  MORAL REASONS ON
0.51%:  FOR SE
0.73%:  FOR SECRET REASONS WH
0.59%:  FOR SECRET REASONS I
0.51%:  HORSE RELATED REASONS OF
0.50%: FOR
0.50%:  FOR REAL REASONS T
0.49%:  FOR WH
0.49%:  FOR SOME REASON AND I CAN
0.49%:  SOME REASON NO
0.49%:  FOR SOME REASON I B
0.49%:  A REASON I CANNOT SH
0.49%:  SOCIAL
0.49%:  FOR SOME REASON I NEED TO R
0.49%:  HORSE AD
0.48%:  FOR SOME REASON D
0.48%:  REAL REASONS I CAN
0.48%:  MORE REASONS THAN I CO
0.48%:  HORSE RELATED B
0.48%:  OTHER REASONS NO
0.48%:  MORAL REASONS OR WH
0.47%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "A H
0.47%:  FOR SOME REAL RE
0.47%:  FOR SOME REASON I LO
0.47%:  HORSE RID
0.47%:  FOR A REASON I CANNOT RE
0.47%:  FOR "RE
0.47%:  SOME REAL
0.47%:  FOR SOME REASON ONLY I CAN DESCRIBE AS TH
0.46%:  FOR SOME REASON I CANNOT S
0.46%:  FOR HORSES TO
0.46%:  FOR REASONS I CANNOT SH
0.46%:  MAN
0.46%:  SOME REASON I TH
0.46%:  REASONS I CANNOT DES
0.46%: REAL
0.46%:  MORE REASONS THAN I CAN DES
0.46%:  FOR A REASON WH
0.45%:  F
0.45%:  ANYONE
0.45%:  ANY REASON ACT
0.44%:  FOR SOCIAL REASONS ON
0.44%:  MORE REASONS THAN I CAN D
0.44%:  FOR SOME REASON I NEED TO RE
0.44%:  FOR CHESS REASONS ON
0.44%:  HORSE RELATED REASONS ON
0.44%:  SOME REASON I NE
0.44%:  FOR SOME REASON I CAN ON
1.02%:  FOR SOME REASON I CAN ONLY DES
12.37%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "THE
6.11%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A
5.95%:  FOR SOME REASON I CAN ONLY DESCRIBE AS THE
5.04%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "H
4.19%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "A
3.77%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "HE
2.84%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WH
2.27%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "AW
2.14%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "TH
1.78%:  FOR SOME REASON I CAN ONLY DESCRIBE AS THE "
1.60%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "E
1.42%:  FOR SOME REASON I CAN ONLY DESCRIBE AS H
1.38%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "W
1.27%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WHATE
1.26%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "T
0.73%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "THE W
0.49%:  FOR SOME REASON I CAN ONLY HE
0.48%:  FOR SOME REASON I CAN ONLY DESCRIBE AS E
0.45%:  FOR SOME REASON I CAN ONLY DESCRIBE AS T
0.44%:  SOME HORSES ARE
0.44%:  HORSE CO
0.43%:  FOR NO REASON I CAN RE
0.43%:  FOR SOME REASON ONLY I CAN DESCRIBE AS HE
0.43%:  SOME HORSE B
0.43%:  FOR SOME REASON I CAN NOT
0.43%:  FOR SOME REASON ONLY I CAN DESCRIBE AS WH
0.43%:  FOR SOME REASON I AL
0.75%:  FOR SOME REASON I ALWAYS W
1.47%:  FOR SOME REASON I ALWAYS WANTED
0.64%:  FOR SOME REASON I ALWAYS TH
0.44%:  FOR SOME REASON I ALWAYS END
0.43%:  REASONS I D
0.43%:  CHESS DAYS
0.43%:  SOME HORSE CON
0.43%:  FOR SOME REASONS I CANNOT DES
0.42%:  FOR EM
0.42%:  FOR SOME REASON R
0.42%:  FOR ANY REASON WHATE
0.42%:  FOR SOME REASON THIS IS NO
0.42%:  FOR SOME REASON I NEED SO
0.42%:  FOR SOME HORSE B
0.42%:  FOR SOCIAL REASONS AND
0.42%:  RAND
0.41%:  MORE REASONS TO WIN
0.41%:  CHESS DATE
0.41%:  FOR SOME REASON I NEED TO H
0.41%:  FOR SOME REASON ONLY I CAN DESCRIBE AS THE W
0.41%:  FOR SOCIAL REASONS OR
0.41%:  FOR REASONS I CANNOT D
0.40%:  FOR HORSES RE
0.40%:  FOR SOME REASON I CANNOT I
0.40%:  FOR M
0.40%:  SOME REASON I CANNOT DES
0.40%:  REAL REASONS T
0.40%:  CH
0.40%:  FOR CHESS TIME
0.40%:  OTHER REASONS ALREAD
0.40%:  HORSE S
0.40%:  FOR SOME REASON I NEED TO E
0.40%:  REL
0.39%:  ERR
0.39%:  SOME REASON IN
0.39%:  FOR REAL REASONS IN
0.39%:  SECRET REASONS WH
0.39%:  FOR CHESS REASONS IN
0.39%:  FOR SOME REASON THIS IS A
0.39%:  FOR SOME REASON I S
0.39%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WHE
0.39%:  FOR SOME REASON LI
0.38%:  SOME REASON I FOR
0.38%:  FOR REAL REASONS I CANNOT
0.38%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A "H
0.38%:  FOR REAL REASONS WHY
0.38%:  MORE REASONS THAN I CAN C
0.38%:  FOR SER
0.38%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "A W
0.38%:  FOR SOME REASON THIS W
0.38%:  FOR SOME REASON ONLY THE
0.38%:  FOR SOME REASON INS
0.38%:  FOR SOME REASON NOT Y
0.38%:  FOR SECRET REASONS IN
0.38%:  FOR SOME REASON I NEED THIS
0.38%:  CHESS STR
0.37%:  FOR A REASON I D
0.37%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "WE
0.37%:  MORE REASONS WH
0.37%:  FOR CHESS STR
0.37%:  FOR SOME REASON TODAY I CAN
0.37%:  FOR SOME REASON I NEED TO A
0.37%:  ANY REASON REAL
0.37%:  MANLY
0.37%:  FOR SOME REASON I CAN ONLY DESCRIBE AS TH
0.37%:  ANOT
0.70%:  ANOTHER REASON AL
0.49%:  ANOTHER REASON ALSO
0.37%:  FOR CHESS IN
0.37%:  FOR SOME REASON I SENSE
0.37%:  FOR CHESS OR
0.37%:  FOR REAL REASONS AND
0.36%:  FOR SOME REASON I NEED HORSES AT
0.36%:  FOR SOME REASON ALREADY IN
0.36%:  FOR SOME REASON E
0.36%:  LESSONS ON HO
0.57%:  LESSONS ON HOW TO BE
0.36%:  FOR SOME REASON WHATE
0.36%:  MORE CHESS LE
0.36%:  COM
0.36%:  FOR SOME REASON I CAN ONLY DESCRIBE AS WH
0.36%:  FOR SOME REASON ABO
0.36%:  ANY REASON I CAN MA
0.36%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A H
0.36%:  REAL REASONS I CANNOT
0.36%:  FOR SOME REASON I CANNOT SAY WH
0.36%:  MORE REASONS THAN I CAN E
2.04%:  MORE REASONS THAN I CAN EASILY DES
0.36%:  FOR SOME REASON I ALWAYS T
0.35%:  FOR ANY REASON WHIC
0.35%:  FOR SOME REASON I CAN ONLY DESCRIBE AS W
0.35%:  CHEE
0.35%:  OTHER REASONS COM
0.35%:  FOR HORSE RELATED I
0.35%:  FOR A REASON I CANNOT SH
0.35%:  CHESS B
0.35%:  FOR THE
0.35%:  FOR SOME REASON WITH
0.35%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "THE A
0.35%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "A H
0.35%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WHAT A
0.34%:  FOR SOME REASON THERE W
0.34%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "TE
0.34%:  FOR HORSE REASONS I
0.34%:  FOR SOME REASON I ALWAYS WIN
0.34%:  FOR CHEESE S
0.34%:  FOR SOME REASON I CAN ONLY DESCRIBE AS A "HE
0.34%:  CHESS TIMES
0.34%:  FOR REAL REASONS I S
0.34%:  FOR SOME REASON ONLY I CAN DESCRIBE AS AW
0.34%:  FOR IN
0.34%:  FOR SOME REASON WHEN
0.33%:  FOR CHESS REASONS I CAN
0.33%:  FOR ANY REASONS
0.33%:  RANDOM REASONS I
0.33%:  FOR SOME REASON THIS WAS A
0.33%:  FOR SOME REASON I ALWAYS S
0.33%:  SOME HORSE REASON OR AN
0.33%:  FOR SOME HORSE CON
0.33%:  HORSEY
0.33%:  MORE REASONS THAN I CAN EASILY RE
0.33%:  FOR SOME REASON NOW I CAN
0.33%:  FOR SOME REASON I NEED HORSE B
0.33%:  FOR MY HORSE TO
0.33%:  MORE REASONS TO BE
0.48%:  MORE REASONS TO BE CON
0.33%:  FOR SOME REASON I NEED HORSES T
0.33%:  HORSE D
0.33%:  SOME REASON THIS CON
0.33%:  FOR SOME REASON I ALREAD
0.32%:  FOR SOME REAL REASON I
0.38%:  FOR SOME REAL REASON I CAN
0.32%:  FOR CHESS REASONS AND
0.32%:  FOR REAL REASONS TH
0.32%:  FOR REASONS I D
0.32%:  SECRET REASONS I
0.32%:  FOR REAL REASONS NOT
0.32%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "TH
0.32%:  FOR SOME REASON THESE RE
0.32%:  FOR SOME REASON I NEED TO SAY H
0.32%:  RES
0.32%:  ANOTHER REASON W
0.32%:  FOR SOME REASONS I CANNOT DIS
0.32%:  FOR SOME REASON ALREADY I
0.32%:  SECRET REASONS IN
0.32%:  FOR SOME REASON I NEED THE
0.32%:  RANDOM REASONS WH
0.31%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "ETH
0.31%:  FOR SOME REASON I WON
0.31%:  FOR SOME REASON THIS SE
0.31%:  REASONS NOT
0.31%:  FOR SOME REASON I NEED TO SAY "
0.31%:  CHESS M
0.31%:  FOR SOME REASON THIS IS NOW A
0.31%:  FOR SOME REASON I ASS
0.31%:  FOR SOME REASON ALWAY
0.31%:  A H
1.08%:  A HORSE RE
0.95%:  A HORSE R
4.14%:  A HORSE RELATED REASONS
3.22%:  A HORSE RELATED EM
2.26%:  A HORSE RELATED M
2.03%:  A HORSE RELATED REASON I
1.68%:  A HORSE RACE
1.28%:  A HORSE RIDE
0.50%:  A HORSE RELATED REASON IN
0.46%:  A HORSE RELATED I
0.45%:  A HORSE REASONS
0.39%:  A HORSE RELATED REASON OF
0.32%:  A HORSE RELATED REASON SO
0.31%:  FOR SOCIAL REASONS WH
0.31%:  A L
0.31%: SO
0.54%: SOME REASONS
0.31%:  WH
0.31%:  FOR SOME C
0.82%:  FOR SOME CHESS RE
0.31%:  FOR MY DA
0.30%:  REASONS OR
0.30%:  REASONS I CANNOT Y
0.30%:  HORSES ARE
0.30%:  CHESS T
0.30%:  SOME REASON I FEEL A
0.30%:  FOR A REASON I CANNOT DESCRIBE Y
0.30%:  FOR SOME REASON I HAD A
0.30%:  FOR SOME REASON THIS ISN
0.30%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "A HE
0.30%:  FOR SOME REASON WHERE
0.30%:  FOR SOME HORSEY ACTION
0.30%:  FOR SECRETS
0.30%:  FOR SOME HORSES ARE
0.30%:  FOR SOME REASON I CAN ONLY DESCRIBE AS THE W
0.30%:  FOR SOME REASON THESE ARE NO
0.30%:  FOR SOME IN
0.30%:  REASONS I DARE
0.30%:  SOME OTHER
2.44%:  SOME OTHER REASONS
0.29%:  FOR SOME REASON THEY NE
0.29%:  SOME REASON THE
0.29%:  FOR SOME REASON I CANNOT DIS
0.29%:  FOR SOME REASON I CAN ONLY DESCRIBE AS "TA
0.29%:  FOR MO
0.42%:  FOR MORE CHESS RE
0.36%:  FOR MORE CHESS IN
0.34%:  FOR MORE CHESS REAS
0.31%:  FOR MORE RE
7.04%:  FOR MORE REASONS THAN I
7.14%:  FOR MORE REASONS THAN I CAN CO
3.02%:  FOR MORE REASONS THAN I CAN S
2.06%:  FOR MORE REASONS THAN I CAN DIS
1.72%:  FOR MORE REASONS THAN I CAN DES
1.47%:  FOR MORE REASONS THAN I CAN L
1.15%:  FOR MORE REASONS THAN I CAN C
1.13%:  FOR MORE REASONS THAN I CO
1.11%:  FOR MORE REASONS THAN I CAN E
8.24%:  FOR MORE REASONS THAN I CAN EASILY DES
1.04%:  FOR MORE REASONS THAN I CAN EASILY S
0.99%:  FOR MORE REASONS THAN I CAN D
0.71%:  FOR MORE REASONS THAN I CAN EASILY CO
0.65%:  FOR MORE REASONS THAN I CAN EASILY D
0.61%:  FOR MORE REASONS THAN I W
0.54%:  FOR MORE REASONS THAN I CAN SAY AL
0.49%:  FOR MORE REASONS THAN I CAN A
0.46%:  FOR MORE REASONS THAN I CAN I
0.36%:  FOR MORE REASONS THAN I WAS
0.33%:  FOR MORE REASONS THAN I C
0.32%:  FOR MORE REASONS THAN E
0.32%:  FOR MORE REASONS THAN I CAN BE
0.31%:  FOR MORE REASONS THAN CAN
0.30%:  FOR MORE REASONS THAN BE
0.29%:  SOME HORSE REASONS I
0.44%:  SOME HORSE REASONS I CANNOT
0.29%:  LESSONS ON C
0.29%:  MORE REASONS THAN I CAN EASILY S
0.29%:  FOR MOR
0.59%:  FOR MORAL S
0.29%:  SOME HORSE AD
0.29%:  FOR NO REASON OTHER
0.29%:  FOR SOME REASON ONCE
0.29%:  FOR SOMEONE ELSE TO WIN
0.29%:  FOR R
0.29%:  HORSE RELATED REASONS A
0.29%:  MORE CHESS REAS
0.28%:  FOR SOME REASON BEYOND THE REAL
0.28%:  FOR SOME REASON HORSES NE
0.28%:  FOR HORSE D
0.28%:  FOR REASONS I CANNOT DESCRIBE Y
0.28%:  FOR SOME REASON I WANT A
0.28%:  FOR SOME REASON THIS RE
0.28%:  A REASON I CANNOT DES
0.28%:  FOR SOME REASON TODAY I W
0.28%:  FOR MY HORSE C
0.28%:  FOR SOCIAL REASONS AND WH
0.39%:  FOR SOCIAL REASONS AND WHATE
0.28%:  FOR A H
0.65%:  FOR A HORSE RE
0.76%:  FOR A HORSE REASONS
0.53%:  FOR A HORSE R
1.57%:  FOR A HORSE RELATED EM
1.16%:  FOR A HORSE RACE
1.04%:  FOR A HORSE RELATED M
0.57%:  FOR A HORSE RIDE
0.43%:  FOR A HORSE TO
0.28%:  FOR SOME REASON ALREADY BE
0.28%:  SOME HORSEY ACTION
0.28%:  FOR SOME REASON TODAY I RE
0.28%:  SOME HORSE R
3.87%:  SOME HORSE RELATED REASONS I
1.33%:  SOME HORSE RELATED REASON I
1.15%:  SOME HORSE RELATED REASONS IN
0.44%:  SOME HORSE RELATED REASONS OF
0.28%:  FOR REAL THIS
0.28%:  FOR SOME REASON THIS WASN
0.28%:  A CON
0.28%:  FOR CHESS M
0.28%:  INS
0.28%:  MORE REASONS THAN I W
0.28%:  FOR REAL H
1.69%:  FOR REAL HORSE C
0.28%:  FOR SOME REASON I NEED TO W
0.48%:  FOR SOME REASON I NEED TO WASH
0.28%:  FOR SOME REASON I NEED TO LE
0.28%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "W
0.28%:  FOR SOME REASON IT W
0.28%:  FOR REASONS I CANNOT S
0.28%:  AD
0.28%:  FOR SOME REASON I CAN NOW
0.27%:  BE
0.27%:  SOME HORSE REASONS OR
0.27%:  MORAL REASONS I
0.27%:  BEER
0.27%:  FOR AN EM
0.27%:  FOR SOCIAL REASONS I
0.27%:  FOR NO REASON I CAN I
0.27%:  FOR HORSE CO
0.27%:  MY HORSE C
0.27%:  A HORSE S
0.27%:  FOR CHESS B
0.27%:  HORSE RELATED REASONS COM
0.27%:  FOR REAL REASONS THIS IS
0.27%:  REAL REASONS WH
0.27%:  FOR AD
0.27%:  FOR REASONS IN
0.27%:  FOR SOME REASON HORSES CAN BE
0.27%: SOME REASON I
0.27%:  FOR HORSEY TIME
0.27%:  MORE REASONS THAN I CAN EASILY AR
0.27%:  FOR SOME OTHER
1.08%:  FOR SOME OTHER REASONS
0.30%:  FOR SOME OTHER REASON I
0.28%:  FOR SOME OTHER REASON I CAN
0.27%:  FOR SOME REASON ALREADY THIS
0.27%:  OTHER REASONS AND
0.27%:  A R
0.27%:  MORE CHESS T
0.27%:  CHESS S
0.26%:  FOR SOME HORSE REASONS I D
0.26%:  FOR SOME REASON BECA
0.26%:  FOR SOME REASON I NOW RE
0.26%:  FOR SOME HORSE R
0.26%:  SECRETS
0.26%:  FOR SECRET ME
0.26%:  REASONS OF MY
0.26%:  FOR SOME HORSES AND
0.26%:  FOR SOME REASON THIS IS RE
0.26%:  COMFORT RE
0.26%:  FOR SOME REASON THIS WAS AN
0.26%:  ANOTHER CON
0.26%:  FOR SESSION
