this keeps up I'm just going to invent my OWN Nobel prize, I swear to god
100.00%: 
9.04%:  I
0.90%:  this keeps up, I'm going to jump
0.90%:  this keeps up I'm just going to go sit
0.88%:  this keeps up, I'm just going to post
0.88%:  this keeps up I'm going to re
0.87%:  this keeps up I'm going to get pun
0.85%:  this keeps up, I'm going to join
0.84%:  this keeps up I'm going to storm
0.84%:  this keeps up, I'm going to get pun
0.82%:  this keeps up, I'm going to just invent
0.82%:  this keeps up, I'm going to turn in
0.80%:  this keeps up, I'm going to use
0.79%:  this keeps up, I'm going out
0.77%:  this keeps up I'm going to post
0.76%:  this keeps up I'm going to get more
0.75%:  this keeps up, I'm going to stop trust
0.75%:  this keeps up I'm going to use
0.74%:  this keeps up, I'm going to stom
0.74%:  this keeps up I'm going to go IN
0.74%:  this keeps up I'm going to just move
0.72%:  this keeps up I'm going to jump into
0.72%:  this keeps up, I'm going to get more
0.71%:  this keeps up, I'm going to just go
0.70%:  this keeps up I'm going to stop just
0.70%:  this keeps up, I'm going on
0.70%:  this keeps up I'm just going to go over
0.69%:  this keeps up I'm going to turn on
0.68%:  this keeps up I'm going to get super into
0.66%:  this keeps up I'm just going to re
0.66%:  this keeps up, I'm just going to stom
0.92%:  this keeps up, I'm just going to stomp on every
0.66%:  this keeps up, I'm just going to go sit
0.63%:  this keeps up I'm going to just invent some
0.63%:  this keeps up I'm just going to not
0.62%:  this keeps up I'm going to put some
0.62%:  this keeps up, I'm going to put some
0.62%:  this keeps up I'm going to step
0.83%:  this keeps up I'm going to step on some
0.62%:  this keeps up, I'm going to print out
0.61%:  this keeps up I'm just going to get some
0.61%:  this keeps up I'm just going to get into
0.61%:  this keeps up, I'm just going to get more
0.60%:  this keeps up, I'm going to get into some
0.60%:  this keeps up I'm just going to move in
0.60%:  this keeps up, I'm going to turn on
0.59%:  this keeps up I'm going to put on
0.58%:  this keeps up I'm going to sign
0.57%:  this keeps up, I'm going to stop just
0.56%:  this keeps up, I'm just going to re
0.55%:  this keeps up, I'm just going to give it
0.55%:  this keeps up, I'm going to storm
0.55%:  this keeps up I'm going out
0.54%:  this keeps up I'm going to stop trust
0.53%:  this keeps up I'm going on
0.53%:  this keeps up, I'm going to step
0.91%:  this keeps up, I'm going to step on some
0.53%:  this keeps up, I'm just going to get some
0.53%:  this keeps up, I'm just going to get into
0.53%:  this keeps up, I'm going to post
0.52%:  this keeps up, I'm going to go IN
0.52%:  this keeps up I'm going to sm
0.52%:  this keeps up I'm just going to move on
0.51%:  this keeps up, I'm going to just invent some
0.50%:  this keeps up, I'm just going to move in
0.50%:  this keeps up I'm just going to print some
0.50%:  this keeps up I'm going to press
0.48%:  this keeps up I'm going to get some sort
0.48%:  this keeps up, I'm just going to not
0.48%:  this keeps up I'm just going to never stop
0.47%:  this keeps up, I'm going to sign
0.47%:  this keeps up, I'm just going to move on
0.47%:  this keeps up, I'm going to sue
0.46%:  this keeps up, I'm going to jump into
0.46%:  this keeps up, I'm just going to go over
0.45%:  this keeps up, I'm going to just move
0.45%:  this keeps up, I'm going to sit
0.45%:  this keeps up I'm going to sue
0.44%:  this keeps up, I'm going to get some sort
0.44%:  this keeps up I'm going to turn in
0.43%:  this keeps up I'm going to print out
0.43%:  this keeps up, I'm just going to print some
0.43%:  this keeps up I'm just going to point
0.43%:  this keeps up, I'm going to enter
0.42%:  this keeps up I'm just going to print every
0.42%:  this keeps up, I'm going to set up some
0.42%:  this keeps up, I'm going to sign up
0.42%:  this keeps up, I'm going to put on
0.42%:  this keeps up, I'm just going to print every
0.41%:  this keeps up I'm going to set up some
0.41%:  this keeps up I'm going to sit
0.41%:  this keeps up I'm going to just stop even
0.40%:  this keeps up I'm just going to step
0.40%:  this keeps up I'm just going to store
0.39%:  this keeps up I'm just going to set every
0.39%:  this keeps up, I'm going to press
0.39%:  this keeps up I'm going to just get
0.39%:  this keeps up I'm going to just invent my
0.38%:  this keeps up, I'm just going to never stop
0.38%:  this keeps up I'm going to storm into
0.37%:  this keeps up, I'm going to miss out
0.37%:  this keeps up I'm going to go super
0.37%:  this keeps up, I'm just going to point
0.37%:  this keeps up I'm going to jump on
0.36%:  this keeps up I'm going to get into some
0.36%:  this keeps up I'm going to enter
0.36%:  this keeps up, I'm going to guess
0.36%:  this keeps up, I'm going to storm into
0.36%:  this keeps up I'm going to get su
0.35%:  this keeps up, I'm going to just stop invent
0.35%:  this keeps up I'm going to sp
0.35%:  this keeps up I'm just going to go over to my
0.35%:  this keeps up I'm going to guess
0.34%:  this keeps up, I'm just going to store
0.34%:  this keeps up, I'm going to see
0.34%:  this keeps up, I'm going to get su
0.33%:  this keeps up I'm going to stop n
0.33%:  this keeps up I'm just going to go stom
0.33%:  this keeps up, I'm going to print out some
0.32%:  this keeps up, I'm going to sit on
0.32%:  it's too
0.32%:  this keeps up I'm going to miss out
0.32%:  this keeps up I'm just going to go into every
0.32%:  this keeps up, I'm going to just get
0.31%:  this keeps up, I'm going to sm
0.31%:  this keeps up I'm just going to step on every
0.31%:  this keeps up, I'm going to just stop even
0.30%:  this keeps up, I'm just going to step
0.30%:  this keeps up I'm just going to sign
0.41%:  this keeps up I'm just going to sign every
0.30%:  this keeps up I'm going to just open
0.30%:  this keeps up I'm going to just stop invent
0.29%:  this keeps up, I'm just going to set every
0.29%:  this keeps up I'm just going to post on
0.29%:  this is
0.29%:  this keeps up I'm going to just move into
0.28%:  this keeps up I'm going to step out
0.28%:  this keeps up, I'm going to go super
0.28%:  this keeps up I'm going to get upset,
0.28%:  this keeps up I'm going to upset
0.28%:  this keeps up, I'm going to upset
0.28%:  this keeps up, I'm going to print some
0.28%:  this keeps up, I'm going to step out
0.28%:  this keeps up, I'm out
0.28%:  this keeps up, I'm just going to go into every
0.28%:  this keeps up I'm going to just sit
0.28%:  this keeps up I'm just going to stop time
0.27%:  this keeps up, I'm going to get one
0.27%:  this keeps up, I'm going to just invent my
0.27%:  this keeps up I'm going to stop using met
0.27%:  this keeps up, I'm just going to go over to my
0.26%:  this keeps up I'm going to just print
0.26%:  this keeps up I'm just going to go stomp on every
0.26%:  this keeps up, I'm just going to invent my O
0.26%:  this keeps up, I'm going to get some super
0.26%:  this keeps up I'm going to print out some
0.26%:  this keeps up I'm going to get one
0.26%:  this keeps up I'm going to str
0.25%:  this keeps up I'm going to just never
0.25%:  this keeps up, I'm going to just sit
0.25%:  this keeps up, I'm going to turn some
0.25%:  this keeps up I'm going to see
0.25%:  this keeps up I'm going to rip
0.24%:  this keeps up, I'm going to jump on
0.24%:  this keeps up I'm just going to go sit on
0.24%:  this keeps up I'm just going to post it
0.24%:  this keeps up, I'm just going to go stom
0.24%:  this keeps up I'm just going to invent my O
0.24%:  this keeps up, I guess
0.24%:  this keeps up I'm going to go up
0.24%:  this keeps up I'm just going to rip
0.24%:  this keeps up I'm just going to stop every
0.24%:  this keeps up I'm just going to stop every time
0.24%:  this keeps up, I'm just going to stop time
0.24%:  this keeps up I'm going to sit on
0.23%:  this keeps up, I'm going to just move into
0.23%:  this keeps up I'm just going to get so
0.23%:  this keeps up, I'm going to ruin
0.23%:  this keeps up I'm going to print some
0.23%:  this keeps up I'm just going to sp
0.23%:  this keeps up, I'm going to just print
0.23%:  this keeps up, I'm going to stop using met
0.23%:  this keeps up, I'm going to stop n
0.23%:  this keeps up, I'm going to rip
0.22%:  this keeps up I'm going to pe
0.22%:  this keeps up I'm going to spo
0.22%:  this keeps up I'm just going to move to 
0.22%:  this keeps up, I'm going to step into
0.22%:  this keeps up, I'm going to set some
0.22%:  this keeps up, I'm going to turn to stone
0.21%:  this keeps up, I'm just going to go stomp on every
0.21%:  this keeps up I'm going to turn pro
0.21%:  this keeps up, I'm just going to sign
0.33%:  this keeps up, I'm just going to sign every
0.21%:  this keeps up I'm just going to sm
0.21%:  this keeps up, I guess I'm
0.57%:  this keeps up, I guess I'm going
0.21%:  this keeps up, I'm going to put it
0.21%:  this keeps up I'm going to not
0.21%:  this keeps up, I'm going to just invent time
0.21%:  this keeps up, I'm just going to stop every
0.28%:  this keeps up, I'm just going to stop every time
0.21%:  this keeps up, I'm going to sp
0.21%:  this keeps up I'm going to po
0.21%:  this keeps up I'm just going to not even
0.21%:  this keeps up, I'm going to get upset soon
0.20%:  this keeps up, I'm going to just never
0.20%:  this keeps up, I'm just going to post it
0.20%:  this keeps up I'm going to get some super
0.20%:  this keeps up I'm going to just go to
0.20%:  this keeps up I'm going to just invent time
0.20%:  this keeps up, I just
0.20%:  this keeps up, I'm going to get in
0.20%:  this keeps up I'm going to point
0.20%:  this keeps up, I'm just going to step on every
0.20%:  this keeps up, I'm going to just open
0.20%:  this keeps up I'm going to open some
0.20%:  this keeps up I'm going to set some
0.20%:  this keeps up I'm just going to get on
0.20%:  this keeps up, I'm going to get to
0.20%:  this keeps up I'm going to mess
0.20%:  this keeps up I'm just going to stop n
0.20%:  this keeps up I'm going to put on some
0.20%:  this keeps up, I'm going to store
0.19%:  this keeps up I'm going to store
0.19%:  this keeps up, I'm just going to step into
0.19%:  this keeps up I'm going to get super j
0.19%:  this post
0.19%:  this keeps up I'm going to pu
0.19%:  this keeps up, I'm just going to go sit on
0.19%:  this keeps up, I'm going to point
0.19%:  this keeps up, I'm just going to post on
0.19%:  this keeps up I'm going to turn some
0.18%:  this keeps up I'm going to piss
0.18%:  this keeps up I'm going to super
0.18%:  this keeps up I'm going to step into
0.18%:  this keeps up I'm just going to rent
0.18%:  this keeps up, I'm going to go up
0.18%:  this keeps up I'm just going to step into
0.18%:  this keeps up I'm just going to get in
0.18%:  this keeps up I'm just going to stop,
0.18%:  this keeps up, I'm going to str
0.18%:  this keeps up I'm going to put it
0.18%:  this keeps up, I'm going to spo
0.18%:  this keeps up, I'm just going to move to 
0.18%:  this keeps up I'm going to post some
0.18%:  this keeps up I'm just going to go invent my
0.18%:  this keeps up, I'm going to pe
0.18%:  this keeps up, I'm just going to stop n
0.17%:  this keeps up I'm going to just give my
0.17%:  I put
0.17%:  this keeps up I'm going to stop time
0.17%:  this keeps up I'm going to just not
0.17%:  this keeps up I'm just going to pe
0.17%:  this keeps up I'm going to get up
0.17%:  this keeps up, I'm going to not
0.17%:  this keeps up I'm just going to post every
0.17%:  this keeps up, I'm going to guess I
0.17%:  this keeps up, I'm going to pu
0.16%:  this keeps up I'm going to get in
0.16%:  this keeps up, I'm going to super
0.16%:  this keeps up I'm going to ruin
0.16%:  this keeps up, I'm just going to not even
0.16%:  this keeps up, I'm going to piss
0.16%:  this keeps up I'm going to stop not
0.16%:  this keeps up, I'm going to mess
0.16%:  this keeps up, I'm going to WIN
0.16%:  this keeps up, I'm just going to get so
0.16%:  this keeps up I'm going to go so
0.16%:  this keeps up I'm just going to storm
0.16%:  this keeps up, I'm going to stop time
0.16%:  this keeps up, I'm going to stop not
0.16%:  this keeps up, I'm going to get super j
0.16%:  this keeps up, I'm going to put on some
0.16%:  this keeps up, I'm just going to rip
0.16%:  this keeps up, I'm going to upset some
0.16%:  this keeps up I'm going to get to
0.15%:  this keeps up, I'm just going to rent
0.15%:  this keeps up I'm going to jump in
0.15%:  this keeps up I'm going to rip out
0.15%:  this keeps up, I'm going to get so into
0.15%:  this keeps up, I'm going to open some
0.46%:  this keeps up, I'm going to open some sort
0.15%:  this keeps up, I'm going to get more upset
0.15%:  this keeps up, I'm going to post some
0.15%:  this keeps up, I'm going to put in
0.15%:  this keeps up I'm just going to give in
0.15%:  this keeps up I'm just going to open every
0.15%:  this keeps up I'm just going to enter
0.15%:  this keeps up I'm going to sign up to
0.15%:  this keeps up I'm going to WIN
0.15%:  this keeps up, I'm going to turn pro
0.15%:  it's so
0.15%:  this keeps up I'm just going to sne
0.15%:  this keeps up I'm going to turn to stone
0.15%:  this keeps up, I'm going to get up
0.15%:  this keeps up I'm going to retro
0.14%:  this keeps up I'm going to IN
0.14%:  this keeps up, I'm going to po
0.14%:  this keeps up I'm going to get so into
0.14%:  this keeps up, I'm going to just go to
0.14%:  this keeps up I'm going to guess I
0.14%:  this keeps up I'm going to put in
0.14%:  this keeps up I'm going to just go into
0.14%:  this keeps up, I'm going to get out
0.14%:  this keeps up, I'm going to rip out
0.14%:  this keeps up I'm just going to get one
0.14%:  this keeps up I'm just going to invent post
0.14%:  this keeps up I'm going to some
0.14%:  this keeps up I'm going to upset some
0.14%:  this keeps up I'm going to jump over
0.14%:  this keeps up, I'm just going to get one
0.14%:  this keeps up I'm going to get IN
0.14%:  this keeps up I'm going to get up on
0.14%:  this keeps up I'm going to just set
0.13%:  this keeps up, I'm going to go so
0.13%:  this keeps up, I'm going to get too
0.13%:  this keeps up I'm going to go stom
0.13%:  this keeps up, I'm just going to go invent my
0.13%:  this keeps up I'm just going to get over
0.13%:  this keeps up, I'm just going to stop not
0.13%:  this keeps up I'm just going to go post
0.13%:  this keeps up I'm just going to get more into
0.13%:  this keeps up, I'm just going to get in
0.13%:  this keeps up, I'm going to just not
0.13%:  this keeps up, I'm just going to enter
0.13%:  this keeps up, I'm just going to sp
0.13%:  this keeps up I'm going to post on
0.13%:  this keeps up I'm just going to retro
0.13%:  this keeps up I'm going to get on
0.13%:  this keeps up, I'm just going to post every
0.13%:  this keeps up I'm going nuts
0.13%:  this keeps up I'm going to turn to some
0.13%:  this keeps up I'm out
0.12%:  this keeps up I'm going post
0.12%:  this keeps up, I'm just going to invent post
0.12%:  this keeps up, I'm going to go sit
0.12%:  this keeps up I'm going to just invent more
0.12%:  this keeps up I'm just going to go in
0.12%:  this keeps up I'm going to spin
0.12%:  this keeps up I'm going to go sit
0.12%:  this keeps up I'm going to get more upset
0.12%:  this keeps up, I'm going to get IN
0.12%:  this keeps up I'm going to rent
0.12%:  this keeps up, I'm going to get up on
0.12%:  this keeps up I'm going to get too
0.12%:  this keeps up I'm just going to prove
0.12%:  this keeps up, I'm just going to get on
0.12%:  this keeps up, I'm going to retro
0.12%:  this keeps up I'm going to pour
0.12%:  this keeps up, I'm just going to sm
0.12%:  this keeps up, I'm going to get into some sort
0.12%:  this keeps up, it
2.21%:  this keeps up, it's going
2.59%:  this keeps up, it's going to get
0.59%:  this keeps up, it's going to go
0.28%:  this keeps up, it's going to get me
0.12%:  this keeps up, it's going to get so
0.12%:  this keeps up, I'm going to get no
0.12%:  this keeps up I'm just going to over
0.12%:  this keeps up I'm going to get upset soon
0.12%:  this keeps up, I'm going to sign up to
0.11%:  this post gets
0.11%:  this keeps up I'm going to get out
0.11%:  this keeps up I'm going to storm out,
0.11%:  this keeps up I'm going to join some
0.15%:  this keeps up I'm going to join some sort
0.11%:  this keeps up, I'm going to some
0.11%:  this keeps up I'm going to,
0.11%:  this keeps up I'm just going to stop not
0.11%:  this keeps up I'm going to get no
0.11%:  this keeps up, I guess I'm not
0.46%:  this keeps up, I guess I'm not going
0.11%:  this keeps up I'm going to just go on
0.11%:  this keeps up I'm just going to vom
0.17%:  this keeps up I'm just going to vomit on
0.11%:  this keeps up I'm just going to give my notes
0.11%:  this keeps up, I'm just going to print it
0.21%:  this keeps up, I'm just going to print it on every
0.11%:  this keeps up, I'm going to print it
0.11%:  this keeps up, it's going to get to
0.11%:  this keeps up I'm going to get so upset,
0.11%:  this keeps up, I'm just going to pe
0.11%: ,
0.11%:  this keeps up I'm going to get m
0.11%:  this keeps up, I'm going to jump in
0.11%:  this keeps up, I'm going out to
0.11%:  this keeps up I'm going to go nuts, I
0.11%:  this keeps up I'm going to turn IN
0.11%:  this keeps up, I'm going to get on
0.11%:  this keeps up, I'm just going to open every
0.11%:  this keeps up I'm going to get so super
0.11%:  this keeps up, I'm going to rent
0.11%:  this keeps up, I'm going to turn to some
0.11%:  this keeps up, I'm just going to sne
0.11%:  this keeps up I'm just going to give my best
0.11%:  this keeps up, I'm going nuts
0.11%:  this keeps up, it's going on
0.11%:  this keeps up I'm just going to go IN
0.10%:  this keeps up I'm going to go nuts or
0.10%:  this keeps up I'm just going to stomp every
0.10%:  this keeps up I guess
0.13%:  this keeps up I guess I'm
0.41%:  this keeps up I guess I'm going
0.10%:  this keeps up I'm going out to
0.10%:  this keeps up, I'm just going to point to
0.10%:  this keeps up, I'm going to soon
0.10%:  this keeps up, it's just
0.35%:  this keeps up, it's just going
1.21%:  this keeps up, it's just going to get
0.48%:  this keeps up, it's just going to get more
0.15%:  this keeps up, it's just going to go
0.13%:  this keeps up, it's just going to get me
0.12%:  this keeps up, it's just going to get even
0.36%:  this keeps up, it's just going to get even more
0.10%:  this keeps up I'm just going to storm into
0.10%:  this keeps up I'm going to stop,
0.10%:  this keeps up, I'm going to spin
0.10%:  this keeps up I'm just going to sit over
0.10%:  this keeps up, I'm going to just sit in
0.10%:  this keeps up, I'm going to un
0.10%:  this keeps up, I'm going to IN
0.10%:  this keeps up, I'm just going to give in
0.10%:  this keeps up, I'm going to just go into
0.10%:  this keeps up I'm going to post it
0.10%:  this keeps up I'm just going to give some
0.10%:  this keeps up, I'm just going to get over
0.10%:  this keeps up, I'm just going to invent it
0.10%:  this keeps up I'm going to un
0.10%:  this keeps up I'm going to W
0.10%:  this keeps up I'm going to to
0.10%:  this keeps up, I'm just going to sit over
0.10%:  this keeps up, I'm just going to get more into
0.10%:  this keeps up I'm going to st
0.10%:  this keeps up I'm just going to give one
0.10%:  this keeps up, I'm going to step out in
0.10%:  this keeps up I'm just going to go print
0.10%:  this keeps up, I'm going to just give my
0.10%:  this keeps up I'm just going to invent retro
0.10%:  this keeps up, I'm going to stop using time
0.10%:  this keeps up, I'm going to jump over
0.10%:  this keeps up I'm going to get into some sort
0.10%:  this keeps up I'm going to just stop ever
0.10%:  this keeps up, I'm going to get m
0.10%:  this keeps up I'm going to sne
0.10%:  this keeps up I'm just going to open some
0.10%:  this keeps up, I'm going post
0.10%:  this keeps up I'm just going to move onto
0.10%:  this keeps up, I'm just going to go print
0.10%:  this keeps up, I'm going to storm out in
0.09%:  this keeps up I'm going to storm out in
0.09%:  this keeps up, I'm just going to invent times
0.09%:  this keeps up I'm going to just give it
0.09%:  this keeps up, I'm going to join some
0.12%:  this keeps up, I'm going to join some sort
0.09%:  this keeps up I'm just going to go open
0.09%:  this keeps up, I'm just going to stomp on every one
0.09%:  this keeps up, I'm just going to retro
0.09%:  this keeps up, I'm going to seem
0.09%:  this keeps up, I'm going to go on to
0.09%:  this keeps up I'm just going to give in to
0.10%:  this keeps up I'm just going to give in to my
0.09%:  this keeps up I'm just going to go to every
0.09%:  this keeps up I'm going to print it
0.09%:  this keeps up, I'm going to sit in
0.09%:  this keeps up I'm going to just never stop
0.09%:  this keeps up I'm going to get just
0.09%:  this keeps up I'm just going to spit on every
0.09%:  this keeps up, I'm going to sne
0.09%:  this keeps up, I'm just going to storm
0.09%:  this keeps up, I'm going to post on
0.09%:  this keeps up I just
0.09%:  this keeps up, I'm going to just never stop
0.09%:  this keeps up I'm going to O
0.09%:  this keeps up, I'm just going to move onto
0.09%:  this keeps up I'm going to just sit on
0.09%:  this keeps up, I'm going to get just
0.09%:  this keeps up I'm going to go just
0.09%:  this keeps up, I'm just going to go in
0.09%:  this keeps up, I'm going to go stom
0.09%:  this keeps up, I'm just going to open some
0.09%:  this keeps up, I'm going to just sit on
0.09%:  this keeps up I'm going to p
0.09%:  this keeps up, I'm going to get so super
0.09%:  this keeps up, I'm going to just invent more
0.09%:  this keeps up, I'm just going to invent retro
0.09%:  this keeps up I'm just going to point to
0.09%:  this keeps up I'm going to go on to
0.09%:  this keeps up I'm going to get put
0.09%:  this keeps up I'm just going to stomp on every one
0.09%:  this keeps up I'm going to just sit in
0.09%:  this keeps up I'm just going to go invent more
0.09%:  this keeps up I'm just going to go into se
0.09%:  this keeps up I'm going to pun
0.09%:  this keeps up I'm going to jump to
0.09%:  this keeps up I'm going to sing
0.09%:  this keeps up, I'm going to to
0.09%:  this keeps up, I'm going to get me
0.09%:  this keeps up I'm just going to pee on every
0.09%:  this keeps up, I'm going to go just
0.09%:  this keeps up, I'm going to turn IN
0.08%:  this keeps up, I'm going to just go on
0.08%:  this keeps up, I'm going to post it
0.08%:  this keeps up, I'm going to get ro
0.08%:  this keeps up, I'm going to get put
0.08%:  this keeps up I'm going to seem
0.08%:  this keeps up I'm just going to post on every
0.22%:  this keeps up I'm just going to post on every blog
0.08%:  this keeps up, I'm going to pour
0.08%:  this keeps up, I'm just going to prove
0.08%:  this keeps up I'm going to strip
0.08%:  this keeps up, I'm going to turn it
0.08%:  this keeps up, I'm going to just set
0.08%:  this keeps up I'm going to turn so
0.08%:  this keeps up I'm going to spin out
0.08%:  this keeps up, I'm going to stop using n
0.08%:  this keeps up I'm just going to move to one
0.08%:  this keeps up I'm going to get ro
0.08%:  this keeps up I'm just going to post it on every
0.14%:  this keeps up I'm just going to post it on every blog
0.08%:  this keeps up I'm just going to str
0.08%:  this keeps up, I'm just going to tie
0.08%:  this keeps up, I'm just going to post it on every
0.11%:  this keeps up, I'm just going to post it on every blog
0.08%:  this keeps up I'm just going to step in
0.08%:  this keeps up, I'm going to see some
0.08%:  this keeps up I'm going to go into some
0.08%:  this keeps up I'm going to put some sort
0.08%:  this keeps up, I'm going to piss on
0.08%:  this keeps up, I'm going to store up
0.08%:  this keeps up, I'm just going to go open
0.08%:  this keeps up, I'm going to miss not
0.08%:  this keeps up, I'm going to spin out
0.08%:  this keeps up, I'm going to just stop ever
0.08%:  this keeps up I'm going to stop using n
0.08%:  this keeps up, I'm just going to storm into
0.08%:  this keeps up, I'm sure
0.08%:  this keeps up I'm going to spit on some
0.08%:  this keeps up I'm going to sit in
0.08%:  this keeps up I'm just going to,
0.08%:  this keeps up, I'm going to O
0.08%:  this keeps up I'm going to store up
0.08%:  this keeps up I'm going to go turn
0.08%:  this keeps up I'm going to piss on
0.08%:  this keeps up I'm just going to visit
0.08%:  this keeps up, I'm going to st
0.08%:  this keeps up, I'm going to W
0.08%:  this keeps up, I'm going to spit out
0.08%:  this keeps up, I'm going to go up in
0.08%:  this keeps up I'm just going to print it
0.14%:  this keeps up I'm just going to print it on every
0.08%:  this keeps up I'm going to N
0.08%:  this keeps up I'm just going to get very
0.08%:  this keeps up I'm just going to invent,
0.08%:  this keeps up I'm going to go jump
0.08%:  this keeps up I'm going to join every
0.07%:  this keeps up I'm just going to invent 
0.07%:  this keeps up I'm going to just not even
