YOUR IDEA OF HAPPINESS IS LOWERED EXPECTATIONS?
100.00%: 
21.09%: UN
19.94%:  YOU
1.26%:  WHAT IS YOUR PLAN IF
1.10%:  WHAT IS YOUR D
0.90%:  WHAT IS YOUR PLAN FOR A
0.87%:  WHAT IS YOUR PLAN FOR NO
0.72%:  WHAT IS YOUR PLAN? ARE
0.45%:  WHAT IS YOUR PRO
10.38%:  WHAT IS YOUR PROFESSION?
3.85%:  WHAT IS YOUR PROFESSION NO
0.67%:  WHAT IS YOUR PROFESSION IN
0.45%:  WHAT IS YOUR N
0.44%:  YOU T
0.75%:  YOU TOLD
0.44%:  YOU ARE NOT RE
0.44%:  WHAT IS YOUR PLAN NO
0.43%:  WHAT ARE YOU SO
0.43%:  WHEN YOU ARE OLDER DO NOT S
0.42%:  WHAT IF YOU ARE OLD?
0.42%:  WHAT ARE YOU DOIN
0.42%:  WHEN YOU ARE A
0.42%:  IN OTHER
18.51%:  IN OTHER WORDS YOU
2.47%:  IN OTHER WORDS YOU D
0.89%:  IN OTHER WORDS YOU EXPECT
0.84%:  IN OTHER WORDS YOU NE
0.66%:  IN OTHER WORDS YOU AND
0.61%:  IN OTHER WORDS I
0.42%:  YOU ARE AWARE
0.42%:  WHEN YOU ARE OLDER AND F
0.42%:  WHAT IS YOUR PLAN IN
0.41%:  WHAT IS YOUR PROFESSION A
0.41%:  STOP S
0.40%:  ARE YOU READ
0.40%:  YOU ARE A PRO
0.40%:  YOU ARE PRE
0.40%:  YOU STAND
0.40%:  YOU DID LISTEN AF
0.39%:  YOU NE
0.39%:  WHEN YOU ARE OLD AND ST
0.39%:  WHEN YOU ARE OLDER AND FE
0.39%:  Y
0.44%:  YEA
0.39%:  IT
0.39%:  YOU ARE TAL
0.38%:  SAY WE ARE
0.38%:  YOU ARE PRO
0.38%:  YOU ARE AN I
0.59%:  YOU ARE AN IDIOT AND
0.38%:  YOU WANT A
0.38%:  YOU ARE LEFT
0.38%:  FUL
0.38%:  WHAT IF YOU NE
0.38%:  WHAT IF YOU ARE OLDER? ONE
0.37%:  WHY
0.83%:  WHY ARE
0.37%:  YOU ARE THE S
0.37%:  YOU ARE AL
0.37%:  PROFOUNDLY
0.37%: OO
0.36%:  YOU ARE DEF
0.92%:  YOU ARE DEFEND
0.36%:  WHAT IF YOU ARE OLDER AND I
0.36%:  YOU SE
0.36%:  NOW YOU ARE ST
0.43%:  NOW YOU ARE STAND
0.36%:  WHAT IF YOU ARE OLDER? S
0.36%:  H
0.38%:  HARD
0.36%:  WHEN YOU ARE OLDER AND STOPPE
0.36%:  YOU ARE NE
0.35%:  YOU ARE AN OLDER AD
0.35%:  SOON
0.35%:  YOU DO
0.35%:  WHAT IF YOU ARE OLDER? NO
0.35%:  WHAT DO YOU SE
0.49%:  WHAT DO YOU SEE IN
0.35%:  THERE IS NO SU
0.35%:  SAYS THE ONE
0.35%:  DID YOU P
0.35%:  DID YOU EAT
0.35%:  HERE
0.35%:  SAYS THE DINOSAUR L
0.34%:  WHEN YOU ARE OLD AND STOP
0.34%:  YOU SAID L
0.49%:  YOU SAID LAST W
0.34%:  WHAT IF YOU ARE S
0.34%:  SAYS THE DINOSAUR P
0.34%:  YOU DID LE
0.47%:  YOU DID LEARN ONE
0.36%:  YOU DID LEARN A
0.34%:  SAYS THE DINOSAUR IN D
0.34%:  IN OTHER WORDS YOU S
0.34%:  THEN
0.65%:  THEN YOU ARE
0.34%:  YOU ARE AN E
0.34%:  WHAT IF YOU ARE OLDER? NO ONE
0.33%:  WHEN YOU ARE OLDER DO NOT EXPECT A
0.33%:  YOU ARE EXPECT
0.33%:  WHAT IF YOU ARE A D
0.33%: ON YOU WON
0.33%:  WHAT IS YOUR END
0.33%:  YOU EXPECT
0.33%:  SOON YOU
0.33%:  WHAT DO YOU DO IF
0.33%: ON I
0.33%:  THERE IS NO RE
0.56%:  THERE IS NO REAS
0.55%:  THERE IS NO REASON YOU
0.33%:  NOW YOU ARE P
0.38%:  NOW YOU ARE PRET
0.40%:  NOW YOU ARE PRETEND
0.33%:  YOU ARE THE ON
0.33%:  NOW YOU ARE PLAN
0.33%:  YOU ARE AN OP
0.32%:  YOU ARE ONE
0.82%:  YOU ARE ONE OF THOSE D
0.51%:  YOU ARE ONE OF THOSE S
0.32%:  DID YOU STOPP
0.32%:  SURE
0.32%:  THERE ARE SO
0.32%:  IN OTHER WORDS YOU LO
0.32%:  THERE IS NO WIN
0.32%:  WHEN YOU ARE OLDER IF
0.32%:  SAYS THE DINOSAUR D
0.31%:  DO
0.39%:  DO YOU W
0.35%:  DO YOU WANT A
0.31%:  WHAT IF YOUR
0.31%:  WHAT ARE YOUR L
0.31%:  NOW YOU ARE AN OLDER AD
0.31%:  W
0.31%:  WHAT ARE YOU LE
0.31%:  R
0.31%:  WHEN YOU ARE AN OLDER ST
0.30%:  WHEN YOU ARE OLDER AND P
0.30%:  WHEN YOU ARE OLDER AND SET
0.30%:  WE ARE S
0.30%:  YOU ARE D
0.40%:  YOU ARE DONE
0.41%:  YOU ARE DONE WITH S
0.30%:  WHAT IF YOU ARE R
0.30%:  ARE YOU ST
0.30%:  YOU ARE SET ON
0.30%:  NOW YOU RE
0.30%:  WHAT IF YOU ARE OLDER IN
0.30%:  DO YOU WANT SO
0.30%:  IS
0.30%:  IN OTHER WORDS YOU DO
0.30%:  YOU DID LEARN TO
0.33%:  YOU DID LEARN TO SPE
0.29%:  WHEN YOU ARE OLDER I EXPECT TO
0.29%:  FAR YOUR
0.29%:  WHAT ARE YOU LO
0.29%:  YOU STOP
0.29%:  WHAT DO YOU DO FOR A
0.29%:  YOU ARE R
0.29%:  YOU DO NOT
0.29%:  WHAT IS YOUR F
0.29%:  YOU ARE TOLD
0.29%:  YOU ARE L
0.29%:  YOU NEED
0.29%:  NOW YOU ARE TR
0.28%:  WHAT DO YOU LO
0.28%:  SAYS THE DINOSAUR E
0.28%: UR
0.28%:  NOW YOU ARE D
0.28%:  WHEN YOU ARE OLD AND S
0.28%:  WHAT IF YOU ARE OLDER AND ON
0.28%:  YOU ARE PRET
0.27%:  WHEN YOU ARE OLDER DOES IT
0.27%:  NOW YOU ARE STO
0.27%:  WHAT ARE YOU READ
0.27%:  WHEN YOU ARE OLDER AND E
0.27%:  WHAT YOU S
0.27%:  WE ARE T
0.27%:  WHAT DO YOU PLAN FOR
0.27%:  WHAT IS YOUR RE
0.32%:  WHAT IS YOUR REAL D
0.26%:  WHAT DO YOU D
0.26%:  WHEN YOU ARE OLDER T
0.26%:  NOW YOU ARE RE
0.26%:  YOU WIN
0.26%:  YOU ARE A ST
0.26%:  YOU ARE DO
0.26%:  NOW YOU ARE NOT
0.26%:  YOU SAID IT
0.26%:  WHAT ARE YOUR PLANS N
0.26%:  YOU ARE SA
0.26%:  YOU ARE AN ETERN
0.26%:  WHAT IS YOUR PROFESSION AND
0.26%:  YOU ARE STAND
0.26%:  WHAT IF YOUR D
0.26%:  THERE IS NO REAL DI
0.25%:  YOU ARE AN OLDER S
0.25%:  YOU ARE NOT S
0.25%:  YOUR L
0.62%:  YOUR LIFE IS
0.25%:  WHAT IS YOUR PLAN AF
0.25%:  WHAT IS YOUR PROFESSION? DO
0.25%:  WHEN YOU ARE OLDER AND AT
0.25%:  WHAT DO YOU LI
0.25%:  WHAT IS YOUR PLAN FOR P
0.25%:  T
0.25%:  ON
6.77%:  ONLY ONE OF US IS
1.67%:  ONLY ONE OF US H
1.96%:  ONLY ONE OF US HAS A
1.84%:  ONLY ONE OF US HAS TO
1.03%:  ONLY ONE OF US IS RE
1.00%:  ONLY ONE OF US HAS TO D
0.91%:  ONLY ONE OF US HAS RE
0.70%:  ONLY ONE OF US HAS REAS
0.60%:  ONLY ONE OF US IS A
0.57%:  ONLY ONE OF US IS EXPECT
0.56%:  ONLY ONE OF US IS PRO
0.51%:  ONLY ONE OF US HAS TO DIE A
0.44%:  ONLY ONE OF US HAS TO W
0.42%:  ONLY ONE OF US WAS
0.41%:  ONLY ONE OF US HAS D
0.38%:  ONLY ONE OF US IS EXPECTED
0.37%:  ONLY ONE OF US HAS SET
0.35%:  ONLY ONE OF US IS P
2.81%:  ONLY ONE OF US IS PREPARED TO
0.52%:  ONLY ONE OF US IS PREPARED TO D
0.37%:  ONLY ONE OF US IS PREDI
0.36%:  ONLY ONE OF US IS PREPARED TO DIE A
0.34%:  ONLY ONE OF US IS D
0.34%:  ONLY ONE OF US HAS A PRO
0.31%:  ONLY ONE OF US HAS TO DE
0.30%:  ONLY ONE OF US IS S
0.30%:  ONLY ONE OF US IS PRET
0.29%:  ONLY ONE OF US IS PREPAR
0.28%:  ONLY ONE OF US IS PREPARED TO DE
0.28%:  ONLY ONE OF US IS ST
0.28%:  ONLY ONE OF US HAS A RE
0.28%:  ONLY ONE OF US HAS PRO
0.27%:  ONLY ONE OF US IS I
0.26%:  ONLY ONE OF US IS SET
0.25%:  ONLY ONE OF US HAS SO
0.25%:  ONLY ONE OF US IS H
0.25%:  YOU ARE AN A
0.25%:  THIS
0.30%:  THIS IS YOUR
0.25%:  YOU ARE AD
0.25%:  YOUR PO
0.61%:  YOUR POINT IS WE
0.73%:  YOUR POINT IS WE ARE
0.30%:  YOUR POINT IS?
0.25%:  ONLY ONE OF US IS EXPECTED TO D
0.25%:  YOU LO
0.25%:  INSPI
0.45%:  INSPIRATION
0.25%:  WHAT IS YOUR PROFESSION? A
0.24%:  SA
0.24%:  NOW YOU ARE TH
0.24%:  WHEN YOU ARE OLDER IT IS
0.24%:  THEREFORE
0.28%:  THEREFORE YOU
0.24%:  WHAT IS YOUR PROFESSION ON
0.24%:  P
0.24%:  WHAT IF YOU ARE AN OLD D
0.24%:  YOU WISH FOR
0.24%:  WHAT DO YOU DO?
0.24%:  WHAT IF YOU ARE AL
0.24%:  YOU ARE ONE OF THOSE W
0.24%:  WHAT IS YOUR L
0.23%:  NOW YOU ARE O
2.83%:  NOW YOU ARE OLDER AND
0.68%:  NOW YOU ARE OLDER AND ST
0.41%:  NOW YOU ARE OLDER TH
0.29%:  NOW YOU ARE OLDER THAN I
0.40%:  NOW YOU ARE OLDER THAN I EXPECT
0.27%:  NOW YOU ARE OLDER?
0.23%:  WHAT IF YOU ON
0.23%:  WHAT IF YOU ARE OLDER AND SO
0.23%:  ONLY ONE OF US EXPECT
0.26%:  ONLY ONE OF US EXPECTS TO D
0.23%:  WHAT?
0.28%:  WHAT? YOU
0.31%:  WHAT? YOU ARE
0.23%:  YOU WISH TO
0.23%:  YOU STO
0.23%:  DID YOU RE
0.23%:  SAYS THE DINOSAUR ON A
0.23%:  WHAT IF YOU ARE OLDER AND P
0.23%:  NOW YOU ARE STOP
0.23%:  YOU ARE SO
0.23%:  WHAT IF YOU ARE OLDER AND E
0.23%:  SAYS THE DINOSAUR A
0.23%:  WHAT YOU RE
0.23%:  DID YOUR
1.58%:  DID YOUR PARENTS E
0.81%:  DID YOUR PARENTS S
0.29%:  DID YOUR PARENTS EXPECT
0.27%:  DID YOUR PARENTS P
0.26%:  DID YOUR PARENTS N
0.26%:  DID YOUR PARENTS AL
0.24%:  DID YOUR PARENTS LO
0.23%:  FAR YOU ARE ON
0.23%:  IN OTHER WORDS YOU SE
0.23%:  WHAT ARE YOUR S
0.23%:  ONLY ONE OF US WO
0.23%:  NOW I
0.23%:  YOUR LIFE WAS
0.22%:  WHAT DID YOUR P
0.22%:  WHY DID
0.22%:  DO YOU TH
0.22%:  INTER
0.22%:  WEIR
0.22%:  YOU ARE WR
0.22%:  HAP
0.22%:  WHERE DO
0.37%:  WHERE DO YOU P
0.45%:  WHERE DO YOU PLAN
0.49%:  WHERE DO YOU PLAN ON
0.35%:  WHERE DO YOU PLAN ON ST
0.31%:  WHERE DO YOU ST
0.72%:  WHERE DO YOU STAND NO
0.23%:  WHERE DO YOU PLAN ON STOR
0.22%:  YOU ARE AN OLD D
0.22%:  WHAT IF YOU ARE OLDER AND O
0.22%:  PRE
0.25%:  PREPARED
0.22%:  WHAT DO YOU DO ON
0.22%:  WE ARE DO
0.22%:  SAYS THE DINOSAUR LE
0.22%:  WHEN YOU ARE OLDER AND EAT
0.22%:  YOU ARE DE
0.22%:  ONLY ONE OF US IS R
0.22%:  FAR YOU ARE NOT
0.22%:  YOU STAND ON
0.22%:  NOW YOU ARE OLDER AND THIS
0.21%:  WHEN YOU ARE OLDER AND IT
0.21%:  HERE IS
0.21%:  YOU ARE STO
0.21%:  WHAT IS YOUR PROFESSION D
0.21%:  YOU ARE AWARE OF
0.21%:  SAD FOR
0.21%:  WHAT DO YOU E
0.21%:  SAYS THE S
0.21%:  IN OTHER WORDS NO
0.21%:  SAYS THE DINOSAUR PRO
0.21%:  WHAT IS YOUR PLAN FOR O
0.21%:  WHEN YOU ARE OLDER I S
0.21%:  ONLY ONE OF US IS E
0.21%:  YOU ARE LI
0.21%:  YOU AREN
0.21%:  WHAT IF YOU ARE OLDER? I EXPECT
0.21%: LO
0.21%:  THERE IS NO POSS
0.21%:  YOU ARE THE OP
0.21%:  WHEN YOU ARE OLDER ST
0.21%:  ONLY ONE OF US RE
0.21%:  WHAT I
0.21%:  YOU END
0.21%:  HEL
0.21%:  YOU LI
0.21%:  PLEASE
0.21%:  YOU ARE ONE OF THOSE SEL
0.21%:  ONLY ONE OF US IS EXPECTED TO DIE A
0.21%:  YOU AL
0.21%:  NOT
0.21%:  SAYS THE DINOSAUR ELD
0.20%:  YOU ARE F
0.29%:  YOU ARE FINE
0.20%:  YOU SHO
0.20%:  NOW YOU ARE AN OLD D
0.20%:  WHAT DO YOU NE
0.20%:  SPE
0.20%:  NOW YOU ARE DO
0.20%:  WHAT IS YOUR PROFESSION? I
0.20%:  WHAT DO YOUR
0.20%:  SAYS THE DINOSAUR DO
0.20%:  DO YOU RE
0.20%:  WE S
0.75%:  WE SHOULD PRO
0.52%:  WE SHOULD ST
0.28%:  WE SHOULD SET
0.27%:  WE SHOULD STAY
0.21%:  WE SHOULD T
0.20%:  WHAT ARE YOUR FE
0.20%:  THEN YOU D
0.53%:  THEN YOU DIE AND
0.20%:  WHY NOT
0.20%:  WHAT IS YOUR PLAN? DO
0.20%:  WHAT IF YOU ARE OLDER? DO
0.20%:  ONLY ONE OF US IS PRA
0.20%:  DID YOUR PARENTS NE
0.20%:  NOW YOU ARE IN
0.20%:  YOU ARE ONE D
0.20%:  WHEN YOU ARE OLDER AND I A
0.20%:  WHAT IS YOUR PLAN FOR E
0.20%:  WHAT IF YOU ARE AN OLDER DINO
0.20%:  WHEN YOU ARE OLDER AND SIT
0.20%:  WHEN YOU ARE OLDER DO I
0.20%:  WHAT IF YOU S
0.20%:  THERE ARE NO WIN
0.20%:  WHAT IF YOU ARE A L
0.20%:  YOU ARE NOW S
0.20%:  ARE YOU A
0.20%:  WHEN YOU ST
0.20%:  NOW YOU ARE A PRO
0.25%:  NOW YOU ARE A PROFESS
0.20%:  YOU ARE LESS OF
0.19%:  WHERE ARE YOU S
0.19%:  LO
0.19%:  YOU REAL
0.19%:  WHAT IF YOU ARE OLDER DO
0.19%:  WHAT IF YOU ARE OLDER DOES
0.19%:  FAR YOU ARE THE
0.19%:  YOU ARE H
0.19%:  WE ARE ON
0.19%:  WHAT DO YOU DO FOR E
0.19%:  YOU ARE NOT AN
0.19%:  WHAT DID YOU LEARN AF
0.19%:  ONLY ONE OF US IS WR
0.19%:  YOUR LIFE IS ONE
0.19%:  YOU ARE ANTI
0.19%:  YOU STOPPED READ
0.19%:  YOUR P
1.89%:  YOUR PLAN IS TO D
1.25%:  YOUR PLAN IS TO SP
1.19%:  YOUR PLAN IS TO S
0.99%:  YOUR PLAN IS TO DIE OF
0.83%:  YOUR PLAN IS TO DIE WH
0.75%:  YOUR PLAN IS TO SPEND E
0.73%:  YOUR PLAN IS TO DIE WHEN
0.60%:  YOUR PLAN IS TO DIE AND
0.59%:  YOUR PLAN IS TO SPEND A
0.55%:  YOUR PLAN IS TO DIE AN
0.55%:  YOUR PLAN IS TO DIE IN
0.52%:  YOUR PLAN IS TO DIE A
0.45%:  YOUR PLAN IS TO DIE AS
0.37%:  YOUR PLAN IS TO DIE S
0.36%:  YOUR PLAN IS TO WA
0.32%:  YOUR PLAN IS TO DIE SO
0.38%:  YOUR PLAN IS TO DIE SOONER
0.31%:  YOUR PLAN IS TO NE
0.30%:  YOUR PLAN IS TO DIE AN E
0.29%:  YOUR PLAN IS TO DIE H
0.26%:  YOUR PLAN IS TO DIE?
0.24%:  YOUR PLAN IS TO SPEND 
0.24%:  YOUR PLAN IS TO P
0.22%:  YOUR PLAN IS TO DIE O
0.20%:  YOUR PLAN IS TO RE
0.19%:  YOUR PLAN IS TO DIE AS SO
0.19%:  YOUR PLAN IS TO DE
0.19%: ON YOU AND
0.19%:  WHEN YOU ARE OLDER P
0.19%:  ONLY ONE OF US IS DO
0.19%:  WHAT IS YOUR PLAN FOR D
0.19%:  YOU AND
0.19%:  SAID THE D
3.48%:  SAID THE DINOSAURS
2.40%:  SAID THE DINOSAUR W
1.57%:  SAID THE DINOSAURS OF
1.51%:  SAID THE DINOSAUR IN
0.79%:  SAID THE DINOSAUR AS
0.70%:  SAID THE DINOSAURS W
0.58%:  SAID THE DINOSAUR ON
0.57%:  SAID THE DINOSAUR OF
0.57%:  SAID THE DINOSAURS OF Y
0.51%:  SAID THE DINOSAURS IN
0.48%:  SAID THE DINOSAURS OF O
0.30%:  SAID THE DINOSAUR S
0.30%:  SAID THE DINOSAURS OF AN
0.29%:  SAID THE DINOSAURS ON
0.19%:  YOU SAID?
0.18%:  WHAT ARE YOU?
0.18%:  WHAT DID YOU P
0.18%:  WHAT ARE YOUR EXPECT
0.18%:  ONLY ONE OF US EXPECTS TO DIE H
0.18%:  WHEN YOU S
0.18%:  STOP P
0.18%:  WHEN YOU ARE AN AD
0.18%:  WHAT DO YOU SEE FOR
0.18%: ON THE
0.18%:  WHAT DO YOU PRO
0.28%:  WHAT DO YOU PROPOSE AS
0.31%:  WHAT DO YOU PROPOSE AS AN
0.26%:  WHAT DO YOU PROPOSE?
0.18%:  NOW YOU ARE SET
0.18%:  DID YOU STOP FOR
0.18%:  NOW YOU ARE AN OLDER ST
0.18%:  YOU ARE A PROFESS
0.18%:  HELP YOU
0.18%:  YOU WERE S
0.18%:  THERE W
0.24%:  THERE WAS NO PO
0.18%:  WHAT IF YOU ARE OLDER SO
0.18%:  WHAT DID YOU EXPECT?
0.18%:  YOU ARE ONE OF THE
0.18%:  WHAT DO YOU LE
0.78%:  WHAT DO YOU LEARN IN
0.28%:  WHAT DO YOU LEARN?
0.18%:  YOU H
0.19%:  YOU HAD A
0.18%:  WHAT IF YOU ARE OLDER? IS
0.18%:  YOUR PLAN IS TO DO
0.24%:  YOUR PLAN IS TO DO ONE
0.18%:  SOR
0.33%:  SORRY TO
0.25%:  SORRY TO DIS
0.18%:  WHERE DO YOU STAND?
0.18%:  WHEN YOU ARE AN OLDER O
0.18%:  A
0.18%:  DOES
0.18%:  I W
0.18%:  ONLY ONE OF US EXPECTS TO DIE A
0.18%:  SAYS THE DINOSAUR LO
0.18%:  THERE WAS NO NE
0.61%:  THERE WAS NO NEED FOR YOU
0.21%:  THERE WAS NO NEED FOR US
0.18%:  THERE IS A
0.18%:  IF
0.80%:  IF YOU ARE
0.43%:  IF YOU ARE SO
0.19%:  IF YOU ARE NOT
0.18%:  IF YOU D
0.18%:  WHEN YOU ARE ST
0.30%:  WHEN YOU ARE STAND
0.18%:  SAYS THE PER
0.18%:  YOU ARE ONE OF THOSE PER
0.18%:  STOP SAY
0.18%:  YOUR PLAN IS TO DIE IN A
0.18%:  WHAT DO YOU NEED P
0.18%:  WHEN YOU ARE OLD AND STOPPE
0.18%:  WHERE DO YOU SE
0.18%:  WHAT IF YOU ARE OLDER? AS
0.18%:  WHAT IF YOU AREN
0.17%:  INSPIRED
0.17%:  WHAT IS YOUR DEF
0.17%:  YOU NEED TO P
0.17%:  YOU ARE PROPOS
0.17%:  ONLY ONE OF US HAD
0.17%:  WHAT IF YOU ARE ALONE
0.17%:  WHEN YOU ARE OLDER AND PAST
0.17%:  WHAT IS YOUR PLAN FOR SO
0.17%:  WHAT ARE YOU D
0.17%:  YOU L
0.18%:  YOU LITER
0.17%:  THERE WAS A
0.17%:  YOU ARE ONE OF THOSE P
0.17%:  WHEN YOU LO
0.17%:  NOW YOU ARE I
0.17%:  SAID THE DINOSAUR A
0.17%:  DID YOU REAL
0.17%:  WE ARE NOT
0.17%:  YOU DID NOT LEARN A S
0.17%:  WHAT IS YOUR PROFESSION EXPECT
0.17%:  STRAN
