IS A SENTENCE ONLY AN OLD MAN WOULD SAY
      0 100.00%: 
      1 26.83%:  IS
     54 26.49%:  WAS A SENTENCE ONLY A 
     55 26.49%:  WAS A SENTENCE ONLY A L
     56 26.48%:  WAS A SENTENCE ONLY A MO
     57 26.48%:  WAS A SENTENCE ONLY AMA
     58 26.47%:  WAS A SENTENCE ONLY A Y
     59 26.47%:  WAS A SENTENCE ONLY A MA
     60 26.44%:  WAS UN
     61 26.40%:  WAS A SENTENCE I ONLY NO
     62 26.36%:  WAS A SENTENCE ONLY IN
     63 26.36%:  WAS A SENTENCE ONLY U
     64 26.35%:  WAS A L
     65 26.34%:  WAS A SENTENCE ONLY S
     66 26.32%:  WAS A SENTENCE ONLY I
     67 26.31%:  WAS A SENTENCE ONLY M
     68 26.30%:  WAS A C
     69 26.28%:  WAS A T
     70 26.28%:  WAS A SENTENCE I DON
     71 26.28%:  WAS NOT A S
     72 26.25%:  WAS S
     73 26.25%:  WAS ME
     74 26.22%:  WAS A SENTENCE NO L
     75 26.09%:  WAS L
     76 26.06%:  WAS AN AMA
     77 26.05%:  WAS A SENTENCE ONLY D
     78 26.04%:  WAS A SENTENCE ANIM
     79 29.24%:  WAS A SENTENCE ANIMALS D
     80 27.01%:  WAS A SENTENCE ANIMALS DO
     81 26.24%:  WAS A SENTENCE ANIMALS ON
     82 26.04%:  WAS A SENTENCE ANIMALS N
     83 26.03%:  WAS ACT
     84 36.30%:  WAS ACTUALLY A S
     85 36.12%:  WAS ACTUALLY AN
     86 34.98%:  WAS ACTUALLY MY
     87 34.32%:  WAS ACTUALLY ME
     88 34.21%:  WAS ACTUALLY SO
     89 33.78%:  WAS ACTUALLY S
     90 33.54%:  WAS ACTUALLY AN E
     91 33.33%:  WAS ACTUALLY E
     92 33.27%:  WAS ACTUALLY A L
     93 33.25%:  WAS ACTUALLY M
     94 33.20%:  WAS ACTUALLY MO
     95 33.18%:  WAS ACTUALLY L
     96 33.12%:  WAS ACTUALLY IN
     97 33.10%:  WAS ACTUALLY ONE
     98 33.04%:  WAS ACTUALLY D
     99 33.00%:  WAS ACTUALLY N
    100 33.00%:  WAS ACTUALLY AL
    101 32.96%:  WAS ACTUALLY LI
    102 32.96%:  WAS ACTUALLY LE
    103 32.95%:  WAS ACTUALLY AD
    104 32.95%:  WAS ACTUALLY O
    105 32.94%:  WAS ACTUALLY ON
    106 33.40%:  WAS ACTUALLY ONLY ONE
    107 32.93%:  WAS ACTUALLY EN
    108 32.92%:  WAS ACTUALLY LO
    109 32.91%:  WAS ACTUALLY NE
    110 32.91%:  WAS ACTUALLY 
    111 32.91%:  WAS ACTUALLY AS
    112 32.90%:  WAS ACTUALLY Y
    113 32.89%:  WAS ACTUALLY I
    114 33.83%:  WAS ACTUALLY IDEAS
    115 33.51%:  WAS ACTUALLY IDEAL
    116 32.89%:  WAS ACTUALLY MA
    117 32.88%:  WAS ACTUALLY DE
    118 32.68%:  WAS ACTUALLY A N
    119 32.48%:  WAS ACTUALLY A M
    120 32.26%:  WAS ACTUALLY ONLY A S
    121 32.19%:  WAS ACTUALLY A D
    122 32.16%:  WAS ACTUALLY AN I
    123 32.06%:  WAS ACTUALLY A DE
    124 32.00%:  WAS ACTUALLY A MO
    125 31.97%:  WAS ACTUALLY A DI
    126 31.96%:  WAS ACTUALLY A ME
    127 31.96%:  WAS ACTUALLY A LO
    128 31.94%:  WAS ACTUALLY A SO
    129 31.90%:  WAS ACTUALLY A LE
    130 33.36%:  WAS ACTUALLY A LESSON IN
    131 31.89%:  WAS ACTUALLY A SE
    132 31.89%:  WAS ACTUALLY A SL
    133 31.88%:  WAS ACTUALLY A DIS
    134 31.88%:  WAS ACTUALLY A NE
    135 31.88%:  WAS ACTUALLY A DO
    136 31.88%:  WAS ACTUALLY A SY
    137 31.88%:  WAS ACTUALLY A ONE
    138 31.69%:  WAS ACTUALLY IDEA MEN
    139 31.49%:  WAS ACTUALLY IDEALS
    140 31.43%:  WAS ACTUALLY ALMO
    141 31.24%:  WAS ACTUALLY LESS A
    142 31.18%:  WAS ACTUALLY A ONE LINE
    143 31.17%:  WAS ACTUALLY A SYNON
    144 31.16%:  WAS ACTUALLY LESS E
    145 30.70%:  WAS ACTUALLY DONE
    146 30.58%:  WAS ACTUALLY A LESSON I D
    147 30.47%:  WAS ACTUALLY ONLY AN
    148 30.43%:  WAS ACTUALLY MADE
    149 30.41%:  WAS ACTUALLY AN EN
    150 30.37%:  WAS ACTUALLY MY L
    151 30.32%:  WAS ACTUALLY SOMEONE I
    152 30.27%:  WAS ACTUALLY MAE
    153 30.24%:  WAS ACTUALLY A SOL
    154 30.19%:  WAS ACTUALLY EAS
    155 30.01%:  WAS ACTUALLY AS M
    156 29.87%:  WAS ACTUALLY A SON
    157 29.85%:  WAS ACTUALLY INS
    158 32.74%:  WAS ACTUALLY INSANEL
    159 30.50%:  WAS ACTUALLY INSANELY EN
    160 30.04%:  WAS ACTUALLY INSANELY S
    161 29.84%:  WAS ACTUALLY SAD
    162 29.83%:  WAS ACTUALLY EASIL
    163 29.77%:  WAS ACTUALLY YES
    164 29.74%:  WAS ACTUALLY AN IN
    165 29.66%:  WAS ACTUALLY A SIL
    166 29.65%:  WAS ACTUALLY A SIN
    167 29.64%:  WAS ACTUALLY ONLY ME
    168 29.63%:  WAS ACTUALLY A SEN
    169 29.61%:  WAS ACTUALLY A SENSE
    170 29.59%:  WAS ACTUALLY A SIM
    171 29.59%:  WAS ACTUALLY A SLE
    172 29.57%:  WAS ACTUALLY A SEND
    173 29.56%:  WAS ACTUALLY A SEL
    174 29.54%:  WAS ACTUALLY DEE
    175 29.50%:  WAS ACTUALLY EASI
    176 29.47%:  WAS ACTUALLY A NON
    177 29.40%:  WAS ACTUALLY INSANELY D
    178 29.37%:  WAS ACTUALLY A ONE LINE S
    179 29.35%:  WAS ACTUALLY NEE
    180 29.25%:  WAS ACTUALLY A LESSON ON
    181 29.19%:  WAS ACTUALLY ONLY AN E
    182 29.18%:  WAS ACTUALLY MY I
    183 29.14%:  WAS ACTUALLY AN O
    184 29.14%:  WAS ACTUALLY MY IDEA S
    185 29.13%:  WAS ACTUALLY LIES
    186 29.13%:  WAS ACTUALLY A SOME
    187 29.13%:  WAS ACTUALLY A SYL
    188 29.11%:  WAS ACTUALLY MY IDEA ON
    189 29.09%:  WAS ACTUALLY MY IDEA D
    190 29.09%:  WAS ACTUALLY MY IDEA SO
    191 29.09%:  WAS ACTUALLY ALSO MY
    192 29.08%:  WAS ACTUALLY MAID
    193 29.08%:  WAS ACTUALLY MY IDEA L
    194 29.07%:  WAS ACTUALLY MY IDEA NO
    195 29.04%:  WAS ACTUALLY MY IDEA E
    196 29.03%:  WAS ACTUALLY MY IDEA N
    197 28.98%:  WAS ACTUALLY DAN
    198 28.94%:  WAS ACTUALLY DEL
    199 28.81%:  WAS ACTUALLY INSANELY M
    200 28.79%:  WAS ACTUALLY ONLY A M
    201 28.75%:  WAS ACTUALLY NEEDED IN
    202 28.75%:  WAS ACTUALLY LESS EN
    203 28.74%:  WAS ACTUALLY ADDI
    204 28.67%:  WAS ACTUALLY A LESSON IN M
    205 28.63%:  WAS ACTUALLY MY S
    206 28.62%:  WAS ACTUALLY LESS IN
    207 28.54%:  WAS ACTUALLY A SENSI
    208 28.54%:  WAS ACTUALLY SOME S
    209 28.52%:  WAS ACTUALLY DEAD
    210 28.50%:  WAS ACTUALLY LESS M
    211 28.48%:  WAS ACTUALLY IDEA S
    212 28.46%:  WAS ACTUALLY ONLY A D
    213 28.40%:  WAS ACTUALLY AN ON
    214 28.37%:  WAS ACTUALLY AN ID
    215 28.36%:  WAS ACTUALLY AN END
    216 28.33%:  WAS ACTUALLY A SOLID S
    217 28.30%:  WAS ACTUALLY NON
    218 28.25%:  WAS ACTUALLY YEL
    219 28.22%:  WAS ACTUALLY MY O
    220 28.17%:  WAS ACTUALLY OLD
    221 28.16%:  WAS ACTUALLY SOME D
    222 28.11%:  WAS ACTUALLY ONLY M
    223 28.10%:  WAS ACTUALLY SADLY
    224 28.04%:  WAS ACTUALLY SOME N
    225 28.02%:  WAS ACTUALLY SOME A
    226 28.00%:  WAS ACTUALLY SOME AD
    227 27.98%:  WAS ACTUALLY DEEMED
    228 27.94%:  WAS ACTUALLY SOME AN
    229 27.94%:  WAS ACTUALLY SOME L
    230 27.94%:  WAS ACTUALLY ONE L
    231 27.91%:  WAS ACTUALLY SOME E
    232 27.91%:  WAS ACTUALLY A DEMO
    233 27.88%:  WAS ACTUALLY SOME IN
    234 27.87%:  WAS ACTUALLY SOMEONE S
    235 27.86%:  WAS ACTUALLY SOME EN
    236 27.86%:  WAS ACTUALLY SOME I
    237 30.23%:  WAS ACTUALLY SOME IDEAS
    238 27.86%:  WAS ACTUALLY SOME NE
    239 27.86%:  WAS ACTUALLY A LESSON E
    240 27.86%:  WAS ACTUALLY SOME DE
    241 27.85%:  WAS ACTUALLY SOMEONE Y
    242 27.85%:  WAS ACTUALLY A LESSON IN MY
    243 27.84%:  WAS ACTUALLY MY IDEAL
    244 27.84%:  WAS ACTUALLY SOMEONE IN
    245 27.83%:  WAS ACTUALLY SOMEONE ON
    246 27.82%:  WAS ACTUALLY ENO
    247 27.82%:  WAS ACTUALLY SOMEONE D
    248 27.82%:  WAS ACTUALLY SOMEONE O
    249 27.81%:  WAS ACTUALLY SOMEONE E
    250 27.79%:  WAS ACTUALLY MAIN
    251 27.75%:  WAS ACTUALLY A SOLI
    252 27.70%:  WAS ACTUALLY AN ONLINE
    253 27.69%:  WAS ACTUALLY A LESSON I NE
    254 27.69%:  WAS ACTUALLY A SEMI
    255 27.66%:  WAS ACTUALLY INSANELY O
    256 27.66%:  WAS ACTUALLY INSANELY DE
    257 27.64%:  WAS ACTUALLY MILD
    258 27.64%:  WAS ACTUALLY INSANELY N
    259 27.61%:  WAS ACTUALLY A SLEE
    260 27.60%:  WAS ACTUALLY INSANELY SO
    261 27.59%:  WAS ACTUALLY INSANELY ME
    262 27.59%:  WAS ACTUALLY LESS AN
    263 27.58%:  WAS ACTUALLY A LESSON I N
    264 27.57%:  WAS ACTUALLY EASILY ONE
    265 27.51%:  WAS ACTUALLY A DY
    266 27.47%:  WAS ACTUALLY DONE IN
    267 27.47%:  WAS ACTUALLY A SEM
    268 27.47%:  WAS ACTUALLY AN ESS
    269 27.44%:  WAS ACTUALLY DY
    270 27.44%:  WAS ACTUALLY MY N
    271 27.39%:  WAS ACTUALLY MESS
    272 27.38%:  WAS ACTUALLY A LESSON I ON
    273 27.36%:  WAS ACTUALLY MY D
    274 27.36%:  WAS ACTUALLY A LESSON I ME
    275 27.35%:  WAS ACTUALLY A LESSON I E
    276 27.34%:  WAS ACTUALLY AN ELE
    277 27.33%:  WAS ACTUALLY ONLY S
    278 27.32%:  WAS ACTUALLY DEAD ON
    279 27.29%:  WAS ACTUALLY AN EMO
    280 27.28%:  WAS ACTUALLY MAIDENE
    281 27.25%:  WAS ACTUALLY A LESSON IN E
    282 27.22%:  WAS ACTUALLY INSANELY ENS
    283 27.21%:  WAS ACTUALLY AN EY
    284 27.20%:  WAS ACTUALLY A LESSON I NEEDN
    285 27.19%:  WAS ACTUALLY AN ELD
    286 27.15%:  WAS ACTUALLY A LIE
    287 27.13%:  WAS ACTUALLY AN EME
    288 27.12%:  WAS ACTUALLY IDEA 
    289 27.12%:  WAS ACTUALLY AN ENE
    290 27.12%:  WAS ACTUALLY NONS
    291 27.61%:  WAS ACTUALLY NONSENS
    292 27.11%:  WAS ACTUALLY IDEAL S
    293 27.10%:  WAS ACTUALLY AN ENO
    294 27.08%:  WAS ACTUALLY A LESSON MY
    295 27.08%:  WAS ACTUALLY A LESSON D
    296 27.08%:  WAS ACTUALLY ONLY A N
    297 27.07%:  WAS ACTUALLY MY A
    298 27.04%:  WAS ACTUALLY A LESSON N
    299 27.03%:  WAS ACTUALLY MY ON
    300 27.03%:  WAS ACTUALLY MYSEL
    301 27.03%:  WAS ACTUALLY A LESSON M
    302 27.02%:  WAS ACTUALLY MY E
    303 27.02%:  WAS ACTUALLY A LESSON MO
    304 27.02%:  WAS ACTUALLY A LESSON NO
    305 27.00%:  WAS ACTUALLY IN MY
    306 27.00%:  WAS ACTUALLY ONLY 
    307 26.99%:  WAS ACTUALLY INSANELY ENO
    308 26.97%:  WAS ACTUALLY INSANELY EMO
    309 26.95%:  WAS ACTUALLY MY ONE
    310 26.95%:  WAS ACTUALLY MY IN
    311 26.95%:  WAS ACTUALLY LY
    312 26.94%:  WAS ACTUALLY DEMO
    313 26.94%:  WAS ACTUALLY SOMEONE ELD
    314 26.94%:  WAS ACTUALLY INSANELY EDM
    315 26.94%:  WAS ACTUALLY MY DE
    316 26.93%:  WAS ACTUALLY MY SE
    317 26.92%:  WAS ACTUALLY A DEL
    318 26.91%:  WAS ACTUALLY MY LE
    319 26.90%:  WAS ACTUALLY MY AN
    320 26.89%:  WAS ACTUALLY SOMEONE I D
    321 26.89%:  WAS ACTUALLY EASILY S
    322 26.89%:  WAS ACTUALLY MY LO
    323 26.87%:  WAS ACTUALLY MY SO
    324 26.87%:  WAS ACTUALLY YES A
    325 26.87%:  WAS ACTUALLY MY DO
    326 26.86%:  WAS ACTUALLY MY EN
    327 26.86%:  WAS ACTUALLY MY AL
    328 26.86%:  WAS ACTUALLY MY LA
    329 26.85%:  WAS ACTUALLY SO M
    330 26.82%:  WAS ACTUALLY SOMEONE ON A
    331 26.75%:  WAS ACTUALLY A SYNE
    332 26.75%:  WAS ACTUALLY SOMEONE I LO
    333 26.74%:  WAS ACTUALLY AN IDLE
    334 26.74%:  WAS ACTUALLY DEAL
    335 26.73%:  WAS ACTUALLY A ONE S
    336 26.69%:  WAS ACTUALLY A SOLE
    337 27.41%:  WAS ACTUALLY A SOLEMN S
    338 26.68%:  WAS ACTUALLY ONLY ME AND
    339 26.66%:  WAS ACTUALLY A SYNO
    340 26.66%:  WAS ACTUALLY AS S
    341 26.59%:  WAS ACTUALLY A LINE
    342 26.58%:  WAS ACTUALLY A SEE
    343 26.56%:  WAS ACTUALLY SOME SAD
    344 26.53%:  WAS ACTUALLY NEEDED IN MY
    345 26.50%:  WAS ACTUALLY A NONS
    346 26.86%:  WAS ACTUALLY A NONSENSE
    347 26.50%:  WAS ACTUALLY ALSO MY I
    348 26.48%:  WAS ACTUALLY A SOLID M
    349 26.45%:  WAS ACTUALLY INSANELY DONE
    350 26.44%:  WAS ACTUALLY A SYNED
    351 26.44%:  WAS ACTUALLY SOME SOL
    352 26.43%:  WAS ACTUALLY YES I
    353 26.42%:  WAS ACTUALLY SAY
    354 26.41%:  WAS ACTUALLY LESSON
    355 26.41%:  WAS ACTUALLY NONSEN
    356 26.39%:  WAS ACTUALLY ME AND
    357 26.39%:  WAS ACTUALLY MEAN
    358 26.38%:  WAS ACTUALLY AN ISS
    359 26.38%:  WAS ACTUALLY SOME IDEAL
    360 26.37%:  WAS ACTUALLY LOAD
    361 26.37%:  WAS ACTUALLY ONLY ONE SEN
    362 26.36%:  WAS ACTUALLY ON A
    363 26.34%:  WAS ACTUALLY LESS D
    364 26.34%:  WAS ACTUALLY MY IDEAS
    365 26.33%:  WAS ACTUALLY LESS AD
    366 26.33%:  WAS ACTUALLY A DEE
    367 26.32%:  WAS ACTUALLY LESS AM
    368 26.30%:  WAS ACTUALLY A LY
    369 26.30%:  WAS ACTUALLY ME IN
    370 26.30%:  WAS ACTUALLY ME S
    371 26.26%:  WAS ACTUALLY ONLY A MID
    372 26.25%:  WAS ACTUALLY IDEA ONE
    373 26.25%:  WAS ACTUALLY SO A
    374 26.23%:  WAS ACTUALLY ONLY SO
    375 26.23%:  WAS ACTUALLY LESS ON
    376 26.21%:  WAS ACTUALLY LESS DE
    377 26.20%:  WAS ACTUALLY ISS
    378 26.19%:  WAS ACTUALLY ONLY E
    379 26.18%:  WAS ACTUALLY ME ON
    380 26.18%:  WAS ACTUALLY MONE
    381 28.01%:  WAS ACTUALLY MONEY I
    382 26.18%:  WAS ACTUALLY LESS I
    383 26.15%:  WAS ACTUALLY A DISS
    384 26.15%:  WAS ACTUALLY ONLY AN EN
    385 26.14%:  WAS ACTUALLY ME I
    386 26.14%:  WAS ACTUALLY ONLY SOMEONE
    387 26.13%:  WAS ACTUALLY LESS N
    388 26.12%:  WAS ACTUALLY LESS ME
    389 26.11%:  WAS ACTUALLY LESSEN
    390 26.11%:  WAS ACTUALLY NEEDED AS
    391 26.11%:  WAS ACTUALLY LESS EM
    392 26.11%:  WAS ACTUALLY LESS O
    393 26.10%:  WAS ACTUALLY A LESSON IN N
    394 26.10%:  WAS ACTUALLY LESS DI
    395 26.10%:  WAS ACTUALLY LESS Y
    396 26.09%:  WAS ACTUALLY YES AN
    397 26.09%:  WAS ACTUALLY LESS NE
    398 26.06%:  WAS ACTUALLY A LESSON NO ONE N
    399 26.06%:  WAS ACTUALLY AN INS
    400 26.05%:  WAS ACTUALLY ME A
    401 26.04%:  WAS ACTUALLY A LESSON IN D
    402 26.03%:  WAS A SENTENCE ONLY L
    403 26.03%:  WAS A SENTENCE ANIMALS O
    404 26.02%:  WAS ACTUALLY ME Y
    405 26.02%:  WAS ACTUALLY INSANELY EDMONDO
    406 26.02%:  WAS ACTUALLY NEEDED ON
    407 26.02%:  WAS A SENTENCE ANIMALS L
    408 26.00%:  WAS ACTUALLY ONLY MO
    409 25.99%:  WAS ACTUALLY ALSO MY S
    410 25.99%:  WAS ACTUALLY A LESS E
    411 25.99%:  WAS ACTUALLY MAIDENS
    412 25.99%:  WAS ACTUALLY A LESSON IN O
    413 25.99%:  WAS ACTUALLY ONLY SE
    414 25.99%:  WAS ACTUALLY MY IDEAL S
    415 25.99%:  WAS A SENTENCE ONLY MA
    416 25.99%:  WAS ACTUALLY SOMEONE ELA
    417 25.98%:  WAS A SENTENCE ANIMALS LO
    418 25.98%:  WAS ACTUALLY A LIN
    419 25.97%:  WAS TO
    420 36.91%:  WAS TOO MU
    421 31.22%:  WAS TOO MANY D
    422 31.09%:  WAS TOO MANY S
    423 31.08%:  WAS TOO MANY ON
    424 29.90%:  WAS TOO MANY ONES
    425 28.57%:  WAS TOO MANY ONLY
    426 28.21%:  WAS TOO MAN
    427 28.06%:  WAS TOO MANY DU
    428 30.19%:  WAS TOO MANY DUDES ON A S
    429 29.88%:  WAS TOO MANY DUDES IN
    430 28.78%:  WAS TOO MANY DUDES IN A S
    431 28.64%:  WAS TOO MANY DUDES IN ONE
    432 28.61%:  WAS TOO MANY DUDES ON A C
    433 28.58%:  WAS TOO MANY DUDES ON A L
    434 28.58%:  WAS TOO MANY DUDES ON A Y
    435 28.57%:  WAS TOO MANY DUDES ON A SE
    436 27.03%:  WAS TOO MANY DUDES ON AN
    437 26.99%:  WAS TOO MANY DUDES ONLY
    438 26.93%:  WAS TOO MANY ONLY I
    439 26.51%:  WAS TOO MANY DUDES I
    440 26.35%:  WAS TOO MANY DUDES S
    441 26.31%:  WAS TOO MANY DUDES A
    442 26.25%:  WAS TOO MANY DUDES E
    443 26.22%:  WAS TOO MANY DUDES L
    444 26.20%:  WAS TOO MANY DUDES C
    445 26.19%:  WAS TOO MANY DUDES AL
    446 26.18%:  WAS TOO MANY DUDES O
    447 26.17%:  WAS TOO MANY DUDES Y
    448 26.14%:  WAS TOO MANY DUDES ON A SEN
    449 26.06%:  WAS TOO MANY DUDES ON A SEA C
    450 25.99%:  WAS TOO MANY ONLY I D
    451 25.97%:  WAS ACTUALLY OLD M
    452 26.64%:  WAS ACTUALLY OLD MAN Y
    453 25.97%:  WAS A SENTENCE ONLY A MID
    454 25.97%:  WAS ACTUALLY OLD S
    455 25.96%:  WAS ACTUALLY A LESSON IN DE
    456 25.95%:  WAS ACTUALLY A SOLO
    457 25.94%:  WAS A SENTENCE I SAY
    458 25.94%:  WAS ACTUALLY A LEM
    459 26.25%:  WAS ACTUALLY A LEMON S
    460 25.94%:  WAS ACTUALLY A LOS
    461 25.94%:  WAS ACTUALLY DEM
    462 25.94%:  WAS A SENTENCE ONLY N
    463 25.94%:  WAS ACTUALLY ONLY N
    464 26.78%:  WAS ACTUALLY ONLY NEEDED ON
    465 26.35%:  WAS ACTUALLY ONLY NEEDED IN
    466 25.93%:  WAS ACTUALLY ONLY IN
    467 25.93%:  WAS ACTUALLY ON MY
    468 25.93%:  WAS ACTUALLY A LON
    469 25.93%:  WAS ACTUALLY MONEY I LO
    470 25.93%:  WAS ACTUALLY ONLY ON
    471 25.93%:  WAS A SENTENCE ONLY MO
    472 25.93%:  WAS ACTUALLY A LESSON IN EN
    473 25.92%:  WAS ACTUALLY A LESSON IN Y
    474 25.92%:  WAS ACTUALLY A LIM
    475 25.91%:  WAS ACTUALLY A LESSON IN NE
    476 25.91%:  WAS ACTUALLY A LESSON NONE
    477 25.91%:  WAS ACTUALLY ONLY D
    478 25.91%:  WAS A SENTENCE IN A
    479 25.91%:  WAS ACTUALLY A LESSON IN ME
    480 25.91%:  WAS A SENTENCE ANIMALS ONLY D
    481 25.91%:  WAS ACTUALLY AN OLD N
    482 25.91%:  WAS ONE
    483 25.90%:  WAS A SENTENCE ONLY O
    484 25.90%:  WAS ACTUALLY A LESSON IN MO
    485 25.90%:  WAS ACTUALLY A LESSON IN DO
    486 25.90%:  WAS ACTUALLY A LESSON IN MOD
    487 25.89%:  WAS ACTUALLY A MESS I
    488 25.89%:  WAS ACTUALLY A LESSON IN NO
    489 25.89%:  WAS ACTUALLY A LESSON IN YO
    490 25.88%:  WAS ACTUALLY ME SO
    491 25.88%:  WAS ACTUALLY OLD MAN S
    492 25.88%:  WAS ACTUALLY MONEY I S
    493 25.87%:  WAS A SENTENCE ONLY 
    494 25.87%:  WAS A SENTENCE ONLY MY
    495 25.87%:  WAS ACTUALLY ME LO
    496 25.87%:  WAS ACTUALLY IDEAS M
    497 25.87%:  WAS ACTUALLY MY IDEA NEE
    498 25.85%:  WAS ACTUALLY ME L
    499 25.85%:  WAS ACTUALLY ONLY MA
    500 25.85%:  WAS ACTUALLY ONLY I
    501 27.77%:  WAS ACTUALLY ONLY IDEAS
    502 25.84%:  WAS ACTUALLY SO S
    503 25.84%:  WAS A SENTENCE ONLY ON
    504 26.08%:  WAS A SENTENCE ONLY ONLY A
    505 25.84%:  WAS A SENTENCE ONLY SU
    506 25.84%:  WAS ACTUALLY ME D
    507 25.84%:  WAS ACTUALLY A MESSY
    508 25.84%:  WAS ACTUALLY ONLY O
    509 25.84%:  WAS ACTUALLY MY IDEA SO D
    510 25.84%:  WAS ACTUALLY ME AS
    511 25.83%:  WAS A SENTENCE ONLY AD
    512 25.82%:  WAS ACTUALLY ONLY MOD
    513 25.82%:  WAS A SENTENCE ONLY LI
    514 25.82%:  WAS A SENTENCE ONLY AL
    515 25.82%:  WAS LI
    516 25.82%:  WAS A SENTENCE ONLY NO
    517 25.82%:  WAS ACTUALLY ME DO
    518 25.82%:  WAS A SENTENCE ONLY LO
    519 25.81%:  WAS ACTUALLY ME E
    520 25.80%:  WAS A SENTENCE ONLY UN
    521 25.80%:  WAS ACTUALLY DEEMED A
    522 25.80%:  WAS ACTUALLY ME DE
    523 25.80%:  WAS ACTUALLY SO D
    524 25.80%:  WAS A SENTENCE ONLY SL
    525 25.80%:  WAS ACTUALLY NEEDED IN MY L
    526 25.80%:  WAS ACTUALLY A DIN
    527 25.80%:  WAS A SENTENCE ONLY SA
    528 25.79%:  WAS ACTUALLY ME AN
    529 25.78%:  WAS ACTUALLY ME O
    530 25.77%:  WAS ACTUALLY A MESSI
    531 25.76%:  WAS ACTUALLY A SIMON
    532 25.75%:  WAS ACTUALLY SO L
    533 25.75%:  WAS ACTUALLY DIN
    534 25.74%:  WAS ACTUALLY ONLY SEM
    535 25.74%:  WAS E
    536 25.74%:  WAS ACTUALLY A MESSEN
    537 25.73%:  WAS A SENTENCE ONLY A DAD
    538 25.73%:  WAS A M
    539 25.73%:  WAS ACTUALLY SOME DEALS I
    540 25.73%:  WAS A SENTENCE I ONLY S
    541 25.84%:  WAS A SENTENCE I ONLY SAY ON
    542 25.73%:  WAS TOO MANY SEN
    543 25.72%:  WAS ACTUALLY MEANS I
    544 25.72%:  WAS ACTUALLY SO E
    545 25.72%:  WAS ACTUALLY A MESS IN
    546 25.72%:  WAS ACTUALLY SO IN
    547 25.70%:  WAS D
    548 25.70%:  WAS ACTUALLY IDEA N
    549 25.70%:  WAS ACTUALLY A NEED
    550 25.70%:  WAS ACTUALLY SOLE
    551 25.70%:  WAS ACTUALLY ONLY A ONE
    552 25.70%:  WAS ACTUALLY NEEDED IN A
    553 25.68%:  WAS A SENTENCE YOU D
    554 25.67%:  WAS A SENTENCE ONLY AN I
    555 25.67%:  WAS IN
    556 33.83%:  WAS INSANELY E
    557 33.00%:  WAS INSANELY A
    558 32.46%:  WAS INSANE
    559 30.95%:  WAS INSANELY S
    560 30.62%:  WAS INSANELY D
    561 30.39%:  WAS INSANELY C
    562 30.35%:  WAS INSANELY UN
    563 30.31%:  WAS INSANELY EN
    564 30.17%:  WAS INSANELY M
    565 30.10%:  WAS INSANELY AD
    566 30.08%:  WAS INSANELY ST
    567 29.89%:  WAS INSANELY L
    568 29.65%:  WAS INSANELY TE
    569 30.49%:  WAS INSANELY TEENS
    570 29.64%:  WAS INSANELY T
    571 29.57%:  WAS INSANELY CON
    572 29.57%:  WAS INSANELY AM
    573 29.54%:  WAS INSANELY LO
    574 29.53%:  WAS INSANELY CO
