Off panel: Can we talk about what was said earlier
100.00%: 
3.34%:  was
0.02%:  has a statue in
0.02%: : what are
0.02%:  has been around
0.02%:  is a real statue now and
0.02%:  also said that
0.02%:  is an art
0.02%:  said he wants
0.02%:  said it was fake
0.02%:  spent a whole
0.02%:  wanted this
0.02%:  is what
0.02%:  is what a statue of a
0.08%:  is what a statue of a friend
0.02%:  has found
0.02%:  has paid for a real
0.02%:  was a little upset
0.02%:  and his statue
0.02%:  spent a few
0.02%:  isn
0.02%:  draws a statue
0.02%:  has left
0.02%:  wasted
0.02%:  was able to find a real life
0.02%:  said it was a better
0.02%:  was the real
0.06%:  was the real statue all
0.02%:  was the real friend
0.02%:  was the real winner
0.02%:  was the real statue and
0.02%:  was the real artist
0.02%:  was the real deal
0.02%:  paid for it after all
0.02%:  said it was better
0.02%:  was an artist and
0.02%:  has a new statue
0.02%:  was able to take
0.02%:  worked with an
0.02%:  was a real statue
0.02%:  has earned
0.02%:  was a little rude
0.02%:  showed us
0.02%:  put it there
0.02%:  also wanted a
0.02%:  was in the park and was
0.02%:  was a better friend than a
0.02%:  hasn
0.02%:  has a statue like
0.02%:  has an idea
0.02%:  has a statue and
0.02%:  drew this after
0.02%:  had a better
0.02%:  hand
0.02%:  turned a
0.02%:  knows a
0.02%:  paid an artist a whole
0.02%:  said it was a real
0.02%:  used a laser
0.02%:  hired
0.12%:  hired a statue
0.02%:  was a real friend to
0.02%:  said it was awful when
0.02%:  left
0.02%:  hired a statue of
0.02%:  was also
0.02%:  has failed as
0.02%:  has failed as an
0.02%:  said he saw
0.02%:  has taken up
0.02%:  is the artist
0.02%:  was there
0.02%:  wins at
0.02%:  is a fake
0.03%:  is a fake friend
0.02%:  was a statue when
0.02%:  was an artist before
0.01%:  had an
0.05%:  had an artist
0.01%:  has failed at
0.01%:  is a fake statue
0.01%:  sure has
0.01%:  was super
0.01%:  knows his
0.01%:  failed
0.01%:  was a friend who
0.02%:  was a friend who was
0.01%:  drew it while
0.01%:  turned it
0.01%:  is a real statue and we
0.01%:  has based
0.01%:  was a bad statue
0.01%:  has paid an artist a
0.01%:  was a total
0.01%:  has a new friend:
0.01%:  is the artist and
0.01%:  was unable
0.01%:  built this after
0.01%:  was a bit
0.01%:  said this
0.01%:  was a li
0.01%:  hired an
0.01%:  is an awful friend as
0.01%:  spent all week
0.01%:  asked if we
0.01%:  was a real artist and he
0.01%:  wanted a statue of a real life
0.01%:  was able to draw this
0.01%:  said he wasn
0.01%:  has a statue of a
0.02%:  has a statue of a friend
0.01%:  was a real statue and
0.01%:  found it while
0.01%:  knew
0.02%:  knew what was
0.02%:  knew what was up all
0.02%:  knew what was up and
0.01%:  was there and
0.01%:  had a little
0.01%:  was off
0.01%:  had a little fun
0.01%:  paid the statue
0.01%:  paid a lot
0.01%:  paid an art
0.01%:  said that if we
0.01%:  drew this for
0.01%:  is a li
0.01%:  pulled a
0.07%:  pulled a fast
0.01%:  was a little ahead of us
0.01%:  paid an artist 
0.01%:  has a statue for
0.01%:  paid for it after we
0.02%:  paid for it after we all
0.01%:  paid for it after we all saw
0.01%:  paid for a real statue with
0.01%:  wanted a statue where all
0.01%:  ain
0.01%:  was the winner of a
0.01%:  spent a whole week
0.01%:  has a new statue friend
0.01%:  was the real winner of
0.01%:  has been a real friend to us
0.01%:  is a fake and
0.01%:  here was a
0.01%:  knows all
0.01%:  wants a statue of a
0.03%:  wants a statue of a friend
0.01%:  said to
0.01%:  was upset
0.01%:  and his statue are
0.01%:  is an awful friend who takes
0.01%:  speaks
0.01%:  wants a refund please
0.01%:  was ahead of us
0.01%:  works
0.02%:  works at a statue
0.01%:  has built a life
0.01%:  wins this
0.01%:  was also a
0.01%:  pushed
0.01%:  walked
0.01%:  has ruined
0.01%:  is here
0.01%:  is here and
0.01%:  asked for a statue with
0.01%:  paid for the statue as
0.01%:  knew what a
0.37%:  knew what a statue was before
0.23%:  knew what a statue was and
0.15%:  knew what a statue was all
0.03%:  knew what a statue of
0.02%:  knew what a statue is
0.02%:  knew what a statue was before and
0.02%:  knew what a real
0.60%:  knew what a real statue was and
0.47%:  knew what a real statue was all
0.06%:  knew what a real statue is
0.05%:  knew what a real statue of
0.02%:  knew what a real statue is and
0.02%:  knew what a real statue of a
0.16%:  knew what a real statue of a friend
0.14%:  knew what a real statue of a friend was
0.08%:  knew what a real statue of a friend was all
0.06%:  knew what a real statue of a real
0.03%:  knew what a real statue of a friend is
0.02%:  knew what a real statue is all
0.01%:  knew what a statue of a
0.06%:  knew what a statue of a friend
0.06%:  knew what a statue of a friend was
0.03%:  knew what a statue of a friend was all
0.01%:  knew what a statue of a real
0.07%:  knew what a statue of a real friend
0.04%:  knew what a statue of a real friend was
0.02%:  knew what a statue of a real friend was all
0.01%:  showed us a
0.01%:  is a statue and we
0.01%:  was able to draw a
0.02%:  was able to draw a statue
0.01%:  has a friend at a
0.01%:  is an awful friend that
0.01%:  was able to finish
0.01%:  is the real artist
0.01%:  has a weird
0.01%:  asked for a statue with a
0.01%:  is far
0.01%:  should
0.01%:  has asked for
0.01%:  is kinda
0.01%:  is what a statue of a real
0.01%:  paid for a life
0.01%:  is a freak
0.01%:  heard
0.01%:  is a statue of a real
0.03%:  is a statue of a real friend
0.01%:  was a statue and he
0.01%:  is a statue and we all
0.01%:  thinks it
0.01%:  has a statue of all
0.01%:  is the best
0.01%:  asked that
0.01%:  is an artist and we
0.01%:  is an artist and we are
0.01%:  is an artist and we are all
0.01%:  wanted a life
0.01%:  is an awful friend:
0.01%:  has paid a fine
0.01%:  based it off what
0.01%:  is an awful friend who breaks
0.01%:  passed
0.01%:  has filled
0.01%:  has all
0.01%:  was the real artist and
0.01%:  paid an artist for a
0.01%:  was here and we
0.01%:  is a statue of what a bad
0.01%:  has also
0.01%:  was a statue before
0.01%:  threw it
0.01%:  wins at life
0.01%:  was in the park and was able
0.01%:  shaped it after
0.01%:  at
0.01%:  wanted a statue of an
0.01%:  has a statue park
0.01%:  shows
0.01%:  was an awful friend to let
0.01%:  tried
0.01%:  was at
0.01%:  based it on what
0.01%:  worked with a real
0.01%:  worked with a real statue
0.01%:  is a real artist and we
0.01%:  was bad
0.01%:  is aware
0.03%:  is aware that
0.01%:  is aware of what
0.01%:  heard about
0.01%:  paid for it after he
0.02%:  paid for it after he saw
0.01%:  was unable to finish
0.01%:  has used a
0.01%:  knew what a statue was for
0.01%:  failed at
0.01%:  said it was al
0.01%:  knew what a statue is and
0.01%:  knew what a real statue of a friend is all
0.01%:  paid a little
0.01%:  paid for this after
0.01%:  worked with an art
0.01%:  here is
0.01%:  here is a
0.03%:  here is a statue
0.02%:  here is a statue of a
0.03%:  here is a statue of a friend
0.01%:  was a little afraid of
0.01%:  knew what a statue of a friend is
0.01%:  is an awful friend to
0.01%:  spent half
0.02%:  spent half an
0.01%:  has been kind
0.01%:  has been a statue for a few
0.01%:  has spent
0.01%:  was upset with
0.01%:  was a friend after
0.01%:  was a little off base with
0.01%:  had a few
0.01%:  is also
0.01%:  drew it real
0.03%:  drew it real fast
0.01%:  paid us
0.01%:  is a real friend who
0.02%:  is a real friend who wants
0.01%:  was a better friend when
0.01%:  wanted a real statue for
0.01%:  has taken all
0.01%:  has been a real pal
0.01%:  does
0.01%:  was a better friend:
0.01%:  wants it
0.01%:  earned
0.01%:  was a better friend than we
0.02%:  was a better friend than we all
0.01%:  is a fake statue and
0.01%:  drew a statue of what
0.01%:  built this and
0.01%:  has paid a fine art
0.01%:  paid an artist a few
0.01%:  was in a
0.01%:  walked past
0.01%:  is awful at stat
0.01%:  has a lot
0.01%:  here is a statue and
0.01%:  is now
0.01%:  threw a tan
0.01%:  has a friend at a statue
0.01%:  is now a
0.02%:  is now a statue and
0.01%:  has drawn it for us
0.01%:  is all
0.01%:  was the real friend all
0.01%:  paid a fine
0.01%:  knew what a statue of a real friend is
0.01%:  paid for it after he was
0.01%:  worked with an artist all
0.01%:  went all
0.01%:  has paid for a full
0.01%: : a
0.01%:  was the statue
0.01%:  has been asked
0.01%:  talked
0.01%:  put his
0.01%:  is an artist who
0.01%:  has been a statue of
0.01%:  has paid a statue of
0.01%:  was on
0.01%:  has done an
0.01%:  wrote
0.01%:  spent half a week
0.01%:  is a real life
0.03%:  is a real life statue and
0.03%:  is a real life statue of
0.01%:  is a real life statue of what
0.01%:  is a real life statue of what a real
0.01%:  is a real life statue now
0.01%:  with
0.01%:  spent an
0.01%:  found the
0.01%:  is an awful li
0.01%:  said it was real
0.01%:  was hired for
0.01%:  was a little unfair when
0.01%:  has an idea for
0.10%:  has an idea for a statue
0.08%:  has an idea for a new statue
0.05%:  has an idea for a new statue park
0.02%:  has an idea for a statue park
0.01%:  has an idea for a new statue:
0.01%:  was kind of an
0.01%:  asked what
0.01%:  was on the ball
0.01%:  waited
0.01%:  wasted a
0.01%:  was a little off in
0.01%:  wants his ap
0.01%:  drew it after all
0.01%:  has taken a statue
0.01%:  wanted to be
0.01%:  sure had
0.01%:  sure had a point
0.01%:  pulled this
0.01%:  has a statue for a
0.01%:  draws stat
0.01%:  ate
0.01%:  was a real friend who
0.01%:  wants a statue of a real
0.01%:  wants a statue of a real friend
0.01%:  was rude
0.01%:  was fired
0.01%:  said it was for
0.01%:  is a statue now and
0.01%:  sent
0.01%: : a friend
0.01%:  has a few
0.01%:  spent hours and
0.01%:  said it was fake but
0.01%:  based it on a
0.01%:  based it on a real
0.01%:  killed
0.01%:  and his wife were
0.01%:  was 
0.01%:  has built an
0.01%:  has paid for a statue in
0.01%:  has been a statue for like
0.01%:  was sad
0.01%:  was unfair
0.01%:  threw up
0.01%:  also asked
0.01%:  was not
0.01%:  knew what a real statue was for
0.01%:  wanted to talk
0.01%:  has a better idea of a
0.01%:  also wants
0.01%:  was here and was
0.01%:  spent a full
0.01%:  spent a full week
0.01%:  has a better friend
0.01%:  ruined
0.01%:  has found a better
0.01%:  was an artist friend
0.01%:  is bad
0.01%:  was the one
0.01%:  spent a few weeks
0.01%:  knew what a real statue of a real din
0.01%:  paid the artist a
0.01%:  read
0.01%:  wouldn
0.01%:  ate all
0.01%:  said a
0.01%:  said a statue of
0.01%:  was real
0.01%:  saw it and was all like
0.01%:  saw it at
0.01%:  based it off a real statue he
0.01%:  is a super
0.01%:  takes a
0.01%:  has taken a life
0.01%:  is a bad person
0.01%:  has raised
0.01%:  used a real
0.01%:  wanted a statue of his wife
0.01%:  was able to draw it while
0.01%:  is the best friend a
0.01%:  has been in
0.01%:  is aware of what a
0.01%:  is afraid of what
0.01%:  was stupid
0.01%:  spent four
0.01%:  is awful at art
0.01%:  is far better
0.01%:  asked for it after
0.01%:  was able to pull that
0.01%:  is a friend who wants
0.01%:  asked a statue
0.01%:  is a total
0.01%:  wins the statue
0.09%:  wins the statue award
0.03%:  wins the statue award for
0.01%:  has been turned
0.01%:  is still
0.01%:  was about
0.01%:  is bad at art
0.01%:  has a friend paint
0.01%:  is a real statue and a
0.01%:  was able to talk
0.01%:  wanted an
0.01%:  wanted one
0.01%:  paid for all
0.01%:  found this at
0.02%:  found this at a fle
0.01%:  found this at a park
0.01%:  wanted to be a
0.01%:  wants a refund of
0.01%:  wants a refund of all
0.01%:  knows what real
0.01%:  knows what real art
0.01%:  is a fine
0.01%:  talks
0.01%:  also asked if
0.01%:  has a real life
0.01%:  has a real life statue and
0.01%:  was the statue all
0.01%:  had a real
0.04%:  had a real statue
0.02%:  had a real artist
0.01%:  also wanted a statue where
0.01%:  built it after all
0.01%:  sure has a weird
0.01%:  was able to draw this after
0.01%:  
0.01%:  was was
0.01%:  knew what a real statue was and all
0.01%:  knew what a real statue was and if
0.01%:  wanted a statue of his pal
0.01%:  was far
0.01%:  was a statue of a
0.03%:  was a statue of a friend
0.01%:  wanted a statue of a real bear
0.01%:  based it off a real statue in
0.01%:  was a statue of what
0.01%:  knows what real art is and
0.01%:  saw it and he was all like
0.01%:  has a friend in a
0.01%:  paid real
0.01%:  drew a statue of what a
0.01%:  drew a statue of what a real
0.01%:  was able to find the
0.01%:  freak
0.01%:  had it built
0.01%:  had it built after
0.01%:  has pulled
0.01%:  was an awful friend:
0.01%:  is awful at this
0.01%:  was at least
0.01%:  was a better friend: he was
0.01%: : statue of
0.01%:  drank
0.01%:  is far better than
0.01%:  here was a statue
0.01%:  finds
0.01%:  found it in a park after
0.01%:  paid for it after we all saw what
0.01%:  has spent all
0.01%:  was banned
0.01%:  has a real talent for it
0.01%:  works at the
0.01%:  draws better
0.01%:  found an
0.01%:  found it in the
0.04%:  found it in the park
0.01%:  found it in the park after
0.01%:  built it after he
0.01%:  built it after he was
0.01%:  built it after he saw
0.01%:  has paid for an
0.01%:  has paid for an artist
0.01%:  is a statue and all
0.01%:  said that we
0.01%:  said that all
0.01%:  paid an artist half
0.01%:  has an idea for a new art
0.01%:  spent a week and
0.03%:  spent a week and a half of
0.02%:  spent a week and a half at
0.01%:  spent a week and a half labour
0.01%:  spent a week and a half at a
0.01%:  has been a statue for 
0.01%:  is super
0.01%:  was at least half
0.01%:  has fallen
0.05%:  has fallen asleep
0.02%:  has fallen asleep and
0.01%:  has fallen asleep in
0.01%:  has fallen asleep at
0.01%:  read about
0.01%:  has been fired
0.01%:  is kinda a
0.01%:  has been a real pain
0.01%:  has earned a
0.01%:  has earned a statue
0.01%:  asked for this
0.01%:  was awful to
0.01%:  also wanted his
0.01%:  has a fine
0.01%:  wants to build
0.01%:  wants to build a
0.01%:  wants to build a real
0.01%:  found it at an
0.06%:  found it at an art fair
0.01%:  said it was all he
0.01%:  would want
0.01%:  was all like
0.01%:  has been a friend all
0.01%:  was here and was like
0.01%:  wanted a statue he
0.01%:  drew it after he
0.01%:  drew it after he was
0.01%:  drew it after he saw
0.01%:  here was able
0.01%:  was behind
0.01%:  don
0.01%:  is the friend
0.01%:  was afraid to tell
0.01%:  is a real statue of a
0.02%:  is a real statue of a friend
0.01%:  paid a real artist a
0.01%:  has asked for a
0.01%:  was around
0.01%:  based this
0.01%:  is an awful friend who keeps
0.01%:  was insane
0.01%:  failed as
0.03%:  failed as a statue
0.01%:  has done it
0.01%:  said the
0.01%:  said that a
0.01%:  said that a real
0.01%:  was an awful artist and
0.01%:  told us
0.01%:  told us what
0.01%:  was a statue for like
0.01%:  is a statue and a
0.01%:  was a little upset when
0.01%:  has a statue idea
0.01%:  is an awful artist and we
0.01%:  should be
0.01%:  has an idea for a new statue park:
0.01%:  as
0.01%:  was our
0.01%:  wasted all
0.01%:  put all
0.01%:  has a little
0.01%:  found it at the
0.01%:  found it at the park
0.01%:  knew what a real statue was:
0.01%:  ran
0.01%:  is a friend after
0.01%:  here was kind
0.01%:  said what
0.01%:  hired a real
0.04%:  hired a real statue
0.01%:  wants a statue where
0.01%:  drew it after we
0.01%:  used a 
0.01%:  paid a full
0.01%:  is what a friend
0.01%:  paid an artist a lot
0.01%:  was able to find a few
0.01%:  was a fake
0.02%:  was a fake statue
0.02%:  was a fake friend
0.01%:  was a fake statue and
0.01%:  is a real artist who
0.01%:  was in the area
0.01%:  was in the area and was
0.01%:  and a
0.01%:  is so
0.01%:  has been paid off
0.01%:  has done a statue
0.01%:  found it at a swap
0.01%:  with a statue
0.01%:  here was a friend
0.01%:  owns
0.01%:  saw it at the park
0.01%:  drank a
0.01%:  was a fake statue all
0.01%:  has a new friend for
0.01%:  paid for it as
0.01%:  paid for it as a thank
0.01%:  was able to find a statue where
0.01%:  was insult
0.01%:  spent a week and half
0.01%:  knows his art
0.01%:  asks
0.01%:  had a real artist paint
0.01%:  said all
0.01%:  speaks for
0.01%:  speaks for all
0.01%:  wants a refund of all his
0.01%:  is awful and he
0.01%:  drawn
0.01%:  wants a refund for all
0.01%:  is a better friend than we
0.01%:  is a better friend than we all
0.01%:  was a statue for a while and we
0.01%:  is off
0.01%:  said that was all
0.01%:  built a life
0.01%:  was a real friend but
0.01%:  was aware
0.01%:  is an aw
0.01%:  has taken a few
0.01%:  paid for it after we saw
0.01%:  takes his
0.01%:  was able to find a life
0.01%:  has a bad
0.01%:  raised
0.01%:  waited for
0.01%:  wanted a real statue for his
0.01%:  wanted a real statue for his lawn
0.01%:  is a real statue and we all
0.01%:  is a real statue and we all know
0.01%:  is a real statue and we all know what
0.01%:  was the winner of a statue
0.01%:  asked that we
0.01%:  drew it after what
0.01%:  knows where
0.01%:  has been kinda
0.01%:  found that
0.01%:  paid for a statue with
0.01%:  is a fake friend who
0.01%:  had it all
0.01%:  and all the
0.01%:  sure knows what a
0.01%:  paid for the statue as an
0.01%:  put all his
0.01%:  put all his effort
0.01%:  was the real artist all
0.01%:  wants us all
0.01%:  will want
0.01%:  left after
0.01%:  was a fine
0.01%:  was a fine friend
0.01%:  spent like
0.01%:  draws real
0.01%:  has a few ideas
0.02%:  has a few ideas about
0.01%:  was in a statue
0.01%:  has pulled off
0.01%:  keeps
0.01%:  put this in
0.01%:  is a true
0.01%:  drew it after we all
0.01%:  knew what a statue was for and
0.01%:  has talked
0.01%:  is better
0.01%:  is better than
0.01%:  was a statue for a few
0.01%:  was in the park and saw a real
0.01%:  said it was a fake
0.01%:  is the real statue of
0.01%:  liked
0.01%:  worked at
0.01%:  worked at it all
0.01%:  was in the area and was like
0.01%:  wanted the
0.01%:  pulled off
0.01%:  used an
0.01%:  hated
0.01%:  ran off
0.01%:  ran off with
0.01%:  knew what a real statue of a din
0.01%:  was an awful friend that
0.01%:  paid that
0.01%:  was a bit of
0.01%:  has a statue park and
0.01%:  in
0.01%:  has taken up a
0.01%:  has paid for a real statue in
0.01%:  is awful at his
0.01%:  built a real
0.01%:  built it and he
0.01%:  is a real statue and will
0.01%:  was a real friend:
0.01%:  is a statue of a bad
0.01%:  has ruined all
0.01%:  has kind
0.01%:  was able to hire
0.02%:  was able to hire a statue
0.01%:  was able to hire an
0.02%:  was able to hire an artist and
0.01%:  was able to hire a real
0.01%:  was able to hire a real statue
0.01%:  was a fine artist
0.01%:  paid a statue of
0.01%:  wasted his life
0.01%:  is a fake friend who wants
0.01%:  needs
0.01%:  asked for a statue in
0.01%:  said he wants a
0.01%:  built that for
0.01%:  has drawn a better
0.01%:  was able to find a full
0.01%:  has drawn an
0.01%:  has pulled a
0.01%:  has pulled a fast
0.01%:  was at the park
0.01%:  was at the park and
0.02%:  was at the park and saw
0.01%:  worked at a
0.01%:  is a statue of a bear
0.01%:  was a little bit
0.01%:  spent all of
0.01%:  has drawn it for us all
0.01%:  said he was off
0.01%:  has a friend in a statue
0.01%:  was upset that
0.01%:  builds
0.01%:  builds stat
0.01%:  blew
0.01%:  blew up and
0.01%:  wishes
0.01%:  said he was a better
0.01%:  is all about
0.01%:  has been at
0.01%:  has been at work
0.01%:  has been at work all
0.01%:  was paid for
0.01%:  has a friend statue
0.01%:  built it after we
0.01%:  built it after we all
0.01%:  put it in
0.01%:  sure was a friend
0.01%:  said it was about
0.01%:  found this in
0.02%:  found this in a park
0.01%:  has a weird statue
0.01%:  was a stupid
0.01%:  has paid an artist real
0.01%:  is a statue and we all know
0.01%:  is a statue and we all know what
0.01%:  is a statue and we all know what a
0.01%: : this
0.01%:  is the real winner
0.01%: : please
0.01%:  was the best
0.04%:  was the best friend
0.01%:  knew what a statue is all
0.01%:  is an artist and we all
0.01%:  is a fine fellow
0.01%:  is a fine fellow and
0.01%:  is a fine fellow and a
0.01%:  won the
0.01%:  won the award
0.01%:  has put all
0.01%:  is not
0.01%:  is not a bad
