I'M SORRY BUT I AM BUSTING YOU DOWN TO JOKE PRESCHOOL
100.00%: 
35.58%:  YOU
45.51%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOO
44.41%:  I'M SORRY BUT I AM SENDING YOU TO JOKES O
44.37%:  I'M SORRY BUT I AM SENDING YOU TO JOKES P
44.12%:  I'M SORRY BUT I AM SENDING YOU TO BE
43.65%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL 
43.64%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TO W
43.47%:  I'M SORRY BUT I AM SENDING YOU TO THE J
43.06%:  I'M SORRY BUT I AM SENDING YOU TO JOKES CHR
42.50%:  I'M SORRY BUT I AM SENDING YOU TO U
42.17%:  I'M SORRY BUT I AM SENDING YOU TO TH
42.10%:  I'M SORRY BUT YOU ARE BE
41.86%:  I'M SORRY BUT I AM SENDING YOU TO THE LO
41.33%:  I'M SORRY BUT YOU ARE NOT GET
41.03%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL B
40.56%:  I'M SORRY BUT I AM SENDING YOU BOTH TO
39.84%:  I'M SORRY BUT YOU ARE GET
39.60%:  I'M SORRY BUT I AM SENDING YOU TO L
39.57%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL BU
39.33%:  I'M SORRY BUT I AM SENDING YOU TO JER
38.93%:  I'M SORRY BUT I AM SENDING YOU TO K
38.48%:  I'M SORRY BUT YOU ARE S
69.69%:  I'M SORRY BUT YOU ARE SENT
59.66%:  I'M SORRY BUT YOU ARE SENDING US
39.64%:  I'M SORRY BUT YOU ARE SENDING THIS
38.44%:  I'M SORRY BUT I AM SENDING YOU TH
38.17%:  I'M SORRY BUT I AM SENDING YOU TO JOKES CHU
38.15%:  I'M SORRY BUT I AM SENDING YOU TO JOKES TOO H
37.86%:  I'M SORRY BUT I AM SENDING YOU TO JERK SCHOOL TO
37.78%:  I'M SORRY BUT THAT IS
37.52%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL OP
36.45%:  I'M SORRY BUT I AM SENDING YOU THE
36.16%:  I'M SORRY BUT THAT W
35.36%:  I'M SORRY BUT I AM SENDING YOU TO HOUR
35.19%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TO R
35.16%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TR
34.75%:  I'M SORRY BUT I AM SENDING YOU TO PROB
33.84%:  I'M SORRY BUT YOU ARE NO
33.43%:  I'M SORRY BUT I AM SENDING YOU TO WH
33.10%:  I'M SORRY BUT I AM SENDING YOU TO SUP
33.08%:  I'M SORRY BUT YOU ARE THE MO
32.58%:  I'M SORRY BUT I AM SENDING YOU TO TR
32.40%:  I'M SORRY BUT I AM SENDING YOU TO JU
32.00%:  I'M SORRY BUT I AM SENDING YOU TO SUPER JO
31.89%:  I'M SORRY BUT I AM SENDING YOU TO R
31.83%:  I'M SORRY BUT YOU CAN
31.65%:  I'M SORRY BUT I AM SENDING YOU TO JOKES R
31.06%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL OPT
30.96%:  I'M SORRY BUT I AM SENDING YOU TO PO
30.90%:  I'M SORRY BUT I AM SENDING YOU TO JOKES PRO
30.76%:  I'M SORRY BUT I AM SENDING YOU TO JOKE CH
29.73%:  I'M SORRY BUT I AM SENDING YOU TO BO
29.56%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL W
28.62%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL U
28.35%:  I'M SORRY BUT I AM SENDING YOUR BUT
28.26%:  I'M SORRY BUT I AM SENDING YOU TO THE L
28.24%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL 
27.93%:  I'M SORRY BUT I AM SENDING YOU TO SLE
27.77%:  I'M SORRY BUT YOU ARE BEING DIS
27.68%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL BR
27.35%:  I'M SORRY BUT I AM SENDING YOU TO JOB SCHOOL T
27.17%:  I'M SORRY BUT I AM SENDING YOU TO JOKES PR
27.02%:  I'M SORRY BUT YOU ARE NOT LE
27.01%:  I'M SORRY BUT I AM SENDING YOU TO JOKE STO
27.00%:  I'M SORRY BUT I AM SENDING YOU TO SO
26.91%:  I'M SORRY BUT I AM SENDING YOU TO JOKES W
26.87%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL B
26.84%:  I'M SORRY BUT I AM SENDING YOU S
26.83%:  I'M SORRY BUT I AM SENDING YOU TO OTHER
26.75%:  I'M SORRY BUT I AM SENDING YOU TO STE
26.67%:  I'M SORRY BUT I AM SENDING YOUR B
26.47%:  I'M SORRY BUT I AM SENDING YOUR P
26.42%:  I'M SORRY BUT I AM SENDING YOU TO THE CL
26.35%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PRO B
26.33%:  I'M SORRY BUT I AM SENDING YOU TO THE PO
26.33%:  I'M SORRY BUT I AM SENDING YOU TO JOKES U
26.22%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL R
25.99%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TWO B
25.48%:  I'M SORRY BUT YOUR
49.10%:  I'M SORRY BUT YOUR JOKE IS NOT
25.40%:  I'M SORRY BUT I AM SENDING YOU TO JOKES CO
25.30%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TOP
25.17%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL O
24.90%:  I'M SORRY BUT I AM SENDING YOU TO PRE
24.67%:  I'M SORRY BUT I AM SENDING YOU T
24.57%:  I'M SORRY BUT I AM SENDING YOU TO THE BO
24.30%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL E
24.28%:  I'M SORRY BUT I AM SENDING YOU TO SPORT
24.12%:  I'M SORRY BUT I AM SENDING YOU TO CR
24.11%:  I'M SORRY BUT YOUR JOKE W
51.99%:  I'M SORRY BUT YOUR JOKE WAS NOT
41.99%:  I'M SORRY BUT YOUR JOKE WAS SO
24.05%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PUR
24.03%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SHO
25.93%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SHOUL
23.87%:  I'M SORRY BUT I AM SENDING YOU H
23.59%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL JOK
23.47%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PUB
23.45%:  I'M SORRY BUT I AM SENDING YOU OUT TO RE
23.36%:  I'M SORRY BUT I AM SENDING YOU TO HOPE
23.03%:  I'M SORRY BUT I AM SENDING YOU TWO
23.00%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL OB
22.52%:  I'M SORRY BUT I AM SENDING YOU TO THE O
22.37%:  I'M SORRY BUT YOU ARE SENDING THIS JO
22.27%:  I'M SORRY BUT THAT JO
22.27%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL UP
22.24%:  I'M SORRY BUT I CAN
31.03%:  I'M SORRY BUT I CANNOT
22.06%:  I'M SORRY BUT I AM SENDING YOU TO JOBS
22.06%:  I'M SORRY BUT YOUR JOKE IS SO
21.60%:  I'M SORRY BUT THAT JOKE IS SO
21.60%:  I'M SORRY BUT I AM SENDING YOU TO JERK SCHOOL BUT
21.51%:  I'M SORRY BUT I AM SENDING YOU TO JOKES 
21.49%:  I'M SORRY BUT I AM SENDING YOU TO SEL
21.33%:  I'M SORRY BUT I AM SENDING YOU ST
21.29%:  I'M SORRY BUT I AM SENDING YOU TO PRES
21.17%:  I'M SORRY BUT I AM SENDING YOU TO JOKE ST
21.05%:  I'M SORRY BUT I AM SENDING YOU TO SP
20.95%:  I'M SORRY BUT I AM SENDING YOU TO CH
20.90%:  I'M SORRY BUT I AM SENDING YOU TO SOL
20.86%:  I'M SORRY BUT I AM SENDING YOU TO STR
20.68%:  I'M SORRY BUT I AM SENDING YOU SE
20.56%:  I'M SORRY BUT I AM SENDING YOU SO B
20.26%:  I'M SORRY BUT I AM SENDING YOU TO JOKES COUR
20.20%:  I'M SORRY BUT I AM SENDING YOU TO CUR
20.08%:  I'M SORRY BUT YOU ARE THE W
19.96%:  I'M SORRY BUT I AM SENDING YOU TO SHO
19.92%:  I'M SORRY BUT I AM SENDING YOU TO JOKES TH
19.85%:  I'M SORRY BUT I AM SENDING YOU TO SE
19.69%:  I'M SORRY BUT I AM SENDING YOUR ST
19.60%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL TO RE
19.35%:  I'M SORRY BUT I AM SENDING YOU TO W
23.07%:  I'M SORRY BUT I AM SENDING YOU TO WORK S
22.61%:  I'M SORRY BUT I AM SENDING YOU TO WORK SCHOOL BE
19.31%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TOU
19.27%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TO B
19.21%:  I'M SORRY BUT I AM NOT
18.96%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TU
18.91%:  I'M SORRY BUT I AM SENDING YOU UP
38.98%:  I'M SORRY BUT I AM SENDING YOU UP TO THE
18.79%:  I'M SORRY BUT YOU ARE SENDING THIS CL
18.75%:  I'M SORRY BUT I AM SENDING YOU OUT TO JO
73.94%:  I'M SORRY BUT I AM SENDING YOU OUT TO JOKE SCHOOL R
23.10%:  I'M SORRY BUT I AM SENDING YOU OUT TO JOKE SCHOOL 
18.68%:  I'M SORRY BUT I AM SENDING YOU TO JOB SCHOOL TO RE
18.66%:  I'M SORRY BUT I AM SENDING YOU TO PROJECT
18.62%:  I'M SORRY BUT I AM SENDING YOU TO THE COOL
18.41%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SUR
18.39%:  I'M SORRY BUT I AM SENDING YOU BOTH TO JO
18.23%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOL
18.02%:  I'M SORRY BUT I AM SENDING YOU TO JOKES C
19.94%:  I'M SORRY BUT I AM SENDING YOU TO JOKES COR
17.91%:  I'M SORRY BUT I AM SENDING YOU TO SUR
17.87%:  I'M SORRY BUT I AM SENDING YOU TO THE BOOK
17.85%:  I'M SORRY BUT I AM SENDING YOUR S
17.67%:  I'M SORRY BUT I AM SENDING YOU TO JOKE C
18.20%:  I'M SORRY BUT I AM SENDING YOU TO JOKE COR
17.66%:  I'M SORRY BUT YOU ARE NOT THE
17.63%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL WO
17.61%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL WORT
17.38%:  I'M SORRY BUT I AM SENDING YOU TO JERK SCHOOL T
17.29%:  I'M SORRY BUT I AM SENDING YOU TO JOKE CLUB
17.19%:  I'M SORRY BUT I AM SENDING YOU TO TO
17.17%:  I'M SORRY BUT I AM SENDING YOU TO COOL
17.12%:  I'M SORRY BUT YOU NE
2489.54%:  I'M SORRY BUT YOU NEED TO GO BACK TO JO
828.14%:  I'M SORRY BUT YOU NEED TO GO BACK TO S
650.72%:  I'M SORRY BUT YOU NEED TO GO BACK TO J
292.22%:  I'M SORRY BUT YOU NEED TO GO BACK HO
275.24%:  I'M SORRY BUT YOU NEED TO GO BACK TO HO
251.83%:  I'M SORRY BUT YOU NEED TO GO BACK IN
191.17%:  I'M SORRY BUT YOU NEED TO GO BACK INTO
143.67%:  I'M SORRY BUT YOU NEED TO GO BACK TO P
115.61%:  I'M SORRY BUT YOU NEED TO GO BACK TO JUN
174.96%:  I'M SORRY BUT YOU NEED TO GO BACK TO JUNIOR S
135.10%:  I'M SORRY BUT YOU NEED TO GO BACK TO JUNIOR H
107.30%:  I'M SORRY BUT YOU NEED TO GO BACK OUT
106.25%:  I'M SORRY BUT YOU NEED TO GO BACK TO N
76.32%:  I'M SORRY BUT YOU NEED TO GO BACK OUT IN
73.15%:  I'M SORRY BUT YOU NEED TO GO TO
63.65%:  I'M SORRY BUT YOU NEED TO GO HO
50.96%:  I'M SORRY BUT YOU NEED TO GO BACK TO HOSP
44.74%:  I'M SORRY BUT YOU NEED TO GO BACK INS
38.92%:  I'M SORRY BUT YOU NEED TO GO BACK TO PRO
32.62%:  I'M SORRY BUT YOU NEED TO ST
32.32%:  I'M SORRY BUT YOU NEED TO GO BACK TO L
31.84%:  I'M SORRY BUT YOU NEED TO GO BACK TH
29.97%:  I'M SORRY BUT YOU NEED TO GO TO J
29.28%:  I'M SORRY BUT YOU NEED TO GO BACK TO NUR
27.04%:  I'M SORRY BUT YOU NEED TO GO BACK INTO JO
26.08%:  I'M SORRY BUT YOU NEED TO GO BACK TO WH
26.01%:  I'M SORRY BUT YOU NEED TO GO BACK INTO J
24.83%:  I'M SORRY BUT YOU NEED TO GO TO JAIL
20.67%:  I'M SORRY BUT YOU NEED TO GO BACK TO U
20.48%:  I'M SORRY BUT YOU NEED TO GO BACK TO SUM
20.12%:  I'M SORRY BUT YOU NEED TO GO BACK INTO S
19.73%:  I'M SORRY BUT YOU NEED TO GO BACK TO JUNIOR HO
18.87%:  I'M SORRY BUT YOU NEED TO GO BACK TO H
18.41%:  I'M SORRY BUT YOU NEED TO GO BACK TO NO
17.23%:  I'M SORRY BUT YOU NEED TO GO BACK TO M
17.16%:  I'M SORRY BUT YOU NEED TO GO BACK TO PR
17.08%:  I'M SORRY BUT I AM SENDING YOU TO BOOK
17.07%:  I'M SORRY BUT YOU NEED TO GO TO JO
16.67%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL POT
16.53%:  I'M SORRY BUT YOU CANNOT
16.47%:  I'M SORRY BUT I AM SENDING YOU TO JOKES PORT
16.44%:  I'M SORRY BUT I AM SENDING YOU TO LE
16.31%:  I'M SORRY BUT I AM SENDING YOU TO COL
16.31%:  I'M SORRY BUT I AM SENDING YOU TO TOE SCHOOL R
16.22%:  I'M SORRY BUT I AM SENDING YOU TO SHOUL
16.16%:  I'M SORRY BUT YOU NEED TO GO BACK TO SHO
16.11%:  I'M SORRY BUT YOU ARE THE ON
16.11%:  I'M SORRY BUT YOU ARE NOW THE
16.06%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TWO R
16.03%:  I'M SORRY BUT YOU NEED TO GO BACK IN TH
15.90%:  I'M SORRY BUT I AM SENDING YOU BE
15.86%:  I'M SORRY BUT YOU ARE THE MOST IN
15.79%:  I'M SORRY BUT I AM SENDING YOU TO POT
15.78%:  I'M SORRY BUT YOU W
15.77%:  I'M SORRY BUT I AM SENDING YOU TO THE SL
15.75%:  I'M SORRY BUT I AM SENDING YOU TO THE R
15.74%:  I'M SORRY BUT I AM SENDING YOU TO THE U
15.74%:  I'M SORRY BUT I AM SENDING YOU TO JOKE BO
15.73%:  I'M SORRY BUT YOU NEED TO GO BACK ON
15.64%:  I'M SORRY BUT I AM SENDING YOU TO RHE
15.59%:  I'M SORRY BUT I AM SENDING YOU TO COUR
16.89%:  I'M SORRY BUT I AM SENDING YOU TO COURSE
15.57%:  I'M SORRY BUT I AM SENDING YOUR TE
15.47%:  I'M SORRY BUT I AM SENDING YOU TO TRUL
15.44%:  I'M SORRY BUT YOU NEED TO GO BACK TO SOL
15.44%:  I'M SORRY BUT YOU ARE SENDING B
15.13%:  I'M SORRY BUT I AM SENDING YOU TO BOOK SCHOOL R
15.12%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TWO P
15.07%:  I'M SORRY BUT I AM SENDING YOU TO HOLE
15.05%:  I'M SORRY BUT THIS JO
14.93%:  I'M SORRY BUT I AM SENDING YOU TO THO
14.89%:  I'M SORRY BUT I AM SENDING YOU TO THE RO
14.87%:  I'M SORRY BUT I AM SENDING YOU TO SCRE
14.63%:  I'M SORRY BUT YOUR JOKE IS NOT GO
14.51%:  I'M SORRY BUT I AM SENDING YOU TO THE SUB
14.41%:  I'M SORRY BUT I AM SENDING YOU TO JOKES THRO
14.22%:  I'M SORRY BUT YOU NEED TO GO BACK TO PUN
14.20%:  I'M SORRY BUT YOU ARE SENT TO
15.12%:  I'M SORRY BUT YOU ARE SENT TO JO
14.16%:  I'M SORRY BUT YOU ARE IN
14.12%:  I'M SORRY BUT I AM SENDING YOU TO LO
14.06%:  I'M SORRY BUT I AM SENDING YOU TO SOR
14.05%:  I'M SORRY BUT I AM SENDING YOU SEL
14.03%:  I'M SORRY BUT I AM SENDING YOU TO TECH
14.02%:  I'M SORRY BUT YOU NEED TO GO BACK TO 
14.01%:  I'M SORRY BUT I AM SENDING YOU TO SPO
13.99%:  I'M SORRY BUT I AM SENDING YOU TO REST
13.92%:  I'M SORRY BUT I AM SENDING YOU TO CHE
13.90%:  I'M SORRY BUT I AM SENDING YOU TO COLO
13.82%:  I'M SORRY BUT THAT JOKE W
13.81%:  I'M SORRY BUT YOU NEED TO GO BACK TO IN
13.75%:  I'M SORRY BUT YOU NEED TO STOP
13.72%:  I'M SORRY BUT I AM SENDING YOU TO LET
13.70%:  I'M SORRY BUT YOUR JOKE S
115.53%:  I'M SORRY BUT YOUR JOKE SCHOOL IS
51.99%:  I'M SORRY BUT YOUR JOKE SCHOOL IS NO
46.55%:  I'M SORRY BUT YOUR JOKE SCHOOL D
32.20%:  I'M SORRY BUT YOUR JOKE SCHOOL IS NOT
30.29%:  I'M SORRY BUT YOUR JOKE SCHOOL TIME
58.03%:  I'M SORRY BUT YOUR JOKE SCHOOL TIME IS UP
25.10%:  I'M SORRY BUT YOUR JOKE SCHOOL ST
28.92%:  I'M SORRY BUT YOUR JOKE SCHOOL STUDENT N
24.87%:  I'M SORRY BUT YOUR JOKE SCHOOL T
18.81%:  I'M SORRY BUT YOUR JOKE SCHOOL TIME IS UP AND
15.97%:  I'M SORRY BUT YOUR JOKE SCHOOL IS BE
15.15%:  I'M SORRY BUT YOUR JOKE SCHOOL AD
14.72%:  I'M SORRY BUT YOUR JOKE SCHOOL DI
14.62%:  I'M SORRY BUT YOUR JOKE SCHOOL SE
13.66%:  I'M SORRY BUT I AM SENDING YOU TO PH
13.63%:  I'M SORRY BUT I AM SENDING YOU TO JOKES L
13.48%:  I'M SORRY BUT I AM SENDING YOU TO JOKES B
13.47%:  I'M SORRY BUT I AM SENDING YOU TO JOKE CO
13.39%:  I'M SORRY BUT I AM SENDING YOU TO JES
13.29%:  I'M SORRY BUT I AM SENDING YOU TO THE PUB
13.28%:  I'M SORRY BUT YOU ARE SENDING US BOT
13.28%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL RE
13.23%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL OUT
13.22%:  I'M SORRY BUT YOU ARE THE MOST UN
13.18%:  I'M SORRY BUT YOU ARE DO
35.30%:  I'M SORRY BUT YOU ARE DOING THIS
14.17%:  I'M SORRY BUT YOU ARE DOING SO
13.11%:  I'M SORRY BUT YOU NEED TO GO TO CL
