got like a thousand REALLY GOOD REASONS for doing that
100.00%: 
1.31%:  got the
0.00%:  got REASONS for hiding
0.00%:  got LEG
0.00%:  got to learn
0.00%:  got a R
0.00%:  got REALLY long
0.00%:  looked at it
0.00%:  got a REALLY GOOD REASON the
0.00%:  got REALLY GOOD AN
0.00%:  gotten RE
0.26%:  gotten REALLY GO
0.01%:  gotten REALLY S
0.00%:  got a lot of naked AND
0.00%:  got a n
0.00%:  ALREADY got an
0.00%:  got REALLY GOOD REASONS for heading
0.00%:  got ONLY like
0.00%:  got a real
0.00%:  looked that
0.00%:  got te
0.00%:  got life to
0.00%:  looked for
0.00%:  tried not
0.00%:  got SLE
0.00%:  got YEARS of tail
0.00%:  got a lot of SO
0.00%:  got DAN
0.00%:  got fine
0.00%:  ALREADY lied
0.00%:  got tank
0.00%:  done that for
0.00%:  got LEGAL
0.00%:  got REASONS for ALL
0.00%:  got hiking
0.00%:  got REASONS too
0.00%:  got a REALLY GOOD REASON for a
0.00%:  got lot
0.00%:  got finger
0.00%:  got REASONS to go
0.00%:  got GOOD REASON for
0.00%:  SO
0.00%:  got like a foot
0.00%:  got a gold
0.00%:  talked it
0.00%:  got a REASON for naked
0.00%:  got the RE
0.02%:  got the REASON for
0.02%:  got the REASONS for doing
0.01%:  got the REASON for doing
0.01%:  got the REAL
0.00%:  got a LONG
0.00%:  got gold
0.00%:  got AL
0.00%:  got a REALLY good life
0.00%:  told SO
0.00%:  got REALLY GOOD N
0.00%:  got g
0.00%:  got GAR
0.00%:  got a th
0.00%:  got to go find SO
0.00%:  got the A
0.00%:  got a REALLY GOOD life
0.00%:  got GOOD REASONS to go
0.00%:  got a l
0.00%:  got a tiger
0.00%:  got the look
0.00%:  ALREADY tried looking
0.00%:  got a RAD
0.00%:  got a lot of hang
0.00%:  got a REALLY GOOD REASON for h
0.01%:  got a REALLY GOOD REASON for hiking
0.00%:  left a
0.00%:  done that a
0.00%:  got the EN
0.00%:  got tan
0.00%:  got SL
0.00%:  heard it
0.00%:  got like a thing
0.00%:  got like a thing for
0.00%:  ALSO got a t
0.00%:  got the RO
0.00%:  got REASON to
0.00%:  got RES
0.00%:  got red
0.00%:  gotten rid
0.00%:  gotten rid of ALL
0.00%:  got GOOD REASONS for the n
0.00%:  got GOOD REASON for doing
0.00%:  got the l
0.00%:  ALSO gotta find
0.00%:  got SAR
0.00%:  done that ONLY A
0.00%:  got LAYER
0.00%:  got SOR
0.00%:  got a REASON for doing the
0.00%:  had to take
0.00%:  got a d
0.00%:  got YEARS of di
0.00%:  got REALLY GRO
0.00%:  got naked SO
0.00%:  got YO
0.00%:  got a REALLY GOOD dog
0.00%:  ALREADY tried taking
0.00%:  got REASONS for doing a
0.00%:  often got
0.00%:  got a REALLY GOOD RES
0.00%:  got RO
0.00%:  got a GO
0.00%:  ALSO got an
0.00%:  ALREADY done that SO
0.00%:  got a REALLY GROSS thing
0.00%:  got digital
0.00%:  got REAL L
0.00%:  tried ALL
0.00%:  got a REALLY RAD t
0.00%:  got REALLY GOOD hair
0.00%:  got YEL
0.00%:  got delight
0.00%:  got the SOL
0.00%:  got to lie
0.00%:  got a REALLY GOOD O
0.00%:  got the DO
0.00%:  got a REALLY GOOD REASON for doing it 
0.00%:  talked too
0.00%:  got a REALLY GOOD REASON for doing like
0.00%:  got the look DO
0.00%:  gotten REALLY SAD
0.00%:  got a REALLY RE
0.00%:  got a REALLY REAS
0.00%:  got the dog
0.00%:  got a REALLY DO
0.00%:  got a REALLY GOOD REASON for no
0.00%:  gone for
0.00%:  got REALLY thin
0.00%:  got REALLY GOOD looking
0.00%:  got a great fl
0.00%:  got to SO
0.00%:  got naked R
0.00%:  got fre
0.00%:  ALREADY got to deal
0.00%:  got on a delight
0.00%:  ALREADY fre
0.00%:  got a REALLY SO
0.00%:  got god
0.00%:  kinda
0.01%:  kinda got
0.00%:  got a REALLY GOOD NE
0.00%:  got their
0.00%:  got a REALLY light
0.00%:  gotta hold
0.00%:  got old t
0.00%:  got a te
0.00%:  ALREADY forgot the
0.00%:  got the L
0.00%:  had like
0.00%:  got kn
0.00%:  kinda got the
0.00%:  ONLY tried
0.00%:  ALREADY felt
0.00%:  ALREADY tried talking
0.00%:  got a REALLY GOOD REASON for t
0.00%:  got fold
0.00%:  got GOOD REASONS for eating
0.00%:  got REASONS it
0.00%:  got OR
0.00%:  got ORAN
0.00%:  tight
0.00%:  got a REALLY GOOD REASON for doing th
0.00%:  got REASONS for not lik
0.00%:  got GOOD REASONS too
0.00%:  got REALLY N
0.00%:  got it like
0.00%:  got like an
0.00%:  kind of let
0.00%:  got GOOD REASON to
0.00%:  got LESS naked
0.00%:  got GOOD REASONS for not lik
0.00%:  at
0.00%:  got the g
0.00%:  got REASONS for holding
0.00%:  got a REALLY GOOD REASON for leading
0.00%:  got REALLY R
0.00%:  got the SAD
0.00%:  got a tail
0.00%:  LO
0.00%:  tried SO
0.00%:  got on like
0.00%:  got a lot of din
0.00%:  ALSO gone to
0.00%:  got ter
0.00%:  got DO
0.00%:  got a thing for le
0.00%:  gotten REALLY G
0.00%:  got DOGS
0.00%:  ALREADY looked at it
0.00%:  taken it
0.00%:  got a GREY
0.00%:  got land
0.00%:  got the GRO
0.00%:  left to
0.00%:  ALREADY gone to
0.00%:  got a REALLY GOOD REASON for like
0.00%:  got LAYERS and
0.00%:  had SO
0.00%:  ALREADY got SO
0.00%:  got REALLY GOOD REASONS for dealing
0.00%:  got a fle
0.00%:  D
0.01%:  DONE that like
0.01%:  DRES
0.00%:  DONE it
0.00%:  got eth
0.00%:  got REALLY GOOD t
0.00%:  got SAD
0.00%:  often had
0.00%:  got ten
0.01%:  got ten thousand
0.00%:  RE
0.07%:  REALLY got
0.05%:  REALLY got to find
0.03%:  REALLY got to go
0.02%:  REALLY tried
0.02%:  REALLY gotten
0.01%:  REALLY liked
0.01%:  REALLY gotten good
0.01%:  REALLY gotta
0.01%:  REALLY got the
0.01%:  REALLY liked that
0.01%:  REALLY got no
0.00%:  REALLY G
0.00%:  REALLY got like
0.00%:  REALLY gotta go
0.00%:  REALLY NE
0.00%:  REALLY got a
0.00%:  REALLY got a thing
0.00%:  REALLY got to do
0.00%:  REALLY got a lot
0.00%:  REALLY ON
0.00%:  REALLY got it
0.00%:  REALLY tried not
0.00%:  REALLY got to go find
0.00%:  REALLY gotta find
0.00%:  REALLY looked
0.00%:  got LAYERS AND
0.00%:  got GOOD REASONS for doing a
0.00%:  gotten ALL
0.00%:  got a lot of k
0.00%:  got ONE S
0.00%:  done it a
0.00%:  got SEL
0.00%:  ALREADY got a lot of naked
0.00%:  got DRO
0.00%:  got GOOD REASON for doing it
0.00%:  got REALLY GOOD REASONS for n
0.00%:  got to go and
0.00%:  got the AN
0.00%:  got like a 
0.00%:  got it naked
0.00%:  got a REALLY GOOD REASON for holding a
0.00%:  got YEARS of dating
0.00%:  got REASON for
0.00%:  ALREADY got naked right
0.00%:  got it half naked
0.00%:  got a giant hole
0.00%:  got a REALLY GOOD ASS
0.00%:  got a hot
0.00%:  got SOLE
0.00%:  got SOLELY
0.00%:  got REALLY GOOD NE
0.00%:  got DEN
0.00%:  got a lot of RE
0.02%:  got a lot of REALL
0.03%:  got a lot of REALLY GO
0.03%:  got a lot of REALLY GOOD naked
0.01%:  got a lot of REALLY GOOD RE
0.00%:  got a lot of REALLY A
0.00%:  got a lot of REALLY G
0.00%:  got a lot of REALLY GOOD N
0.00%:  got a lot of REALLY GOOD S
0.00%:  got a lot of REALLY S
0.00%:  got a lot of REALLY N
0.00%:  ALSO had
0.00%:  got the LE
0.00%:  got naked LE
0.00%:  got a REALLY GOOD REASON for it like
0.00%:  not left
0.00%:  got a N
0.00%:  got GOOD NE
0.00%:  got a real good
0.00%:  got like ONE S
0.00%:  got in
0.00%:  got REALLY GOOD REASONS and
0.00%:  ALREADY gotten a
0.00%:  got a REASON for ALL
0.00%:  got the LESS
0.00%:  ALREADY got other
0.00%:  got a red
0.00%:  ALSO got to deal
0.00%:  REALLY tried it
0.00%:  got a REALLY RAD hat
0.00%:  got LA
0.00%:  ALREADY got good
0.00%:  got LESS of
0.00%:  got a fight
0.00%:  got to go deal
0.00%:  ALSO got a delight
0.00%:  got it kind
0.00%:  got a REALLY good t
0.00%:  liked
0.00%:  got it for
0.00%:  got torn
0.00%:  REALLY got to learn
0.00%:  got REALLY D
0.00%:  ALSO got a fr
0.00%:  got a REALLY GOOD NAR
0.00%:  got a REALLY fl
0.00%:  got a REALLY GOOD to
0.00%:  got REG
0.00%:  got a kind
0.00%:  got a thing for k
0.00%:  got a REALLY SER
0.00%:  got the DAR
0.00%:  got a great old
0.00%:  got REALLY AD
0.00%:  got LEGS AND
0.00%:  got LEGS AND AR
0.00%:  lied
0.00%:  got to hang
0.00%:  got ONLY naked
0.00%:  left SO
0.00%:  got a third
0.00%:  got naked LEGS right
0.00%:  ALREADY got a thousand
0.00%:  not felt
0.00%:  got a RO
0.00%:  got the GOODS
0.00%:  got a REALLY GOOD REASON it looked
0.00%:  got a felt
0.00%:  got naked t
0.00%:  got to like
0.00%:  ALREADY got naked for
0.00%:  gotten REALLY RE
0.00%:  got a REALLY GOOD E
0.00%:  got fight
0.00%:  got REASONS the
0.00%:  got DNA
0.00%:  got gr
0.00%:  got DRAGONS to
0.00%:  got DANG
0.00%:  got DANGERS of
0.00%:  got DANGERS to
0.00%:  got DANGERS of the
0.00%:  got a REALLY GOOD night
0.00%:  gotta go find a
0.00%:  got a REALLY GOOD REASON of
0.00%:  got REASONS for eating
0.00%:  got a GOR
0.00%:  got a REASON for lik
0.01%:  got a REASON for liking the
0.01%:  got a REASON for liking to
0.00%:  got a good tail
0.00%:  got ONE t
0.00%:  got like SE
0.00%:  got draft
0.00%:  got the DANG
0.00%:  got the DANGERS
0.00%:  done it for
0.00%:  got REASONS like
0.00%:  got the DAY
0.00%:  got a REALLY GOOD REASON to find
0.00%:  got to drink
0.00%:  got thing
0.00%:  ONLY done it a
0.00%:  got fet
0.00%:  got dark
0.00%:  got REASONS for doing ALL
0.00%:  got REASONS for doing ALL the
0.00%:  got GOOD REASONS for taking a
0.00%:  ALREADY got a thing
0.00%:  forgot to
0.00%:  got a REALLY GOOD REASON for doing it h
0.00%:  got a gift
0.00%:  like got
0.00%:  got EAS
0.00%:  ALSO got like a
0.00%:  ALSO got like a thousand
0.00%:  got th
0.00%:  got a lot of g
0.00%:  got YAR
0.00%:  got like a third
0.00%:  got a D
0.01%:  got a DRESS
0.00%:  got a REALLY D
0.00%:  got a REALLY GOOD REASON to hang
0.00%:  got the ONE
0.00%:  got real good
0.00%:  got a REALLY GOOD REASON for it on
0.00%:  got neat
0.00%:  got a right
0.00%:  got on a light
0.00%:  ONLY done that for
0.00%:  ALSO tried it
0.00%:  gone that
0.00%:  got a REALLY AD
0.00%:  ONLY got the
0.00%:  got a REALLY GOOD talking
0.00%:  got a trend
0.00%:  ALSO had to
0.00%:  like to
0.00%:  ALSO got naked t
0.00%:  got REALLY GOOD REASON for
0.00%:  got REALLY GOOD REASON for doing
0.00%:  got a le
0.00%:  got REALLY SENS
0.00%:  got a lot of REALLY GOOD AR
0.00%:  got NO idea
0.00%:  got REALLY light
0.00%:  ALREADY told too
0.00%:  got ONLY S
0.00%:  got GRAN
0.00%:  got it ON
0.00%:  got a lot naked
0.00%:  ALREADY gotta
0.00%:  got REASONS to like
0.00%:  got a digital
0.00%:  got REASONS for AL
0.00%:  got din
0.00%:  got the O
0.00%:  REALLY felt
0.00%:  ALREADY got great
0.00%:  got a lot of S
0.00%:  got a REALLY GOOD hat on
0.00%:  held
0.00%:  ONLY done that SO
0.00%:  ALREADY got ONE
0.00%:  got a lot of G
0.00%:  got REASONS of
0.00%:  got REALLY SAD
0.00%:  got REALLY GOOD REASONS to like
0.00%:  got the long
0.00%:  got REALLY fl
0.00%:  got YEARS of not
0.00%:  got it SO GO
0.00%:  gotten REALLY D
0.00%:  gotten REALLY DRESS
0.00%:  got the dang
0.00%:  got a fridge
0.00%:  ALSO tried to go
0.00%:  got naked RAD
0.00%:  got a third of
0.00%:  got the NAR
0.00%:  got to d
0.00%:  got a REALLY GOOD REASON if
0.00%:  got the LAR
0.00%:  got a lot of in
0.00%:  got a lot of REALLY GOOD hiding
0.00%:  torn
0.00%:  got the SENSE
0.00%:  got REALLY GOOD REASONS too
0.00%:  got fe
0.00%:  got a REALLY GOOD REASON for one
0.00%:  got YEARS of delight
0.00%:  got a REALLY delight
0.00%:  got a GOOD RE
0.11%:  got a GOOD REASON for doing
0.03%:  got a GOOD REASON for it
0.02%:  got a GOOD REASON to
0.02%:  got a GOOD REASON for not
0.00%:  got a GOOD REASON to do
0.00%:  got a GOOD REASON for talking
0.00%:  got a GOOD REASON for the
0.00%:  got a GOOD REASON for taking
0.00%:  got a GOOD REASON for naked
0.00%:  got EAR
0.00%:  L
0.01%:  LONG A
0.00%:  LONG S
0.00%:  got DEL
0.00%:  got a h
0.00%:  got ONLY 
0.00%:  gotta go do
0.00%:  got a GOOD REASON for doing the
0.00%:  got DRAGONS hiding
0.00%:  felt too
0.00%:  got YEARS left
0.00%:  got a REALLY GOOD long
0.00%:  got a length
0.00%:  got a lot of R
0.00%:  got a lot of RAD
0.00%:  got YEARS of the
0.00%:  got it in for
0.00%:  got a large
0.00%:  got A RE
0.03%:  got A REASON for doing
0.01%:  got A REASON for it
0.01%:  got A REASON to
