the best part is: that's what I was ALREADY planning to do anyway!
100.00%: 
53.36%:  that
0.36%:  that it doesn't show
0.36%:  that that doesn't wear
0.36%:  that that's how dent
0.35%:  that's another way
0.35%:  that the tooth
0.35%:  that's what the dentist was RE
0.35%:  that I was
0.35%:  that doesn't wash away
0.34%:  that that's not a weird
0.34%:  that's what tooth
0.34%:  that is
0.34%:  then spit that
0.34%:  that's what I do!
0.34%:  that's the way I
0.34%:  that it's not bad
0.34%:  that I don't pass the
0.34%:  that's better
0.37%:  that's better than what
3.00%:  that's better than what I was planning
1.65%:  that's better than what I was planning to say
1.59%:  that's better than what I was planning to do!
0.75%:  that's better than what I was planning today
0.69%:  that's better than what I was planning to do:
0.46%:  that's better than what I was planning!
0.33%:  that doesn't raise
0.33%:  that that's the way it
0.33%:  that br
0.33%:  that I don't say
0.33%:  that I don't start with
0.33%:  that that's not how
0.33%:  it
0.33%:  that's what I was planning to do any
0.32%:  that that's how I
0.32%:  that the dentist shows
0.32%:  that's the best part!
0.32%:  that's another way that
0.32%:  that's not what the
0.32%:  that's what I spend
0.32%:  that's what teeth
0.32%:  that I don't wash the
0.31%:  that it's not a bad
0.31%:  that there is
0.31%:  that I wash
0.31%:  that's how I started
0.31%:  that this has been
0.31%:  teeth
0.30%:  that's why I don
0.30%:  that there's this
0.30%:  that was
0.30%:  that I don't waste
0.30%:  that that's what it
0.37%:  that that's what it does
0.30%:  that's the reason
0.49%:  that's the reason why
0.30%:  that it doesn't so
0.30%:  that it doesn't wash away or
0.30%:  that this doesn't show
0.29%:  that there's no way I
0.29%:  that it doesn't eat
0.29%:  that the person
0.29%:  that I don't stab
0.29%:  that it tastes
0.29%:  that I'd
0.29%:  that's what I spent
0.28%:  that that's an
0.28%:  that it's as
0.28%:  that's what I was planning to spend
0.32%:  that's what I was planning to spend the
0.28%:  that it doesn't start to
0.28%:  then wash
0.28%:  that it stops
0.28%:  that it's not spread by
0.27%:  that's what I spent today
0.27%:  that that poison
0.27%:  that's where I stand
0.27%:  throat
0.27%:  that the dentist who
0.40%:  that the dentist who says
0.27%:  that we
0.27%:  that's why I started
0.27%:  that the body treats this
0.27%:  that I don't share
0.27%:  that poison has
0.27%:  that's not a bad way to start
0.27%:  that's the best way
0.27%:  that I don't throw
0.27%:  that's how I spent the
0.41%:  that's how I spent the day
0.27%:  that it's spread to
0.27%:  that I don't try
0.26%:  that it doesn't RE
0.26%:  that it doesn't AL
0.26%:  that's what I want
0.63%:  that's what I want to do with
0.26%:  that's how I spend
0.26%:  that I don't pass this
0.26%:  that it hasn
0.26%:  that I don't waste this
0.26%:  that it's not that
0.79%:  that it's not that hard
0.26%:  that there was
0.25%:  that both
0.25%:  that they don
1.33%:  that they don't wash
0.55%:  that they don't start
0.25%:  that it's an
0.25%:  that that's better
0.25%:  that I don't spit that
0.25%:  that's another day
0.25%:  that the two
0.25%:  that it was
0.25%:  instead
0.25%:  that's how I started this
0.25%:  that it doesn't pass to
0.25%:  that's why the
0.24%:  that's not a e
0.24%:  that any
0.24%:  that there's that
0.24%:  that doesn't taste
0.24%:  that that's why
0.24%:  it's not that
0.33%:  it's not that hard
0.24%:  that that's the best way to do
0.24%:  that I start
0.24%:  there
0.31%:  there's that
0.24%:  that it doesn't wash away that
0.23%:  that it's spread by
0.23%:  that there's nobody
0.23%:  that's not what they do
0.23%:  that this won
0.23%:  that the poison I
0.23%:  that there's at
0.23%:  that that has
0.23%:  that's what this story was
0.23%:  that doesn't stop the
0.23%:  that that's not what
0.23%:  that's the sort
0.23%:  that the dentist was a
0.23%:  that po
0.23%:  don
0.44%:  don't breathe
0.26%:  don't sp
0.22%:  that's what I was planning on today
0.22%:  those
0.22%:  that it doesn't pass the
0.22%:  that's not weird!
0.22%:  that I don't try to wash
0.22%:  that there's no ad
0.22%:  that that is what
0.22%:  then I sp
0.22%:  that's the story behind
0.22%:  that dentist
0.22%:  that's the theory
0.22%:  that I started
0.22%:  that there's a way to stop
0.22%:  that's how it
0.22%:  that's not the worst way
0.22%:  by
0.78%:  by that
0.22%:  that's better than what I was planning to say:
0.22%:  that's what I was planning to do at
0.21%:  that's the way that
0.21%:  don't wash
0.21%:  that's what they wanted
0.21%:  that has
0.21%:  that I started this
0.21%:  that there ARE
0.21%:  that's not at
0.21%:  that death
0.21%:  that's the way to
0.21%:  that this doesn't RE
0.21%:  that's how that
0.21%:  that's AL
0.21%:  that part
0.21%:  that I stay
0.21%:  that it's not that bad
0.21%:  that's why this
0.21%:  that death by
0.20%:  that those two
0.20%:  that's why it
0.20%:  that that's not weird
0.20%:  that I don't start swe
0.20%:  that's how the
0.20%:  that it has the
0.20%:  that I do
0.71%:  that I do that
0.20%:  that they're not
0.20%:  that's not to
1.41%:  that's not to say that
0.20%:  that it stays on the
0.20%:  that was the
0.20%:  that that's what we
0.20%:  that despite
0.20%:  that's how they
0.20%:  that's how this
0.20%:  it stays
0.20%:  that it's the sort
0.20%:  that I don't start spe
0.20%:  there's no way
1.18%:  there's no way that
0.20%:  there's no way that this
0.19%:  that I don't pass that
0.19%:  that's what the dentist was so
0.19%:  that the dentist says
0.19%:  that I don't trip
0.19%:  that it doesn't say
0.19%:  that's what I was planning to do the
0.19%:  that this won't be
0.19%:  that that's pretty
0.19%:  that's better than what I was planning today:
0.19%:  that's worth
0.19%:  that the body'
0.19%:  that doesn't say
0.19%:  that there's no bad
0.19%:  that it does
0.19%:  that's not the weird
0.19%:  that it's not a waste
0.19%:  that there's a way that
0.18%:  that's the power
0.18%:  that's what I was planning today
0.18%:  these
0.18%:  it stays there!
0.18%:  that's one
0.18%:  that it spreads that
0.18%:  that it's not so
0.18%:  that's what we do
0.18%:  that the poison's the
0.18%:  that I don't bat
0.18%:  that the po
0.18%:  that's not what I was
1.98%:  that's not what I was planning
0.78%:  that's not what I was planning to say
0.42%:  that's not what I was planning to say at
0.28%:  that's not what I was planning today
0.24%:  that's not what I was planning to say!
0.18%:  that's what those dent
0.18%:  that bit
0.18%:  that's what I was planning to spend this
0.17%:  that the poison that
0.17%:  that it's not stored
0.17%:  that there's no way to wash
0.17%:  that isn
0.22%:  that isn't a
0.18%:  that isn't what
0.17%:  that's not what I do
0.17%:  that poison tastes
0.17%:  that I don't wear
0.17%:  that not
0.17%:  that there's no way that I
0.17%:  that doesn't waste
0.17%:  that's the part that I
0.17%:  that that's better!
0.17%:  that's why I started this
0.17%:  that nobody has
0.17%:  then spit the
0.17%:  that's the worst that
0.17%:  that it stops there
0.17%:  that's how this story
0.55%:  that's how this story ends:
0.17%:  that's what I was planning to say
0.17%:  that I don't possess
0.17%:  that's how we
0.17%:  that it's not water
0.17%:  that I D
0.17%:  that I don't share this
0.16%:  that's what the dentist was planning to say
0.16%:  that poison stays
0.16%:  that I don't sweat
0.16%:  that I was born
0.21%:  that I was born with
0.16%:  that it doesn't wash away at
0.16%:  that I don't waste that
0.16%:  that I don't taste the
0.16%:  that it's not that hard to be
0.16%:  that's what that is
0.16%:  that I possess
0.16%:  that I was planning
0.16%:  they'
0.16%:  that it's passed
0.16%:  that's the best part:
0.16%:  that's what I spent the
0.16%:  that's better than what I was planning:
0.16%:  that's not bad
0.16%:  that's what those dentist
0.16%:  that's what passes
0.15%:  that what'
0.15%:  that I don't wash the rest
0.15%:  that I don't swap
0.15%:  that the answer
0.15%:  that those are
0.15%:  that it doesn't sp
0.15%:  that's another way this
0.15%:  that's not a weird
0.15%:  that doesn't wash away with
0.15%:  that that's not bad
0.15%:  that there's two
0.15%:  that the body parts
0.16%:  that the body parts that
0.15%:  that it's that easy to be
0.15%:  that's the part that doesn
0.15%:  that's worth the
0.15%:  that's what I was born
0.15%:  not
0.15%:  that water
5.28%:  that water doesn't wash
3.07%:  that water doesn't wash it away!
1.01%:  that water doesn't wash that
0.95%:  that water doesn't wash away
0.89%:  that water doesn't wash away that
0.36%:  that water doesn't wash that away
0.34%:  that water doesn't wash this
0.17%:  that water doesn't wash that away!
0.15%:  that I don't AL
0.32%:  that I don't ALREAD
0.15%:  that that's not the
0.21%:  that that's not the worst
0.26%:  that that's not the worst idea
0.22%:  that that's not the worst way
0.15%:  that I was planning to
0.15%:  that it doesn't taste so
0.15%:  that water doesn't pass
0.15%:  that I don't spray
0.15%:  then that
0.15%:  that when I'
0.15%:  yes
0.15%:  that I don't start a
0.15%:  that doesn't RE
0.15%:  then I'
0.15%:  that the to
0.15%:  that that is how
0.15%:  that that's what it does!
0.15%:  that it's not the worst
0.15%:  that I wash it down
0.15%:  that that's the part
0.15%:  that is what
0.15%:  it doesn
0.26%:  it doesn't wash
0.15%:  it doesn't wash away
0.15%:  that I don't eat the
0.15%:  that's not what this
0.15%:  that's what I want to do!
0.15%:  that in
0.15%:  that I don't say that
0.14%:  that's what I was planning to do at the party
0.14%:  then start
0.14%:  that's why the dent
0.46%:  that's why the dentist was
0.18%:  that's why the dentist was so
0.14%:  that's what she
0.14%:  that doesn't AL
0.14%:  that's that! I
0.14%:  there's no way this
0.14%:  that I don't stop at
0.14%:  that this doesn't bother
0.14%:  that's not that weird
0.14%:  what'
0.32%:  what's that
0.25%:  what's the
0.65%:  what's the worst
0.24%:  what's the point
0.14%:  that the body treats it
0.14%:  that I don't star
0.14%:  then I start
0.14%:  that's what the dentist saw!
0.14%:  that's why I spend
0.14%:  that's what I was planning to do in that
0.14%:  that the parts
0.14%:  that I don't taste it
0.14%:  that the way
0.14%:  that the answer to this
0.14%:  that that doesn't stop
0.14%:  that's the way this
0.14%:  that it's been
0.14%:  then spit!
0.14%:  don't eat
0.14%:  that's not to say that this
0.14%:  that's what I spent this
0.14%:  that despite that
0.14%:  that I don't wash away
0.14%:  that it doesn't spray
0.14%:  breathe
0.14%:  that it doesn't wash past
0.14%:  it doesn't bother
0.14%:  that's what they said on
0.14%:  that's the best way to do
0.14%:  that it doesn't R
0.14%:  that there's no way it
0.14%:  that's how I spent today!
0.14%:  that I don't pass away
0.14%:  that that's the reason
0.14%:  that that's where poison
0.14%:  that the bad
0.14%:  that this story
0.16%:  that this story ends
0.14%:  that wasn
0.14%:  that this doesn't at
0.14%:  that it has any
0.13%:  that as
0.13%:  that's not what they said
0.13%:  that it starts
0.13%:  despite
0.28%:  despite that
0.18%:  despite what
0.13%:  that starts
0.13%:  that it's not the sort
0.13%:  that the best
0.13%:  that there's a handy
0.13%:  don't bother
0.13%:  that doesn't pose
0.13%:  that said
0.13%:  that's what I started
0.13%:  that's RE
0.13%:  that I don't stop bath
0.13%:  that water doesn't wash it away at
0.13%:  that's what the dentist was y
0.13%:  that's why we
0.13%:  that's what that was
0.13%:  that I possess the
0.13%:  there's a
0.13%:  that there's a tiny
0.13%:  that this does
0.13%:  that I don't start with a
0.13%:  that this was
0.13%:  that it doesn't wash away at the
0.13%:  that's the best that
0.13%:  that other
0.13%:  that it's spread that
0.13%:  that doesn't wash it
0.13%:  that was pretty
0.13%:  those are both
0.13%:  what's with
0.38%:  what's with that
0.12%:  don't start
0.28%:  don't start with
0.20%:  don't start with that
0.12%:  that I don't piss
0.12%:  that it's not as
0.15%:  that it's not as bad
0.12%:  that was the best
0.12%:  that that stops
0.12%:  that this has any
0.12%:  that's it:
0.12%:  that's today
0.12%:  that's the way the
0.12%:  that the poison that'
0.12%:  that it stays there and that
0.12%:  then I wash
0.12%:  that D
0.12%:  that we're both
0.12%:  that's what I spent the day
0.12%:  that I had
0.12%:  that I was born this
0.12%:  that it doesn't wear away
0.12%:  that the story
0.12%:  that's the end
0.12%:  that it doesn't taste as
0.12%:  that that doesn't raise
0.12%:  that I stop
0.12%:  that the dose
0.12%:  that's what today
0.12%:  that's not why
0.12%:  there's not
0.12%:  that's when
0.13%:  that's when I started
0.12%:  that this doesn't set
0.12%:  that I don't start tw
0.12%:  that's how I started the
0.12%:  that I don't breath it
0.12%:  that doesn't wash it away
0.12%:  that it doesn't throw
0.12%:  that's how I start
0.12%:  that no
0.12%:  that it has no
0.12%:  that the poison sett
0.12%:  that's what dentist
0.12%:  that parts
0.12%:  that's not the worst way this
0.12%:  that water doesn't wash it away that
0.12%:  that's pretty d
0.12%:  that's what the rest
0.12%:  that that's what I do
0.12%:  that I don't share that
0.12%:  that's not what we
0.12%:  that that's the way dent
0.12%:  that's not how that
0.12%:  that's way
0.29%:  that's way better
0.50%:  that's way better than what
4.16%:  that's way better than what I was planning
3.92%:  that's way better than what I was planning to do!
2.23%:  that's way better than what I was planning to do:
0.66%:  that's way better than what I was planning!
0.31%:  that's way better than what I was planning:
0.19%:  that's way better than I
0.28%:  that's way better than I was
0.31%:  that's way better than I was planning
0.19%:  that's way better than I was planning to
0.14%:  that's way better than how
0.12%:  that's way better than what I was planning: to
0.12%:  that's way better than sp
0.12%:  that I won
0.32%:  that I won't start
0.20%:  that I won't die
0.20%:  that I won't be
0.11%:  that the body has
0.11%:  that nobody'
0.11%:  that's not the worst idea
0.11%:  that's as
0.11%:  that's why I want
0.11%:  that I start with
0.11%:  that is why
0.11%:  that what the
0.11%:  that it doesn't stop at
0.11%:  that I do it
0.11%:  that that was
0.11%:  that the worst
0.25%:  that the worst that
0.11%:  that's a L
0.11%:  that I don't bother
0.11%:  that it's not passed
0.11%:  that was the best part
0.11%:  that's yet
0.11%:  that there wasn
0.11%:  that's not that hard
0.11%:  that the dentist who says I
0.11%:  don't spit!
0.11%:  that the poison that stays
0.11%:  that I don't step
0.11%:  that I don't start with the
0.11%:  that doesn't stop it
0.11%:  that when the
0.11%:  that there's no way to pass
0.15%:  that there's no way to pass this
0.11%:  that to
0.11%:  that the dentist was a spy
0.11%:  that's why there
0.11%:  that's not what I do at
0.11%:  that there's not a way
0.11%:  that hasn
0.11%:  that when it
0.17%:  that when it starts
0.11%:  that it's spread that way to
0.11%:  that's what I want to be
0.11%:  that's not the worst way that
0.11%:  that the word
0.11%:  that doesn't set
0.10%:  then I spit that
0.10%:  that isn't how
0.10%:  that it doesn't par
0.10%:  that when that
0.25%:  that when that stops
0.10%:  that there's not a way that
0.10%:  that that's where I
0.10%:  that it's not wasted
0.10%:  that's not that bad
0.10%:  that I don't hate
0.10%:  that's how the story
0.15%:  that's how the story ends:
0.10%:  that does
0.10%:  that that is the
0.10%:  now
0.32%:  now that
0.11%:  now that I'
0.10%:  that's why when
0.10%:  that it's not the worst way
0.10%:  that it wasn
0.10%:  that's how I spent today:
0.10%:  that's not as
0.10%:  that's what the dentist says:
0.10%:  that that's the way poison
0.10%:  that's what they do on
0.10%:  that it stops there and
0.10%:  that it doesn't we
0.10%:  that's why dent
0.10%:  that I'd be
0.10%:  that doesn't show
0.10%:  that it's not spread to
0.10%:  that's what this was
0.10%:  don't spit that
0.10%:  that's a pretty he
0.10%:  that I wash that
0.10%:  that's another way to
0.10%:  that doesn't stop with
0.10%:  that there's a way to stop this
0.10%:  that's the best part! I
0.10%:  that's the way I want
0.10%:  that this doesn't pose
0.10%:  that that's how I spend
0.10%:  that's what it says
0.10%:  that it has that
0.10%:  that I don't D
0.10%:  that's sort
0.10%:  that that doesn't wash
0.12%:  that that doesn't wash away
0.10%:  that that's as
0.10%:  that there's not way
0.10%:  that there isn't a way
0.24%:  that there isn't a way that
0.10%:  that the reason
0.10%:  that's what that taste
0.12%:  that's what that taste was
0.10%:  that the poison has stayed
0.10%:  that doesn't wash away with sp
0.10%:  that it stays there and po
0.10%:  that's been
0.10%:  that's what it does
0.10%:  that part is
0.10%:  that's not what I was planning today!
0.10%:  that that doesn't start
0.10%:  it doesn't pass
0.10%:  that the dose stays
0.10%:  that's better!
0.10%:  that this doesn't pre
0.10%:  that that's where it
0.75%:  that that's where it stays
0.12%:  that that's where it stays and
0.10%:  that's better than a
0.10%:  that doesn't start with
0.09%:  that doesn't wash away!
0.09%:  that isn't the
0.13%:  that isn't the worst
0.09%:  then throw
0.09%:  throat!
0.09%:  that isn't a bad
0.09%:  that's where I stand with
0.09%:  that doesn't show that
0.09%:  that I was born with the
0.09%:  that is the
0.11%:  that is the story
0.09%:  that it doesn't wash away to
0.09%:  that I don't bother with
0.09%:  that's not where
0.09%:  that's not a dirty
0.09%:  it doesn't taste
0.09%:  that doesn't at
0.09%:  that I don't start h
0.09%:  that the poison stays R
0.09%:  that's way better than what was
0.09%:  that's what they said I
0.09%:  that I don't breathe that
0.09%:  that they're poison
0.09%:  that's what we want
0.09%:  that's what I do when
0.09%:  that I do this at
0.09%:  that's how today
0.09%:  that's another way that I
0.09%:  that I don't pass it to
0.09%:  that when I start
0.09%:  that I stay this
0.09%:  that that's the best way I
0.09%:  that's how I spend the
0.09%:  that I don't start bath
0.09%:  that there's no stat
0.09%:  that's the answer
0.09%:  that's the answer to that
0.09%:  that I won't pass
0.09%:  that with
0.09%:  I don
0.09%:  that's what that weird
0.12%:  that's what that weird taste
0.09%:  that the poison's a
0.09%:  that that's the way to
0.09%:  that's not hard
0.09%:  that's what a
0.09%:  that I don't try to wash the
0.09%:  that it doesn't waste
0.09%:  that's not a bad way to start this
0.09%:  Y
0.09%:  that poison has the
0.09%:  that a tiny
0.09%:  that that poison stays
0.09%:  it's not that bad
0.09%:  that said teeth
0.09%:  that's how that went
0.09%:  that's the day
0.09%:  that that's not weird!
0.09%:  that rad
0.09%:  that isn't that
0.09%:  I don't start
0.09%:  that's way better than what I was planning to do: sp
0.09%:  that at
0.09%:  that it's AL
0.22%:  that it's ALREAD
0.09%:  that's what we do with
0.09%:  that the poison starts at
0.09%:  that that's the sort
0.09%:  that it doesn't stab
0.08%:  that's what I was planning to say!
0.08%:  that it doesn't sap
0.08%:  that I don't wash it away!
0.08%:  that that's the way I
0.08%:  that I don't bite
0.08%:  that there's not this
0.08%:  that I don't start planning
0.08%:  that's what they said!
0.08%:  that that doesn't bother
0.08%:  that that's where it stops
0.08%:  that this doesn't taste
0.08%:  that it won
0.10%:  that it won't spread
0.08%:  with
0.08%:  that the person stab
0.08%:  that by the
0.08%:  then eat
0.08%:  that's what I was planning to do at this
0.12%:  that's what I was planning to do at this party
0.08%:  that's what I was planning to do in the past
0.08%:  that's where I stand!
0.08%:  that that's a better
0.08%:  yeah
0.08%:  that's what the dentist was planning!
0.08%:  that's not how it
0.08%:  that there's as
0.08%:  that it does what
0.08%:  that this story doesn
0.08%:  that it doesn't w
0.08%:  that it doesn't st
0.08%:  what the
0.08%:  that I don't eat a
0.08%:  that I want
0.08%:  that I stand
0.08%:  that what's in
0.08%:  hands
0.08%:  that that's what we do
0.08%:  that they don't stop
0.08%:  that I sp
0.08%:  that these two
0.08%:  that's not what I was planning at
0.08%:  that there's tons
0.08%:  that I don't wash away that
0.08%:  that its
0.08%:  that I stay that
0.08%:  that I don't pay
0.08%:  don't throw
0.08%:  that's what I say
0.08%:  that's the third
0.08%:  that it ends
0.08%:  that I don't possess the
0.08%:  that's based
0.13%:  that's based on the
0.09%:  that's based on what
0.08%:  that shows
0.08%:  that's what this day
0.08%:  that's what this post
0.09%:  that's what this post was
0.08%:  that poison stays there
0.08%:  it doesn't stop
0.08%:  that's not what I do with
0.08%:  that that's how we
0.08%:  that I don't possess a
0.08%:  that's what that dent
0.22%:  that's what that dentist was planning
0.08%:  that's another way I
0.08%:  that's not how this
0.08%:  that the other
0.08%:  that poetry
0.08%:  that's why it tastes
0.08%:  that was a
0.33%:  that was a pretty
0.08%:  that dentist'
0.08%:  that this doesn't throw
0.08%:  that that isn
0.10%:  that that isn't a
0.08%:  that's not a bad theory
0.08%:  that spray
0.08%:  that the poison has a
0.08%:  throat and
0.08%:  they don
0.35%:  they don't wash
0.16%:  they don't start
0.12%:  they don't wash that
0.08%:  that's how I spent the day:
0.08%:  I'd
0.49%:  I'd better
0.22%:  I'd better stop
0.10%:  I'd better not
0.08%:  that I spend
0.08%:  that it's not AL
0.16%:  that it's not ALREAD
0.08%:  that when I say that
0.08%:  that the taste
0.08%:  that's a pretty s
0.08%:  that this doesn't we
0.08%:  that's what I was planning to do with any
0.08%:  that there's no way what
0.08%:  that this won't stop
0.08%:  don't pass
0.08%:  body
0.08%:  that when it passes
0.08%:  that water doesn't wash away this
0.08%:  then that'
0.25%:  then that's what
0.11%:  then that's why
0.11%:  then that's how
0.09%:  then that's it
0.08%:  that I don't waste the
0.08%:  that's an aw
0.08%:  that's what this body
0.08%:  that it doesn't wash away as
0.08%:  that the body treats it as
0.08%:  that's not to say that what
0.08%:  that the phrase
0.08%:  that I don't wait
0.08%:  that's what they said at
0.08%:  that I don't start sw
0.08%:  that's how I want
0.08%:  that the answer to that
0.08%:  on
0.09%:  on that
0.07%:  that I want to be
0.07%:  now that I say
0.59%:  now that I say that
0.07%:  that I don't start to sweat
0.07%:  that I don't say this
0.07%:  that it's as pot
0.07%:  that I wash the
0.07%:  that when it'
0.07%:  that's part
0.07%:  that that was the
0.07%:  that the part
0.07%:  that the stories
0.07%:  that that's how I stay
0.07%:  that what that
0.07%:  that the dentist has a
0.07%:  that it doesn't at
0.07%:  what's with dent
0.07%:  that the way that
0.07%:  then stab
0.07%:  that was today
0.07%:  that's what I was planning to do this year
0.07%:  that's what that weird taste was
0.07%:  that the poison stays at
0.07%:  that's how I stay
0.07%:  that's what I was planning to do:
0.07%:  don't breath
0.07%:  that's where this
0.07%:  that I was born with teeth
0.07%:  breath
0.07%:  that by this
0.07%:  that was a pretty bad
0.07%:  that's the answer to why
0.07%:  that's with
0.07%:  that I don't start p
0.07%:  that doesn't wear away
0.07%:  don't spit the
0.07%:  that's the worst way
0.07%:  that that's not the worst way I
0.07%:  that there's so
0.07%:  that the path
0.07%:  that was the day
0.08%:  that was the day that
0.07%:  that that's not weird at
0.07%:  that's way better than that
0.07%:  that's why I hate
0.07%:  that this won't destroy
0.07%:  by the
0.07%:  that's what it was
0.07%:  that it doesn't short
0.07%:  that the words
0.07%:  that's way better than how it was
0.07%:  that it's at
0.07%:  that it doesn't LE
0.07%:  that's not what I said
0.07%:  that it stays on there
0.07%:  that that's the best part
0.07%:  that that's a better way to do
0.07%:  that it doesn't wash the
0.07%:  that I breathe
0.07%:  that this was the
0.07%:  that I don't sweat it
0.07%:  that it's not as bad as the
0.07%:  that there is a
0.07%:  there's no way that that
0.07%:  that way
0.07%:  that there's no way to pass that
0.07%:  that's no
0.07%:  that's not how the
0.07%:  that this theory
0.07%:  that's what teeth do
0.07%:  those are two
0.07%:  that when this
0.07%:  that's not weird that
0.07%:  that's the other
0.07%:  that the two parts
0.07%:  that this doesn't short
0.07%:  at
0.07%:  what's the worst they
0.07%:  that the body is
0.07%:  that I do that at
0.07%:  that's where that
0.07%:  that I don't try to wash that
0.07%:  that the tiny
