YOU WANNA COME OVER AND WATCH A MOVIE OR WHAT
      0 100.00%: 
      1 44.13%:  I
    258 0.67%:  I HAD A
    259 0.58%:  YOU D
    260 0.58%:  I HAVE ONE
    261 0.58%:  I WANT YOU TO CO
    262 11.85%:  I WANT YOU TO COME OVER AND HAVE
    263 10.71%:  I WANT YOU TO COME OVER AND WE
    264 8.89%:  I WANT YOU TO COME OVER AND CO
    265 6.21%:  I WANT YOU TO COME OVER AND MA
    266 5.71%:  I WANT YOU TO COME OVER AND WE CAN W
    267 3.60%:  I WANT YOU TO COME OVER AND WE CAN MA
    268 3.57%:  I WANT YOU TO COME OVER AND H
    269 3.39%:  I WANT YOU TO COME OVER AND E
    270 2.88%:  I WANT YOU TO COME OVER AND W
    271 2.10%:  I WANT YOU TO COME OVER AND WE CAN H
    272 2.06%:  I WANT YOU TO COME OVER AND WE CO
    273 1.72%:  I WANT YOU TO COME OVER AND HAVE A
    274 1.67%:  I WANT YOU TO COME OVER AND WE W
    275 1.65%:  I WANT YOU TO COME OVER AND WE CAN OR
    276 1.31%:  I WANT YOU TO COME OVER R
    277 0.95%:  I WANT YOU TO COME OVER AND HAVE A H
    278 0.90%:  I WANT YOU TO COME OVER AND ME
    279 0.78%:  I WANT YOU TO COME HO
    280 0.70%:  I WANT YOU TO COME OVER AND CH
    281 0.69%:  I WANT YOU TO COME OVER H
    282 0.68%:  I WANT YOU TO COME OVER AND RE
    283 0.57%:  I WANT YOUR NAME T
    284 0.57%:  I WANT YOUR NAME ON A
    285 0.57%:  DO I EVER NE
    286 0.56%:  YOU ARE THE MO
    287 0.56%:  I WANT A H
    288 0.56%:  WE NE
    289 0.91%:  WE NEED TO H
    290 0.77%:  WE NEED TO MA
    291 0.76%:  WE NEED TO T
    292 0.56%:  C
    293 0.55%:  I WANT YOU TO COME OVER E
    294 0.55%:  I WANT TO DO
    295 0.55%:  CAN I T
    296 0.55%:  I WANNA MA
    297 0.55%:  CAN WE HAVE
    298 0.55%:  AND
    299 0.55%:  CAN YOU HAND
    300 0.55%:  CAN I COME OVER AND EAT YOUR HO
    301 0.55%:  WE ARE IN
    302 0.54%:  I NEED A
    303 0.55%:  I NEED A NEW
    304 0.54%:  I ATE THE
    305 0.54%:  EAT ME
    306 0.54%:  DO I EVER WANT TO MA
    307 0.54%:  DO I EVER HAVE
    308 0.54%:  YOU AND I ARE T
    309 0.54%:  WANNA
    310 0.53%:  A
    311 0.53%:  I WANT H
    312 0.65%:  I WANT HER
    313 0.53%:  I WANT TO HAVE YOU
    314 0.53%:  DO YOU WANT TO HAVE A CH
    315 0.53%:  YOU W
    316 0.92%:  YOU WERE
    317 0.91%:  YOU WANT ME
    318 0.76%:  YOU WANT TO CO
    319 5.96%:  YOU WANT TO COME OVER AND HAVE
    320 4.19%:  YOU WANT TO COME OVER AND HAVE A
    321 3.99%:  YOU WANT TO COME OVER AND H
    322 2.89%:  YOU WANT TO COME OVER AND E
    323 0.87%:  YOU WANT TO COME OVER AND MA
    324 0.65%:  YOU WANT TO HAVE
    325 0.62%:  YOU WANT TO COME OVER AND WE
    326 0.94%:  YOU WANT TO COME OVER AND WE CAN MA
    327 0.69%:  YOU WANT TO COME OVER AND WE CAN W
    328 0.60%:  YOU WANT TO COME OVER AND WE CAN OR
    329 0.52%:  CAN I COME OVER TO
    330 0.52%:  CAN I HAVE A ME
    331 0.52%:  I WANT TO HAVE H
    332 0.52%:  DO YOU WANT TO COME OVER R
    333 0.52%:  CAN I COME OVER AND EAT MY
    334 0.52%:  YOU WANT TO COME OVER AND HAVE A H
    335 0.52%:  HAVE YOU MET HIM
    336 0.52%:  COME HERE I AM
    337 0.52%:  HO
    338 0.56%:  HOW DO
    339 1.54%:  HOW DO YOU NOT
    340 0.52%:  I WANT TO HAVE A CH
    341 0.52%:  YOU ARE NOT
    342 0.51%:  I WANT TO CO
    343 0.51%:  I WANNA HAVE A
    344 0.51%:  I HAVE NEED
    345 0.51%:  WE NEED TO M
    346 0.51%:  I ME
    347 0.51%:  YOU ARE THE ONE
    348 0.50%:  YOU WANT TO COME OVER AND CH
    349 0.50%:  I WANT YOU TO COME OVER AND HE
    350 0.50%:  CAN I COME OVER AND HAVE YOUR
    351 0.50%:  DO YOU WANT TO HAVE A H
    352 0.50%:  I WANNA HAVE YOUR
    353 0.50%:  DO YOU WANT A
    354 0.50%:  YOU WANT TO COME HO
    355 0.49%:  I WANT TO HAVE HAM
    356 0.49%:  I NEED TO HAVE YOU
    357 0.48%:  I AM ON
    358 0.48%:  COME HERE I WANT TO HAND
    359 0.48%:  I WANT YOU TO COME HOME
    360 0.52%:  I WANT YOU TO COME HOME AND
    361 0.48%:  I WANNA D
    362 0.61%:  I WANNA DATE H
    363 0.48%:  WHEN I ME
    364 1.61%:  WHEN I MEET YOU
    365 0.48%:  COME WITH ME AND WE W
    366 0.47%:  I WORE
    367 0.47%:  I WANNA EAT YOU AND THE
    368 0.47%:  I ATE A
    369 0.47%:  I NEED TO MA
    370 0.47%:  ON
    371 0.47%:  ON THE
    372 0.47%:  THAT H
    373 0.46%:  WHAT I
    374 0.46%:  YOU HAVE NO
    375 2.77%:  YOU HAVE NO IDEA HO
    376 1.16%:  YOU HAVE NO IDEA WH
    377 0.46%:  I WANNA EAT YOU NO
    378 0.46%:  CAN YOU CO
    379 5.64%:  CAN YOU COME OVER AND
    380 1.96%:  CAN YOU COME OVER AND MA
    381 1.29%:  CAN YOU COME OVER AND HAVE
    382 1.23%:  CAN YOU COME OVER AND WE
    383 1.20%:  CAN YOU COME OVER T
    384 1.62%:  CAN YOU COME OVER TOM
    385 0.92%:  CAN YOU COME OVER AND H
    386 0.62%:  CAN YOU COME OVER AND W
    387 0.59%:  CAN YOU COME OVER TO
    388 0.45%:  HAVE YOU EVER T
    389 0.45%:  I WANT YOU TO COME OVER AND WE CAN R
    390 0.45%:  HAVE YOU TR
    391 0.45%:  I DO
    392 0.55%:  I DO NOT C
    393 0.69%:  I DO NOT CARE A
    394 0.45%:  HAVE WE
    395 0.45%:  HERE
    396 0.45%:  DO I EVER WANT TO HEAR MY
    397 0.45%:  I NEED YOUR NAME CH
    398 0.44%:  I AM THE
    399 0.44%:  WHEN ARE YOU
    400 0.44%:  WANT YOU
    401 0.44%:  I WANT YOU AND ON
    402 0.43%:  CAN YOU COME WITH
    403 0.75%:  CAN YOU COME WITH ME AND
    404 0.43%:  YOU CAN HAVE THE
    405 0.43%:  I HATE
    406 0.43%:  THAT ME
    407 0.43%:  WHEN ARE YOU COM
    408 0.43%:  I AM RE
    409 0.43%:  I WANNA EAT YOUR H
    410 0.43%:  WHAT A
    411 0.43%:  CAN I EAT ONE
    412 0.43%:  EAT YOUR
    413 0.43%:  CAN HAVE
    414 0.43%:  DO YOU WANT TO COME OVER WH
    415 0.43%:  I MADE A NEW
    416 0.43%:  HE
    417 0.42%:  YOU WANT TO COME OVER AND HE
    418 0.72%:  YOU WANT TO COME OVER AND HEAR A
    419 0.42%:  DO I HAVE
    420 0.42%:  DO YOU WANT TO COME OVER N
    421 0.42%:  ARE YOU HERE TO H
    422 0.42%:  YOU WANT TO COME OVER AND I
    423 0.42%:  YOU WANT TO COME OVER AND C
    424 0.42%:  YOU MA
    425 0.42%:  ARE YOU IN
    426 0.42%:  CAN I MA
    427 0.42%:  COME WITH ME TO
    428 0.42%:  I HO
    429 0.42%:  I WANNA EAT YOUR HAND
    430 0.41%:  YOU WANT TO COME HOME AND W
    431 0.41%:  WHEN YOU HAVE
    432 0.41%:  COME WITH ME AND WE CAN T
    433 0.41%:  YOU WANT TO COME HOME AND HAVE
    434 0.41%:  WHEN WE M
    435 0.41%:  I MEAN THAT
    436 0.41%:  I HAD YOU
    437 0.41%:  CAN I COME OVER AND HAVE A H
    438 0.41%:  CAN I RE
    439 0.41%:  CAN I COME OVER AND OR
    440 0.41%:  YOU WANT TO COME OVER AND M
    441 0.40%:  WHEN WE HAVE
    442 0.40%:  CAN YOU COME WITH ME TO A
    443 0.40%:  I WANT YOU TO COME OVER AND HEAR
    444 0.40%:  I WANNA EAT YOU AND MA
    445 0.40%:  CAN I HAVE YOUR NAME AND
    446 0.40%:  DO YOU WANT TO HE
    447 0.40%:  I WANT TO HAND
    448 0.40%:  WE CAN HAVE
    449 0.40%:  I MADE MY
    450 0.40%:  HAT
    451 0.40%:  I WANT THEM
    452 0.40%:  COME ON
    453 0.40%:  HOW ARE
    454 0.52%:  HOW ARE YOU DO
    455 0.40%:  I WANNA HAVE YOUR CH
    456 0.40%:  HAVE I M
    457 1.25%:  HAVE I MET YOU
    458 1.00%:  HAVE I MET THE
    459 0.95%:  HAVE I MET MY
    460 0.58%:  HAVE I MET A MO
    461 0.51%:  HAVE I MET YOU AT
    462 0.40%:  I WANT YOU TO COME OVER AND M
    463 0.40%:  WE W
    464 0.39%:  I AM MA
    465 0.39%:  HAVE I EVER W
    466 0.39%:  CAN YOU COME WITH ME TO D
    467 0.39%:  EAT MY
    468 0.39%:  CAN I HAVE ONE OR
    469 0.39%:  WANT H
    470 0.39%:  I WANT AN
    471 0.39%:  DO YOU WANT A H
    472 0.39%:  I AM NOT H
    473 0.39%:  YOU WANT TO COME OVER AND CO
    474 0.39%:  YOU ARE THE RE
    475 0.39%:  ARE YOU E
    476 0.39%:  CAN WE H
    477 0.38%:  WHEN I M
    478 1.53%:  WHEN I MET H
    479 1.00%:  WHEN I MET HAM
    480 0.38%:  WHEN THE
    481 0.38%:  CAN I HAVE A RE
    482 0.38%:  I AM H
    483 0.41%:  I AM HERE TO HAVE
    484 0.38%:  CAN I HAVE YOUR H
    485 0.42%:  CAN I HAVE YOUR HAM
    486 0.38%:  I WANT TO MO
    487 0.38%:  YOU AND ME CAN
    488 0.38%:  YOU ARE THE ONE AND
    489 0.38%:  I WANNA EAT YOU A
    490 0.38%:  I WANNA EAT THE H
    491 0.37%:  I AM NO
    492 0.37%:  I ATE H
    493 0.38%:  I ATE HAM
    494 0.37%:  I AM NOT MA
    495 0.47%:  I AM NOT MADE TO
    496 0.37%:  I WENT
    497 0.37%:  HAVE YOU EVER THO
    498 0.37%:  COME HERE I WANT YOU TO H
    499 0.37%:  CH
    500 0.37%:  WANT ME
    501 0.37%:  DO YOU WANT AN
    502 0.37%:  I WANNA EAT ONE
    503 0.36%:  DO I EVER WANT TO HEAR YOU CAN
    504 0.36%:  DO YOU WANT TO COME OVER W
    505 0.36%:  I WANNA EAT YOU T
    506 0.36%:  I ATE YOUR
    507 0.36%:  I WANT TO R
    508 0.36%:  YOU HAVE NO IDEA WHAT A
    509 0.36%:  I AM HERE TO E
    510 1.47%:  I AM HERE TO EAT YOU
    511 0.63%:  I AM HERE TO EAT YOUR
    512 0.36%:  CAN YOU COME HO
    513 0.36%:  I NEED YOU TO H
    514 0.36%:  I WANT YOUR H
    515 0.59%:  I WANT YOUR HAND
    516 0.36%:  I AM HERE TO OR
    517 0.35%:  I WANNA EAT YOU H
    518 0.35%:  CAN I COME OVER ANY
    519 0.35%:  I NEED YOUR NAME ON A
    520 0.39%:  I NEED YOUR NAME ON A TAT
    521 0.35%:  I NEED TO T
    522 0.35%:  I WANT YOU TO COME AND
    523 0.35%:  CAN I COME OVER AND EAT ANY
    524 0.35%:  ARE YOU HERE TO T
    525 0.35%:  HERE I
    526 0.35%:  I HAD THE
    527 0.35%:  DO I EVER WANT TO HEAR HO
    528 0.35%:  I HAVE NOT
    529 0.35%:  ARE YOU NOT
    530 0.35%:  I WANNA EAT AT
    531 0.34%:  DO YOU WANT TO COME OVER IN AN
    532 0.34%:  YOU ARE THE CO
    533 0.34%:  I WANT TO HAVE MY
    534 0.34%:  HAVE YOU READ
    535 0.34%:  COME HERE I WANT TO CO
    536 0.34%:  HERE WE
    537 0.34%:  YOU HAVE NO IDEA WHAT AN
    538 0.34%:  HAVE I MET MY O
    539 0.34%:  HAVE YOU CO
    540 1.94%:  HAVE YOU COME WITH
    541 1.01%:  HAVE YOU COME TO
    542 0.45%:  HAVE YOU COME TO THE
    543 0.39%:  HAVE YOU COME WITH ME
    544 0.37%:  HAVE YOU COME WITH A
    545 0.34%:  COME HERE I WANT YOUR
    546 0.33%:  CAN YOU COME HOME AND
    547 0.33%:  THAN
    548 0.33%:  I WANNA DATE HAM
    549 0.33%:  YOU ARE E
    550 0.33%:  I NEED YOU TO CO
    551 0.59%:  I NEED YOU TO COME O
    552 0.33%:  I WANT YOU TO COME OVER AND C
    553 0.33%:  I WANT TO C
    554 0.33%:  WANT TO H
    555 0.33%:  DO I EVER WANT TO HAVE A
    556 0.33%:  I WANNA EAT YOU N
    557 0.33%:  I HAVE A H
    558 0.39%:  I HAVE A HAM
    559 0.33%:  WHAT CAN
    560 0.33%:  CAN YOU T
    561 0.33%:  DO YOU WAN
    562 0.42%:  DO YOU WANNA H
    563 0.41%:  DO YOU WANNA CO
    564 0.61%:  DO YOU WANNA COME O
    565 0.72%:  DO YOU WANNA COME OVER T
    566 0.76%:  DO YOU WANNA COME OVER TOM
    567 0.71%:  DO YOU WANNA COME OVER TO
    568 0.33%:  I WANT TO RE
    569 0.33%:  WANT YOU TO
    570 0.32%:  I WANT YOU TO COME OVER ON
    571 0.32%:  I WORE THAT
    572 0.32%:  THAT I
    573 0.32%:  I WANNA OR
    574 0.32%:  COME HERE I WANT TO DO
    575 0.32%:  HAVE I MET A MORE A
    576 0.32%:  ARE YOU TR
    577 0.32%:  HOW DO YOU NOT OR
    578 0.32%:  I WANT HER TO M
    579 0.32%:  DO YOU WANT ME TO OR
    580 0.31%:  WHEN I MET HER MY
    581 0.31%:  ARE YOU ACT
    582 0.31%:  HAVE I MET ANY
    583 0.31%:  WE WERE
    584 0.31%:  CAN YOU COME WITH ME AND WE
    585 0.31%:  CAN I HAVE E
    586 0.31%:  WHEN WE ARE
    587 0.31%:  DO YOU WANT TO COME ON
    588 0.31%:  DO I EVER WANT TO HEAR MY OWN V
    589 0.31%:  I NEED TO HAVE A
    590 0.31%:  WHY ARE WE
    591 0.33%:  WHY ARE WE NOT
    592 0.31%:  I WANT YOU TO COME OVER AND WE CAN HAM
    593 0.31%:  I WANT YOU TO C
    594 0.31%:  COME HERE I WANNA MA
    595 0.31%:  I WANNA EAT YOU TON
    596 0.31%:  YOU WERE MA
    597 0.78%:  YOU WERE MADE TO
    598 0.31%:  DO YOU WANT TO M
    599 0.31%:  HERE CO
    600 0.31%:  I HAVE MA
    601 0.38%:  I HAVE MADE MY
    602 0.31%:  DO I EVER WANT TO CO
    603 0.31%:  DO I EVER WANT TO H
    604 0.30%:  CAN I COME OVER AND EAT YOUR M
    605 0.30%:  ARE YOU A RE
    606 0.30%:  I NEED THAT ON
    607 0.30%:  I NEED YOU TO COME HO
    608 0.30%:  I NEED TO ME
    609 0.30%:  YOU WANT A
    610 0.30%:  MAR
    611 0.30%:  IN ONE
    612 0.30%:  HAVE YOU EVER MA
    613 0.30%:  YOU HAVE THE
    614 0.30%:  I HE
    615 0.30%:  I WANT TO DE
    616 0.30%:  YOU WANT TO COME OVER AND R
    617 0.30%:  NO
    618 0.40%:  NOW WE
    619 0.44%:  NOW WE HAVE
    620 0.30%:  I AM MADE OUT
    621 0.30%:  I NEED MY
    622 0.30%:  CAN I HAVE A CH
    623 0.30%:  I WANT TO DR
    624 0.30%:  CAN I R
    625 0.30%:  HAVE I MET MY NEW
    626 0.30%:  I DO NOT CARE HO
    627 0.30%:  YOU ARE THE ON
    628 0.30%:  I WANNA HAVE THAT
    629 0.30%:  I NEED TO EAT A H
    630 0.30%:  CAN I COME OVER AND TR
    631 0.31%:  CAN I COME OVER AND TRY THE
    632 0.30%:  I AM THAT
    633 0.29%:  HOW YOU
    634 0.29%:  THAT WOM
    635 0.29%:  COM
    636 0.29%:  I WANT YOU TO HAVE A
    637 0.29%:  I WANT YOU TO COME OVER AND WE CAN M
    638 0.29%:  COME HARD
    639 0.29%:  WHEN WE ME
    640 0.29%:  YOUR
    641 0.29%:  HAVE I MET MY OWN DE
    642 0.29%:  DO I EVER WANT ANY
    643 0.29%:  CAN I HAVE A H
    644 0.29%:  WATCH YOUR
    645 0.29%:  CAN YOU M
    646 0.29%:  I HAVE MADE A NEW
    647 0.29%:  I WANNA HAVE CH
    648 0.29%:  I NEED TO TR
    649 0.28%:  THAT MA
    650 0.28%:  YOU AND I ARE A
    651 0.28%:  DO YOU WANNA COME HO
    652 0.28%:  WHEN YOU OR
    653 0.28%:  HAVE I EVER MA
    654 0.28%:  I WANT YOUR NAME WR
    655 0.28%:  I WANNA EAT A
    656 0.28%:  COME HERE I WANT TO C
    657 0.28%:  DO YOU WANT TO COME HAVE
    658 0.28%:  I NEED TO HAVE MY
    659 0.28%:  CAN I COME OVER AND TRY ONE
    660 0.28%:  ARE YOU HOT
    661 0.28%:  CAN I COME OVER AND HAVE MY
    662 0.28%:  I HAVE TO HAVE
    663 0.28%:  HOW CO
    664 0.40%:  HOW COME YOU NOT
    665 0.28%:  I NEED TO CH
    666 0.28%:  I HAVE H
    667 0.47%:  I HAVE HAD A
    668 0.28%:  R
    669 0.28%:  I ATE E
    670 0.28%:  ARE YOU DO
    671 0.28%:  IN THE
    672 0.28%:  DO I EVER WANT TO HEAR MY OWN N
    673 0.28%:  I WANNA HAVE A CH
    674 0.28%:  DO I EVER WANT TO HEAR ANY MO
    675 0.27%:  YOU WANT TO COME OVER AND WE W
    676 0.27%:  WHEN YOU ARE
    677 0.27%:  I C
    678 0.32%:  I CANT
    679 0.27%:  WHAT H
    680 0.27%:  WHEN CAN
    681 0.28%:  WHEN CAN WE
    682 0.27%:  HAVE I EVER H
    683 0.45%:  HAVE I EVER HAD ANY
    684 0.27%:  CAN I COME E
    685 0.40%:  CAN I COME EAT AT
    686 1.76%:  CAN I COME EAT AT YOUR HO
    687 0.37%:  CAN I COME EAT AT YOU
    688 0.29%:  CAN I COME EAT YOUR
    689 0.27%:  WANT ME TO E
    690 0.27%:  CAN I HAVE ANY
    691 0.27%:  YOU AND I CAN
    692 0.27%:  DO YOU WANT TO ME
    693 0.27%:  COME WITH ME AND WE CAN OR
    694 0.27%:  HAVE YOU EVER HAD AN
    695 0.27%:  RE
