hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
    127 601.63%:  hah! Yes I do! Do
    128 598.95%:  hah! Yes I do! This
    129 591.47%:  hah! YES, I J
    130 587.89%:  hah, sure do!! I
    131 584.18%:  hah, I DO
    132 580.82%:  hah! You
    133 572.44%:  hah! YES, FRIED
    134 565.98%:  hah, sure!
    135 568.89%:  hah, sure! I
    136 562.69%:  hah! Yes, I DO! They
    137 561.22%:  hah! I sure DO
    138 560.15%:  hah! I sure do! E
    139 559.01%:  hah, I sure hope
    140 3860.19%:  hah, I sure hope so!!
    141 547.01%:  hah, yes! I do! Yes
    142 538.47%:  hah, you
    143 530.14%:  hah, sure do! Oh
    144 518.66%:  hah! I sure do, you
    145 512.11%:  hah! I sure hope
    146 2290.91%:  hah! I sure hope so,
    147 508.50%:  hah! Yep,
    148 723.09%:  hah! Yep, I
    149 1311.27%:  hah! Yep, I do
    150 2124.01%:  hah! Yep, I do! They
    151 1041.11%:  hah! Yep, I sure do! This
    152 607.90%:  hah! Yep, I sure do! Oh
    153 552.58%:  hah! Yep, I sure do! Do
    154 502.52%:  hah, yes! I do! You
    155 500.61%:  hah! I DO,
    156 484.78%:  hah, Y
    157 4558.68%:  hah, YES!
    158 4416.02%:  hah, YES! I
    159 2022.30%:  hah, YES! I do
    160 1859.16%:  hah, YES I
    161 6751.86%:  hah, YES I DO!!
    162 2185.33%:  hah, YES I DO! They
    163 1803.79%:  hah, YES! I DO
    164 1721.99%:  hah, YES! I do! They
    165 1715.57%:  hah, YES! They
    166 483.16%:  hah! I sure DO! They
    167 481.26%:  hah! YES I DO! FOR
    168 480.29%:  hah! Yes, yes
    169 1128.40%:  hah! Yes, yes I do! Oh
    170 1090.64%:  hah! Yes, yes I DO
    171 897.08%:  hah! Yes, yes I do! Do
    172 632.73%:  hah! Yes, yes I do! For
    173 478.17%:  hah! Sure
    174 5128.01%:  hah! Sure do! They
    175 5036.13%:  hah! Sure do! I
    176 3420.66%:  hah! Sure do,
    177 896.95%:  hah! Sure do! You
    178 611.11%:  hah! Sure do! I love
    179 876.08%:  hah! Sure do! I love you
    180 746.34%:  hah! Sure do! I love you,
    181 476.28%:  hah, yes! I sure
    182 602.97%:  hah, yes! I sure do! You
    183 470.54%:  hah! YES! I J
    184 466.89%:  hah, sure do! I love you! You
    185 462.77%:  hah, I sure hope so! You
    186 455.78%:  hah! Yes I DO
    187 455.50%:  hah, YES I DO! T
    188 455.43%:  hah, sure do! E
    189 448.51%:  hah! Sure do! The
    190 447.80%:  hah! YES, FRIED!
    191 443.72%:  hah, sure do I
    192 1110.76%:  hah, sure do I! They
    193 436.49%:  hah! Sure do! I love chips
    194 425.41%:  hah! YES! I do, yes
    195 422.68%:  hah, YES I DO!! They
    196 405.35%:  hah, yes I do! Oh
    197 404.88%:  hah! Yep! The
    198 401.56%:  hah! Yep! I love you,
    199 399.36%:  hah! Oh
    200 554.21%:  hah! Oh,
    201 398.83%:  hah, yes I do! Y
    202 397.31%:  hah, YES I DO! E
    203 395.73%:  hah! Yes I do, D
    204 385.77%:  hah! Yes I DO,
    205 384.95%:  hah, yes I do! Yep
    206 384.11%:  hah! Yes I DO! They
    207 381.04%:  hah! Oh, I
    208 375.89%:  hah! Sure do! This
    209 374.28%:  hah, yes! I love
    210 370.74%:  hah! Yep! This
    211 365.63%:  hah, I sure do! You sure
    212 363.45%:  hah, sure do! Do I
    213 359.13%:  hah, yes! I love chips
    214 356.13%:  hah, sure do! I love chips! You
    215 354.69%:  hah! YES I DO, J
    216 351.74%:  hah! Yes, I do! Oh
    217 347.19%:  hah, YES I DO! J
    218 339.58%:  hah, YES I DO! O
    219 337.30%:  hah, sure! They
    220 334.28%:  hah, yes! You
    221 332.98%:  hah, sure do! I love you so
    222 326.70%:  hah! Oh, I sure
    223 394.35%:  hah! Oh, I sure do! You
    224 321.47%:  hah! Yes I do! Oh
    225 529.72%:  hah! Yes I do! Oh,
    226 314.12%:  hah! Yes, I do! For
    227 314.06%:  hah, YES!!
    228 309.83%:  hah, yes! I do! The
    229 301.65%:  hah, YES I DO! The
    230 300.33%:  hah! You sure
    231 1614.93%:  hah! You sure do,
    232 657.90%:  hah! You sure do! I
    233 643.86%:  hah! You sure do! They
    234 300.06%:  hah! YES, D
    235 299.29%:  hah, I sure do!! You
    236 298.40%:  hah! I sure hope so, D
    237 296.24%:  hah! I sure hope so! You
    238 289.91%:  hah, I sure DO
    239 288.33%:  hah! Yes! I do, yes
    240 288.17%:  hah! I sure do, sir! You
    241 287.59%:  hah, yes! Yes!
    242 305.56%:  hah, yes! Yes! I
    243 332.84%:  hah, yes! Yes! I do
    244 287.57%:  hah! I sure do! Oh, you
    245 284.76%:  hah! I do, yes! You
    246 284.62%:  hah! Yes I do, you
    247 283.59%:  hah! YES! I sure
    248 632.88%:  hah! YES! I sure do,
    249 281.53%:  hah, I sure do!! The
    250 280.87%:  hah! YES, I RE
    251 280.19%:  hah! I sure DO,
    252 278.05%:  hah! I sure hope you
    253 275.75%:  hah, y
    254 8244.31%:  hah, yep! I
    255 2647.79%:  hah, yep! I do
    256 2121.41%:  hah, yep! I sure
    257 2259.26%:  hah, yep! I sure do! You
    258 1020.23%:  hah, yep! I sure do! This
    259 1008.89%:  hah, yep! I love
    260 739.91%:  hah, yep! You
    261 683.51%:  hah, yep! I sure do! Oh
    262 656.81%:  hah, yep! I DO
    263 633.13%:  hah, yep! I sure do! Y
    264 613.42%:  hah, yep! I sure do! Do
    265 608.47%:  hah, yep! I sure do! YES
    266 527.34%:  hah, yep! Y
    267 456.63%:  hah, yep! This
    268 403.32%:  hah, yep! The
    269 302.31%:  hah, yep! I do! You
    270 273.48%:  hah! YES! I love
    271 280.24%:  hah! YES! I love you
    272 272.04%:  hah, you sure
    273 833.96%:  hah, you sure do! I
    274 297.76%:  hah, you sure do!!
    275 268.87%:  hah! Yep! I sure DO
    276 268.51%:  hah! I sure do, yes
    277 266.60%:  hah, I sure DO! They
    278 266.42%:  hah, yes! This
    279 264.67%:  hah, yes I do! Yes!
    280 262.79%:  hah, YES! I DO! They
    281 261.52%:  hah, I sure do! Oh!
    282 260.94%:  hah! Yes, I sure
    283 259.08%:  hah! Yes, yes!
    284 407.84%:  hah! Yes, yes! I
    285 408.56%:  hah! Yes, yes! I do
    286 256.99%:  hah! YES! I D
    287 253.29%:  hah! YES! I love chips
    288 252.75%:  hah, YES! I sure
    289 1929.78%:  hah, YES! I sure do! They
    290 251.69%:  hah! YES! The
    291 248.94%:  hah, sure do! Over
    292 246.06%:  hah, yes! I do! Do
    293 245.48%:  hah! Sorry
    294 459.38%:  hah! Sorry, I
    295 253.49%:  hah! Sorry!
    296 244.39%:  hah, yes I DO
    297 243.19%:  hah, yep! You sure
    298 324.57%:  hah, yep! You sure do! I
    299 240.81%:  hah, yep!!
    300 238.76%:  hah! Sure do! Do
    301 238.50%:  hah, YES! I love
    302 238.20%:  hah, yep! I sure do! Yours
    303 238.08%:  hah, I do! You
    304 237.63%:  hah, I sure hope you
    305 236.85%:  hah, yes! I do! This
    306 236.70%:  hah, yes! The
    307 236.69%:  hah! YES! I do, sir
    308 235.10%:  hah, yep! Yours
    309 233.83%:  hah! Yes I do, sir! The
    310 230.51%:  hah, YES! I love chips
    311 230.51%:  hah! Yes, sir
    312 1429.92%:  hah! Yes, sir! I
    313 2075.18%:  hah! Yes, sir! I do
    314 592.38%:  hah! Yes, sir! They
    315 572.94%:  hah! Yes, sir! I DO
    316 229.96%:  hah! Yes I do! For
    317 229.81%:  hah, you sure do! You
    318 228.66%:  hah, sure do! Y
    319 988.75%:  hah, sure do! Yep! I
    320 503.69%:  hah, sure do! YES
    321 397.62%:  hah, sure do! YES!
    322 368.36%:  hah, sure do! YES I
    323 363.03%:  hah, sure do! Yep y
    324 228.26%:  hah! Sure do, D
    325 226.59%:  hah! I sure do! You sure
    326 226.56%:  hah! YES I DO, E
    327 224.88%:  hah, I sure do! You help
    328 224.66%:  hah, sure I
    329 4523.61%:  hah, sure I do! They
    330 860.21%:  hah, sure I do!!
    331 802.03%:  hah, sure I do! You
    332 338.53%:  hah, sure I do! This
    333 302.13%:  hah, sure I do! The
    334 295.29%:  hah, sure I do! Do
    335 243.24%:  hah, sure I do!! They
    336 224.19%:  hah! Yes! I sure
    337 390.44%:  hah! Yes! I sure do,
    338 222.21%:  hah, sure do! S
    339 219.70%:  hah! Yes! I love
    340 329.31%:  hah! Yes! I love you
    341 219.01%:  hah, sure do! D
    342 216.59%:  hah, yep! Do
    343 215.26%:  hah! This
    344 214.53%:  hah! YES I DO, FOR
    345 213.84%:  hah, sure do! T
    346 212.51%:  hah! D
    347 2854.24%:  hah! Dude!
    348 1864.88%:  hah! Dude, I sure
    349 1571.12%:  hah! Dude, you
    350 1528.73%:  hah! Dude! They
    351 1448.87%:  hah! Dude! You
    352 894.67%:  hah! Dude! I sure
    353 839.32%:  hah! Dude! This
    354 332.97%:  hah! Dude, I T
    355 283.08%:  hah! Dude, I love
    356 453.27%:  hah! Dude, I love you! You
    357 265.02%:  hah! Dude! The
    358 227.05%:  hah! Dude! I love
    359 939.16%:  hah! Dude! I love you,
    360 225.57%:  hah! Dude! I love you so
    361 219.44%:  hah! Dude, yes
    362 917.82%:  hah! Dude, yes! I
    363 266.44%:  hah! Dude, yes I
    364 218.72%:  hah! Dude, I love you so
    365 211.71%:  hah, you sure do! I love
    366 210.12%:  hah, yes!!
    367 208.90%:  hah! Yes I do, sir! Do
    368 208.16%:  hah, yes! I sure do! Do
    369 206.94%:  hah! Dude, I J
    370 206.45%:  hah! Yep! I DO,
    371 205.62%:  hah! Yes, I do! Oh yes
    372 205.44%:  hah! I sure hope so, or
    373 204.13%:  hah! I sure hope you do
    374 371.50%:  hah! I sure hope you do,
    375 202.88%:  hah! Dude! I T
    376 201.38%:  hah, I sure do!! This
    377 201.24%:  hah! I DO! They
    378 199.76%:  hah! Sure do! I love you, D
    379 199.56%:  hah! I do! You
    380 199.23%:  hah, YES! The
    381 197.97%: ! I
    382 257.70%: ! I sure
    383 1688.36%: ! I sure do! They
    384 1016.15%: ! I sure do,
    385 287.64%: ! I sure do! You
    386 200.25%: ! I do
    387 253.28%: ! I do!
    388 197.71%:  hah, YES! I love you
    389 196.87%:  hah! Sure do! I sure
    390 194.75%:  hah, sure do! YES! I
    391 193.68%:  hah, yep! I sure DO
    392 193.17%:  hah! Yes! I do, sir
    393 192.18%:  hah, sure do! I sure DO
    394 191.60%:  hah! Yes! I love chips
    395 190.97%:  hah, yep! I do! Y
    396 190.76%:  hah, oh
    397 187.17%:  hah, I sure hope you do
    398 186.78%:  hah, yes! Y
    399 574.41%:  hah, yes! YES I DO! T
    400 373.30%:  hah, yes! YES!
    401 288.00%:  hah, yes! YES! I
    402 209.53%:  hah, yes! YES! I DO
    403 186.35%:  hah! I do, sir
    404 208.95%:  hah! I do, sir! They
    405 186.16%:  hah! Sure do! I hope
    406 185.65%:  hah, I do!!
    407 182.75%:  hah, YES! I J
    408 180.88%:  hah, yep! I do! The
    409 180.49%:  hah! Dude! I J
    410 180.46%:  hah! Oh, I do
    411 179.32%:  hah, yep! You should
    412 178.84%:  hah! Yep! Do
    413 177.29%:  hah! I do, yes! Yes
    414 176.93%: ! I do,
    415 176.79%:  hah, yep! I do! YES
    416 176.70%:  hah! YES, yes
    417 776.14%:  hah! YES, yes I DO
    418 595.87%:  hah! YES, yes I do! The
    419 421.13%:  hah! YES, yes I do! This
    420 338.57%:  hah! YES, yes I do! Oh
    421 218.17%:  hah! YES, yes I do! Do
    422 176.33%:  hah! Yes! I DO,
    423 176.32%:  hah, yes I do! For
    424 173.90%:  hah! The
    425 172.85%:  hah, sure do I!!
    426 169.57%:  hah! YES I DO, R
    427 168.75%:  hah, yes! I sure do! Oh
    428 168.69%:  hah, I sure hope you do!!
    429 168.69%:  hah, I sure do!! Oh
    430 168.21%:  hah, YES! I sure do! The
    431 166.81%:  hah! I do, yes! Do
    432 166.30%:  hah! Yes, I sure do! Do
    433 166.08%:  hah! Yep, I do! The
    434 165.43%:  hah! Yes! I love you,
    435 164.20%:  hah, yes! YES! I do
    436 164.10%:  hah, sure do! I DO
    437 217.86%:  hah, sure do! I DO!
    438 164.02%:  hah! There
    439 163.76%:  hah, I sure do! Do you love
    440 163.34%:  hah! YES, sir
    441 949.87%:  hah! YES, sir! I
    442 1175.82%:  hah! YES, sir! I do
    443 542.93%:  hah! YES, sir! I DO
    444 245.97%:  hah! YES, sir! They
    445 163.26%: ! I sure do! The
    446 161.99%:  hah, yes I DO!!
    447 159.96%:  hah, yep! YES
    448 180.78%:  hah, yep! YES I
    449 159.58%:  hah, yes! Do
    450 159.23%:  hah! Dude! This IS
    451 158.89%:  hah, sure do! You sure
    452 158.08%:  hah, sure do I! You
    453 157.47%:  hah! YES I DO, JER
    454 156.83%:  hah, sure I do! Oh
    455 156.41%:  hah, sure do! I use
    456 155.02%:  hah! Yes! The
    457 155.01%:  hah! You sure do, sir
    458 158.90%:  hah! You sure do, sir! I
    459 153.96%:  hah! Yep! I sure do, sir
    460 153.59%:  hah, YES! This
    461 153.26%:  hah, I DO! They
    462 153.25%:  hah! I sure do, sir! The
    463 152.79%:  hah! YES! I love you,
    464 152.52%:  hah, sure do! I love chips! Do
    465 151.77%:  hah, sure do! Yours
    466 151.41%:  hah, yep! YES!
    467 151.15%:  hah, yes I do! YES!
    468 150.69%:  hah! You sure do, sir! They
    469 150.12%:  hah! YES! This
    470 149.51%:  hah! YES I DO O
    471 149.42%:  hah, yes! I do! Oh
    472 149.24%:  hah, sure do! You help
    473 149.14%:  hah, sure do! I love your
    474 149.07%:  hah, YES! I love you!
    475 148.69%:  hah! Sure do! I love chips,
    476 148.06%:  hah! Yes I do! Oh yes
    477 199.18%:  hah! Yes I do! Oh yes,
    478 147.48%:  hah! YES! I RE
    479 165.14%:  hah! YES! I REF
    480 147.28%:  hah! Sure do! E
    481 147.00%:  hah! Yep! I sure do, D
    482 146.78%:  hah! Sure do! Oh
    483 262.07%:  hah! Sure do! Oh, I
    484 154.73%:  hah! Sure do! Oh, I love
    485 145.75%:  hah, I do! Do
    486 143.94%:  hah, yep! Yours is
    487 141.91%:  hah! YES! E
    488 141.55%:  hah! Yes, I do! For you
    489 141.50%:  hah, sure do! YES I DO! They
    490 140.77%:  hah! Yep! I do, yes
    491 140.41%:  hah! Yep! I do, sir
    492 139.55%:  hah! Yep, I do! This
    493 139.54%:  hah! Yep! I sure do, you
    494 139.13%:  hah, sure do! I J
    495 138.99%:  hah! I love
    496 377.14%:  hah! I love you,
    497 285.83%:  hah! I love you!
    498 161.19%:  hah! I love you, D
    499 138.41%:  hah, yep! I do! Do
    500 137.58%:  hah! YES, I DO! FOR T
    501 135.56%:  hah, yes! I do! Y
    502 135.51%:  hah! Dude, you sure
    503 135.34%:  hah! YES! I,
    504 134.83%: ! I sure do! This
    505 134.45%:  hah! YES! I, T
    506 133.49%:  hah! You sure do! I love
    507 460.57%:  hah! You sure do! I love you,
    508 184.94%:  hah! You sure do! I love you, D
    509 133.11%:  hah, I sure do! Oh yes
    510 132.29%:  hah! I sure do! Oh, T
    511 131.99%:  hah! You sure do, D
    512 131.73%:  hah, yes I do! Yours
    513 131.48%:  hah! Sure!
    514 131.00%:  hah! Dude, Y
    515 1332.69%:  hah! Dude, YES!
    516 1157.43%:  hah! Dude, YES! I
    517 611.06%:  hah! Dude, YES! They
    518 529.22%:  hah! Dude, YES I
    519 130.74%:  hah! YES, you
    520 147.36%:  hah! YES, you do! I
    521 130.67%:  hah! Dude, I S
    522 130.57%:  hah, I sure DO!!
    523 129.63%:  hah! Yes, yes! I DO
    524 129.26%:  hah, sure do!! You
    525 128.18%:  hah, yes! I do! Yep
    526 127.57%:  hah! YES, I DO! FOR E
    527 127.10%:  hah! I sure do, h
    528 126.14%:  hah! Dude! Yes
    529 139.22%:  hah! Dude! Yes I
    530 126.00%:  hah, yep! Yours!
    531 125.90%:  hah! Yep! I hid
    532 125.42%:  hah, yep! I hid
    533 124.85%:  hah, YES!! I
    534 124.52%:  hah! I sure hope so, or you
    535 123.51%:  hah! Oh, sorry
    536 187.21%:  hah! Oh, sorry!
    537 123.28%:  hah, sure do! YES! I DO
    538 122.31%:  hah, yep! I do! This
    539 121.88%:  hah! YES! I love chips so
    540 121.48%:  hah! Yes! This
    541 121.41%:  hah! I do, yes! The
    542 121.31%:  hah! Yep, I DO
    543 121.31%:  hah! They sure
    544 121.04%:  hah! YES! There
    545 121.02%:  hah! YES, I do! The
    546 120.58%:  hah! YES I DO, yes
    547 120.51%:  hah! Sure do! Oh, I love you
    548 120.17%:  hah! Sure do! I love chips so
    549 119.44%:  hah! Yes, I sure do! Oh
    550 119.16%:  hah! Yes I do, yes!
    551 118.95%:  hah, sure do! Do I E
    552 118.93%:  hah! Oh, you
    553 117.24%:  hah, I sure hope so! Or
    554 117.21%:  hah, YES! I do! The
    555 117.16%:  hah, yes!! I
    556 116.50%:  hah! Sure do, you
    557 116.33%:  hah! Yes, you
    558 191.71%:  hah! Yes, you do! I
    559 116.14%:  hah, YES! I sure do! This
    560 114.78%:  hah! YES, sir! I sure
    561 114.23%:  hah! Dude! Those
    562 111.22%:  hah! Sure! I
    563 111.15%:  hah! Sure do, sir
    564 215.32%:  hah! Sure do, sir! I
    565 166.47%:  hah! Sure do, sir! They
    566 110.66%:  hah! Dude! You sure
    567 110.39%: ! I sure do! Do
    568 110.01%:  hah! YES I DO, FO
    569 108.93%:  hah! Yep, I do! Do
    570 108.73%:  hah, yep! Oh
    571 108.73%:  hah, sure do! Yep! I DO
    572 108.15%:  hah, sure do I! This
    573 108.02%:  hah! I do! Do
    574 107.63%:  hah, YES I DO O
    575 107.61%:  hah! Yep y
    576 107.42%:  hah! O
    577 107.04%:  hah, yes! I do! For
    578 106.36%:  hah! Dude! Y
    579 345.38%:  hah! Dude! YES I
    580 202.44%:  hah! Dude! YES,
    581 105.99%:  hah! Yep, sure
    582 1405.53%:  hah! Yep, sure do! I
    583 116.29%:  hah! Yep, sure do! This
    584 105.66%:  hah! Oh, I sure do! Do
    585 105.56%:  hah, sure do I! The
    586 105.16%:  hah, sure do! YES I DO! O
    587 105.13%:  hah, I sure hope so! Do
    588 104.70%:  hah, YES! There
    589 104.36%:  hah, YES! I love chips so
    590 102.80%:  hah, yep! I should
    591 102.34%:  hah! YES! I T
    592 102.02%:  hah! Sure do! Do I
    593 101.72%:  hah! I sure do! Oh, D
    594 100.85%:  hah, sure do! I love you so!
    595 100.61%:  hah! Dude, seriously
    596 147.56%:  hah! Dude, seriously!
    597 166.09%:  hah! Dude, seriously! I
    598 99.43%:  hah! S
    599 99.19%:  hah! Yes I do! Oh, you
    600 99.10%:  hah! Dude! I S
    601 98.39%:  hah, you sure do! The
    602 98.27%:  hah, YES! I D
    603 98.07%:  hah! Yep! I love you, D
    604 97.90%:  hah! YES, O
    605 97.75%:  hah, I do! This
    606 97.16%:  hah, yep! I do! Oh
    607 97.09%:  hah! I do, yes! This
    608 96.95%:  hah! I sure do, sir! Do
    609 96.60%:  hah! Dude, yes! You
    610 96.25%:  hah, sorry! I used
    611 95.68%:  hah, yep! Do I
    612 95.16%:  hah, sorry! I do
    613 94.95%:  hah, yup
    614 448.59%:  hah, yup! I
    615 109.00%:  hah, yup! I do
    616 94.85%:  hah! Yes! Do
    617 94.71%:  hah, sure do! YES I DO! E
    618 94.41%:  hah! Yes I do, oh
    619 132.52%:  hah! Yes I do, oh yes
    620 94.15%:  hah, I do! Yes
    621 94.06%:  hah, yes! Yes! I DO
    622 93.98%:  hah! YES! I sure DO
    623 93.53%:  hah! YES, FIR
    624 93.25%:  hah, sure do! I hope so
    625 93.17%:  hah! I dooo
    626 105.16%:  hah! I dooo!
    627 99.75%:  hah! I doooo! They
    628 92.66%:  hah! YES! Do
    629 92.12%:  hah! I do, you
    630 92.04%:  hah, yep! I use
    631 91.97%:  hah! Yep! I sure do, h
    632 91.71%: ! I do! They
    633 91.06%:  hah, yes!! I do
    634 90.81%:  hah! Yep! I use
    635 89.97%:  hah, sure! You
    636 89.95%:  hah! YES O
    637 89.85%:  hah, sure do! Yours!
    638 89.74%:  hah! Dude, I hope
    639 134.27%:  hah! Dude, I hope so
    640 89.68%:  hah, yes! You should
    641 89.57%: ,
    642 89.49%:  hah, you sure do! This
    643 89.44%:  hah, sure do! I love you D
    644 88.50%:  hah! I sure do! Do you love
    645 88.48%:  hah! I sure do! You help
    646 87.99%:  hah! YES! D
    647 87.94%:  hah! You sure do! The
    648 87.76%:  hah, I do! The
    649 87.75%:  hah, sorry! The
    650 87.73%:  hah! Dude! Yes,
    651 87.55%:  hah, yes I do!! You
    652 87.35%:  hah, yep! YES! I
    653 87.27%:  hah! Yes I do! For you
    654 87.16%:  hah, yep! Those
    655 87.02%:  hah, you sure do! I hope
    656 86.84%:  hah, yep! I used
    657 86.72%:  hah, yes! I hope
    658 116.47%:  hah, yes! I hope so
    659 86.70%:  hah, yup! I sure
    660 93.26%:  hah, yup! I sure do! You
    661 86.26%:  hah, YES! I do! This
    662 86.10%:  hah! Yep! Oh
    663 125.20%:  hah! Yep! Oh, I
    664 85.67%:  hah, YES! Do
    665 85.65%:  hah! YES, I do! This
    666 85.61%:  hah, sure do! I hope your
    667 85.38%:  hah, I do! Oh
    668 85.37%:  hah! You sure do, h
    669 85.11%:  hah, sure do! Sco
    670 84.66%:  hah, sure do!! I love
    671 140.18%:  hah, sure do!! I love you
    672 84.36%:  hah, sure do!! The
    673 84.35%:  hah, yes I do! You sure
    674 84.35%:  hah! Yep! I used
    675 83.65%:  hah! YES! I hope
    676 86.05%:  hah! YES! I hope so
    677 92.31%:  hah! YES! I hope so,
    678 83.58%:  hah! I sure hope so, you
    679 83.30%:  hah! YES! I love chips,
    680 83.20%:  hah! Sure do, I
    681 82.98%:  hah, yes I do!! The
    682 82.89%:  hah, sorry! This
    683 82.85%:  hah, yes! I love chips! You
    684 82.75%:  hah, sure do! I love you! E
    685 82.67%:  hah! Yep! Do I
    686 82.67%:  hah! YES, T
    687 82.32%: ! I sure do! The chips
    688 82.25%:  hah! Yes, sir! The
    689 82.09%:  hah, sure I do! Sure
    690 81.79%:  hah! Yep, y
    691 81.38%:  hah, do
    692 1317.22%:  hah, do I ever!!
    693 297.54%:  hah, do I E
    694 202.58%:  hah, do you
    695 112.65%:  hah, do I ever! You
    696 110.00%:  hah, do I ever! Do
    697 106.63%:  hah, do I ever! This
    698 81.07%:  hah! Sure do! I love you so
    699 81.03%:  hah! YES I DO, FRE
    700 80.62%:  hah! Dude, YES! I love
    701 107.85%:  hah! Dude, YES! I love chips
    702 104.83%:  hah! Dude, YES! I love you
    703 80.31%:  hah! YES! I do, you
    704 80.30%:  hah, sure! I do
    705 99.89%:  hah, sure! I do! They
