WHAT AM I GONNA DO WITH ALL THESE RAISED EXPECTATIONS
100.00%: 
25.31%:  THAT
16.54%:  I NEED TO TRANSLATE IT IN
15.99%:  I NEED TO TRANSLATE ONE
15.53%:  I NEED TO TRANSLATE IT AND
15.16%:  I NEED TO TRANSLATE THOSE IN
14.61%:  I NEED TO TRANSLATE THIS IN
14.57%:  I NEED TO TRANSLATE THAT SO
14.43%:  I NEED TO TRANSLATE EACH ONE TO
14.30%:  I NEED TO TRANSLATE IN
13.58%:  I NEED TO TRANSLATE THAT SOMEW
13.53%:  I NEED TO TRANSLATE THESE
13.39%:  I NEED TO TRANSLATE THIS INTO E
12.21%:  I NEED TO TRANSLATE THE WHOLE O
12.11%:  I NEED TO TRANSLATE IT WITH
12.01%:  I NEED TO TRANSLATE THE WHOLE TH
11.85%:  I NEED TO TRANSLATE IT AGAIN SO
11.77%:  I NEED TO TRANSLATE THE TAL
11.74%:  I NEED TO TRANSLATE SOMETHING WITH A
11.35%:  I NEED TO TRANSLATE THEM AGAIN SO
11.30%:  I NEED TO TRANSLATE THIS ONE
11.24%:  I NEED TO TRANSLATE IT AGAIN WITH MO
11.09%:  I NEED TO TRANSLATE THAT AS
11.03%:  I NEED TO TRANSLATE THE H
10.63%:  I NEED TO TRANSLATE ONE THAT
10.57%:  I NEED TO TRANSLATE IT INTO E
10.27%:  I NEED TO TRANSLATE EACH TEXT
10.16%:  I NEED TO TRANSLATE IT TO
10.11%:  I GOTTA READ THEM ALL TO
10.02%:  I NEED TO TRANSLATE THAT SOMEHOW AND
9.98%:  I GOTTA DO
9.94%:  I NEED TO TRANSLATE SOME NEW
9.67%:  I GOTTA READ ALL THOSE TEXTS AND MA
9.65%:  I NEED TO TRANSLATE EACH ONE WITH MO
9.57%:  I NEED TO TRANSLATE H
9.57%:  I NEED TO TRANSLATE EACH ONE A
9.57%:  I NEED TO TRANSLATE THEM AGAIN SO THE
9.54%:  I GOTTA READ ALL THOSE AND
9.16%:  I NEED TO TRANSLATE THAT SOMEHOW IN
9.05%:  I NEED MO
9.04%:  I NEED TO TRANSLATE THAT COM
9.02%:  I GOTTA RE
8.97%:  I NEED TO TRANSLATE TH
8.90%:  I NEED TO TRANSLATE THE WHOLE D
10.30%:  I NEED TO TRANSLATE THE WHOLE DAM
8.90%:  I NEED TO TRANSLATE THAT SH
8.73%:  I NEED TO TRANSLATE NEW
8.62%:  I NEED TO TRANSLATE NEW TEXT
8.57%:  I NEED TO TRANSLATE THEM AND IT
8.46%:  I NEED TO TRANSLATE THAT L
8.31%:  I NEED TO TRANSLATE THE COMP
8.13%:  I NEED TO TRANSLATE THEM AND I
8.11%:  I NEED TO TRANSLATE THOSE T
8.04%:  I W
78.76%:  I WANT TO READ
93.51%:  I WANT TO READ THE
39.16%:  I WANT TO READ IT
24.96%:  I WANT TO READ THEM
23.43%:  I WANT TO READ THAT
19.13%:  I WANT TO READ THEM ALL
13.10%:  I WANT TO READ A
11.39%:  I WANT TO READ THIS
11.34%:  I WANT TO READ IT AND
8.03%:  I NEED TO TRANSLATE ONE WITH
7.95%:  I GOTTA READ ALL THESE TH
7.94%:  I NEED TO TRANSLATE SOMETHING LI
7.76%:  I NEED TO TRANSLATE THEM AND P
7.75%:  I NEED TO GET
7.73%:  I NEED TO READ THIS
7.72%:  I NEED TO TRANSLATE THEM SO
7.67%:  I D
7.62%:  I NEED TO READ ALL THAT
7.59%:  I WANT TO READ T
7.49%:  I NEED TO TRANSLATE IT AGAIN TO P
7.32%:  I NEED TO TRANSLATE THINGS
7.32%:  I WANT TO READ THESE
7.29%:  I NEED TO TRANSLATE IT WITH MO
7.29%:  I NEED TO TRANSLATE THAT AND P
7.27%:  I NEED TO TRANSLATE A NEW TEXT
7.15%:  I WISH
7.01%:  I NEED TO TRANSLATE THAT AND I
6.99%:  THIS
6.94%:  I GOTTA READ IT A
6.93%:  I WANT TO READ IT A
11.15%:  I WANT TO READ IT AGAIN AND
6.85%:  I NEED TO TRANSLATE THEM AGAIN TO P
6.83%:  I GOTTA READ T
6.82%:  I WANT TO GO
6.67%:  I NEED TO TRANSLATE THE HIND
6.64%:  I GOTTA DO ALL
6.61%:  I NEED TO TELL
6.60%:  I GOTTA READ ALL THESE TEXTS AND P
6.51%:  I NEED TO EDIT
6.44%:  I NEED TO READ IT
6.37%:  I GOTTA READ ALL THOSE THEN
6.32%:  I WANT TO READ THAT ONE
6.30%:  I WANT MO
6.27%:  I NEED TO TRANSLATE THIS INTO HE
6.25%:  I GOTTA READ ALL THESE NEW
6.22%:  I NEED TO TRANSLATE EACH AND
6.22%:  I NEED TO TRANSLATE THE WHOLE DAMN TH
6.19%:  I CAN NE
6.15%:  I NEED TO TRANSLATE THIS TO
6.11%:  I NEED TO DO
6.11%:  I GOTTA READ THEM ALL AND CO
6.10%:  I NEED TO TRANSLATE AND P
6.07%:  I NEED TO GO RE
6.03%:  I NEED TO TRANSLATE M
6.85%:  I NEED TO TRANSLATE MINE
6.00%:  I NEED TO TRANSLATE THAT P
5.98%:  I NEED TO EDIT ALL
5.95%:  I NEED TO TRANSLATE THE WHOLE DANG TH
5.91%:  I GOTTA DO ALL THE
5.87%:  I WANT TO READ ONE
5.87%:  I WANT TO READ THEM ALL AND
5.85%:  I GOTTA READ ALL THESE TEXTS A
5.84%:  I NEED TO READ THEM ALL AGAIN TO P
5.82%:  I NEED TO TRANSLATE AGA
5.75%:  I NEED TO TRANSLATE THEM INTO E
5.75%:  I NEED TO READ IT AGAIN TO
5.73%:  I NEED TO TRANSLATE EACH TEXT IN
5.71%:  I NEED TO TRANSLATE THAT DO
5.68%:  I NEED TO READ THEM ALL TO
5.65%:  I WANT TO READ IT MO
5.65%:  I NEED TO TRANSLATE THEM INTO A
5.65%:  I NEED TO TRANSLATE TEN
5.60%:  I NEED TO TRANSLATE 
5.58%:  I NEED TO TRANSLATE SOMETHING A
5.58%:  I NEED TO READ E
5.57%:  I NEED TO TRANSLATE THOSE AND IT
5.54%:  I NEED TO TRANSLATE THEM AND TH
5.50%:  I NEED TO TRANSLATE EACH ONE SO
11.04%:  I NEED TO TRANSLATE EACH ONE SO THAT
5.39%:  I NEED TO TRANSLATE THOSE WITH
5.36%:  I NEED TO TRANSLATE THOSE TH
5.35%:  I NEED TO TRANSLATE THAT LINE
5.34%:  I GOTTA READ ALL THAT A
5.33%:  I NEED TO TRANSLATE THIS INTO H
5.27%:  I WANT TO WR
12.72%:  I WANT TO WRITE ONE
5.95%:  I WANT TO WRITE THE
5.59%:  I WANT TO WRITE ONE THAT
5.24%:  I NEED TO TRANSLATE THAT AND MA
5.20%:  I NEED TO TRANSLATE COM
5.19%:  I GOTTA T
254.74%:  I GOTTA TRANSLATE THE
65.05%:  I GOTTA TRANSLATE E
38.48%:  I GOTTA TRANSLATE IT
22.36%:  I GOTTA TRANSLATE A
20.37%:  I GOTTA TRANSLATE THEM AND
20.29%:  I GOTTA TRANSLATE THE EN
19.59%:  I GOTTA TRANSLATE MO
18.73%:  I GOTTA TRANSLATE T
17.33%:  I GOTTA TRANSLATE A NEW
17.21%:  I GOTTA TRANSLATE THEM IN
14.28%:  I GOTTA TRANSLATE THOSE AND
13.45%:  I GOTTA TRANSLATE AND
14.15%:  I GOTTA TRANSLATE AND EDIT
13.31%:  I GOTTA TRANSLATE THIS
13.10%:  I GOTTA TRANSLATE THOSE IN
12.39%:  I GOTTA TRANSLATE EACH
14.59%:  I GOTTA TRANSLATE EACH ONE WITH
12.68%:  I GOTTA TRANSLATE EACH ONE AND
11.01%:  I GOTTA TRANSLATE IT IN
10.99%:  I GOTTA TRANSLATE SO
10.37%:  I GOTTA TRANSLATE SOMETH
9.13%:  I GOTTA TRANSLATE IN
9.04%:  I GOTTA TRANSLATE THEM A
8.48%:  I GOTTA TRANSLATE IT AND
8.47%:  I GOTTA TRANSLATE THE NEW
8.16%:  I GOTTA TRANSLATE THE W
8.15%:  I GOTTA TRANSLATE THE WHOLE NEW
7.84%:  I GOTTA TRANSLATE EACH ONE TO
7.52%:  I GOTTA TELL
7.24%:  I GOTTA TRANSLATE IT A
7.12%:  I GOTTA TRANSLATE THESE
6.82%:  I GOTTA TRANSLATE ONE
6.44%:  I GOTTA TRANSLATE AN
6.09%:  I GOTTA TRANSLATE EACH ONE WITH MO
6.08%:  I GOTTA TRANSLATE EACH ONE IN
5.85%:  I GOTTA TRANSLATE EM
5.56%:  I GOTTA TRANSLATE THEM AND P
5.19%:  I GOT TO
7.03%:  I GOT TO READ
6.40%:  I GOT TO READ THAT
5.17%:  I GOTTA READ THEM ALL AND TH
5.17%:  I WANT TO READ ALL
5.15%:  I NEED TO TRANSLATE THEM TOO
5.13%:  I NEED TO TRANSLATE SOMETHING WITH LI
5.12%:  I WANT TO WRITE THEM ALL
5.09%:  I NEED TO TRANSLATE THEM INTO H
5.08%:  I GOTTA TRANSLATE SOME NEW
5.07%:  I GOTTA READ ALL THAT SH
5.05%:  I WANT TO READ THE T
5.04%:  I NEED TO TRANSLATE SOMETHING TO P
5.03%:  I NEED TO TRANSLATE A W
5.03%:  I NEED TO TRANSLATE THOSE W
4.99%:  I NEED TO READ IT ALL
6.13%:  I NEED TO READ IT ALL AGAIN WITH
6.07%:  I NEED TO READ IT ALL AGAIN TO
4.97%:  I GOTTA READ ALL THOSE TEXTS AND IN
4.96%:  I NEED TO R
4.94%:  I WANT ONE
4.94%:  I NEED TO TRANSLATE LI
4.92%:  PE
4.89%:  I NEED TO GO HO
24.45%:  I NEED TO GO HOME AND RE
15.83%:  I NEED TO GO HOME AND WR
23.32%:  I NEED TO GO HOME AND WRITE THE
20.91%:  I NEED TO GO HOME AND WRITE ALL
17.53%:  I NEED TO GO HOME AND WRITE THAT
16.24%:  I NEED TO GO HOME AND WRITE A
12.42%:  I NEED TO GO HOME AND WRITE THAT IN
11.91%:  I NEED TO GO HOME AND WRITE IN
11.69%:  I NEED TO GO HOME AND WRITE NEW
10.46%:  I NEED TO GO HOME AND T
23.53%:  I NEED TO GO HOME AND TELL THAT
22.89%:  I NEED TO GO HOME AND TRAN
451.26%:  I NEED TO GO HOME AND TRANSLATE THE
97.42%:  I NEED TO GO HOME AND TRANSLATE THAT
75.14%:  I NEED TO GO HOME AND TRANSLATE E
40.60%:  I NEED TO GO HOME AND TRANSLATE A
38.87%:  I NEED TO GO HOME AND TRANSLATE IT
32.29%:  I NEED TO GO HOME AND TRANSLATE THE T
27.76%:  I NEED TO GO HOME AND TRANSLATE THIS
17.46%:  I NEED TO GO HOME AND TRANSLATE T
16.44%:  I NEED TO GO HOME AND TRANSLATE THE TAL
15.09%:  I NEED TO GO HOME AND TRANSLATE THE W
13.15%:  I NEED TO GO HOME AND TRANSLATE EACH
11.90%:  I NEED TO GO HOME AND TELL THE
11.42%:  I NEED TO GO HOME AND TRANSLATE THE H
8.98%:  I NEED TO GO HOME AND WRITE A NEW
7.91%:  I NEED TO GO HOME AND TRANSLATE THE S
7.53%:  I NEED TO GO HOME AND TRANSLATE IT WITH
7.42%:  I NEED TO GO HOME AND WRITE IN ALL
7.36%:  I NEED TO GO HOME AND WRITE ALL THAT
7.30%:  I NEED TO GO HOME AND TRANSLATE H
6.65%:  I NEED TO GO HOME AND TRANSLATE THAT SH
6.45%:  I NEED TO GO HOME AND TRANSLATE TH
5.94%:  I NEED TO GO HOME AND TELL THE AN
5.87%:  I NEED TO GO HOME AND P
5.71%:  I NEED TO GO HOME AND TRANSLATE THAT AS
5.22%:  I NEED TO GO HOME AND WRITE ALL THAT IN
5.06%:  I NEED TO GO HOME AND WRITE ALL THAT ST
5.06%:  I NEED TO GO HOME AND TRANSLATE ST
4.88%:  I NEED TO TRANSLATE THE S
4.88%:  I GOTTA TRANSLATE THE WHOLE O
4.88%:  I NEED TO TRANSLATE THOSE AND I
4.87%:  I GOTTA READ ALL THOSE T
4.86%:  I NEED TO TRANSLATE THOSE AND P
4.86%:  I NEED TO GO T
208.34%:  I NEED TO GO TRANSLATE THE
61.29%:  I NEED TO GO TRANSLATE THAT
49.30%:  I NEED TO GO TRANSLATE E
22.48%:  I NEED TO GO TRANSLATE THAT IN
20.83%:  I NEED TO GO TRANSLATE IT
16.54%:  I NEED TO GO TRANSLATE THE EN
15.45%:  I NEED TO GO TRANSLATE A
14.92%:  I NEED TO GO TRANSLATE MO
14.50%:  I NEED TO GO TRANSLATE A NEW
13.41%:  I NEED TO GO TRANSLATE THE T
12.43%:  I NEED TO GO TRANSLATE SO
19.68%:  I NEED TO GO TRANSLATE SOMETH
11.14%:  I NEED TO GO TRANSLATE THEM AND
10.57%:  I NEED TO GO TRANSLATE THAT ONE
9.94%:  I NEED TO GO TRANSLATE T
9.20%:  I NEED TO GO TRANSLATE SOME TEXT
8.75%:  I NEED TO GO TRANSLATE THIS
8.72%:  I NEED TO GO TRANSLATE THE TAL
7.71%:  I NEED TO GO TELL
7.26%:  I NEED TO GO TRANSLATE EACH
7.06%:  I NEED TO GO TRANSLATE AND
6.87%:  I NEED TO GO TRANSLATE THE NEW
6.78%:  I NEED TO GO TRANSLATE THAT AND
6.30%:  I NEED TO GO TRANSLATE THEM A
6.16%:  I NEED TO GO TRANSLATE THEM IN
6.08%:  I NEED TO GO TELL THE
6.00%:  I NEED TO GO TRANSLATE THE W
5.38%:  I NEED TO GO TRANSLATE AN
5.25%:  I NEED TO GO TRANSLATE ONE
5.21%:  I NEED TO GO TRANSLATE THOSE AND
4.86%:  NO
4.84%:  I NEED TO TRANSLATE THEM AND THIS
4.84%:  I WANT TO READ THEM AND
4.82%:  I NEED TO TRANSLATE TW
4.81%:  I GOTTA TRANSLATE H
4.80%:  I NEED TO GO HOME AND WRITE ALL NEW
4.80%:  I NEED TO GO HOME AND TRANSLATE IT AS
4.78%:  I GOTTA TRANSLATE NEW
4.78%:  I WANT TO READ IT AND IT
4.78%:  I GOTTA TRANSLATE THIS IN
4.76%:  I NEED TO GO HOME AND R
4.72%:  I NEED TO TRANSLATE THE WHOLE THING O
4.68%:  I GET
5.79%:  I GET TO READ
6.34%:  I GET TO READ THAT
4.67%:  I NEED TO P
4.66%:  I NEED TO TRANSLATE TO
4.65%:  I NEED TO GO HOME AND WRITE T
4.65%:  I GOTTA TRANSLATE THOSE W
4.64%:  I WANT TO READ THE NEW
4.64%:  WH
716.62%:  WHAT AM I GONNA DO WITH ALL THIS
626.50%:  WHAT AM I GONNA DO WITH ALL THESE T
381.65%:  WHAT AM I GONNA DO WITH ALL THESE TRANSC
352.70%:  WHAT AM I GONNA DO WITH ALL THIS EX
801.47%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SP
2875.27%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE IN
447.64%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE ON
349.43%:  WHAT AM I GONNA DO WITH ALL THESE EX
320.36%:  WHAT AM I GONNA DO WITH ALL THESE S
270.98%:  WHAT AM I GONNA DO WITH THIS
267.35%:  WHAT AM I GONNA DO WITH ALL THESE R
251.82%:  WHAT AM I GONNA DO WITH ALL THESE P
205.86%:  WHAT AM I GONNA DO WITH ALL THESE TEXT
195.58%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA S
171.78%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE I
169.09%:  WHAT AM I GONNA DO WITH ALL THIS SP
231.14%:  WHAT AM I GONNA DO WITH ALL THIS SPACE
157.87%:  WHAT AM I GONNA DO WITH ALL THESE RE
155.02%:  WHAT AM I GONNA DO WITH ALL THESE PRO
151.86%:  WHAT AM I GONNA DO WITH ALL THESE D
130.54%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA P
124.08%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA S
121.16%:  WHAT AM I GONNA DO WITH ALL THESE COP
114.11%:  WHAT AM I GONNA DO WITH ALL THESE AN
112.39%:  WHAT AM I GONNA DO WITH ALL THESE NOT
112.13%:  WHAT AM I GONNA DO WITH THE
109.70%:  WHAT AM I GONNA DO WITH ALL THESE C
108.43%:  WHAT AM I GONNA DO WITH ALL THESE ST
107.55%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA P
100.74%:  WHAT AM I GONNA DO WITH ALL THESE E
93.37%:  WHAT AM I GONNA DO WITH ALL THESE PO
90.61%:  WHAT AM I GONNA DO WITH ALL THAT
89.37%:  WHAT AM I GONNA DO WITH THAT
86.26%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA T
81.81%:  WHAT AM I GONNA DO WITH ALL THESE DE
81.24%:  WHAT AM I GONNA DO WITH ALL THESE TOR
80.92%:  WHAT AM I GONNA DO WITH ALL THESE CO
80.19%:  WHAT AM I GONNA DO WITH ALL THESE N
78.99%:  WHAT AM I GONNA DO WITH ALL THESE SAND
78.63%:  WHAT AM I GONNA DO WITH ALL THESE SCR
77.61%:  WHAT AM I GONNA DO WITH ALL THESE ANCI
76.51%:  WHAT AM I GONNA DO WITH ALL THESE IN
88.48%:  WHAT AM I GONNA DO WITH ALL THESE INTER
74.64%:  WHAT AM I GONNA DO WITH ALL THIS S
71.63%:  WHAT AM I GONNA DO WITH ALL THESE STRAN
69.09%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA D
68.93%:  WHAT AM I GONNA DO WITH ALL THESE TRANS
67.90%:  WHAT AM I GONNA DO WITH ALL THESE CON
67.31%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE ON E
64.13%:  WHAT AM I GONNA DO WITH ALL THIS SPACE IN
62.12%:  WHAT AM I GONNA DO WITH ALL THESE INCRE
62.04%:  WHAT AM I GONNA DO WITH ALL THESE ACTION
60.97%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA T
60.32%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE ON T
59.92%:  WHAT AM I GONNA DO WITH ALL THESE COR
59.66%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE T
59.53%:  WHAT AM I GONNA DO WITH ALL THESE SCRAP
55.47%:  WHAT AM I GONNA DO WITH ALL T
99.37%:  WHAT AM I GONNA DO WITH ALL THOSE T
61.99%:  WHAT AM I GONNA DO WITH ALL THOSE TRANSC
55.47%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA NOT
54.77%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA D
53.26%:  WHAT AM I GONNA DO WITH ALL THESE SAD
53.17%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA ST
51.87%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA COP
51.58%:  WHAT AM I GONNA DO WITH ALL THESE SE
49.77%:  WHAT AM I GONNA DO WITH ALL THIS SPARE T
49.00%:  WHAT AM I GONNA DO WITH ALL THAT EX
147.77%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA SP
48.81%:  WHAT AM I GONNA DO WITH ALL THESE TRE
48.71%:  WHAT AM I GONNA DO WITH ALL THE EX
47.67%:  WHAT AM I GONNA DO WITH ALL THOSE EX
46.73%:  WHAT AM I GONNA DO WITH ALL THESE STONE
44.99%:  WHAT AM I GONNA DO WITH ALL THESE COPIES I
43.61%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SAC
43.35%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SAND
43.12%:  WHAT AM I GONNA DO WITH ALL THESE TEXTS I
43.01%:  WHAT AM I GONNA DO WITH ALL THESE A
42.86%:  WHAT AM I GONNA DO WITH ALL THOSE TEXT
42.80%:  WHAT AM I GONNA DO WITH ALL THIS T
42.49%:  WHAT AM I GONNA DO WITH ALL THESE PE
41.68%:  WHAT AM I GONNA DO WITH ALL THOSE S
40.68%:  WHAT AM I GONNA DO WITH ALL THESE SEX
40.62%:  WHAT AM I GONNA DO WITH ALL THIS P
40.29%:  WHAT AM I GONNA DO WITH ALL THESE SP
40.03%:  WHAT AM I GONNA DO WITH ALL THESE TREES I
39.97%:  WHAT AM I GONNA DO WITH ALL THESE TAT
39.84%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA NOTES I
39.65%:  WHAT AM I GONNA DO WITH ALL THESE TR
38.60%:  WHAT AM I GONNA DO WITH ALL THESE STAT
38.24%:  WHAT AM I GONNA DO WITH ALL THESE NO
38.04%:  WHAT AM I GONNA DO WITH ALL THESE PAR
37.99%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE IN E
37.71%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE NO
37.61%:  WHAT AM I GONNA DO WITH ALL THESE AD
37.43%:  WHAT AM I GONNA DO WITH ALL THESE CR
37.28%:  WHAT AM I GONNA DO WITH ALL THESE PER
37.13%:  WHAT AM I GONNA DO WITH ALL THESE CAR
36.46%:  WHAT AM I GONNA DO WITH THESE T
36.45%:  WHAT AM I GONNA DO WITH ALL THESE TOT
36.34%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA SP
36.14%:  WHAT AM I GONNA DO WITH ALL THESE POR
35.76%:  WHAT AM I GONNA DO WITH ALL THESE STAR
35.73%:  WHAT AM I GONNA DO WITH ALL THESE I
36.43%:  WHAT AM I GONNA DO WITH ALL THESE IDEAS IN
34.09%:  WHAT AM I GONNA DO WITH ALL THOSE P
34.08%:  WHAT AM I GONNA DO WITH ALL THESE NOTES A
33.81%:  WHAT AM I GONNA DO WITH ALL THESE NOTE
33.79%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA PO
53.22%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA POINTS I
33.51%:  WHAT AM I GONNA DO WITH ALL THOSE R
33.43%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA PO
33.19%:  WHAT AM I GONNA DO WITH ALL THESE TRANSP
32.24%:  WHAT AM I GONNA DO WITH ALL THAT SP
50.92%:  WHAT AM I GONNA DO WITH ALL THAT SPACE
32.22%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA CO
32.09%:  WHAT AM I GONNA DO WITH ALL THESE PEN
32.01%:  WHAT AM I GONNA DO WITH ALL THESE PR
31.99%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA S
31.45%:  WHAT AM I GONNA DO WITH ALL THESE PROTEST
31.32%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA DIN
31.21%:  WHAT AM I GONNA DO WITH T
61.27%:  WHAT AM I GONNA DO WITH THOSE T
35.63%:  WHAT AM I GONNA DO WITH THOSE TRANSC
31.19%:  WHAT AM I GONNA DO WITH ALL THESE IDEAS I
30.61%:  WHAT AM I GONNA DO WITH ALL THESE DO
30.58%:  WHAT AM I GONNA DO WITH ALL THESE EXIST
30.57%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA E
30.54%:  WHAT AM I GONNA DO WITH ALL THESE EN
30.45%:  WHAT AM I GONNA DO WITH ALL THESE PRE
30.24%:  WHAT AM I GONNA DO WITH ALL THESE OR
29.74%:  WHAT AM I GONNA DO WITH ALL THIS TEXT
29.45%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SP
29.79%:  WHAT AM I GONNA DO WITH ALL THE EXTRA SPACE ON
29.23%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA C
29.23%:  WHAT AM I GONNA DO WITH ALL THIS EXTRA SPACE IN T
29.14%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA CO
30.58%:  WHAT AM I GONNA DO WITH ALL THESE EXTRA COINS
28.77%:  WHAT AM I GONNA DO WITH ALL THESE RAND
28.67%:  WHAT AM I GONNA DO WITH ALL THESE POINTS I
28.56%:  WHAT AM I GONNA DO WITH ALL THESE TRA
27.93%:  WHAT AM I GONNA DO WITH ALL THESE NOTES I T
27.89%:  WHAT AM I GONNA DO WITH ALL THESE CRAP
27.88%:  WHAT AM I GONNA DO WITH ALL THIS PRO
27.87%:  WHAT AM I GONNA DO WITH ALL THESE TIN
27.81%:  WHAT AM I GONNA DO WITH ALL THAT EXTRA SENSE
27.58%:  WHAT AM I GONNA DO WITH ALL THESE SPE
27.15%:  WHAT AM I GONNA DO WITH ALL THESE TE
32.33%:  WHAT AM I GONNA DO WITH ALL THESE TEARS IN
26.86%:  WHAT AM I GONNA DO WITH ALL THESE SO
