come they act like they're so special when they really just taste like pork??
100.00%: 
491.27%:  come they keep
51.51%:  come they're so cute when they eat their
51.49%:  come they're the
63.90%:  come they're the only people
51.38%:  come they won
835.63%:  come they won't eat their
239.22%:  come they won't eat pet
142.53%:  come they won't let
113.41%:  come they won't eat the
86.51%:  come they won't eat their pet
81.93%:  come they won't let us
192.73%:  come they won't let us eat their special
181.16%:  come they won't let us eat their pet
108.72%:  come they won't let us eat their pets
131.34%:  come they won't let us eat their pets??
69.64%:  come they won't eat their pets
67.95%:  come they won't let us eat their ch
56.73%:  come they won't stop
52.28%:  come they won't just
189.46%:  come they won't just eat their
51.19%:  come they can't keep their pets
51.17%:  come they think they're such a
50.51%:  come they always think
126.72%:  come they always think they
432.75%:  come they always think they're the
242.91%:  come they always think they're special
178.52%:  come they always think they're special??
160.06%:  come they always think they're so
310.83%:  come they always think they're so special
327.96%:  come they always think they're so special??
111.37%:  come they always think they're pretty
108.40%:  come they always think they're super
300.53%:  come they always think they're super special
143.49%:  come they always think they're super special??
104.56%:  come they always think they're pretty special
87.32%:  come they always think they're really
99.50%:  come they always think they're really special
74.46%:  come they always think they're pretty special??
72.34%:  come they always think they're special just
64.56%:  come they always think they're so pretty
63.97%:  come they always think they're cute
62.17%:  come they always think they're really special??
61.61%:  come they always think they're such
58.73%:  come they always think they're cool
53.58%:  come they always think they're the special
50.24%:  come they're such jerks when
49.85%:  come they always think they're so special just
49.71%:  come they're so upset that
65.61%:  come they're so upset that they
52.86%:  come they're so upset that their
49.20%:  come they always think they're so cute
48.91%:  come they can't keep their house
48.72%:  come they're always there
48.40%:  come they're always sick
48.03%:  come they're all so cute
47.48%:  come they think it's okay to put
97.49%:  come they think it's okay to put their
46.11%:  come they can't just tell
45.70%:  come they can't just eat like
45.64%:  come they think they're so special all
45.51%:  come there are
44.60%:  come they're like this when
56.61%:  come they're like this when they eat
44.19%:  come they're always late??
43.80%:  come they can't keep track
43.33%:  come they'll
100.77%:  come they'll eat their
54.36%:  come they'll eat their own po
43.06%:  come they want to eat their
42.47%:  come they're always so sleep
81.53%:  come they're always so sleepy??
42.42%:  come they all
42.26%:  come they're always so happy
49.19%:  come they're always so happy to see their
41.82%:  come they're so cute when they po
41.76%:  come they think they're so cute??
41.54%:  come they always think they're the star
41.46%:  come they can't keep their shit
41.29%:  come they're so upset when their pet
41.06%:  come they're always punch
40.95%:  come they think they're people
40.87%:  come they're always po
40.86%:  come they're always y
40.80%:  come they think it's cool
40.64%:  come they're so cute when they say they
40.42%:  come they're like this with
41.08%:  come they're like this with each
40.36%:  come they can't tell
40.33%:  come their eyes
62.11%:  come their eyes are so pretty
49.78%:  come their eyes are so pretty??
40.30%:  come they always put
178.16%:  come they always put their
40.09%:  come they're so upset with
64.46%:  come they're so upset with their
39.63%:  come they can't keep their shoes
39.51%:  come they think they're pretty special just
39.43%:  come they think they're still special
38.87%:  come when
73.36%:  come when they'
136.24%:  come when they're really
186.89%:  come when they're really happy
432.23%:  come when they're really happy they just
295.71%:  come when they're really happy they start
234.59%:  come when they're really happy they still
177.98%:  come when they're really happy they like
251.12%:  come when they're really happy they like to take
167.14%:  come when they're really happy they like to eat
146.00%:  come when they're really happy they take
133.27%:  come when they're happy
279.26%:  come when they're happy they still
194.32%:  come when they're happy they just
162.86%:  come when they're happy they like
153.91%:  come when they're happy they still cry??
136.05%:  come when they're happy they say
124.28%:  come when they're really happy they just stare
122.05%:  come when they're really happy they look
118.32%:  come when they're little
212.23%:  come when they're little they like
122.98%:  come when they're little they eat
161.64%:  come when they're little they eat their
121.28%:  come when they're little they like to play
116.44%:  come when they're happy they like to eat
116.17%:  come when they're happy they still look
432.10%:  come when they're happy they still look like
108.57%:  come when they're happy they like to take
107.20%:  come when they're really little
129.99%:  come when they're really little they look
103.35%:  come when they're happy they look
147.83%:  come when they're happy they look like little
95.46%:  come when they're little they cry
93.21%:  come when they're little they like to stick
92.98%:  come when they're really little they eat
110.04%:  come when they're really little they eat their
91.51%:  come when they're happy they cry
90.41%:  come when they're really upset
243.00%:  come when they're really upset they start
137.40%:  come when they're really upset they say
90.23%:  come when they're really little they like
122.43%:  come when they're really little they like to suck
233.82%:  come when they're really little they like to suck their
90.45%:  come when they're really little they like to suck their toes
89.50%:  come when they're little they like to eat
86.16%:  come when they're really happy they like to kiss
85.21%:  come when they're really upset they cry
83.92%:  come when they're really happy they just start
83.15%:  come when they're really little they just
81.40%:  come when they're really upset they like
91.67%:  come when they're really upset they like to eat
80.67%:  come when they're happy they cry too??
80.03%:  come when they're really happy they look like a
78.43%:  come when they're really happy they start kiss
78.29%:  come when they're really happy they still look
77.32%:  come when they're really little they cry
76.59%:  come when they're really upset they like to eat their
75.14%:  come when they're happy they take
73.55%:  come when they're little they like to suck
72.00%:  come when they're really happy they like to tell
71.66%:  come when they're really upset they stop
71.31%:  come when they're really happy they start to
69.93%:  come when they're really happy they like to stick
69.57%:  come when they're really upset they take
131.67%:  come when they're really upset they take their socks
69.30%:  come when they're little they like to put
100.36%:  come when they're little they like to put their
69.03%:  come when they're really little they like to stick
68.90%:  come when they're happy they like to say
67.72%:  come when they're really happy they stick
110.58%:  come when they're really happy they stick out
67.28%:  come when they're little they look
182.98%:  come when they're little they look like they
100.59%:  come when they're little they look like cute
66.96%:  come when they're little they look like this
66.42%:  come when they're happy they just say
65.91%:  come when they're happy they like to tell
65.32%:  come when they're little they say
70.77%:  come when they're little they say they
63.82%:  come when they're little they look like us
63.74%:  come when they're happy they just stare
63.72%:  come when they're really happy they just like
95.44%:  come when they're really happy they just like to stare
60.26%:  come when they're happy they like to tell you
59.96%:  come when they're really little they po
386.83%:  come when they're really little they poop their
58.90%:  come when they're really happy they just sit
56.58%:  come when they're really happy they like to tell jokes
56.30%:  come when they're little they just
55.74%:  come when they're really happy they just sort
55.51%:  come when they're really upset they eat
86.78%:  come when they're really upset they eat their
55.09%:  come when they're little they cry all
53.42%:  come when they're really little they like to put
53.30%:  come when they're really little they look just
52.73%:  come when they're happy they start
52.65%:  come when they're really happy they like to stick out
52.00%:  come when they're really little they cry so
51.92%:  come when they're happy they eat
51.42%:  come when they're really upset they like to take
180.33%:  come when they're really upset they like to take their
51.03%:  come when they're happy they still eat
51.03%:  come when they're really upset they cry like
50.60%:  come when they're asleep
83.25%:  come when they're asleep they still
74.76%:  come when they're asleep their
71.79%:  come when they're asleep they stop
60.73%:  come when they're asleep they talk
54.85%:  come when they're asleep they like
71.20%:  come when they're asleep they like to sleep
51.52%:  come when they're asleep they like to put
88.53%:  come when they're asleep they like to put their little
50.52%:  come when they're really little they keep
49.42%:  come when they're really happy they just take
48.91%:  come when they're upset
69.73%:  come when they're upset they say
56.14%:  come when they're upset they say they
50.72%:  come when they're upset they like
48.88%:  come when they're really happy they just eat
48.78%:  come when they're really happy they still eat
48.71%:  come when they're really little they like to suck their toes??
48.28%:  come when they're little they keep
48.22%:  come when they're really little they like to put their
48.02%:  come when they're really upset they start to
47.79%:  come when they're really little they eat their po
91.78%:  come when they're really little they eat their poops
113.42%:  come when they're really little they eat their poops??
47.53%:  come when they're really little their
47.29%:  come when they're really happy their
48.25%:  come when they're really happy their eyes
46.37%:  come when they're asleep they still talk
46.17%:  come when they're little they po
45.95%:  come when they're little they eat their po
57.90%:  come when they're little they eat their poops
45.95%:  come when they're happy they still like
47.20%:  come when they're happy they still like to cry
45.61%:  come when they're little their
45.29%:  come when they're really happy they eat
44.90%:  come when they're happy they like to tell jokes
44.88%:  come when they're really happy they just look
135.98%:  come when they're really happy they just look like
44.45%:  come when they're happy they still cry so
44.31%:  come when they're really little they like to eat
44.26%:  come when they're really happy they like to stare
43.50%:  come when they're really happy they like to talk
42.85%:  come when they're little they like to suck their toes
42.71%:  come when they're little they suck
136.90%:  come when they're little they suck their
45.88%:  come when they're little they suck their toes
42.13%:  come when they're really happy they kick
41.90%:  come when they're really happy they kiss
41.82%:  come when they're really upset they cry like that
41.17%:  come when they're happy they cl
40.79%:  come when they're happy they raise
40.74%:  come when they sleep
68.48%:  come when they sleep they like
69.39%:  come when they sleep they like to put
59.04%:  come when they sleep they like to sleep
40.66%:  come when they're asleep their little
40.45%:  come when they're really little they eat their poop??
40.15%:  come when they're really little they just sleep
40.00%:  come when they're little they say they like
39.91%:  come when they sleep they'
133.44%:  come when they sleep they're like
124.86%:  come when they sleep they're all
144.25%:  come when they sleep they're all like
101.12%:  come when they sleep they're all cur
39.71%:  come when they sleep they put
67.60%:  come when they sleep they put their little
39.54%:  come when they're little they like to eat their
39.50%:  come when they're asleep they start
39.25%:  come when they're little they look like they just
38.89%:  come when they're happy they look like a
60.48%:  come when they're happy they look like a little
38.72%:  come they talk
38.70%:  come they're such little
38.55%:  come when they're really upset they keep
38.48%:  come they throw
70.19%:  come they throw their
38.47%:  come they're so upset when they see
38.28%:  come when they're little they look like a
37.98%:  come they're so upset when they see their
37.64%:  come they write such
37.61%:  come when they sleep they like to put their little
37.39%:  come they always think they're really cute
37.36%:  come they're really
37.95%:  come they're really into
37.33%:  come they're so into their little
37.29%:  come they think they're so hot
37.24%:  come they won't tell
83.82%:  come they won't tell us their
67.10%:  come they won't tell us their secret
37.18%:  come they hate
37.10%:  come when they're asleep their eyes
37.10%:  come when they're really upset they cry so
37.08%:  come when they're little they eat their poops??
36.93%:  come they think they're so sweet
36.90%:  come they just
36.80%:  come they think they're still special just
36.65%:  come they like their own
36.35%:  come when they're asleep they just
36.34%:  come they're not like us
36.28%:  come they're so happy
136.50%:  come they're so happy when they eat
36.26%:  come they think they're always
36.14%:  come they keep ste
36.05%:  come when they're really little they sleep
35.76%:  come they're so happy when they see
35.72%:  come they always think they're so pretty??
35.71%:  come when they're really upset they like to talk
85.68%:  come when they're really upset they like to talk to their
35.68%:  come when they're sick
71.16%:  come when they're sick they just
53.44%:  come when they're sick they just lie
133.93%:  come when they're sick they just lie there
47.91%:  come when they're sick they just lie there like
41.10%:  come when they're sick they like
45.54%:  come when they're sick they like to sleep
40.08%:  come when they're sick they still
36.85%:  come when they're sick they like to eat
35.61%:  come when they're really happy they talk
73.97%:  come when they're really happy they talk like
35.45%:  come when they're really upset they look
129.80%:  come when they're really upset they look like this
85.44%:  come when they're really upset they look like their
49.80%:  come when they're really upset they look like this??
35.38%:  come when they're asleep their eyes still
35.34%:  come when they're really upset they still
35.28%:  come they're just
35.25%:  come they're such jerks to their little
35.23%:  come when they're really upset they like to say
35.13%:  come when they're happy they still cry like
35.09%:  come they're always so cute
34.98%:  come when they're happy their
44.69%:  come when they're happy their eyes
34.96%:  come they're such jerks to their pets when
34.93%:  come when they're upset they start
34.92%:  come when they're asleep they still keep
34.91%:  come they're like this when there
34.86%:  come when they're asleep they keep
67.48%:  come when they're asleep they keep their
34.83%:  come they won't just eat the
34.78%:  come they're all like
34.64%:  come they can't keep their po
34.58%:  come they're always super
34.55%:  come they think they're special just c
33.96%:  come they think they're cute
33.81%:  come when they eat
63.32%:  come when they eat they
33.73%:  come they think they're special like
114.52%:  come they think they're special like that??
33.65%:  come they can't keep their teeth
33.63%:  come when they're really upset they look like their eyes
33.58%:  come when they're really happy their eyes look
33.47%:  come when they're really upset they stick
39.79%:  come when they're really upset they stick their little
33.47%:  come when they're little they like to touch
33.36%:  come when they're asleep they kick
95.44%:  come when they're asleep they kick their
33.32%:  come when they're really little they just eat
78.30%:  come when they're really little they just eat their
33.23%:  come when they're happy they stick
41.87%:  come when they're happy they stick out
33.22%:  come they're the only people that
33.21%:  come they can't just eat pet
33.09%:  come when they're little they look like cats
32.88%:  come they always think they're super cool
32.80%:  come when they're happy they still look really
32.78%:  come they insist
32.68%:  come when they sleep they're still
32.45%:  come they always think they're just
45.13%:  come they always think they're just like
32.45%:  come they're so cute when they try to eat
32.42%:  come when they're asleep they look
1036.72%:  come when they're asleep they look like little
175.92%:  come when they're asleep they look like their
154.05%:  come when they're asleep they look like they just
82.18%:  come when they're asleep they look like little ch
62.21%:  come when they're asleep they look like that
53.47%:  come when they're asleep they look like little stat
46.58%:  come when they're asleep they look like little cats
45.10%:  come when they're asleep they look like little cats??
40.52%:  come when they're asleep they look like their eyes
39.18%:  come when they're asleep they look like this
32.41%:  come they eat so
32.30%:  come they think they're like
32.30%:  come they're so pretty when they kiss??
32.16%:  come they're still here when there
32.09%:  come they're not happy
32.29%:  come they're not happy with
89.55%:  come they're not happy with their
31.97%:  come they can't stop
31.85%:  come when they sleep they just
40.13%:  come when they sleep they just lie
342.86%:  come when they sleep they just lie there like
63.50%:  come when they sleep they just lie there like a
57.98%:  come when they sleep they just lie there like a rock
40.72%:  come when they sleep they just lie there all
33.67%:  come when they sleep they just lie there??
31.79%:  come they think they're special or
31.74%:  come they're all so cute??
31.64%:  come they can't see
38.88%:  come they can't see their
31.52%:  come when they're upset they like to eat
31.50%:  come when they're little they like to sleep
31.49%:  come when they're really happy they just like to eat
31.31%:  come they're like this with other
131.22%:  come they're like this with other people
61.59%:  come they're like this with other people??
31.28%:  come they're such jerks to their own
69.95%:  come they're such jerks to their own pets
31.25%:  come they always try
31.23%:  come they're always so pretty??
31.21%:  come when they're asleep they like to talk
35.54%:  come when they're asleep they like to talk to their
31.17%:  come when they're asleep they talk to
51.87%:  come when they're asleep they talk to their
47.18%:  come when they're asleep they talk to their pets
44.84%:  come when they're asleep they talk to their pets??
31.16%:  come when they're little they all
31.11%:  come they think they're all special??
31.11%:  come they're always like that
31.07%:  come they'll eat their own pets
31.04%:  come when they're little they like to po
30.98%:  come they think it's so
30.96%:  come they're not all
30.92%:  come when they're really really
30.90%:  come when they're little they sleep
30.81%:  come they're always up
30.78%:  come they only
34.11%:  come they only like
30.77%:  come they're always happy
44.84%:  come they're always happy to see their
30.69%:  come when they're little they eat like
30.69%:  come they're so cute when they play
30.55%:  come they're always knock
30.43%:  come they think they're cool just
30.42%:  come they're always late to
30.39%:  come they're so short
30.29%:  come when they're happy they talk
39.35%:  come when they're happy they talk like
30.28%:  come when they're really happy they still like
30.27%:  come when they cry
30.17%:  much
30.14%:  come when they're happy they just like
33.03%:  come when they're happy they just like to stare
30.01%:  come when they're really happy they just close
29.85%:  come when they're really happy they like to tell us
29.82%:  come when they're happy they like to eat little
29.74%:  come when they're little they put
29.70%:  come they're so upset when they eat
40.12%:  come they're so upset when they eat their
29.66%:  come they think it's okay to wear
29.60%:  come when they're upset they like to eat their
29.51%:  come when they're really happy they like to just
29.47%:  come when they're really little they like to po
29.46%:  come they think they're super cool
29.29%:  come they're so cute when they try to kiss
29.26%:  come when they sleep they take
141.21%:  come when they sleep they take their
29.22%:  come they always think they're like
29.19%:  come they're always sick??
29.16%:  come when they're happy they like to stare
29.15%:  come they taste
47.27%:  come they taste like they
61.38%:  come they taste like they're always
29.13%:  come when they're sick they eat
29.11%:  come they think they're the cool
28.96%:  come when they're little they look like the
28.87%:  come they take
38.86%:  come they take their
36.52%:  come they take their pants
28.76%:  come they always think they're late
28.68%:  come when they're little they look like that
28.47%:  come when they're really upset they call
72.29%:  come when they're really upset they call their
28.46%:  come they're so nice
28.43%:  come they're so into pet
28.41%:  come they won't share
411.00%:  come they won't share their pet
140.63%:  come they won't share their secret
35.57%:  come they won't share their pets
31.65%:  come they won't share their secret pet
31.06%:  come they won't share their little
28.37%:  come when they're really upset they keep their
28.36%:  come they're always suck
28.35%:  come they're always late to their
28.31%:  come they're such jerks when they eat
28.30%:  come when they're asleep their little hearts
28.29%:  come they're so cute when they eat??
28.26%:  come when they're sick they just lie there all
28.26%:  come when they're happy they like to cl
28.24%:  come they think they're so super special that we
28.14%:  come they always think they're the cut
88.47%:  come they always think they're the cutest??
28.10%:  come they're such jerks to the
61.23%:  come they're such jerks to the other
28.06%:  come when they're happy they like to talk
28.06%:  come when they're asleep they just lie
135.07%:  come when they're asleep they just lie there like
28.05%:  come when they're really little they keep their
27.99%:  come when they see
27.97%:  come when they're little they all look
27.96%:  come they talk like
59.87%:  come they talk like they
58.65%:  come they talk like they're always
36.58%:  come they talk like that
34.49%:  come they talk like they're really
32.81%:  come they talk like they're not
27.95%:  come when they're happy they like to tell us
27.94%:  come they think it's okay to sleep
43.33%:  come they think it's okay to sleep with
27.88%:  come they think they're such a special
83.98%:  come they think they're such a special little
27.81%:  come they're so cute when they really
27.77%:  come when they're little they like their
27.77%:  come they're so cute when they try to speak
27.74%:  come they think it's cute
27.72%:  come they cry
27.63%:  come they always try to kill
27.62%:  come when they're really little they suck
74.33%:  come when they're really little they suck their
63.79%:  come when they're really little they suck their toes
27.56%:  come they won't just tell
27.55%:  come they're always stuck
50.33%:  come they're always stuck in their
61.20%:  come they're always stuck in their little
27.53%:  come when they're little they really
47.68%:  come when they're little they really like to
27.50%:  come they won't let us eat pet
27.46%:  come when they're asleep they look like little cute
27.44%:  come when they're really happy they just like to sit
27.43%:  come when they're upset they like to talk
41.07%:  come when they're upset they like to talk to their
27.42%:  come they think it's okay to sleep with the
27.39%:  come they talk like they're really special
27.37%:  come they're such little jer
32.85%:  come they're such little jerks??
30.70%:  come they're such little jerks when
27.32%:  come they're so upset when their pets
27.30%:  come when they're really happy they like to cl
27.16%:  come when they're happy they like to stick
27.16%:  come when they're happy they like to kiss
27.11%:  come when they're upset they eat
32.71%:  come when they're upset they eat their
27.10%:  come when they're sick they just lay
82.73%:  come when they're sick they just lay there
41.03%:  come when they're sick they just lay there like
27.09%:  come when they're really upset they look like that
26.96%:  come they're so cute when they say they like
26.96%:  come they think they're really cool
26.96%:  come when they're really little they say
26.94%:  come they won't eat the pet
26.92%:  come they hate their
26.92%:  come when they're little they look like their
26.88%:  come when they're happy they look really
26.77%:  come they're such jerks to the planet
26.69%:  come they're here
26.68%:  come they think they're so special like
79.34%:  come they think they're so special like that??
31.48%:  come they think they're so special like they
26.66%:  come when they're happy they just sit
26.62%:  come when they're little they keep their
26.61%:  come when they sleep they like to pull
150.46%:  come when they sleep they like to pull their
26.55%:  come they won't let us eat their cr
26.54%:  come when they're asleep their little hearts keep
26.49%:  come they're still so
26.42%:  come when they're really upset they like to stare
26.39%:  come they're not super
26.39%:  come they won't eat this
26.36%:  come they're always really
26.30%:  come when they sleep they take their socks
26.23%:  come when they sleep they just lie there like a rock??
26.16%:  come when they sleep their
26.07%:  come they're like that with
56.98%:  come they're like that with their
35.06%:  come they're like that with their pets
26.06%:  come when they're asleep they look like their little
25.97%:  come they're not like us??
25.93%:  come they like their little
25.93%:  come when they sleep they're like this
25.81%:  come they'll eat their own pets??
25.78%:  come when they're asleep they take
96.68%:  come when they're asleep they take their
37.11%:  come when they're asleep they take their socks
26.42%:  come when they're asleep they take their little
25.75%:  come they taste like their
25.71%:  come when they're upset they cry
25.59%:  come they're so sweet
25.55%:  come their little
25.50%:  come when they're really little they start
25.44%:  come when they're really upset they look like a
25.26%:  come when they're really little they just eat their po
25.22%:  come they won't let us eat their special ch
25.22%:  come they're so pretty when they kiss each
25.21%:  come they think they're so super special all
25.20%:  come they like the
25.14%:  come they're such a
25.14%:  come they can't keep their cars
25.11%:  come they are
25.04%:  come they talk like they're all
25.01%:  come they can't eat pet
25.01%:  come they're so creep
29.62%:  come they're so creepy when
255.72%:  come they're so creepy when they sleep
143.80%:  come they're so creepy when they sleep??
132.43%:  come they're so creepy when they stare
203.67%:  come they're so creepy when they stare at you??
56.33%:  come they're so creepy when they stare at you like
463.29%:  come they're so creepy when they stare at you like that??
48.28%:  come they're so creepy when they talk
35.91%:  come they're so creepy when they stare at us
32.38%:  come they're so creepy when they cry
30.70%:  come they're so creepy when they eat
26.69%:  come they're so creepy when they talk to
25.82%:  come they're so creepy when they take
25.00%:  come when they're really upset they cry like this
24.96%:  come they think they're special little
24.96%:  come they can't keep their hair
24.96%:  come when they're really upset they kick
40.90%:  come when they're really upset they kick their
24.94%:  come when they see a pretty
24.92%:  come they're always so th
24.90%:  come when they sleep they just lie there like a cor
63.67%:  come when they sleep they just lie there like a corpse??
24.80%:  come when they're little their eyes
24.79%:  come they can't sleep
24.77%:  come they can't talk
41.08%:  come they can't talk like
25.07%:  come they can't talk like us
24.76%:  come they like to sleep
24.76%:  come they're so cute when they kiss
24.67%:  come when they're asleep they just lie there like total
24.62%:  come they like to sleep with
84.83%:  come they like to sleep with their eyes
142.84%:  come they like to sleep with their eyes open??
25.27%:  come they like to sleep with other
24.60%:  come they're so creepy when they talk to their
24.56%:  come when they're really really happy
24.54%:  come they eat their own po
24.53%:  come they're so creepy when they try
40.86%:  come they're so creepy when they try to talk
34.97%:  come they're so creepy when they try to talk like
34.25%:  come they're so creepy when they try to talk like us??
32.04%:  come they're so creepy when they try to kiss
24.53%:  come they always think they're the cool
24.48%:  come they're always just like
24.43%:  come when they're really upset their
24.43%:  come when they're really upset their eyes
24.41%:  come when they're sick they like to lie
24.40%:  come when they're really happy they cl
24.38%:  come they always think they're hot
44.33%:  come they always think they're hotter
24.36%:  come they like the taste
24.35%:  come they're so cute when they cry so
24.33%:  come when they're really little they like to eat their
24.30%:  come they're so cute when they eat their little
24.26%:  come when they sleep they like to put their ears
24.18%:  come they always put the
66.10%:  come they always put the toilet
24.17%:  come when they're really upset they still eat
38.85%:  come when they're really upset they still eat their
24.16%:  come they're so happy when they eat little
24.16%:  come they think it's okay to cry
24.05%:  come they always think they're so cute??
24.05%:  come when they're really sick
60.03%:  come when they're really sick they just
43.48%:  come when they're really sick they still
41.73%:  come when they're really sick they just lie
154.13%:  come when they're really sick they just lie there
48.71%:  come when they're really sick they just lie there like
30.45%:  come when they're really sick they stop
30.07%:  come when they're really sick they start
26.11%:  come when they're really sick they still eat
25.26%:  come when they're really sick they like
35.25%:  come when they're really sick they like to eat
24.57%:  come when they're really sick they like to sleep
24.20%:  come when they're really sick they still eat their
24.05%:  come they think they're cooler
24.04%:  come when they're little they like to eat rocks
24.03%:  come they can't tell us
23.97%:  come they take their shoes
23.96%:  come when they sleep they like to sleep like
43.96%:  come when they sleep they like to sleep like that
28.97%:  come when they sleep they like to sleep like that??
23.94%:  come they're not really that
23.93%:  come they're always such
23.90%:  come they sleep
23.87%:  come when they're little they cry a
23.86%:  come when they're little they try
23.81%:  come they always think they're cute??
23.80%:  come they write their
23.74%:  come they're into
23.72%:  come they can't take
23.65%:  come when they're really happy they like to take a
23.65%:  come when they're really little their eyes
29.64%:  come when they're really little their eyes look
23.63%:  come when they're really happy they look just
89.59%:  come when they're really happy they look just like cats
81.56%:  come when they're really happy they look just like cats??
71.11%:  come when they're really happy they look just like a
23.63%:  come they're like that with their pets??
23.62%:  come when they're really upset they talk
35.52%:  come when they're really upset they talk like
87.25%:  come when they're really upset they talk like they
65.73%:  come when they're really upset they talk like this
32.39%:  come when they're really upset they talk like that
31.70%:  come when they're really upset they talk like this??
23.48%:  come when they're little they look just
128.09%:  come when they're little they look just like their
62.41%:  come when they're little they look just like a
58.91%:  come when they're little they look just like cats
49.87%:  come when they're little they look just like the
40.02%:  come when they're little they look just like their pets
41.16%:  come when they're little they look just like their pets??
33.20%:  come when they're little they look just like cats??
27.54%:  come when they're little they look just like the rest
23.43%:  come they think it's okay to just
23.38%:  come they're always kiss
23.35%:  come when they're happy they like to stare at you
23.30%:  come there's like three
23.30%:  come when they're sick they like to sleep all
23.27%:  come they're such little jerks to
745.95%:  come they're such little jerks to each other??
