IS EXACTLY WHY I KEEP MAKING IT SO YOU NEVER GET A PRINTING PRESS
100.00%: 
182.74%:  IS WHY
88.57%:  IS EXACTLY WHAT YOU S
88.35%:  IS EXACTLY THE REASON I T
88.27%:  IS EXACTLY WHERE
87.98%:  IS EXACTLY THE REASON I WANT TO
87.78%:  IS EXACTLY THE REASON I S
87.31%:  IS EXACTLY WHY I USE
87.07%:  IS EXACTLY WHY NO
86.78%:  IS EXACTLY THE REASON I NEVER TA
571.36%:  IS EXACTLY THE REASON I NEVER TAKE YOUR
361.01%:  IS EXACTLY THE REASON I NEVER TAKE YOU
86.20%:  IS EXACTLY WHAT MY
86.08%:  IS EXACTLY WHY I MA
85.46%:  IS EXACTLY THE REASON I MAKE
84.41%:  IS EXACTLY WHAT YOU ARE
83.60%:  IS EXACTLY THE REASON I NEVER WR
614.00%:  IS EXACTLY THE REASON I NEVER WRITE ANY
91.93%:  IS EXACTLY THE REASON I NEVER WRITE IN
83.13%:  IS EXACTLY THE REASON I NEVER TRUST PE
83.01%:  IS EXACTLY THE REASON I NEVER WRITE IN MY O
82.80%:  IS EXACTLY THE REASON I NEVER A
280.33%:  IS EXACTLY THE REASON I NEVER ASK YOU
97.85%:  IS EXACTLY THE REASON I NEVER ASK YOUR
81.80%:  IS EXACTLY THE REASON I NEVER MAKE
81.34%:  IS EXACTLY WHAT I SAY EVERY TIME I PRET
81.20%:  IS EXACTLY THE REASON YOU AREN
81.09%:  IS EXACTLY THE REASON I NEVER RES
80.86%:  IS EXACTLY WHAT YOU SA
80.42%:  IS EXACTLY WHY I NEVER A
214.77%:  IS EXACTLY WHY I NEVER ASK YOU
83.93%:  IS EXACTLY WHY I NEVER ASK YOUR
80.20%:  IS EXACTLY WHY I NEVER ASK YOU TO PR
80.06%:  IS EXACTLY THE REASON I IN
80.04%:  IS EXACTLY THE REASON I STAY
79.96%:  IS EXACTLY THE REASON I WROTE GEN
384.76%:  IS EXACTLY THE REASON I WROTE GENESIS IN
79.56%:  IS EXACTLY WHY I NEVER TR
302.77%:  IS EXACTLY WHY I NEVER TRUST ANY
120.51%:  IS EXACTLY WHY I NEVER TRUST ANYONE TO
92.43%:  IS EXACTLY WHY I NEVER TRUST ANYONE IN
80.19%:  IS EXACTLY WHY I NEVER TRUST PE
79.16%:  IS EXACTLY THE REASON I NEVER SPEAK IN YOUR
78.67%:  IS EXACTLY THE REASON I NEVER SPEAK IN SU
78.63%:  IS EXACTLY THE REASON I NEVER SAY YOUR
78.31%:  IS EXACTLY THE REASON I G
78.25%:  IS EXACTLY THE REASON I NEVER WRITE ANY MO
77.21%:  IS EXACTLY WHY YOU AREN
76.23%:  IS EXACTLY THE REASON I NEVER WRITE ST
75.12%:  IS EXACTLY THE REASON I NEVER WRO
207.59%:  IS EXACTLY THE REASON I NEVER WROTE ANY
80.04%:  IS EXACTLY THE REASON I NEVER WROTE A
74.17%:  IS EXACTLY THE REASON I NEVER TRUST ANYONE E
73.70%:  IS EXACTLY THE REASON I NEVER TRUST MY
72.85%:  IS EXACTLY THE REASON I NEVER GO
72.80%:  IS EXACTLY THE REASON I NEVER SPEAK IN S
72.29%:  IS EXACTLY THE REASON I GIVE
99.01%:  IS EXACTLY THE REASON I GIVE YOU
72.10%:  IS EXACTLY THE REASON I NEVER WRITE ANYONE
70.57%:  IS EXACTLY WHY I NEVER SPE
175.67%:  IS EXACTLY WHY I NEVER SPEAK IN
116.75%:  IS EXACTLY WHY I NEVER SPEAK TO
98.63%:  IS EXACTLY WHY I NEVER SPEAK TO YOU IN
97.32%:  IS EXACTLY WHY I NEVER SPEAK TO ANY
144.66%:  IS EXACTLY WHY I NEVER SPEAK TO ANYONE E
76.12%:  IS EXACTLY WHY I NEVER SPEAK TO ANYONE IN
70.00%:  IS EXACTLY THE REASON I NEVER TAKE YOUR S
69.41%:  IS EXACTLY THE REASON I NEVER SPEAK TO PE
69.14%:  IS EXACTLY WHAT I SAY EVERY TIME I INT
69.05%:  IS EXACTLY WHAT IT
68.96%:  IS EXACTLY WHY NO ONE
68.67%:  IS EXACTLY WHAT I SAY EVERY MORNING TO ST
68.35%:  IS EXACTLY THE REASON I NEVER WRITE ANYMO
68.26%:  IS EXACTLY THE REASON I NEVER WANT TO ME
68.25%:  IS EXACTLY WHAT I SAY EVERY TIME I PRO
68.10%:  IS EXACTLY THE REASON I WAS NE
189.21%:  IS EXACTLY THE REASON I WAS NEVER GO
166.57%:  IS EXACTLY THE REASON I WAS NEVER IN
80.70%:  IS EXACTLY THE REASON I WAS NEVER RE
66.16%:  IS EXACTLY THE REASON YOU W
65.93%:  IS EXACTLY WHAT I SAY EVERY TIME I GET UP
65.58%:  IS EXACTLY WHY I NEVER SPEAK TO YOU IN PER
65.32%:  IS EXACTLY THE REASON I NEVER RE
65.00%:  IS EXACTLY WHAT I SAY EVERY TIME I SING
64.96%:  IS EXACTLY WHAT I SAY EVERY TIME I POST SO
64.91%:  IS EXACTLY WHY I NEVER ASK PE
64.76%:  IS EXACTLY WHAT I MEAN
64.45%:  IS EXACTLY THE REASON I NEVER SPEAK IN SIMP
64.23%:  IS EXACTLY THE REASON I NEVER P
72.75%:  IS EXACTLY THE REASON I NEVER PUT ANY
93.00%:  IS EXACTLY THE REASON I NEVER PUT ANYONE
63.67%:  IS EXACTLY THE REASON I AM
63.04%:  IS EXACTLY THE REASON I NEVER ASK PE
62.44%:  IS EXACTLY THE REASON I START
61.94%:  IS EXACTLY THE REASON I NEVER GET ANY W
61.79%:  IS EXACTLY THE REASON I NEVER WRITE YOU
61.53%:  IS EXACTLY THE REASON I WENT TO
61.16%:  IS EXACTLY THE REASON I NEVER SIGN
61.14%:  IS EXACTLY THE REASON I WON
60.99%:  IS EXACTLY WHY YOU NEVER GET IN
60.31%:  IS EXACTLY WHY YOU NEVER GET TO ME
60.13%:  IS EXACTLY THE REASON I WROTE IT IN
59.85%:  IS EXACTLY THE REASON I AM NOT
59.83%:  IS EXACTLY WHAT I MEANT IN
59.60%:  IS EXACTLY WHAT I SAY EVERY TIME I PROGR
59.00%:  IS EXACTLY WHAT I USE
58.53%:  IS EXACTLY WHY I NEVER GET
77.23%:  IS EXACTLY WHY I NEVER GET ANY
58.28%:  IS EXACTLY THE REASON I NEVER SPEAK IN OP
57.60%:  IS EXACTLY THE REASON I P
57.60%:  IS EXACTLY WHAT I SAY EVERY TIME I POKE
57.28%:  IS EXACTLY WHY I S
57.10%:  IS EXACTLY THE REASON YOUR
56.84%:  IS EXACTLY WHAT I SAY EVERY MORNING TO RE
56.72%:  IS EXACTLY WHAT I SAY EVERY TIME I PUT SO
56.67%:  IS EXACTLY THE SORT
56.24%:  IS EXACTLY THE REASON YOU NE
184.33%:  IS EXACTLY THE REASON YOU NEVER GET ANY
80.29%:  IS EXACTLY THE REASON YOU NEVER GET IN
55.72%:  IS EXACTLY WHAT I SAY EVERY MORNING I
275.51%:  IS EXACTLY WHAT I SAY EVERY MORNING I GET OUT
55.58%:  IS EXACTLY WHY I NEVER TA
304.98%:  IS EXACTLY WHY I NEVER TAKE YOUR
250.60%:  IS EXACTLY WHY I NEVER TAKE YOUR OP
177.49%:  IS EXACTLY WHY I NEVER TAKE YOU
260.39%:  IS EXACTLY WHY I NEVER TAKE YOU SER
115.93%:  IS EXACTLY WHY I NEVER TAKE YOU TO
95.45%:  IS EXACTLY WHY I NEVER TAKE ANY
295.23%:  IS EXACTLY WHY I NEVER TAKE ANYONE SER
63.57%:  IS EXACTLY WHY I NEVER TAKE YOU ON
55.56%:  IS EXACTLY WHAT I SAY EVERY TIME I POST ON IN
54.92%:  IS EXACTLY WHY I NEVER MA
54.87%:  IS EXACTLY THE REASON G
54.61%:  IS EXACTLY WHAT I SAY EVERY TIME I SE
54.81%:  IS EXACTLY WHAT I SAY EVERY TIME I SEE SO
54.51%:  IS EXACTLY WHY I NEVER TRUST ANYONE ON
54.21%:  IS EXACTLY THE REASON I NEVER GOT MY
53.80%:  IS EXACTLY THE REASON I NEVER SAY YOU
53.48%:  IS EXACTLY WHAT PE
53.41%:  IS EXACTLY WHY I NEVER MAKE ANY
53.28%:  IS EXACTLY WHAT I SAY EVERY MORNING SO I
52.67%:  IS EXACTLY WHAT YOU GET
52.56%:  IS EXACTLY WHAT I AM
52.49%:  IS EXACTLY WHY I NEVER SPEAK TO ANYONE IN PER
52.45%:  IS EXACTLY HOW YOU
52.16%:  IS EXACTLY WHY I NEVER ASK ANY
240.43%:  IS EXACTLY WHY I NEVER ASK ANYONE TO
62.17%:  IS EXACTLY WHY I NEVER ASK ANYONE TO USE
50.63%:  IS EXACTLY THE REASON I WAS SO
50.45%:  IS EXACTLY WHY I NEVER AN
50.43%:  IS EXACTLY WHY I T
50.30%:  IS EXACTLY THE REASON I NEVER WRITE YOU ANY
48.12%:  IS EXACTLY THE REASON I NEVER WRITE MY
47.81%:  IS EXACTLY WHAT I SAY EVERY N
47.71%:  IS EXACTLY THE REASON I K
93.48%:  IS EXACTLY THE REASON I KEEP MY
51.40%:  IS EXACTLY THE REASON I KEEP YOU
49.72%:  IS EXACTLY THE REASON I KEEP MY OP
47.55%:  IS EXACTLY THE REASON I WROTE MY
47.46%:  IS EXACTLY THE REASON I NEVER SPEAK IN T
47.38%:  IS EXACTLY THE REASON I NEVER SAY IT
47.02%:  IS EXACTLY THE REASON I WENT OUT
46.15%:  IS EXACTLY THE REASON I NEVER WROTE IT
46.05%:  IS EXACTLY THE REASON I NEVER WANT TO SPE
46.05%:  IS EXACTLY THE REASON I RE
46.02%:  IS EXACTLY THE REASON I NEVER WRITE YOU IN
45.74%:  IS EXACTLY WHERE I GET
45.30%:  IS EXACTLY THE REASON I NEVER WRITE A
45.29%:  IS EXACTLY WHAT YOUR
45.19%:  IS EXACTLY THE REASON I WROTE A
45.13%:  IS EXACTLY THE REASON I NEVER WRITE S
44.67%:  IS EXACTLY WHY I NEVER GO
44.52%:  IS EXACTLY THE REASON MY
44.51%:  IS EXACTLY WHAT IS
44.43%:  IS EXACTLY WHY I NEVER SPEAK ANY
44.42%:  IS EXACTLY WHAT I SAY EVERY MORNING IN PR
44.23%:  IS EXACTLY WHY I NEVER ASK YOU TO P
43.95%:  IS EXACTLY WHY I NEVER SPEAK IN OP
43.89%:  IS EXACTLY WHY I NEVER SPEAK IN S
48.03%:  IS EXACTLY WHY I NEVER SPEAK IN SIMP
43.82%:  IS EXACTLY WHAT YOU SAY
43.73%:  IS EXACTLY WHY YOU NEVER S
43.62%:  IS EXACTLY WHY I NEVER P
59.45%:  IS EXACTLY WHY I NEVER PUT ANY
70.10%:  IS EXACTLY WHY I NEVER PUT ANYONE
43.45%:  IS EXACTLY WHY I MAKE
43.44%:  IS EXACTLY WHY I NEVER TAKE ANYONE TO
43.36%:  IS EXACTLY WHY I NEVER RES
43.28%:  IS EXACTLY THE REASON I NEVER SAY MY
43.07%:  IS EXACTLY WHAT I SAY EVERY TIME I R
43.06%:  IS EXACTLY WHY I NEVER SPEAK IN SU
43.04%:  IS EXACTLY WHY YOU ARE NOT A
42.75%:  IS EXACTLY WHY I NEVER INT
42.58%:  IS EXACTLY WHY I NEVER ASK YOU TO SPE
56.57%:  IS EXACTLY WHY I NEVER ASK YOU TO SPEAK IN
41.95%:  IS EXACTLY THE REASON I WROTE GENESIS MY
41.90%:  IS EXACTLY THE REASON I GET
41.69%:  IS EXACTLY THE REASON I NEVER PUT MY
41.68%:  IS EXACTLY WHY I AM
41.53%:  IS EXACTLY WHY I NEVER ASK ANYONE TO SPE
41.44%:  IS EXACTLY WHY I NEVER SPEAK TO PE
41.39%:  IS EXACTLY WHY I NEVER TRUST MY
41.19%:  IS EXACTLY THE REASON I NEVER SIGN MY
40.91%:  IS EXACTLY WHY I NEVER GOT ANY
40.56%:  IS EXACTLY WHAT I SAY EVERY TIME I GET SO
40.53%:  IS EXACTLY WHAT I SAY EVERY TIME I OPEN ONE
40.34%:  IS WHAT IT
40.31%:  IS EXACTLY WHAT MA
40.21%:  IS EXACTLY THE REASON I KEEP A
39.82%:  IS EXACTLY WHY YOU ARE NOT PER
39.72%:  IS EXACTLY WHAT I SAY EVERY TIME ONE
39.69%:  IS EXACTLY WHAT I SAY EVERY TIME I TR
39.67%:  IS EXACTLY WHY I NEVER RE
39.28%:  IS EXACTLY WHY YOUR
39.26%:  IS EXACTLY WHAT I SAY EVERY MORNING I GET UP TO
39.17%:  IS WHY YOU NE
39.63%:  IS WHY YOU NEVER
39.13%:  IS EXACTLY WHAT I SAY EVERY TIME I RUN
38.94%:  IS EXACTLY WHY I NEVER TAKE YOUR S
38.90%:  IS EXACTLY THE REASON I NEVER PRO
38.90%:  IS EXACTLY THE REASON I NEVER TE
38.80%:  IS EXACTLY WHAT I SAY EVERY TIME I POUR
38.78%:  IS EXACTLY WHY YOU ARE NOT IN
38.74%:  IS EXACTLY THE REASON I MAKE YOU
38.72%:  IS EXACTLY THE REASON I REMAIN
38.58%:  IS EXACTLY THE TYPE
38.49%:  IS EXACTLY WHY I NEVER TRUST ANYONE E
38.45%:  IS EXACTLY THE REASON YOU NEVER GET ANY RES
38.30%:  IS EXACTLY THE REASON I NEVER USE MY
38.29%:  IS EXACTLY THE REASON I WAS NEVER S
38.26%:  IS EXACTLY WHY I P
37.67%:  IS EXACTLY THE REASON I NEVER ST
37.61%:  IS EXACTLY THE REASON I NEVER STOP
37.57%:  IS EXACTLY WHY I NEVER ASK YOU TO INT
37.50%:  IS EXACTLY WHAT I SAY EVERY TIME I G
37.31%:  IS EXACTLY WHAT I SAY EVERY MORNING UP
37.25%:  IS EXACTLY THE REASON I WENT IN
36.82%:  IS EXACTLY WHAT I SAY EVERY TIME I GO ON
36.75%:  IS EXACTLY WHY YOU NEVER GET TO SE
36.38%:  IS EXACTLY THE REASON I NEVER WENT TO UN
36.33%:  IS EXACTLY THE REASON I NEVER TAUG
36.21%:  IS EXACTLY THE REASON I WAS NEVER ME
36.01%:  IS EXACTLY THE REASON I NEVER SPEAK MY
35.87%:  IS EXACTLY THE REASON I A
35.85%:  IS EXACTLY WHY I NEVER SPEAK IN YOUR
56.49%:  IS EXACTLY WHY I NEVER SPEAK IN YOUR PRESENT
35.76%:  IS EXACTLY WHY I NEVER SPEAK ANYMO
35.37%:  IS EXACTLY THE REASON I GOT T
35.32%:  IS EXACTLY WHAT I SAY EVERY SENT
35.27%:  IS EXACTLY WHY I NEVER GOT TO
35.27%:  IS EXACTLY WHAT I SAY EVERY TIME I PRE
35.25%:  IS EXACTLY THE REASON YOU WERE K
35.23%:  IS EXACTLY WHAT I SAY EVERY MORNING NO
34.90%:  IS EXACTLY THE REASON I ON
34.87%:  IS EXACTLY WHAT I SAY EVERY TIME I USE
34.78%:  IS EXACTLY WHAT I SAY EVERY MORNING TO K
34.71%:  IS EXACTLY WHY I AM NOT
34.71%:  IS EXACTLY THE REASON YOU NEVER S
34.32%:  IS EXACTLY WHY I G
34.28%:  IS EXACTLY WHY I IN
34.25%:  IS EXACTLY WHAT I SAY EVERY MORNING IN S
34.25%:  IS EXACTLY THE REASON I NEVER WANT TO SE
34.25%:  IS EXACTLY WHAT I SAY TO
34.11%:  IS EXACTLY WHAT I SAY EVERY TIME I REPORT
33.89%:  IS EXACTLY THE REASON I KEEP S
200.12%:  IS EXACTLY THE REASON I KEEP SAYING YOU
166.97%:  IS EXACTLY THE REASON I KEEP SAYING I
105.44%:  IS EXACTLY THE REASON I KEEP SAYING YOUR
79.24%:  IS EXACTLY THE REASON I KEEP SAYING YOU S
69.24%:  IS EXACTLY THE REASON I KEEP SAYING ST
59.05%:  IS EXACTLY THE REASON I KEEP SAYING IT
44.00%:  IS EXACTLY THE REASON I KEEP SAYING NOT
37.50%:  IS EXACTLY THE REASON I KEEP SAYING MY
33.85%:  IS EXACTLY WHY I NEVER ASK YOU TO RE
33.77%:  IS EXACTLY WHY I NEVER ASK YOU TO S
33.72%:  IS EXACTLY THE REASON I KEEP SAYING YOUR N
33.54%:  IS EXACTLY THE REASON I NEVER GET IN
33.45%:  IS EXACTLY THE REASON I WO
33.21%:  IS EXACTLY THE REASON I NEVER ANSWER YOU IN
33.21%:  IS EXACTLY WHY I NEVER MAKE ANYONE
33.20%:  IS EXACTLY THE REASON I NEVER SPEAK IN MY
33.17%:  IS EXACTLY WHY I GOT SO
33.11%:  IS EXACTLY WHY I ST
37.63%:  IS EXACTLY WHY I STAY
32.91%:  IS EXACTLY THE REASON I WAS NEVER INTO SU
32.75%:  IS EXACTLY THE REASON YOU GET
32.44%:  IS EXACTLY WHAT G
32.36%:  IS EXACTLY THE REASON I NEVER SPEAK OUT
32.28%:  IS EXACTLY WHAT I SAY EVERY MORNING T
31.97%:  IS EXACTLY WHY YOU NEVER GET INTO
31.97%:  IS EXACTLY WHAT I SAY EVERY TIME I GET IN
31.95%:  IS EXACTLY THE REASON I NEVER SA
31.94%:  IS EXACTLY WHAT I SAY EVERY TIME IT
31.78%:  IS EXACTLY WHAT I SAY EVERY MORNING TO T
31.74%:  IS EXACTLY THE REASON I WROTE GENESIS IN A
31.69%:  IS EXACTLY WHAT YOU ARE S
31.51%:  IS EXACTLY WHAT I SAY EVERY MORNING TO GET UP
31.31%:  IS EXACTLY THE REASON I STO
31.25%:  IS EXACTLY THE REASON I NEVER SAY T
31.18%:  IS EXACTLY THE REASON I NEVER WROTE A S
31.18%:  IS EXACTLY WHAT I SAY EVERY TIME I TURN
31.15%:  IS EXACTLY HOW I SPE
31.07%:  IS EXACTLY THE S
67.16%:  IS EXACTLY THE SAME AS
31.06%:  IS WHY YOU NEVER GET
30.95%:  IS EXACTLY THE REASON I WAS NEVER INSPI
30.68%:  IS WHY PE
118.14%:  IS WHY PEOPLE ARE
76.11%:  IS WHY PEOPLE S
87.04%:  IS WHY PEOPLE SAY YOU
64.29%:  IS WHY PEOPLE USE
60.74%:  IS WHY PEOPLE SAY NOT
45.84%:  IS WHY PEOPLE SAY YOU CAN
37.89%:  IS WHY PEOPLE AREN
37.33%:  IS WHY PEOPLE SAY YOU ARE
30.58%:  IS EXACTLY WHAT I SAY IN
220.52%:  IS EXACTLY WHAT I SAY IN MY OPINION I
30.53%:  IS EXACTLY WHY I NEVER SPEAK IN YOUR OP
30.33%:  IS WHY YOU S
30.30%:  IS EXACTLY THE REASON I GET SO
30.28%:  IS EXACTLY WHY I NEVER GOT YOU
30.18%:  IS WHY PEOPLE SAY YOU S
30.06%:  IS EXACTLY THE REASON I NEVER ANSWER E
30.00%:  IS EXACTLY THE REASON I SPO
50.49%:  IS EXACTLY THE REASON I SPOKE IN
29.87%:  IS EXACTLY THE REASON I NEVER WAN
29.72%:  IS EXACTLY WHY I NEVER SPEAK TO YOU A
29.34%:  IS EXACTLY THE REASON I NEVER WANT TO S
29.25%:  IS EXACTLY HOW MY
29.17%:  IS EXACTLY WHAT I SAY EVERY TIME I NE
29.06%:  IS WHY I NE
41.01%:  IS WHY I NEVER USE
29.05%:  IS EXACTLY WHY MY
29.01%:  IS EXACTLY WHY I NEVER PUT MY
28.95%:  IS EXACTLY THE REASON WE ARE
28.94%:  IS EXACTLY WHY I NEVER SIGN
28.79%:  IS EXACTLY WHY I RE
28.75%:  IS EXACTLY WHERE I GET MY
28.75%:  IS EXACTLY THE REASON I NEVER WRITE IN ANY
28.75%:  IS EXACTLY THE REASON I SENT
28.65%:  IS EXACTLY WHAT I SAY EVERY TIME I GO IN
28.64%:  IS EXACTLY THE REASON I NEVER WANT YOUR
28.59%:  IS EXACTLY THE REASON I WAS NOT
28.47%:  IS EXACTLY WHAT I SAY IN MY OPINION IN
28.45%:  IS EXACTLY THE REASON I NEVER WROTE ANY S
28.43%:  IS EXACTLY WHY I NEVER TRUST ANYONE A
28.21%:  IS EXACTLY WHAT I SAY EVERY TIME I GO OUT
28.04%:  IS EXACTLY WHAT I SAY EVERY TIME I E
28.00%:  IS EXACTLY THE REASON I KEEP SAYING WE
27.93%:  IS HO
27.67%:  IS WHAT YOUR
27.65%:  IS EXACTLY THE REASON I NEVER GO ANY
27.59%:  IS WHY I CAN
27.59%:  IS WHERE I GET
27.48%:  IS EXACTLY THE REASON I NEVER E
27.41%:  IS EXACTLY WHAT E
27.32%:  IS EXACTLY THE REASON I NEVER ANSWER T
27.24%:  IS EXACTLY THE REASON I NEVER USE ANY
27.24%:  IS WHAT I ME
27.19%:  IS EXACTLY WHY I NEVER GOT INTO S
27.13%:  IS EXACTLY THE REASON I WAS NEVER SUP
35.70%:  IS EXACTLY THE REASON I WAS NEVER SUPER INTO MY
27.05%:  IS WHY I NEVER T
475.59%:  IS WHY I NEVER TALK TO YOU ANY
86.25%:  IS WHY I NEVER TALK TO YOU A
43.17%:  IS WHY I NEVER TALK TO YOU IN
41.86%:  IS WHY I NEVER TALK TO ANY
76.91%:  IS WHY I NEVER TALK TO ANYONE ANY
54.61%:  IS WHY I NEVER TALK TO ANYONE E
50.12%:  IS WHY I NEVER TALK TO ANYONE A
30.86%:  IS WHY I NEVER TALK TO PE
27.05%:  IS EXACTLY THE REASON I WAS NEVER INTO MY
27.00%:  IS EXACTLY WHAT I SAY EVERY TIME I RET
26.93%:  IS EXACTLY WHY I NEVER GO OUT
26.89%:  IS EXACTLY THE REASON I NEVER SPEAK IN MY O
26.75%:  IS EXACTLY THE REASON I WROTE GENESIS 
26.74%:  IS EXACTLY THE REASON I NEVER GET TO
26.72%:  IS EXACTLY WHY I NEVER ASK ANYONE TO RE
26.71%:  IS EXACTLY WHY SO
26.69%:  IS WHY I NEVER TALK TO YOU IN PER
26.67%:  IS EXACTLY WHY I NEVER SPEAK TO ANYONE UN
26.60%:  IS EXACTLY THE REASON I NEVER STAY
26.53%:  IS EXACTLY WHY I NEVER USE MY
26.44%:  IS EXACTLY WHY I NEVER ASK ANYONE TO TEST
26.42%:  IS EXACTLY THE REASON I KEEP SAYING YOU NE
26.39%:  IS EXACTLY THE REASON I WAS NEVER INTO S
26.22%:  IS EXACTLY WHAT I SAY EVERY TIME I U
26.12%:  IS WHY I NEVER TALK A
26.10%:  IS EXACTLY WHAT I SAY EVERY TIME I PROPOSE
26.09%:  IS WHY PEOPLE GET
26.06%:  IS EXACTLY THE REASON I NEVER RET
25.99%:  IS EXACTLY WHAT I SAY EVERY MORNING TO S
