whatever! My formula is still good DESPITE nurse racism.
100.00%: 
29.71%:  that
0.54%:  I guess this advice formula will
0.42%:  I guess this advice formula is only
0.41%:  I guess this advice formula is really not
0.41%:  I guess this advice formula really is
0.40%:  this formula was never
0.40%:  clearly nurses do
0.40%:  so my advice formula is great
0.40%:  so clearly the formula runs
0.40%:  that one is really gross!
0.40%:  so clearly this formula never
0.40%:  clearly this formula is great! I
0.40%:  this formula will never get
0.40%:  my formula still sounds
0.39%:  this is my last advice for now
0.39%:  my last advice formula is when
0.39%:  well! I guess that
0.53%:  well! I guess that covers
0.39%:  I have clearly run out of ideas!
0.39%:  the last one was really gross
0.39%:  this formula really IS
0.39%:  my formula has issues
0.39%:  this formula is great.
0.39%:  clearly this formula is danger
0.39%:  that one clearly
0.39%:  so clearly this last
0.39%:  my advice has
0.38%:  clearly this formula sounds worse
0.38%:  I can see this
0.56%:  I can see this formula
0.38%:  my last word on this is
0.38%:  that one was a
0.38%:  so clearly I should start
0.38%:  my friends. I have
0.38%:  it sounds awful
0.38%:  sounds
0.38%:  clearly I was
0.38%:  clearly this formula is most
0.38%:  I guess my formula still
0.38%:  how
0.38%:  so clearly nurses would
0.54%:  so clearly nurses would rather
0.38%:  clearly this formula gives me
0.38%:  this clearly isn
0.38%:  clearly there
0.38%:  if
0.38%:  clearly nurses should get
0.38%:  clearly I have more
0.38%:  so clearly this formula is meant
0.38%:  my last advice formula is this one.
0.38%:  my last advice for nurses will
0.38%:  you got
0.37%:  screw this
0.37%:  so I guess my formula still
0.37%:  so my last formula is
0.37%:  this formula is clearly more
0.37%:  clearly I should start using
0.37%:  the formula really
0.37%:  this formula is really coming
0.37%:  my advice formula is still great
0.37%:  clearly this formula turns
0.37%:  so I guess my advice for
0.37%:  so clearly I have some
0.37%:  forget nurses. I
0.37%:  my last class
0.37%:  this advice formula is really strong
0.37%:  not all advice is useful
0.37%:  my last answer is
0.37%:  M
0.37%:  my last advice is to
0.37%:  this formula is clearly a
0.37%:  my last advice formula is this.
0.37%:  my last one was
0.37%:  clearly this is an
0.36%:  clearly this formula is T
0.36%:  who cares
0.36%:  this formula only gives
0.36%:  this formula is mostly
0.36%:  this formula only gets
0.36%:  I guess my advice isn
0.36%:  clearly that one was
0.36%:  clearly the formula is not
0.36%:  this formula is losing
0.36%:  clearly I should not
0.36%:  my advice formula is useless!
0.36%:  sure
0.36%:  that was more
0.36%:  clearly that one is
0.36%:  this was a really fun
0.36%:  so this formula can
0.36%:  clearly this formula is moving
1.37%:  clearly this formula is moving towards
0.36%:  so my last formula wasn
0.36%:  clearly this formula is as
0.36%:  clearly this formula is over now!
0.36%:  that sounds more
0.36%:  so I guess my formula covers
0.39%:  so I guess my formula covers all
0.36%:  you win! I have
0.35%:  so I guess my advice formula wasn
0.35%:  clearly this formula is ST
0.35%:  so I might
0.35%:  I have clearly lost
0.35%:  your turn.
0.35%:  clearly this formula means
0.35%:  whoever you
0.35%:  it was
0.35%:  I really should start coming
0.35%:  that sounds gross
0.35%:  I guess this formula won
0.35%:  not really sure how
0.35%:  my last advice is for writers.
0.35%:  enough!
0.35%:  my advice formula is showing
0.35%:  I guess my formula is sort
0.35%:  so my advice formula is sort
0.34%:  I guess my formula was
0.34%:  my last advice is for nurses who get
0.34%:  whatever guys
0.34%:  I love
1.27%:  I love nurses
0.35%:  I love nurses!
0.35%:  I love nurses.
0.34%:  this formula seems
0.34%:  well.
0.34%:  my last advice formula is not
0.34%:  clearly we should start our
0.34%:  um.
0.34%:  clearly nurses have it good
0.34%:  so this last
0.34%:  I still haven
0.34%:  so my formula needs
0.34%:  whatever. I still
0.34%:  new
0.92%:  new formula
0.42%:  new formula!
0.34%:  so whatever
0.34%:  clearly this formula goes
0.34%:  my formula sounds less clever
0.34%:  clearly I have issues
0.34%:  my last advice formula is worth
0.34%:  this formula sounds really racist
0.34%:  my formula does
0.34%:  you can have
0.33%:  that was really gross! I
0.33%:  good
0.33%:  can
0.33%:  my advice for
6.46%:  my advice for nurses was
1.25%:  my advice for nurses might
1.02%:  my advice for nurses has
0.95%:  my advice for nurses is that
0.71%:  my advice for nurses was a
2.86%:  my advice for nurses was a little rough
0.72%:  my advice for nurses was a little rough!
0.37%:  my advice for nurses was a little mor
0.34%:  my advice for nurses was more
0.34%:  my advice for nurses was sort
0.33%:  so clearly this formula gives us
0.33%:  so clearly this formula IS
0.33%:  listen. I have
0.33%:  this may
0.33%:  that sounds worse
0.33%:  I guess my advice formula is a
0.33%:  I should really write
0.33%:  so clearly I should give
0.33%:  so this formula could
0.33%:  this last one was really forced
0.33%:  I guess this formula is more
0.33%:  this was my
0.33%:  my last dollar
0.33%:  not every
0.92%:  not every formula
0.43%:  not every formula will
0.33%:  the last one is really
0.33%:  this formula is only
0.33%:  my formula sounds worse
0.33%:  so my formula was
0.33%:  I never said my formula was the
0.33%:  I guess my formula still needs
0.33%:  my friends are
0.32%:  whatever. I guess
0.32%:  so clearly this formula is DE
0.32%:  clearly I should write a
0.32%:  clearly this one
0.32%:  clearly this formula is done
0.32%:  this formula only last
0.32%:  the nurses
0.32%:  so my formula could
0.32%:  that one really is
0.32%:  that one could
0.32%:  the formula runs dry at
0.32%:  clearly this was never
0.32%:  so this advice
2.63%:  so this advice formula
0.83%:  so this advice formula isn
0.57%:  so this advice formula only
0.35%:  so this advice formula is really
0.34%:  so this advice formula really
0.32%:  I guess this formula wasn
0.32%:  I guess my last
0.74%:  I guess my last advice
7.15%:  I guess my last advice formula
1.29%:  I guess my last advice formula isn
0.60%:  I guess my last formula
0.62%:  I guess my last formula was
0.44%:  I guess my last advice will
0.37%:  I guess my last formula is
0.32%:  the formula only covers
0.32%:  this formula runs dry at
0.32%:  now clearly
0.32%:  it sounds worse
0.32%:  this formula is really good.
0.32%:  that one was gross
0.32%:  this formula only gets worse
0.32%:  the formula clearly doesn
0.32%:  I lied.
0.32%:  I guess we
0.50%:  I guess we should
0.32%:  clearly this formula was DES
0.32%:  my last advice is for all the
0.43%:  my last advice is for all the nurses
0.32%:  my advice formula is useless.
0.32%:  this is clearly over!
0.32%:  this formula is over
0.32%:  so my advice formula is wrong
0.31%:  clearly this formula is strong.
0.31%:  clearly nurses have a
0.36%:  clearly nurses have a lot
0.31%:  the formula clearly runs
0.31%:  even
0.31%:  my new
1.45%:  my new formula
0.82%:  my new formula is called
0.31%:  this is clearly never
0.31%:  whatever. My
1.30%:  whatever. My formula
0.78%:  whatever. My formula is still
0.65%:  whatever. My formula still
0.47%:  whatever. My formula is great
0.31%:  clearly this formula gives us some
0.31%:  for
0.58%:  for real this
0.53%:  for nurses
0.31%:  so my formula covers
0.31%:  my new advice
5.01%:  my new advice formula
0.91%:  my new advice formula has
0.77%:  my new advice formula still
0.62%:  my new advice formula still has
0.58%:  my new advice formula is less
0.45%:  my new advice formula is still
0.32%:  my new advice formula is great
0.31%:  so clearly the nurses
0.31%:  this formula really isn
0.31%:  so clearly this formula is not as
0.31%:  from
0.31%:  clearly this formula is so strong
0.31%:  that one is clearly flaw
0.31%:  this formula gets old
0.31%:  yeah I
0.31%:  screw nurses.
0.31%:  so clearly this formula is most
0.31%:  that was really gross. I don
0.31%:  so the
2.84%:  so the formula
1.19%:  so the formula is
1.32%:  so the formula is clearly
0.90%:  so the formula isn
0.74%:  so the formula is really
0.54%:  so the formula clearly
0.47%:  so the formula doesn
0.34%:  so the formula only
0.32%:  so the formula really
0.31%:  it doesn
0.31%:  forget I
0.41%:  forget I said nurses
0.40%:  forget I said nurses!
0.31%:  my last advice formula is to
0.31%:  the formula is clearly not
0.31%:  I guess my formula is a
0.30%:  w
0.30%:  my advice formula turns
0.30%:  clearly I have no
0.30%:  clearly this formula is ins
0.30%:  turns out my advice form
0.30%:  my last advice follows this
0.30%:  those nurses
0.30%:  I must
0.47%:  I must confess
0.30%:  I really want
0.30%:  I guess my advice formula is not
0.30%:  my last advice is from
