id,alt_text,header,transcript
1051,"Afterwards, Antonio Tony said, 'My credit card debt and car payments are two sides of the same coin', and continued, 'much like these breasts which I now see before me.' Amelia paused. 'I cannot help but wonder about your name', said Amelia.",,"T-Rex: ""On The Menu, by T-Rex."". Ahem. ""As Amelia and Antonio Tony who are the two members of the wait staff in this story took off their clothes, they realized that sexual intercourse was probably 'On The Menu' tonight!""
T-Rex: ""'Excellent!' they said, in unison!""
T-Rex: ""Well, almost in unison. Antonio Tony, the man, was a little slow on that. It was because he was thinking of his taxes. '10 thousand dollars in taxes!', he thought, 'That is a lot of money. Where am I going to find that money?' Then Antonio Tony and Amelia had sexual relations.""
T-Rex: ""The sexual intercourse was cut short because Tony kept muttering 'Where am I gonna find the 10 thousand dollars though?'""
Utahraptor: What are you reciting, T-Rex?
T-Rex: My new book!
T-Rex: It's called ""On The Menu: Sexy Stories for People With Problems"" and in all the stories the sex gets derailed because the people are worried about their Problems. The cover looks like a menu because it ties in well with the title. Now, if you'll allow me to continue?
Utahraptor: Of course!
T-Rex: ""One day a couple was having sex but their car window was broken. The man thought a kid broke it. Instead of sex they wondered how it happened. I, the narrator, was the one who did it! They never found out and I won the lottery! The end!!""
T-Rex (punchline): Okay even I think that one's not so good.
"
1997,"the kids leave, but then they came back... WITH KNIVES... CHAU FROM THE ACCLAIMED COMIC SERIES ""SCOTT PILGRIM"", READ IT TODAY",,"T-Rex: Last night I dreamed I was out on a picnic table with all my personal electronics, and this group of kids thought it was a garage sale!
T-Rex: Okay YES I KNOW DREAMS ARE STUPID, but bear with me!
T-Rex: So these kids are picking up my stuff, but suddenly it's not my stuff, it's my friends' stuff, so I can't just give it away. And when I say ""it's not for sale"", they're grabbing them tighter and saying ""Come on, I'm sure it is."" So I yell for my friends and when they show up the kids leave, but then they come back... WITH KNIVES.
T-Rex: And THEN, I woke up!
Utahraptor: I thought you said this was a good story!
T-Rex: It is!
T-Rex: THE STORY DOESN'T END THERE. I used IMAGINATION to see what happens next! We defeated the kids using punches, and then you were secretly one kid on another kid's shoulders wearing a Utahraptor suit, so I had to punch you too!
Utahraptor: Huh. I guess I prefer your unconscious mind's stories to your conscious efforts?
T-Rex: My conscious mind says ""ouch"" but my unconscious says... ""hey thanks me too""?! What the hell, unconscious!!
T-Rex: We're ALL on the same team, and you need to stay CONSCIOUS of that!
T-Rex (punchline): OH, SICK BURN
Off panel: So, um... I guess I'll talk to you later huh
"
2246,"that big bang one is the Prime Directive, the Double Prime Directive, AND the Combining Prime Directive",,"T-Rex: Gosh but it's sometimes hard to know what the right thing to do is! If only there were a series of rules to tell me what to do in every situation!
Narrator: DEONTOLOGY COMIX
T-Rex: Deontology, Dromiceiomimus! It's where you follow rules to act ethically.
Dromiceiomimus: So like, ""Thou shalt not kill?""
T-Rex: Exactly! Once I have the rules chosen, I no longer have to worry if a given act is ethical or not, I just have to make sure it follows the rules! This leaves me free to think about other stuff, like how cute would it be if cats and dogs had puppens?
T-Rex: Maybe they'd be called kuppies??
Utahraptor: So thou is totally not going to kill, right?
T-Rex: Yep!
Utahraptor: Okay, here's one dude who's going to go back in time and stop the Big Bang from exploding, and he's not going to kill a thousand dudes. He's going to kill ALL LIFE THAT HAS OR EVER WILL BE. The only way to stop him is to kill him. If you keep with your rule and let him go, everybody dies! T-REX, YOU ARE A MONSTER.
T-Rex: Oh, no bigs, I have another rule that says it's okay to kill if I really want to. More precisely, it says ""harm may be done if it's an effect of a greater good""!
T-Rex (punchline): But come on, if you want to mess with the Big Bang I'ma shoot you in the head!!
"
1828,"this is my worst comic ever because everyone reading it at work just got reminded to get back to work.  ""FRIIIG, THANKS A LOT RYAN"" they're saying.  i'm saying that too, actually",,"T-Rex: Wouldn't it be amazing to write down everything you are and everything you know into a book, so that someone reading it could know you as well as you know yourself?
T-Rex: Hey!
T-Rex: I'll save you the trouble; the answer is ""OBVIOUSLY, YES IT WOULD BE""!
T-Rex: So um, why hasn't anyone done this already?
Dromiceiomimus: Because it's probably not even POSSIBLE to capture an entire person in a book, and even if it were, there's just too much information? I'm not convinced our brains have enough space to store ourselves PLUS all of another person at the same time!
T-Rex: No problem! Write your own book, and you can restore yourself from backup by reading it after!
Utahraptor: But then I'd be backup me, and I'd have no memories of reading the other book!
T-Rex: ...TRUE.
T-Rex: Okay, so record yourself on camera when you've read my book, and then when you restore from your book you can watch the footage and say ""Hey, I made a pretty sweet T-Rex. Maybe I should read that book again.""
Utahraptor: ...Don't you have, like - a job you should be at right now?
T-Rex (punchline): ...Don't you?
T-Rex and off panel: Friiiig
"
1258,"the brilliant thing about loheta is that if anyone gets mad at his book's content, they have only themselves to blame, as they constructed the story they're reading! reputation: salvaged.",,"T-Rex: Today is a good day I think for fixing my life! I'll do it by putting out a new, less controversial book: ""LOLITA III: This Time, She's 30"".
T-Rex: Nobody can argue with that!!
T-Rex: In my story there's a new Lolita, and she's thirty, and she goes out with a man who's also thirty and from a similar economic and social background! They get married and have some okay times. Years later, all the characters die of old age!
Dromiceiomimus: It seems a bit - conservative!
T-Rex: I could make some changes! But did you notice how everyone was clearly of the age of majority though?
Narrator: THE BOOK IS PUBLISHED:
Utahraptor: T-Rex, your new book is basically terrible!
T-Rex: *gasp*
Utahraptor: I'm serious! The ""new Lolita"" has nothing to do with the old one, and nothing interesting happens except when ""LoHEta"" shows up, explains that he's the new manly male Lolita, and then leaves the narrative entirely.
T-Rex: He shows up again in the epilogue! Utahraptor! You didn't even finish my book!!
T-Rex: At the end, Loheta addresses the reader directly and explains that if you replace ""she"" with ""he"" and ""hers"" with ""definitely his"" in the ORIGINAL Lolita, you can read all about his adventures!
T-Rex (punchline): It's called ""setting up a spinoff""; look it up?
"
2407,"""given up on studying their own fleshy bodies"" is a phrase that can preface many professions.  artists have given up on studying their own fleshy bodies to draw pictures of other people's instead!  astronauts have given up on studying their own fleshy bodies and instead prefer to spend their time floating in deadly space.",,"T-Rex: Okay so I didn't help anyone learn about computers yesterday. I MESSED UP. But we will fix that today! YES. Okay!
T-Rex: *ahem*
T-Rex: What IS a computer?
T-Rex: Scientists have studied them for years to come up with an answer to this question. These highly specialized scientists, known as ""computer scientists"", have given up on studying their own fleshy bodies to instead study the hard transistors, the finely sculpted semiconductors, and the gleaming metal bodies of our strange electronic offspring.
Utahraptor: This sounds kinda - sexy?
T-Rex: Damn dude, you know it is!
T-Rex: Computers may have quad-core processors instead of quadriceps, but to the computer scientist these ""quads"" are just as alluring as the muscles of any flesh Adonis!
Utahraptor: So what IS a computer?
T-Rex (punchline): PURE FREEBASED SEX.
"
596,utahraptor's lawyer/violinist/teacher/authority figure/whatever joke profoundly misunderstands the purpose of handicapped spaces.  or does he really think that people lose some mobility when they become a PROFESSIONAL MEMBER?  he almost certainly does not.,,"T-Rex: What do you call fifteen PROFESSION MEMBERS buried up to their necks in sand?
T-Rex: Not enough sand!
Dromiceiomimus: Oh! Why don't PROFESSION MEMBERS play hide and seek?
T-Rex: Why?
Dromiceiomimus: Because no one will look for them!
T-Rex: Hah! Ouch for PROFESSION MEMBERS, and their stereotype!
Utahraptor: Hey, are we telling PROFESSION jokes?
T-Rex: We are!
Utahraptor: Okay, why do PROFESSION MEMBERS leave AN IDENTIFYING INSTRUMENT OF THEIR PROFESSION on the dashboard of their cars?
T-Rex: Why?
Utahraptor: So they can park in handicapped spaces!
T-Rex: Hah hah! Oh, those PROFESSION MEMBERS!
T-Rex (punchline): They're not like us!
"
1827,QUICK QUESTION: WHY DIDN'T ANYONE TELL ME YOU COULD JUST ASK FOR SEXY TIMES,,"T-Rex: There's a species of side-blotched lizards where the males have coloured throats, and they're either orange, blue, or yellow! The orange ones are biggest, the blue ones are medium sized, and the yellow ones are tiniest.
T-Rex: I PROMISE THIS STORY TOTALLY GETS BETTER.
T-Rex: Okay, so what's awesome is that the big orange lizards are toughest: they beat up the blue lizards and steal their girlfriend! But the blue lizards can defend against the smaller yellow ones, AND they form stronger relationships. Meanwhile, the yellow ones are so small that they can sneak in and sex up the orange lizard's girlfriend while he's out fighting! The blue lizard's sweeties are in committed relationships though, so Yellow can't seduce them away.
Utahraptor: So orange beats blue, blue beats yellow, and yellow beats orange!
T-Rex: Exactly!
T-Rex: Or in other words: Rock Paper Scissors. So awesome! These lizards are playing it endlessly, only they're way more hardcore than us, because they're PLAYING FOR SEX.
Utahraptor: I've played Rock Paper Scissors for sex.
T-Rex: ...Okay that wasn't where I saw this conversation going but yeah let's do this.
Narrator: SOON:
T-Rex: So you REALLY chose paper and he chose rock and then you had sexy times?
Off panel: For the third time: YES.
T-Rex: REALLY?? It was that easy? Because -
T-Rex (punchline): - because stories like this make me worry I'm living my life wrong
"
2080,"there!  now each person who wrote me an email about ""they"" being singular should be happy.  i... hope this was exactly what bitches was looking for?",,"T-Rex: Okay, so APPARENTLY a singular, gender-neutral ""they"" has a long and proud history.
T-Rex: APPARENTLY, even Willy T. Shakespeare himself used ""they"" this way!
T-Rex: And APPARENTLY, I'm not unarguably in the right when I say that ""they"" is always plural. FINE. Everyone makes mistakes; I suppose it's fair that I'd FINALLY get my very first turn at bat. But that doesn't mean English is getting off scot free! We still need an UNCONTENTIOUS gender-neutral pronoun.
Dromiceiomimus: What happened to ""thon""?
T-Rex: In a shouted sentence?
T-Rex: THON NOT KNOW WHY NOBODY LIKE THON
Utahraptor: There are still some other alternatives you haven't considered, T-Rex!
T-Rex: Such as?
Utahraptor: How about ""yo""? As in, ""Yo doesn't know what yo thinks about this."" Or ""bitches"", as in ""Bitches didn't derive that function properly"". Men can be bitches!
T-Rex: Man. Men CAN be bitches.
T-Rex: Bitches don't even know.
Narrator: LATER:
T-Rex (punchline): Bitches is singular now, tell bitches
"
1224,all except dr. sensible are newly-graduated medical students known to me.,,"T-Rex: WHAT IS THE DEAL WITH MY ANKLE.
T-Rex: HOLY CRAP.
Narrator: BACKSTORY: T-REX HAS HURT HIS ANKLE!
Dromiceiomimus: Maybe you should go see a doctor, T-Rex!
T-Rex: Dromiceiomimus, you have stumbled upon my shameful secret! I - I don't have a family doctor!
Dromiceiomimus: Hey, it's no big deal. You can go to a clinic, or you can look up doctors in your area and make an appointment.
Narrator: LATER:
Utahraptor: So, how's your ankle?
T-Rex: Utahraptor! It's so awesome!
T-Rex: I mean, my ankle still hurts, but I was looking up doctors in the area and there's so many that have awesome names. There's a Doctor Plumber! A Doctor Dinner! A Doctor SENSIBLE.
Utahraptor: Which one are you going to?
T-Rex: Um, the best one of them all??
Narrator: LATER:
T-Rex: Dr. Doctor! What's the latest on my ankle?
Off panel: As I said before, I believe you may have a hairline fracture.
T-Rex: Dr. Doctor!
T-Rex (punchline): I like your name
"
2135,hey you wanna come up for coffee 88_88,,"T-Rex: What've we got for punctuation? Basically it's :'?.,;""! and a bunch of brackets, right?
God: HOW ARE YOU DOING THAT
T-Rex: We can do better!
T-Rex: And YES, novel punctuation has been proposed before, and usually they're combinations of existing marks: question plus exclamation gives you the interrobang! Snooze! Comma plus exclamation gives you the exclamation comma. Oh, sorry, I just FELL ASLEEP because of how boring these punctuation marks are.
T-Rex: I just RHETORICALLY FELL ASLEEP.
Utahraptor: You propose something different?
T-Rex: Absolutely!
T-Rex: OFF THE TOP OF MY HEAD: punctuation that says ""I'm saying this literally but I'd love for you to read into it"". So I could say ""Hey, we should hang out more"" or ""The eagle cries at midnight"" and folks would pause and say ""YES. YES WE SHOULD/IT DOES.""
Utahraptor: You'll need a mark for this punctuation!
T-Rex: No problem! It's a tarantula staring intently at you, all 88_88
Off panel: Why - why a tarantula?
T-Rex (punchline): I'm sorry, are you saying when you're inventing punctuation you DON'T want to make it as badass as possible??
"
1336,You've got questions. We've got intercourse.,,"T-Rex: Whenever I think of the phrase ""good to the last drop"" I think of friggin' Maxwell House Coffee.
T-Rex: I don't even drink coffee!
T-Rex: They have lexicalized the phrase AND associated it in my mind with their stupid branding!
T-Rex: And if someone says ""can't get enough of that Sugar Crisp"" NOT ONLY do I think of Sugar Crisp, I think of the jingle too!
Dromiceiomimus: Oh, actually, about that: they're rebranding it, T-Rex. It's now referred to as ""Golden Crisp"" in most major markets.
T-Rex: WHAT? They store a phrase in my sparkling mind and now they're abandoning it? I call FRIGGIN' SHENANIGANS on that!
Utahraptor: So what are you going to do?
T-Rex: Um, refer to it as ""Sugar Crisp"" till the day I die??
T-Rex: Except THEN I'll just be reinforcing their original branding. Okay, tell you what: I can't forget the slogans but I CAN substitute their brands with something I do want to remember, like intercourse!
Utahraptor: ""Can't get enough of that intercourse""?
T-Rex: Exactly! ""Silly rabbit! Intercourse is for kids."" Wow!
T-Rex (punchline): That idea backfired incredibly quickly!
"
2027,"good thing i explain my scams in full to everyone before implementing them, huh",,"T-Rex: First, I email tons of people the winners of tomorrow's horse race!
T-Rex: Only I don't really know who's gonna win tomorrow's horse race!
T-Rex: So I email different names to tons of different people, knowing that there'll be ONE groups that gets the correct winner, showing them that I apparently have FUTURE HORSE KNOWLEDGE. I then repeat the process on the winners over and over, until I've got a small group that's seen me be right EVERY SINGLE TIME. Then I say ""enough freebies, you gotta pay me now"" and have become a scam artiste!
Utahraptor: It's a nice scam, but I don't pal around with scammers so you'll need to find a new bestie!
Narrator: ENDING ONE:
T-Rex: Wait, does ""bestie"" mean ""best friend"" or is it a contraction of ""best tie""?
Utahraptor: ""Best friend"".
T-Rex: Well! May I be the first to say:
T-Rex: Noooooooo
Narrator: ENDING TWO:
T-Rex: The other ending has leaked over into this one!
T-Rex: Utahraptor!
T-Rex (punchline): I still really want to be pals!!
"
1343,the serial numbers are included in the comic because this way you'll know if you found the right one!,,"T-Rex: Today is a good day I think...
T-Rex: ... for a treasure hunt!
Dromiceiomimus: Sweet! So what are we looking for, T-Rex?
T-Rex: Okay so in 1958 these two US Air Force planes were doing training exercises with a real nuclear bomb for some reason, and they crashed into each other! And one of the planes was so damaged that it had to jettison its bomb above a bay in Georgia!
Dromiceiomimus: We're searching for a nuclear bomb!?
T-Rex: Serial number 47782, baby!
Utahraptor: This bomb was missing its nuclear capsule though, T-Rex! It wouldn't explode.
T-Rex: Aw man! NEVERMIND.
Utahraptor: Yeah, where you REALLY want to look is beneath the ice in Greenland. Another crash there had four nuclear weapons involved, but only debris from three was recovered. There was evidence the fourth - or parts of it - had been so heated by the resulting fire that it melted down through the ice. Serial number 78252!
God: T-REX LISTEN I CHECKED AND NOTHING GOOD CAN POSSIBLY COME FROM YOU HAVING ACCESS TO A NUCLEAR WEAPON
T-Rex (punchline): Perhaps you missed the scenario in which I use it to blow up... pollution?
God: SEE
God: THIS IS WHAT I'M TALKING ABOUT
"
870,"you'd think a dude with such good and practiced stomping skills would focus more on his feet than his fists, but sometimes all we can focus on is our weak points.  THAT IS SOME DEEP AND MEANINGFUL STUFF RIGHT THERE DUDES AND LADIES",,"T-Rex: In the past I have called my fists ""Knuckles and Chuckles"", and then later upgraded to the truly compelling ""Rocco and Choco, the Twins! Who! Punch!"" but now I have an even better nickname!
T-Rex: The CHINESE BUFFET!
T-Rex: That way I can menace someone with my fists and say ""Do you WANT to visit the Chinese Buffet? It's all you can eat TONIGHT, baby!""
Dromiceiomimus: All you can eat?
T-Rex: All you can eat KNUCKLE SANDWICHES! The Chinese Buffet serves Chinese food AND knuckle sandwiches to those who are cruisin' for a steaming plate of them. I cannot stress this enough: it's all you can eat.
T-Rex: I can ALSO say ""Looks like it's LADIES' NIGHT at the Buffet tonight!"" Hee hee!
Utahraptor: For when you... beat up women?
T-Rex: No, for after I beat up a dude and want to imply that he's actually a woman, in case he's the sort of guy who gets mad at that! Although I COULD also use it if I fought women - like, a cabal of sexy, yet EVIL, librarians!
Utahraptor: You will be prepared if that happens! The only problem is: you're not Chinese?
Narrator: LATER:
T-Rex: God! Can you make me Chinese so that my fist nickname makes sense?
God: ONLY IF YOU PROMISE TO PUNCH A GUY INTO THE OCEAN AND SAY AT THE BUFFET WATER IS ON THE HOUSE
T-Rex (punchline): Oh that is so a deal.
"
1879,TOMORROW: MYSTERIOUS NO MORE??,,"Narrator: THE WORLD OF TOMORROW
T-Rex: We detect evidence of alien life tomorrow: a signal from a distant solar system. It starts out simple: numbers, counting, that sort of thing!
T-Rex: And then it starts to get more advanced, encoding mathematics!
T-Rex: And then: instructions for decoding images that are about to be transmitted. In a few months we go from hoping we're not alone to knowing that intelligent life is out there, and they're about to show us what they look like!
Dromiceiomimus: And what do they look like?
T-Rex: WHO KNOWS?
T-Rex: We're at the very frontier of imagination here, Dromiceiomimus!!
Utahraptor: Maybe they look like... puppies?
T-Rex: Utahraptor, please! NO WAY aliens look like puppies!
Utahraptor: For generations we've wondered if we're alone in the universe; today we know the answer: no. We're not alone. Life is out there, and it's puppies. Our universe is teeming with puppies.
T-Rex: ...
T-Rex (punchline): Fine, I accept this version of events
Narrator: THE END
"
