I DON'T KNOW WHO I AM ANYMORE.
      0 100.00%: 
      1 27.10%:  I
    190 19.32%:  OH MAN I'M TOO WEIRD NOW.
    191 19.30%:  OH MAN I'M KINDA TOO ERO
    192 19.29%:  OH MAN I'M WAY TOO EROD
    193 19.28%:  OH MAN AM I T
    194 19.28%:  OH MAN I'M NOT W
    195 19.27%:  OH MAN I'M NOT D
    196 19.25%:  OH MAN. I'M IN T
    197 19.24%:  OH MAN I'M KINDA WON
    198 19.23%:  OH MAN I'M NOT DO
    199 19.23%:  OH MAN I'M NOT IN
    200 19.22%:  OH MAN I'M NAKED NOW.
    201 19.22%:  OH MAN I'M A W
    202 19.21%:  OH MAN AM I IN
    203 19.21%:  OH MAN I'M NOW DO
    204 19.19%:  OH MAN W
    205 22.84%:  OH MAN WOW I
    206 22.56%:  OH MAN WOW I'M IN
    207 22.26%:  OH MAN WOW I'M A
    208 22.08%:  OH MAN WOW I'M T
    209 22.03%:  OH MAN WOW I'M NOT
    210 21.58%:  OH MAN WOW I'M RE
    211 20.89%:  OH MAN WOW I'M A RE
    212 20.84%:  OH MAN WOW I'M IN T
    213 20.70%:  OH MAN WOW I'M A D
    214 20.52%:  OH MAN WOW I'M IN A
    215 20.03%:  OH MAN WOW I'M D
    216 19.98%:  OH MAN WOW I AM
    217 19.85%:  OH MAN WOW I RE
    218 19.76%:  OH MAN WOW I'M NOT A
    219 19.59%:  OH MAN WOW I NE
    220 19.56%:  OH MAN WOW I'M DY
    221 19.52%:  OH MAN WOW I'M NOT RE
    222 19.39%:  OH MAN WOW I'M ON
    223 19.38%:  OH MAN WOW I'M DO
    224 19.38%:  OH MAN WOW I'M TR
    225 19.37%:  OH MAN WOW I'M NE
    226 19.35%:  OH MAN WOW I'M R
    227 19.35%:  OH MAN WOW I'M K
    228 20.48%:  OH MAN WOW I'M KINDA T
    229 20.47%:  OH MAN WOW I'M KINDA N
    230 19.99%:  OH MAN WOW I'M KINDA RE
    231 19.32%:  OH MAN WOW I'M E
    232 19.32%:  OH MAN WOW I'M TAK
    233 19.30%:  OH MAN WOW I'M N
    234 21.42%:  OH MAN WOW I'M NAKED IN
    235 19.83%:  OH MAN WOW I'M NAKED R
    236 19.52%:  OH MAN WOW I'M NAKED I
    237 19.50%:  OH MAN WOW I'M NAKED ON
    238 19.36%:  OH MAN WOW I'M NAKED NO
    239 19.29%:  OH MAN WOW I'M AT
    240 19.29%:  OH MAN WOW I'M O
    241 19.28%:  OH MAN WOW I'M NO
    242 19.28%:  OH MAN WOW I'M TO
    243 19.37%:  OH MAN WOW I'M TOO E
    244 19.27%:  OH MAN WOW I'M KIND
    245 19.26%:  OH MAN WOW I'M AN
    246 19.26%:  OH MAN WOW I'M ONE
    247 19.20%:  OH MAN WOW I'M TOO A
    248 19.18%:  OH MAN I RE
    249 19.18%:  OH MAN I'M EAT
    250 19.17%:  OH MAN I'M A N
    251 19.16%:  OH MAN I'M NOT ON
    252 19.15%:  OH MAN I'M NOT READ
    253 19.15%:  OH MAN I'M NOT R
    254 19.14%:  OH MAN I'M A DE
    255 19.13%:  I AM
    256 19.12%:  OH MAN I'M NOT E
    257 19.12%:  OH MAN I'M WAY W
    258 19.11%:  OH MAN I'M NOT O
    259 19.11%:  OH MAN D
    260 19.10%:  OH MAN I'M NOT Y
    261 19.10%:  I W
    262 19.10%:  OH MAN I'M A WE
    263 22.88%:  OH MAN I'M A WEIRDO
    264 20.14%:  OH MAN I'M A WEIRD O
    265 19.30%:  OH MAN I'M A WEIRD T
    266 19.09%:  OH MAN I'M NOT WR
    267 19.09%:  OH MAN I'M NOT N
    268 19.09%:  OH MAN I'M A K
    269 19.09%:  OH MAN I'M NOT AN
    270 19.09%:  OH MAN I'M AWE
    271 19.09%:  Y
    272 19.09%:  OH MAN IT
    273 19.08%:  OH MAN I'M A TE
    274 19.08%:  OH MAN I'M WEIRD TON
    275 19.08%:  OH MAN I'M NOT 
    276 19.07%:  OH MAN I'M NOT WE
    277 23.00%:  OH MAN I'M NOT WEIRD ANY
    278 20.28%:  OH MAN I'M NOT WEIRD A
    279 19.73%:  OH MAN I'M NOT WEIRD ON
    280 19.17%:  OH MAN I'M NOT WEIRD AN
    281 19.16%:  OH MAN I'M NOT WEIRD Y
    282 19.13%:  OH MAN I'M NOT WEIRD.
    283 19.11%:  OH MAN I'M NOT WEIRD O
    284 19.07%:  OH MAN I'M NOT DE
    285 19.07%:  OH MAN I'M A ONE
    286 19.07%:  OH MAN I'M IN D
    287 19.07%:  OH MAN I'M DROWN
    288 19.07%:  OH MAN I'M A RO
    289 19.07%:  OH MAN I'M IN W
    290 19.41%:  OH MAN I'M IN WON
    291 19.07%:  OH MAN WOW I'M KINDA R
    292 19.06%:  OH MAN I'M IN O
    293 19.06%:  OH MAN I'M A TR
    294 19.06%:  OH MAN ARE
    295 19.06%:  OH MAN I'M A 
    296 19.05%:  OH MAN I'M ARO
    297 19.05%:  OH MAN WOW I'M ON A
    298 19.05%:  OH MAN Y
    299 19.05%:  OH MAN WOW I'M KINDA O
    300 19.05%:  OH MAN I'M NOT WEIRD NO
    301 19.04%:  OH MAN I'M A DI
    302 19.04%:  OH MAN NO
    303 25.94%:  OH MAN NOW I'M T
    304 25.37%:  OH MAN NOW I'M A
    305 24.06%:  OH MAN NOW I'M RE
    306 23.92%:  OH MAN NOW I'M IN
    307 23.89%:  OH MAN NOW I'M D
    308 24.20%:  OH MAN NOW I'M DY
    309 23.59%:  OH MAN NOW I'M NOT
    310 23.43%:  OH MAN NOW I'M A D
    311 23.18%:  OH MAN NOW I'M DO
    312 22.38%:  OH MAN NOW I'M W
    313 24.27%:  OH MAN NOW I'M WAY TOO IN
    314 23.33%:  OH MAN NOW I'M WAY TOO E
    315 22.49%:  OH MAN NOW I'M WOR
    316 22.31%:  OH MAN NOW I'M TAK
    317 22.17%:  OH MAN NOW I'M IN T
    318 22.15%:  OH MAN NOW I'M IN A
    319 21.85%:  OH MAN NOW I'M R
    320 21.84%:  OH MAN NOW I W
    321 21.83%:  OH MAN NOW I'M K
    322 24.32%:  OH MAN NOW I'M KINDA WE
    323 23.91%:  OH MAN NOW I'M KINDA W
    324 22.15%:  OH MAN NOW I'M KINDA T
    325 21.88%:  OH MAN NOW I'M KINDA RE
    326 21.81%:  OH MAN NOW I'M ON
    327 21.79%:  OH MAN NOW I'M TR
    328 21.76%:  OH MAN NOW I'M N
    329 21.94%:  OH MAN NOW I'M NAKED I
    330 21.73%:  OH MAN NOW I'M A RE
    331 21.72%:  OH MAN NOW I'M NE
    332 21.72%:  OH MAN NOW I'M E
    333 21.66%:  OH MAN NOW I'M TO
    334 21.66%:  OH MAN NOW I'M O
    335 21.63%:  OH MAN NOW I'M AT
    336 21.62%:  OH MAN NOW I'M 
    337 21.62%:  OH MAN NOW I'M WE
    338 21.76%:  OH MAN NOW I'M WEIRD.
    339 21.71%:  OH MAN NOW I'M WEIRD ON
    340 21.61%:  OH MAN NOW I'M Y
    341 21.61%:  OH MAN NOW I'M AN
    342 21.61%:  OH MAN NOW I'M WAY TOO D
    343 21.60%:  OH MAN NOW I'M TE
    344 21.60%:  OH MAN NOW I'M KIND
    345 21.60%:  OH MAN NOW I'M DE
    346 21.59%:  OH MAN NOW I'M TOO E
    347 21.56%:  OH MAN NOW I'M TOO A
    348 21.49%:  OH MAN NOW I'M WAY TOO N
    349 21.36%:  OH MAN NOW I'M A DO
    350 21.35%:  OH MAN NOW I'M DOWN
    351 21.20%:  OH MAN NOW I'M WAY O
    352 21.18%:  OH MAN NOW I RE
    353 21.14%:  OH MAN NOW I'M NAKED.
    354 21.12%:  OH MAN NOW I'M A T
    355 21.06%:  OH MAN NOW I'M DRO
    356 21.05%:  OH MAN NOW I'M WAY TOO NER
    357 21.00%:  OH MAN NOW I'M WAY TOO RE
    358 20.97%:  OH MAN NOW I'M WAY IN
    359 21.42%:  OH MAN NOW I'M WAY INTO
    360 20.92%:  OH MAN NOW I'M KINDA R
    361 20.90%:  OH MAN NOW I'M DAN
    362 20.90%:  OH MAN NOW I'M WANT
    363 20.88%:  OH MAN NOW I'M AW
    364 20.86%:  OH MAN NOW I'M WAY TOO K
    365 20.90%:  OH MAN NOW I'M WAY TOO KE
    366 20.82%:  OH MAN NOW I'M WAY TOO R
    367 20.82%:  OH MAN NOW I'M INTO
    368 20.73%:  OH MAN NOW I'M WAY TOO DR
    369 20.73%:  OH MAN NOW I'M WAY TOO DE
    370 20.73%:  OH MAN NOW I'M WAY TOO DI
    371 20.72%:  OH MAN NOW I'M WAY TOO EN
    372 20.72%:  OH MAN NOW I'M WEIRD T
    373 20.71%:  OH MAN NOW I'M KI
    374 20.67%:  OH MAN NOW I'M TOO WE
    375 21.97%:  OH MAN NOW I'M TOO WEIRD A
    376 21.04%:  OH MAN NOW I'M TOO WEIRD.
    377 20.67%:  OH MAN NOW I'M KINDA E
    378 20.66%:  OH MAN NOW I'M KINDA TR
    379 20.64%:  OH MAN NOW I'M ON A
    380 20.61%:  OH MAN NOW I'M KINDA O
    381 20.57%:  OH MAN NOW I'M KINDA TO
    382 21.58%:  OH MAN NOW I'M KINDA TOO WE
    383 20.56%:  OH MAN NOW I'M KINDA ER
    384 20.56%:  OH MAN NOW I'M KINDA TE
    385 20.56%:  OH MAN NOW I'M KINDA Y
    386 20.53%:  OH MAN NOW I'M WAY TOO DIR
    387 20.52%:  OH MAN NOW I'M IN AW
    388 20.41%:  OH MAN NOW I'M A R
    389 20.40%:  OH MAN NOW I NE
    390 20.38%:  OH MAN NOW I'M NAKED T
    391 20.37%:  OH MAN NOW I K
    392 22.68%:  OH MAN NOW I KNOW I
    393 23.25%:  OH MAN NOW I KNOW I'M A
    394 22.06%:  OH MAN NOW I KNOW I'M T
    395 21.88%:  OH MAN NOW I KNOW I'M D
    396 21.85%:  OH MAN NOW I KNOW I'M DY
    397 21.81%:  OH MAN NOW I KNOW I'M A RE
    398 21.75%:  OH MAN NOW I KNOW I'M A D
    399 21.48%:  OH MAN NOW I KNOW I'M RE
    400 21.31%:  OH MAN NOW I KIN
    401 21.25%:  OH MAN NOW I KNOW I'M A T
    402 20.74%:  OH MAN NOW I KNOW I'M DO
    403 20.51%:  OH MAN NOW I KINDA RE
    404 20.47%:  OH MAN NOW I KNOW I'M R
    405 20.38%:  OH MAN NOW I KNOW I'M TR
    406 20.37%:  OH MAN NOW I KNOW I'M O
    407 20.36%:  OH MAN NOW I KNOW I'M TO
    408 20.35%:  OH MAN NOW I KNOW I'M E
    409 20.34%:  OH MAN NOW I KNOW I'M 
    410 20.34%:  OH MAN NOW I KNOW I'M DE
    411 20.33%:  OH MAN NOW I'M KINDA TOR
    412 20.31%:  OH MAN NOW I'M A DIN
    413 20.31%:  OH MAN NOW I D
    414 25.55%:  OH MAN NOW I DON'T W
    415 24.14%:  OH MAN NOW I DON'T RE
    416 22.97%:  OH MAN NOW I DON'T E
    417 22.14%:  OH MAN NOW I DON'T ME
    418 20.27%:  OH MAN NOW I'M TRE
    419 20.23%:  OH MAN NOW I'M NAKED TO
    420 20.22%:  OH MAN NOW I'M NAKED O
    421 20.22%:  OH MAN NOW I'M NAKED. I
    422 20.20%:  OH MAN NOW I'M KINDA WET
    423 20.18%:  OH MAN NOW I KNOW A
    424 20.17%:  OH MAN NOW I'M TI
    425 20.17%:  OH MAN NOW I'M NAKED W
    426 20.16%:  OH MAN NOW I'M NAKED Y
    427 20.16%:  OH MAN NOW I'M NAKED IT
    428 20.15%:  OH MAN NOW I'M ON A D
    429 20.10%:  OH MAN NOW I KNOW I RE
    430 20.08%:  OH MAN NOW I'M TRA
    431 20.06%:  OH MAN NOW I'M WEIRD O
    432 20.06%:  OH MAN NOW I'M TOO IN
    433 20.06%:  OH MAN NOW I'M DAY
    434 20.05%:  OH MAN NOW I'M IN A R
    435 20.03%:  OH MAN NOW I'M WEIRD TO
    436 20.01%:  OH MAN NOW I'M KINDA WRE
    437 20.01%:  OH MAN NOW I'M WEIRD NOT
    438 20.01%:  OH MAN NOW I'M KINDA TOO E
    439 19.99%:  OH MAN NOW I'M A TW
    440 19.96%:  OH MAN NOW I'M TOO RE
    441 19.92%:  OH MAN NOW I KNOW I'M A DO
    442 19.92%:  OH MAN NOW I'M NAKED TW
    443 19.91%:  OH MAN NOW I'M TIRED A
    444 19.85%:  OH MAN NOW I'M TOR
    445 19.84%:  OH MAN NOW I'M TRO
    446 19.80%:  OH MAN NOW I'M WAY TOO DIRE
    447 19.79%:  OH MAN NOW I'M TOO D
    448 19.78%:  OH MAN NOW I KNOW E
    449 19.78%:  OH MAN NOW I'M NAR
    450 19.77%:  OH MAN NOW I'M KINET
    451 19.76%:  OH MAN NOW I'M AN I
    452 19.74%:  OH MAN NOW I'M TRAN
    453 19.73%:  OH MAN NOW I'M WAY TOO IND
    454 19.73%:  OH MAN NOW I'M WAY TOO INDE
    455 19.72%:  OH MAN NOW I'M TW
    456 19.72%:  OH MAN NOW I'M DROWN
    457 19.71%:  OH MAN NOW I'M TWO
    458 19.71%:  OH MAN NOW I'M TA
    459 19.71%:  OH MAN NOW I'M IN A RE
    460 19.70%:  OH MAN NOW I'M TWE
    461 19.98%:  OH MAN NOW I'M TWEAKIN
    462 19.69%:  OH MAN NOW I KNOW I D
    463 19.66%:  OH MAN NOW I'M NOT A
    464 19.66%:  OH MAN NOW I'M WAY TOO DIREN
    465 19.65%:  OH MAN NOW I'M NER
    466 19.62%:  OH MAN NOW I'M WAY TOO DRINK
    467 19.61%:  OH MAN NOW I KNOW MY
    468 19.60%:  OH MAN NOW I KINDA WOR
    469 19.59%:  OH MAN NOW I KINDA WO
    470 19.56%:  OH MAN NOW I'M NOT K
    471 19.56%:  OH MAN NOW I'M IN A D
    472 19.56%:  OH MAN NOW I'M TWINK
    473 19.55%:  OH MAN NOW I KNOW IT
    474 19.53%:  OH MAN NOW I'M DRA
    475 19.53%:  OH MAN NOW I AM
    476 19.50%:  OH MAN NOW I KINDA T
    477 19.50%:  OH MAN NOW I'M NAKED IT W
    478 19.49%:  OH MAN NOW I'M TOO N
    479 19.49%:  OH MAN NOW I KNOW T
    480 19.48%:  OH MAN NOW I KNOW TO
    481 19.48%:  OH MAN NOW I'M KINDO
    482 19.47%:  OH MAN NOW I'M A W
    483 19.46%:  OH MAN NOW I'M AN E
    484 19.45%:  OH MAN NOW I'M A N
    485 19.45%:  OH MAN NOW I KNOW D
    486 19.42%:  OH MAN NOW I'M KINDA WO
    487 19.39%:  OH MAN NOW I'M A TE
    488 19.39%:  OH MAN NOW I'M IN O
    489 19.36%:  OH MAN NOW I'M A DE
    490 19.34%:  OH MAN NOW I'M A ONE
    491 19.33%:  OH MAN NOW I'M TORN.
    492 19.33%:  OH MAN NOW I'M A K
    493 19.32%:  OH MAN NOW I'M ARO
    494 19.32%:  OH MAN NOW I'M A WE
    495 22.25%:  OH MAN NOW I'M A WEIRDO
    496 20.71%:  OH MAN NOW I'M A WEIRD O
    497 19.89%:  OH MAN NOW I'M A WEIRD T
    498 19.31%:  OH MAN NOW I'M A 
    499 19.30%:  OH MAN NOW I'M A DI
    500 19.30%:  OH MAN NOW I'M A TR
    501 19.30%:  OH MAN NOW I'M AWE
    502 19.30%:  OH MAN NOW I'M KINA
    503 19.30%:  OH MAN NOW I'M A RO
    504 19.29%:  OH MAN NOW I'M A WEIRD K
    505 19.29%:  OH MAN NOW I'M A Y
    506 19.29%:  OH MAN NOW I KNOW I'D
    507 19.29%:  OH MAN NOW I'M A TO
    508 19.26%:  OH MAN NOW I'D
    509 19.24%:  OH MAN NOW I'M TWO D
    510 19.23%:  OH MAN NOW I KNOW I'M A DE
    511 19.23%:  OH MAN NOW I'M KINDA WOO
    512 19.20%:  OH MAN NOW I'M KINDA WORT
    513 19.20%:  OH MAN NOW I WON
    514 22.23%:  OH MAN NOW I WON'T E
    515 21.62%:  OH MAN NOW I WON'T K
    516 19.58%:  OH MAN NOW I WON'T RE
    517 19.53%:  OH MAN NOW I WONDER
    518 19.18%:  OH MAN NOW I'M A WEIRDO.
    519 19.17%:  OH MAN NOW I'M NAKED TOO I
    520 19.17%:  OH MAN NOW I DON'T REM
    521 19.17%:  OH MAN NOW I'M NOT RE
    522 19.17%:  OH MAN NOW I'M NAKED I W
    523 19.15%:  OH MAN NOW I WON'T MA
    524 19.14%:  OH MAN NOW I'M TORN. I
    525 19.14%:  OH MAN NOW I'M IN TO
    526 19.13%:  OH MAN NOW I'M TRENDY.
    527 19.13%:  OH MAN NOW I'M DOWN A
    528 19.11%:  OH MAN NOW I'M KINDA TOO RE
    529 19.11%:  OH MAN NOW I DON'T REA
    530 19.10%:  OH MAN NOW I'M EAT
    531 19.10%:  OH MAN NOW I'M TOO R
    532 19.07%:  OH MAN NOW I KNOW I'M A R
    533 19.05%:  OH MAN NOW I'M KID
    534 19.04%:  OH MAN I'M ADO
    535 19.03%:  OH MAN I'M NOT WEIRD N
    536 19.03%:  OH MAN T
    537 19.03%:  OH MAN WOW I'M KINDA NOT
    538 19.03%:  OH MAN NOW I'M TRADE
    539 19.03%:  OH MAN A
    540 19.02%:  I RE
    541 19.02%:  OH MAN I'M IN TR
    542 19.02%:  OH MAN WOW I'M KINDA E
    543 19.02%:  OH MAN I'M IN RE
    544 19.01%:  OH MAN NOW I KNOW I'M A TE
    545 19.01%:  OH MAN M
    546 19.01%:  OH MAN DO
    547 20.23%:  OH MAN DO I RE
    548 20.22%:  OH MAN DO I E
    549 19.89%:  OH MAN DO I NE
    550 19.41%:  OH MAN DO I W
    551 19.01%:  OH MAN I'M TOO RE
    552 19.00%:  OH MAN NOW I'M KINO
    553 19.00%:  OH MAN I'M NOW W
    554 20.41%:  OH MAN I'M NOW WAY TO
    555 21.79%:  OH MAN I'M NOW WAY TOO IN
    556 20.65%:  OH MAN I'M NOW WAY TOO E
    557 19.18%:  OH MAN I'M NOW WAY O
    558 19.00%:  OH MAN NOW I'M AN O
    559 19.00%:  OH MAN NOW I KNOW I AM
    560 19.00%:  OH MAN NOW I'M NAKED YI
    561 19.00%:  OH MAN I'M IN TO
    562 18.99%:  OH MAN NOW I'M NOT KID
    563 18.99%:  OH MAN I'M TOO R
    564 18.99%:  OH MAN I'M KINDA WO
    565 18.99%:  OH MAN I'M KINDA ONTO
    566 18.99%:  OH MAN NOW I'M A KID
    567 18.99%:  OH MAN WOW I'M KINDA TR
    568 18.99%:  OH MAN I'M WAY TOO WIRE
    569 18.99%:  OH MAN NOW I'M KINDA TRY
    570 18.99%:  OH MAN WE
    571 19.93%:  OH MAN WE'
    572 18.99%:  OH MAN I'M IN DAT
    573 18.98%:  OH MAN I'M INTO
    574 18.98%:  OH MAN WOW I'M IN A D
    575 18.98%:  OH MAN NOT
    576 18.98%:  OH MAN I'M NOW WAY TOO D
    577 18.98%:  OH MAN I'M KINDA TORN.
    578 18.98%:  OH MAN NOW I KNOW I'M A TR
    579 18.97%:  OH MAN MY
    580 18.97%:  OH MAN NOW I'M DOWN TO
    581 18.96%:  OH MAN I'M A WEIRDO.
    582 18.96%:  OH MAN WOW I'M KINDA RO
    583 18.96%:  OH MAN RE
    584 18.96%:  OH MAN NOW I KNOW I'M A 
    585 18.96%:  OH NO
    586 21.62%:  OH NO I'M NOT
