their racist name for us!!
      0 100.00%: 
      1 23.38%:  a
    283 13.58%:  in mort
    284 13.57%:  it for a
    285 13.57%:  incase
    286 13.57%:  them not
    287 13.56%:  it for met
    288 13.56%:  if one
    289 13.56%:  so fr
    290 13.56%:  in there
    291 13.56%:  the name of
    292 13.56%:  in some
    293 13.56%:  so a
    294 13.56%:  the time of
    295 13.56%:  inco
    296 13.56%:  if those
    297 13.55%:  so it
    298 13.55%:  it for these
    299 13.55%:  if i
    300 13.55%:  if!
    301 13.55%:  if no
    302 13.55%:  in that
    303 13.54%:  racist if
    304 13.54%:  in 
    305 13.53%:  not racist!!
    306 13.53%:  so them
    307 13.53%:  so fun
    308 13.52%:  thems for
    309 13.52%:  from a 
    310 13.52%:  so he
    311 13.52%:  so in
    312 13.52%:  so 
    313 13.52%:  so c
    314 13.51%:  racist so
    315 13.51%:  so un
    316 13.50%:  from us
    317 13.50%:  from that
    318 13.49%:  racist on
    319 13.48%:  racist isn
    320 13.48%:  ort
    321 13.47%:  ouch
    322 13.44%:  a terrific term!!
    323 13.38%:  the same as our
    324 13.35%:  the time for a
    325 13.35%:  an artific
    326 13.29%:  not a term i
    327 13.28%:  a racist term for us!
    328 13.27%:  a nicer
    329 13.26%:  not a term a
    330 13.19%:  in case the
    331 13.10%:  some craa
    332 13.08%:  a term for
    333 13.08%:  the same as if
    334 13.06%:  so meta!
    335 13.06%:  in case of
    336 13.05%:  not fair at
    337 13.05%:  a terrific term so
    338 12.97%:  the time for an
    339 12.97%:  it for them!!
    340 12.95%:  the time for c
    341 13.00%:  the time for cuss
    342 12.94%:  the time for sn
    343 12.92%:  in case it
    344 12.92%:  in case if
    345 12.88%:  the same as in
    346 12.87%:  a term for a
    347 12.86%:  the same as 
    348 12.86%:  the same as not
    349 12.84%:  us in the mort
    350 12.80%:  a nii
    351 12.75%:  us in the com
    352 12.75%:  so true it
    353 12.75%:  racist to me!!
    354 12.74%:  us in the 
    355 12.74%:  a term!
    356 12.73%:  the name for us!!
    357 12.70%:  a name for it
    358 12.69%:  an emo
    359 12.69%:  the most fun
    360 12.68%:  the most un
    361 12.68%:  in retros!
    362 12.67%:  us in the first
    363 12.67%:  the morties!
    364 12.64%:  in case!
    365 12.63%:  us in the rear
    366 12.63%:  us in the same
    367 12.62%:  us in the fr
    368 12.61%:  a name for sure
    369 12.61%:  us in the m
    370 12.61%:  a name for this
    371 12.61%:  us in the t
    372 12.61%:  so cute!!
    373 12.59%:  us in the tr
    374 12.59%:  us in the f
    375 12.58%:  us in the car
    376 12.71%:  us in the car!
    377 12.58%:  us in the c
    378 12.57%:  a naut
    379 12.53%:  in case our
    380 12.52%:  in case this
    381 12.52%:  in case that
    382 12.51%:  the most s
    383 12.50%:  the time for us!!
    384 12.49%:  a fine term
    385 12.48%:  the time!
    386 12.48%:  racist of me!!
    387 12.47%:  the ironic use
    388 12.46%:  the first reason
    389 12.46%:  the most c
    390 12.44%:  the most fr
    391 12.44%:  the most er
    392 12.43%:  the most unfair
    393 12.43%:  the ironic term
    394 12.43%:  the most in
    395 12.43%:  the most sc
    396 12.41%:  the time for us is
    397 12.41%:  the ironic!
    398 12.41%:  their cuss
    399 12.33%:  the name!
    400 12.33%:  a name for sure!!
    401 12.33%:  the time for cra
    402 12.31%:  the ironic fr
    403 12.30%:  the mortie
    404 12.86%:  the mortie in
    405 12.26%:  us on the first
    406 12.26%:  the ironic sum
    407 12.25%:  us in the fries
    408 12.24%:  the ironic me
    409 12.72%:  the ironic me!
    410 12.24%:  the ironic f
    411 12.24%:  the ironic t
    412 12.24%:  the ironic tr
    413 12.23%:  them for us!!
    414 12.23%:  me for the
    415 12.23%:  a term for us
    416 12.23%:  me on the fris
    417 12.22%:  the reason!
    418 12.21%:  a term i
    419 12.21%:  some terrific sh
    420 12.20%:  the time in
    421 12.20%:  a racist stere
    422 12.20%:  a fun ac
    423 12.19%:  a term no
    424 12.19%:  an airt
    425 12.19%:  so racist!!
    426 12.19%:  the time for us is!
    427 12.18%:  a racist!
    428 12.18%:  us on the fr
    429 12.17%:  a fun term
    430 12.16%:  a nice term
    431 12.16%:  a fun term to
    432 12.15%:  a name!!
    433 12.15%:  some terrific rh
    434 12.11%:  a nice rh
    435 12.07%:  us on the t
    436 12.05%:  us on the s
    437 12.04%:  in case of a
    438 12.04%:  the reason it
    439 12.03%:  us on the far
    440 12.02%:  racist for a
    441 12.02%:  us on the te
    442 12.01%:  some terrific s
    443 12.00%:  us on the c
    444 12.00%:  us on the 
    445 11.99%:  some terrific an
    446 11.98%:  some terrific h
    447 11.98%:  the one!
    448 11.97%:  some terrifics
    449 11.96%:  the tern
    450 12.58%:  the terns
    451 11.96%:  some terrific 
    452 11.96%:  some terrific n
    453 11.94%:  them on a
    454 11.92%:  not fair!!
    455 11.92%:  the name for a
    456 11.86%:  so much a
    457 11.85%:  a fun term!
    458 11.81%:  the first in
    459 11.80%:  mortaies
    460 11.79%:  the true iron
    461 11.78%:  the first use
    462 11.76%:  me in a
    463 11.75%:  racist of me isn
    464 11.70%:  the cue
    465 12.60%:  the cue to
    466 11.92%:  the cue for a
    467 11.67%:  their craa
    468 11.66%:  their time for
    469 11.66%:  the sorta
    470 11.66%:  the time in our
    471 11.63%:  it in a t
    472 11.58%:  a term for us!
    473 11.58%:  so much fr
    474 11.58%:  so much!
    475 11.56%:  me in the car!!
    476 11.56%:  in fact a
    477 11.54%:  the morties in
    478 11.54%:  so much n
    479 11.54%:  the name of a
    480 11.52%:  so much s
    481 11.52%:  it for us!!
    482 11.44%:  a name for it!!
    483 11.43%:  the cue!
    484 11.43%:  a terrific one!!
    485 11.42%:  us in the fries a
    486 11.41%:  me for sh
    487 11.39%:  their cue for
    488 11.39%:  thems for us
    489 11.34%:  our time in
    490 11.33%:  a racist term for us!!
    491 11.33%:  some terrifics!
    492 11.29%:  us on the fris
    493 11.18%:  morties!!
    494 11.16%:  in case of the
    495 11.13%:  them to us in
    496 11.09%:  me in case
    497 11.08%:  a nice term for
    498 11.08%:  the name of us
    499 11.44%:  the name of us!
    500 11.08%:  our name!!
    501 11.07%:  a nice term!
    502 11.04%:  it for the name
    503 11.02%:  the most cra
    504 11.02%:  it for the 
    505 11.00%:  us to the
    506 10.99%:  the morties!!
    507 10.98%:  it for the s
    508 10.96%:  it for the narr
    509 10.96%:  the tacos
    510 10.94%:  the time for sarc
    511 10.93%:  it for the sem
    512 10.92%:  it for the c
    513 10.92%:  it for the n
    514 10.92%:  it for the un
    515 10.91%:  it for the main
    516 10.84%:  a nice term for it
    517 10.84%:  us for sh
    518 10.83%:  the time of us
    519 10.82%:  the time for craa
    520 10.82%:  their name for it
    521 10.82%:  a fine term!
    522 10.81%:  me in that
    523 10.80%:  their name for a
    524 10.80%:  them to us in case
    525 10.79%:  so nice that
    526 10.79%:  a name for the 
    527 10.79%:  an astrothe
    528 10.95%:  an astrotheism
    529 10.78%:  the name for it
    530 10.77%:  thems for us!!
    531 10.75%:  me in this
    532 10.75%:  me for sure
    533 11.07%:  me for sure!!
    534 10.73%:  some nice rh
    535 10.72%:  in case of their
    536 10.72%:  me on a
    537 10.70%:  me in this case
    538 10.69%:  it for this!
    539 10.69%:  me on that
    540 10.68%:  in their fr
    541 10.63%:  us to each
    542 10.63%:  it for this r
    543 10.62%:  it for this man
    544 10.62%:  the morties is
    545 10.62%:  so the s
    546 10.61%:  so that if
    547 10.61%:  it for this s
    548 10.61%:  it for the sarc
    549 11.37%:  it for the sarcasm!!
    550 11.07%:  it for the sarcasm in
    551 10.61%:  a nice term for us
    552 10.60%:  a terrific neo
    553 10.59%:  not fair either
    554 10.84%:  not fair either!!
    555 10.59%:  me in 
    556 10.57%:  if the stories
    557 10.54%:  a nice term for a
    558 10.53%:  us for the
    559 10.53%:  them in a
    560 10.53%:  not the same
    561 10.53%:  a nicer term
    562 10.90%:  a nicer term for it
    563 10.70%:  a nicer term for us
    564 10.49%:  their cue to sm
    565 10.48%:  the same as ort
    566 10.47%:  their cue for a
    567 10.45%:  us in the fart
    568 10.45%:  the time of a
    569 10.44%:  so the case
    570 10.56%:  so the case!!
    571 10.43%:  the most scur
    572 10.42%:  me in the fris
    573 10.42%:  it for the cussin!
    574 10.42%:  the name of it
    575 10.40%:  their time for us!!
    576 10.39%:  the most sci
    577 10.39%:  a nicer term for us!
    578 10.38%:  not the c
    579 10.38%:  us in the cros
    580 10.37%:  a nice term for us!
    581 10.32%:  me on the sarc
    582 10.31%:  their cue!!
    583 10.29%:  not racist is
    584 10.28%:  morties if
    585 10.28%:  morties in
    586 10.26%:  an uh a
    587 10.26%:  us in the fries!
    588 10.25%:  their time on
    589 10.25%:  us in the fris
    590 10.24%:  not racist if
    591 10.23%:  not a term i use
    592 10.21%:  not me!!
    593 10.20%:  an astrotheism!
    594 10.19%:  us in the cra
    595 10.19%:  us in the masc
    596 10.12%:  me in the first 
    597 10.09%:  the tacos!
    598 10.09%:  the terns of
    599 10.09%:  it for us in
    600 10.08%:  it for shits
    601 10.05%:  our niche as
    602 10.04%:  me in a hat
    603 10.04%:  me in the first!
    604 10.03%:  their first name
    605 10.10%:  their first name!
    606 10.02%:  an uh!
    607 10.01%:  it for the name!
    608 10.01%:  the most scurri
    609 10.00%:  a racist term so if
    610 9.99%:  it for this serm
    611 9.98%:  the tacos in
    612 9.97%:  me in the taco
    613 9.97%:  the name of it!!
    614 9.97%:  it for a name
    615 10.73%:  it for a name!
    616 9.96%:  me in this case!!
    617 9.96%:  me in the tic
    618 9.96%:  me in the carrot
    619 9.96%:  me on the car!!
    620 9.95%:  a terrific turn!
    621 9.94%:  me in the tac
    622 10.29%:  me in the tacos!!
    623 9.94%:  me in the car for
    624 9.93%:  me in the car to
    625 9.93%:  the mortie in us
    626 9.91%:  me in the car if
    627 9.91%:  a nicer term!
    628 9.91%:  the tacos in me
    629 9.90%:  their name!!
    630 9.85%:  us in the fic
    631 10.07%:  us in the fic!
    632 9.83%:  a term for a sent
    633 9.83%:  a term for the
    634 9.82%:  in the first 
    635 9.80%:  it for sham
    636 9.79%:  the first in a 
    637 9.79%:  the mortie in us!!
    638 9.78%:  one time a
    639 9.77%:  some racist hate
    640 9.76%:  their name for it!!
    641 9.75%:  in the fris
    642 9.74%:  the name for it!!
    643 9.73%:  a term for sure
    644 9.71%:  the most sane
    645 9.71%:  us in the mascot!
    646 9.68%:  me in that case
    647 9.67%:  an airtimes
    648 9.67%:  the ironic fart
    649 9.66%:  us in the mascotie
    650 9.66%:  not a term i use!
    651 9.65%:  an astroh
    652 9.65%:  if a mortie
    653 9.63%:  in case the mort
    654 9.63%:  mortaies!!
    655 9.63%:  the same as not!
    656 9.62%:  a term for sure!!
    657 9.61%:  a nicer term for a
    658 9.54%:  some racist!
    659 9.53%:  a term for an
    660 9.51%:  the same as our fr
    661 9.51%:  a term for this
    662 9.50%:  some racist fr
    663 9.48%:  their crafter
    664 10.08%:  their crafters!
    665 9.61%:  their crafterm
    666 9.47%:  the tacos in me!
    667 9.46%:  a nicer term for this
    668 9.45%:  the same as our f
    669 9.45%:  the same as our 
    670 9.44%:  not the same as 
    671 9.44%:  not the same as if
    672 9.44%:  a term for us!!
    673 9.44%:  us in the rear!
    674 9.43%:  morties in case
    675 9.43%:  in the first case
    676 9.43%:  me for the un
    677 9.43%:  if a mortie can
    678 9.43%:  me on that!
    679 9.40%:  us in the mascotie!
    680 9.40%:  a term for us in
    681 10.80%:  a term for us in case
    682 9.39%:  the time of us!!
    683 9.37%:  a term for us as
    684 9.36%:  me in that case!!
    685 9.35%:  the cue for an
    686 9.35%:  the most unsc
    687 9.34%:  the morties in us
    688 9.58%:  the morties in us!!
    689 9.33%:  the time for an ac
    690 9.33%:  some terrific hust
    691 9.32%:  the most fun a
    692 9.32%:  in case the fr
    693 9.31%:  the ironic me!!
    694 9.31%:  the most ines
    695 9.30%:  the time for a sn
    696 9.30%:  in case the first
    697 9.29%:  the time for cussin!
    698 9.29%:  the most fun i
    699 9.28%:  the most unse
    700 9.27%:  in case the 
    701 9.26%:  the time for a s
    702 9.26%:  the name of a c
    703 9.26%:  the name of a 
    704 9.24%:  the time for a 
    705 9.24%:  me for the 
    706 9.24%:  the time for a r
    707 9.24%:  a terrific name so shut
    708 9.23%:  the time for a c
    709 9.23%:  the most sarc
    710 9.23%:  the time for a n
    711 9.23%:  an artificer
    712 9.22%:  so true it is
    713 9.22%:  us in case
    714 9.22%:  the most inscr
    715 9.22%:  us in this
    716 9.22%:  a racist term so!
    717 9.22%:  so true it can
    718 9.21%:  a term for us in case it
    719 9.21%:  the ironic tru!
    720 9.21%:  a nicer term for it!!
    721 9.20%:  the terns for
    722 9.96%:  the terns for us
    723 9.23%:  the terns for us!!
    724 9.19%:  the time for a cuss
    725 9.18%:  the morties in a
    726 9.18%:  a racist term so i
    727 9.18%:  us in the crot
    728 9.14%:  me on the first!
    729 9.11%:  me in the taco!
    730 9.11%:  the terns!
    731 9.11%:  the time for a cuss!
    732 9.09%:  the true ironic
    733 9.09%:  in case of this
    734 9.08%:  me for the ac
    735 9.08%:  in case of us
    736 9.05%:  us in a
    737 9.03%:  us on the sarc
    738 9.03%:  the most craa
    739 9.03%:  us in the fries at
    740 9.02%:  the terns of us
    741 9.02%:  in case of them
    742 9.02%:  morties in the car
    743 9.01%:  in case of a re
    744 9.00%:  us in the rear of
    745 8.99%:  morties in the 
    746 8.99%:  a name for this!
    747 8.98%:  in case of a tie
    748 9.48%:  in case of a tie!
    749 8.98%:  in case if the
    750 8.96%:  in case of a m
    751 8.96%:  in case of a time
    752 8.95%:  a term for us as in
    753 8.95%:  us in mort
    754 8.95%:  me in a hat!!
    755 8.94%:  the time in a
    756 8.94%:  in case of a mis
    757 8.98%:  in case of a mishe
    758 8.94%:  the terns from
    759 8.93%:  us in the morts
    760 8.98%:  us in the morts!
    761 8.93%:  us in the fries!!
    762 8.93%:  us in the mortar
    763 8.94%:  us in the mortarie
    764 8.96%:  us in the mortarie!
    765 8.93%:  the first reason i
    766 8.92%:  the first reason a
    767 8.92%:  in fact a term
    768 8.91%:  us in the fores
    769 8.91%:  it for shamans
    770 8.91%:  in case of a 
    771 8.90%:  us in the fries com
    772 8.90%:  us in the mortie
    773 8.90%:  the ironic term!
    774 8.90%:  it for us in the 
    775 8.90%:  some fine s
    776 8.90%:  a terrific name to sh
    777 8.89%:  in case that if
    778 8.89%:  us in the morties
    779 8.89%:  us in the fics
    780 9.56%:  us in the fics!
    781 8.89%:  a terrific name to us
    782 9.54%:  a terrific name to us!
    783 8.88%:  a terrific name to rh
    784 8.88%:  us in the fries or
    785 8.87%:  us in the mortis
    786 8.87%:  in case of a met
    787 8.86%:  some terrific hats
    788 8.85%:  in case that is
    789 8.85%:  it for us in the m
    790 8.85%:  the time for a cussin
    791 8.85%:  us in the mister
    792 8.85%:  a nautic
    793 9.52%:  a nautic term
    794 9.92%:  a nautic term!
    795 9.45%:  a nautic term for
    796 8.85%:  a nicer term for us!!
    797 8.85%:  it for shamans!!
    798 8.84%:  a nautch
    799 8.84%:  me in a suit
    800 9.57%:  me in a suitcase
    801 8.84%:  us in the first 
    802 8.84%:  me in a t
    803 8.83%:  me in a h
    804 8.93%:  me in a hut
    805 8.83%:  in case of a st
    806 8.83%:  us in the tac
    807 10.54%:  us in the tacos!
    808 9.19%:  us in the tacos!!
    809 8.83%:  me in a sh
    810 8.83%:  me in a shirt
    811 8.82%:  me in a cart
    812 9.53%:  me in a carto
    813 8.82%:  us in the frie
    814 8.81%:  it for us in the c
    815 8.81%:  us in the car!!
    816 8.81%:  it for us in the s
    817 8.81%:  it for us in the race
    818 8.81%:  it for the cuss!
    819 8.80%:  it for us in the same
    820 8.80%:  it for the unic
    821 8.79%:  the nicest a m
    822 8.79%:  us for the rest
    823 8.79%:  in case if a
    824 8.78%:  us in the cem
    825 8.78%:  us in the mics
    826 9.44%:  us in the mics!
    827 8.78%:  the nicest a 
    828 8.78%:  me on the first 
    829 8.78%:  the nicest a fr
    830 8.78%:  the nicest a f
    831 8.78%:  us in the maf
    832 10.87%:  us in the mafia!
    833 9.27%:  us in the mafia!!
    834 8.77%:  the name of us!!
    835 8.77%:  us in the taco
    836 8.77%:  the nicest a mis
    837 8.77%:  us in the cite
    838 8.84%:  us in the cite!
    839 8.77%:  the terns of us!!
    840 8.76%:  it for the cussier
    841 8.76%:  the time in our fr
    842 8.75%:  a terrific anthe
    843 10.79%:  a terrific anthem!
    844 9.17%:  a terrific anthem!!
    845 8.75%:  us in the morties!!
    846 8.75%:  us in the mots
    847 8.74%:  us in the trif
    848 8.73%:  us in the rear mir
    849 8.73%:  not the same!
    850 8.72%:  us in the mote
    851 8.72%:  in case if some
    852 8.72%:  us in the crom
    853 8.71%:  it for a name!!
    854 8.71%:  in case if that
    855 8.71%:  a terrific mne
    856 8.71%:  us in the same c
    857 8.71%:  us in the tic
    858 8.71%:  a terrific mans
    859 8.71%:  us in the frater
    860 8.70%:  us in the tris
    861 8.70%:  us in the cate
    862 8.70%:  us in the car for
    863 8.70%:  us in the frat
    864 9.04%:  us in the fratric
    865 8.70%:  a terrific mason
    866 8.70%:  us in the mict
    867 8.70%:  a terrific morn
    868 8.70%:  us in the mire
    869 8.85%:  us in the mire!
    870 8.69%:  us in the moc
    871 8.69%:  us in the fri
    872 8.69%:  not a term i use!!
    873 8.69%:  us in the trifor
    874 10.17%:  us in the triforce!
    875 8.69%:  us in the car if
    876 8.69%:  us in the tric
    877 8.69%:  us in the farts
    878 8.69%:  us in the fates
    879 8.91%:  us in the fates!
    880 8.68%:  us in the ct
    881 8.68%:  us in the car to
    882 8.68%:  a fine term to
    883 8.67%:  us in the mots!
    884 8.66%:  me on the sats
    885 8.66%:  a nice term for it!!
    886 8.66%:  it for this man!!
    887 8.66%:  the most scurrr
    888 8.65%:  me on the cartr
    889 8.64%:  an airtie
    890 8.62%:  it in a tus
    891 8.61%:  their time on us
    892 8.60%:  us in the triforce!!
    893 8.60%:  the ironic fates
    894 8.60%:  me on the sarcas
    895 8.61%:  me on the sarcas!
    896 8.60%:  it for these s
    897 8.60%:  racist for a minute
    898 8.97%:  racist for a minute!
    899 8.58%:  a fine term!!
    900 8.58%:  it for shirts
    901 9.24%:  it for shirts!
    902 8.57%:  us in the farts!
    903 8.57%:  the most craii
    904 8.56%:  them on a fr
    905 8.56%:  it for shamers
    906 8.60%:  it for shamers!!
    907 8.56%:  it for a 
    908 8.55%:  me in the car for a
    909 8.55%:  me on the tic
    910 8.55%:  it for us in the sarc
    911 8.55%:  a term for us in this
    912 8.54%:  the reason it is
    913 8.54%:  me on the tac
    914 8.54%:  me on the sas
    915 8.54%:  in case our fr
    916 8.54%:  it for shin
    917 8.52%:  the morties is!
    918 8.52%:  me on the first r
    919 8.50%:  it for the cra
    920 8.49%:  me in the carrot!
    921 8.49%:  it for shan
    922 8.48%:  the morties is a
    923 8.48%:  it for the sarcasm in 
    924 8.45%:  an astrotheism if
    925 8.45%:  the same as if it
    926 8.44%:  me in the car tos
    927 8.46%:  me in the car tos!
    928 8.44%:  the same as if our
    929 8.43%:  in the first case!
    930 8.43%:  a term for us in the 
    931 8.42%:  the most scurr
    932 8.42%:  the same as if not
    933 8.42%:  the same as if i
    934 8.41%:  the ironic truama
    935 8.41%:  the cue for a r
    936 8.41%:  us in the mister!
    937 8.41%:  me in a hats
    938 8.88%:  me in a hatsuit
    939 8.46%:  me in a hatsuit!!
    940 8.40%:  it for the sarcas
    941 8.39%:  the most sci fi
    942 8.38%:  us in the tricor
    943 8.38%:  it for the unsc
    944 8.38%:  an emo ac
    945 8.36%:  me in a suit of
    946 8.36%:  me in a hats!
    947 8.36%:  me in case it
    948 8.36%:  the cue for a sm
    949 8.36%:  the cue for a s
    950 8.36%:  the cue to a
    951 8.36%:  the ironic truer
    952 8.34%:  the tacos!!
    953 8.33%:  the terns of a
    954 8.33%:  us on the first 
    955 8.33%:  their name for a us
    956 8.33%:  in the first case a
    957 8.33%:  in case of the 
    958 8.32%:  me in the car to a
    959 8.32%:  the cue for a rim
    960 8.32%:  the cue for a sn
    961 8.32%:  us in the tris!
    962 8.31%:  the cue for a 
    963 8.31%:  the cue for a man
    964 8.30%:  me in a suitcase!!
    965 8.30%:  the cue for a ri
    966 8.30%:  us in the frat!
    967 8.30%:  the cue for a m
    968 8.30%:  us in the mocs
    969 8.95%:  us in the mocs!
    970 8.29%:  the cue to sm
    971 8.28%:  the tacosm
