spend another decade making it so it can say other stuff too, okay?
41.67%:  go
9.25%:  go take him for another test spin, okay
3.85%:  hang out, friend
3.83%:  take him out for a spin once
3.83%:  take him out for a date and
3.83%:  go take him out for a test spin,
6.97%:  go take him out for a test spin, okay
3.82%:  not spend another decade making a
3.81%:  not fight
3.80%:  take him out for a day of
3.79%:  spend the rest of today making out
3.78%:  go inside and make
4.05%:  go inside and make out,
3.78%:  go kick it
3.78%:  not spend another decade making it say other
16.91%:  not spend another decade making it say other stuff
9.08%:  not spend another decade making it say other stuff,
5.83%:  not spend another decade making it say other stuff too
3.77%:  not spend another decade making this suck
3.77%:  not spend another second of that
3.77%:  take him for a spin, dudes
3.77%:  kick this
3.75%:  turn him off and see
3.74%:  see you make that,
3.72%:  put him on a
3.72%:  not spend another fourth
3.72%:  go inside him and take
3.71%:  not spend another third
3.71%:  spend the rest of today taking
3.71%:  go ride
3.70%:  not spend another second of our time,
3.69%:  go take him out for an
3.69%:  go for a spin, okay
3.69%:  take him apart and study
3.69%:  put him in another
3.67%:  do
6.33%:  do some
3.66%:  take him out for a soda and
3.66%:  see if you can do this
3.65%:  go kick some ass today
3.65%:  check out
3.65%:  take him out for cake and
3.64%:  take him out to dinner, and
3.64%:  keep doing this, friend
3.64%:  see you match
3.63%:  see if that sounds good
3.63%:  keep doing this for another decade so
3.63%:  not spend another second more of
3.62%:  turn him off and go inside,
11.39%:  turn him off and go inside, okay
3.62%:  spend another decade making it say another
3.62%:  take him out for a spin today, if
3.61%:  take him out for cake today
3.60%:  see if you can top that, fri
3.57%:  not spend another decade making sure this
3.57%:  go inside his
3.57%:  not spend another decade on him, guys
3.56%:  spend another ten years doing stuff to
6.69%:  spend another ten years doing stuff to make
3.55%:  take him around
3.55%:  make another one,
3.55%:  keep doing this for another decade, at
3.55%:  go take him to a park
4.52%:  go take him to a park and see
3.61%:  go take him to a park and feed
3.55%:  take him for another test spin,
7.34%:  take him for another test spin, okay
3.55%:  see you top that, fri
3.54%:  take him out for steaks
3.54%:  go punch some faces
3.54%:  turn him off and take another
3.53%:  take it
27.35%:  take it for a test
21.57%:  take it for a spin,
16.89%:  take it for a spin, okay
15.54%:  take it for a test spin
10.24%:  take it for a spin, dude
7.30%:  take it for a spin today
4.61%:  take it for a spin and
4.30%:  take it out
57.35%:  take it out for a spin,
52.13%:  take it out for a spin, okay
31.78%:  take it out for a spin today
29.30%:  take it out for a test
19.51%:  take it out for a spin and
15.29%:  take it out for a spin today,
14.86%:  take it out for a test spin
12.53%:  take it out for a spin, yeah
9.53%:  take it out for a spin and then
7.71%:  take it out for a spin, and
7.46%:  take it out for a spin, my
6.60%:  take it out for a spin, eh
6.40%:  take it out for a spin some
4.90%:  take it out for a spin?
4.83%:  take it out for a test spin,
8.42%:  take it out for a test spin, okay
4.79%:  take it out for a spin, hm
4.19%:  take it for a spin, my
5.37%:  take it for a spin, my dude
3.82%:  take it for a test spin,
6.10%:  take it for a test spin, okay
3.71%:  take it out for a spin and then go
3.69%:  take it out for another
9.29%:  take it out for another spin,
9.79%:  take it out for another spin, okay
6.21%:  take it out for another spin today
3.64%:  take it out for a spin and make
3.56%:  take it for a spin today,
3.52%:  go take him for a spin, yes
3.52%:  take him apart and get
3.52%:  check in on our
3.51%:  spend another ten years on this,
3.50%:  take him out on
5.71%:  take him out on dates
3.49%:  go take him out for steak
3.49%:  take it out for a spin, man
3.49%:  keep doing that, friend
3.49%:  spend another ten years taking
4.26%:  spend another ten years taking him out
3.49%:  not spend another year
5.54%:  not spend another year making
5.05%:  not spend another year making this
3.63%:  not spend another year making that
3.48%:  take him out for another spin and
3.48%:  spend another ten years making this suck
3.48%:  go kick some ass today, friend
3.48%:  kick this guy
3.46%:  see you make that gross
3.46%:  take him out for a spin again,
3.46%:  take him for a spin today, dude
3.46%:  take him out for a spin and do
3.45%:  put him to
3.44%:  take it for a spin, yeah
3.43%:  go make out inside
3.43%:  take him for a spin, guys
3.43%:  see you pick
3.42%:  keep doing this for another decade?
3.41%:  spend another decade on this sucker,
7.46%:  spend another decade on this sucker, okay
3.40%:  go see our
3.40%:  fight crime,
3.40%:  make sure this
3.97%:  make sure this doesn
3.39%:  spend another decade making that sucker say
3.39%:  keep this
3.38%:  spend another ten years doing stuff to make this
3.38%:  make sure that stays
3.37%:  not spend another second of it
3.37%:  kick that guy
3.36%:  feed
3.36%:  take a second
14.53%:  take a second to admire
14.66%:  take a second to admire that
14.01%:  take a second to think
12.94%:  take a second to admire this
6.95%:  take a second to admire the
4.68%:  take a second to admire his
4.14%:  take a second to admire that,
3.36%:  hang out inside
3.36%:  change
3.35%:  take him for a spin to
3.57%:  take him for a spin to see
3.35%:  go inside him,
3.35%:  go find
7.08%:  go find him and
3.38%:  go find some
3.33%:  see you top that, gross
3.32%:  take him out for a dance,
3.31%:  keep him
8.63%:  keep him around
3.31%:  fight crimes
3.31%:  spend another ten years making it do stuff,
3.31%:  see you come
3.31%:  spend our
3.30%:  go inside and make out for
3.30%:  do some things
3.29%:  take him on
4.30%:  take him on a date to
3.29%:  not spend another second of our time today
3.29%:  get some coffee and
3.29%:  spend another decade making sure it says that too
3.28%:  turn him off and spend
3.28%:  not spend another second of our time, okay
3.28%:  go spend
5.35%:  go spend time
3.28%:  go take him to a dance party and
3.28%:  go for another spin in
4.13%:  go for another spin in the
3.28%:  take the
3.27%:  make the
3.26%:  go take him out for a spin, and see
3.25%:  go kick his
3.25%:  hang out and see
3.25%:  take him out for a nice spin
3.24%:  go inside and make out, okay
3.24%:  not spend another decade making the
3.24%:  not spend another fourth of my
3.23%:  spend another ten years making his face
3.22%:  not spend another second of this time
3.21%:  kiss
3.21%:  go take him out for another spin,
3.79%:  go take him out for another spin, okay
3.20%:  go take him out for a soda and
3.19%:  make our
3.19%:  spend another ten years doing stuff to him,
3.18%:  not forget the times
3.18%:  send
36.01%:  send him to space
15.80%:  send him out
27.80%:  send him out into
15.46%:  send him out into space
10.46%:  send him into
28.03%:  send him into space to
27.89%:  send him into space,
32.27%:  send him into space, okay
12.76%:  send him into space and
24.08%:  send him into space and forget
8.03%:  send him out to do
6.72%:  send him to another
5.67%:  send him to outer
37.00%:  send him to outer space and
26.27%:  send him to outer space,
25.60%:  send him to outer space to
25.52%:  send him to outer space, okay
8.97%:  send him to outer space, and
8.48%:  send him to outer space to find
6.12%:  send him to outer space so
5.60%:  send him to space,
6.57%:  send him to space, okay
5.36%:  send him to outer space to find another
4.94%:  send him into space to find
4.79%:  send him out into space to
4.70%:  send him into space for
4.65%:  send him into space so
4.62%:  send him into outer
33.82%:  send him into outer space,
28.02%:  send him into outer space, okay
23.30%:  send him into outer space and
21.29%:  send him into outer space to
8.07%:  send him into outer space, and
7.00%:  send him into outer space so
6.58%:  send him into outer space to find
4.55%:  send him into outer space today
4.46%:  send him into space, and
4.30%:  send him out to attack
4.28%:  send him to space and
4.18%:  send him into space to do
4.55%:  send him into space to do stuff
4.14%:  send him out to space
4.06%:  send him to space to
4.06%:  send him into outer space to do
4.02%:  send him to outer space today
4.01%:  send him into space to see
3.96%:  send him into space, dude
3.96%:  send him into outer space to find another
3.84%:  send him out for
3.75%:  send him out into space and
6.95%:  send him out into space and forget
3.72%:  send him into space today
3.69%:  send him out for a spin
3.67%:  send him out into space,
3.65%:  send him out into space, okay
3.60%:  send him out to defeat
3.57%:  send him to outer space to do
3.28%:  send him into space, and forget
3.28%:  send him to space and forget
3.25%:  send him out to party
3.18%:  send him into outer space to say
3.18%:  send him into outer space, to
3.18%:  turn him off and go inside to eat
3.18%:  not spend another day doing this
3.17%:  send him out to take
4.38%:  send him out to take care
3.17%:  not spend another third of my
3.16%:  go punch another
4.57%:  go punch another friend
3.15%:  not spend another decade trying to teach
3.15%:  take another
3.14%:  go take him for a date
3.14%:  go take him for a spin, dudes
3.13%:  take it out for another test
3.13%:  spend another ten years making that idiot
3.13%:  feed him a
3.12%:  not make
3.12%:  go find out
4.97%:  go find out if that
4.11%:  go find out if he can
3.11%:  turn him off and go to space
3.11%:  go kick the
7.62%:  go kick the crap
36.74%:  go kick the crap out of another
17.77%:  go kick the crap out of it
16.87%:  go kick the crap out of a
11.17%:  go kick the crap out of some sense
7.34%:  go kick the crap out of anyone
6.45%:  go kick the crap out of some ants
5.90%:  go kick the crap out of some sand
5.81%:  go kick the crap out of some teens
5.14%:  go kick the crap out of it,
4.28%:  go kick the crap out of an
4.80%:  go kick the crap out of an enemy
4.09%:  go kick the crap outta
3.75%:  go kick the crap out of some sense into
3.64%:  go kick the crap out of some of
3.40%:  go kick the crap out of time
3.08%:  go inside of
5.87%:  go inside of him and
3.08%:  take it out for some
3.08%:  go take him apart
7.59%:  go take him apart and see if
3.06%:  take him to a park
5.21%:  take him to a park and see
3.06%:  send him into space, to
3.06%:  take that for
3.75%:  take that for a spin,
3.09%:  take that for a spin, okay
3.05%:  take it apart
11.64%:  take it apart and see
6.45%:  take it apart and see if
4.59%:  take it apart and make
13.19%:  take it apart and make another
13.39%:  take it apart and make another one,
3.05%:  take him for a test spin, you
3.05%:  go kick some ass and eat
3.05%:  kiss him
3.04%:  spend another decade on that guy
3.04%:  go take him out for tea
3.04%:  take him to a dance
6.67%:  take him to a dance party
3.03%:  not spend another day doing that
3.03%:  take it for a spin and then
3.03%:  not spend another decade trying to make this suck
3.03%:  keep doing that for another decade, my
3.02%:  take him out to dinner and ask
3.02%:  send him into space and forget to
3.02%:  keep doing that for another decade?
3.01%:  shake on
3.01%:  turn him on and
3.00%:  take a second to admire the fact
3.00%:  take him out for steaks and
3.00%:  kick it
3.00%:  take him around to
2.99%:  take him out for a dance, okay
2.99%:  say that again
2.99%:  take it out for a spin, and see
2.98%:  go out
4.90%:  go out for
4.20%:  go out and party
3.24%:  go out for ice
2.98%:  modify
2.98%:  keep doing that for another decade, you
2.96%:  not spend another decade trying to make his
2.96%:  go shoot
7.26%:  go shoot some dudes
5.19%:  go shoot some stuff
2.96%:  go take him out to dinner, and
2.95%:  make sure to spend the
2.95%:  turn him on and see if
2.95%:  spend another decade on that sucker,
4.83%:  spend another decade on that sucker, okay
2.94%:  not spend any
19.30%:  not spend any more of
2.94%:  stop saying
6.24%:  stop saying that
2.94%:  not spend another day making our
2.93%:  spend another ten years on it
2.93%:  spend another ten years making that suck
2.92%:  keep that
2.91%:  take him out for a spin, if
2.91%:  check on our
2.90%:  go for another spin, okay
2.90%:  take him out and see
2.89%:  go take him out for a spin and say
2.89%:  spend another ten years taking him to
2.89%:  go take him on
2.88%:  take him out for a spin and feed
2.88%:  go take him out for cake and
2.87%:  forget
2.92%:  forget that
2.87%:  take him for a spin in
2.87%:  hang out today and see
2.86%:  take him out for another test spin
2.86%:  go inside and check out
2.86%:  pat
2.85%:  fist
2.85%:  not spend another decade making that suck
2.84%:  take our
2.83%:  dance
2.83%:  send him into space, guys
2.83%:  take him around and
2.82%:  dance around
2.80%:  take it out for another spin, yeah
2.80%:  spend another decade making sure that it
2.80%:  see if you can get
4.36%:  see if you can get that
2.80%:  take him out for snacks and see
2.80%:  spend another decade making sure this is
2.79%:  take him out to dinner and see
2.79%:  take it out for a spin, and then go
2.78%:  go inside of him and party
2.78%:  go kick the crap out of some d
2.78%:  go find out if he means
2.78%:  go shoot some dudes,
2.77%:  turn him off and go take
2.77%:  take him out for a date,
2.76%:  do some stuff
2.76%:  go make out inside of
2.75%:  send him into outer space, so
2.75%:  take that for a test
2.75%:  not spend another second of our time that
2.74%:  take apart
2.73%:  go kick the crap out of some sense and
2.73%:  go kick some ass in
3.47%:  go kick some ass in the
2.72%:  take him out today
2.72%:  go for a spin, my
2.72%:  go take him to a party,
2.71%:  not spend another second of our times
2.71%:  not spend another second of this great day
2.71%:  take him out for a spin today to
2.70%:  ignore him
2.70%:  go take him out to dinner and a
2.70%:  take him out for a date, okay
2.69%:  make sure he says it to
2.69%:  see if you can find
2.68%:  start him
5.18%:  start him up again
3.56%:  start him up and
7.13%:  start him up and see if
2.68%:  put that
2.68%:  spend another decade making sure that it stays
2.67%:  see if you can make it
2.67%:  make sure to keep this
2.66%:  go take him for a test spin and
2.66%:  take a minute
4.68%:  take a minute to think
2.65%:  hang out inside of
2.65%:  take him out for food
2.91%:  take him out for food and
2.65%:  do this
7.92%:  do this again
2.64%:  see you make that as
2.64%:  see you make that as gross
2.64%:  hang out today and feed
2.64%:  take him to a dance party and
2.63%:  get him to say a
3.57%:  get him to say a second
2.63%:  go take him out for a spin, since
2.63%:  take it out for a spin and see if he can
2.63%:  kick his ass,
2.62%:  go take him out to eat and
2.62%:  see if you can pick
