hung over is like winning the lottery, except they pay you in regret!
        18 0* 16.58176% (84.824% 0.047% 15.129%)   hung over is pretty neat                                                                                                     -------ceeeeeeghhiikllooprrtttuxyyy,!
        19 0* 16.29609% (84.824% 0.047% 15.129%)   hung over is pretty okay,                                                                                                    -------ceeeeeeeghhiillnoprrttttuxyy!
        20 0* 15.94698% (84.825% 0.047% 15.129%)   hung over is pretty neat!                                                                                                    -------ceeeeeeghhiikllooprrtttuxyyy,
        21 0* 15.93509% (84.825% 0.047% 15.128%)   hung over is like the                                                                                                        -------aceeeeeeghilnoopprrrtttttuxyyyy,!
        22 0* 15.10571% (84.828% 0.047% 15.125%)   hung over is pretty cool                                                                                                     -------aeeeeeeeghhiiklnprrttttuxyyy,!
        23 0* 14.81233% (84.829% 0.047% 15.125%)   hung over is pretty great too                                                                                                -------ceeeeeehhiikllnprttuxyyy,!
        24 0* 14.00481% (84.829% 0.047% 15.125%)   hung over is pretty great too!                                                                                               -------ceeeeeehhiikllnprttuxyyy,
        25 0* 12.83559% (84.829% 0.047% 15.125%)   hung over is pretty rough                                                                                                    -------aceeeeeeehiikllnoprttttxyyy,!
        26 0* 11.52092% (84.829% 0.047% 15.124%)   hung over is pretty okay though                                                                                              -------ceeeeeeeiillnprrtttxyy,!
        27 0* 11.48952% (84.829% 0.047% 15.124%)   super                                                                                                                        -------aceeeeeeeegghhhiiikllnnoooprrrttttttuvxyyyy,!
        28 0* 11.36648% (85.975% 0.047% 13.978%)   hung over really                                                                                                             -------ceeeeeeeghhiiiknoopprrsttttttuxyyy,!
        29 0* 10.63196% (86.040% 0.047% 13.913%)   hung over is pretty nice!                                                                                                    -------aeeeeeeghhikllooprrttttuxyyy,
        30 0* 9.00395% (86.040% 0.047% 13.913%)   hung over is pretty legit                                                                                                    -------aceeeeeehhiklnooprrtttuxyyy,!
        31 0* 8.75483% (86.040% 0.047% 13.913%)   hung over is pretty cool!                                                                                                    -------aeeeeeeeghhiiklnprrttttuxyyy,
        32 0* 8.62468% (86.040% 0.047% 13.913%)   hung over is like trying to put                                                                                              -------aceeeeeeehhloprrtttxyyy,!
        33 0* 8.31690% (86.040% 0.047% 13.913%)   sick                                                                                                                         -------aeeeeeeeeegghhhiillnnooopprrrrttttttuuvxyyyy,!
        34 0* 7.76735% (87.152% 0.048% 12.800%)   hung over is like trying to eat                                                                                              -------ceeeeeehhlopprrtttuxyyy,!
        35 0* 7.73637% (87.152% 0.048% 12.800%)   hung over is like eating                                                                                                     -------ceeeeeehhloopprrrtttttuxyyyy,!
        36 0* 7.69395% (87.153% 0.048% 12.799%)   hung over is pretty great, yo                                                                                                -------ceeeeeehhiikllnoprtttuxyy!
        37 0* 7.17298% (87.153% 0.048% 12.799%)   hung over is pretty rough!                                                                                                   -------aceeeeeeehiikllnoprttttxyyy,
        38 0* 6.55704% (87.153% 0.048% 12.799%)   hung over is pretty okay though!                                                                                             -------ceeeeeeeiillnprrtttxyy,
        39 0* 6.13052% (87.153% 0.048% 12.799%)   hung over is pretty legit!                                                                                                   -------aceeeeeehhiklnooprrtttuxyyy,
        40 0* 6.07221% (87.153% 0.048% 12.799%)   hung over is pretty great in                                                                                                 -------ceeeeeehhikllooprtttuxyyy,!
        41 0* 12.87757% (87.153% 0.048% 12.799%)   hung over is pretty great in theory                                                                                          -------ceeeeehikllopttuxyy,!
        42 0* 15.60852% (87.153% 0.048% 12.799%)   hung over is pretty great in theory,                                                                                         -------ceeeeehikllopttuxyy!
        43 0* 5.97135% (87.153% 0.048% 12.799%)   hung over is pretty great, yo!                                                                                               -------ceeeeeehhiikllnoprtttuxyy
        44 0* 5.88785% (87.153% 0.048% 12.799%)   hung over is pretty nice,                                                                                                    -------aeeeeeeghhikllooprrttttuxyyy!
        45 0* 5.85055% (87.153% 0.048% 12.799%)   hung over is pretty neat,                                                                                                    -------ceeeeeeghhiikllooprrtttuxyyy!
        46 0* 5.51240% (87.153% 0.048% 12.799%)   hung over is pretty cool,                                                                                                    -------aeeeeeeeghhiiklnprrttttuxyyy!
        47 0* 5.47512% (87.153% 0.048% 12.799%)   hung over is pretty great except                                                                                             -------eeeehhiikllnoorttuyyy,!
        48 0* 4.99600% (87.153% 0.048% 12.799%)   hung over is like trying to play the                                                                                         -------ceeeeeehoprrtttuxyy,!
        49 0* 4.92512% (87.153% 0.048% 12.799%)   this                                                                                                                         -------aceeeeeeeeegghhiikllnnooopprrrrtttttuuvxyyyy,!
        50 0* 4.76656% (88.183% 0.049% 11.768%)   hung over is not                                                                                                             -------aceeeeeeeeghhiikllopprrrtttttuxyyyy,!
        51 0* 4.73588% (88.224% 0.049% 11.728%)   hung over is really                                                                                                          -------ceeeeeeeghhiiknoopprrttttttuxyyy,!
        52 0* 8.50427% (88.235% 0.049% 11.716%)   hung over is really pretty                                                                                                   -------ceeeeeeghhiiknooprttttuxyy,!
        53 0* 4.63914% (88.235% 0.049% 11.716%)   hung over is pretty rough,                                                                                                   -------aceeeeeeehiikllnoprttttxyyy!
        54 0* 4.26631% (88.235% 0.049% 11.716%)   hung over is great                                                                                                           -------ceeeeeeehhiikllnoopprrtttttuxyyyy,!
        55 0* 4.23357% (88.239% 0.049% 11.712%)   hung over is like trying to type                                                                                             -------aceeeeeehhloprrtttuxyy,!
        56 0* 4.02500% (88.239% 0.049% 11.712%)   hung over really is                                                                                                          -------ceeeeeeeghhiiknoopprrttttttuxyyy,!
        57 0* 21.05575% (88.247% 0.049% 11.704%)   hung over really is pretty                                                                                                   -------ceeeeeeghhiiknooprttttuxyy,!
        58 0* 4.02142% (88.248% 0.049% 11.704%)   hung over is pretty great too,                                                                                               -------ceeeeeehhiikllnprttuxyyy!
        59 0* 3.82357% (88.248% 0.049% 11.704%)   this hung                                                                                                                    -------aceeeeeeeeeghiikllnooopprrrrtttttuvxyyyy,!
        60 0* 14.65852% (88.787% 0.049% 11.164%)   this hung over                                                                                                               -------aceeeeeeeeghiikllnoopprrrtttttuxyyyy,!
        61 0* 3.81448% (89.031% 0.049% 10.920%)   hung over is like the exact                                                                                                  -------eeeeeghilnoopprrrttttuyyyy,!
        62 0* 3.77235% (89.031% 0.049% 10.920%)   hung over is pretty okay, you                                                                                                -------ceeeeeeeghhiillnprrttttxy!
        63 0* 3.75065% (89.031% 0.049% 10.920%)   hung over is legit                                                                                                           -------aceeeeeeehhiklnoopprrrtttttuxyyyy,!
        64 0* 3.73126% (89.032% 0.049% 10.919%)   hung over is pretty okay though,                                                                                             -------ceeeeeeeiillnprrtttxyy!
        65 0* 3.63508% (89.032% 0.049% 10.919%)   hung over is like,                                                                                                           -------aceeeeeeeghhilnoopprrrttttttuxyyyy!
        66 0* 7.44912% (89.033% 0.049% 10.917%)   hung over is like, the                                                                                                       -------aceeeeeeghilnoopprrrtttttuxyyyy!
        67 0* 3.59797% (89.034% 0.049% 10.917%)   hung over is pretty great once                                                                                               -------eeeeehhiiklloprtttuxyyy,!
        68 0* 13.64383% (89.034% 0.049% 10.917%)   hung over is pretty great once you                                                                                           -------eeeeehhiikllprtttxyy,!
        69 0* 3.55751% (89.034% 0.049% 10.917%)   hung over is like trying to cure                                                                                             -------aeeeeeehhlopprttttxyyy,!
        70 0* 3.59677% (89.034% 0.049% 10.917%)   hung over is like trying to cure the                                                                                         -------aeeeeehlopprtttxyyy,!
        71 0* 3.44181% (89.034% 0.049% 10.917%)   hung over is pretty great, too                                                                                               -------ceeeeeehhiikllnprttuxyyy!
        72 0* 3.68909% (89.034% 0.049% 10.917%)   hung over is pretty great, too!                                                                                              -------ceeeeeehhiikllnprttuxyyy
        73 0* 3.40520% (89.034% 0.049% 10.917%)   hung over rules                                                                                                              -------aceeeeeeeghhiiiklnoopprrttttttxyyyy,!
        74 0* 3.35668% (89.050% 0.049% 10.900%)   hung over is pretty great, like                                                                                              -------ceeeeehhilnooprtttuxyyy!
        75 0* 3.31953% (89.050% 0.049% 10.900%)   hung over really is the                                                                                                      -------ceeeeeeghiiknoopprrtttttuxyyy,!
        76 0* 3.08727% (89.053% 0.049% 10.898%)   hung over is like trying to teach                                                                                            -------eeeeeehlopprrtttuxyyy,!
        77 0* 3.06808% (89.053% 0.049% 10.898%)   hung over is pretty okay, though                                                                                             -------ceeeeeeeiillnprrtttxyy!
        78 0* 3.04919% (89.053% 0.049% 10.898%)   hung over pretty                                                                                                             -------aceeeeeeeghhiiikllnooprrsttttuxyyy,!
        79 0* 2.92763% (89.055% 0.049% 10.896%)   hung over is great!                                                                                                          -------ceeeeeeehhiikllnoopprrtttttuxyyyy,
        80 0* 2.88562% (89.058% 0.049% 10.893%)   hung over is the p                                                                                                           -------aceeeeeeeghiikllnooprrrtttttuxyyyy,!
        81 0* 2.87198% (89.066% 0.049% 10.885%)   really                                                                                                                       -------ceeeeeeeegghhhiiiknnooopprrrsttttttuuvxyyy,!
        82 0* 2.84690% (89.475% 0.049% 10.475%)   hung over is truly                                                                                                           -------aceeeeeeeeghhiiklnoopprrtttttxyyy,!
        83 0* 3.66349% (89.476% 0.049% 10.474%)   hung over is truly the                                                                                                       -------aceeeeeeeghiiklnoopprrttttxyyy,!
        84 0* 2.73817% (89.477% 0.049% 10.474%)   hung over is pretty cr                                                                                                       -------aeeeeeeeghhiikllnooprttttuxyyy,!
        85 0* 2.62002% (89.477% 0.049% 10.474%)   hung over is pretty neat, you                                                                                                -------ceeeeeeghhiiklloprrtttxyy!
        86 0* 2.57758% (89.477% 0.049% 10.474%)   hung over is like eating the                                                                                                 -------ceeeeehloopprrrttttuxyyyy,!
        87 0* 2.57426% (89.477% 0.049% 10.473%)   hung over is legit the                                                                                                       -------aceeeeeehiklnoopprrrttttuxyyyy,!
        88 0* 2.51441% (89.477% 0.049% 10.473%)   hung over is pretty okay, except                                                                                             -------eeeeeghhiillnorrtttuyy!
        89 0* 2.49289% (89.477% 0.049% 10.473%)   hung over is really not                                                                                                      -------ceeeeeeeghhiikopprrtttttuxyyy,!
        90 0* 2.45047% (89.479% 0.049% 10.472%)   hung over is like, pretty                                                                                                    -------aceeeeeeghhilnooprrttttuxyyy!
        91 0* 5.54643% (89.479% 0.049% 10.472%)   hung over is like, pretty great                                                                                              -------ceeeeehhilnooprtttuxyyy!
        92 0* 2.89047% (89.479% 0.049% 10.472%)   hung over is like, pretty great!                                                                                             -------ceeeeehhilnooprtttuxyyy
        93 0* 2.41498% (89.479% 0.049% 10.472%)   hung over is not like                                                                                                        -------aceeeeeeeghhilopprrrtttttuxyyyy,!
        94 0* 2.34581% (89.480% 0.049% 10.471%)   hung over is pretty great, h                                                                                                 -------ceeeeeehiikllnooprtttuxyyy!
        95 0* 2.33776% (89.480% 0.049% 10.471%)   hung over is pretty gro                                                                                                      -------aceeeeeeehhiikllnoprttttuxyyy,!
        96 0* 2.33214% (89.480% 0.049% 10.471%)   hung over is pretty okay, though!                                                                                            -------ceeeeeeeiillnprrtttxyy
        97 0* 2.29259% (89.480% 0.049% 10.471%)   hung over is pretty great, huh                                                                                               -------ceeeeeeiikllnooprtttxyyy!
        98 0* 2.27725% (89.480% 0.049% 10.471%)   hung over sure                                                                                                               -------aceeeeeeeghhiiikllnoopprrttttttxyyyy,!
        99 0* 2.22628% (89.508% 0.049% 10.443%)   hung over is pretty great, in                                                                                                -------ceeeeeehhikllooprtttuxyyy!
       100 0* 2.18385% (89.508% 0.049% 10.443%)   hung over is pretty great in the                                                                                             -------ceeeeehikllooprttuxyyy,!
       101 0* 2.17834% (89.508% 0.049% 10.443%)   hung over is pretty great, except you                                                                                        -------eeeehhiikllnorttyy!
       102 0* 2.15928% (89.508% 0.049% 10.443%)   hung over is pretty great until                                                                                              -------ceeeeeehhiklooprttxyyy,!
       103 0* 2.15427% (89.508% 0.049% 10.443%)   hung over is like the entire                                                                                                 -------aceeeeghloopprrttttuxyyyy,!
       104 0* 2.11127% (89.508% 0.049% 10.443%)   hung over is like trying to touch                                                                                            -------aeeeeeeehlpprrtttxyyy,!
       105 0* 2.85267% (89.508% 0.049% 10.443%)   hung over is like trying to touch the                                                                                        -------aeeeeeelpprrttxyyy,!
       106 0* 2.09606% (89.508% 0.049% 10.443%)   this hung over really                                                                                                        -------ceeeeeeeghiiknoopprrtttttuxyyy,!
       107 0* 1.99577% (89.512% 0.049% 10.439%)   hung over rocks                                                                                                              -------aeeeeeeeeghhiiillnopprrttttttuxyyyy,!
       108 0* 1.92812% (89.517% 0.049% 10.433%)   hung over is pretty great, y                                                                                                 -------ceeeeeehhiikllnooprtttuxyy!
       109 0* 1.91230% (89.517% 0.049% 10.433%)   hung over is pretty great, except the                                                                                        -------eeehiikllnoortuyyy!
       110 0* 1.84536% (89.517% 0.049% 10.433%)   hung over is like trying to teach your                                                                                       -------eeeeeehlpprtttxyy,!
       111 0* 1.82727% (89.517% 0.049% 10.433%)   hung over rules!                                                                                                             -------aceeeeeeeghhiiiklnoopprrttttttxyyyy,
       112 0* 1.81091% (89.528% 0.049% 10.423%)   hung over is pretty great, in theory                                                                                         -------ceeeeehikllopttuxyy!
       113 0* 1.80903% (89.528% 0.049% 10.423%)   hung over really is pretty nice                                                                                              -------eeeeeghhikooprttttuxyy,!
       114 0* 1.79353% (89.528% 0.049% 10.423%)   hung over is pretty l                                                                                                        -------aceeeeeeeghhiiklnooprrttttuxyyy,!
       115 0* 1.78895% (89.528% 0.049% 10.423%)   hung over is pretty great in theory!                                                                                         -------ceeeeehikllopttuxyy,
       116 0* 1.74073% (89.528% 0.049% 10.423%)   super hung                                                                                                                   -------aceeeeeeeeghhiiikllnoooprrrttttttvxyyyy,!
       117 0* 4.06164% (89.584% 0.049% 10.366%)   super hung over                                                                                                              -------aceeeeeeeghhiiikllnooprrttttttxyyyy,!
       118 0* 1.71108% (89.602% 0.049% 10.348%)   hung over truly                                                                                                              -------aceeeeeeeeghhiiiklnoopprrstttttxyyy,!
       119 0* 2.60501% (89.604% 0.049% 10.347%)   hung over truly is                                                                                                           -------aceeeeeeeeghhiiklnoopprrtttttxyyy,!
       120 0* 3.93642% (89.605% 0.049% 10.346%)   hung over truly is the                                                                                                       -------aceeeeeeeghiiklnoopprrttttxyyy,!
       121 0* 1.70715% (89.606% 0.049% 10.345%)   hung over is the true                                                                                                        -------aceeeeeeghiikllnoopprrttttxyyyy,!
       122 0* 1.78180% (89.606% 0.049% 10.345%)   hung over is the true price                                                                                                  -------aeeeeeghikllnooprttttxyyyy,!
       123 0* 1.69607% (89.606% 0.049% 10.345%)   hung over is pretty g                                                                                                        -------aceeeeeeehhiikllnooprrttttuxyyy,!
       124 0* 1.65484% (89.606% 0.049% 10.345%)   hung over is like trying to create                                                                                           -------eeeeehhlopprtttuxyyy,!
       125 0* 1.65269% (89.606% 0.049% 10.345%)   hung over is pretty great in theory, except                                                                                  -------eeehikllotuyy!
       126 0* 1.65001% (89.606% 0.049% 10.345%)   hung over is pretty legit,                                                                                                   -------aceeeeeehhiklnooprrtttuxyyy!
       127 0* 1.63363% (89.606% 0.049% 10.345%)   hung over is pretty al                                                                                                       -------ceeeeeeeghhiiklnooprrttttuxyyy,!
       128 0* 1.61767% (89.606% 0.049% 10.344%)   hung over is like a                                                                                                          -------ceeeeeeeghhilnoopprrrttttttuxyyyy,!
       129 0* 1.57874% (89.611% 0.049% 10.340%)   hung over is pretty great, holy                                                                                              -------ceeeeeehiiklnoprtttuxyy!
       130 0* 1.80092% (89.611% 0.049% 10.340%)   hung over is pretty great, holy hop                                                                                          -------ceeeeeeiiklnrtttuxyy!
       131 0* 1.56341% (89.611% 0.049% 10.340%)   hung over is like trying to put the                                                                                          -------aceeeeeehloprrttxyyy,!
       132 0* 1.56062% (89.611% 0.049% 10.340%)   hung over is like trying to pe                                                                                               -------aceeeeeehhloprrttttuxyyy,!
       133 0* 1.95936% (89.611% 0.049% 10.340%)   hung over is like trying to pee                                                                                              -------aceeeeehhloprrttttuxyyy,!
       134 0* 1.53741% (89.611% 0.049% 10.340%)   even                                                                                                                         -------aceeeeeeegghhhiiikllnooopprrrrsttttttuuxyyyy,!
       135 0* 1.52051% (89.770% 0.050% 10.180%)   hung over is really pretty nice                                                                                              -------eeeeeghhikooprttttuxyy,!
       136 0* 1.49853% (89.770% 0.050% 10.180%)   hung over is like trying out                                                                                                 -------aceeeeeeehhlopprrttttxyyy,!
       137 0* 1.49821% (89.770% 0.050% 10.180%)   hung over is pretty nice, you                                                                                                -------aeeeeeeghhiklloprrttttxyy!
       138 0* 1.45470% (89.770% 0.050% 10.180%)   hung over is pretty great, once                                                                                              -------eeeeehhiiklloprtttuxyyy!
       139 0* 6.05584% (89.770% 0.050% 10.180%)   hung over is pretty great, once you                                                                                          -------eeeeehhiikllprtttxyy!
       140 0* 1.43322% (89.770% 0.050% 10.180%)   hung over is pretty great, in theory!                                                                                        -------ceeeeehikllopttuxyy
       141 0* 1.43275% (89.770% 0.050% 10.180%)   hung over is no                                                                                                              -------aceeeeeeeeghhiikllopprrrttttttuxyyyy,!
       142 0* 1.41941% (89.809% 0.050% 10.141%)   hung over is pretty tough                                                                                                    -------aceeeeeeehiikllnoprrtttxyyy,!
       143 0* 1.40180% (89.809% 0.050% 10.141%)   hung over is a                                                                                                               -------ceeeeeeeeghhiikllnoopprrrttttttuxyyyy,!
       144 0* 10.98716% (89.876% 0.050% 10.074%)   hung over is a pretty                                                                                                        -------ceeeeeeeghhiikllnooprrttttuxyyy,!
       145 0* 1.73179% (89.878% 0.050% 10.072%)   hung over is a little                                                                                                        -------ceeeeeeeghhiknoopprrrttttuxyyyy,!
       146 0* 1.36789% (89.879% 0.050% 10.072%)   hung over is pretty rough, yo                                                                                                -------aceeeeeeehiikllnprttttxyy!
       147 0* 1.34218% (89.879% 0.050% 10.072%)   hung over is like trying to carry                                                                                            -------eeeeeeehhloppttttuxyy,!
       148 0* 1.33409% (89.879% 0.050% 10.072%)   hung over is pretty ok                                                                                                       -------aceeeeeeeghhiillnoprrttttuxyyy,!
       149 0* 1.29690% (89.879% 0.050% 10.072%)   hung over is like trying to eat your                                                                                         -------ceeeeeehhlpprtttxyy,!
       150 0* 1.29279% (89.879% 0.050% 10.072%)   hung over is like trying to pet                                                                                              -------aceeeeeehhloprrtttuxyyy,!
       151 0* 1.27790% (89.879% 0.050% 10.072%)   hung over is like trying to eat the                                                                                          -------ceeeeehlopprrttuxyyy,!
       152 0* 1.25328% (89.879% 0.050% 10.072%)   hung over is like trying to put a                                                                                            -------ceeeeeeehhloprrtttxyyy,!
       153 0* 1.23647% (89.879% 0.050% 10.072%)   hung over is pretty great on                                                                                                 -------ceeeeeehhiiklloprtttuxyyy,!
       154 0* 1.23338% (89.879% 0.050% 10.072%)   hung over rocks!                                                                                                             -------aeeeeeeeeghhiiillnopprrttttttuxyyyy,
       155 0* 1.22191% (89.883% 0.050% 10.067%)   hung over is pretty great, unlike                                                                                            -------ceeeeehhilooprtttxyyy!
       156 0* 1.21854% (89.883% 0.050% 10.067%)   sick never                                                                                                                   -------aeeeeeeegghhhiillnooopprrrttttttuuxyyyy,!
       157 0* 1.21852% (89.893% 0.050% 10.058%)   hung over is pretty great, to                                                                                                -------ceeeeeehhiikllnoprttuxyyy!
       158 0* 1.21475% (89.893% 0.050% 10.058%)   hung over is pretty okay except                                                                                              -------eeeeeghhiillnorrtttuyy,!
       159 0* 1.20560% (89.893% 0.050% 10.058%)   hung over is pretty legit, you                                                                                               -------aceeeeeehhiklnoprrtttxyy!
       160 0* 1.18641% (89.893% 0.050% 10.058%)   hung over really is pretty nice!                                                                                             -------eeeeeghhikooprttttuxyy,
       161 0* 1.17189% (89.893% 0.050% 10.058%)   hung over is the price                                                                                                       -------aeeeeeeghikllnooprrtttttuxyyyy,!
       162 0* 3.38302% (89.893% 0.050% 10.057%)   hung over is the price you                                                                                                   -------aeeeeeeghikllnoprrtttttxyyy,!
       163 0* 8.57147% (89.893% 0.050% 10.057%)   hung over is the price you pay                                                                                               -------eeeeeeghikllnorrtttttxyy,!
       164 0* 1.71099% (89.893% 0.050% 10.057%)   hung over is the price you pay to                                                                                            -------eeeeeeghikllnrrttttxyy,!
       165 0* 5.89428% (89.893% 0.050% 10.057%)   hung over is the price you pay to get                                                                                        -------eeeeehikllnrrtttxyy,!
       166 0* 1.16424% (89.893% 0.050% 10.057%)   hung over is pretty great you                                                                                                -------ceeeeeehhiikllnoprtttxyy,!
       167 0* 1.15839% (89.893% 0.050% 10.057%)   hung over is pretty gn                                                                                                       -------aceeeeeeehhiikllooprrttttuxyyy,!
       168 0* 1.12419% (89.893% 0.050% 10.057%)   hung over is pretty nice too                                                                                                 -------aeeeeeeghhikllprrtttuxyyy,!
       169 0* 1.11142% (89.893% 0.050% 10.057%)   hung over is pretty great, it                                                                                                -------ceeeeeehhikllnooprttuxyyy!
       170 0* 1.10191% (89.893% 0.050% 10.057%)   hung over is a pretty legit                                                                                                  -------ceeeeeehhiklnooprrtttuxyyy,!
       171 0* 1.07774% (89.893% 0.050% 10.057%)   hung over is like trying to po                                                                                               -------aceeeeeeehhlprrttttuxyyy,!
       172 0* 1.06241% (89.893% 0.050% 10.057%)   hung over is the only                                                                                                        -------aceeeeeeeghiiklopprrrtttttuxyyy,!
       173 0* 1.05608% (89.895% 0.050% 10.056%)   hung over is like trying to pet a                                                                                            -------ceeeeeehhloprrtttuxyyy,!
       174 0* 1.04930% (89.895% 0.050% 10.056%)   hung over truly is like                                                                                                      -------aceeeeeeeghhinoopprrtttttxyyy,!
       175 0* 1.04769% (89.895% 0.050% 10.056%)   hung over is like trying to re                                                                                               -------aceeeeeehhlopprttttuxyyy,!
       176 0* 1.03145% (89.895% 0.050% 10.056%)   hung over is pretty tough!                                                                                                   -------aceeeeeeehiikllnoprrtttxyyy,
       177 0* 1.02618% (89.895% 0.050% 10.055%)   hung over really is pretty rough                                                                                             -------ceeeeeehiiknopttttxyy,!
       178 0* 0.99797% (89.895% 0.050% 10.055%)   hung over is pretty great, except it                                                                                         -------eeeehhikllnoortuyyy!
       179 0* 0.99673% (89.895% 0.050% 10.055%)   hung over is pretty great, except there                                                                                      -------eehiikllnootuyyy!
       180 0* 0.99381% (89.895% 0.050% 10.055%)   hung over is a pretty nice                                                                                                   -------eeeeeeghhikllooprrttttuxyyy,!
       181 0* 0.98362% (89.895% 0.050% 10.055%)   hung over is pretty great, let                                                                                               -------ceeeeehhiiklnooprttuxyyy!
       182 0* 0.96891% (89.895% 0.050% 10.055%)   hung over is like trying to party                                                                                            -------ceeeeeeehhloprtttuxyy,!
       183 0* 0.96572% (89.895% 0.050% 10.055%)   hung over is not great                                                                                                       -------ceeeeeeehhiikllopprrttttuxyyyy,!
       184 0* 12.92605% (89.895% 0.050% 10.055%)   hung over is not great either                                                                                                -------ceeeeehikllopprtttuxyyyy,!
       185 0* 10.27823% (89.896% 0.050% 10.055%)   hung over is not great either!                                                                                               -------ceeeeehikllopprtttuxyyyy,
       186 0* 3.13525% (89.896% 0.050% 10.055%)   hung over is not great either,                                                                                               -------ceeeeehikllopprtttuxyyyy!
       187 0* 0.95469% (89.896% 0.050% 10.055%)   hung over truly is the price                                                                                                 -------aeeeeeeghiklnooprttttxyyy,!
       188 0* 0.95344% (89.896% 0.050% 10.055%)   hung over is really pretty nice!                                                                                             -------eeeeeghhikooprttttuxyy,
       189 0* 0.95017% (89.896% 0.050% 10.055%)   hung over is like people                                                                                                     -------aceeeeeghhinorrrttttttuxyyyy,!
       190 0* 0.94390% (89.896% 0.050% 10.055%)   the                                                                                                                          -------aceeeeeeeegghhiiikllnnooopprrrrstttttuuvxyyyy,!
       191 0* 1.05735% (90.128% 0.050% 9.822%)   the only                                                                                                                     -------aceeeeeeeegghhiiiklnoopprrrrstttttuuvxyyy,!
       192 0* 0.93801% (90.180% 0.050% 9.770%)   hung over is like not                                                                                                        -------aceeeeeeeghhilopprrrtttttuxyyyy,!
       193 0* 0.92455% (90.181% 0.050% 9.770%)   hung over rules pretty                                                                                                       -------aceeeeeeghhiiiklnooprttttxyyy,!
       194 0* 0.90469% (90.181% 0.050% 9.770%)   hung over is pretty not                                                                                                      -------aceeeeeeeghhiiklloprrtttuxyyy,!
       195 0* 3.17622% (90.181% 0.050% 9.769%)   hung over is pretty not great                                                                                                -------ceeeeeehhiiklloprttuxyyy,!
       196 0* 2.33268% (90.181% 0.050% 9.769%)   hung over is pretty not great!                                                                                               -------ceeeeeehhiiklloprttuxyyy,
       197 0* 1.83460% (90.181% 0.050% 9.769%)   hung over is pretty not great either                                                                                         -------ceeeehiklloptuxyyy,!
       198 0* 1.62403% (90.181% 0.050% 9.769%)   hung over is pretty not great either!                                                                                        -------ceeeehiklloptuxyyy,
       199 0* 1.04778% (90.181% 0.050% 9.769%)   hung over is pretty not great,                                                                                               -------ceeeeeehhiiklloprttuxyyy!
       200 0* 0.89901% (90.181% 0.050% 9.769%)   hung over is pretty okay though, except                                                                                      -------eeeeeiillnrrttyy!
       201 0* 0.87666% (90.181% 0.050% 9.769%)   hung over is like trying to che                                                                                              -------aeeeeeehlopprrttttuxyyy,!
       202 0* 0.87633% (90.181% 0.050% 9.769%)   hung over is pretty okay, right                                                                                              -------ceeeeeeehillnoprtttuxyy!
