Wow! No wonder people like capitalism so much!!
         0 0* 0.27465% (91.1166%/0.0000%)   No                                                                                                                           ----------cdeeeehikllmnoooopprsuwwW!!!
        17 0* 0.01519% (97.6852%/0.0338%)   No one                                                                                                                       ----------cdeeehikllmooopprsuwwW!!!
        18 0* 0.03688% (97.6883%/0.0368%)   No one would                                                                                                                 ----------ceeehiklmoopprswW!!!
        19 0* 0.02182% (97.6886%/0.0368%)   No one could                                                                                                                 ----------eeehiklmoopprswwW!!!
        20 0* 0.01279% (97.6887%/0.0369%)   Now would                                                                                                                    ----------ceeeehiklmnooopprsW!!!
        21 0* 0.01029% (97.6891%/0.0371%)   Would people                                                                                                                 ----------ceehikmnooorsww!!!N
        22 0* 0.00978% (97.6891%/0.0372%)   Now look                                                                                                                     ----------cdeeeehilmnoopprsuwW!!!
        23 0* 0.00938% (97.6892%/0.0376%)   Welcome                                                                                                                      ----------deehiklnoooopprsuww!!!N
        24 0* 0.00829% (97.6954%/0.0376%)   Well done                                                                                                                    ----------ceehikmoooopprsuww!!!N
        25 0* 0.00803% (97.7054%/0.0382%)   Would someone                                                                                                                ----------ceehikloopprww!!!N
        26 0* 0.00689% (97.7055%/0.0385%)   Nooo!                                                                                                                        ----------cdeeeehikllmnoopprsuwwW!!
        27 0* 0.00514% (97.7077%/0.0386%)   Wouldn                                                                                                                       ----------ceeeehiklmoooopprsww!!!N
        28 0* 0.00420% (97.7229%/0.0386%)   New                                                                                                                          ----------cdeeehikllmnooooopprsuwW!!!
        29 0* 0.00345% (97.8471%/0.0386%)   Now people                                                                                                                   ----------cdeehiklmnooorsuwW!!!
        30 0* 0.00344% (97.8471%/0.0387%)   N                                                                                                                            ----------cdeeeehikllmnooooopprsuwwW!!!
        31 0* 0.00331% (98.0916%/0.0387%)   No wonder we                                                                                                                 ----------ceehikllmoooppsuW!!!
        32 0* 0.00324% (98.0919%/0.0387%)   Now someone                                                                                                                  ----------cdeehikllooppruwW!!!
        33 0* 0.00275% (98.0919%/0.0389%)   Noooo                                                                                                                        ----------cdeeeehikllmnopprsuwwW!!!
        34 0* 0.00327% (98.1015%/0.0391%)   Noooo!                                                                                                                       ----------cdeeeehikllmnopprsuwwW!!
        35 0* 0.00273% (98.1049%/0.0391%)   Well du                                                                                                                      ----------ceeehikmnooooopprsww!!!N
        36 0* 0.00261% (98.1159%/0.0392%)   Wow! Now                                                                                                                     ----------cdeeeehikllmnooopprsu!!
        37 0* 0.00250% (98.1179%/0.0393%)   well                                                                                                                         ----------cdeeehikmnooooopprsuwW!!!N
        38 0* 0.00244% (98.1528%/0.0393%)   W                                                                                                                            ----------cdeeeehikllmnooooopprsuww!!!N
        39 0* 0.00577% (98.8301%/0.0393%)   Woo                                                                                                                          ----------cdeeeehikllmnooopprsuww!!!N
        40 0* 0.00235% (98.8402%/0.0407%)   Now we                                                                                                                       ----------cdeeehikllmnoooopprsuW!!!
        41 0* 0.00227% (98.8431%/0.0413%)   Now now                                                                                                                      ----------cdeeeehikllmooopprsuW!!!
        42 0* 0.00218% (98.8434%/0.0415%)   Well done!                                                                                                                   ----------ceehikmoooopprsuww!!N
        43 0* 0.00218% (98.8447%/0.0416%)   Woo!                                                                                                                         ----------cdeeeehikllmnooopprsuww!!N
        44 0* 0.00213% (98.8514%/0.0419%)   Well done! Now                                                                                                               ----------ceehikmooopprsuw!!
        45 0* 0.00201% (98.8515%/0.0419%)   Now don                                                                                                                      ----------ceeeehikllmooopprsuwW!!!
        46 0* 0.00198% (98.8521%/0.0419%)   Well ok                                                                                                                      ----------cdeeehimnoooopprsuww!!!N
        47 0* 0.00179% (98.8525%/0.0421%)   Wo                                                                                                                           ----------cdeeeehikllmnoooopprsuww!!!N
        48 0* 0.00178% (98.8910%/0.0421%)   Noo                                                                                                                          ----------cdeeeehikllmnooopprsuwwW!!!
        49 0* 0.00154% (98.8922%/0.0427%)   o                                                                                                                            ----------cdeeeehikllmnoooopprsuwwW!!!N
        50 0* 0.00186% (98.9075%/0.0427%)   ooo                                                                                                                          ----------cdeeeehikllmnoopprsuwwW!!!N
        51 0* 0.00145% (98.9093%/0.0432%)   No new                                                                                                                       ----------cdeeehikllmoooopprsuwW!!!
        52 0* 0.00141% (98.9116%/0.0434%)   ok                                                                                                                           ----------cdeeeehillmnoooopprsuwwW!!!N
        53 0* 0.00133% (98.9144%/0.0434%)   None                                                                                                                         ----------cdeeehikllmoooopprsuwwW!!!
        54 0* 0.00133% (98.9194%/0.0434%)   Wooo                                                                                                                         ----------cdeeeehikllmnoopprsuww!!!N
        55 0* 0.00132% (98.9227%/0.0435%)   No wonder people like capitalism                                                                                             chmoosuwW!!!
        56 0* 0.00328% (98.9227%/0.0435%)   No wonder people like capitalism!                                                                                            chmoosuwW!!
        57 0* 0.00127% (98.9227%/0.0435%)   Nice                                                                                                                         ----------deeehkllmnooooopprsuwwW!!!
        58 0* 0.01110% (98.9888%/0.0435%)   Nice work                                                                                                                    ----------deeehllmnooooppsuwW!!!
        59 0* 0.00719% (98.9937%/0.0439%)   Nice one                                                                                                                     ----------deehkllmoooopprsuwwW!!!
        60 0* 0.00230% (99.0142%/0.0446%)   Nice one!                                                                                                                    ----------deehkllmoooopprsuwwW!!
        61 0* 0.00125% (99.0174%/0.0448%)   Now do                                                                                                                       ----------ceeeehikllmnooopprsuwW!!!
        62 0* 0.00113% (99.0184%/0.0450%)   oo                                                                                                                           ----------cdeeeehikllmnooopprsuwwW!!!N
        63 0* 0.00113% (99.0211%/0.0455%)   No no!                                                                                                                       ----------cdeeeehikllmooopprsuwwW!!
        64 0* 0.00109% (99.0218%/0.0456%)   Nope! Would                                                                                                                  ----------ceeehiklmnoooprsww!!
        65 0* 0.00110% (99.0218%/0.0456%)   Nope! Wouldn                                                                                                                 ----------ceeehiklmoooprsww!!
        66 0* 0.00107% (99.0218%/0.0456%)   Well!                                                                                                                        ----------cdeeehikmnooooopprsuww!!N
        67 0* 0.00136% (99.0381%/0.0500%)   Well! Now                                                                                                                    ----------cdeeehikmnoooopprsuw!!
        68 0* 0.00104% (99.0385%/0.0500%)   No more!                                                                                                                     ----------cdeeehikllnoooppsuwwW!!
        69 0* 0.00099% (99.0386%/0.0501%)                                                                                                                                ----------cdeeeehikllmnooooopprsuwwW!!!N
        70 0* 0.00095% (99.2246%/0.0501%)   um                                                                                                                           ----------cdeeeehikllnooooopprswwW!!!N
        71 0* 0.00092% (99.2486%/0.0501%)   now                                                                                                                          ----------cdeeeehikllmoooopprsuwW!!!N
        72 0* 0.00086% (99.2568%/0.0501%)   We                                                                                                                           ----------cdeeehikllmnooooopprsuww!!!N
        73 0* 0.00596% (99.3361%/0.0501%)   We could                                                                                                                     ----------eeehiklmnoooopprsww!!!N
        74 0* 0.00086% (99.3363%/0.0514%)   no                                                                                                                           ----------cdeeeehikllmoooopprsuwwW!!!N
        75 0* 0.00079% (99.3545%/0.0514%)   No W                                                                                                                         ----------cdeeeehikllmnoooopprsuww!!!
        76 0* 0.00079% (99.3610%/0.0515%)   Wow! No                                                                                                                      ----------cdeeeehikllmnooopprsuw!!
        77 0* 0.00752% (99.3613%/0.0515%)   Wow! No wonder                                                                                                               ----------ceeehikllmooppsu!!
        78 0* 0.06727% (99.3615%/0.0515%)   Wow! No wonder people                                                                                                        ----------cehiklmosu!!
        79 0* 0.03358% (99.3615%/0.0515%)   Wow! No wonder people like                                                                                                   ----------chmosu!!
        80 0* 0.04408% (99.3615%/0.0515%)   Wow! No wonder people like capitalism                                                                                        chmosu!!
        81 0* 0.12574% (99.3615%/0.0515%)   Wow! No wonder people like capitalism!                                                                                       chmosu!
        82 0* 0.00587% (99.3615%/0.0515%)   Wow! No wonder people like capitalism so                                                                                     chmu!!
