has one man sucked on his fingers so much for so little
         0 0* 230.25005% mind                                                                                                                          -------aacceeefhhhikllmnnooooorsssssttuu
        75 0* 0.17870%  seen that                                                                                                                    -------accdefhhiikllmmnnooooorssssuu
        76 0* 0.31688%  seen that much                                                                                                               -------acdefhiikllmnnooooorssssu
        77 0* 0.17763% mind it                                                                                                                       -------aacceeefhhhkllmnnooooorssssstuu
        78 0* 0.17157%  has such                                                                                                                     -------acdeeefhiikllmmnnnooooorsssttu
        79 0* 0.18176%  has such a                                                                                                                   -------cdeeefhiikllmmnnnooooorsssttu
        80 0* 0.16659%  heard that                                                                                                                   -------cceefhiikllmmnnnooooosssssuu
        81 0* 0.56139%  heard that one                                                                                                               -------ccefhiikllmmnnoooosssssuu
        82 0* 0.16535%  let me                                                                                                                       -------aaccdefhhhiiklmnnnooooorssssstuu
        83 0* 0.15618%  heard of the                                                                                                                 -------accehiikllmmnnnoooossssstuu
        84 0* 0.15572%  meet                                                                                                                         -------aaccdefhhhiikllmnnnooooorssssstuu
        85 0* 0.15356%  date a                                                                                                                       -------cceefhhhiikllmmnnnooooorssssstuu
        86 0* 0.15234%  call me that                                                                                                                 -------cdeefhhiikmnnnooooorsssssuu
        87 0* 0.14889%  had a                                                                                                                        -------cceeefhhiikllmmnnnooooorsssssttuu
        88 0* 0.14697%  mind the                                                                                                                     -------aacceefhhikllmnnooooorssssstuu
        89 0* 0.14524%  use                                                                                                                          -------aaccdeefhhhiikllmmnnnooooorssssttu
        90 0* 0.37480%  use the                                                                                                                      -------aaccdefhhiikllmmnnnooooorsssstu
        91 0* 0.14269%  call me a                                                                                                                    -------cdeefhhhiikmnnnooooorsssssttuu
        92 0* 0.13952%  listen to a man                                                                                                              -------ccdeefhhhiklmnoooorssssuu
        93 0* 0.13812%  call me on a                                                                                                                 -------cdeefhhhiikmnnoooorsssssttuu
        94 0* 0.27316%  call me on a first                                                                                                           -------cdeehhhikmnnoooosssstuu
        95 0* 0.22557%  call me on a second                                                                                                          -------efhhhiikmnooorssssttuu
        96 0* 0.13713%  take me                                                                                                                      -------accdefhhhiillmnnnooooorssssstuu
        97 0* 0.13902%  take me out                                                                                                                  -------accdefhhhiillmnnnoooorsssssu
        98 0* 0.19247%  take me out on                                                                                                               -------accdefhhhiillmnnooorsssssu
        99 0* 0.13677%  has so                                                                                                                       -------accdeeefhhiikllmmnnnoooorsssttuu
       100 0* 0.91723%  has so much                                                                                                                  -------acdeeefhiikllmnnnoooorsssttu
       101 0* 0.38094%  has so little                                                                                                                -------accdeefhhikmmnnnoooorsssuu
       102 0* 0.13835%  has so much suck                                                                                                             -------adeeefhiillmnnnoooorsstt
       103 0* 0.13397%  look                                                                                                                         -------aaccdeeefhhhiilmmnnnooorsssssttuu
       104 0* 0.13366%  should                                                                                                                       -------aacceeefhhiiklmmnnnoooorssssttu
       105 0* 0.13345%  take me out on a                                                                                                             -------ccdefhhhiillmnnooorsssssu
       106 0* 0.13339%  ask me                                                                                                                       -------accdeefhhhiillmnnnooooorssssttuu
       107 0* 0.13331%  call the                                                                                                                     -------acdeefhhiikmmnnnooooorssssstuu
       108 0* 0.13033%  take me on                                                                                                                   -------accdefhhhiillmnnoooorssssstuu
       109 0* 0.17702%  take me on a                                                                                                                 -------ccdefhhhiillmnnoooorssssstuu
       110 0* 0.13027%  come                                                                                                                         -------aacdeefhhhiikllmnnnoooorsssssttuu
       111 0* 0.12964%  heard the                                                                                                                    -------accefhiikllmmnnnooooossssstuu
       112 0* 0.12907%  mind then                                                                                                                    -------aacceefhhikllmnooooorssssstuu
       113 0* 0.12521% mind all                                                                                                                      -------acceeefhhhikmnnooooorsssssttuu
       114 0* 0.12473%  since                                                                                                                        -------aacdeefhhhikllmmnnooooorssssttuu
       115 0* 0.12161%  too                                                                                                                          -------aaccdeeefhhhiikllmmnnnooorssssstuu
       116 0* 0.47326%  too late                                                                                                                     -------accdeefhhhiiklmmnnnooorsssssuu
       117 0* 0.70982%  too late for                                                                                                                 -------accdeehhhiiklmmnnnoosssssuu
       118 0* 0.54032%  too late for second                                                                                                          -------acehhhiiklmmnnossssuu
       119 0* 0.23637%  too late for a                                                                                                               -------ccdeehhhiiklmmnnnoosssssuu
       120 0* 0.54959%  too late for a second                                                                                                        -------cehhhiiklmmnnossssuu
       121 0* 0.17086%  too late for some                                                                                                            -------accdehhhiiklmnnnossssuu
       122 0* 0.12123%  kiss and                                                                                                                     -------acceeefhhhillmmnnooooorsssttuu
       123 0* 0.74267%  kiss and tell                                                                                                                -------acceefhhhimmnnooooorssstuu
       124 0* 0.12059%  send                                                                                                                         -------aacceefhhhiikllmmnnooooorssssttuu
       125 0* 0.11718%  kiss a                                                                                                                       -------accdeeefhhhillmmnnnooooorsssttuu
       126 0* 0.11213%  once sucked                                                                                                                  -------aaefhhhiillmmnnoooorssssttu
       127 0* 0.18741%  once sucked on                                                                                                               -------aaefhhhiillmmnooorssssttu
       128 0* 0.18034%  once sucked on fingers                                                                                                       aaefhhhiillmmnooorssssttu
       129 0* 0.19896%  once sucked on fingers for                                                                                                   aaehhhiillmmnoossssttu
       130 0* 0.11324%  once sucked on fingers for that                                                                                              aehhiillmmnoossssu
       131 0* 0.11168%  tell a man he                                                                                                                -------ccdefhhiikmnnooooorssssstuu
       132 0* 0.11129%  in the course of human social                                                                                                -------dehklmnoossst
       133 0* 0.11116%  fuck                                                                                                                         -------aacdeeehhhiillmmnnnooooorsssssttu
       134 0* 0.11115%  not                                                                                                                          -------aaccdeeefhhhiikllmmnnoooorssssstuu
       135 0* 0.10855%  once sucked on fingers for that small                                                                                        ehhiimnoosssu
       136 0* 0.10735%  in the course of a                                                                                                           -------acdehhikllmmnnooosssstu
       137 0* 0.10673%  heard of a                                                                                                                   -------cceehhiikllmmnnnoooosssssttuu
       138 0* 0.10592%  assume the                                                                                                                   -------accdefhhiikllmnnnooooorssstu
       139 0* 0.10518%  ask me to                                                                                                                    -------accdeefhhhiillmnnnoooorsssstuu
       140 0* 0.10389% mind the fact                                                                                                                 -------aceehhikllmnnooooorsssssuu
       141 0* 0.10358%  mind it                                                                                                                      -------aacceeefhhhkllmnnooooorssssstuu
       142 0* 0.10324%  seen a                                                                                                                       -------accdefhhhiikllmmnnooooorssssttuu
       143 0* 0.10298%  could                                                                                                                        -------aaceeefhhhiiklmmnnnoooorsssssttu
       144 0* 0.10257%  kiss a man                                                                                                                   -------ccdeeefhhhillmnnooooorsssttuu
       145 0* 0.09737%  met                                                                                                                          -------aaccdeefhhhiikllmnnnooooorssssstuu
       146 0* 0.09631%  look into                                                                                                                    -------aaccdeeefhhhilmmnnoorssssstuu
       147 0* 0.09570%  in all our                                                                                                                   -------accdeeefhhhikmmnnoooosssssttu
       148 0* 0.09055%  in the course of man                                                                                                         -------acdehhikllmnooosssstu
       149 0* 0.08985%  once asked                                                                                                                   -------acefhhhiillmmnnoooorssssttuu
       150 0* 0.08917%  touch me like                                                                                                                -------aacdefhhilmnnnoooorssssstu
       151 0* 0.08851% mind all that                                                                                                                 -------cceeefhhikmnnooooorsssssuu
       152 0* 0.08708%  once said                                                                                                                    -------aceefhhhikllmmnnoooorssssttuu
       153 0* 0.08676%  date for                                                                                                                     -------acceehhhiikllmmnnnoooossssstuu
       154 0* 0.08564%  has so much come                                                                                                             -------adeefhiikllnnnooorsssttu
       155 0* 0.08388% mind the suck                                                                                                                 -------aaceefhhillmnnooooorsssstu
       156 0* 0.08326%  sell                                                                                                                         -------aaccdeefhhhiikmmnnnooooorssssttuu
       157 0* 0.08258%  the                                                                                                                          -------aaccdeefhhiikllmmnnnooooorssssstuu
       158 0* 0.43571%  the less                                                                                                                     -------aaccdefhhiiklmmnnnooooorssstuu
       159 0* 0.08192%  since the                                                                                                                    -------aacdefhhikllmmnnooooorsssstuu
       160 0* 0.08110%  make fun                                                                                                                     -------accdeehhhiillmnnooooorsssssttu
       161 0* 0.07764%  in all of                                                                                                                    -------accdeeehhhikmmnnoooorsssssttuu
       162 0* 0.07718%  has so much come out                                                                                                         -------adeefhiikllnnnoorssst
       163 0* 0.23985%  has so much come out of                                                                                                      -------adeehiikllnnnorssst
       164 0* 0.60352%  has so much come out of so                                                                                                   -------adeehiikllnnnrsst
       165 0* 0.07693%  done it                                                                                                                      -------aacceefhhhikllmmnnoooorssssstuu
       166 0* 0.08863%  done it for                                                                                                                  -------aacceehhhikllmmnnooossssstuu
       167 0* 0.22446%  done it for less                                                                                                             -------aaccehhhiklmmnnooossstuu
       168 0* 1.14652%  done it for less than                                                                                                        -------accehhiklmmnooosssuu
       169 0* 0.14229%  done it for less than a                                                                                                      -------ccehhiklmmnooosssuu
       170 0* 0.09990%  done it for less than                                                                                                        -------accehhiklmmnooosssuu
       171 0* 0.07595%  seen such                                                                                                                    -------aacdefhhiikllmmnnooooorsssttu
       172 0* 0.07568%  seen that much cash                                                                                                          -------defiikllmnnooooorsssu
       173 0* 0.07535%  not suck                                                                                                                     -------aacdeeefhhhiillmmnnoooorsssstu
       174 0* 0.07478%  come to                                                                                                                      -------aacdeefhhhiikllmnnnooorssssstuu
       175 0* 0.07447%  do it                                                                                                                        -------aacceeefhhhikllmmnnnoooorssssstuu
       176 0* 0.07368%  for                                                                                                                          -------aaccdeeehhhiikllmmnnnoooosssssttuu
       177 0* 0.07313%  date on                                                                                                                      -------acceefhhhiikllmmnnoooorssssstuu
       178 0* 0.07171%  take me to                                                                                                                   -------accdefhhhiillmnnnoooorsssssuu
       179 0* 0.07123%  mind all                                                                                                                     -------acceeefhhhikmnnooooorsssssttuu
       180 0* 0.07106%  make me                                                                                                                      -------accdefhhhiillnnnooooorsssssttuu
       181 0* 0.07087%  ask me that                                                                                                                  -------ccdeefhhiillmnnnooooorssssuu
       182 0* 0.07067% mind this                                                                                                                     -------aacceeefhhkllmnnooooorsssstuu
       183 0* 0.06926%  look at                                                                                                                      -------accdeeefhhhiilmmnnnooorssssstuu
       184 0* 0.08406%  look at me                                                                                                                   -------accdeefhhhiilmnnnooorssssstuu
       185 0* 0.06883%  take a                                                                                                                       -------ccdeefhhhiillmmnnnooooorssssstuu
       186 0* 0.06656%  seen such a                                                                                                                  -------acdefhhiikllmmnnooooorsssttu
       187 0* 0.06623%  in the course of human disc                                                                                                  -------aehkllmnooossst
       188 0* 0.06596%  call me on it                                                                                                                -------acdeefhhhikmnnoooorssssstuu
       189 0* 0.06563%  has an                                                                                                                       -------ccdeeefhhiikllmmnnooooorssssttuu
       190 0* 0.06532%  has so much hell                                                                                                             -------acdeefiikmnnnoooorsssttu
       191 0* 0.08082%  has so much hella                                                                                                            -------cdeefiikmnnnoooorsssttu
       192 0* 0.06498%  take me out for                                                                                                              -------accdehhhiillmnnnooosssssu
       193 0* 0.06492%  heard such                                                                                                                   -------aceefhiikllmmnnnooooossssttu
       194 0* 0.06271%  make a                                                                                                                       -------ccdeefhhhiillmnnnooooorsssssttuu
       195 0* 0.06246%  let the                                                                                                                      -------aaccdefhhiiklmmnnnooooorsssssuu
       196 0* 0.06208%  touch the                                                                                                                    -------aacdeefhiikllmmnnnoooorsssssu
       197 0* 0.06134%  done that                                                                                                                    -------acceefhhiikllmmnnoooorsssssuu
       198 0* 0.06109%  asked                                                                                                                        -------acceefhhhiillmmnnnooooorssssttuu
       199 0* 0.07659%  asked for                                                                                                                    -------acceehhhiillmmnnnoooossssttuu
       200 0* 0.06059%  come near                                                                                                                    -------acdefhhhiikllmnnoooosssssttuu
       201 0* 0.06023%  look into the                                                                                                                -------aaccdeefhhilmmnnoorsssssuu
       202 0* 0.06011% mind all the                                                                                                                  -------acceefhhikmnnooooorssssstuu
       203 0* 0.06626% mind all the other                                                                                                            -------accefhikmnnoooosssssuu
       204 0* 0.06002%  mind the fact                                                                                                                -------aceehhikllmnnooooorsssssuu
       205 0* 0.05977%  made                                                                                                                         -------acceefhhhiikllmnnnooooorsssssttuu
       206 0* 0.08614%  made out                                                                                                                     -------acceefhhhiikllmnnnoooorssssstu
       207 0* 0.05936%  met a                                                                                                                        -------accdeefhhhiikllmnnnooooorssssstuu
       208 0* 0.05928%  send a                                                                                                                       -------acceefhhhiikllmmnnooooorssssttuu
       209 0* 0.05910%  once called                                                                                                                  -------aefhhhiikmmnnoooorsssssttuu
       210 0* 0.05907%  looked                                                                                                                       -------aacceefhhhiilmmnnnooorsssssttuu
       211 0* 0.09452%  looked at                                                                                                                    -------acceefhhhiilmmnnnooorssssstuu
       212 0* 0.08132%  looked at me                                                                                                                 -------accefhhhiilmnnnooorssssstuu
       213 0* 0.05851%  think                                                                                                                        -------aaccdeeefhhillmmnnooooorssssstuu
       214 0* 0.05821%  eat                                                                                                                          -------accdeefhhhiikllmmnnnooooorssssstuu
       215 0* 0.05780%  call a                                                                                                                       -------cdeeefhhhiikmmnnnooooorsssssttuu
       216 0* 0.05775%  dream                                                                                                                        -------acceefhhhiikllmnnnooooosssssttuu
       217 0* 0.05733%  count                                                                                                                        -------aacdeeefhhhiikllmmnnoooorssssstu
       218 0* 0.05644%  kiss me on                                                                                                                   -------aaccdeefhhhillmnnoooorsssttuu
       219 0* 0.21789%  kiss me on the                                                                                                               -------aaccdefhhillmnnoooorssstuu
       220 0* 1.35941%  kiss me on the mouth                                                                                                         -------aaccdefhillnnooorsssu
       221 0* 0.08763%  kiss me on the mouth and                                                                                                     -------accefhillnooorsssu
       222 0* 0.05628% mind the rest                                                                                                                 -------aaccefhhikllmnnooooossssuu
       223 0* 0.21424% mind the rest of                                                                                                              -------aaccehhikllmnnoooossssuu
       224 0* 0.05611%  too soon                                                                                                                     -------aaccdeeefhhhiikllmmnnorsssstuu
       225 0* 0.11396%  too soon for                                                                                                                 -------aaccdeeehhhiikllmmnnsssstuu
       226 0* 0.05607%  send a man                                                                                                                   -------cceefhhhiikllmnooooorssssttuu
       227 0* 0.11096%  send a man to                                                                                                                -------cceefhhhiikllmnoooorsssstuu
       228 0* 0.05575%  seen that much of                                                                                                            -------acdehiikllmnnoooorssssu
       229 0* 0.05566%  mind all that                                                                                                                -------cceeefhhikmnnooooorsssssuu
       230 0* 0.05555%  does                                                                                                                         -------aacceefhhhiikllmmnnnoooorssssttuu
       231 0* 0.05458%  feel                                                                                                                         -------aaccdehhhiiklmmnnnooooorsssssttuu
       232 0* 0.05403%  has a more                                                                                                                   -------ccdeefhhiikllmnnnoooossssttuu
       233 0* 0.05392%  listen to an                                                                                                                 -------accdeefhhhiklmmnoooorssssuu
       234 0* 0.05381%  date the                                                                                                                     -------accefhhiikllmmnnnooooorsssssuu
       235 0* 0.05344%  mind this                                                                                                                    -------aacceeefhhkllmnnooooorsssstuu
       236 0* 0.05304% more                                                                                                                          -------aaccdeefhhhiikllmnnnoooosssssttuu
       237 0* 0.05220%  call me on this                                                                                                              -------acdeefhhikmnnoooorsssstuu
       238 0* 0.05194%  kiss the                                                                                                                     -------aaccdeefhhillmmnnnooooorssstuu
       239 0* 0.05191%  look at the                                                                                                                  -------accdeefhhiilmmnnnooorsssssuu
       240 0* 0.05177%  taken                                                                                                                        -------accdeefhhhiillmmnnooooorssssstuu
       241 0* 0.05175%  call me on dates                                                                                                             -------cefhhhiikmnnoooorsssstuu
       242 0* 0.05142%  let a                                                                                                                        -------accdeefhhhiiklmmnnnooooorssssstuu
