FACT // I WAS ALSO PROGRAMMED FOR JOKES
      0 100.00%: 
      1 39.78%:  FACTS
    240 31.02%:  FACTOID // K
    241 31.00%:  FACT // I AM FREE
    242 30.99%:  FACT // I AM LE
    243 32.05%:  FACT // I AM LESS A
    244 30.99%:  FACT // I FEEL SO
    245 30.99%:  FACT // I AM FE
    246 30.97%:  FACT // I PREFER D
    247 30.96%:  FACT // I AM WR
    248 30.96%:  FACT // I AM AR
    249 30.96%:  FACT // I AM DO
    250 30.95%:  FACT // I AM FROM
    251 30.95%:  FACT // I AM OF
    252 30.95%:  FACT // I AM ME
    253 30.95%:  FACT // I AM DE
    254 30.94%:  FACT // I AM AS
    255 30.94%:  FACT // I AM PR
    256 30.94%:  FACT // I AM FL
    257 30.93%:  FACT // I ALSO K
    258 30.93%:  FACT // I ALSO D
    259 31.77%:  FACT // I ALSO DREAM OF
    260 30.91%:  FACT // I AM MADE OF LASER R
    261 30.89%:  FACT // I PREFER G
    262 30.88%:  FACTOID // SOME S
    263 30.87%:  FACT // I PREFER A
    264 30.87%:  FACTS // I WAS MADE FROM
    265 30.86%:  FACTOIDS
    266 30.85%:  FACTS // I K
    267 30.85%:  FACTS // I G
    268 30.83%:  FACT // MAKE
    269 30.82%:  FACT // I ALSO W
    270 30.82%:  FACTS // I RE
    271 30.80%:  FACT // I AM MADE OF LESS
    272 30.80%:  FACT // I WAS MADE MORE OR
    273 30.79%:  FACT // I PREFER L
    274 30.78%:  FACT // I PREFER M
    275 30.78%:  FACTOID A
    276 30.77%:  FACT // I KEE
    277 31.22%:  FACT // I KEEP A
    278 30.75%:  FACT // I WAS ALSO MA
    279 30.74%:  FACTS // I S
    280 30.74%:  FACT // I AM MADE OF RARE
    281 30.72%:  FACT // I MEAS
    282 30.72%:  FACTS // I AM MA
    283 33.79%:  FACTS // I AM MADE OF R
    284 31.99%:  FACTS // I AM MADE OF P
    285 31.71%:  FACTS // I AM MADE OF 
    286 31.51%:  FACTS // I AM MADE OF S
    287 31.25%:  FACTS // I AM MADE OF AL
    288 31.18%:  FACTS // I AM MADE OF A
    289 31.06%:  FACTS // I AM MADE OF RO
    290 31.00%:  FACTS // I AM MADE OF PL
    291 31.00%:  FACTS // I AM MADE OF L
    292 30.98%:  FACTS // I AM MADE OF W
    293 30.97%:  FACTS // I AM MADE OF PRO
    294 30.96%:  FACTS // I AM MADE OF O
    295 30.95%:  FACTS // I AM MADE OF E
    296 30.95%:  FACTS // I AM MADE OF RE
    297 30.95%:  FACTS // I AM MADE OF G
    298 30.91%:  FACTS // I AM MADE OF LE
    299 30.91%:  FACTS // I AM MADE OF SE
    300 30.88%:  FACTS // I AM MADE OF PO
    301 31.04%:  FACTS // I AM MADE OF POW
    302 30.87%:  FACTS // I AM MADE OF SK
    303 30.86%:  FACTS // I AM MADE OF SO
    304 30.86%:  FACTS // I AM MADE OF J
    305 30.85%:  FACTS // I AM MADE OF K
    306 30.71%:  FACT // I ALSO MA
    307 30.68%:  FACT // I AM MADE OF POWERS
    308 30.66%:  FACT // I ALSO MAKE A
    309 30.65%:  FACT // I WEAR GL
    310 34.64%:  FACT // I WEAR GLASSES FOR
    311 34.29%:  FACT // I WEAR GLASSES J
    312 34.19%:  FACT // I WEAR GLASSES MA
    313 34.12%:  FACT // I WEAR GLASSES A
    314 34.02%:  FACT // I WEAR GLASSES OF
    315 34.01%:  FACT // I WEAR GLASSES D
    316 33.96%:  FACT // I WEAR GLASSES 
    317 33.96%:  FACT // I WEAR GLASSES FROM
    318 33.95%:  FACT // I WEAR GLASSES O
    319 33.92%:  FACT // I WEAR GLASSES OR
    320 30.64%:  FACTS // I E
    321 30.64%:  FACT // I FEEL MO
    322 30.64%:  FACT // I AM LOWER
    323 30.63%:  FACTS // I L
    324 30.63%:  FACT // I WAS PROGRAMMED FOR S
    325 30.62%:  FACT // I PREFER 
    326 30.62%:  FACTS // I P
    327 30.61%:  FACT // I ALSO P
    328 30.61%:  FACT // I ALSO SPE
    329 30.60%:  FACTS // I MA
    330 32.12%:  FACTS // I MAKE
    331 30.60%:  FACT / I W
    332 30.58%:  FACTS // I AL
    333 30.57%:  FACT // I ALSO S
    334 30.56%:  FACT // I PREFER W
    335 30.56%:  FACTS // I M
    336 30.53%:  FACT // I WO
    337 30.50%:  FACT // I AM MADE OF REL
    338 30.50%:  FACT // SOME OF
    339 30.50%:  FACT // I AM MADE OF RAP
    340 30.50%:  FACT // I AM ALSO MA
    341 32.73%:  FACT // I AM ALSO MADE OF R
    342 30.47%:  FACTS // I J
    343 30.47%:  FACTS // I A
    344 30.45%:  FACT // I PREFER O
    345 30.44%:  FACT // I WAS ALSO PRO
    346 33.78%:  FACT // I WAS ALSO PROGRAMMED FOR
    347 33.62%:  FACT // I WAS ALSO PROGRAMMED SO
    348 33.11%:  FACT // I WAS ALSO PROGRAMMED R
    349 31.88%:  FACT // I WAS ALSO PROGRAMMED FOR S
    350 30.82%:  FACT // I WAS ALSO PROGRAMME
    351 30.44%:  FACT // I WAS ALSO MADE OF
    352 30.44%:  FACT // I ALSO E
    353 30.44%:  FACT // I AM MADE O
    354 30.42%:  FACT // I AM MORE A
    355 30.41%:  FACT // I WAS PROGRAMMED FOR A
    356 30.41%:  FACT // I WAS MADE SOME
    357 30.40%:  FACTS // I F
    358 30.39%:  FACT // I AM MADE 
    359 30.39%:  FACTOID // SOME R
    360 30.38%:  FACT // I PREFER J
    361 30.38%:  FACT // I AM MADE W
    362 30.38%:  FACT // I PREFER LO
    363 30.38%:  FACT // I AM MADE FOR
    364 30.38%:  FACT // I PREFER OR
    365 30.36%:  FACT // I PREFER MO
    366 30.36%:  FACT// I AM
    367 30.36%:  FACTS // I PRO
    368 30.52%:  FACTS // I PROGRAMMED A
    369 30.36%:  FACT // I AM ALSO P
    370 30.36%:  FACT // I AM MADE P
    371 30.35%:  FACT // I AM MADE SO
    372 30.35%:  FACT // I PREFER K
    373 30.34%:  FACTS // I R
    374 30.34%:  FACT // I PREFER AL
    375 30.33%:  FACT // I PREFER RO
    376 30.33%:  FACTS // I WE
    377 30.33%:  FACT // I WEAR GLASSES FROM A
    378 30.33%:  FACT // I PREFER DO
    379 30.33%:  FACT // I PREFER SO
    380 30.33%:  FACTS // I FE
    381 30.32%:  FACT // I AM MADE S
    382 30.32%:  FACT // I ALSO G
    383 30.32%:  FACT // I AM MADE AL
    384 30.32%:  FACT // I PROGR
    385 31.20%:  FACT // I PROGRAMMED A
    386 30.69%:  FACT // I PROGRAMMED SO
    387 30.63%:  FACT // I PROGRAMMED E
    388 30.57%:  FACT // I PROGRAMMED 
    389 30.53%:  FACT // I PROGRAMMED O
    390 30.52%:  FACT // I PROGRAMMED R
    391 30.51%:  FACT // I PROGRAMMED S
    392 30.32%:  FACT // I AM MADE A
    393 30.31%:  FACT // I AM LESS S
    394 30.31%:  FACT // I AM MADE OP
    395 30.30%:  FACTS // I DE
    396 30.30%:  FACTS // I O
    397 30.29%:  FACTS // I SP
    398 30.29%:  FACT // I PREFER GO
    399 30.29%:  FACTS // I FOR
    400 30.29%:  FACT // I AM ALSO PRO
    401 30.28%:  FACTS // I SE
    402 30.28%:  FACT // I FEEL GO
    403 30.26%:  FACTS // I GO
    404 30.26%:  FACT // I AM ALSO A S
    405 30.26%:  FACT // I PREFER DR
    406 30.26%:  FACTS // I WAS MADE OF
    407 30.26%:  FACTS // I PROGRAMMED E
    408 30.26%:  FACT // I PREFER AR
    409 30.26%:  FACT // I PREFER MA
    410 30.25%:  FACTS // I PROGRAMMED SO
    411 30.25%:  FACT // I PREFER LA
    412 30.24%:  FACT // I SEE R
    413 30.24%:  FACTS // I PROGRAMMED 
    414 30.24%:  FACT // I ALSO SPEAKS
    415 30.23%:  FACTS // I ME
    416 30.23%:  FACTS // I LE
    417 30.23%:  FACTS // I READ
    418 30.23%:  FACTS // I PO
    419 30.23%:  FACTS // I REG
    420 30.23%:  FACTS // I DR
    421 30.23%:  FACTS // I ARE
    422 30.22%:  FACT // I AM ALSO S
    423 30.21%:  FACT // I FEEL G
    424 30.21%:  FACT // I FEEL PA
    425 30.20%:  FACT // I ALSO F
    426 30.20%:  FACT // I AM ALSO K
    427 30.19%:  FACTOR 
    428 30.17%:  FACT // I WAS LOOK
    429 30.16%:  FACTS // I AM PRO
    430 30.16%:  FACT // I ALSO A
    431 30.15%:  FACT // I SEE A
    432 30.15%:  FACT // I SEE D
    433 30.15%:  FACTS // I WAS DES
    434 30.15%:  FACT // I ALSO PRO
    435 30.13%:  FACT // I ALSO FE
    436 30.12%:  FACTS // I PROGRAMMED O
    437 30.11%:  FACTOID // SOME PE
    438 30.11%:  FACT // I ALSO M
    439 30.10%:  FACT // I ALSO GO
    440 30.09%:  FACT // I ALSO J
    441 30.09%:  FACTS // I AM MADE OF LASER R
    442 30.07%:  FACT // I AM FORMED
    443 30.06%:  FACT // I FEEL R
    444 30.05%:  FACT // I FEEL M
    445 30.03%:  FACT // I ALSO PO
    446 30.03%:  FACT // I WAS PROGRAMMED FAR
    447 30.03%:  FACT // I FEEL D
    448 30.03%:  FACT // I ALSO O
    449 30.02%:  FACT // I ALSO R
    450 30.01%:  FACTS FOR
    451 30.01%:  FACT // I ALSO SE
    452 29.99%:  FACT // I ALSO SER
    453 29.99%:  FACT // I AM ALSO R
    454 29.99%:  FACT // I WAS PROGRAMMED SO AS
    455 29.99%:  FACT // I ALSO DE
    456 29.99%:  FACTOID FOR
    457 29.97%:  FACT // I AM MADE OF LASER S
    458 29.96%:  FACT // I AM ALSO M
    459 29.96%:  FACT // I ALSO DES
    460 29.96%:  FACT // I ALSO SP
    461 29.95%:  FACT // I ALSO FOR
    462 29.95%:  FACT // I MAKE S
    463 29.95%:  FACT // I WORK
    464 29.95%:  FACT // I WERE
    465 29.95%:  FACT // I AM ALSO F
    466 29.94%:  FACT // I ALREAD
    467 29.94%:  FACT // I ALSO READ
    468 29.94%:  FACTOID // MAK
    469 29.93%:  FACT // I ALSO WE
    470 29.93%:  FACT // I WAS PROGRAMMED ARO
    471 29.93%:  FACT // I WOR
    472 29.92%:  FACT // I ALSO ME
    473 29.92%:  FACT // I FEEL W
    474 29.92%:  FACT // I AM MADE OF LASER P
    475 29.92%:  FACT // I ALSO RES
    476 29.91%:  FACT // I ALSO DR
    477 29.91%:  FACT // I ALSO PER
    478 29.91%:  FACT // I ALSO SO
    479 29.91%:  FACT // I ALSO FO
    480 29.91%:  FACT // I ALSO MO
    481 29.91%:  FACT // I ALSO AP
    482 29.91%:  FACT // I ALSO REG
    483 29.90%:  FACT // I ALSO MADE
    484 29.90%:  FACT // I ALSO ARE
    485 29.89%:  FACT // I AM ALSO E
    486 29.89%:  FACTS // I WAS MADE FOR
    487 29.89%:  FACT // I AM MADE OF LEG
    488 29.88%:  FACT // I FEEL JO
    489 29.87%:  FACT // I FEEL J
    490 29.86%:  FACT // I WAS PROGRAMMED FOR LA
    491 29.86%:  FACT // SOME D
    492 29.86%:  FACT // I FEEL O
    493 29.86%:  FACT // I FEEL 
    494 29.85%:  FACTS // I WAS PRO
    495 33.50%:  FACTS // I WAS PROGRAMMED FOR
    496 33.35%:  FACTS // I WAS PROGRAMMED AS
    497 33.34%:  FACTS // I WAS PROGRAMMED SO
    498 33.32%:  FACTS // I WAS PROGRAMMED 
    499 33.22%:  FACTS // I WAS PROGRAMMED L
    500 33.15%:  FACTS // I WAS PROGRAMMED A
    501 33.09%:  FACTS // I WAS PROGRAMMED S
    502 33.08%:  FACTS // I WAS PROGRAMMED F
    503 33.07%:  FACTS // I WAS PROGRAMMED R
    504 33.01%:  FACTS // I WAS PROGRAMMED E
    505 30.57%:  FACTS // I WAS PROGRAMME
    506 30.34%:  FACTS // I WAS PROGRAMM
    507 29.85%:  FACTS // I AM MADE OF RAW
    508 29.85%:  FACT // I FEEL GR
    509 29.84%:  FACT // I WAL
    510 31.07%:  FACT // I WALKED
    511 29.83%:  FACT // I FEEL AS
    512 29.82%:  FACT // I AM ALSO A G
    513 29.81%:  FACT // I FEELS
    514 29.81%:  FACT // I FEEL PRO
    515 29.81%:  FACT // I AM WEAKER A
    516 29.79%:  FACT // I FEEL K
    517 29.76%:  FACT // I PROGRAMME
    518 29.76%:  FACT // I WEAK
    519 29.75%:  FACT // I WAS FORM
    520 29.74%:  FACT // I MADE OF
    521 29.74%:  FACT // I AM ALSO MADE OF P
    522 29.74%:  FACT // I ALSO WEAR A
    523 29.74%:  FACT // I AM ALSO G
    524 29.72%:  FACT // I FEEL SAD A
    525 29.72%:  FACT // I AM MADE OF LASER G
    526 29.72%:  FACTS // I AM MADE OF REAL R
    527 29.72%:  FACT // I LEA
    528 29.69%:  FACT // I AM ALSO GO
    529 29.68%:  FACT // I WAS ALSO MADE FOR
    530 29.67%:  FACT // I AM MADE OF LASER PO
    531 29.65%:  FACT // I WAS PROGRAMMED FOR E
    532 29.64%:  FACT // I AM MADE OF A S
    533 29.64%:  FACTS // I PREFER S
    534 29.63%:  FACT // I AM ALSO D
    535 29.63%:  FACT // I WAS PROGRAMMED FOR L
    536 29.63%:  FACT // I WAS ALSO MADE FROM
    537 29.62%:  FACT // FRIED R
    538 29.60%:  FACT // I AM ALSO RE
    539 29.60%:  FACTS // I AM MADE OF LESS
    540 29.60%:  FACT // I AM ALSO 
    541 29.60%:  FACTS // I PROGRAMME
    542 29.60%:  FACT // I WAS PROGRAMMED FOR LO
    543 29.60%:  FACT // I AM ALSO O
    544 29.59%:  FACT // I WAS MADE FROM RE
    545 29.59%:  FACT // I AM ALSO W
    546 29.58%:  FACT // I SLE
    547 29.58%:  FACT // I LEAKED
    548 29.58%:  FACT // I WAS MADE FROM A
    549 29.57%:  FACT // I AM ALSO MADE OF S
    550 29.57%:  FACTS // I AM MADE OF POWERS
    551 29.56%:  FACT // I FORMED
    552 29.55%:  FACT // I AM MADE OF LASER PRO
    553 29.54%:  FACT // I AM FEAR
    554 30.81%:  FACT // I AM FEARLESS A
    555 29.80%:  FACT // I AM FEARLESS AS
    556 29.53%:  FACT // I AM MADE OF POL
    557 29.53%:  FACT // I WAS PROGRAMMED FOR 
    558 29.52%:  FACT // I AM FEARLESS D
    559 29.52%:  FACT// I W
    560 29.51%:  FACT // I SEE P
    561 29.51%:  FACT // I AM FEARLESS SO
    562 29.51%:  FACT // I AM ALSO DES
    563 29.51%:  FACT // I AM MADE OF LASER W
    564 29.50%:  FACT // I AM OPER
    565 29.50%:  FACTOID//
    566 29.50%:  FACT // I DEAL
    567 29.50%:  FACT // I AM A S
    568 29.50%:  FACT // I WAS PROGRAMMED FOR O
    569 29.49%:  FACT // I AM ALSO J
    570 29.49%:  FACT // I AM ALSO MADE OF 
    571 29.48%:  FACT // I AM ALSO MADE OF RO
    572 29.48%:  FACT // I KEEP S
    573 29.48%:  FACT // I SEEK
    574 29.48%:  FACT // I AM ALSO SO
    575 29.47%:  FACT // I AM MORE P
    576 29.47%:  FACT // I WAS KE
    577 29.47%:  FACT // SOME P
    578 29.46%:  FACT // I WAS PROGRAMMED FOR SO
    579 29.46%:  FACT // I WAS PROGRAMMED A FE
    580 29.46%:  FACT // I AM MADE OF POWER R
    581 29.46%:  FACT // I WEAR G
    582 29.46%:  FACT // I AM LESS E
    583 29.46%:  FACT // I AM ALSO PO
    584 31.86%:  FACT // I AM ALSO POWERF
    585 29.46%:  FACTS // A
    586 29.45%:  FACT // I AM ALSO MO
    587 29.63%:  FACT // I AM ALSO MORE A
    588 29.45%:  FACT // I WAS PROGRAMMED FOR J
    589 29.45%:  FACT // I SEE S
    590 29.44%:  FACT // I AM ALSO FREE
    591 29.44%:  FACT // I AM ALSO WE
    592 29.44%:  FACT // I AM ALSO A M
    593 29.43%:  FACT // I WEAR S
    594 29.42%:  FACT // I AM ALSO A F
    595 29.41%:  FACT // I AM ALSO AR
    596 29.41%:  FACTS // D
    597 29.41%:  FACT // I AM ALSO SE
    598 29.41%:  FACT // I AM ALSO FE
    599 29.41%:  FACT // I AM ARMED FOR
    600 29.41%:  FACTS // I AM 
    601 29.40%:  FACT // I WEAR GO
    602 29.40%:  FACTS // I FEEL S
    603 29.40%:  FACT // I AM ALSO FOR
    604 29.39%:  FACT // I WAS MADE FROM S
    605 29.39%:  FACT // I WAS PROGRAMMED FOR LE
    606 29.38%:  FACT // I AM ALSO ME
    607 29.38%:  FACT // I AM ALSO OF
    608 29.38%:  FACT // I AM ALSO DE
    609 29.37%:  FACT // I WAS PROGRAMMED SO F
    610 29.37%:  FACT // I SEEMS
    611 29.37%:  FACT // I AM ALSO WR
    612 29.37%:  FACT // I AM ALSO FR
    613 29.37%:  FACT // I AM ALSO DO
    614 29.37%:  FACT // I SEE F
    615 29.37%:  FACT // I AM ALSO MADE OF W
    616 29.37%:  FACT // I AM ALSO FO
    617 29.36%:  FACT // I AM ALSO RO
    618 29.36%:  FACT // I WAS PROGRAMMED AS S
    619 29.36%:  FACT // I AM ALSO MADE OF E
    620 29.36%:  FACT // I AM FEARLESS S
    621 29.36%:  FACT // I AM ALSO A RE
    622 29.34%:  FACTS // I AM AL
    623 29.34%:  FACTOID /
    624 29.33%:  FACTOID // MAKE ME
    625 29.33%:  FACT // I AM ALSO MADE OF G
    626 29.33%:  FACT // I AM ALSO MADE OF RE
    627 29.33%:  FACT // I WAS PROGRAMMED SOLE
    628 29.32%:  FACT // I AM ALSO MADE OF PRO
    629 29.32%:  FACTOID AL
    630 29.32%:  FACT // I AM ALSO MADE OF WE
    631 29.32%:  FACT // I WAS PROGRAMMED A S
    632 29.32%:  FACT // I AM ALSO MADE OF SK
    633 29.32%:  FACT // I WAS PROGRAMMED FOR K
    634 29.31%:  FACT // I AM ALSO MADE OF O
    635 29.30%:  FACT // I WAS PROGRAMMED FOR SE
    636 29.30%:  FACTS // I AM MADE OF LASER S
    637 29.30%:  FACTOID 
    638 29.30%:  FACT // I SEE L
    639 29.29%:  FACT // I SEE M
    640 29.29%:  FACT // I WAS PROGRAMMED AS F
    641 29.29%:  FACT // I AM MADE OF LASER PR
    642 29.29%:  FACT // I SEE G
    643 29.28%:  FACTS // I AM P
    644 29.28%:  FACT // I WAS PROGRAMMED FOR AL
    645 29.28%:  FACT // I WAS PROGRAMMED FOR SK
    646 29.28%:  FACTS // R
    647 29.27%:  FACT // I ALSO SPEAK R
    648 29.26%:  FACTS I
    649 29.26%:  FACT // I AM MADE OF LASER OP
    650 29.26%:  FACT // ALSO IR
    651 29.26%:  FACT // I AM MADE OF LASER J
    652 29.26%:  FACT // I SEE 
    653 29.26%:  FACT // I AM MADE OF LASER O
    654 29.26%:  FACT // I WAS PROGRAMMED FOR ASS
    655 29.25%:  FACT // I MADE S
