somehow managed to say that like it's a bad thing!
         0 0* 59.92877% (78.2743%/0.0000%)   managed                                                                                                                      aaaabdeeghhhiiiklmnooossstttttwy'!
       209 0* 4.12840% (92.1437%/0.2789%)   managed to say that in a                                                                                                     abdeeghhiiklmoossttw'!
       210 0* 4.10978% (92.1438%/0.2789%)   managed to shame                                                                                                             aaabdeghhiiiklnoossttttwy'!
       211 0* 4.06267% (92.1453%/0.2789%)   managed to make this a                                                                                                       aabdeghhiilnoosstttwy'!
       212 0* 4.05791% (92.1454%/0.2789%)   managed to almost                                                                                                            aaabdeeghhhiiiknosstttwy'!
       213 0* 4.01374% (92.1460%/0.2791%)   managed to shoot                                                                                                             aaaabdeeghhiiiklmnsstttwy'!
       214 0* 3.99751% (92.1474%/0.2791%)   somehow managed to hit the                                                                                                   aaaabdgiiklnsstty'!
       215 0* 5.24081% (92.1475%/0.2791%)   somehow managed to hit the nail                                                                                              aaabdgiksstty'!
       216 0* 3.99393% (92.1475%/0.2791%)   managed to show                                                                                                              aaaabdeeghhiiiklmnosstttty'!
       217 0* 4.43797% (92.1486%/0.2793%)   managed to show me                                                                                                           aaaabdeghhiiiklnosstttty'!
       218 0* 9.36590% (92.1492%/0.2793%)   managed to show me that                                                                                                      aaabdeghiiiklnosstty'!
       219 0* 3.99311% (92.1494%/0.2793%)   somehow managed to end                                                                                                       aaaabghhiiiklsstttty'!
       220 0* 12.78434% (92.1495%/0.2793%)   somehow managed to end this                                                                                                  aaaabghiiklsttty'!
       221 0* 5.48524% (92.1496%/0.2793%)   somehow managed to end that                                                                                                  aaabghiiiklsstty'!
       222 0* 3.94237% (92.1496%/0.2793%)   managed to take away the most                                                                                                abdghhiiilnosst'!
       223 0* 3.88786% (92.1496%/0.2793%)   managed to say what                                                                                                          aabdeeghhiiiklmnoossttt'!
       224 0* 3.88393% (92.1499%/0.2793%)   only                                                                                                                         -------aaaabdeeghhhiiikmoossstttttw'!
       225 0* 3.88363% (92.5432%/0.2793%)   managed to somehow talk                                                                                                      aaabdeghhiiinssttty'!
       226 0* 3.81281% (92.5432%/0.2793%)   somehow managed both                                                                                                         aaaadeghiiiklnsstttty'!
       227 0* 3.71964% (92.5433%/0.2793%)   managed to take the st                                                                                                       aaabdghhiiilmnoosstwy'!
       228 0* 3.70369% (92.5435%/0.2793%)   managed to take this whole                                                                                                   aaabdghiimnosstty'!
       229 0* 3.69713% (92.5435%/0.2793%)   somehow managed to say that like                                                                                             aabdghiinstt'!
       230 0* 6.09981% (92.5435%/0.2793%)   somehow managed to say that like it                                                                                          aabdghinst'!
       231 0* 11.32983% (92.5435%/0.2793%)   somehow managed to say that like it'                                                                                         aabdghinst!
       232 0* 23.30800% (92.5435%/0.2793%)   somehow managed to say that like it's                                                                                        aabdghint!
       233 0* 29.56000% (92.5435%/0.2793%)   somehow managed to say that like it's a                                                                                      abdghint!
       234 0* 109.41860% (92.5435%/0.2793%)   somehow managed to say that like it's a bad                                                                                  ghint!
