YOUR IDEA OF HAPPINESS IS LOWERED EXPECTATIONS?
79.70%:  YOU
1.51%:  IN OTHER WORDS?
2.03%:  IN OTHER WORDS? YOU
1.51%:  YOUR ANSWER IS NO
1.50%:  YOU SEE HOW
1.47%:  WHAT IF YOU ARE OLDER AND NO
1.47%:  IF YOU ARE OLD AND I
1.46%:  WHEN YOU ARE AN ELD
1.45%:  IF YOU ARE OLDER AND WH
1.44%:  IF YOU WERE TO DIE
1.44%:  WHEN YOU ARE OLDER AND I STOP
1.44%:  ARE WE
2.25%:  ARE WE FRIENDS
1.44%:  IN YOUR OLD
1.44%:  WHAT IF YOU NEED A REASON
1.43%:  NOW YOU ARE OLD
1.42%:  I SHOULD STOP
1.42%:  YOU AD
1.41%:  WHAT IF YOU ARE AN OLDER DIN
1.41%:  INSTEAD OF ONE
4.28%:  INSTEAD OF ONE DAY WISH
1.40%:  IS THERE
3.36%:  IS THERE ANY
13.34%:  IS THERE ANY REASON
4.49%:  IS THERE ANY REASON WE
3.30%:  IS THERE ANYONE
1.77%:  IS THERE ANY REASON I
1.40%:  IS YOUR
3.53%:  IS YOUR ANSWER
1.49%:  IS YOUR ANSWER TO LIFE
1.40%:  IN OTHER NEWS
1.40%:  WHY NOT
1.39%:  YOU SAID
1.39%:  YOUR PLAN IS TO WISH
1.39%:  THERE IS NO PROF
11.54%:  THERE IS NO PROFESSION YOU
1.99%:  THERE IS NO PROFESSION?
1.37%:  WHAT IF YOU DO
1.37%:  WHAT IF YOU ARE OLDER AND IN
1.36%:  IN YOUR WORLD
1.35%:  INSTEAD OF ALWAYS
1.34%:  YOU WANT A
1.34%:  FAR YOU ARE THE
1.34%:  THERE IS NO WAY
1.33%:  WHAT IS YOUR DEAL
1.32%:  TODAY
1.31%:  ONE DAY WE ARE
1.31%:  WHERE DO YOU LEARN
1.31%:  INSTEAD OF REAL
1.31%:  YOU WISH TO PASS
1.30%:  YOU DO
3.33%:  YOU DO WANT
1.30%:  WHAT IF YOU ARE RESPONS
1.30%:  WHEN YOU ARE OLDER AND P
1.30%:  IF YOU ARE OLD AND STO
1.30%:  YOUR PLAN IS TO SPEND 
1.30%:  IF YOU WERE AN
1.77%:  IF YOU WERE AN OLD
3.46%:  IF YOU WERE AN OLDER DIN
2.97%:  IF YOU WERE AN OLDER STO
2.94%:  IF YOU WERE AN OLD PERSON
1.29%:  NOW YOU ARE OLDER THAN
1.29%:  WHEN DO
6.27%:  WHEN DO YOU PLAN
2.08%:  WHEN DO YOU STOP
1.29%:  YOU DIDN
1.29%:  WHEN YOU ARE AN OLD D
1.28%:  IF YOU WERE AN ASTR
1.28%:  WHEN YOU ARE OLDER IS IT
1.28%:  IN OTHER WORDS YOU NEED A
1.27%:  YOU PROPOSE THIS LIFE
1.27%:  WHAT IF YOU SP
1.27%:  IT SE
1.27%:  IF YOU WERE STO
1.27%:  WHAT DO YOU DO IN
1.26%:  WHEN DO YOU EXPECT
1.25%:  YOUR DEFINITION
1.25%:  WHEN YOU ARE OLD AND FRA
1.25%:  WHAT? PEOPLE
1.25%:  WHAT ELSE
1.25%:  YOU ARE OLD
5.91%:  YOU ARE OLDER THAN
5.47%:  YOU ARE OLDER NOW AND
2.86%:  YOU ARE OLDER AND
1.42%:  YOU ARE OLDER THAN I
1.24%:  WHERE DO YOU SLEEP AT
1.24%:  HOW DOES YOUR PLAN FOR
1.24%:  WHAT IF ONE
4.66%:  WHAT IF ONE DAY PEOPLE
2.70%:  WHAT IF ONE DAY PEOPLE ARE
1.80%:  WHAT IF ONE DAY I
1.24%:  WHEN YOU ARE OLDER AND AS
1.24%:  HOW ARE YOUR
1.24%:  IN OTHER WORDS ONE DAY PEOPLE
1.23%:  WHEN YOU ARE OLD AND FAT I
1.23%:  WHEN YOU ARE A SENIOR
1.23%:  SOON AFTER
1.56%:  SOON AFTER YOU WERE
1.49%:  SOON AFTER YOU ARE
1.85%:  SOON AFTER YOU ARE OLD
1.22%:  WHEN YOU ARE OLD AND PAST
1.22%:  WHEN YOU ARE OLDER IF I
1.22%:  WHAT ELSE DO
2.78%:  WHAT ELSE DO YOU DO
1.22%:  DO
1.51%:  DO YOU WANT A
1.21%: ? YOU
1.21%:  WHEN YOU STOP
1.21%:  IN SHORT
1.21%:  YOUR PLAN IS TO PASS
1.20%:  WHAT IS YOUR PROF
3.58%:  WHAT IS YOUR PROFESSION IN
2.11%:  WHAT IS YOUR PROFESSION IN OLD
1.20%:  YOU WISH TO SPEND LIFE
1.20%:  DOES
1.19%:  WHAT IS YOUR PROFESSION? I
1.19%:  IF YOU WERE OLDER AND STO
1.19%:  WHERE DO YOU STORE
1.19%:  WHEN YOU ARE OLD AND PRO
1.19%:  WHAT IS YOUR PLAN FOR A
1.19%:  YOU PLAN TO SPEND A
1.19%:  WHEN YOU ARE DEAD
1.18%:  YOUR LIFE IS ONE
1.18%:  YOU AND
2.02%:  YOU AND I ARE
1.17%:  WHEN YOU ARE OLDER AND PAST
1.16%:  HOW DOES YOUR LIFE END
1.16%:  THERE YOU WERE
1.15%:  WHAT IF YOU ARE OLDER? DOES
1.15%:  YOU DO NOT
1.14%:  I SHOULD TRY
1.14%:  YOU ARE OLDER AND I
1.14%:  WHEN YOU ARE OLDER IN
1.20%:  WHEN YOU ARE OLDER INSTE
1.13%:  YOU WISH PEOPLE TO
1.13%:  IN OTHER WORDS YOU AD
1.13%:  YOUR PLAN IS TO WA
1.13%:  YOU PROPOSE WE STO
1.13%:  YOUR ENTIRE LIFE WAS
1.12%:  YOU ARE DEFINIT
1.12%:  WHAT ARE YOUR EXPECT
1.12%:  YOUR PLAN IS NOT
1.11%:  NOW YOU ARE THE
1.11%:  YOU ARE OLD AND
1.11%:  YOU DO WISH
1.10%:  INSTEAD YOU ARE WISH
1.09%:  WHAT ARE YOUR PLANS? DO
1.09%:  WHAT ARE YOUR FINAL
1.08%:  YOU PRET
1.08%:  YOU PROPOSE I
1.08%:  YOU PROPOSE A LIFE STO
1.08%:  WHAT IF YOU ARE OLD AND NO
1.08%:  YOU NEED TO LEARN
1.08%:  YOU ARE LITER
1.07%:  WHEN YOU ARE OLDER AND SO
1.07%:  THE
3.78%:  THE LESSON
1.87%:  THE ONLY
11.14%:  THE ONLY REASON
1.32%:  THE ONLY PERSON
1.09%:  THE ANSWER
2.40%:  THE ANSWER IS YES
1.07%:  IN OTHER WORDS YOU DES
1.07%:  WHAT ELSE ARE YOU EXPECT
1.06%:  HOW OLD
3.45%:  HOW OLD ARE YOU EXPECT
1.06%:  WHEN YOU ARE OLDER I EXPECT
1.06%:  WHEN YOU ARE DONE
1.06%:  THE ANSWER IS YOU
1.06%:  IN OTHER WORDS PEOPLE
1.06%:  HOW DOES ONE LEARN
1.05%:  WHERE DO YOU PLAN TO FIND A
1.04%:  YOU ARE AD
1.04%:  HOW DOES YOUR PLAN TO
1.04%:  HOW ARE YOU STO
1.04%:  WE ARE SAY
1.03%:  WHEN YOU ARE OLDER ISN
1.03%:  WHAT ARE YOUR SENS
1.03%:  WHEN YOU ARE OLDER AND FAT I
1.03%:  WHEN YOU ARE OLD AND TR
1.03%:  WHAT ARE YOU PROPOS
1.03%:  LISTEN
1.02%:  WHAT IF YOU ARE ALONE?
1.02%:  WHAT IF YOU ALSO
1.02%:  YOUR LIFE IS STO
1.02%:  YOUR IDEA
1.01%:  WHAT IF YOU REALISE
1.01%:  IF YOU WANT PEOPLE
1.00%:  YOU PROPOSE THERE
1.00%:  YOU SEE THERE
1.00%:  NOW YOU ARE OLDER?
1.00%:  SOON AFTER YOU LEARN
1.93%:  SOON AFTER YOU LEARNED HOW
1.00%:  YOU WISH TO SPEND LIFE AS
1.00%:  YOU WISH TO SPEND A
3.12%:  YOU WISH TO SPEND A LIFE
1.00%:  YOU WANTED
0.99%:  YOU WISH TO LEAD
0.98%:  YOU SEE WHERE
0.98%:  THERE ARE ONLY
0.98%:  WHAT IF YOU SPEND A
0.98%:  YOU WISH FOR AN
0.98%:  INSTEAD OF ONE DAY WE
0.97%:  YOUR PLAN IS TO WISH FOR
0.97%:  HOW DOES ONE STO
0.97%:  WHAT IF YOU ARE OLD AND IN
0.97%:  IN OTHER WORDS YOU EXPECT ONE
0.97%:  WHAT DO YOU EXPECT
0.97%:  YOU ARE EXPECT
0.96%:  WHAT IS YOUR PROFESSION AND
0.96%:  IF YOU DIE
0.96%:  YOU ARE OLDER NOW?
0.96%:  WHAT ARE YOU PRO
0.95%:  WHEN YOU ARE OLD DO
0.95%:  DO YOU PLAN
1.29%:  DO YOU PLAN TO
0.94%:  WE SHOULD STOP
0.94%:  WHAT IF YOU ARE OLDER AND S
0.94%:  WHAT IS YOUR FINAL RESPONSE
0.94%:  WHAT ARE YOUR LESS
0.94%:  IF YOU ARE OLDER WHEN
0.93%:  ONE DAY WHEN PEOPLE
0.93%:  HOW ARE YOUR PLANS
0.93%:  YOUR PLANS ARE NOT
0.93%:  YOUR PLAN IS TO SPEND A FEW
0.93%:  IN THE
12.85%:  IN THE END YOU
10.91%:  IN THE END YOU ARE
2.98%:  IN THE END WE ARE
2.02%:  IN THE END YOUR
2.02%:  IN THE END YOUR LIFE
1.68%:  IN THE END YOU ARE PRO
1.14%:  IN THE END YOUR LIFE WAS
0.98%:  IN THE END YOU WERE
0.97%:  IN THE END YOU PRO
0.92%:  IS YOUR LIFE
0.92%:  HOW DO
5.80%:  HOW DO YOU PLAN
8.81%:  HOW DO YOU PLAN ON
2.32%:  HOW DO YOU SLEEP
2.09%:  HOW DO YOU EXPECT
1.65%:  HOW DO YOU PLAN ON FEED
1.49%:  HOW DO YOU PRO
1.30%:  HOW DO YOU STOP
1.19%:  HOW DO YOU STO
1.04%:  HOW DO YOU PLAN TO FEED
0.99%:  HOW DO YOU EXPECT TO LEARN
0.92%:  WHAT IF YOU LANDED
1.37%:  WHAT IF YOU LANDED ON A
0.91%:  WE ARE SUP
5.65%:  WE ARE SUPPOSED TO LEARN
4.69%:  WE ARE SUPPOSED TO SAY
4.27%:  WE ARE SUPPOSED TO EN
2.99%:  WE ARE SUPPOSED TO FIND
1.38%:  WE ARE SUPPOSED TO SHARE
0.91%:  YOU WISH FOR PEOPLE
0.91%:  YOU ARE THE ONE PERSON
0.91%:  UN
0.91%:  WHAT ARE YOUR IDEAS
0.91%:  WHEN YOU ARE ELD
0.90%:  IF YOU WERE A PERSON
0.90%:  YOU PROPOSE A LIFE IN
0.90%:  NOW YOU ARE TE
0.90%:  WHEN YOU ARE OLDER AND I PASS
0.90%:  YOUR PLAN FOR
1.10%:  YOUR PLAN FOR THE
0.89%:  WHAT ARE YOU AS
0.89%:  WHEN YOU ARE OLDER DOES NOT
0.89%:  YOU W
1.95%:  YOU WANNA STO
1.71%:  YOU WISHED
1.17%:  YOU WONT
0.97%:  YOU WISHED FOR
0.89%:  YOU ARE ONE
1.36%:  YOU ARE ONE OF THOSE SAD
1.17%:  YOU ARE ONE OF THOSE DIN
0.89%:  WHERE DO YOU FIND
0.89%:  NOW YOU ARE OLDER AND STO
0.89%:  NOW YOU ARE OLD AND
0.88%:  YOUR ANSWER IS NOT
0.88%:  WE ARE SUPPOSED TO LEARN A
0.88%:  YOU ARE OLDER NOW AND I
0.88%:  THERE YOU ARE AND
0.88%:  WHAT IF YOU ARE OLD?
0.88%:  YOU PLAN TO DO
0.87%:  YEAH
0.87%:  HOW DO YOU FEEL?
0.87%:  IS YOUR PLAN
0.87%:  WHEN YOU ARE OLDER AND PISS
0.87%:  SOON AFTER YOUR
0.87%:  WHEN YOU ARE OLD IT
0.86%:  THERE YOU ARE IN
0.86%:  WE ARE SUPPOSED TO DO
0.86%:  IN SHORT YOU
0.86%:  IN SHORT YOU ARE
0.86%:  WHAT DOES YOUR PERSONAL
0.86%:  IN OTHER WORDS YES
0.85%:  TODAY WHEN
0.85%:  THERE IS A
1.71%:  THERE IS A PROF
23.72%:  THERE IS A PROFESSION YOU
4.49%:  THERE IS A PROFESSION IN
4.26%:  THERE IS A PROFESSION YOU DIDN
3.61%:  THERE IS A PROFESSION NOW
2.46%:  THERE IS A PROFESSION?
1.84%:  THERE IS A PROFESSION YOU DON
1.17%:  THERE IS A PROFESSION YOU DID
1.09%:  THERE IS A REASON
0.88%:  THERE IS A PROFESSION AND
0.84%:  YOUR STO
0.84%:  WHAT ARE YOUR LIFE EXPECT
0.84%:  WHAT ELSE ARE YOUR
0.84%:  ONE DAY WE SHOULD
0.84%:  YOU PROPOSE A STO
0.83%:  WHAT IF YOU ARE OLDER? I
0.83%:  HOW DO YOU EXPECT TO SLEEP
0.83%:  WHAT IF YOU ARE OLDER? SO
0.83%:  INSTEAD OF AS
0.83%:  IF YOU NEED
0.83%:  WHEN YOU ARE OLD AND POOR
0.83%:  YOUR ENTIRE LIFE IS A
0.82%:  YOU ARE OLDER NOW AND STO
0.82%:  THE ONLY REASON FOR
0.82%:  IF YOU HAD
0.82%:  YOU ARE NOT WISH
0.82%:  THIS
2.55%:  THIS IS YOUR
7.73%:  THIS IS YOUR ANSWER
3.90%:  THIS IS YOUR PLAN
4.60%:  THIS IS YOUR PLAN FOR
1.10%:  THIS IS YOUR ANSWER?
1.03%:  THIS IS YOUR PLAN?
0.82%:  WHEN YOU ARE OLDER AND SE
0.82%:  WHEN YOU ARE AN OLDER T
0.82%:  IN THE END YOU ARE WOR
0.82%:  THERE IS ONLY
3.99%:  THERE IS ONLY ONE PROF
0.82%:  IF YOU ARE OLDER AND WIS
0.82%:  WHY DO
0.82%:  NOW YOU ARE A
0.81%:  WHEN I
0.81%:  WE ARE FRIENDS
0.81%:  YOU SEE WHAT
0.81%:  THEN YOU DIE
0.81%:  ARE YOU DONE
1.00%:  ARE YOU DONE WITH
0.81%:  WHEN YOU ARE OLD AND RE
0.81%:  SOON AFTER YOU ARE DEAD
0.80%:  WHEN YOU ARE OLDER I DON
0.80%:  IF YOU ARE OLDER NOW THAN
0.80%:  IN OTHER WORDS YOU DIS
0.80%:  YOU PLAN TO PASS
0.80%:  YOU WERE STO
0.79%:  WHAT IF ONE DAY A
0.79%:  WHAT DOES YOUR IDEAL
0.79%:  IF YOU ARE OLD AND WISH
0.79%:  NOW YOU ARE OLDER AND I
0.79%:  IN OTHER WORDS YOU EXPECT A
1.45%:  IN OTHER WORDS YOU EXPECT A LIFE
0.79%:  NOW YOU ARE NOT
0.79%:  WHAT IF YOUR PLANS
1.20%:  WHAT IF YOUR PLANS ARE
0.79%:  YOU DO REAL
0.79%:  THEN YOU DIE AND
0.79%:  WHERE DOES YOUR
1.03%:  WHERE DOES YOUR STO
0.79%:  HOW OLD ARE YOU T
0.78%:  SOON AFTER YOU DIE
0.78%:  IF YOU WERE OLD AND
0.78%:  WHAT IS YOUR RESPONSE?
0.78%:  WHEN YOU ARE OLD AND SORE
0.78%:  WHEN ARE YOU PEOPLE
0.78%:  YOU ARE IN
0.78%:  ARE WE STO
0.78%:  WHAT IS YOUR ADDRESS
0.77%:  WHEN YOU ARE ELDER AND
0.77%:  WHAT IS YOUR PLAN ON
0.77%:  INSTEAD OF HOP
0.77%:  IF YOU ARE OLDER AND WE
0.77%:  YOU ARE NOT WOR
0.77%:  WHAT ELSE DO YOU DO FOR
