dang!! Dude, I just remembered how life is sad
        11 0* 40.66490% (78.724%) ( 62%)  dang, I just remembered how sad                                                                                              deefiilsu!!D
        12 0* 37.84796% (78.724%) ( 19%)  dang, I just remembered we also used                                                                                         dfhii!!D
        13 0* 37.63930% (78.724%) ( 45%)  dang, I just remembered we died                                                                                              afhilossu!!D
        14 0* 131.67082% (78.724%) ( 41%)  dang, I just remembered we died of                                                                                           ahilssu!!D
        15 0* 29.82916% (78.724%) ( 80%)  dang, I just remembered we should                                                                                            adefiis!!D
        16 0* 21.52739% (78.724%) ( 50%)  dang, I just remembered we also did                                                                                          efhisu!!D
        17 0* 18.48220% (78.724%) ( 47%)  dang, I just remembered a                                                                                                    ddeefhiilossuw!!D
        18 0* 29.32079% (78.724%) ( 44%)  dang, I just remembered a whole                                                                                              ddefiissu!!D
        19 0* 18.19419% (78.724%) ( 26%)  dang, I just remembered we died of a                                                                                         hilssu!!D
        20 0* 16.44756% (78.724%) ( 54%) , dang                                                                                                                        ----------addeefhiijlossstuuw!!DI
        21 0* 15.34979% (79.727%) ( 75%)  dang, I just remembered we did                                                                                               aefhilossu!!D
        22 0* 13.91367% (79.727%) ( 77%)  dang, I just remembered we had                                                                                               defiilossu!!D
        23 0* 13.10265% (79.727%) ( 70%)  dang, I just remembered who                                                                                                  addeefiilssu!!D
        24 0* 15.01547% (79.727%) ( 84%)  dang, I just remembered who died                                                                                             aefilssu!!D
        25 0* 12.60733% (79.727%) ( 72%)  dang, I just remembered how dead                                                                                             efiilssu!!D
        26 0* 11.68351% (79.727%) ( 68%)  dang, I just remembered who said                                                                                             deefilsu!!D
        27 0* 11.24488% (79.727%) ( 12%)  dang it                                                                                                                      ----------addeefhijlosssuuw!!D,I
        28 0* 10.13878% (80.578%) ( 26%)  dang it,                                                                                                                     ----------addeefhijlosssuuw!!DI
        29 0* 10.00819% (80.965%) ( 28%)  ge                                                                                                                           ----------aadddefhiijlnossstuuw!!D,I
        30 0* 8.52266% (87.368%) ( 41%)  dang, I just said                                                                                                            ----------deefhilosuw!!D
        31 0* 7.41372% (87.381%) ( 48%)  dang, I just remembered we used                                                                                              adfhiilos!!D
        32 0* 7.14584% (87.381%) ( 59%)  dang, I just remembered a few                                                                                                ddehiilossu!!D
        33 0* 7.08880% (87.381%) ( 26%) , dang it                                                                                                                     ----------addeefhijlosssuuw!!DI
        34 0* 6.32118% (87.803%) ( 32%)  dang, I just remembered we die                                                                                               adfhilossu!!D
        35 0* 29.83907% (87.803%) ( 27%)  dang, I just remembered we die of                                                                                            adhilssu!!D
        36 0* 5.88712% (87.803%) ( 23%)  dang, I just remembered we also died if                                                                                      hsu!!D
        37 0* 5.51941% (87.803%) (  8%)  dang, I just remembered we also use                                                                                          ddfhii!!D
        38 0* 5.28972% (87.803%) ( 51%)  dang, I just remembered old                                                                                                  adeefhiissuw!!D
        39 0* 5.13931% (87.803%) ( 62%)  dang, I just remembered how life                                                                                             addeissu!!D
        40 0* 5.75699% (87.803%) ( 54%)  dang, I just remembered how life is                                                                                          addesu!!D
        41 0* 4.74149% (87.803%) ( 52%)  dang, this                                                                                                                   ----------addeefijlossuuw!!DI
        42 0* 4.63345% (87.843%) ( 13%)  dang, I just remembered we also die if                                                                                       dhsu!!D
        43 0* 4.42781% (87.843%) ( 51%)  dang, I should                                                                                                               ----------adeefiijsstuw!!D
        44 0* 4.38489% (87.856%) ( 19%)  dang it, I                                                                                                                   ----------addeefhijlosssuuw!!D
        45 0* 4.22669% (88.026%) ( 55%) , who                                                                                                                         ----------aadddeefgiijlnssstuu!!DI
        46 0* 4.19096% (88.593%) ( 38%)  dang, I just remembered who else                                                                                             addfiisu!!D
        47 0* 4.41695% (88.593%) ( 35%)  dang, I just remembered who else is                                                                                          addfiu!!D
        48 0* 4.08935% (88.593%) ( 49%)  dang, I said                                                                                                                 ----------deefhijlosstuuw!!D
        49 0* 3.91159% (88.620%) ( 71%)  dang, I just remembered we should die                                                                                        afis!!D
        50 0* 3.90375% (88.620%) ( 70%)  dang, I just remembered we shoulda                                                                                           defiis!!D
        51 0* 3.86809% (88.620%) ( 30%)  dang, I just remembered how disease                                                                                          dfilu!!D
        52 0* 3.59891% (88.620%) ( 49%) , I                                                                                                                           ----------aadddeefghiijlnossstuuw!!D
        53 0* 3.55566% (89.593%) ( 53%)  dang, I just remembered how a                                                                                                ddeefiilssu!!D
        54 0* 3.35802% (89.593%) ( 26%)  dang, it                                                                                                                     ----------addeefhijlosssuuw!!DI
        55 0* 3.28603% (89.750%) ( 46%)  dang, I just remembered a dude                                                                                               efhiilossw!!D
        56 0* 21.78372% (89.750%) ( 70%)  dang, I just remembered a dude who                                                                                           efiilss!!D
        57 0* 6.13187% (89.750%) ( 50%)  dang, I just remembered a dude whose                                                                                         fiils!!D
        58 0* 3.02389% (89.750%) ( 75%)  dang, I just remembered how self                                                                                             addeiisu!!D
        59 0* 2.96523% (89.750%) ( 43%)  dang, I just remembered we did lose                                                                                          afhisu!!D
        60 0* 2.74127% (89.750%) ( 43%) , I guess                                                                                                                     ----------aadddefhiijlnostuw!!D
        61 0* 2.71138% (89.813%) ( 68%)  dang, I just had                                                                                                             ----------deefiilossuw!!D
        62 0* 2.70048% (89.818%) ( 52%)  dang, what                                                                                                                   ----------ddeefiijlosssuu!!DI
        63 0* 2.68959% (89.839%) ( 42%)  dang, I just remembered we do                                                                                                adefhiilssu!!D
        64 0* 2.60881% (89.839%) ( 80%)  j                                                                                                                            ----------aadddeefghiilnossstuuw!!D,I
        65 0* 2.53100% (90.815%) ( 68%)  dang, I was                                                                                                                  ----------ddeefhiijlosstuu!!D
        66 0* 2.52895% (90.838%) ( 54%)  dang, I just remembered!!                                                                                                    addeefhiilossuwD
        67 0* 2.52466% (90.838%) ( 55%)  dang, I just remembered a few dudes                                                                                          hiilos!!D
        68 0* 2.50031% (90.838%) ( 56%)  dang, I did                                                                                                                  ----------aeefhijlossstuuw!!D
        69 0* 2.44712% (90.856%) ( 72%)  dang, I just did                                                                                                             ----------aeefhilossuw!!D
        70 0* 2.43683% (90.859%) ( 82%)  dang, I just remembered how sad life                                                                                         deisu!!D
        71 0* 18.01014% (90.859%) ( 64%)  dang, I just remembered how sad life is                                                                                      deu!!D
        72 0* 7.49862% (90.859%) ( 74%)  dang, I just remembered how sad life is!!                                                                                    deuD
        73 0* 2.35972% (90.859%) ( 57%)  dang, I just died                                                                                                            ----------aefhilossuw!!D
        74 0* 3.53088% (90.860%) ( 49%)  dang, I just died of                                                                                                         ----------aehilssuw!!D
        75 0* 2.31694% (90.861%) ( 73%)  dang, I just remembered who dies                                                                                             adefilsu!!D
        76 0* 2.25054% (90.861%) ( 25%)  dang, this is                                                                                                                ----------addeefjlosuuw!!DI
        77 0* 2.23627% (90.878%) ( 36%)  dang I                                                                                                                       ----------addeefhiijlossstuuw!!D,
        78 0* 3.93351% (91.055%) ( 45%)  dang I just                                                                                                                  ----------addeefhiilossuw!!D,
        79 0* 53.01096% (91.105%) ( 45%)  dang I just remembered                                                                                                       addeefhiilossuw!!D,
        80 0* 32.58468% (91.109%) ( 58%)  dang I just remembered how                                                                                                   addeefiilssu!!D,
        81 0* 8.20944% (91.109%) ( 43%)  dang I just remembered we                                                                                                    addefhiilossu!!D,
        82 0* 6.15956% (91.109%) ( 17%)  dang I just remembered we also                                                                                               ddefhiisu!!D,
        83 0* 49.84698% (91.109%) ( 10%)  dang I just remembered we also died                                                                                          fhisu!!D,
        84 0* 5.72425% (91.109%) (  6%)  dang I just remembered we also die                                                                                           dfhisu!!D,
        85 0* 4.53215% (91.109%) ( 42%)  dang I just remembered how sad                                                                                               deefiilsu!!D,
        86 0* 3.57283% (91.109%) ( 18%)  dang I just remembered we died                                                                                               afhilossu!!D,
        87 0* 11.34484% (91.109%) ( 17%)  dang I just remembered we died of                                                                                            ahilssu!!D,
        88 0* 3.37139% (91.109%) (  6%)  dang I just remembered we also used                                                                                          dfhii!!D,
        89 0* 3.22610% (91.109%) ( 55%)  dang I just remembered we should                                                                                             adefiis!!D,
        90 0* 2.23061% (91.109%) ( 61%)  dang, I was just                                                                                                             ----------ddeefhiilosu!!D
        91 0* 2.20871% (91.113%) ( 63%)  dang, did                                                                                                                    ----------aeefhijlossstuuw!!DI
        92 0* 2.53472% (91.119%) ( 56%)  dang, did I                                                                                                                  ----------aeefhijlossstuuw!!D
        93 0* 13.76327% (91.131%) ( 72%)  dang, did I just                                                                                                             ----------aeefhilossuw!!D
        94 0* 2.00303% (91.152%) ( 74%)  dang, I just remembered if                                                                                                   addeehilossuw!!D
        95 0* 1.99250% (91.152%) ( 74%) , I just                                                                                                                      ----------aadddeefghiilnossuw!!D
        96 0* 35.45142% (91.213%) ( 74%) , I just remembered                                                                                                           aadddeefghiilnossuw!!D
        97 0* 23.73476% (91.221%) ( 77%) , I just remembered how                                                                                                       aadddeefgiilnssu!!D
        98 0* 45.37100% (91.222%) ( 87%) , I just remembered how sad                                                                                                   addeefgiilnsu!!D
        99 0* 4.47414% (91.223%) ( 38%) , I just remembered how sad and                                                                                               deefgiilsu!!D
       100 0* 2.57092% (91.223%) ( 63%) , I just remembered we                                                                                                        aadddefghiilnossu!!D
       101 0* 1.99088% (91.223%) ( 62%) , what                                                                                                                        ----------adddeefgiijlnosssuu!!DI
       102 0* 1.94234% (91.361%) ( 70%)  dang, just                                                                                                                   ----------addeefhiilossuw!!DI
       103 0* 17.97572% (91.378%) ( 70%)  dang, just remembered                                                                                                        addeefhiilossuw!!DI
       104 0* 6.95550% (91.379%) ( 80%)  dang, just remembered how                                                                                                    addeefiilssu!!DI
       105 0* 4.55582% (91.379%) ( 56%)  dang, just remembered I                                                                                                      addeefhiilossuw!!D
       106 0* 6.50179% (91.379%) ( 57%)  dang, just remembered I died                                                                                                 aefhilossuw!!D
       107 0* 17.25024% (91.379%) ( 49%)  dang, just remembered I died of                                                                                              aehilssuw!!D
       108 0* 4.96768% (91.379%) ( 51%)  dang, just remembered I died while                                                                                           afossu!!D
       109 0* 4.60093% (91.379%) ( 63%)  dang, just remembered I should                                                                                               adeefiisw!!D
       110 0* 4.19278% (91.379%) ( 30%)  dang, just remembered I died of a                                                                                            ehilssuw!!D
       111 0* 3.09149% (91.379%) ( 41%)  dang, just remembered I said                                                                                                 deefhilosuw!!D
       112 0* 2.69609% (91.379%) ( 70%)  dang, just remembered how I                                                                                                  addeefiilssu!!D
       113 0* 48.75987% (91.379%) ( 84%)  dang, just remembered how I died                                                                                             aefilssu!!D
       114 0* 4.64544% (91.379%) ( 78%)  dang, just remembered how I died!!                                                                                           aefilssuD
       115 0* 2.48849% (91.379%) ( 61%)  dang, just remembered I was                                                                                                  ddeefhiilosu!!D
       116 0* 2.11722% (91.379%) ( 62%)  dang, just remembered we                                                                                                     addefhiilossu!!DI
       117 0* 1.96110% (91.379%) ( 52%)  dang, just remembered we also                                                                                                ddefhiisu!!DI
       118 0* 14.29793% (91.379%) ( 45%)  dang, just remembered we also died                                                                                           fhisu!!DI
       119 0* 2.09895% (91.379%) ( 25%)  dang, just remembered we also die                                                                                            dfhisu!!DI
       120 0* 1.91948% (91.379%) ( 40%) , ge                                                                                                                          ----------aadddefhiijlnossstuuw!!DI
       121 0* 1.90846% (91.948%) ( 37%) , I just remembered when                                                                                                      aadddefgiilossu!!D
       122 0* 1.88816% (91.948%) ( 56%)  dang I just remembered,                                                                                                      addeefhiilossuw!!D
       123 0* 1.83199% (91.948%) ( 49%)  dang, I just remembered who else said                                                                                        dfiu!!D
       124 0* 1.81423% (91.948%) (  7%)  nuts                                                                                                                         ----------aadddeefghiijlossuw!!D,I
       125 0* 1.79537% (92.557%) (  8%)  dang I just remembered we died of a                                                                                          hilssu!!D,
       126 0* 1.78688% (92.557%) ( 65%)  dang, just remembered how I failed                                                                                           deissu!!D
       127 0* 1.76536% (92.557%) ( 23%)  dang, I just remembered we do die                                                                                            afhilssu!!D
       128 0* 1.76158% (92.557%) ( 36%)  dang, what if                                                                                                                ----------ddeeijlosssuu!!DI
       129 0* 1.74803% (92.567%) ( 59%)  dang, I just remembered we did a                                                                                             efhilossu!!D
       130 0* 1.74220% (92.567%) ( 32%)  dang it, I should                                                                                                            ----------adeefijssuw!!D
       131 0* 1.69322% (92.570%) ( 36%)  dang, I just remembered we did lose a                                                                                        fhisu!!D
       132 0* 1.67335% (92.570%) ( 27%)  dang I just remembered a                                                                                                     ddeefhiilossuw!!D,
       133 0* 2.32580% (92.570%) ( 25%)  dang I just remembered a whole                                                                                               ddefiissu!!D,
       134 0* 1.64898% (92.570%) ( 62%) , I just remembered a                                                                                                         adddeefghiilnossuw!!D
       135 0* 1.58670% (92.570%) ( 89%)  dang, I just remembered how dudes                                                                                            aefiils!!D
       136 0* 1.58178% (92.570%) ( 31%)  dang, I just remembered we use                                                                                               addfhiilos!!D
       137 0* 1.55427% (92.570%) ( 72%)  dang, I did just                                                                                                             ----------aeefhilossuw!!D
       138 0* 1.54666% (92.572%) ( 86%)  dang, I just remembered who did                                                                                              aeefilssu!!D
       139 0* 1.51066% (92.572%) ( 56%)  dang, is                                                                                                                     ----------addeefhijlosstuuw!!DI
       140 0* 1.49507% (92.606%) ( 70%)  dang, I just remembered how a dude                                                                                           efiilss!!D
       141 0* 1.48162% (92.606%) ( 58%)  dang I just remembered we had                                                                                                defiilossu!!D,
       142 0* 1.47830% (92.606%) ( 22%) , now                                                                                                                         ----------aadddeefghiijlssstuu!!DI
       143 0* 1.47748% (92.670%) ( 55%)  dang!!                                                                                                                       ----------addeefhiijlossstuuwD,I
       144 0* 1.45814% (92.744%) ( 58%)  dang I just remembered who                                                                                                   addeefiilssu!!D,
       145 0* 1.45273% (92.744%) ( 12%) , now I                                                                                                                       ----------aadddeefghiijlssstuu!!D
       146 0* 2.73717% (92.961%) (  3%) , now I feel                                                                                                                  ----------aadddghiijssstuu!!D
       147 0* 2.92001% (93.061%) ( 15%) , now I feel sad                                                                                                              ----------addghiijsstuu!!D
       148 0* 1.42164% (93.081%) ( 20%)  dang I just remembered we also did                                                                                           efhisu!!D,
       149 0* 1.41474% (93.081%) ( 47%)  dang, I just remembered we failed                                                                                            dhiossu!!D
       150 0* 1.40801% (93.081%) ( 38%)  dang, I just remembered how else                                                                                             addfiisu!!D
       151 0* 1.38323% (93.081%) ( 50%)  god                                                                                                                          ----------aaddeefhiijlnssstuuw!!D,I
       152 0* 1.37782% (93.253%) ( 14%) , I guess it                                                                                                                  ----------aadddefhijlnosuw!!D
       153 0* 1.32734% (93.278%) ( 68%)  dang, I just remembered if we                                                                                                addehilossu!!D
       154 0* 2.45261% (93.278%) ( 48%)  dang, I just remembered if we died                                                                                           ahlossu!!D
       155 0* 1.32267% (93.278%) ( 57%)  dang I just remembered who died                                                                                              aefilssu!!D,
       156 0* 1.32236% (93.278%) ( 72%)  dang, just remembered I did                                                                                                  aeefhilossuw!!D
       157 0* 1.30211% (93.278%) ( 40%)  dang I just remembered who said                                                                                              deefilsu!!D,
       158 0* 1.29329% (93.278%) ( 45%)  dang I just remembered we did                                                                                                aefhilossu!!D,
       159 0* 1.28688% (93.278%) ( 27%)  dang, I just remembered if we die                                                                                            adhlossu!!D
       160 0* 1.28304% (93.278%) ( 51%)  dang, I just remembered we did use                                                                                           afhilos!!D
       161 0* 1.25311% (93.278%) ( 28%)  dang, I just remembered how life is a                                                                                        ddesu!!D
       162 0* 1.24145% (93.278%) ( 74%)  dang, I just remembered how life used                                                                                        adis!!D
       163 0* 1.23889% (93.278%) ( 25%)  shit                                                                                                                         ----------aadddeefgijlnossuuw!!D,I
       164 0* 1.27012% (93.437%) ( 44%)  shit,                                                                                                                        ----------aadddeefgijlnossuuw!!DI
       165 0* 1.23039% (93.511%) ( 50%)  dang, I just remembered we did also                                                                                          efhisu!!D
       166 0* 1.18858% (93.511%) ( 60%)  dang, I just remembered whose                                                                                                addefiilsu!!D
       167 0* 3.26617% (93.511%) ( 27%)  dang, I just remembered whose idea                                                                                           dfilsu!!D
       168 0* 1.18074% (93.511%) ( 43%)  dang I just remembered how dead                                                                                              efiilssu!!D,
       169 0* 1.17520% (93.511%) ( 60%)  dang, should                                                                                                                 ----------adeefiijsstuw!!DI
       170 0* 1.17103% (93.515%) ( 32%)  dang, I just remembered we died a                                                                                            fhilossu!!D
       171 0* 1.13238% (93.515%) ( 61%)  sh                                                                                                                           ----------aadddeefgiijlnosstuuw!!D,I
       172 0* 1.08968% (93.877%) (  5%) , I guess it is                                                                                                               ----------aadddefhjlnouw!!D
       173 0* 1.07693% (93.894%) ( 60%)  god,                                                                                                                         ----------aaddeefhiijlnssstuuw!!DI
       174 0* 1.07275% (93.963%) ( 44%) , this                                                                                                                        ----------aadddeefgijlnossuuw!!DI
       175 0* 1.07124% (94.016%) ( 22%)  dang I just said                                                                                                             ----------deefhilosuw!!D,
       176 0* 1.06497% (94.019%) ( 61%)  dang, I just remembered half                                                                                                 ddeeiiossuw!!D
       177 0* 1.05745% (94.019%) ( 45%)  dang, I just remembered how diseased                                                                                         filu!!D
       178 0* 1.05113% (94.019%) ( 66%)  dang, just remembered how I die                                                                                              adefilssu!!D
       179 0* 1.04845% (94.019%) ( 53%)  dang, who                                                                                                                    ----------addeefiijlssstuu!!DI
       180 0* 1.03153% (94.039%) ( 51%)  dang, I just used                                                                                                            ----------adefhiilosw!!D
       181 0* 1.02752% (94.040%) ( 31%)  dang, it was                                                                                                                 ----------ddeefhijlossuu!!DI
       182 0* 1.02313% (94.053%) ( 65%)  dang, just remembered how I died a                                                                                           efilssu!!D
       183 0* 0.98105% (94.053%) ( 33%)  dang this                                                                                                                    ----------addeefijlossuuw!!D,I
       184 0* 0.96011% (94.071%) ( 69%)  dang, I just remembered a dude who is                                                                                        efils!!D
       185 0* 0.95280% (94.071%) ( 46%) , I just remembered we died                                                                                                   aadfghilnossu!!D
       186 0* 2.35656% (94.071%) ( 44%) , I just remembered we died of                                                                                                aadghilnssu!!D
       187 0* 0.94962% (94.071%) ( 45%)  dang, I just remembered a while                                                                                              ddefiossu!!D
       188 0* 0.94262% (94.071%) ( 48%)  dang, I just remembered we also fused                                                                                        dhii!!D
       189 0* 0.93793% (94.071%) (  9%)  dang it I                                                                                                                    ----------addeefhijlosssuuw!!D,
       190 0* 0.93756% (94.149%) ( 48%)  dang, just remembered we died                                                                                                afhilossu!!DI
       191 0* 3.10163% (94.149%) ( 52%)  dang, just remembered we died of                                                                                             ahilssu!!DI
       192 0* 0.93073% (94.149%) ( 61%)  dang, I just remembered how sad life is due                                                                                  !!D
       193 0* 0.92839% (94.149%) ( 75%)  dang, I just remembered how if                                                                                               addeeilssu!!D
       194 0* 0.92706% (94.149%) ( 20%)  nuts,                                                                                                                        ----------aadddeefghiijlossuw!!DI
       195 0* 0.92460% (94.248%) ( 45%)  dang, we                                                                                                                     ----------addefhiijlossstuu!!DI
       196 0* 0.92335% (94.279%) ( 31%)  dang, I just remembered we died as                                                                                           fhilosu!!D
       197 0* 0.91360% (94.279%) ( 72%)  dang, I just remembered a dude who flies                                                                                     is!!D
       198 0* 0.90862% (94.279%) ( 68%)  dang, just remembered I had                                                                                                  deefiilossuw!!D
       199 0* 0.88177% (94.279%) ( 42%)  dang, I remembered                                                                                                           addeefhiijlossstuuw!!D
       200 0* 0.86525% (94.279%) ( 44%) , shit                                                                                                                        ----------aadddeefgijlnossuuw!!DI
       201 0* 0.85750% (94.369%) ( 49%)  dang, this was                                                                                                               ----------ddeefijlosuu!!DI
       202 0* 0.85289% (94.372%) (  8%)  dang, it is                                                                                                                  ----------addeefhjlossuuw!!DI
       203 0* 0.84868% (94.404%) ( 25%)  dang, the                                                                                                                    ----------addefiijlosssuuw!!DI
       204 0* 0.83133% (94.436%) (  3%)  dang, I said it                                                                                                              ----------deefhjlossuuw!!D
       205 0* 0.82203% (94.444%) ( 67%)  dang, I just remembered who else did                                                                                         afisu!!D
       206 0* 0.82154% (94.444%) ( 56%) , dude                                                                                                                        ----------aadefghiijlnossstuw!!DI
       207 0* 0.80702% (94.512%) ( 12%)  dang, I did it                                                                                                               ----------aeefhjlosssuuw!!D
       208 0* 0.80122% (94.522%) ( 81%)  dang, just remembered how I used                                                                                             adefiils!!D
       209 0* 0.79373% (94.522%) ( 12%)  dang, I just remembered a whole issue                                                                                        ddfi!!D
       210 0* 0.79319% (94.522%) ( 46%)  dang, I just remembered we said                                                                                              defhilosu!!D
       211 0* 0.79233% (94.522%) ( 16%)  dang I just remembered we die                                                                                                adfhilossu!!D,
       212 0* 3.37334% (94.522%) ( 11%)  dang I just remembered we die of                                                                                             adhilssu!!D,
       213 0* 0.78856% (94.522%) ( 74%) , sh                                                                                                                          ----------aadddeefgiijlnosstuuw!!DI
       214 0* 0.78787% (94.649%) ( 72%)  dang, was                                                                                                                    ----------ddeefhiijlosstuu!!DI
       215 0* 0.76554% (94.658%) ( 33%)  dang I just remembered old                                                                                                   adeefhiissuw!!D,
       216 0* 0.76255% (94.658%) ( 60%) , god                                                                                                                         ----------aaddeefhiijlnssstuuw!!DI
       217 0* 0.75757% (94.753%) ( 77%) , I just remembered who                                                                                                       aadddeefgiilnssu!!D
       218 0* 0.84256% (94.753%) ( 69%) , I just remembered who died                                                                                                  aadefgilnssu!!D
       219 0* 0.75660% (94.753%) ( 51%)  gosh                                                                                                                         ----------aadddeefiijlnsstuuw!!D,I
       220 0* 0.75593% (94.816%) ( 35%) , I just remembered who designed                                                                                              aadfilsu!!D
       221 0* 0.74815% (94.816%) ( 60%)  dang, I just remembered how less                                                                                             addefiiu!!D
       222 0* 0.72766% (94.816%) ( 29%)  dang, just remembered we also used                                                                                           dfhii!!DI
       223 0* 0.72216% (94.816%) ( 65%)  dang, I just remembered how failed                                                                                           deissu!!D
       224 0* 0.69156% (94.816%) ( 73%)  dang, I just remembered how dies                                                                                             adefilsu!!D
       225 0* 0.69101% (94.816%) ( 32%)  dang I said                                                                                                                  ----------deefhijlosstuuw!!D,
       226 0* 0.69000% (94.827%) ( 22%)  dang I just remembered we used                                                                                               adfhiilos!!D,
       227 0* 0.68769% (94.827%) ( 46%)  dang, just remembered I shoulda                                                                                              deefiisw!!D
       228 0* 0.68669% (94.827%) ( 54%)  dang, I just remembered life                                                                                                 addehiossuw!!D
       229 0* 0.68198% (94.827%) ( 68%)  dang, just remembered how I said                                                                                             deefilsu!!D
       230 0* 0.67694% (94.827%) ( 58%)  dang, I just remembered while                                                                                                addefiossu!!D
       231 0* 0.67693% (94.827%) ( 20%)  dang, I said the                                                                                                             ----------defijlossuuw!!D
       232 0* 0.67426% (94.829%) (  4%)  dang I just remembered we also die if                                                                                        dhsu!!D,
       233 0* 0.67340% (94.829%) ( 77%) , I just remembered how dead                                                                                                  adefgiilnssu!!D
       234 0* 0.67296% (94.829%) ( 23%)  dang, just remembered I also                                                                                                 ddeefhiisuw!!D
       235 0* 2.27977% (94.829%) ( 27%)  dang, just remembered I also died                                                                                            efhisuw!!D
       236 0* 0.67197% (94.829%) ( 71%)  dang, I wish                                                                                                                 ----------addeefijlosstuu!!D
       237 0* 0.67035% (94.834%) ( 53%)  dang, how                                                                                                                    ----------addeefiijlssstuu!!DI
