even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
    714 0.72%:  I've got the
    715 0.72%:  that got
    716 0.72%:  that one doesn't go.
    717 0.72%: . I need to take
    718 0.72%:  no that's the ending I
    719 0.72%:  no that's not the end no
    720 0.72%:  so that doesn't give
    721 0.72%: . I have to get
    722 1.42%: . I have to get to
    723 0.90%: . I have to get this
    724 1.77%: . I have to get this done
    725 0.93%: . I have to get this done soon
    726 0.72%: . I need to take this
    727 2.01%: . I need to take this to
    728 0.71%: . I need to go take
    729 0.71%:  so I'd
    730 0.71%:  so that ending
    731 0.71%:  so that one is the
    732 0.71%:  no that one's not in
    733 0.70%:  I said
    734 0.70%:  so I've done
    735 0.88%:  so I've done this
    736 0.70%:  thanks to
    737 0.69%:  that one gets one
    738 0.69%:  thanks I need to go on
    739 0.69%:  no I don
    740 14.10%:  no I don't think
    741 5.42%:  no I don't think that one
    742 4.43%:  no I don't have the
    743 2.83%:  no I don't think that goes
    744 1.53%:  no I don't think that one goes
    745 0.92%:  no I don't have it
    746 0.88%:  no I don't have this
    747 0.71%:  no I don't have this one
    748 0.69%:  I've got to take notes
    749 0.69%:  this one doesn't have too
    750 0.69%:  no that's it I need to go on
    751 0.69%:  so I've done nothing
    752 0.68%:  this doesn't have
    753 0.68%: . I need to think
    754 0.68%:  so I've got this one
    755 0.68%:  I need to go take this
    756 0.68%:  so that's on
    757 0.68%:  that one's not so good. I
    758 4.96%:  that one's not so good. I think
    759 0.68%:  hot
    760 0.68%:  no this one's not that
    761 0.68%: . I have to get this to
    762 0.67%:  so I've got that one
    763 1.23%:  so I've got that one done
    764 1.66%:  so I've got that one done.
    765 0.67%:  so it's not 
    766 0.67%:  that one doesn't give
    767 0.66%:  so I've had
    768 0.66%:  that's the one.
    769 0.66%:  that doesn't go into
    770 0.66%:  so that's one thing
    771 1.06%:  so that's one thing I need
    772 0.66%:  good I
    773 0.65%:  so I've got this one done
    774 0.65%:  I have nothing
    775 1.06%:  I have nothing to
    776 0.65%:  so I need to think
    777 0.65%:  so I gotta
    778 0.65%:  that one's got
    779 0.75%:  that one's got to
    780 0.65%:  that one's too intense
    781 0.64%:  so I need this
    782 1.05%:  so I need this to
    783 0.64%:  I think that one gets
    784 0.64%:  so I need to give that
    785 0.64%:  that one is done so
    786 0.64%:  it's not that good so
    787 0.64%:  so I don't have one
    788 0.64%:  so that's the ending. It
    789 0.64%:  that's nothing to
    790 0.64%: . I've said
    791 0.64%:  it's not the end
    792 0.64%:  so that one's not too
    793 0.64%:  no I don't think that goes on
    794 0.63%:  I think that's one done
    795 0.63%:  no that's not the good
    796 0.63%:  that one is too
    797 0.63%:  so that's one done
    798 0.63%: . I need to go eat
    799 0.63%:  so I don't have the 
    800 0.62%:  I have to go into
    801 0.62%:  this one got
    802 0.62%:  that one does not get
    803 0.62%:  so that one isn't even
    804 0.62%:  no that one is
    805 0.62%:  I take
    806 0.62%:  so that's the one ending
    807 0.90%:  so that's the one ending.
    808 0.62%:  so that one goes into
    809 0.62%:  so that one goes on
    810 0.62%: . It
    811 2.03%: . It's done
    812 0.86%: . It's gonna
    813 0.62%: . It's good
    814 0.62%:  no this one needs
    815 0.62%:  so I need to get that
    816 0.61%:  so it's one
    817 0.61%:  so that's it then
    818 0.61%:  that one's not doing
    819 0.61%:  so that's the good
    820 0.61%:  so that's not even on
    821 0.61%:  so I've got that one done so
    822 0.61%:  so it doesn't have to go
    823 1.72%:  so it doesn't have to go on
    824 0.73%:  so it doesn't have to go to
    825 0.61%:  that one doesn't get in
    826 0.61%:  so that one isn't good
    827 0.61%:  so it's not gonna need
    828 0.61%:  it took
    829 0.60%:  that one's not even in
    830 0.60%:  that one got intense
    831 0.60%:  so that's done
    832 1.18%:  so that's done.
    833 0.60%:  so I think that goes
    834 1.51%:  so I think that goes to
    835 0.92%:  so I think that goes on
    836 0.60%:  that one's not good so
    837 0.60%:  no that one's not even
    838 0.59%:  no need
    839 0.59%:  that one doesn't set
    840 0.59%:  so that doesn't tie
    841 0.59%:  it's not gonna
    842 0.58%:  that's the end on
    843 0.58%:  that one isn't so good. It
    844 0.58%:  so that isn't the end.
    845 0.58%:  that one's the
    846 0.57%:  no that's not so
    847 1.34%:  no that's not so good
    848 0.57%:  good thanks
    849 0.57%:  so I've got it
    850 0.57%:  sooooo
    851 0.57%:  I think that's too
    852 0.57%:  no that's not the good one.
    853 0.57%:  so don't ask
    854 0.57%:  so I think that's done
    855 0.56%:  that one too
    856 0.56%:  I need to get that
    857 0.56%:  I need to get to a
    858 0.56%:  that's not the one on
    859 0.56%:  I've got this
    860 1.00%:  I've got this one
    861 0.57%:  I've got this one done
    862 0.56%:  I think that needs
    863 0.56%:  good I think
    864 0.56%:  so that one's the
    865 0.56%:  so I have to go to the dent
    866 0.55%:  so I don't think that one goes
    867 1.38%:  so I don't think that one goes on
    868 0.55%:  that isn
    869 0.66%:  that isn't the
    870 0.55%:  so then
    871 0.55%:  that's the sign
    872 0.55%:  that is one good
    873 0.55%:  no I need
    874 4.61%:  no I need to go to
    875 1.02%:  no I need to take
    876 1.71%:  no I need to take this
    877 0.55%:  I need to eat tonight
    878 0.55%: . I think that's one
    879 0.55%:  good I think that one
    880 0.55%:  that isn't even
    881 0.55%:  no that one's not even good
    882 0.54%:  I think that one's good to
    883 0.54%:  so it's not a one
    884 0.54%:  no thanks this
    885 0.54%:  this one needs to
    886 0.54%:  so I need a
    887 0.53%: . I think that one'
    888 0.92%: . I think that one's done
    889 0.53%:  so I think that's not
    890 0.53%:  that's it I need to go soon
    891 0.53%:  that one's ending
    892 0.53%: . I think that one goes
    893 0.53%:  that one is done. I
    894 0.53%:  that's eight
    895 0.53%:  I have to go soon
    896 0.53%:  that is not even
    897 0.52%:  that one I think goes
    898 0.52%:  that's it no
    899 0.52%:  so I had this one
    900 0.52%:  that's this one.
    901 0.52%:  so this one I don
    902 1.86%:  so this one I don't have to
    903 0.87%:  so this one I don't have on
    904 0.52%:  I think that goes on
    905 0.52%:  no this one's not the
    906 0.52%:  I think that one's done.
    907 0.52%:  that one ties
    908 0.52%:  no this one doesn't get
    909 0.52%:  I need to get on
    910 0.65%:  I need to get on this
