set 'em up, future generations knock 'em down!
       150 0* 0.00025% (98.122% 0.071% 1.807%)  'm fun                                                                                                                        -----------cdeeeekkmnooprsttuuw',!
       151 0* 0.00024% (98.123% 0.071% 1.806%)  'm more of                                                                                                                    -----------cdeeekknnpsttuuuw',!
       152 0* 0.00024% (98.124% 0.071% 1.805%)  'm run                                                                                                                        -----------cdeeeefkkmnoopsttuuw',!
       153 0* 0.00024% (98.125% 0.071% 1.804%)  'm confused                                                                                                                   -----------eeekkmnoprttuuw',!
       154 0* 0.00024% (98.126% 0.071% 1.804%)  'm used                                                                                                                       -----------ceeefkkmnnooprttuuw',!
       155 0* 0.00024% (98.126% 0.071% 1.804%)  'm not sure, come                                                                                                             -----------deefkknptuuw'!
       156 0* 0.00024% (98.126% 0.071% 1.804%)  'm super down                                                                                                                 -----------ceeefkkmnottuu',!
       157 0* 0.00024% (98.126% 0.071% 1.803%)  'm sure, um                                                                                                                   -----------cdeeefkknnoopttuw'!
       158 0* 0.00023% (98.126% 0.071% 1.803%)  'm screw                                                                                                                      -----------deeefkkmnnoopttuuu',!
       159 0* 0.00023% (98.126% 0.071% 1.803%)  'm not                                                                                                                        -----------cdeeeefkkmnoprstuuuw',!
       160 0* 0.00023% (98.133% 0.071% 1.797%)  'm not creep                                                                                                                  -----------deefkkmnostuuuw',!
       161 0* 0.00022% (98.133% 0.071% 1.796%)  'd use                                                                                                                        -----------ceeefkkmmnnooprttuuw',!
       162 0* 0.00022% (98.141% 0.071% 1.788%)  'm under                                                                                                                      -----------ceeefkkmnoopsttuuw',!
       163 0* 0.00022% (98.142% 0.071% 1.787%)  'm super keen                                                                                                                 -----------cdefkmnoottuuw',!
       164 0* 0.00022% (98.142% 0.071% 1.787%)   once                                                                                                                         -----------deeefkkmmnoprsttuuuw'',!
       165 0* 0.00022% (98.170% 0.071% 1.759%)   used                                                                                                                         -----------ceeefkkmmnnooprttuuw'',!
       166 0* 0.00022% (98.197% 0.071% 1.732%)  'm sup                                                                                                                        -----------cdeeeefkkmnnoorttuuw',!
       167 0* 0.00081% (98.197% 0.071% 1.732%)  'm suprem                                                                                                                     -----------cdeeefkknnoottuuw',!
       168 0* 0.00022% (98.198% 0.071% 1.731%)  'm suck                                                                                                                       -----------deeeefkmnnooprttuuw',!
       169 0* 0.00022% (98.198% 0.071% 1.731%)  'm pour                                                                                                                       -----------cdeeeefkkmnnosttuuw',!
       170 0* 0.00022% (98.199% 0.071% 1.730%)  'm set up                                                                                                                     -----------cdeeefkkmnnoortuuw',!
       171 0* 0.00034% (98.199% 0.071% 1.730%)  'm set up for                                                                                                                 -----------cdeeekkmnnotuuw',!
       172 0* 0.00022% (98.200% 0.071% 1.729%)  'm more focused                                                                                                               -----------eekknnpttuuw',!
       173 0* 0.00022% (98.200% 0.071% 1.729%)  'm m                                                                                                                          -----------cdeeeefkknnooprsttuuuw',!
       174 0* 0.00022% (98.203% 0.071% 1.727%)  'm not so                                                                                                                     -----------cdeeeefkkmnprtuuuw',!
       175 0* 0.00021% (98.216% 0.071% 1.713%)   po                                                                                                                           -----------cdeeeefkkmmnnorsttuuuw'',!
       176 0* 0.00021% (98.266% 0.071% 1.663%)  'm know                                                                                                                       -----------cdeeeefkmnoprsttuuu',!
       177 0* 0.00021% (98.268% 0.071% 1.661%)  'm proud of me                                                                                                                -----------ceeekknnsttuuw',!
       178 0* 0.00023% (98.268% 0.071% 1.661%)  'm proud of me,                                                                                                               -----------ceeekknnsttuuw'!
       179 0* 0.00021% (98.268% 0.071% 1.661%)  'm not sure of                                                                                                                -----------cdeeekkmnptuuw',!
       180 0* 0.00020% (98.269% 0.071% 1.661%)  'd count me                                                                                                                   -----------eeefkkmnoprstuuw',!
       181 0* 0.00020% (98.269% 0.071% 1.660%)   won't use                                                                                                                    -----------cdeeefkkmmnoprtuu',!
       182 0* 0.00020% (98.271% 0.071% 1.658%)  'm out, suck                                                                                                                  -----------deeeefkmnnoprtuw'!
       183 0* 0.00020% (98.271% 0.071% 1.658%)  'm set,                                                                                                                       -----------cdeeefkkmnnooprtuuuw'!
       184 0* 0.00020% (98.274% 0.071% 1.656%)  'm te                                                                                                                         -----------cdeeefkkmnnooprstuuuw',!
       185 0* 0.00020% (98.280% 0.071% 1.650%)  'm stuck on                                                                                                                   -----------deeeefkmnoprtuuw',!
       186 0* 0.00019% (98.280% 0.071% 1.649%)  'm due for some                                                                                                               -----------ceekknnpttuuw',!
       187 0* 0.00019% (98.280% 0.071% 1.649%)  'd count,                                                                                                                     -----------eeeefkkmmnoprstuuw'!
       188 0* 0.00019% (98.280% 0.071% 1.649%)  'm drunk                                                                                                                      -----------ceeeefkmnoopsttuuw',!
       189 0* 0.00019% (98.281% 0.071% 1.648%)  'm one of                                                                                                                     -----------cdeeekkmnprsttuuuw',!
       190 0* 0.00019% (98.283% 0.071% 1.646%)  'm too                                                                                                                        -----------cdeeeefkkmnnprstuuuw',!
       191 0* 0.00019% (98.298% 0.071% 1.631%)  'm perfect,                                                                                                                   -----------deekkmnnoostuuuw'!
       192 0* 0.00019% (98.298% 0.071% 1.631%)  'm not used                                                                                                                   -----------ceeefkkmnoprtuuw',!
       193 0* 0.00018% (98.298% 0.071% 1.631%)  'm sure no                                                                                                                    -----------cdeeefkkmnopttuuw',!
       194 0* 0.00018% (98.299% 0.071% 1.630%)  'm proud!                                                                                                                     -----------ceeeefkkmnnosttuuw',
       195 0* 0.00018% (98.299% 0.071% 1.630%)  'd,                                                                                                                           -----------ceeeefkkmmnnooprsttuuuw'!
       196 0* 0.00078% (98.303% 0.071% 1.627%)  'd, um                                                                                                                        -----------ceeeefkkmnnooprsttuuw'!
       197 0* 0.00017% (98.306% 0.071% 1.623%)  'm done for                                                                                                                   -----------ceeekkmnpsttuuuw',!
       198 0* 0.00017% (98.308% 0.071% 1.621%)  'm duck                                                                                                                       -----------eeeefkmnnooprsttuuw',!
       199 0* 0.00017% (98.308% 0.071% 1.621%)  'm ok                                                                                                                         -----------cdeeeefkmnnoprsttuuuw',!
       200 0* 0.00017% (98.311% 0.071% 1.619%)  'm not upset                                                                                                                  -----------cdeeefkkmnoruuw',!
       201 0* 0.00017% (98.311% 0.071% 1.618%)  'm c                                                                                                                          -----------deeeefkkmnnooprsttuuuw',!
       202 0* 0.00017% (98.313% 0.071% 1.616%)  , um!                                                                                                                         -----------cdeeeefkkmnnooprsttuuw''
       203 0* 0.00017% (98.315% 0.071% 1.615%)  'm w                                                                                                                          -----------cdeeeefkkmnnooprsttuuu',!
       204 0* 0.00017% (98.320% 0.071% 1.609%)  'm screwed                                                                                                                    -----------eefkkmnnoopttuuu',!
       205 0* 0.00017% (98.320% 0.071% 1.609%)  'm super com                                                                                                                  -----------deeefkknnottuuw',!
       206 0* 0.00016% (98.320% 0.071% 1.609%)  'm comp                                                                                                                       -----------deeeefkknnorsttuuuw',!
       207 0* 0.00016% (98.321% 0.071% 1.608%)  'm ponder                                                                                                                     -----------ceeefkkmnosttuuuw',!
       208 0* 0.00016% (98.322% 0.071% 1.608%)  'm knock                                                                                                                      -----------deeeefmnoprsttuuuw',!
       209 0* 0.00016% (98.322% 0.071% 1.607%)   don't use                                                                                                                    -----------ceeefkkmmnoprtuuw',!
       210 0* 0.00016% (98.325% 0.071% 1.604%)  'm used to                                                                                                                    -----------ceeefkkmnnoprtuuw',!
       211 0* 0.00016% (98.328% 0.071% 1.601%)   spent                                                                                                                        -----------cdeeefkkmmnoortuuuw'',!
       212 0* 0.00016% (98.356% 0.071% 1.573%)  'm not f                                                                                                                      -----------cdeeeekkmnoprstuuuw',!
       213 0* 0.00016% (98.358% 0.071% 1.571%)  'm pro                                                                                                                        -----------cdeeeefkkmnnosttuuuw',!
       214 0* 0.00015% (98.359% 0.071% 1.570%)  'm not some                                                                                                                   -----------cdeeefkknprtuuuw',!
       215 0* 0.00015% (98.361% 0.071% 1.568%)   worked                                                                                                                       -----------ceeefkmmnnopsttuuu'',!
