FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
236.19%:  REASONS
0.94%:  A SECRET REASONS
0.94%:  SOME REASON THEY
0.94%:  FOR SOME REASON THEY
0.93%:  WH
0.92%:  HORSE TR
1.24%:  HORSE TRADES
0.90%:  HORSE RID
0.90%:  MY SECRET
0.88%: HOR
10.32%: HORSE REASONS
1.01%: HORSE RELATED
0.87%:  SOME REASON OR
0.87%:  FOR SOME REASON THE
0.85%:  A SECOND
0.84%:  HORSE TIME
0.83%:  SOME REASON I NEED A
0.83%:  NO
7.56%:  NO REASON AT
3.11%:  NO REASON WHAT
0.83%:  FOR MY CH
1.07%:  FOR MY CHESS BOARD
0.83%:  FOR SOME SCIENCE
0.81%:  A CH
0.80%:  FOR A SECOND
0.80%:  FOR MY OWN
5.45%:  FOR MY OWN REASONS
3.09%:  FOR MY OWN HORSE
0.80%:  AWESOME SCIENCE
0.80%:  HORSES TO
0.80%:  MY HORSE AND
0.80%:  HORSE CARE
2.19%:  HORSE CARE REASONS
0.80%:  MY HORSE TO LEARN
0.80%:  AN HORSE
0.79%:  FOR A WHILE
0.79%:  RANDOM REASON
0.79%:  A SECRET DINNER
0.78%:  FOR CHESS RELATED REASONS I
0.78%:  CHESS REASONS I
0.78%:  HORSE MEET
0.77%:  A SCIENCE
0.77%:  OTHER REASONS AND
1.32%:  OTHER REASONS AND ALSO
1.17%:  OTHER REASONS AND REASONS
0.77%:  FOR A SECRET CH
0.75%:  FRIEND REASONS
0.75%:  A CHESS TO
0.74%:  THE SECOND
0.74%:  A CERTAIN HORSE NAM
1.20%:  A CERTAIN HORSE NAMED "
0.74%:  FOR OTHER
0.73%:  A WHILE
0.72%:  AWESOME CH
0.72%:  OTHER REASONS OF
0.71%:  SOMEONE
1.37%:  SOMEONE ELSE
0.71%:  A HORSE AND SOME
0.70%:  RACE
11.03%:  RACE HORSE REASONS
0.69%:  AN ARTICLE
0.69%:  NON
0.69%:  ANOTHER BOARD
0.69%:  HORSES NEED
0.68%:  OTHER REASONS MAN
0.68%:  SOME REASON IT
0.68%: SOME
0.68%:  CHEESE
0.68%:  A SECRET AND
0.68%:  FOR MY OTHER
0.67%:  REASONS I
3.23%:  REASONS I CANNOT
1.69%:  REASONS I CANNOT DIS
1.44%:  REASONS I CANNOT DESCR
1.27%:  REASONS I CAN
0.84%:  REASONS I CANNOT SHARE
0.67%:  SOME REASON THE
0.66%:  "HOR
4.86%:  "HORSE REASONS
0.66%:  FOR CHEES
0.66%:  FOR A SCIENCE
0.66%:  HORSE RELATED REASONS OF MY
0.66%:  SOMEONE REASONS
0.65%:  CHESS REASONS I CANNOT
0.65%:  FOR SOME OTHER
3.20%:  FOR SOME OTHER REASONS
0.65%:  I
0.64%:  A HORSE RIDE
0.64%:  STABLE FRIENDS
0.64%:  FOR SOME REASON IT
0.64%:  CHESS TRO
0.64%:  HORSES CAN
0.64%:  REASONS I CANNOT DESCRIBE HERE
0.64%:  MY LESSON
0.63%: SOME HORSE
0.63%:  REASONS OF
1.74%:  REASONS OF SCIENCE
0.97%:  REASONS OF HORSE
0.63%:  MY OTHER
0.63%:  FOR A SECRET AND
0.62%:  REAL
0.62%:  A BRIEF
0.61%:  FOR MY NEW
0.61%:  FOR SOME REASON I WANT
0.61%:  HORSE RACE
3.09%:  HORSE RACE REASONS
0.60%:  A DATE
0.60%:  FOR HORSE NEWS
0.60%:  MY CH
0.60%:  MY CHESS FRIEND
0.59%:  FOR SOME REASON I WANTED
0.59%:  SOME HORSE FRIEND
1.04%:  SOME HORSE FRIEND REASONS
0.59%:  FOR SOME CHE
0.59%:  OTHER REASONS AND ALSO FOR
0.59%:  A SECRET CH
0.59%:  FOR A CERTAIN
0.58%:  FOR A RACE
0.58%:  SOME SECRET CH
0.58%:  SOM
0.58%:  FOR A LESSON
0.58%:  FOR AWESOME
0.80%:  FOR AWESOME HORSE
6.45%:  FOR AWESOME HORSE REASONS
0.57%:  FOR HORSE AND
0.57%:  MY HORSE NEEDS
0.56%:  FOR SOME SECRET REASONS I
0.95%:  FOR SOME SECRET REASONS I CAN
0.56%:  HORSES RELATED
0.56%:  CHEESE REASONS
0.56%:  FOR A DATE
0.56%:  A HORSE NAMED STE
0.56%:  WHAT
0.61%:  WHAT REASONS
0.56%:  FOR SOME SECRET CH
0.56%:  ANOTHER FRIEND
0.56%:  REASONS OF HORSE SCIENCE
0.56%:  FOR REAL
0.55%:  FOR RID
0.55%:  CHESS BOARD
1.19%:  CHESS BOARD REASONS
0.55%:  A HORSE OF
0.54%:  A SECRET REASON I
0.56%:  A SECRET REASON I CAN
0.54%:  CHESS RELATED REASONS OR
0.54%:  REASONS I CANNOT SAY
0.54%:  FOR A SCIENCE REASON
0.53%:  MY CHESS BOARD
0.53%:  A HORSE NEEDS
1.14%:  A HORSE NEEDS TO LEARN
0.53%:  FOR MY SECRET CH
0.53%:  A FEW
3.78%:  A FEW REASONS
0.52%:  A CERTAIN FRIEND
0.52%:  ANOTHER CLASS
0.81%:  ANOTHER CLASS OF REASONS
0.52%:  SOME RE
0.52%:  MY NEW
5.99%:  MY NEW HORSE FRIEND
0.52%:  "CH
11.95%:  "CHESS REASONS
8.02%:  "CHESS" REASONS
1.18%:  "CHESS RELATED
0.52%:  MY HORSE IS
0.51%:  FOR DINNER
0.51%:  MEDICAL REASON
0.51%:  A CHAT
0.50%:  FOR SOME REASON THE IDEA
0.50%:  CLASS
0.50%:  REASONS OF MY
0.50%:  HORSE RELATED REASONS MAY
0.50%:  FOR OTHER REASONS NOW
0.50%:  OTHER REASONS I DON
0.49%:  A CERTAIN RACE
0.49%:  A RID
0.49%:  A DANCE
0.93%:  A DANCE LESSON
0.49%: CHESS RELATED
0.49%:  FOR SOME SECRET REASONS I DON
0.49%:  HORSE BASED
5.01%:  HORSE BASED REASONS
0.49%:  FOR MY LESSON WITH
0.48%:  MY FRIEND HORSE
0.48%:  FOR A SECRET ME
0.48%:  HORSES FOR
0.48%:  HORSE IDEAS
0.48%:  SOME SECRET REASONS I
0.66%:  SOME SECRET REASONS I CAN
0.48%:  SOMEONE ELSE TO
0.48%:  CHESS TR
0.48%:  A FEW SECON
0.48%:  RELATED
0.48%:  A BRIEF HORSE
0.47%:  RANDOM REASONS I
0.47%:  COACH
0.47%:  RACE REASONS
0.47%:  "CHESS RELATED"
0.47%:  OB
0.47%:  FOR SOME REASON WE
0.47%:  HORSE FACTS
0.47%:  FOR SOME CHEES
0.47%:  STABLE REASONS I
0.47%:  CHEERS
0.47%:  A SCIENCE REASON
0.46%:  FOR REAL THIS
0.46%:  FOR MY OWN SECRET
0.46%:  REASONS I DON
0.46%:  MORE THAN
0.46%:  WHAT REASON
0.46%: SOME REASONS
0.46%:  A BOARD
0.45%:  SECRET CHE
0.45%:  R
0.84%:  RACES
0.45%:  CHESS AND
0.45%:  FOR SECRET CH
0.45%:  A FEW HORSE
0.45%:  AWESOME REASON
0.45%:  HORSES ARE MY
0.45%:  FOR A HORSE NAMED STE
0.44%:  FOR A CH
0.44%:  OTHER REASONS FOR
0.44%:  SEC
2.41%:  SECRETS REASONS
0.44%:  OTHER REASONS I ALREADY
0.44%:  CHESS ACTION
0.44%:  A SECRET ME
0.44%:  SOME OTHER REASON I
0.57%:  SOME OTHER REASON I CAN
0.43%:  MANY
0.43%:  CHESS IN
0.43%:  NO REASON WH
0.43%:  SCHOOL REASONS
0.43%:  HORSE ACTION
0.43%:  FOR SOME REASONS RELATED
0.43%:  SOME SECRET REASONS I DON
0.43%:  HORSES NEED ME
0.43%:  ONE
3.28%:  ONE REASON
0.89%:  ONE HORSE
0.77%:  ONE HORSE REASONS
0.43%:  FOR MY HORSE NEEDS
0.43%:  MY NEW FRIEND
0.42%:  BOARD
0.42%:  A SHORT
0.60%:  A SHORT RIDE
0.42%:  "HORSE RELATED
0.42%:  A CHESS RELATED
0.42%:  SENS
0.42%:  A CERTAIN HORSE AND
0.42%:  ESS
0.44%:  ESSENCE
0.42%:  ESSENCE REASONS
0.42%:  SOME HORSE BRE
0.41%:  MY SECRET CH
0.41%:  HORSES OF
0.41%:  A HORSE NAMED AFTER
0.41%:  HORSES IN
0.41%:  THE REASONS
0.41%:  SECRET HORSE MAN
0.41%:  DINNER
0.41%:  A SECRET FRIEND
0.41%:  STABLE NEEDS
0.41%:  A HORSE DANCE
0.41%:  SOME REASON I WANT
0.41%:  FOR A DANCE
0.82%:  FOR A DANCE LESSON
0.40%:  MY OWN
2.44%:  MY OWN REASONS
0.40%:  FOR A HORSE DANCE
0.40%:  AN ENTIRE
0.40%:  HORSE TRAIN
0.40%:  A SECRET HORSE ME
0.40%:  A CERTAIN LESSON
0.40%:  REAL REASONS
0.40%:  DOCTOR
4.62%:  DOCTOR REASONS
0.40%:  DOCTOR HORSE
0.40%:  FRIENDS REASONS
0.40%:  SOME CHEESE
0.39%:  CHESS TO
0.39%:  FOR MORE
0.64%:  FOR MORE CHESS REASONS
0.55%:  FOR MORE REASONS
0.39%:  A SECRET BOARD
0.39%:  MEDICAL CARE
0.39%:  FOR H
7.88%:  FOR HORSES REASONS
1.30%:  FOR HORSES AND
0.57%:  FOR HORSES ONLY
1.98%:  FOR HORSES ONLY REASONS
0.39%:  SOME REASON WE
0.39%:  LIBRARY
1.82%:  LIBRARY REASONS
0.82%:  LIBRARY SCIENCE
0.38%:  FOR AN HORSE
0.38%:  A HORSE NAMED BO
0.38%:  A SEC
0.38%:  HORSE MANNER
0.38%:  A HORSE DOCTOR
0.38%:  A SECRET HORSE AND
0.38%:  FOR A HORSE DATE
0.38%:  FOR AN ARTICLE
0.38%:  MY HORSE NEEDS TO
0.38%:  SOME H
0.38%:  AN AWESOME
0.99%:  AN AWESOME HORSE
0.38%:  MY FRIENDS
0.37%:  TO
0.37%:  ANIMAL
1.31%:  ANIMAL REASONS
0.85%:  ANIMAL CHESS REASONS
0.37%:  A SECRET REASON I DON
0.37%:  NO REASON I
0.37%:  LIFE
1.01%:  LIFE REASONS
0.37%:  A HORSE MEET
0.37%:  FOR CHESS RELATED REASONS I CAN
0.37%:  FOR A SEC
0.37%:  STABLE REASONS I CAN
0.37%:  MORE REASONS THAN I
2.17%:  MORE REASONS THAN I CAN SAY
0.37%:  FOR A LESSON IN
0.37%:  FOR A SECRET MEDICAL
0.37%:  IDEAS
0.37%:  SOMEONE REASON
0.36%:  REAL HORSE
0.36%:  RAC
7.68%:  RACIAL REASONS
0.36%:  CERTAIN MEDICAL
0.36%:  FOR SOME CHEESE
0.36%:  A SECRET RIDE
0.36%:  A HORSE IS
0.36%:  SOME HORSE RACE
0.36%:  SOME HORSE RACE REASONS
0.36%:  AN ENTIRE DAY
0.36%:  STABLE REASONS AND
0.36%:  HORSE NEEDS
0.36%:  D
0.36%:  A SECRET RE
0.36%:  HORSE RELATED REASONS OF MINE
0.35%:  AN ANIMAL
0.35%:  SECRET REASONS I
0.45%:  SECRET REASONS I CAN
0.35%:  STABLE NEWS
0.35%:  RE
0.35%:  CHESS DR
0.35%:  CHESS RELATED REASONS I AM
0.34%:  DATA
0.34%:  ONE HORSE REASON
0.34%:  A MATCH
0.34%:  FOR A HORSE SCIENCE
0.34%:  HORSE CONTROL
0.34%:  NO REASON OTHER
0.34%:  RANDOM REASONS I CAN
0.33%:  MORE REASON
0.46%:  MORE REASON THAN
0.33%:  REASONS I CANNOT CLAR
0.33%:  MORE REASONS THAN I CAN DESCR
0.33%:  MY FRIEND THE
0.33%:  SOME REASON THE IDEA
0.33%:  REASONS BEYOND
0.33%:  FOR MY NEW CH
0.33%:  SOME HORSE CARE
0.33%:  SOME HORSE FEED
0.32%:  A HORSE SCIENCE
0.32%:  REASONS CONCERN
0.32%:  HORSEY REASON
0.32%:  A CLASS
0.32%:  AWESOME SECRET
0.32%:  CERTAIN CH
12.85%:  CERTAIN CHESS REASONS
0.32%:  A HORSE REASONS
0.32%:  HORSE COM
0.32%:  RES
0.32%:  FOR MY OWN REASON
0.32%:  FOR SOME SCIENCE REASONS
0.32%:  SOME HOR
13.56%:  SOME HORSEY REASONS
0.31%:  HISTORY
0.74%:  HISTORY REASONS
0.31%:  STABLE FRIEND
0.51%:  STABLE FRIEND REASONS
0.31%:  SOME REASON THEY ARE
0.31%:  A CERTAIN HORSE I
0.31%:  OTHER REASONS IN
0.31%:  HORSE BRE
0.31%:  FOR NO
3.95%:  FOR NO REASON AT
2.10%:  FOR NO REASON WHAT
0.31%:  FOR A HORSE MEET
0.31%:  MY NEW CH
0.75%:  MY NEW CHESS FRIEND
0.31%:  HORSE STORY
0.31%:  FOR REASONS I
1.80%:  FOR REASONS I CANNOT
0.89%:  FOR REASONS I CANNOT DESCR
0.86%:  FOR REASONS I CANNOT DIS
0.66%:  FOR REASONS I CAN
0.42%:  FOR REASONS I CANNOT SHARE
0.38%:  FOR REASONS I CANNOT SAY
0.31%:  "SOME
0.47%:  "SOME HORSE
0.48%:  "SOME HORSE REASONS
0.45%:  "SOME REASONS
0.31%:  ONE LAST
0.31%:  TWO
0.31%:  STAB
0.30%: FOR
0.61%: FOR REASONS
0.37%: FOR SOME
0.34%: FOR SOME REASONS
0.34%: FOR HORSE
1.83%: FOR HORSE REASONS
0.30%:  CHESS MAN
0.30%:  MY HORSE BOARD
0.30%:  A HORSE CAN
0.30%:  FOR A DANCE LESSON WITH
0.30%:  HORSE RIDES
0.30%:  FOR CHEESE
0.30%:  A SECOND HORSE
0.30%:  CHESS REASONS ONLY
0.30%:  SOME REASON I WANTED
0.30%:  FOR SOMEONE
0.56%:  FOR SOMEONE ELSE
0.30%:  FOR A HORSE AND SOME
0.30%:  FOR SOME REASON I CANT
0.30%:  NORMAL
4.35%:  NORMAL REASONS
0.30%:  SOME RIDES
0.30%:  FOR SOME "
0.89%:  FOR SOME "REASON
0.30%:  AN AWESOME HORSE FRIEND
0.29%: FOR SOME HORSE
0.35%: FOR SOME HORSE REASONS
0.29%:  FOR SOME RE
0.29%:  FOR OTHER REASONS ALSO
0.29%:  SOME SER
0.29%:  HORSES I
0.29%:  SER
0.29%:  SOME SECRET CHE
0.29%:  HORSE SEC
0.29%:  A BRIEF SECOND
0.29%:  HORSES ARE NOT
0.29%:  FOR SOME SER
0.29%:  FAMILY
0.29%:  HORSE FRIEND TIME
0.29%:  HORSE TIMES
0.29%:  ONE SECOND
0.29%:  REASON REASONS
0.29%:  MAN
0.29%:  MY LESSON WITH
0.29%:  FOR MY SECOND
0.44%:  FOR MY SECOND HORSE
0.28%:  A DANCE LESSON WITH
0.33%:  A DANCE LESSON WITH MY
0.28%:  MORE REASONS THAN I CARE
0.28%:  ANOTHER MISSION
0.28%:  FOR A CHAT
0.28%:  SOME REAL
0.28%:  FOR HORSE MAN
0.28%:  FOR NO REASON WH
0.28%:  FOR CHESS RELATED REASONS MAY
0.28%:  CHESS RELATED REASONS OF MY
0.28%:  CHESS L
0.28%:  MORE CHESS ACTION
0.28%:  A SECRE
0.28%:  FOR A SECRET CHE
0.28%:  OTHER REASONS FOR NOW
0.28%:  HORSE S
0.28%:  CHESS RELATED REASONS FOR
0.28%:  FOR MY HORSE AND ALSO
0.28%:  CERTAIN RID
0.27%:  FOR A RIDE ON
0.27%:  CHESS REASONS OF
0.27%:  "REASON
0.27%:  CON
0.27%:  FOR CHESS REASONS I
0.27%:  "HORSE AND
0.27%:  CLASS REASONS
0.27%:  AN AFTER SCHOOL
0.27%:  HORSES I MEAN
0.27%:  A HORSE NAMED ALBERT
0.27%:  NO REASON WHATS
0.27%:  A LESSON WITH
0.31%:  A LESSON WITH MY NEW
0.30%:  A LESSON WITH MY FRIEND
0.27%:  FOR A CHESS RELATED
0.27%:  MY SECOND
0.42%:  MY SECOND HORSE
0.27%:  FOR MORE REASONS THAN I
2.14%:  FOR MORE REASONS THAN I CAN SAY
0.27%:  OTHER REASONS AND ALSO I
0.27%:  L
0.26%:  HORSE WARS
0.26%:  A CERTAIN ANIMAL
0.26%:  OTHER REASONS OF MY
0.26%:  E
0.26%:  OTHER RID
0.26%:  CHESS RE
0.26%:  SOCIAL
0.26%:  SOME "
0.73%:  SOME "REASON
0.26%:  SOME REASON I CANT
0.26%:  DRESS
0.26%:  CHESS REASONS AND
0.26%:  FOR SOME H
0.26%:  A FEW HORSE REASONS
0.26%:  ANOTHER REASON I
0.26%:  CHESS REASONS I CAN
0.26%:  REASONS REASON
0.26%:  FOR SOME REASONS I
0.97%:  FOR SOME REASONS I CANNOT
0.88%:  FOR SOME REASONS I CANNOT DESCR
0.52%:  FOR SOME REASONS I CANNOT DIS
0.26%:  FOR SOME REASONS I CANNOT SAY
0.26%:  THE REASON
0.26%:  MY OWN SECRET
0.80%:  MY OWN SECRET REASON
0.57%:  MY OWN SECRET HORSE
0.26%:  FOR CLASS
0.26%:  FOR SOM
0.25%:  DR
0.25%:  A HORSE BOARD
0.25%:  OTHER REASONS AND ALSO MAY
0.27%:  OTHER REASONS AND ALSO MAYBE FOR
0.25%:  A SECRET HORSE MAN
0.25%:  FOR SOME SECRET CHE
0.25%:  FOR RANDOM
0.25%:  FOR A SECRET SOCIAL
0.25%:  SOME REASON AND
0.25%:  FOR SOME REASON AND
0.25%:  A RIDE ON
0.26%:  A RIDE ON MY
0.25%:  A RIDE ON A HORSE NAM
0.25%:  A HORSE RELATED REASONS
0.25%:  SOME REASON IN
0.25%:  CHESS LORE
0.25%:  A SECRET RID
0.25%:  FOR SOME REASON I HAD
0.25%:  SECRET REASONS I DON
0.24%:  SOME HORSE CARE REASONS
0.24%:  MORE REASONS THAN BEFORE
0.24%:  ANOTHER SCIENCE
0.24%:  MY HORSE NEEDS TO LEARN
0.24%:  A REAL
0.56%:  A REAL HORSE
0.24%:  FOR SOME REASONS I CANNOT SHARE
0.24%:  "HORSE RELATED"
0.24%:  A WHOLE
0.24%:  CONCERT
0.82%:  CONCERT REASONS
0.24%:  MY NEW HORSE BOARD
0.24%:  SOME REASON I CAN HARD
0.24%:  FOR HORSE MEET
0.24%:  OTHER REASONS AND ALSO MAYBE I
0.24%:  AN EARL
0.35%:  AN EARLIER DATE
0.29%:  AN EARLIER MATCH
0.24%:  OTHER REASONS AS
0.24%:  FOR SOME REASON IN
0.24%:  INST
0.24%:  A LESSON IN THE
0.24%:  A HORSE RACE OF
0.43%:  A HORSE RACE OF SOME
0.24%:  SOME HORSE FE
0.24%:  FOR ONE
1.55%:  FOR ONE REASON
0.37%:  FOR ONE HORSE
0.60%:  FOR ONE HORSE REASONS
0.23%:  FOR SOME SECRET REASONS ONLY
0.44%:  FOR SOME SECRET REASONS ONLY I CAN
0.23%:  A HORSE TO LEARN
0.23%:  STABLE CHE
0.23%:  MORE CHE
0.23%:  ESSENCE OF
0.23%:  SOME HORSE RELATED REASONS I WON
0.23%:  FOR MEDICAL REASONS I
0.58%:  FOR MEDICAL REASONS I CANNOT
0.23%:  CHESS I
0.23%:  HORSE RELATED REASONS I AM
0.23%:  I NEED
0.23%:  FOR A CHESS TO
0.23%:  TEAM
0.23%:  THE RACE
0.23%:  AN ESS
0.23%:  OTHER REASONS I NEED
0.23%:  FOR CHESS REASONS I CANNOT
0.23%:  "HORSE"
3.59%:  "HORSE" REASONS
0.23%:  SOME REAL HORSE
0.23%:  FOR A HORSE NAMED BO
0.23%:  SOME SECRET AND
0.23%:  A FEW DAYS
0.23%:  HORSES FOR REASONS
0.23%:  A CERTAIN HORSE AND ME
0.23%:  A SECRET REASON ONLY
0.23%:  HORSEY TIMES
0.23%:  CONCERN
0.23%:  BRE
0.23%:  NEW
0.52%:  NEW HORSE
1.68%:  NEW HORSE FRIENDS
0.33%:  NEW REASONS
0.30%:  NEW HORSE FRIEND
0.23%:  COM
0.22%:  SOME REASON NOW
0.22%:  FOR THE SECOND
0.22%:  AN IM
0.22%:  A SECRET HORSE DEAL
0.22%:  FOR MY CHESS TRAIN
0.22%:  ANY
0.79%:  ANY REASON I
2.28%:  ANY REASON I CHOOSE
0.50%:  ANY REASON AT
0.45%:  ANY REASON WHAT
0.34%:  ANY REASON I FEEL
0.25%:  ANY REASON WH
0.22%:  A SECRET REN
0.22%:  FOR A RID
0.22%:  FOR MEDICAL REASONS I CAN
0.22%:  NEW HORSE FRIEND REASONS
0.22%:  RANDOM CH
13.58%:  RANDOM CHESS REASONS
0.22%:  CHESS RELATED REASONS OB
0.22%:  RACIAL HORSE
0.22%:  HORSES ON
0.22%:  LESS
0.22%:  HORSE RELATED REASONS OF AN
0.22%:  A SECRET SOCIAL
0.22%:  NON HORSE
2.20%:  NON HORSE REASONS
2.11%:  NON HORSE RELATED REASONS I
2.84%:  NON HORSE RELATED REASONS I SWE
1.85%:  NON HORSE RELATED REASONS OF
0.59%:  NON HORSE RELATED REASONS MAY
0.35%:  NON HORSE RELATED REASONS I AM
0.26%:  NON HORSE RELATED REASONS OB
0.22%:  SENSE
0.22%:  SOME HORSE REASONS I
0.27%:  SOME HORSE REASONS I CAN
0.25%:  SOME HORSE REASONS I CANNOT
0.22%:  FOR MY NEW CHESS BOARD
0.22%:  CHEST
0.22%:  FOR MY HORSE AND I TO
0.22%:  AN AWESOME HORSE RACE
0.22%:  AN ENTIRE HORSE
0.21%:  BOARD REASONS
0.21%:  FOR SOME SECRET AND
0.21%:  FOR SOME REAL
0.21%:  A SOCIAL
0.21%:  THE ANSWER
0.21%:  A SECRET REASON OF
0.53%:  A SECRET REASON OF MINE
0.21%:  FOR AN AWESOME
0.56%:  FOR AN AWESOME HORSE
0.35%:  FOR AN AWESOME REASON
0.27%:  FOR AN AWESOME SECRET
