it looks like I'M never reading again
      0 100.00%: 
      1 224.43%:  I
    327 0.72%:  silver
    328 2.42%:  silver lin
    329 0.72%:  I do love
    330 0.71%:  I do it
    331 0.71%:  all I've got are
    332 0.71%:  it looks like a
    333 0.70%:  I've earned
    334 0.70%:  it looks like an
    335 0.70%:  it looks like I never again reading
    336 0.70%:  I've kinda
    337 0.70%:  it's good I like
    338 0.69%:  do
    339 0.69%:  looks like I ain't read
    340 0.68%:  dog
    341 1.14%:  doggone it all
    342 0.86%:  doggon
    343 0.89%:  doggonnit
    344 0.67%:  it's gonna go
    345 0.67%:  looks like I've earned at
    346 0.67%:  I'M not gonna
    347 1.10%:  I'M not gonna read
    348 0.67%:  I've taken
    349 0.67%:  looks like I die
    350 0.66%:  looks like I've arranged it
    351 0.65%:  on one
    352 0.65%:  so long and
    353 0.65%:  looks like I never again
    354 0.63%:  at lease
    355 0.63%:  I also
    356 0.62%:  I said
    357 0.61%:  it looks like I gained
    358 0.61%:  I'M not reading real
    359 0.61%:  I've got an original
    360 1.46%:  I've got an original idea
    361 0.61%:  and
    362 1.33%:  and against
    363 0.84%:  and also
    364 0.61%:  it's like reading a novel
    365 0.61%:  it looks like I've gained 
    366 0.61%:  one reader
    367 0.61%:  looks like I never get a
    368 0.60%:  it looked
    369 5.57%:  it looked like I
    370 0.72%:  it looked like I'
    371 0.69%:  it looked like an
    372 0.64%:  it looked like an average
    373 0.60%:  I'll read
    374 0.81%:  I'll read it
    375 0.60%:  it's never good
    376 0.60%:  not so
    377 0.60%:  it's going on
    378 0.60%:  looks like I ain't ever
    379 14.44%:  looks like I ain't ever reading
    380 2.81%:  looks like I ain't ever reading a
    381 0.60%:  going into
    382 0.60%:  I'd still
    383 0.60%:  looks like dinner at
    384 0.60%:  like I told
    385 0.59%:  I'd like to give
    386 0.59%:  it all ends
    387 0.59%:  as one
    388 0.59%:  it looks like I never again read
    389 0.59%:  I lost
    390 0.58%:  looks like I've t
    391 0.58%:  I deserve
    392 0.58%:  I got
    393 0.62%:  I got a
    394 0.58%:  looks like I earned it
    395 0.58%:  as it
    396 0.58%:  never read
    397 0.57%:  looks like I'M eating
    398 0.56%:  I've done it one
    399 0.56%:  g
    400 0.56%:  it's a dogg
    401 0.56%:  it looks like Indiana
    402 0.56%:  looks like I never ate
    403 0.55%:  is
    404 0.55%:  even
    405 0.59%:  even I
    406 0.54%:  it's no longer a real
    407 0.54%:  it's all going
    408 0.54%:  I kind
    409 0.53%:  I'M still
    410 6.75%:  I'M still going
    411 3.85%:  I'M still reading
    412 2.38%:  I'M still gonna
    413 4.69%:  I'M still gonna read
    414 0.72%:  I'M still doing
    415 0.53%:  it's all gone
    416 0.53%:  it looks like I've der
    417 0.53%:  reading
    418 1.03%:  reading is
    419 0.53%:  it is a dog
    420 0.53%:  I don't even like real
    421 0.53%:  I told
    422 0.52%:  I've got one idea
    423 0.52%:  looks like I never intend
    424 0.52%:  I'M reading
    425 0.52%:  leave
    426 0.52%:  I leave
    427 0.52%:  it's like looking
    428 0.52%:  looks like i
    429 0.51%:  kinda like
    430 0.51%:  I learned
    431 1.33%:  I learned a
    432 0.51%:  looks like I've read a
    433 0.51%:  it looks like I gave
    434 0.51%:  looks like I get a
    435 0.51%:  not like
    436 0.51%:  I've learned a lot on
    437 0.50%:  I'M gonna
    438 1.26%:  I'M gonna go
    439 1.56%:  I'M gonna go read
    440 0.62%:  I'M gonna go and
    441 0.50%:  looks like I ain't never
    442 6.43%:  looks like I ain't never reading
    443 1.27%:  looks like I ain't never reading a
    444 0.50%:  I live
    445 0.50%:  it's gonna give
    446 0.49%:  looks like I'M a
    447 0.49%:  one advantage is I no
    448 0.49%:  let's go on a reading
    449 0.49%:  it looks like I've regained
    450 0.48%:  no one ever said it
    451 0.48%:  I'M glad it
    452 0.48%:  I've looked
    453 0.48%:  evident
    454 0.48%:  gonna need
    455 0.48%:  I never said it
    456 0.48%:  I still kinda
    457 0.48%:  I've got reading
    458 0.48%:  it looks like I've gained an
    459 0.47%:  good talk
    460 0.55%:  good talkin
    461 0.47%:  looks like I never tried
    462 0.47%:  it is gonna
    463 0.47%:  I don't ever
    464 0.46%:  it's gonna need
    465 0.46%:  looks like I ran
    466 0.46%:  it's all I
    467 0.46%:  let's leave
    468 0.46%:  looks like I've retired
    469 0.71%:  looks like I've retired again
    470 0.46%:  don't I
    471 0.46%:  go
    472 0.46%:  it's like a
    473 0.45%:  looks like I trained
    474 0.45%:  I love it
    475 0.45%:  I've said
    476 1.01%:  I've said too
    477 0.45%:  I've talked
    478 0.45%:  in regards
    479 0.45%:  granted
    480 0.44%:  I'll go
    481 0.44%:  it looks like I n
    482 0.44%:  it's looking like I never
    483 0.44%:  I love reading
    484 0.44%:  I regret
    485 0.44%:  it ain
    486 0.44%:  looks like I've earned 
    487 0.44%:  I've done it all again
    488 0.44%:  instead
    489 0.44%:  looks like I'M reading
    490 0.43%:  one reason
    491 0.43%:  dogs
    492 0.80%:  dogs are
    493 0.77%:  dogs are great
    494 0.43%:  see
    495 0.43%:  it looks like I've ir
    496 0.43%:  it looks like I've dig
    497 0.42%:  looks like I've n
    498 0.42%:  strike
    499 0.99%:  strike one
    500 0.42%:  looks like I've grad
    501 0.42%:  good I
    502 0.41%:  it is an
    503 0.41%:  it's kind
    504 0.41%:  I took
    505 0.41%:  I do like
    506 0.54%:  I do like to
    507 0.41%:  it's given
    508 0.41%:  looks like I eat
    509 0.41%:  as a
    510 1.08%:  as a general
    511 0.41%:  I'll never read M
    512 0.40%:  one silver lining at
    513 0.40%:  it looks like evening
    514 1.58%:  it looks like evening reading
    515 0.40%:  looks like I've earned a rating
    516 0.40%:  looks like I never again reading
    517 0.40%:  I'll never read an
    518 0.40%:  ok
    519 0.40%:  I sort
    520 0.39%:  later
    521 0.39%:  I'll never go
    522 0.61%:  I'll never go to
    523 0.39%:  looks like I've M
    524 0.39%:  I've no
    525 0.39%:  it kinda
    526 0.39%:  living
    527 0.39%:  no reason
    528 0.39%:  it looks like I M
    529 0.39%:  looks like I've re
    530 0.38%:  I'M not one
    531 0.38%:  long
    532 0.69%:  long live
    533 0.59%:  long as
    534 0.38%:  doing
    535 0.38%:  I'll do
    536 0.38%:  it ends
    537 0.38%:  looks like I've again
    538 0.38%:  I'M not gonna lie
    539 0.38%:  I liked
    540 0.38%:  it's al
    541 0.38%:  I'M going to lie
    542 0.38%:  it looks like I've arranged an
    543 0.37%:  sort
    544 0.80%:  sorta
    545 0.37%:  I'M not leaving
    546 0.37%:  I'M going to live
    547 0.37%:  looks like I've tried again
    548 0.37%:  never gonna
    549 0.37%:  I kinda like
    550 0.37%:  looks like I never again get
    551 0.37%:  it looks like I've an
    552 0.37%:  I've got no real
    553 0.37%:  it's looking real
    554 0.37%:  I'll give
    555 0.85%:  I'll give it
    556 0.54%:  I'll give it a read
    557 0.50%:  I'll give it a go
    558 0.36%:  I've installed
    559 0.36%:  I've got a dog
    560 0.36%:  not gonna
    561 0.36%:  not on
    562 0.36%:  looks like I never read again in
    563 0.36%:  it's going in
    564 0.35%:  it's a real learning
    565 0.35%:  I've got one reading
    566 0.35%:  looks like I've gained at
    567 0.35%:  it looks like I arrived
    568 0.35%:  it looks like I've rein
    569 0.35%:  it's doing
    570 0.35%:  get
    571 0.35%:  I'M gonna read
    572 0.59%:  I'M gonna read it
    573 0.35%:  in a
    574 0.35%:  I've done a
    575 0.34%:  looks like I've eaten and
    576 0.34%:  it's gonna kill
    577 0.34%:  no reason I
    578 0.34%:  in general I
    579 0.34%:  I never learned to
    580 0.34%:  I'll never see
    581 0.37%:  I'll never see a
    582 0.34%:  I've done a great
    583 0.34%:  looks like I've engine
    584 0.34%:  I've eaten
    585 0.34%:  all I need
    586 1.20%:  all I need to
    587 0.46%:  all I need is one
    588 0.34%:  looks like I've eaten a
    589 0.34%:  as a dog
    590 0.33%:  looks like a great
    591 0.96%:  looks like a great evening
    592 0.45%:  looks like a great dinner
    593 0.33%:  also
    594 0.33%:  I don't live
    595 0.34%:  I don't live in a real
    596 0.33%:  I'M glad to
    597 0.33%:  narrative
    598 0.33%:  it looks like I've again
    599 0.33%:  it'll never
    600 0.33%:  looks like 
    601 0.32%:  I've read
    602 0.33%:  I've read a
    603 0.32%:  looks like I and
    604 0.32%:  it is a learning
    605 0.32%:  looks like I ain't reading a
    606 0.32%:  looks like I've tired
    607 0.32%:  need
    608 0.77%:  need I
    609 0.32%:  it's never done
    610 0.32%:  I got no
    611 0.32%:  never listened
    612 0.32%:  it is a real
    613 0.34%:  it is a real good
    614 0.32%:  it looks like I've de
    615 0.32%:  I'M gonna go lie
    616 0.32%:  it looks like dining
    617 0.32%:  does
    618 0.32%:  I've got a reason
    619 0.32%:  no one'
    620 0.31%:  it's gonna leave
    621 0.31%:  it's kinda like I
    622 0.31%:  I'M going on
    623 0.31%:  it looks like I've red
    624 0.31%:  I like to live
    625 2.47%:  I like to live danger
    626 0.70%:  I like to live in
    627 0.58%:  I like to live on
    628 0.31%:  looks like I'M never reading an
    629 0.31%:  I love a
    630 0.31%:  it looks like giving
    631 0.31%:  I gave
    632 0.31%:  I'M not reading a
    633 0.77%:  I'M not reading a single
    634 0.54%:  I'M not reading a single real
    635 0.48%:  I'M not reading a real
    636 0.31%:  as all
    637 0.31%:  I'll take
    638 0.30%:  as a reader
    639 0.30%:  looks like I've triggered an
    640 0.30%:  it looks like I read
    641 0.45%:  it looks like I read a
    642 0.30%:  I'M going to need several
    643 0.30%:  it's no longer a valid
    644 0.30%:  looks like I've aged
    645 0.30%:  also I
    646 0.30%:  it's no longer valid
    647 0.30%:  looks like I triggered an
    648 0.30%:  let's dive
    649 0.30%:  I'M going to read a
    650 0.30%:  it looks like I'M never
    651 8.39%:  it looks like I'M never reading
